,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,,,,,,,,,,259000,117000,112000,207000,879000,105000,869000,28000,744000,477000,726000,430000,1811000,739000,2228000,1409000,-286000,686000,197000,-1842000,-1218000,-1770000
IncomeNetGrossProfit,-2066000,-927000,-5073000,14000,-1240000,-708000,-1341000,-83000,-379000,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,259000,117000,112000,207000,879000,105000,869000,28000,744000,477000,726000,430000,1811000,739000,2228000,1409000,-286000,686000,197000,-1842000,-1218000,-1770000
IncomeBeforeTaxProfit,-2066000,-927000,-5073000,14000,-1240000,-708000,-1341000,-83000,-379000,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,259000,117000,112000,207000,812000,105000,796000,28000,558000,443000,554000,377000,1341000,486000,2658000,1336000,-265000,480000,285000,-1679000,-1427000,-1442000
IncomeNetProfit,-2269000,-654000,-4497000,23000,-1411000,-670000,-1319000,-86000,-381000,259000,118000,111000,207000,812000,105000,796000,28000,558000,443000,554000,377000,1342000,486000,2658000,1336000,-265000,480000,285000,-1679000,-1427000,-1442000
IncomeShareholderNetProfit,-2269000,-654000,-4497000,23000,-1411000,-670000,-1319000,-86000,-381000,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,78000,78000,584000,548000,529000,404000,1442000,2770000,4463000,4595000,8003000,8096000,16023000,18300000,18702000,19804000,20703000,20380000,20508000,20125000,19598000,19102000,14198000,13287000,12217000,11061000,10779000,9791000,9242000,78000,68000
BalanceIntangibleAssets,557000,504000,449000,374000,1189000,2701000,4358000,4494000,7806000,7916000,15124000,17808000,18147000,19015000,20133000,19837000,19762000,19409000,18957000,18346000,13397000,12534000,11463000,10393000,10129000,9071000,8563000,0,9000,27000,44000
BalanceProperty,42000,30000,253000,70000,72000,68000,178000,161000,340000,193000,192000,186000,232000,211000,202000,193000,176000,159000,142000,126000,109000,92000,75000,148000,110000,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,38000,
BalanceOtherNoncurrentAssets,,33000,33000,,19000,19000,559000,299000,363000,603000,338000,332000,544000,523000,465000,597000,659000,627000,645000,576000,575000,572000,569000,613000,949000,675000,1814000,2718000,2976000,2937000,1903000
BalanceCurrentAssets,1942000,3833000,7282000,15532000,12026000,10312000,11730000,12188000,9861000,8082000,7008000,5068000,3605000,4415000,3608000,4252000,5211000,5521000,5437000,8165000,8292000,,,,,,,,,,
BalanceInventory,,,,,,,,,,,,,,,,,,,,,,265000,130000,430000,527000,1243000,877000,1286000,1001000,1541000,1209000
BalanceCurrentReceivables,4283000,4750000,5683000,4050000,5046000,6341000,3857000,4399000,4172000,3195000,3148000,4073000,2946000,3694000,3631000,3665000,4259000,5106000,5686000,0,,,0,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,227000,610000,197000,831000,417000,245000,352000,199000,270000,2596000,2418000,10717000,6286000,6117000,6625000
BalanceCash,5667000,5946000,3626000,2655000,1666000,244000,128000,175000,162000,1061000,1163000,1129000,2766000,2528000,122000,210000,48000,455000,1058000,1854000,1299000,703000,131000,28000,581000,65000,57000,145000,59000,180000,58000
BalanceOtherCurrentAssets,57000,181000,207000,213000,214000,487000,396000,519000,693000,49000,293000,78000,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,691000,1027000,1258000,2362000,3248000,3380000,4379000,4674000,6405000,8428000,15283000,23628000,28049000,28612000,30432000,31992000,30564000,28462000,27516000
BalanceTotalAssets,25193000,23203000,23517000,17806000,17539000,17428000,16582000,16216000,17956000,17534000,512000,630000,748000,1950000,2494000,2829000,3326000,3355000,3984000,7489000,9786000,20003000,22560000,23897000,23631000,24112000,24525000,22717000,21240000,19799000,17529000
BalanceCapital,16857000,12319000,12536000,11197000,10527000,9209000,9122000,8535000,121000,121000,121000,134000,134000,134000,136000,136000,136000,158000,158000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000
BalanceShareCapital,216000,216000,216000,216000,216000,216000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,1860000,1860000,1860000,2849000,2581000,2849000,2549000,2511000,2714000,5754000,7077000,16751000,19611000,19612000,19611000,19612000,25381000,25380000,25380000,25381000,25928000,25928000,25928000,25928000,20512000
BalanceReserve,20512000,16912000,16912000,15442000,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,7000,7000,12000,7000,1000,6000,6000,6000,323000,34000,1534000,1533000,1737000,2669000,3499000,4039000,2997000,2803000,3521000,2986000,2795000,2487000,1915000,1702000,2128000,1672000,1765000
BalanceNoncurrentLiabilities,1425000,1086000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496000,331000,688000
BalanceNoncurrentBorrowings,500000,313000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,7000,7000,12000,7000,1000,6000,6000,6000,323000,34000,1534000,1533000,1737000,2669000,3499000,4039000,2997000,2803000,3521000,2986000,2795000,2487000,1915000,1702000,1632000,1341000,1077000,925000,773000
BalanceNoncurrentOtherLiabilities,172000,390000,498000,405000,753000,545000,1047000,1313000,2098000,905000,3964000,2092000,3752000,2046000,3302000,3841000,3042000,2942000,2755000,2408000,2879000,4173000,3572000,3301000,4103000,4383000,5242000,7409000,7913000,40000,77000
BalanceCurrentLiabilities,439000,324000,272000,429000,787000,503000,566000,661000,2448000,1221000,1033000,1518000,1480000,1678000,867000,1644000,1181000,1136000,1154000,1625000,1703000,1456000,2185000,2615000,3358000,2923000,2747000,0,,0,0
BalanceCurrentTradePayablesv,,608000,658000,,,,,,,1355000,,,416000,640000,730000,783000,643000,726000,3254000,3827000,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,131000,312000,59000,80000,481000,116000,260000,203000,700000,244000,1154000
BalanceCurrentLeasing,618000,1296000,315000,929000,1537000,820000,702000,978000,676000,980000,1387000,633000,519000,539000,529000,509000,617000,731000,,,,,0,,,,174000,0,,,362000
BalanceCurrentOtherLiabilities,253000,1423000,213000,893000,626000,596000,596000,596000,745000,745000,596000,596000,596000,596000,649000,615000,608000,691000,1027000,1258000,2362000,3248000,3380000,4379000,4674000,6405000,8428000,0,0,15284000,23628000
BalanceReckoning,28049000,28612000,30432000,31992000,30564000,28462000,27516000,25193000,23203000,23517000,17806000,17539000,17428000,16582000,16216000,17956000,17534000,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,185000,,,145000,,1921000,1068000,553000,1198000,789000,3327000,-782000,236000,2953000,1544000,781000,2209000,-1479000,-654000,-344000,-600000,-14000,-274000,-91000,667000,585000,-327000,-403000,-69000,63000,
CashflowAmortization,,203000,,467000,412000,490000,557000,608000,906000,499000,524000,586000,755000,876000,895000,1029000,1047000,1162000,1136000,1146000,1294000,1087000,1088000,1087000,1063000,1070000,1095000,-109000,,,-599000
CashflowInvestingCashflow,,-2746000,-1014000,-622000,-1531000,-2116000,-1846000,-650000,-4565000,-3123000,-1036000,-1738000,-1931000,-841000,-258000,-645000,-822000,-518000,105000,-315000,-173000,-139000,-211000,-422000,109000,,,599000,,2746000,1014000
CashflowCapex,622000,1531000,2116000,1846000,650000,4565000,3123000,1036000,1738000,1931000,841000,258000,645000,822000,518000,-105000,315000,173000,139000,211000,422000,121000,,,1002000,,608000,14000,2396000,-4000,376000
CashflowFinancingCashflow,-373000,9732000,-102000,0,0,,-59000,,416000,216000,78000,547000,-311000,433000,2251000,253000,131000,,,1002000,,,2000,3054000,0,0,480000,9732000,1768000,0,0
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,197000,,,548000,,-218000,69000,2327000,-337000,-951000,1108000,8300000,-4431000,-170000,508000,-957000,278000,-2320000,-971000
CashflowNetCashflow,-989000,-1422000,-116000,47000,-13000,899000,101000,-33000,1637000,-238000,,,,,,,,,,,,,,,,,,,,,
