,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
BalanceNoncurrInvestments,3236000,3213000,2564000,2526000,2089000,1741000,1486000,1516000,1516000,1503000,15196000,12678000,15257000,12804000,16645000,17005000,20663000,,21695000,17205000,25298000,16010000,15462000,28092000,3166000,5259000,6880000,6741000,4829000,7365000,10319000,9411000,8536000,8652000,6320000,5590000,4772000,3622000,2418000,3673000,3511000,1966000,690000,689000,4821000,582000,1590000,5799000,11210000,11816000,6004000
BalanceOtherNoncurrentAssets,6801000,352235000,332544000,504708000,277780000,250460000,614291000,511459000,,540361000,391025000,462452000,455887000,277252000,274385000,266237000,226570000,220784000,238893000,172527000,167570000,217090000,150687000,152356000,180449000,210704000,175550000,208092000,221860000,294031000,191420000,191544000,204648000,242312000,231540000,226558000,232005000,271632000,204879000,278390000,184997000,189727000,210244000,221193000,57178000,45299000,36073000,43450000,35120000,54584000,94666000
BalanceCurrentAssets,,71566000,70305000,50944000,42726000,26855000,26730000,20247000,20900000,20410000,23680000,16732000,15190000,20595000,22743000,24385000,21111000,18224000,20413000,32022000,17801000,13985000,15103000,19141000,14156000,27595000,29973000,24734000,27907000,43962000,35873000,44809000,30418000,30719000,64997000,58576000,156305000,142001000,225343000,160609000,147172000,395707000,261296000,,411372000,217854000,291779000,317544000,206936000,200923000,172186000
BalanceInventory,129511000,140694000,147184000,122054000,109136000,95423000,108465000,108815000,129506000,112792000,124495000,159016000,185668000,182571000,158660000,165391000,185913000,168936000,196906000,198226000,141228000,207641000,165770000,176990000,114735000,130335000,125721000,144185000,94237000,89362000,83016000,11205000,2570000,704000,1156000,,2720000,1959000,2628000,1091000,1357000,1341000,1351000,1229000,1187000,1147000,948000,956000,930000,925000,925000
BalanceCurrentReceivables,2225000,,,,,,,,,,,,,,,,17289000,16650000,106570000,8503000,7916000,59774000,36093000,,51321000,61193000,53458000,88653000,35951000,39307000,72453000,74930000,58493000,66882000,32793000,42288000,100142000,18554000,18231000,27607000,79688000,30642000,17054000,18391000,97475000,17657000,7012000,4579000,45781000,4661000,3598000
BalanceCurrentInvestments,62870000,20029000,3236000,56591000,39844000,28606000,19412000,18353000,27226000,39232000,53706000,54013000,57682000,103522000,118248000,,3382000,39714000,63643000,5873000,6153000,6084000,,,,,,,,,,,,,,,,,,,,,,,,,,,67000,114000,79000
BalanceCash,,0,,,,3767000,0,0,,3594000,3566000,27639000,37244000,36657000,28400000,17629000,13581000,13662000,15658000,13927000,16155000,,,,,,,,,,,,,,,,,,,,,,472940000,456081000,634645000,404125000,380885000,979571000,875678000,,862437000
BalanceOtherCurrentAssets,698625000,789147000,773430000,589816000,580468000,522011000,475366000,465328000,479867000,403766000,403253000,452164000,380947000,380849000,409910000,434512000,398846000,432953000,443676000,513141000,411937000,412253000,420974000,454410000,446614000,439040000,446187000,480408000,411956000,489148000,388079000,390504000,404683000,415419000,202716000,208773000,215983000,215711000,199300000,304717000,289749000,,343505000,347407000,348931000,372988000,354935000,281321000,268131000,250802000,237422000
BalanceAssetsForSale,217569000,224112000,225941000,210513000,211780000,213068000,213552000,219854000,223451000,226919000,227552000,231758000,232022000,232840000,222368000,225782000,224013000,222292000,158088000,214113000,125803000,122505000,34751000,40263000,38280000,32968000,10061000,10090000,10090000,10092000,10139000,11171000,11176000,,14009000,15081000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000
BalanceTotalAssets,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,15082000,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,-5027000,-5027000,-5027000,-5027000,-5027000
BalanceCapital,-5027000,-5560000,-5560000,-5560000,-5560000,-5702000,-5929000,-5929000,-7234000,-7234000,-7234000,-7234000,-7234000,-7234000,-7234000,-7234000,-7234000,-7234000,198951000,217601000,219456000,220117000,214714000,332945000,333855000,,432046000,461191000,408136000,408952000,407932000,409814000,317557000,317273000,317608000,317390000,317450000,317915000,317926000,317964000,318108000,318054000,318024000,209455000,209453000,209460000,209563000,221930000,215710000,221969000,221984000
BalanceShareCapital,221988000,222100000,222011000,222080000,221947000,221952000,222002000,221916000,222171000,221875000,5582000,6518000,4534000,4556000,4539000,128956000,126559000,,3095000,3115000,3249000,3250000,3304000,3044000,2147000,2091000,2141000,2273000,2297000,2299000,2481000,2423000,2410000,2476000,1778000,1731000,1692000,1742000,1736000,1713000,1290000,1321000,1363000,1350000,1350000,1388000,233000,246000,,93752000,11912000
BalanceOwnShares,12621000,11550000,12877000,44069000,47555000,,31959000,28690000,28194000,30162000,28015000,25267000,6760000,6029000,4113000,23693000,39971000,36571000,24580000,63606000,58515000,61592000,64034000,18122000,12771000,14703000,53699000,47659000,45190000,48300000,45562000,46200000,47746000,68238000,20778000,69247000,68087000,63594000,49569000,47429000,170167000,,,,,,,,,,
BalanceReserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9742000,9783000,9823000,9864000,9904000,355000,313000,53385000,82173000,638000,209000,341000,294000,243000,674000,,3843000,3846000
BalanceNonshareCapital,2138000,4976000,4905000,2656000,2137000,2019000,1588000,17589000,34139000,30076000,7620000,47829000,47175000,46888000,46316000,6738000,579000,424000,41824000,41319000,110000,111000,,,,,,,32893000,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,5344000,,,39810000,39793000,39816000,39839000,39870000,39885000,,,38151000,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,3113000,,221000,98000,98000,,,,,,,11579000,11274000,12412000,11209000,12583000,43826000,46881000,,28116000,24844000,26056000,25186000,23110000,22611000,4623000,4010000,2525000,6104000,5832000,6495000,16960000,15777000,11340000,14704000,17718000,11384000,6848000,11166000,11875000,6340000,5159000,8299000
BalanceNoncurrentBorrowings,5537000,6361000,7876000,18611000,10995000,59424000,58223000,53690000,49214000,47116000,45738000,170650000,228878000,401507000,172308000,164169000,501829000,411815000,,483878000,319413000,398042000,348428000,185408000,255510000,236353000,211658000,217028000,229936000,132792000,131692000,214590000,103138000,106856000,132290000,148846000,155542000,191571000,199679000,225948000,130543000,132933000,148985000,181703000,175051000,167652000,218473000,245284000,216660000,298556000,289734000
BalanceNoncurrentObligations,300672000,318974000,212284000,96624000,82893000,244537000,114334000,71725000,275040000,208739000,,245113000,104578000,222355000,197806000,77770000,80856000,120696000,78411000,97985000,137275000,89670000,75948000,131770000,81709000,88493000,116055000,125570000,102117000,136123000,143956000,168151000,108491000,116005000,111856000,146188000,117293000,108928000,141914000,137946000,101894000,128771000,135994000,144598000,173882000,136676000,5427000,88154000,94295000,10896000,47853000
BalanceNoncurrentLeasing,169218000,151611000,,172147000,144191000,127745000,98147000,90568000,97359000,68565000,85981000,81549000,59020000,14689000,27110000,67657000,7097000,5521000,5297000,13285000,44525000,2258000,3064000,46818000,7197000,2089000,23193000,2694000,32287000,36261000,13685000,5795000,17961000,35470000,29754000,34900000,34900000,908000,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,40596000,40073000,,53000,499000,62000,498000,48000,486000,39966000,40424000,40007000,39677000,39700000,39700000,681000,,,,,,,,,,,,,,
BalanceCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,2620000,3617000,,3549000,1271000,1080000,399000,288000,95000,26000,,,9575000,6508000,8383000,2472000,4215000,9156000,7934000,,14725000,21921000,28795000,27014000,24951000,33576000,35380000,30654000,29214000,25752000,23957000
BalanceCurrentTradePayablesv,26158000,8472000,9251000,8608000,6197000,4901000,3240000,5683000,5629000,4297000,4478000,4334000,5037000,5962000,4517000,4930000,5005000,5914000,6785000,8132000,5680000,6766000,7665000,5129000,59024000,51323000,54292000,44606000,40376000,48415000,43531000,,51893000,48723000,29878000,44063000,10273000,59045000,20332000,21398000,12904000,14285000,9070000,9226000,6691000,5081000,4234000,4741000,5090000,5660000,4291000
BalanceCurrentBorrowings,3340000,6682000,10377000,6903000,7129000,25717000,20057000,17197000,57288000,55637000,49596000,86176000,78629000,74708000,62827000,68890000,472700000,456081000,0,634645000,404125000,380885000,0,979571000,875678000,0,0,862437000,698625000,778416000,0,754828000,571662000,565142000,0,513391000,470580000,460704000,0,473471000,399172000,396503000,0,0,452164000,380947000,380849000,409910000,434512000,398846000,432953000
BalanceCurrentObligations,443676000,513141000,411937000,412253000,420974000,454410000,446614000,439040000,446187000,480408000,411956000,489148000,388079000,390504000,404683000,415419000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,18159000,2303000,10766000,91594000,-77025000,-17576000,-2224000,11981000,-25982000,-38006000,-68841000,125934000,-14322000,11292000,-34382000,95812000,-42732000,-9721000,-9804000,67126000,-10859000,-9555000,-3733000,29042000,-3439000,4218000,10789000,-7278000,55765000,-47445000,6175000,7464000,53326000,-43794000,-5776000,3485000,43687000,-32646000,-4219000,-21143000,64995000,-62135000,-1476000,84303000,-30312000,-24953000,39338000,-5555000,-14894000,-8152000,2366000
CashflowAmortization,4974000,5443000,6200000,5143000,6163000,5894000,6483000,49945000,12934000,15992000,8197000,18567000,12087000,11136000,11645000,10186000,9827000,7289000,9080000,8420000,7473000,7035000,6276000,6024000,4500000,4048000,3079000,3767000,4488000,4370000,4238000,4628000,4245000,4556000,4286000,3975000,3936000,3722000,3538000,3948000,3837000,4513000,4256000,4374000,4079000,3547000,2946000,2962000,2036000,1949000,1825000
CashflowInvestingCashflow,-48212000,-2861000,-6881000,-1132000,66491000,857000,-57609000,26110000,-5819000,-10372000,-5901000,15729000,20811000,-2351000,20428000,-9327000,-2466000,12417000,5876000,4841000,-1133000,-25000,-1339000,-4299000,-1116000,-1527000,-7421000,-3243000,-1842000,-11936000,-3076000,4001000,658000,-3778000,-2974000,-923000,-3190000,-5682000,-3072000,-608000,-1950000,-6975000,-1545000,-2843000,-3554000,-3667000,-2277000,-2931000,-535000,-664000,-626000
CashflowCapex,9731000,8528000,4819000,11754000,5111000,6532000,63849000,16483000,6552000,6934000,4464000,17531000,2914000,2452000,3618000,11085000,2249000,2177000,1065000,1599000,2222000,1875000,1377000,1331000,1841000,7701000,3421000,1989000,-778000,1802000,1227000,873000,1166000,898000,1084000,743000,2347000,917000,-513000,41000,5856000,707000,410000,909000,424000,863000,491000,11000,182000,29000,481000
CashflowFinancingCashflow,-81000,-1013000,-3414000,-87533000,31603000,42902000,15227000,8112000,60610000,50953000,-114870000,3383000,-45463000,30286000,-33414000,-7106000,73000,-17572000,-17245000,14753000,-7192000,-4079000,-6985000,-29594000,6832000,-16324000,-3998000,-272000,-22342000,-3566000,-2035000,-1873000,-1483000,-1082000,-1905000,38484000,-41381000,-3372000,19330000,-21858000,27986000,1846000,-22099000,-9044000,11960000,16289000,-8311000,4277000,-633000,-2503000,99000
CashflowShareCapitalCash,2465000,57000,67000,167000,3762000,2131000,437000,7131000,3191000,851000,-851000,28916000,30176000,25000,,,,,,,,,,,0,,,,1400000,0,0,,,,,,,,,,,,,,,,36000,0,-36000,6655000,291000
CashflowDividend,,10223000,-80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29572000,-639000,2872000,87048000,-98067000,14884000,-16931000,53318000,-23681000,12224000,-23789000,26793000
CashflowNetCashflow,9872000,-6346000,-13844000,53071000,-52304000,2769000,-21500000,54722000,2761000,-16772000,-9151000,17758000,-34149000,9523000,-12956000,-14519000,53554000,-81626000,-467000,9430000,52111000,-49055000,-9832000,657000,78981000,-79709000,-10663000,-2421000,41187000,-41124000,-1175000,59361000,-42910000,-16660000,53350000,-16797000,-11152000,-9449000,-763000,,,,,,,,,,,,
