,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeNetProfit,6873000,33678000,15279000,42668000,33489000,43763000,37370000,54734000,65418000,43122000,69389000,64478000,76200000,14202000,41606000,22618000,4507000,11475000,11820000,13229000,8383000,7048000,-12252000,18821000,36556000,38998000,14581000,15638000,35522000,25492000,26310000,1040000,1114000,26076000,9242000,1706000,15257000,29730000,-5414000,10550000,9543000,66113000,5110000,18411000,16829000,85433000,-1009000,48978000,25987000,116831000,17512000,58790000,21897000
IncomeShareholderNetProfit,6873000,33678000,15279000,42668000,33489000,43763000,37370000,54734000,65418000,43122000,69389000,64481000,76204000,14203000,41615000,22617000,4513000,11462000,11819000,13186000,8398000,7012000,-12241000,19364000,36568000,38968000,14576000,15650000,35537000,25454000,26323000,1053000,1126000,25930000,9253000,1627000,15267000,29521000,-5401000,10553000,9547000,66026000,5118000,18415000,16828000,85289000,-1008000,48981000,25988000,116713000,17515000,58791000,21899000
BalanceNoncurrentAssets,,20154000,16290000,17046000,17838000,26913000,21881000,19610000,23528000,20895000,18227000,18483000,9698000,18237000,10116000,22921000,21345000,22407000,7505000,8255000,8260000,8236000,8531000,8312000,7864000,7489000,7890000,9138000,9121000,13150000,13320000,14018000,16919000,18710000,18540000,19354000,19290000,20510000,19872000,27541000,27039000,30785000,32896000,31362000,49277000,,394000,335000,730000,1063000,932000,707000,580000
BalanceIntangibleAssets,658000,1360000,1176000,1051000,717000,530000,349000,852000,733000,1080000,1204000,1130000,996000,1211000,1334000,1392000,1258000,1189000,1372000,1415000,1692000,2593000,2861000,3166000,3412000,3504000,3543000,3803000,3964000,3923000,3647000,11141000,10791000,10444000,10365000,10216000,10468000,,7265000,7607000,5535000,5289000,5873000,6548000,6670000,6818000,6781000,6066000,6087000,5455000,5263000,6225000,4611000
BalanceProperty,4559000,5035000,4713000,4790000,5178000,5308000,5480000,5247000,4933000,4690000,4908000,5528000,5626000,6286000,6151000,6454000,6908000,7032000,7160000,7739000,7508000,7576000,7393000,10092000,10089000,10528000,10778000,12182000,12122000,,928000,928000,1518000,1518000,11518000,1552000,1642000,1693000,2910000,2918000,2571000,2438000,2432000,2528000,15791000,16053000,16292000,1588000,1680000,1681000,1679000,1679000,1601000
BalanceNoncurrentReceivables,1601000,1601000,1601000,1601000,1601000,1626000,1626000,1642000,1642000,1523000,1523000,1523000,1523000,1598000,1597000,1653000,1612000,1612000,1612000,1612000,1615000,,559000,512000,841000,841000,841000,1024000,1050000,1050000,1050000,1050000,1050000,1014000,1014000,1014000,1667000,,0,655000,405000,38000,38000,72000,72000,9000,9000,594000,202000,2645000,2682000,2756000,6651000
BalanceNoncurrInvestments,6314000,6289000,6295000,7235000,3787000,,,,11008000,6908000,8422000,9127000,7749000,12050000,9668000,13309000,8794000,7017000,7724000,74000,8998000,,,,,,,,,,,,,,,,,,,4957000,,,7413000,868000,4547000,8201000,10141000,7352000,25072000,,566232000,618917000,906877000
BalanceOtherNoncurrentAssets,958921000,1001584000,1230186000,1252790000,1308073000,1743697000,1705159000,1635447000,1568601000,1434241000,1551139000,1600828000,1682759000,1744903000,1908595000,1956131000,1978497000,1751454000,1702313000,1650050000,1692596000,1721405000,1658317000,1607469000,1655491000,1593107000,1749247000,1844610000,1863344000,1734243000,1842175000,2011384000,2039917000,1956782000,2019770000,2260852000,2357153000,2359610000,2447776000,2576753000,2560737000,,396650000,387982000,594864000,603217000,759201000,862358000,909773000,1045417000,1458133000,1464407000,1445078000
BalanceCurrentAssets,1305117000,1238694000,1222344000,1118968000,1238164000,1313154000,1465828000,1459759000,1473685000,1305568000,1225911000,1261886000,1288514000,1346599000,1322918000,1301561000,1301824000,1231538000,1426772000,1516938000,1541943000,1478660000,1512117000,1620758000,1748523000,1507595000,1595995000,1870592000,2094206000,1989052000,2095138000,2073955000,2203902000,,43423000,30641000,60808000,51588000,32783000,65914000,46668000,104710000,55519000,38037000,35653000,27652000,27567000,32645000,43752000,32681000,32995000,49271000,47484000
BalanceInventory,31477000,27980000,27811000,32570000,33930000,43328000,13245000,6459000,6445000,5541000,21947000,24042000,7865000,27528000,15206000,34158000,9058000,9347000,9296000,20206000,55139000,35428000,35362000,18032000,33032000,,,,,,,,,,,,,,,,,,,,,,,,168250000,0,,,234769000
BalanceCurrentReceivables,1161000,1459000,3392000,5157000,10314000,8963000,14552000,34463000,14460000,24409000,21597000,3747000,18207000,24015000,21333000,22763000,35115000,64779000,96276000,51506000,78488000,94527000,114049000,,73837000,148302000,227535000,296709000,202487000,275489000,254549000,77719000,223697000,197000000,149200000,230847000,160821000,290667000,434691000,407706000,227446000,380247000,442377000,468943000,175918000,440910000,349056000,361634000,322250000,306705000,285720000,328217000,318341000
BalanceCurrentInvestments,282797000,275851000,288353000,221640000,292855000,328894000,258593000,414310000,374729000,300475000,104129000,279653000,233342000,384875000,204714000,,52322000,51992000,23670000,7407000,7113000,26425000,41800000,80227000,6348000,5715000,5516000,4985000,7159000,5483000,3417000,4208000,3058000,13249000,6511000,4392000,7219000,6520000,5079000,5126000,4071000,5135000,4766000,4453000,3224000,3271000,3370000,3586000,2668000,3790000,3559000,2410000,2767000
BalanceCash,4635000,4800000,7403000,3971000,5446000,5364000,5040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,586386000,635207000,923923000,976759000,1028497000,1252067000,1272400000,1331601000,1764592000,1723386000,1653930000,1578299000,1452478000,1561255000,1623749000,1704104000,1767310000,1916100000,1964386000,1986757000,1759690000,1710844000,1658362000,1700460000,1728894000,1666207000,1616607000,1664612000,1606257000,1762567000,1858628000,1880263000,1752953000,1860715000,2030738000,2059207000,1977292000,2039642000,2288393000,2384192000,2390395000,2480672000,2608115000,2610014000,
BalanceAssetsForSale,133411000,191914000,491882000,532480000,585098000,696138000,743592000,764004000,683453000,726080000,730551000,748830000,761633000,756166000,773481000,761901000,759807000,835706000,852195000,831119000,893022000,919738000,829770000,830902000,857054000,866567000,813706000,828979000,858517000,853131000,807949000,817498000,883604000,888391000,826746000,843716000,929507000,931864000,855187000,881248000,1002259000,1023692000,894249000,917594000,,21855000,21854000,24050000,24560000,24560000,24560000,24560000,24560000
BalanceTotalAssets,24560000,24560000,24560000,24560000,24560000,24560000,24560000,24560000,24560000,24560000,24670000,24670000,24715000,24741000,24741000,24741000,24753000,24770000,24770000,24770000,24770000,24771000,24771000,24771000,24771000,24771000,24782000,24782000,24782000,24868000,24868000,24868000,24868000,24968000,24968000,24968000,,,,,,,,,,,,,,,,,
BalanceCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64223000,91168000,311688000,314406000,428229000,430729000,432663000,614736000,617790000,618802000,636828000,639132000,640116000,706693000,708598000,709259000
BalanceShareCapital,727490000,727853000,729656000,775769000,776636000,777003000,777189000,777195000,777405000,777648000,777512000,777518000,777535000,777549000,777636000,777638000,777718000,777387000,777963000,778105000,778607000,781886000,783968000,784041000,788339000,792157000,790036000,791482000,,,,,,,,,,0,-158000,-160000,-165000,-174000,-173000,-166000,-165000,-122000,-101000,-112000,-655000,-637000,-632000,-644000,-621000
BalanceOwnShares,-634000,-647000,-659000,-513000,-524000,-445000,-455000,-246000,-259000,-262000,-266000,-179000,-187000,-191000,-190000,-46000,-47000,-50000,-51000,67000,64000,63000,61000,,166877000,189402000,154814000,163879000,164055000,330419000,317881000,325633000,462927000,453344000,458794000,415223000,335168000,384464000,415166000,387398000,391640000,320593000,480252000,481035000,452686000,487766000,487724000,490163000,488638000,456963000,357254000,360267000,317648000
BalanceReserve,310777000,415943000,415827000,432147000,251981000,253227000,307011000,325309000,263328000,294736000,296897000,410701000,395222000,387529000,379583000,,,,,,,,,,,,,,,,,,18592000,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,128333000,154090000,102200000,102461000,95691000,241779000,231691000,239613000,433283000,425681000,434970000,384945000,314932000,375000000,377330000,332330000,332330000,260000000,430000000,430000000,397000000,447000000,447000000,447000000,444000000,414000000,314000000,314000000,98000000,268000000,370000000,370000000,100000000,50000000,50000000,100000000,3700000,35000000,35000000
BalanceNoncurrentLiabilities,35000000,35000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000000,,,270000000,150000000,150000000,150000000,260000000,210000000,210000000,210000000,260000000,260000000,260000000
BalanceNoncurrentTradeLiabilities,260000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,38544000,35312000,52614000,61418000,68364000,88640000,86190000,86020000,29644000,27663000,23824000,11686000,20236000,9464000,37836000,55068000,59310000,60593000,50252000,51035000,55686000,40766000,40724000,43163000,44638000,42963000,43254000,46267000,49648000,42777000,45943000,45827000,62147000,51981000,53227000,57011000,65309000,53328000,84736000,83197000,115701000,100222000,92529000,84583000,,286098000,253891000,277227000,280400000,279344000,225510000
BalanceNoncurrentObligations,211085000,242124000,618377000,544136000,464758000,414412000,355842000,420747000,435203000,554917000,616518000,760438000,632571000,675247000,414603000,303974000,341515000,380054000,383715000,343201000,446092000,475821000,430338000,598918000,634998000,647204000,437381000,720530000,950956000,908670000,722522000,844497000,1138520000,1206098000,977368000,1061694000,1326274000,1312776000,,134885000,136485000,143801000,121797000,109377000,120995000,124583000,146055000,145452000,141218000,174047000,112399000,83642000,107516000
BalanceNoncurrentLeasing,132710000,155337000,200102000,196640000,161642000,193955000,131548000,115677000,118028000,137451000,140361000,145059000,144593000,155223000,139799000,195832000,222301000,220727000,190523000,197472000,235150000,200106000,218705000,230500000,256223000,254903000,271442000,243840000,270643000,277768000,,107035000,85253000,98915000,89545000,105521000,37005000,35171000,17242000,62510000,85337000,84613000,136079000,147480000,211501000,102169000,76064000,51112000,229354000,91705000,58178000,37310000,37304000
BalanceNoncurrentOtherLiabilities,38228000,2769000,3803000,2723000,103735000,102966000,29745000,128412000,3419000,2159000,3403000,32142000,113873000,2153000,3897000,2595000,126849000,2621000,51373000,3123000,190550000,3272000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLiabilities,,,,,,,100000000,,,120000000,120000000,120000000,120000000,50000000,50000000,50000000,50000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,6263000,3625000,4303000,4859000,12913000,18532000,20496000,26381000,21627000,18156000,17518000,19622000,20494000,18069000,5211000,4919000,3739000,7129000,5173000,5383000,8832000,13135000,12051000,9850000,7998000,6578000,6010000,5665000,9218000,8843000,63145000,7368000,8445000,15627000,17874000
BalanceCurrentBorrowings,19985000,30813000,18915000,21383000,24673000,36247000,23453000,29832000,33271000,,37915000,28528000,30208000,64199000,51533000,48978000,30835000,52446000,388788000,299425000,188580000,146312000,104226000,83661000,195113000,318597000,361565000,327315000,374051000,417731000,236913000,137858000,173208000,229984000,231553000,188841000,191754000,211967000,151576000,265831000,346133000,416950000,235010000,355289000,464059000,566426000,349107000,542487000,684065000,873901000,568306000,791278000,835249000
BalanceCurrentObligations,998465000,0,586386000,0,635207000,0,923923000,976759000,1028497000,0,1252067000,1272400000,1331601000,0,1764592000,1723386000,1653930000,0,1578299000,1452478000,1561255000,0,1623749000,1704104000,1767310000,0,1916100000,1964386000,1986757000,0,1759690000,1710844000,1658362000,1700460000,1728894000,1666207000,1616607000,1664612000,1606257000,1762567000,1858628000,1880263000,1752953000,1860715000,2030738000,2059207000,1977292000,2039642000,2288393000,2384192000,2390395000,2480672000,2608115000
BalanceCurrentLeasing,2610014000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-4330000,5003000,3718000,69732000,1301000,-105053000,78840000,-99223000,129738000,-131631000,-8461000,-115880000,-49810000,-40853000,-41944000,-36151000,10400000,72277000,-13035000,28936000,63101000,188229000,44414000,-133666000,9907000,38913000,32657000,98178000,13726000,-18936000,-17495000,-273000,46206000,-37112000,15029000,35677000,43759000,42478000,-64567000,18773000,70831000,-65066000,92053000,38136000,-8268000,143303000,81437000,127474000,-76063000,65288000,51736000,155729000,44422000
CashflowAmortization,424000,464000,408000,389000,393000,377000,467000,571000,560000,628000,538000,553000,627000,702000,649000,598000,590000,591000,580000,587000,619000,594000,565000,581000,652000,652000,723000,749000,789000,733000,766000,827000,810000,736000,714000,759000,836000,950000,1019000,1044000,1140000,1206000,1251000,1321000,1413000,1466000,1484000,1588000,2125000,2133000,2324000,2457000,2335000
CashflowInvestingCashflow,-53000,-1755000,-4000,-942000,-626000,-185000,-537000,-977000,-1262000,-846000,-505000,-783000,-826000,-1343000,74000,-516000,166000,-213000,-204000,-1357000,-805000,870000,1374000,-1398000,-208000,-867000,-1562000,-668000,-284818000,48885000,232100000,-651000,-510000,527000,-828000,-2228000,-1201000,-32370000,29023000,-1719000,-2594000,-1647000,-1302000,-2097000,-1490000,-1074000,-1018000,-199629000,1758000,-14032000,-1424000,-4108000,-34754000
CashflowCapex,53000,927000,383000,990000,335000,274000,660000,1048000,1268000,1126000,558000,825000,882000,1468000,103000,618000,125000,213000,208000,1367000,817000,704000,394000,1404000,225000,882000,742000,724000,960000,1215000,822000,815000,420000,419000,878000,1693000,1248000,2454000,980000,1780000,1637000,1760000,1351000,2146000,1584000,1302000,1020000,2050000,2074000,208472000,1771000,4224000,2844000
CashflowFinancingCashflow,2356000,-1594000,-3240000,5201000,-13267000,197063000,-9129000,5978000,-128820000,205823000,-11974000,-60167000,147076000,91734000,15173000,-11133000,9649000,-10632000,-56787000,102267000,-18265000,-89106000,-72773000,-45196000,9273000,95783000,31035000,-70944000,648000,-52530000,50387000,-90930000,-33118000,-2799000,-29746000,-54434000,-61000,-19984000,-24000000,-55735000,0,-19536000,0,-60543000,13488000,-120000000,-2099000,-122041000,124268000,-96623000,-88000,-189829000,
CashflowShareCapitalCash,0,,,,220529000,,,,,,,,,,,,,,,0,0,0,0,1642000,0,711000,0,387000,0,0,201000,254000,0,0,16000,,,464000,0,0,3488000,,,3500000,0,0,,,,0,0,0,
CashflowDividend,3193000,0,491000,50103000,50103000,19648000,0,0,,19506000,142000,0,,21969000,135000,0,,36944000,62000,0,,90930000,118000,0,,54434000,61000,0,,55735000,0,,,80543000,0,,,125586000,0,,,189760000,-2027000,1654000,-16000,74481000,-12592000,91825000,69174000,-94222000,-344000,73346000,-20940000
CashflowNetCashflow,-176830000,46337000,99641000,-26697000,-47800000,20215000,61432000,-70026000,129846000,44031000,99993000,-26985000,-180260000,18972000,133829000,62130000,26566000,-270444000,-22581000,264992000,-91854000,12578000,-39384000,-15545000,-20985000,42497000,-9876000,-35544000,-6946000,12502000,-66713000,71215000,36039000,-70301000,155717000,-39581000,-74254000,-196346000,175524000,-46311000,151533000,-180161000,,,,,,,,,,,
