,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeBeforeTaxProfit,12280000,4116000,20735000,14097000,4865000,2153000,1346000,3604000,4893000,3375000,4757000,2920000,4723000,4403000,3836000,2718000,,10000
IncomeDiscontinuedProfit,-364000,18000,-1000,,,,,,,,,3092000,17788000,12357000,3601000,20683000,15569000,4976000
IncomeNetProfit,8415000,1619000,4690000,3539000,4176000,4460000,3115000,1579000,-3815000,2621000,1752000,3092000,17788000,12357000,3601000,20683000,15569000,4976000
IncomeShareholderNetProfit,8415000,1619000,4690000,3539000,4176000,4460000,3115000,1579000,-3815000,2621000,1752000,,,,,,,
BalanceNoncurrentAssets,84926000,84886000,85197000,85391000,85421000,87002000,87139000,94671000,95065000,96062000,95375000,96057000,95580000,95744000,95364000,89863000,89981000,90557000
BalanceIntangibleAssets,83972000,83972000,83972000,83983000,83982000,83981000,83987000,83986000,83986000,83985000,83985000,83984000,83989000,83990000,83988000,83996000,83994000,83992000
BalanceProperty,52000,58000,64000,107000,112000,120000,111000,101000,99000,97000,87000,885000,879000,848000,804000,787000,756000,817000
BalanceNoncurrentReceivables,,,170000,346000,329000,344000,351000,390000,380000,422000,190000,187000,7000,7000,7000,7000,7000,7000
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,902000,856000,991000,955000,998000,2557000,2690000,10194000,10600000,11558000,11113000,11001000,10705000,10899000,10565000,5073000,5224000,5741000
BalanceCurrentAssets,109797000,128341000,35756000,28616000,50310000,78497000,42937000,31163000,36556000,44006000,6816000,13087000,15963000,19363000,23354000,18526000,20754000,26454000
BalanceInventory,,,,,,,,,,,,,,,,,,
BalanceCurrentReceivables,104080000,124266000,26346000,10979000,27911000,34552000,31133000,22153000,26531000,15040000,2123000,10933000,12403000,13409000,13888000,15368000,15125000,16624000
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,
BalanceCash,5717000,4075000,9410000,17637000,22399000,43945000,11804000,9010000,10025000,28966000,4693000,2154000,3560000,5954000,9466000,3158000,5629000,9830000
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,916000,921000,921000,551000,548000,569000,569000,562000,,,,,,,195639000,214148000,121874000,114558000
BalanceTotalAssets,136279000,166068000,130645000,126396000,131621000,140068000,102191000,109144000,111543000,115107000,118718000,108389000,110735000,117011000,40914000,58709000,71189000,75217000
BalanceCapital,97248000,59273000,64995000,73912000,76122000,36662000,40201000,45911000,52409000,46634000,44438000,41946000,44690000,36568000,3335000,3335000,3335000,3335000
BalanceShareCapital,3335000,3335000,3335000,3335000,3335000,3335000,3424000,3424000,3424000,3424000,3424000,3424000,3424000,3424000,,,,
BalanceOwnShares,,,,,,,,,,,,-62000,-138000,-193000,31123000,31130000,31253000,31680000
BalanceReserve,33028000,37423000,38167000,38669000,39260000,44899000,44810000,46344000,48382000,28890000,26104000,10332000,10531000,11404000,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,70517000,67711000,39698000,44128000
BalanceNoncurrentLiabilities,45121000,44139000,47313000,38277000,36026000,35205000,35306000,33693000,37425000,35902000,37570000,40550000,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,70517000,27711000,39698000,,,
BalanceNoncurrentBorrowings,,,,,25000000,24000000,24000000,24000000,,,,,,18632000,18974000,19228000,19421000,20303000
BalanceNoncurrentObligations,19953000,20652000,19874000,20090000,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,40000000,,,25496000,26147000,24911000,27892000,17974000,16073000,14553000,15432000,13603000,12425000
BalanceNoncurrentOtherLiabilities,11902000,13570000,16550000,84208000,87728000,10987000,39341000,39031000,62664000,20526000,8345000,8186000,65129000,25964000,28028000,23828000,34780000,36855000
BalanceCurrentLiabilities,30541000,28475000,39893000,74173000,75555000,2272000,3515000,3204000,44935000,4470000,4445000,4584000,62069000,15827000,10958000,6674000,18488000,21975000
BalanceCurrentTradePayablesv,9720000,7575000,18811000,9892000,12062000,8606000,35000000,35361000,15312000,13405000,7501000,14146000,14311000,13445000,14021000,19420000,19222000,19678000
BalanceCurrentBorrowings,,,,,,2199000,2222000,2847000,2233000,2315000,2255000,2314000,2207000,2211000,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,143000,111000,109000,826000
BalanceCurrentLeasing,466000,221000,432000,1053000,1369000,745000,381000,610000,636000,636000,859000,1401000,1678000,1404000,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,195639000,214148000,121874000,114558000
BalanceReckoning,136279000,166065000,130642000,126396000,131621000,140068000,102191000,109144000,111543000,115107000,118718000,108389000,110735000,117011000,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,59469000,-1645000,20862000,-16670000,4779000,19053000,7330000,10898000,1703000,14772000,17901000,-8323000,2046000,4075000,3544000,-128000,4264000,4422000
CashflowAmortization,,13000,7000,9000,12000,12000,18000,19000,9000,11000,10000,10000,174000,92000,55000,57000,58000,95000
CashflowInvestingCashflow,-75858000,1716000,63351000,26563000,-17000,-9000,-21000,0,548000,53000,-61000,0,-7000,-18000,-10000,-30000,-1052000,-150000
CashflowCapex,,,,96000,17000,9000,21000,16000,7000,0,8000,0,7000,20000,10000,30000,1052000,135000
CashflowFinancingCashflow,-2600000,-2117000,-78878000,-1262000,2331000,-39316000,-13672000,-1221000,4118000,-42111000,5784000,-634000,-1662000,-22000,-6150000,-741000,-71000,
CashflowShareCapitalCash,,,,,,,5000,4753000,0,0,,,,,,,,72605000
CashflowDividend,0,,,36808000,-2000,,48992000,80000,,10032000,,,-20631000,5335000,8227000,4762000,21375000,-32007000
CashflowNetCashflow,-2774000,1030000,18943000,-24271000,-2539000,1405000,2395000,3512000,-6308000,2471000,4201000,,,,,,,
