,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
BalanceReserve,37949000,58746000,40063000,38827000,36010000,33743000,31654000,29929000,28463000,31093000,25087000,21420000,27265000,18373000,21572000,17846000,14682000,14967000,9718000,9103000,3706000,3663000,1473000,1474000,1484000,92000,8622000,,,,,,,,,,,,,,14119000,7845000,15079000,,,,,,,,,,
BalanceNonshareCapital,,,,,,1244000,,,,,,,,,,,,,,3797000,416000,439000,407000,198000,131000,145000,386000,345000,14806000,16201000,,14692000,13568000,12702000,10970000,10970000,9238000,28614000,26803000,24138000,30061000,27485000,25369000,23376000,21348000,18589000,21307000,15370000,12260000,16242000,13898000,11758000,8156000
BalanceNoncurrentLiabilities,6267000,6761000,5377000,4770000,198000,198000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,453000,48000,,,0,,794000,1992000,2563000,3297000,2035000,2252000,3445000,2048000,1312000,1446000,1401000,1366000,1349000,1334000,9335000,31943000,15925000,8766000,8525000,8374000,8278000,8581000,9874000,9786000,9717000,7916000,11023000,4475000,9814000,9690000,8415000,8206000,4341000,4333000,3508000,3465000,1473000,1474000,1484000,92000,7587000
BalanceNoncurrentObligations,9441000,5669000,4599000,7670000,4701000,3726000,4619000,22647000,34683000,42743000,42492000,33622000,57415000,31350000,46291000,99552000,74571000,67852000,63232000,77034000,100249000,74924000,86796000,84370000,82770000,81981000,85990000,84443000,105929000,96961000,113506000,107539000,116765000,136739000,137118000,148074000,147087000,156262000,154106000,155259000,122752000,132814000,94604000,66438000,93864000,20480000,5437000,7670000,3964000,3456000,3983000,3158000,2717000
BalanceNoncurrentLeasing,3712000,16317000,28137000,33618000,23023000,28207000,35078000,21714000,26975000,42728000,23304000,37848000,21310000,29803000,27942000,22134000,28404000,28606000,26916000,24721000,28498000,24109000,37997000,36091000,48028000,36248000,42886000,52842000,48412000,47806000,49597000,54109000,52268000,50393000,43320000,46150000,33660000,26345000,31001000,404000,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,3214000,12806000,,3845000,3464000,3464000,4039000,6565000,11303000,30079000,46043000,45755000,46072000,46444000,44932000,46620000,45384000,47844000,42130000,45609000,46722000,35828000,36887000,39651000,40430000,39432000,39949000,40410000,37855000,38651000,38452000,28127000,19446000,20592000,9219000,,,,,,,,,,,,,,,,,,
BalanceCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150000,1771000,1705000,1143000,3687000,1543000,1009000,907000,6330000,6546000,5911000,6663000,5415000,22337000,9636000,15471000,53360000,47803000
BalanceCurrentBorrowings,25965000,35357000,35928000,42228000,6747000,12637000,9692000,9410000,12328000,10872000,14950000,20088000,18740000,19869000,24569000,38051000,47010000,49055000,59838000,58058000,62204000,61428000,67011000,40781000,48212000,32817000,20647000,42271000,10857000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17302000,21422000,0,28341000,27692000,29153000,0,28403000,27518000,32971000,0,136945000,150190000,178429000,0,171728000,163325000,184143000,172862000,172978000,507098000,469457000,0,437570000
BalanceCurrentLeasing,437941000,444278000,0,508041000,505241000,497920000,494317000,492287000,489672000,495283000,496796000,516362000,510906000,522053000,512047000,277493000,289819000,296283000,298014000,264417000,271485000,268294000,269692000,130863000,132628000,77209000,68331000,82008000,41272000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-820000,462000,1297000,-1993000,-1030000,-515000,796000,279000,-1385000,-1452000,3663000,-1489000,888000,-3603000,-1431000,7170000,-2683000,6509000,7982000,-9116000,-4052000,7726000,1717000,13180000,-2658000,4080000,8289000,10640000,-10047000,9133000,5221000,7964000,2808000,2043000,6324000,12090000,-1954000,5154000,5419000,10661000,2785000,679000,12968000,-17238000,2674000,481000,5410000,-8748000,1109000,-681000,24000,-1227000,234000
CashflowAmortization,71000,152000,269000,169000,185000,181000,199000,189000,177000,331000,908000,327000,356000,403000,422000,364000,383000,491000,240000,2506000,2569000,2543000,2495000,2900000,2872000,3007000,3172000,3824000,4174000,4090000,4269000,4190000,4152000,4030000,4228000,4704000,4752000,4635000,5001000,5555000,5840000,5920000,5826000,5001000,3778000,2035000,5322000,2077000,209000,-168000,1964000,-596000,-687000
CashflowInvestingCashflow,-1122000,10680000,5524000,-467000,740000,-5618000,-17000,1300000,-1215000,-75987000,-484000,-18810000,406000,-11251000,-1134000,-502000,-3915000,-2231000,1630000,-3384000,-4270000,-9270000,-842000,-7258000,-5348000,-7085000,-31525000,-2934000,-3962000,-1287000,-252000,-1041000,-3502000,-9370000,-355000,-312000,-2062000,-3976000,40000,-837000,-9869000,-23000,-222000,-21000,346000,-902000,600000,0,22609000,634000,654000,1262000,464000
CashflowCapex,698000,714000,574000,555000,0,1393000,1215000,3170000,1329000,429000,1173000,1661000,1128000,-924000,144000,2903000,4012000,2112000,3743000,8272000,842000,9242000,4668000,4725000,15516000,6496000,1676000,1641000,167000,1127000,4793000,837000,355000,307000,2062000,1023000,7000,22000,10684000,-10649000,81000,5000,-5000,395000,,-1953000,1436000,-175000,-1918000,-154000,-131000,-2206000,-108000
CashflowFinancingCashflow,-97000,-572000,21263000,60643000,-1761000,17495000,423000,5805000,410000,-6003000,557000,8768000,-1811000,-1501000,-1111000,-1462000,2202000,1932000,277000,-1305000,38001000,-7760000,-2049000,-4389000,-3814000,-1285000,-3752000,194000,-290000,-4431000,-187000,-8666000,3548000,-5634000,-3984000,16050000,-2710000,-402000,-5633000,9176000,-227000,-927000,-36000,-18352000,,6185000,-117000,0,,0,0,0,
CashflowShareCapitalCash,-452000,81941000,0,,30000,,,1201000,,,0,,,,3465000,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,2091000,0,0,0,60561000,1400000,-911000,0,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3369000,,,4340000,-1113000,-670000,-5447000,-2166000,-57000,23711000,-16833000,-1357000,-4918000,-602000,1724000,-3407000,4000,4624000,-2579000
CashflowNetCashflow,-4233000,2841000,-3664000,2448000,-1298000,-1246000,3218000,2132000,-3571000,-1561000,-790000,2288000,-1258000,-283000,-930000,2914000,-2599000,411000,3170000,-1981000,6373000,-5792000,-885000,-1211000,-258000,58000,123000,-474000,882000,-1008000,-12000,3030000,,,,,,,,,,,,,,,,,,,,,
