,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceInventory,1019066000,1011278000,1103870000,1155909000,1054092000,977773000,990600000,1065095000,1042956000,936849000,973709000,1043663000,1058417000,962698000,1016430000,1087213000,1075059000,999620000,1055212000,1117664000,1113876000,920180000,1076585000,1187515000
BalanceCurrentReceivables,1161433000,904919000,998549000,974434000,1000237000,864015000,882497000,953391000,952102000,791181000,790849000,855137000,934649000,698618000,758076000,853347000,915558000,747917000,807222000,880841000,954435000,764330000,846948000,886962000
BalanceCurrentInvestments,,,,,,,,,,,,,,69761000,57884000,53540000,51123000,39024000,45017000,42417000,36399000,33613000,33929000,34199000
BalanceCash,210297000,352636000,238692000,262527000,244427000,231376000,180108000,189005000,178870000,241003000,174727000,205232000,176203000,134706000,95386000,85797000,92958000,155911000,93190000,139779000,103561000,104427000,72954000,131044000
BalanceOtherCurrentAssets,229838000,196634000,273056000,239859000,263131000,190186000,189682000,183412000,197910000,188423000,205656000,184700000,204902000,208886000,207547000,245027000,244878000,244461000,218548000,214960000,251858000,241353000,255582000,261308000
BalanceAssetsForSale,938000,114936000,34434000,34162000,30357000,34924000,29754000,6112000,6100000,7024000,6751000,6963000,6998000,1317000,1323000,1403000,1367000,1389000,1342000,1327000,1353000,1272000,1284000,1330000
BalanceTotalAssets,4911939000,4894900000,5039406000,5147566000,5051085000,4761255000,4732265000,4859548000,4834674000,4698751000,4583336000,4798599000,4923486000,4693079000,4741928000,5017689000,5041155000,4972196000,4871941000,5036555000,5196822000,4767823000,4997838000,5274980000
BalanceCapital,1561771000,1584141000,1607234000,1632606000,1540054000,1567049000,1573273000,1561232000,1617451000,1608711000,1482209000,1500496000,1529389000,1555166000,1552093000,1622534000,1587532000,1612004000,1558043000,1567833000,1636144000,1529582000,1549153000,1586440000
BalanceShareCapital,273066000,271367000,277287000,287364000,279870000,382538000,384761000,383801000,425575000,434422000,416759000,427502000,432007000,434341000,435044000,451056000,439488000,450903000,430090000,430773000,439192000,425106000,428939000,444543000
BalanceOwnShares,-13041000,-12960000,-13242000,-13724000,-13366000,-13147000,-13223000,-13190000,-13236000,-13511000,-12962000,-13296000,-13436000,-13509000,-13531000,-14029000,-13669000,-14024000,-13377000,-13398000,-13660000,-13222000,-13341000,-13826000
BalanceReserve,828416000,1127391000,1156935000,1177923000,1140041000,1107099000,1105315000,1103454000,1099814000,1097112000,1072839000,1099575000,1090994000,1085634000,1087260000,1135694000,1106274000,898983000,869355000,869230000,900080000,808779000,814976000,835146000
BalanceNonshareCapital,7960000,9615000,9984000,10446000,11279000,11666000,12101000,12462000,11641000,12101000,11858000,12847000,12885000,13330000,13834000,7869000,7779000,9574000,8878000,7895000,6196000,6744000,7041000,7751000
BalanceNoncurrentLiabilities,1379518000,1449091000,1454353000,1489037000,1264852000,1156957000,1144354000,1198006000,1344106000,1484943000,1354281000,1546509000,1491915000,1471487000,1433226000,1564295000,1507462000,1550475000,1511840000,1556603000,1650730000,1523538000,1571197000,1572989000
BalanceNoncurrentTradeLiabilities,,,20816000,27668000,26398000,,,,,,,,,,,,,,,,1058110000,1152570000,1129832000,1148788000
BalanceNoncurrentBorrowings,924238000,848214000,833134000,888219000,1040029000,1176425000,1063520000,1238258000,1177195000,1172611000,1137413000,1258099000,1199917000,1235570000,1210661000,1261437000,1354398000,1233865000,1281838000,1272458000,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,321407000,296521000,303705000,312581000
BalanceNoncurrentOtherLiabilities,314216000,308742000,311221000,309787000,304077000,308518000,290761000,308251000,314720000,298876000,295813000,306196000,307545000,314905000,301180000,295166000,296332000,289673000,289360000,300532000,1962690000,1818031000,1956590000,1996856000
BalanceCurrentLiabilities,2219254000,2010243000,1992467000,2087848000,1861475000,1592996000,1734987000,1738747000,1889297000,1653096000,1742775000,1822992000,1938382000,1800143000,1793179000,1904224000,1903752000,1707959000,1870447000,2107800000,,,,
BalanceCurrentTradePayablesv,,,,789460000,763219000,863606000,699661000,744804000,810556000,941907000,721752000,757522000,824661000,989759000,766349000,816053000,866396000,956813000,910177000,953132000,829408000,637130000,847043000,826799000
BalanceCurrentBorrowings,1079352000,823879000,934417000,937763000,699526000,415728000,687803000,629210000,649260000,387958000,663322000,667901000,657317000,447824000,618863000,641308000,562260000,378430000,533015000,677623000,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,1133282000,1214923000,1120792000,1188677000
BalanceCurrentOtherLiabilities,1155549000,1201705000,1068120000,360625000,398731000,313663000,347524000,364732000,429480000,323231000,357700000,397569000,456404000,362560000,407966000,446864000,475096000,372716000,427255000,477046000,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,4911939000,4860878000,5028161000,5128946000
BalanceTotalEquityAndLiabilities,5035439000,4745915000,4722195000,4859548000,4834674000,4698751000,4583336000,4798599000,4923486000,4693079000,4741928000,5017689000,5041155000,4972196000,4871941000,5036555000,5196822000,4767823000,4997838000,5274980000,,,,
CashflowOperatingCashflow,32026000,299820000,-232431000,114330000,18290000,313686000,-109643000,13282000,69773000,335891000,-177822000,35602000,46998000,374509000,-243807000,4855000,127238000,395143000,-226105000,28246000,44005000,372069000,-181496000,4366000
CashflowAmortization,47946000,45391000,44289000,47184000,44271000,42053000,44224000,44384000,45747000,46007000,46279000,48693000,49066000,47477000,49983000,52155000,51084000,51818000,53887000,55993000,63430000,58134000,61671000,64495000
CashflowInvestingCashflow,-73098000,-62819000,-78401000,-22144000,-93146000,-52184000,-35514000,-46456000,-50486000,-95723000,-40690000,-59661000,-61735000,-91038000,-35624000,-87926000,-90742000,-122978000,-54216000,-49712000,-57324000,-121377000,-40705000,-17128000
CashflowCapex,79001000,113582000,65368000,71389000,100234000,85826000,47411000,48142000,47776000,116178000,38232000,87151000,64579000,128250000,49829000,86638000,94549000,142864000,62246000,67468000,67890000,125373000,53629000,47847000
CashflowFinancingCashflow,6006000,-104245000,172042000,-76077000,87248000,-213908000,88185000,41809000,-40724000,-183569000,152757000,66443000,-14619000,-247461000,239893000,69972000,-27135000,-210812000,224797000,67907000,-25631000,-245716000,189787000,68198000
CashflowShareCapitalCash,,0,,,,107226000,,41037000,-68000,,,,,,,,,,,,9737000,-409000,,
CashflowDividend,,,,,,6180000,0,,,,,,10471000,0,,,-35066000,132756000,-138790000,16109000,12392000,47593000,-56972000,8634000
CashflowNetCashflow,-21437000,56599000,-65755000,42384000,-29357000,36010000,-39538000,-13099000,9361000,61352000,-55524000,46441000,-38950000,4976000,-32414000,55436000,,,,,,,,
