,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
BalanceCurrentReceivables,,,,189091584000,193047764000,191018597000,192135633000,192788091000,197204292000,198596451000,195992864000,195722172000,195701872000,204435973000,198541728000,204388800000,200904678000,199685219000,202721610000,194580827000,199167263000
BalanceCurrentInvestments,,,,198111744000,207647314000,216649741000,233882282000,253005866000,263675076000,256823112000,263314548000,275109656000,275836813000,302478500000,302374688000,311861032000,300293627000,294553238000,302266129000,296142242000,299632575000
BalanceCash,,,,7730381000,6857617000,7834975000,9161047000,9142634000,11060745000,11274547000,11486606000,9558545000,14896716000,14865255000,13587112000,11453736000,13503360000,13431817000,12927300000,13088284000,15104307000
BalanceOtherCurrentAssets,,,,102937651000,109550852000,112943470000,116684348000,120772271000,131976564000,131829992000,128052345000,120775172000,117598688000,119630116000,116113536000,114404640000,112871210000,111406314000,111997818000,106291216000,113898844000
BalanceAssetsForSale,,,,1028506000,938543000,981972000,922786000,93771000,502947000,377496000,110204000,80969000,8340454000,8196026000,8153992000,66360000,63297000,1743436000,1435099000,,
BalanceTotalAssets,,550719130000,570466988000,581273569000,604800298000,627828265000,656284500000,649716754000,648022600000,650986740000,660658684000,698998874000,686780864000,692913424000,675425408000,666527503000,678980578000,660612167000,679281360000,,
BalanceCapital,,29557094000,31443259000,31810081000,33140944000,34089875000,35766483000,33647477000,34239411000,35293743000,36417989000,38293852000,38816624000,39984112000,39531086000,37903252000,37562425000,36849902000,36563448000,,
BalanceShareCapital,,1310515000,1318131000,1314844000,1319458000,1346887000,1292124000,1325430000,1339398000,1346634000,1348814000,1398458000,1362592000,1397984000,1333457000,1335574000,1361676000,1318004000,1329886000,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,,28246579000,30125129000,30495236000,31821486000,32742989000,34474359000,32322046000,32900013000,33947109000,35069174000,36895394000,37454032000,38586128000,38197630000,36567678000,36200749000,35531897000,35233562000,,
BalanceNonshareCapital,,16576358000,17531974000,17808652000,19311688000,20893795000,22039710000,20632254000,21065842000,21942464000,22596910000,23534809000,23845360000,24818640000,24322927000,22780835000,22415938000,22568740000,22233506000,,
BalanceNoncurrentLiabilities,,438960384000,453970922000,463278767000,480570822000,497866476000,517336191000,517316324000,519321749000,522536607000,530250527000,563237811000,551573792000,560772968000,545438689000,540941282000,555149971000,539359934000,553038985000,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,12885350000,9831754000,9811402000,11111006000,11341980000,10884918000,8141330000,8235600000,8280095000,8284964000,8775767000,8550696000,8772792000,8367863000,8381150000,8549254000,11415753000,11518665000,,
BalanceNoncurrentObligations,,3906662000,3866795000,4668530000,5707909000,5749843000,5610108000,6039936000,6090868000,6140822000,6359916000,6638250000,6459376000,6658120000,6156688000,6107293000,6205104000,5968558000,6199121000,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,422168371000,440272372000,448798835000,463751908000,480774653000,500841165000,503135058000,504995281000,508115691000,515605646000,547823794000,536563720000,545342056000,530914137000,526452840000,540395613000,521975622000,535321200000,,
BalanceCurrentLiabilities,,65625293000,67520833000,68376070000,71776845000,74978119000,81142116000,78120700000,73395598000,71213927000,71393258000,73932403000,72545088000,67337704000,66132706000,64902134000,63852244000,61833593000,67445421000,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,22954752000,22704386000,23296879000,24681381000,26652162000,28721136000,29780240000,25741018000,22803287000,21009065000,19551859000,20197408000,22690696000,21246693000,20342145000,19959751000,18960911000,18475315000,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,42670541000,44816447000,45079191000,47095465000,48325957000,52420980000,48340460000,47654580000,48410640000,50384194000,54380544000,52347680000,44647008000,44886013000,44559990000,43892493000,42872681000,48970106000,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,0,0
BalanceTotalEquityAndLiabilities,0,550719130000,570466988000,581273569000,604800298000,627828265000,656284500000,649716754000,648022600000,650986740000,660658684000,698998874000,686780864000,692913424000,675425408000,666527503000,678980578000,660612167000,679281360000,,
CashflowOperatingCashflow,8296316000,5956979000,6223259000,4391885000,7024469000,7165070000,5874929000,4321972000,13195203000,2852192000,2818669000,6541403000,6266011000,5823958000,4359432000,2057160000,9292000000,5481771000,4981320000,1463986000,10841096000
CashflowAmortization,,,,,,,,,,,,,,,,,,,,,
CashflowInvestingCashflow,-11258093000,-3065074000,-5059560000,-4271616000,-4283925000,-4585312000,-6680800000,-4279349000,-10929897000,3187744000,-2310037000,-8621015000,-657334000,-3456316000,-4976048000,-4614232000,-6245304000,-2261178000,-5463939000,-3845570000,-8749472000
CashflowCapex,116967000,116888000,126489000,141005000,150167000,178919000,158669000,400656000,875046000,255858000,173783000,132107000,55489000,-110638000,107800000,159264000,113935000,118342000,508474000,216887000,159923000
CashflowFinancingCashflow,1035995000,-2329110000,-459577000,-141005000,-3649888000,-1618590000,1958310000,-260000000,-282141000,-6014770000,-313656000,-34092000,-217688000,-3058021000,-189728000,-57512000,-447299000,-3157196000,-189600000,3086466000,-122047000
CashflowShareCapitalCash,8355000,0,0,16589000,,,,,,,,,,,,,,4171000,225580000,2026066000,0
CashflowDividend,4147000,191880000,2088772000,0,4262000,196272000,2533418000,0,4262000,166468000,2823469000,4312000,4424000,185671000,2793717000,0,0,223051000,-1925781000,562796000,704122000
CashflowNetCashflow,-20736000,-909343000,961168000,1152438000,-217377000,1983165000,25166000,194976000,-2113704000,5390989000,-690378000,-806344000,-2614584000,2599397000,63398000,-672220000,704882000,1969578000,,,
