,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeNetGrossProfit_qq,,35.10,92.89,-769.32,-122.72,669.04,-154.16,-68.53,80.73,1778.76,-104.82,401.86
IncomeNetGrossProfit_sq,,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeExtraordinarProfit,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,
IncomeBeforeTaxProfit,-1448000,-940000,-67000,-581000,-1293000,7357000,-3985000,-6716000,-1294000,21731000,-1047000,3162000
IncomeBeforeTaxProfit_yy,,,,,10.72,882.80,-5867.50,-1056.91,-0.12,195.37,73.72,147.08
IncomeBeforeTaxProfit_sy,,,,,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
IncomeBeforeTaxProfit_qq,,35.10,92.89,-769.32,-122.72,669.04,-154.16,-68.53,80.73,1778.76,-104.82,401.86
IncomeBeforeTaxProfit_sq,,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeDiscontinuedProfit,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,
IncomeNetProfit,-1729000,25868000,-143000,278000,-1790000,7683000,-4079000,-7653000,-1646000,24206000,153000,2029000
IncomeNetProfit_yy,,,,,-3.51,-70.30,-2746.80,-2847.90,8.06,215.06,103.74,126.51
IncomeNetProfit_sy,,,,,14.18,5.42,5.02,11.68,44.06,-14.19,44.78,20.03
IncomeNetProfit_qq,,1595.77,-100.55,294.36,-742.75,529.20,-153.09,-87.61,78.49,1570.78,-99.37,1229.65
IncomeNetProfit_sq,,85.44,-57.27,23.52,-10.41,165.17,-66.45,73.45,-1.63,30.86,-32.24,-2.23
IncomeShareholderNetProfit,-1729000,25868000,-143000,278000,-1790000,7683000,-4079000,-7653000,-1646000,24206000,153000,2029000
IncomeShareholderNetProfit_yy,,,,,-3.51,-70.30,-2746.53,-2848.04,8.06,215.06,103.74,126.51
IncomeShareholderNetProfit_sy,,,,,7.03,5.42,5.02,11.68,44.06,-5.10,44.88,10.99
IncomeShareholderNetProfit_qq,,1595.77,-100.55,294.36,-742.75,529.20,-153.09,-87.64,78.50,1570.78,-99.37,1229.65
IncomeShareholderNetProfit_sq,,85.44,-57.27,23.52,-10.42,165.70,-66.88,73.45,-3.66,37.18,-35.04,-7.42
BalanceNoncurrentAssets,,109636000,111631000,116054000,121568000,89140000,97588000,93889000,95814000,66830000,66078000,65865000
BalanceNoncurrentAssets_yy,,,,,,-18.69,-12.58,-19.10,-21.19,-25.03,-32.29,-29.85
BalanceNoncurrentAssets_sy,,,,,,1.85,-0.61,-1.73,-1.45,3.43,6.44,4.34
BalanceNoncurrentAssets_qq,,,1.82,3.96,4.75,-26.67,9.48,-3.79,2.05,-30.25,-1.13,-0.32
BalanceNoncurrentAssets_sq,,,0.86,1.20,-0.30,1.05,-0.89,1.89,1.78,1.19,0.80,0.70
BalanceIntangibleAssets,,50676000,50646000,50630000,50605000,50588000,50578000,50570000,50577000,50574000,50570000,50567000
BalanceIntangibleAssets_yy,,,,,,-0.17,-0.13,-0.12,-0.06,-0.03,-0.02,-0.01
BalanceIntangibleAssets_sy,,,,,,-0.20,-0.47,-0.44,-0.24,-0.52,-0.46,0.01
BalanceIntangibleAssets_qq,,,-0.06,-0.03,-0.05,-0.03,-0.02,-0.02,0.01,-0.01,-0.01,-0.01
BalanceIntangibleAssets_sq,,,-0.13,-0.92,-0.05,-0.04,-1.48,-0.48,,-0.34,-0.19,
BalanceProperty,,56660000,58592000,62654000,68010000,29531000,31097000,33045000,36018000,2449000,2784000,2162000
BalanceProperty_yy,,,,,,-47.88,-46.93,-47.26,-47.04,-91.71,-91.05,-93.46
BalanceProperty_sy,,,,,,0.46,-0.28,-0.55,0.04,4.15,5.73,4.13
BalanceProperty_qq,,,3.41,6.93,8.55,-56.58,5.30,6.27,9.00,-93.20,13.68,-22.32
BalanceProperty_sq,,,-0.02,1.49,-0.36,1.25,-0.50,0.73,0.33,0.28,0.67,3.25
BalanceNoncurrentReceivables,,202000,262000,214000,462000,6943000,12568000,7324000,6097000,3952000,1597000,1518000
BalanceNoncurrentReceivables_yy,,,,,,3330.25,4698.88,3314.87,1220.44,-43.09,-87.29,-79.27
BalanceNoncurrentReceivables_sy,,,,,,3.61,0.57,0.22,-1.57,0.88,5.34,-1.90
BalanceNoncurrentReceivables_qq,,,29.39,-18.11,115.28,1403.81,81.01,-41.73,-16.75,-35.19,-59.58,-4.95
BalanceNoncurrentReceivables_sq,,,,5.30,,0.73,,0.27,-0.96,-0.91,-0.54,1.08
BalanceNoncurrInvestments,,,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,,2097000,2131000,2556000,2491000,2077000,3345000,2951000,3122000,9856000,11127000,11618000
BalanceOtherNoncurrentAssets_yy,,,,,,-0.97,56.94,15.43,25.34,374.57,232.64,293.72
BalanceOtherNoncurrentAssets_sy,,,,,,-5.84,-1.08,-10.93,0.76,2.62,-1.94,2.36
BalanceOtherNoncurrentAssets_qq,,,1.62,19.94,-2.56,-16.62,61.06,-11.79,5.80,215.70,12.89,4.41
BalanceOtherNoncurrentAssets_sq,,,-0.37,2.50,-1.56,-4.90,0.42,-1.84,2.45,1.15,-0.37,3.86
BalanceCurrentAssets,,230686000,214044000,239985000,246416000,279476000,309743000,311879000,316464000,396643000,429801000,436055000
BalanceCurrentAssets_yy,,,,,,21.15,44.71,29.96,28.43,41.92,38.76,39.82
BalanceCurrentAssets_sy,,,,,,5.70,14.16,12.40,13.98,13.28,13.37,13.97
BalanceCurrentAssets_qq,,,-7.21,12.12,2.68,13.42,10.83,0.69,1.47,25.34,8.36,1.46
BalanceCurrentAssets_sq,,,0.03,3.98,2.05,-3.88,5.43,4.15,3.30,0.85,2.58,1.20
BalanceInventory,,209270000,195608000,208883000,225758000,234126000,248434000,263909000,284948000,317213000,342114000,348381000
BalanceInventory_yy,,,,,,11.88,27.01,26.34,26.22,35.49,37.71,32.01
BalanceInventory_sy,,,,,,10.48,6.00,8.83,2.22,-0.09,3.72,5.89
BalanceInventory_qq,,,-6.53,6.79,8.08,3.71,6.11,6.23,7.97,11.32,7.85,1.83
BalanceInventory_sq,,,-0.50,2.90,3.36,-3.38,0.12,3.42,1.78,-1.52,0.12,1.45
BalanceCurrentReceivables,,8432000,8384000,11056000,8297000,35104000,34512000,19160000,6903000,57379000,56680000,50337000
BalanceCurrentReceivables_yy,,,,,,316.32,311.66,73.30,-16.79,63.46,64.23,162.72
BalanceCurrentReceivables_sy,,,,,,-6.18,7.62,-3.14,10.40,7.54,14.28,19.21
BalanceCurrentReceivables_qq,,,-0.57,31.87,-24.96,323.10,-1.69,-44.48,-63.97,731.16,-1.22,-11.19
BalanceCurrentReceivables_sq,,,0.75,-1.98,-1.46,-10.90,4.85,-3.16,10.31,-3.49,7.13,2.39
BalanceCurrentInvestments,,210000,122000,354000,118000,120000,122000,,1421000,231000,679000,
BalanceCurrentInvestments_yy,,,,,,-42.83,-0.05,-100.00,1106.23,92.96,457.66,
BalanceCurrentInvestments_sy,,,,,,-38.65,-1.69,-7.42,8.29,16.05,-6.48,
BalanceCurrentInvestments_qq,,,-41.86,190.33,-66.70,1.71,1.65,-100.00,,-83.73,193.76,-100.00
BalanceCurrentInvestments_sq,,,-2.08,4.33,-1.16,,0.91,,,-3.00,1.54,3.03
BalanceCash,,12624000,8733000,17718000,11247000,9294000,23980000,28028000,21402000,20221000,29103000,36908000
BalanceCash_yy,,,,,,-26.38,174.59,58.19,90.29,117.58,21.36,31.68
BalanceCash_sy,,,,,,-18.20,27.96,12.58,16.66,10.20,17.00,23.06
BalanceCash_qq,,,-30.82,102.89,-36.52,-17.37,158.03,16.88,-23.64,-5.52,43.92,26.82
BalanceCash_sq,,,-15.98,10.42,4.48,5.33,0.32,-0.77,-12.91,21.11,9.24,5.57
BalanceOtherCurrentAssets,,150000,1198000,1974000,996000,833000,2695000,782000,1789000,1598000,1224000,429000
BalanceOtherCurrentAssets_yy,,,,,,456.24,125.02,-60.41,79.59,91.85,-54.57,-45.10
BalanceOtherCurrentAssets_sy,,,,,,-0.12,-8.68,-8.64,2.50,23.05,0.07,-9.55
BalanceOtherCurrentAssets_qq,,,699.96,64.81,-49.54,-16.39,223.62,-71.00,128.88,-10.68,-23.37,-64.96
BalanceOtherCurrentAssets_sq,,,106.66,-9.66,-21.12,-16.77,45.41,-7.35,-8.62,-20.65,71.39,-16.97
BalanceAssetsForSale,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,
BalanceTotalAssets,,340321000,325675000,356040000,367983000,368616000,407331000,405768000,412278000,463473000,495879000,501920000
BalanceTotalAssets_yy,,,,,,8.31,25.07,13.97,12.04,25.73,21.74,23.70
BalanceTotalAssets_sy,,,,,,5.60,6.24,5.49,4.88,6.00,8.82,8.67
BalanceTotalAssets_qq,,,-4.30,9.32,3.35,0.17,10.50,-0.38,1.60,12.42,6.99,1.22
BalanceTotalAssets_sq,,,0.20,2.08,0.62,0.43,0.34,1.87,2.10,1.34,2.38,3.62
BalanceCapital,,202251000,201644000,234557000,232849000,237260000,235060000,207872000,206226000,230507000,230637000,221808000
BalanceCapital_yy,,,,,,17.31,16.57,-11.38,-11.43,-2.85,-1.88,6.70
BalanceCapital_sy,,,,,,4.20,4.89,3.44,6.36,4.34,6.00,5.53
BalanceCapital_qq,,,-0.30,16.32,-0.73,1.89,-0.93,-11.57,-0.79,11.77,0.06,-3.83
BalanceCapital_sq,,,0.47,-0.36,0.14,1.89,-0.09,-1.20,1.99,2.84,1.14,-1.17
BalanceShareCapital,,8000000,8000000,9700000,9700000,9700000,9700000,9700000,9700000,9700000,9700000,9700000
BalanceShareCapital_yy,,,,,,21.25,21.25,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,
BalanceShareCapital_qq,,,,21.25,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,
BalanceReserve,,178010000,178306000,215008000,215090000,213997000,213782000,258931000,258931000,259006000,258984000,291721000
BalanceReserve_yy,,,,,,20.22,19.90,20.43,20.38,21.03,21.14,12.66
BalanceReserve_sy,,,,,,1.89,1.24,0.52,0.82,0.60,0.69,0.74
BalanceReserve_qq,,,0.17,20.58,0.04,-0.51,-0.10,21.12,,0.03,-0.01,12.64
BalanceReserve_sq,,,,0.07,,,,0.20,,,,0.10
BalanceNonshareCapital,,,,,,,1000,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,-100.00,
BalanceNonshareCapital_sy,,,,,,,,,,,9.82,
BalanceNonshareCapital_qq,,,,,,,,-100.00,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,59351000,77495000,72295000,74388000,81273000,119505000,134898000,128786000,153679000,161666000,163825000
BalanceNoncurrentLiabilities_yy,,,,,,36.94,54.21,86.59,73.13,89.09,35.28,21.44
BalanceNoncurrentLiabilities_sy,,,,,,4.04,2.92,0.25,-3.30,-3.30,7.00,9.06
BalanceNoncurrentLiabilities_qq,,,30.57,-6.71,2.90,9.26,47.04,12.88,-4.53,19.33,5.20,1.34
BalanceNoncurrentLiabilities_sq,,,0.65,-0.17,2.90,1.10,-3.36,-0.42,0.89,-0.47,1.57,1.42
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,55647000,75681000,60387000,69978000,67277000,60658000,65516000,121360000,76953000,79549000,66389000
BalanceNoncurrentBorrowings_yy,,,,,,20.90,-19.85,8.49,73.42,14.38,31.14,1.33
BalanceNoncurrentBorrowings_sy,,,,,,4.67,2.66,-1.07,-2.00,-9.24,5.46,7.64
BalanceNoncurrentBorrowings_qq,,,36.00,-20.21,15.88,-3.86,-9.84,8.01,85.24,-36.59,3.37,-16.54
BalanceNoncurrentBorrowings_sq,,,0.09,-1.13,3.40,2.08,-3.71,-2.11,0.80,-3.38,0.64,1.82
BalanceNoncurrentObligations,,,,,,10000000,55000000,64986000,,64948000,69929000,84955000
BalanceNoncurrentObligations_yy,,,,,,,,,,549.48,27.14,30.73
BalanceNoncurrentObligations_sy,,,,,,,,,,,10.02,14.06
BalanceNoncurrentObligations_qq,,,,,,,450.00,18.16,-100.00,,7.67,21.49
BalanceNoncurrentObligations_sq,,,,,,,-3.93,0.08,0.06,,0.76,3.36
BalanceNoncurrentLeasing,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,3704000,1814000,11908000,4410000,3997000,3847000,4397000,7426000,11778000,12188000,12480000
BalanceNoncurrentOtherLiabilities_yy,,,,,,7.90,112.07,-63.08,68.38,194.71,216.84,183.85
BalanceNoncurrentOtherLiabilities_sy,,,,,,4.66,2.20,6.55,5.62,25.84,21.41,15.39
BalanceNoncurrentOtherLiabilities_qq,,,-51.03,556.46,-62.96,-9.38,-3.75,14.30,68.89,58.61,3.48,2.40
BalanceNoncurrentOtherLiabilities_sq,,,1.89,3.29,2.06,-2.78,-0.04,5.25,2.97,3.28,2.22,3.31
BalanceCurrentLiabilities,,78719000,46535000,49187000,60746000,50082000,52766000,62998000,77266000,79287000,103576000,116287000
BalanceCurrentLiabilities_yy,,,,,,-36.38,13.39,28.08,27.20,58.31,96.29,84.59
BalanceCurrentLiabilities_sy,,,,,,-4.84,-5.28,-7.27,16.88,17.42,15.40,9.42
BalanceCurrentLiabilities_qq,,,-40.88,5.70,23.50,-17.56,5.36,19.39,22.65,2.62,30.63,12.27
BalanceCurrentLiabilities_sq,,,4.57,9.98,-5.45,-7.26,5.34,6.44,-0.94,9.29,0.56,10.26
BalanceCurrentTradePayablesv,,19446000,14349000,18367000,25489000,29080000,26400000,24493000,17299000,22127000,34632000,53469000
BalanceCurrentTradePayablesv_yy,,,,,,49.54,83.98,33.36,-32.13,-23.91,31.18,118.30
BalanceCurrentTradePayablesv_sy,,,,,,6.47,7.76,15.49,27.16,23.08,17.70,11.54
BalanceCurrentTradePayablesv_qq,,,-26.21,28.00,38.78,14.09,-9.22,-7.22,-29.37,27.91,56.52,54.39
BalanceCurrentTradePayablesv_sq,,,-7.76,10.87,-3.36,11.69,5.44,3.35,-0.36,-1.09,0.96,12.55
BalanceCurrentBorrowings,,41198000,15459000,19484000,12342000,7391000,7964000,19175000,16838000,11932000,25282000,30745000
BalanceCurrentBorrowings_yy,,,,,,-82.06,-48.48,-1.59,36.42,61.44,217.45,60.34
BalanceCurrentBorrowings_sy,,,,,,-16.00,-28.91,-6.35,4.11,30.83,16.05,-7.80
BalanceCurrentBorrowings_qq,,,-62.47,26.03,-36.65,-40.12,7.76,140.77,-12.19,-29.14,111.89,21.61
BalanceCurrentBorrowings_sq,,,-1.88,1.36,-12.66,0.28,0.14,5.80,1.72,5.06,-3.13,2.46
BalanceCurrentObligations,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,16061000,16067000,10092000,21298000,11968000,13770000,18146000,41088000,44139000,42092000,30482000
BalanceCurrentOtherLiabilities_yy,,,,,,-25.48,-14.29,79.81,92.92,268.81,205.68,67.98
BalanceCurrentOtherLiabilities_sy,,,,,,-4.53,-11.48,-9.45,-3.86,-4.74,11.18,11.08
BalanceCurrentOtherLiabilities_qq,,,0.04,-37.19,111.04,-43.81,15.06,31.78,126.43,7.43,-4.64,-27.58
BalanceCurrentOtherLiabilities_sq,,,0.12,1.80,-0.98,-6.49,-2.72,-0.38,2.73,7.43,-2.84,-3.99
BalanceReckoning,,2015000,660000,1244000,1617000,1643000,4632000,1183000,2041000,1089000,1569000,1590000
BalanceReckoning_yy,,,,,,-18.46,602.08,-4.91,26.23,-33.72,-66.12,34.39
BalanceReckoning_sy,,,,,,-11.68,2.06,-40.12,-9.30,14.06,18.26,22.10
BalanceReckoning_qq,,,-67.26,88.57,29.97,1.62,181.88,-74.46,72.53,-46.64,44.10,1.31
BalanceReckoning_sq,,,13.42,30.61,27.07,-73.61,13.56,12.87,11.59,-16.44,1.78,9.52
BalanceTotalEquityAndLiabilities,0,340321000,325675000,356040000,367983000,368616000,407331000,405768000,412278000,463473000,495879000,501920000
BalanceTotalEquityAndLiabilities_yy,,,,,,8.31,25.07,13.97,12.04,25.73,21.74,23.70
BalanceTotalEquityAndLiabilities_sy,,,,,,4.90,5.80,5.49,5.22,5.78,8.82,8.67
BalanceTotalEquityAndLiabilities_qq,,,-4.30,9.32,3.35,0.17,10.50,-0.38,1.60,12.42,6.99,1.22
BalanceTotalEquityAndLiabilities_sq,,,0.67,2.04,0.53,0.17,0.34,2.05,2.10,1.34,2.38,3.62
CashflowOperatingCashflow,-4711000,1289000,8619000,-460000,-5743000,-9910000,-18989000,-8276000,2159000,-21023000,-13773000,5479000
CashflowOperatingCashflow_yy,,,,,-21.91,-868.67,-320.31,-1701.01,137.60,-112.15,27.47,166.20
CashflowOperatingCashflow_sy,,,,,10.13,-33.73,12.50,-19.86,46.54,73.28,10.88,14.68
CashflowOperatingCashflow_qq,,127.37,568.58,-105.33,-1149.67,-72.56,-91.62,56.41,126.09,-1073.68,34.49,139.78
CashflowOperatingCashflow_sq,,33.23,-61.87,5.06,-5.77,-7.15,-1.50,-17.14,34.73,4.93,-16.48,-1.85
CashflowAmortization,118000,110000,83000,69000,64000,39000,53000,70000,72000,117000,125000,132000
CashflowAmortization_yy,,,,,-46.12,-64.85,-36.04,2.32,12.91,201.48,136.74,87.53
CashflowAmortization_sy,,,,,3.57,-2.34,0.96,1.16,,3.80,14.18,8.89
CashflowAmortization_qq,,-6.93,-24.93,-16.72,-7.40,-39.28,36.61,33.22,2.18,62.12,7.27,5.53
CashflowAmortization_sq,,-1.76,-1.11,0.54,0.82,-1.34,,2.00,,,4.08,2.69
CashflowInvestingCashflow,-4516000,-4080000,-2811000,99000,-7582000,2621000,-6893000,3412000,-2007000,5612000,-2073000,109000
CashflowInvestingCashflow_yy,,,,,-67.88,164.24,-145.23,3340.43,73.52,114.15,69.92,-96.82
CashflowInvestingCashflow_sy,,,,,42.84,37.74,24.48,-11.76,-12.84,-75.57,-49.84,-42.74
CashflowInvestingCashflow_qq,,9.67,31.11,103.53,-7746.57,134.57,-363.00,149.49,-158.84,379.57,-136.94,105.24
CashflowInvestingCashflow_sq,,37.54,-6.64,38.72,0.60,-40.34,6.77,-62.79,21.04,-22.88,-22.70,-46.74
CashflowCapex,2288000,0,15000,21000,0,2000,682000,62000,211000,77000,,
CashflowCapex_yy,,,,,-100.00,,4360.26,195.65,,3030.93,-100.00,-100.00
CashflowCapex_sy,,,,,-59.22,,-24.50,91.61,,-18.98,22.33,-33.54
CashflowCapex_qq,,-100.00,,36.64,-100.00,,27521.13,-90.94,242.12,-63.42,-100.00,
CashflowCapex_sq,,-27.16,,4.38,-49.17,,-53.40,84.62,-17.44,-24.73,-50.00,
CashflowFinancingCashflow,9153000,2166000,-3684000,12864000,4206000,4647000,37201000,4670000,-13960000,15357000,21976000,5064000
CashflowFinancingCashflow_yy,,,,,-54.05,114.60,1109.76,-63.69,-431.92,230.45,-40.93,8.43
CashflowFinancingCashflow_sy,,,,,15.07,29.30,11.04,-85.92,-87.87,29.55,-37.04,59.11
CashflowFinancingCashflow_qq,,-76.34,-270.12,449.16,-67.31,10.50,700.49,-87.45,-398.89,210.01,43.10,-76.96
CashflowFinancingCashflow_sq,,-4.14,-10.16,60.34,-12.19,20.92,-8.04,-79.97,-4.86,53.62,5.68,22.06
CashflowShareCapitalCash,,,,33274000,0,-19000,,1000,0,0,,
CashflowShareCapitalCash_yy,,,,,,,,-100.00,,100.00,,-100.00
CashflowShareCapitalCash_sy,,,,,,,,-100.00,,-100.00,,98.21
CashflowShareCapitalCash_qq,,,,,-100.00,,100.00,,-100.00,,,
