,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeShareholderNetProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,7914000,7767000,7570000,7459000,7280000,9190000,9101000,9091000,8931000,9484000,9595000,9592000,9704000,9787000,9800000,9660000,9705000,11147000,11101000,11048000,11007000,11126000,10979000,10946000,10966000,10797000,11053000,10896000,10870000,10645000,1743000,4000,4000,,2000,7982000,8125000,7172000,341000,347000,6208000,6269000,6145000,6099000
BalanceIntangibleAssets,6026000,8003000,7886000,8879000,8760000,9304000,9351000,9400000,9454000,9546000,9577000,9460000,9510000,10394000,10354000,10324000,10289000,10173000,10220000,10187000,10010000,9921000,9968000,9839000,9798000,9756000,872000,,,,,,,,,,1156000,948000,875000,810000,704000,637000,565000,212000
BalanceProperty,171000,136000,135000,114000,159000,155000,150000,188000,183000,741000,735000,712000,706000,923000,729000,732000,929000,851000,809000,822000,805000,660000,643000,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550000,550000,550000,550000,550000,550000,650000,,,,,
BalanceNoncurrInvestments,,,,0,,20000,20000,20000,20000,20000,270000,222000,254000,206000,201000,,,,7980000,8125000,7172000,337000,343000,,,,,,,,,,44000,109000,78000,91000,86000,73000,12000,12000,12000,12000,12000,12000
BalanceOtherNoncurrentAssets,10000,10000,7000,7000,5000,6000,13000,13000,23000,27000,4000,4000,,2000,2000,,4000,4000,3918000,4735000,5693000,5202000,4768000,3848000,4193000,4186000,4628000,6485000,6396000,5783000,6157000,12421000,14524000,14494000,16020000,15689000,15672000,14483000,13754000,11017000,9387000,8479000,7995000,7427000
BalanceCurrentAssets,6786000,7176000,7220000,6045000,6118000,4508000,191746000,4761000,4787000,4780000,4826000,9835000,1844000,468000,473000,7302000,4167000,4306000,25000,25000,12000,13000,30000,318000,343000,324000,1014000,1487000,3514000,3618000,4205000,4805000,10116000,10591000,12278000,12184000,12022000,11037000,11430000,9448000,8100000,7185000,6611000,5479000
BalanceInventory,4877000,5414000,4727000,4208000,3666000,8000,,,,,,7000,1592000,1973000,2039000,1991000,2161000,1759000,1672000,1705000,1583000,1345000,1427000,1334000,1235000,1584000,1301000,1470000,1491000,1401000,1433000,1277000,589000,167000,240000,267000,236000,253000,505000,490000,291000,167000,233000,4491000
BalanceCurrentReceivables,11000,16000,23000,30000,36000,3308000,50000,459000,65000,78000,86000,202000,,,,,,,,,,,,,,,,,,,,0,,0,5000,5000,29000,36000,12000,48000,43000,80000,40000,191712000
BalanceCurrentInvestments,4718000,4721000,4741000,4785000,6504000,1710000,7206000,4028000,4066000,1008000,599000,1205000,1174000,398000,1059000,1283000,1158000,1078000,3106000,1176000,183000,36000,5927000,2719000,1804000,1511000,1855000,1595000,1488000,1322000,1341000,1004000,1006000,1103000,1646000,1377000,1208000,2096000,1535000,2127000,16000,14000,26000,28000
BalanceCash,4000,3000,4000,79000,5000,404000,17000,43000,35000,1293000,2138000,2437000,2024000,2179000,712000,895000,999000,953000,547000,279000,648000,681000,105000,388000,629000,740000,249000,622000,681000,413000,61000,38000,16000,16000,13000,15000,16000,63000,55000,52000,1000,9000,1000,7000
BalanceOtherCurrentAssets,5000,2000,19000,5000,4000,4000,1000,3000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,11832000,12502000,13263000,12661000,12048000,13038000,13294000,13277000,13559000,15969000,15991000,15375000,15861000,22208000,24324000,24154000,25725000,26836000,26773000,25531000,24761000,22143000,20366000,19425000,18961000,18224000,17839000,18072000,18090000,16690000,7861000,4508000,191746000,4765000,4791000
BalanceTotalAssets,4780000,4826000,9837000,9826000,8593000,7645000,7643000,4514000,4306000,9897000,10477000,10479000,9925000,9890000,9546000,9688000,10823000,10735000,13021000,12742000,12869000,12651000,20850000,20861000,21037000,21049000,21254000,21298000,19481000,19354000,16574000,17020000,16756000,15627000,15120000,15095000,14684000,14438000,13763000,4610000,4480000,191707000,4718000,4539000
BalanceCapital,4545000,4548000,9730000,9775000,7368000,7392000,7382000,4105000,4063000,9350000,9350000,9350000,9350000,9350000,9350000,9350000,10450000,10450000,10450000,12450000,12450000,12450000,18450000,18450000,18450000,18450000,18450000,18450000,18450000,18450000,18450000,18450000,18450000,13828000,13838000,13837000,13838000,13838000,13838000,13838000,13838000,13838000,13838000,13838000
BalanceShareCapital,13838000,185000,185000,2952000,2952000,2952000,1982000,1982000,1982000,,,,,,,,,,,,,,,,,2988000,,-234000,-234000,-234000,-234000,-234000,-234000,-234000,-234000,-235000,-234000,-234000,-234000,-234000,,,,-2518000
BalanceOwnShares,-2518000,-7000,-3259000,-3259000,45000,45000,45000,376000,290000,290000,390000,196000,196000,3196000,821000,821000,821000,2988000,2988000,2988000,2988000,2988000,2803000,2803000,2803000,2803000,2803000,3813000,3805000,3805000,2403000,2403000,2403000,2402000,1598000,188598000,1046000,1046000,1046000,14699000,19680000,16876000,16877000,16877000
BalanceReserve,15336000,15336000,15324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,693000,791000,725000,637000,563000,793000,734000,646000,1064000,1402000,1406000,45000,45000,45000,45000,3000,3000,293000,1047000,34000,1033000,1016000,1024000,1016000,1016000,1012000,1011000,14000,9000,5000,18000,31000,45000,161000,182000,186000,194000,202000,693000,746000,680000
BalanceNoncurrentLiabilities,592000,563000,748000,674000,601000,1019000,1357000,1361000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45000,45000,45000,45000,45000,45000
BalanceNoncurrentTradeLiabilities,45000,45000,45000,45000,45000,45000,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,
BalanceNoncurrentLeasing,,,,3000,3000,293000,1047000,34000,1033000,1016000,1024000,1016000,1016000,1012000,1011000,14000,9000,5000,18000,31000,45000,161000,182000,186000,194000,202000,1242000,1234000,2059000,2098000,1595000,2698000,2872000,1808000,1760000,1545000,1843000,2460000,3165000,1313000,3418000,3117000,4675000,5579000
BalanceNoncurrentOtherLiabilities,5471000,5757000,5407000,4522000,3346000,2635000,2301000,2088000,1720000,2372000,2636000,1915000,2240000,28000,25000,38000,247000,217000,247000,62000,51000,1064000,71000,75000,215000,41000,1175000,1167000,1944000,1999000,1497000,2588000,2736000,1675000,1634000,1241000,1521000,2148000,2853000,1058000,3178000,3054000,4612000,5516000
BalanceCurrentLiabilities,5408000,133000,5344000,27000,3294000,70000,113000,46000,62000,82000,26000,92000,63000,9000,15000,8000,15000,7000,29000,39000,35000,21000,19000,48000,21000,29000,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,5572000,4422000,2473000,2095000,1969000,1573000,2239000,2537000,1675000,2121000,,,,,,37000,1000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,64000,65000,113000,98000,97000,95000,136000,133000,126000,304000,322000,312000,312000,240000,240000,63000,63000,63000,63000,52000,63000,73000,52000,74000
BalanceCurrentLeasing,90000,73000,85000,51000,73000,148000,56000,19000,10000,30000,232000,210000,218000,23000,16000,1043000,15000,26000,193000,11000,3000,2000,2000,1000,1000,15000,,,,15000,,,,0,,,,18000,3000,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,11832000,12502000,13263000,12660000,12048000,13037000,13294000,13277000,13559000,15968000,15991000,15374000,15861000,22208000,24324000,24154000,25724000,26836000,26772000,25531000,24761000,22143000,20366000,19425000,18961000,18224000,17839000,18072000,18090000,16690000,7861000,4508000,191746000
BalanceReckoning,4765000,4791000,4780000,4826000,9837000,9826000,8593000,7645000,7643000,4514000,4306000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,126000,-441000,677000,131000,148000,2490000,294000,-867000,-497000,-557000,-1448000,-1028000,-421000,-779000,-5180000,-924000,-1882000,1037000,561000,-751000,336000,952000,1061000,751000,549000,832000,409000,-785000,614000,393000,157000,-2111000,4476000,-2157000,-65000,-74000,-119000,-3237000,3224000,-3244000,363000,-81000,2670000,-2625000
CashflowAmortization,184000,214000,203000,203000,174000,162000,186000,180000,161000,199000,43000,28000,29000,29000,29000,30000,30000,43000,41000,74000,38000,59000,57000,63000,65000,62000,58000,59000,59000,61000,3000,0,0,,,,,,,,,-1084000,447000,12000
CashflowInvestingCashflow,-71000,85000,-2051000,11000,79000,477000,138000,-36000,-141000,1086000,-135000,23000,-16000,7000,-1766000,-6000,0,-28000,-51000,-19000,-19000,-17000,-233000,9000,-9000,10000,46000,0,-4478000,2302000,67000,50000,119000,-1744000,-3112000,3150000,0,-272000,608000,-7000,226000,730000,62000,45000
CashflowCapex,2098000,2000,1112000,-297000,-130000,47000,1313000,-1086000,155000,16000,32000,1000,1214000,1000,5000,0,9000,59000,19000,0,7000,4000,4000,0,1000,3000,0,0,,,,,,,337000,,654000,-415000,-84000,-90000,-1010000,-394000,-81000,663000
CashflowFinancingCashflow,-60000,2448000,-446000,176000,-813000,6805000,1950000,24000,1580000,1072000,-822000,665000,-501000,-905000,-1346000,-730000,-434000,-271000,-445000,607000,283000,-964000,389000,0,0,-133000,,-1000,4982000,-37000,20000,36000,-34000,-3252000,2624000,,,,,,,,986000,-369000
CashflowShareCapitalCash,2383000,9000000,,,,,,,,,,,,,,,,,,,,,,4981000,-37000,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,-304000,-409000,605000,-30000,-777000,45000,224000,-125000,-80000,2029000,-1930000,-993000,-148000,5891000,-3207000,-916000,-295000
CashflowNetCashflow,343000,-261000,-92000,-165000,19000,-336000,2000,96000,544000,-269000,-169000,888000,-561000,592000,-2111000,-2000,12000,2000,-24000,-1000,75000,-74000,399000,26000,-8000,,,,,,,,,,,,,,,,,,,
