,2010/Q1,2010/Q2,2010/Q3,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
BalanceIntangibleAssets,,,,,,2529000,,2234000,4755000,5050000,3086000,14084000,15839000,19739000,23370000,23974000,23803000,24325000,24274000,25935000,32206000,31457000,30693000,29884000,29198000,28386000,25067000,23993000,,
BalanceProperty,,,,,602000,,372000,338000,267000,72000,83000,633000,1033000,1200000,1503000,1902000,1999000,1987000,2652000,2549000,2370000,2384000,2544000,2522000,2233000,1830000,,,,
BalanceNoncurrentReceivables,,,,,,,,0,,,,27000,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,803000,893000,,1171000,1794000,1895000,2518000,2609000,2195000,8497000,75000,16547000,17237000,16627000,9492000,8897000,8409000,,,,,,,104000
BalanceOtherNoncurrentAssets,,,268000,66000,40000,40000,138000,138000,232000,183000,275000,566000,264000,337000,791000,8898000,482000,708000,1894000,4479000,7375000,7060000,,,,,,,9031000,
BalanceCurrentAssets,24289000,8659000,10784000,8212000,22807000,22806000,30695000,33154000,37220000,42273000,44314000,47298000,52198000,80766000,73733000,92305000,74531000,89980000,87021000,80152000,76289000,,,,,,,,,
BalanceInventory,,239000,1542000,370000,1795000,370000,220000,427000,481000,458000,420000,2108000,2017000,1652000,911000,1296000,1541000,1221000,548000,1608000,7597000,,,,,,,4561000,,5189000
BalanceCurrentReceivables,4726000,6084000,6058000,13707000,14934000,20291000,23370000,28510000,34469000,35009000,37805000,41577000,60106000,58187000,72464000,55748000,72853000,70451000,62414000,47897000,,,,,,,3195000,,18130000,3026000
BalanceCurrentInvestments,3088000,3290000,1716000,1835000,2066000,1461000,4735000,4227000,5165000,6422000,8598000,7564000,4203000,2989000,4607000,5225000,4647000,5959000,,,,,,,623000,,,402000,1784000,3719000
BalanceCash,5750000,7241000,5952000,6233000,1894000,1759000,1166000,1164000,5936000,2264000,2066000,1157000,284000,1664000,617000,1197000,,,,,,,652000,,970000,266000,69000,296000,36000,1108000
BalanceOtherCurrentAssets,1339000,535000,717000,2899000,1054000,1018000,4474000,4807000,12276000,13096000,11015000,9165000,10916000,13689000,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,11110000,14629000,1569000,1283000,5806000,9567000,16951000,18310000,12266000,16775000,21687000,26895000,14019000,16166000,12141000,37896000,38866000,51231000
BalanceTotalAssets,58960000,64371000,69749000,73625000,76444000,82652000,124912000,116712000,142397000,124744000,140243000,131932000,134884000,132260000,1189000,1221000,3459000,8420000,13322000,14938000,7284000,10179000,16353000,17419000,7506000,8805000,9519000,25802000,27692000,37824000
BalanceCapital,42730000,45691000,50047000,51671000,52027000,55579000,55645000,63111000,64099000,64401000,64627000,64670000,65182000,65709000,1100000,1100000,1300000,1300000,1300000,1365000,1365000,1365000,1365000,1365000,1365000,1345000,3385000,17035000,17035000,17877000
BalanceShareCapital,17994000,17994000,17994000,17994000,17994000,17994000,17994000,17994000,18776000,18776000,18776000,18776000,18776000,18776000,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,4771000,,6459000,10338000,19152000,117000,224000,224000,8382000,10215000
BalanceReserve,16934000,20100000,20733000,31225000,31255000,20100000,26675000,33388000,33388000,45247000,45247000,48231000,48229000,,,,,,,1076000,,,983000,1053000,719000,1066000,1846000,2733000,2403000,2790000
BalanceNonshareCapital,2540000,2426000,2513000,5822000,5520000,5559000,5737000,5830000,5939000,6114000,6481000,,,,,,,201000,248000,1175000,2801000,0,12000,209000,26000,542000,778000,721000,770000,946000
BalanceNoncurrentLiabilities,2801000,2562000,3041000,4100000,10324000,11089000,4937000,5223000,2053000,2732000,,,,,,,199000,,78000,2790000,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,3000,,,511000,764000,637000,675000,844000,786000,746000,1186000,1933000,7938000,9034000
BalanceNoncurrentBorrowings,3202000,4092000,1580000,2300000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,2000,,1097000,7000,12000,209000,26000,31000,14000,84000,95000,102000,2015000,1816000,1855000,2167000,2386000,2055000,1735000,1131000
BalanceNoncurrentOtherLiabilities,473000,432000,380000,62000,1047000,1147000,3629000,3372000,3704000,6596000,5086000,5581000,2730000,6308000,2610000,11166000,10082000,11020000,12719000,15556000,16142000,18468000,19190000,21998000,60404000,43981000,62415000,43517000,64849000,56100000
BalanceCurrentLiabilities,58825000,52206000,,,,,,,2969000,,5581000,,1734000,5463000,3873000,4592000,4929000,7524000,6998000,7744000,8848000,7002000,27870000,18866000,36585000,19128000,33395000,23345000,26383000,21434000
BalanceCurrentTradePayablesv,,,,,,,,,,,,,13000,1388000,1538000,884000,3352000,4026000,2897000,4678000,5851000,8482000,11917000,13874000,15624000,14822000,22751000,26311000,28085000,26734000
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,1141000,4792000,863000,1802000,2428000,3666000,2593000,2247000,3116000,2961000,3046000,4946000,18606000,9328000,8115000,7398000,5499000,3141000,5807000,7617000
BalanceCurrentOtherLiabilities,,,,,,,735000,,,1589000,1516000,2513000,2243000,1878000,1845000,1759000,3131000,3085000,1445000,1568000,2011000,1913000,2091000,2169000,3204000,3303000,1260000,1553000,1569000,1283000
BalanceReckoning,4506000,9567000,16951000,18310000,12265000,16775000,21687000,24175000,14019000,16166000,12141000,37896000,38866000,51232000,58960000,64371000,69749000,73625000,76444000,82652000,124912000,116712000,142397000,124744000,140243000,131932000,132174000,127128000,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,,,,,,639000,,5398000,-2508000,-206000,597000,44000,2788000,-1663000,1035000,448000,-6260000,-2112000,1322000,708000,5568000,-8298000,5666000,-6670000,30000,-2912000,-436000,-192000,
CashflowAmortization,,,,,,1222000,,341000,861000,113000,191000,540000,453000,1022000,531000,751000,589000,691000,912000,892000,1030000,1060000,1152000,1086000,1065000,644000,606000,,,
CashflowInvestingCashflow,,,,-2752000,,-6295000,3152000,0,-533000,2006000,-906000,-2001000,-2126000,-47000,-988000,-832000,-1230000,-983000,-4210000,504000,-4854000,3207000,-409000,99000,-149000,385000,,,,
CashflowCapex,,,2500000,,1462000,2185000,0,,823000,823000,80000,1365000,1184000,175000,1696000,1020000,32000,98000,580000,-202000,48000,26000,27000,,,,,,,2312000
CashflowFinancingCashflow,,699000,-668000,540000,-115000,-114000,149000,4246000,712000,-121000,2909000,2809000,-685000,273000,3414000,4123000,-1011000,2554000,-494000,4193000,-462000,387000,,,,,,,2200000,
CashflowShareCapitalCash,,,,,,,5000000,20000,0,,20000,0,808000,0,19000,-50000,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,44000,0,,,58000,,,,,,,,,198000,,-197000,-24000,333000,-50000,1936000,2031000,581000
CashflowNetCashflow,-378000,280000,-4339000,-135000,-593000,-2000,4772000,-3671000,-199000,-909000,-873000,1380000,-1047000,580000,,,,,,,,,,,,,,,,
