,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingIncome_sy,,,,,,-10.28,-13.06,71.29,-22.58,38.98,-3.16,15.02,-14.20,-27.50,27.35,71.74,,-11.94,-15.04,-48.08,2.20,39.56,-5.74,43.88,-5.46,-8.94
IncomeOtherOperatingIncome_qq,,,40.43,-1952.59,105.76,-57.99,220.01,-4985.49,100.15,200.00,3100.00,103.12,-100.00,,1150.00,-1384.00,113.08,-90.48,125.00,255.56,-84.38,40.00,-1142.86,409.59,-88.05,225.93
IncomeOtherOperatingIncome_sq,,,-19.39,8.16,28.54,-25.26,-1.00,200.88,-55.58,57.80,-24.47,34.12,-46.37,,3.10,143.70,-59.17,-5.49,-12.40,10.88,1.62,44.76,-8.38,16.42,-23.36,50.02
IncomeOtherOperatingCosts,,40000,291000,-228000,11000,5000,-3000,86000,5000,8000,11000,34000,5000,4000,18000,37000,4000,0,6000,139000,22000,2000,3000,249000,18000,88000
IncomeOtherOperatingCosts_yy,,,,,,-88.51,-101.18,137.78,-53.92,74.06,419.21,-60.47,,-50.00,63.64,8.82,-20.00,-100.00,-66.67,275.68,450.00,,-50.00,79.14,-18.18,4300.00
IncomeOtherOperatingCosts_sy,,,,,,51.11,6.69,36.14,12.90,95.54,45.30,-22.84,,6.59,31.35,94.07,-1.42,32.77,-42.88,-34.24,-0.32,,18.56,73.36,-10.77,49.92
IncomeOtherOperatingCosts_qq,,,627.93,-178.17,104.77,-57.64,-174.98,2595.65,-94.19,60.00,37.50,209.09,-85.29,-20.00,350.00,105.56,-89.19,-100.00,,2216.67,-84.17,-90.91,50.00,8200.00,-92.77,388.89
IncomeOtherOperatingCosts_sq,,,-4.72,8.98,-58.65,33.62,-12.01,367.02,-71.64,130.36,-46.33,176.76,-52.76,31.30,-10.65,298.04,-76.35,18.98,,309.68,-51.02,62.10,-25.36,397.52,-71.29,58.79
IncomeEBIT,447000,791000,87000,829000,-120000,304000,125000,-1586000,171000,-143000,290000,-76000,-103000,0,554000,-374000,-222000,285000,358000,889000,697000,894000,460000,-277000,-60000,854000
IncomeEBIT_yy,,,,,-126.75,-61.53,44.76,-291.22,243.00,-146.99,131.50,95.21,-160.23,100.00,91.03,-392.11,-115.53,,-35.38,337.70,413.96,213.68,28.49,-131.16,-108.61,-4.47
IncomeEBIT_sy,,,,,-32.37,-59.33,24.11,76.60,69.96,16.73,18.00,19.06,-14.00,23.68,22.42,57.18,30.40,,0.83,-22.92,12.63,-10.12,9.90,20.30,24.28,18.94
IncomeEBIT_qq,,76.96,-89.06,858.44,-114.42,354.48,-58.83,-1366.05,110.78,-183.63,302.80,-126.21,-35.53,100.00,,-167.51,40.64,228.38,25.61,148.32,-21.60,28.26,-48.55,-160.22,78.34,1523.33
IncomeEBIT_sq,,2.71,-46.73,-63.43,136.90,8.30,45.05,-52.46,62.35,-11.83,35.90,-48.19,67.08,11.60,,-31.47,38.32,17.97,-13.65,-55.44,85.85,2.93,21.02,-45.50,80.59,-8.69
IncomeFinanceIncome,,,0,122000,0,50000,-17000,199000,0,45000,81000,-39000,39000,5000,29000,5000,,3000,0,-2000,,127000,9000,20000,,6000
IncomeFinanceIncome_yy,,,,,,,-42002.50,63.53,-100.00,-9.55,583.26,-119.60,,-88.89,-64.20,112.82,-100.00,-40.00,-100.00,-140.00,,4133.33,,1100.00,,-95.28
IncomeFinanceIncome_sy,,,,,,,-88.22,46.62,-24.51,-59.64,139.34,-11.58,,-15.20,-58.90,-1.88,-12.50,81.39,74.24,77.04,,-53.36,,-78.15,,151.48
IncomeFinanceIncome_qq,,,,304125.00,-99.99,497410.01,-133.69,1287.28,-100.00,,80.00,-148.15,200.00,-87.18,480.00,-82.76,-100.00,,-100.00,,100.00,,-92.91,122.22,-100.00,
IncomeFinanceIncome_sq,,,,-26.01,-18.72,34.01,-80.27,93.22,-22.13,,10.27,144.73,47.73,-2.76,-58.84,64.23,-8.10,,-75.10,,-34.94,,-41.36,55.13,26.56,
IncomeFinanceCosts,25000,45000,-29000,7000,22000,23000,103000,122000,34000,70000,94000,210000,53000,30000,23000,39000,31000,34000,30000,-13000,11000,24000,49000,84000,109000,126000
IncomeFinanceCosts_yy,,,,,-13.44,-50.00,449.51,1688.86,57.12,211.11,-8.61,72.13,55.88,-57.14,-75.53,-81.43,-41.51,13.33,30.43,-133.33,-64.52,-29.41,63.33,746.15,890.91,425.00
IncomeFinanceCosts_sy,,,,,-45.99,22.94,-51.56,-5.21,-12.40,-20.41,75.47,-12.59,61.35,-52.92,-41.29,17.08,-37.78,29.76,-2.24,-19.34,43.19,24.07,0.48,145.62,-53.06,31.58
IncomeFinanceCosts_qq,,80.00,-165.40,123.17,217.30,3.97,357.16,18.61,-72.13,105.88,34.29,123.40,-74.76,-43.40,-23.33,69.57,-20.51,9.68,-11.76,-143.33,184.62,118.18,104.17,71.43,29.76,15.60
IncomeFinanceCosts_sq,,-60.58,69.84,-11.70,-9.28,-5.16,-28.55,60.35,-15.76,-3.62,78.24,-18.08,97.40,-57.30,46.16,39.61,-4.64,-8.90,21.56,25.00,114.25,-55.63,-28.22,244.59,-61.93,9.71
IncomeOtherIncome,,,,-317000,-30000,-23000,,-48000,0,0,0,447000,233000,-91000,-62000,-22000,0,-42000,19000,234000,-209000,-52000,-86000,-190000,229000,-40000
IncomeOtherIncome_yy,,,,,,,,84.87,100.00,100.00,,1031.25,,,,-104.92,-100.00,53.85,130.65,1163.64,,-23.81,-552.63,-181.20,209.57,23.08
IncomeOtherIncome_sy,,,,,,,,100.00,,100.00,,757.14,,,,-104.92,-95.84,26.92,67.48,100.00,,-23.81,150.54,28.98,209.57,-60.53
IncomeOtherIncome_qq,,,,,90.44,24.52,100.00,,100.00,,,,-47.87,-139.06,31.87,64.52,100.00,,145.24,1131.58,-189.32,75.12,-65.38,-120.93,220.53,-117.47
IncomeOtherIncome_sq,,,,,100.00,-62.74,100.00,,-100.00,,,,-46.58,-86.20,50.57,-101.69,83.97,,-100.00,-39.54,-100.00,100.00,-38.24,-46.01,220.53,-93.75
IncomeNetGrossProfit,422000,746000,116000,627000,-172000,309000,59000,-1557000,137000,-168000,277000,122000,116000,-116000,498000,-430000,-253000,212000,347000,1134000,477000,945000,334000,-531000,60000,694000
IncomeNetGrossProfit_yy,,,,,-140.65,-58.63,-49.23,-348.35,179.86,-154.43,370.34,107.84,-15.33,30.95,79.78,-452.46,-318.10,282.76,-30.32,363.72,288.54,345.75,-3.75,-146.83,-87.42,-26.56
IncomeNetGrossProfit_sy,,,,,-55.40,-17.40,18.89,59.31,66.10,-10.42,11.55,42.12,-11.26,23.10,23.18,45.70,66.04,44.84,5.82,-6.50,11.72,-21.54,0.12,-11.06,40.28,24.34
IncomeNetGrossProfit_qq,,76.78,-84.45,440.43,-127.36,279.92,-80.92,-2743.78,108.80,-222.63,264.88,-55.96,-4.92,-200.00,529.31,-186.35,41.16,183.79,63.68,226.80,-57.94,98.11,-64.66,-258.98,111.30,1056.67
IncomeNetGrossProfit_sq,,14.78,-46.21,-65.04,120.07,24.04,32.53,-57.14,67.12,-16.96,31.24,-51.52,50.04,27.02,18.65,-32.61,42.78,25.87,-14.76,-42.74,51.49,10.87,19.94,-82.94,123.91,6.12
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,422000,746000,116000,627000,-172000,309000,59000,-1557000,137000,-168000,277000,122000,116000,-116000,498000,-430000,-253000,212000,347000,1134000,477000,945000,334000,-531000,60000,694000
IncomeBeforeTaxProfit_yy,,,,,-140.65,-58.63,-49.23,-348.35,179.86,-154.43,370.34,107.84,-15.33,30.95,79.78,-452.46,-318.10,282.76,-30.32,363.72,288.54,345.75,-3.75,-146.83,-87.42,-26.56
IncomeBeforeTaxProfit_sy,,,,,-55.40,-17.40,18.89,59.31,66.10,-10.42,11.55,42.12,-11.26,23.10,23.18,45.70,66.04,44.84,5.82,-6.50,11.72,-21.54,0.12,-11.06,40.28,24.34
IncomeBeforeTaxProfit_qq,,76.78,-84.45,440.43,-127.36,279.92,-80.92,-2743.78,108.80,-222.63,264.88,-55.96,-4.92,-200.00,529.31,-186.35,41.16,183.79,63.68,226.80,-57.94,98.11,-64.66,-258.98,111.30,1056.67
IncomeBeforeTaxProfit_sq,,14.78,-46.21,-65.04,120.07,24.04,32.53,-57.14,67.12,-16.96,31.24,-51.52,50.04,27.02,18.65,-32.61,42.78,25.87,-14.76,-42.74,51.49,10.87,19.94,-82.94,123.91,6.12
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,311000,568000,39000,469000,-172000,283000,50000,-1549000,118000,-184000,290000,105000,90000,-186000,410000,-382000,-291000,155000,297000,960000,382000,720000,316000,-556000,30000,604000
IncomeNetProfit_yy,,,,,-155.16,-50.16,29.50,-430.33,168.78,-165.00,474.62,106.78,-23.73,-1.09,41.38,-463.81,-423.33,183.33,-27.56,351.31,231.27,364.52,6.40,-157.92,-92.15,-16.11
IncomeNetProfit_sy,,,,,-57.92,-37.30,24.34,79.20,68.93,-16.53,11.49,27.62,-4.46,25.66,36.00,58.69,52.86,55.16,-0.02,-11.32,15.00,-20.58,3.94,-8.64,38.55,24.66
IncomeNetProfit_qq,,82.64,-93.14,1103.31,-136.58,265.01,-82.17,-3169.27,107.62,-255.93,257.61,-63.79,-14.29,-306.67,320.43,-193.17,23.82,153.26,91.61,223.23,-60.21,88.48,-56.11,-275.95,105.40,1913.33
IncomeNetProfit_sq,,4.33,-46.65,-58.26,95.15,30.70,9.95,-19.78,34.06,-16.34,28.48,-17.19,12.18,47.02,14.59,-22.69,33.20,27.42,-25.18,-40.14,71.60,10.55,7.99,-67.68,122.39,3.80
IncomeShareholderNetProfit,311000,568000,39000,468000,-172000,283000,50000,-1549000,118000,-184000,290000,105000,90000,-186000,410000,-382000,-291000,155000,297000,960000,382000,720000,316000,-556000,30000,516000
IncomeShareholderNetProfit_yy,,,,,-155.16,-50.16,29.50,-431.32,168.78,-165.00,474.62,106.78,-23.73,-1.09,41.38,-463.81,-423.33,183.33,-27.56,351.31,231.27,364.52,6.40,-157.92,-92.15,-28.33
IncomeShareholderNetProfit_sy,,,,,-65.88,-41.99,24.34,44.34,68.93,-8.82,11.49,27.62,-7.36,25.66,36.70,62.99,55.13,50.95,0.23,-5.70,7.27,-21.16,2.00,-7.15,39.28,24.65
IncomeShareholderNetProfit_qq,,82.64,-93.14,1099.72,-136.69,265.01,-82.17,-3169.27,107.62,-255.93,257.61,-63.79,-14.29,-306.67,320.43,-193.17,23.82,153.26,91.61,223.23,-60.21,88.48,-56.11,-275.95,105.40,1620.00
IncomeShareholderNetProfit_sq,,4.48,-46.65,-58.26,95.15,31.01,9.95,-29.50,34.06,-16.32,28.48,-16.59,12.18,49.60,16.69,-21.98,29.06,26.72,-26.25,-42.42,71.59,9.82,4.07,-67.68,114.93,-1.92
BalanceNoncurrentAssets,9471000,10633000,12726000,13288000,13214000,,13501000,13295000,13016000,12734000,12684000,14456000,14371000,14338000,14228000,14178000,14129000,14042000,14327000,15874000,,15947000,15970000,16241000,17176000,17374000
BalanceNoncurrentAssets_yy,,,,,39.52,-100.00,6.09,0.05,-1.50,,-6.05,8.73,10.41,12.60,12.17,-1.92,-1.68,-2.06,0.70,11.96,-100.00,13.57,11.47,2.31,,8.95
BalanceNoncurrentAssets_sy,,,,,1.56,1.63,3.36,7.53,7.50,,8.51,4.11,4.42,5.66,3.76,4.04,3.22,2.82,1.54,2.95,1.44,1.28,0.86,0.66,,4.14
BalanceNoncurrentAssets_qq,,12.27,19.69,4.41,-0.56,-100.00,,-1.53,-2.10,-2.17,-0.39,13.97,-0.59,-0.23,-0.77,-0.35,-0.35,-0.62,2.03,10.80,-100.00,,0.14,1.70,5.76,1.15
BalanceNoncurrentAssets_sq,,0.14,-0.43,1.40,0.96,0.95,,1.92,-0.70,0.92,0.37,1.18,-0.16,0.20,0.64,2.28,-1.22,0.87,-0.24,2.20,-1.08,,-0.61,0.78,0.28,1.06
BalanceIntangibleAssets,77000,76000,79000,63000,64000,,45000,38000,33000,27000,22000,17000,16000,8000,4000,2000,16000,19000,38000,36000,,45000,47000,42000,38000,48000
BalanceIntangibleAssets_yy,,,,,-16.23,-100.00,-42.83,-39.87,-48.57,,-51.11,-55.26,-51.52,-70.37,-81.82,-88.24,,137.50,850.00,1700.00,-100.00,136.84,23.68,16.67,,6.67
BalanceIntangibleAssets_sy,,,,,-1.62,-0.09,0.23,-2.33,-1.67,,-0.90,-1.34,-1.84,0.40,0.66,-2.73,,-1.45,2.51,-0.94,-3.72,-3.64,-5.36,-5.62,,-7.91
BalanceIntangibleAssets_qq,,-0.77,3.57,-19.71,1.52,-100.00,,-15.56,-13.16,-18.18,-18.52,-22.73,-5.88,-50.00,-50.00,-50.00,700.00,18.75,100.00,-5.26,-100.00,,4.44,-10.64,-9.52,26.32
BalanceIntangibleAssets_sq,,-1.04,-2.08,-0.19,-0.62,-1.32,,-0.19,-0.64,-1.01,-0.86,-0.50,-1.04,-0.66,-1.00,-0.70,-0.54,-0.78,-0.62,-3.30,-1.62,,-1.38,-1.75,-1.06,-2.22
BalanceProperty,9367000,10518000,12596000,13185000,13125000,,13416000,13228000,12955000,12668000,12591000,12329000,12223000,12206000,12106000,12060000,11986000,11884000,12192000,12940000,,12913000,13776000,13436000,14796000,14980000
BalanceProperty_yy,,,,,40.12,-100.00,6.51,0.33,-1.29,,-6.15,-6.80,-5.65,-3.65,-3.85,-2.18,-1.94,-2.64,0.71,7.30,-100.00,8.66,12.99,3.83,,16.01
BalanceProperty_sy,,,,,1.19,0.73,2.40,3.92,4.08,,5.75,0.64,0.76,-1.55,-1.51,4.78,3.84,2.36,2.34,1.57,-0.70,0.92,1.04,0.73,,5.26
BalanceProperty_qq,,12.29,19.76,4.67,-0.45,-100.00,,-1.40,-2.06,-2.22,-0.61,-2.08,-0.86,-0.14,-0.82,-0.38,-0.61,-0.85,2.59,6.14,-100.00,,6.68,-2.47,10.12,1.24
BalanceProperty_sq,,-0.04,-0.42,-0.06,1.11,0.46,,1.41,-0.88,-0.12,-0.08,-0.20,-0.81,-0.04,0.06,4.48,-0.58,1.16,-0.96,1.68,-0.92,,0.04,0.60,0.01,1.48
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,0,0,0,0,2011000,2060000,2060000,2060000,2060000,2060000,2060000,2060000,2785000,,2880000,2060000,2646000,1193000,1193000
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,,,,2.44,,,,35.19,-100.00,39.81,,-4.99,,-58.58
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,,,2.44,,,,3.62,-0.27,,,,,-2.78
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,2.44,,,,,,,35.19,-100.00,,-28.47,28.45,-54.91,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,,,,,,,-3.36,,,-0.86,-0.16,0.70,
BalanceOtherNoncurrentAssets,28000,39000,52000,40000,25000,,40000,29000,28000,39000,71000,99000,72000,64000,58000,56000,67000,79000,37000,113000,,109000,87000,117000,1149000,1153000
BalanceOtherNoncurrentAssets_yy,,,,,-8.87,-100.00,-22.82,-28.29,11.29,,77.50,241.38,157.14,64.10,-18.31,-43.43,-6.94,23.44,-36.21,101.79,-100.00,37.97,135.14,3.54,,957.80
BalanceOtherNoncurrentAssets_sy,,,,,2.55,10.78,4.08,10.88,8.96,,6.62,16.88,18.72,16.00,14.24,0.10,12.86,23.44,0.55,35.83,32.59,23.20,19.86,3.54,,-0.17
BalanceOtherNoncurrentAssets_qq,,41.25,32.90,-21.98,-37.78,-100.00,,-27.50,-3.45,39.29,82.05,39.44,-27.27,-11.11,-9.38,-3.45,19.64,17.91,-53.16,205.41,-100.00,,-20.18,34.48,882.05,0.35
BalanceOtherNoncurrentAssets_sq,,1.10,-0.49,2.26,0.13,-1.35,,-0.43,-0.81,2.10,,9.08,3.64,-2.37,0.66,1.13,,1.14,0.73,12.59,-1.25,,-1.27,1.19,,3.69
BalanceCurrentAssets,3580000,4463000,4465000,5292000,5347000,,4700000,3951000,4732000,5115000,5230000,5077000,5123000,5550000,6529000,5434000,5558000,6085000,6851000,10551000,,10792000,9965000,12554000,22123000,28370000
BalanceCurrentAssets_yy,,,,,49.34,-100.00,5.27,-25.34,-11.50,,11.28,28.50,8.26,8.50,24.84,7.03,8.49,9.64,4.93,94.17,-100.00,77.35,45.45,18.98,,162.88
BalanceCurrentAssets_sy,,,,,4.72,1.29,2.65,3.45,-3.81,,6.83,11.13,14.68,13.69,7.67,1.96,-3.85,-9.56,4.83,12.40,15.46,17.24,13.91,14.14,,13.70
BalanceCurrentAssets_qq,,24.66,0.04,18.54,1.03,-100.00,,-15.94,19.77,8.09,2.25,-2.93,0.91,8.33,17.64,-16.77,2.28,9.48,12.59,54.01,-100.00,,-7.66,25.98,76.22,28.24
BalanceCurrentAssets_sq,,2.15,-0.62,-3.78,7.22,1.11,,-6.72,3.47,3.24,3.70,-3.81,6.16,3.26,-1.08,-6.78,6.31,,3.56,-1.24,10.80,,0.62,-2.65,7.88,-1.14
BalanceInventory,1310000,1535000,1828000,1531000,1615000,,1716000,1860000,2106000,2060000,2028000,1929000,2123000,1998000,1920000,1471000,1877000,1919000,1699000,1860000,,1636000,1997000,1352000,3687000,3169000
BalanceInventory_yy,,,,,23.31,-100.00,-6.15,21.45,30.39,,18.18,3.71,0.81,-3.01,-5.33,-23.74,-11.59,-3.95,-11.51,26.44,-100.00,-14.75,17.54,-27.31,,93.70
BalanceInventory_sy,,,,,0.68,-4.33,-0.78,2.89,4.13,,14.11,9.32,6.83,5.28,-2.90,,-6.00,-1.46,7.32,17.23,9.22,11.38,10.30,9.97,,16.33
BalanceInventory_qq,,17.19,19.12,-16.24,5.47,-100.00,,8.39,13.23,-2.18,-1.55,-4.88,10.06,-5.89,-3.90,-23.39,27.60,2.24,-11.46,9.48,-100.00,,22.07,-32.30,172.71,-14.05
BalanceInventory_sq,,3.04,-1.58,0.10,1.78,-0.77,,2.48,0.88,1.30,0.34,1.80,0.29,-1.46,-6.14,-1.32,1.29,2.25,-1.73,6.13,-0.88,,-1.61,5.03,2.16,-1.84
BalanceCurrentReceivables,1119000,2683000,1943000,2835000,2926000,,2014000,1248000,1693000,2232000,2284000,2058000,1606000,1919000,3053000,2766000,2011000,2857000,3752000,7848000,,8593000,5797000,10533000,17425000,24895000
BalanceCurrentReceivables_yy,,,,,161.33,-100.00,3.66,-55.98,-42.13,,13.41,64.90,-5.14,-14.02,33.67,34.40,25.22,48.88,22.90,183.73,-100.00,200.77,54.50,34.21,,189.71
BalanceCurrentReceivables_sy,,,,,1.16,-1.32,3.99,0.15,-5.62,,3.36,4.32,9.79,12.40,10.04,1.78,-10.94,-12.94,-5.70,0.10,6.32,15.46,20.70,20.32,,8.20
BalanceCurrentReceivables_qq,,139.67,-27.59,45.92,3.20,-100.00,,-38.03,35.66,31.84,2.33,-9.89,-21.96,19.49,59.09,-9.40,-27.30,42.07,31.33,109.17,-100.00,,-32.54,81.70,65.43,42.87
BalanceCurrentReceivables_sq,,4.92,-2.74,-12.92,21.28,4.24,,-14.45,12.25,2.60,2.83,-13.20,19.23,6.54,0.18,-19.33,8.70,2.57,-1.30,-16.40,22.70,,1.34,-13.50,20.48,2.48
BalanceCurrentInvestments,,,0,0,0,,393000,381000,379000,348000,359000,755000,675000,900000,837000,477000,477000,468000,487000,536000,,181000,189000,391000,391000,106000
BalanceCurrentInvestments_yy,,,,,,,,90814.29,1263233.30,,-8.65,98.16,78.10,158.62,133.15,-36.82,-29.33,-48.00,-41.82,12.37,-100.00,-61.32,-61.19,-27.05,,-41.44
BalanceCurrentInvestments_sy,,,,,,,,-11.01,-32.13,,22.90,53.26,86.16,-3.51,-2.89,-3.60,5.10,8.78,12.41,34.22,-20.83,18.15,-36.27,-14.00,,-45.10
BalanceCurrentInvestments_qq,,,,,107.14,-100.00,,-3.05,-0.52,-8.18,3.16,110.31,-10.60,33.33,-7.00,-43.01,,-1.89,4.06,10.06,-100.00,,4.42,106.88,,-72.89
