,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceProperty,,,5173000,,5130000,5083000,5220000,5325000,5117000,4932000,5286000,5578000,6152000,6845000,6339000,7140000,7741000,8597000,10105000,11387000,12512000,21833000,25155000,27188000,29332000,31377000,34111000,35276000,100000,162000,162000,162000,162000,162000
BalanceNoncurrentReceivables,98000,98000,162000,162000,162000,162000,162000,190000,,,,,,,,,,,,,,,,,,0,,,,195000,,,274000,
BalanceNoncurrInvestments,,,,,,,,,,,196000,3484000,3121000,2303000,2406000,2515000,2039000,22826000,22826000,,,,1440000,,,1628000,,1629000,1692000,1692000,1692000,1692000,1854000,1800000
BalanceOtherNoncurrentAssets,1616000,1928000,2318000,2689000,2294000,2294000,5847000,5847000,5661000,6099000,9859000,9816000,10145000,10110000,7647000,7625000,8210000,,,,2553000,,,10098000,,7791000,8093000,7271000,7685000,10128000,11191000,13031000,15170000,16647000
BalanceCurrentAssets,17310000,42360000,48964000,47405000,48524000,45588000,45358000,46665000,47669000,52782000,59808000,59759000,59873000,184553000,190315000,,,,319000,,,327000,,620000,418000,388000,388000,346000,391000,390000,528000,528000,706000,577000
BalanceInventory,817000,817000,1174000,1174000,1323000,1323000,1403000,1403000,1573000,1573000,1591000,1591000,1794000,100000,162000,162000,1468000,162000,162000,2621000,98000,2417000,1657000,1848000,1885000,3534000,5161000,5585000,6249000,9027000,10314000,7889000,10470000,10548000
BalanceCurrentReceivables,17961000,13983000,17137000,14385000,16320000,29218000,16449000,18804000,19672000,22573000,23647000,,3185000,0,,0,,3325000,0,3566000,4936000,5744000,120000,120000,6928000,620000,120000,120000,,,60000,110000,50000,50000
BalanceCurrentInvestments,93000,119000,50133000,,,,329000,,,6959000,,,5128000,,,5298000,6620000,5758000,4758000,32584000,37148000,35644000,28807000,29553000,25961000,29668000,29095000,20562000,39517000,37116000,36124000,158008000,112030000,
BalanceCash,,,436000,,,191000,,1429000,890000,1468000,477000,504000,221000,315000,1465000,714000,1411000,1190000,529000,396000,582000,878000,936000,1289000,791000,1488000,2220000,2217000,2393000,2262000,2711000,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5070000,2604000,2408000
BalanceAssetsForSale,10269000,6028000,16537000,16875000,17504000,11736000,10992000,14846000,15348000,14346000,14865000,17100000,18258000,20405000,22560000,25014000,26803000,51717000,59131000,58879000,65242000,64870000,67007000,73643000,89121000,95390000,100904000,103315000,103574000,251727000,260192000,3195000,2604000,2408000
BalanceTotalAssets,1502000,561000,15493000,14521000,11961000,9725000,8715000,7619000,5533000,5189000,3655000,2805000,3403000,4086000,5295000,7385000,9254000,36728000,38930000,40890000,46448000,47235000,47246000,50176000,55375000,61529000,64303000,65506000,62298000,211985000,207823000,,,
BalanceCapital,3105000,,,4185000,,4185000,4185000,4185000,4185000,4185000,4185000,4185000,4185000,4185000,4185000,5246000,5246000,5246000,5246000,5246000,5377000,5377000,5377000,5377000,5377000,5508000,5508000,6388000,6388000,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111000,
BalanceOwnShares,,14429000,,14429000,14429000,14429000,14429000,14429000,4405000,4405000,4405000,4405000,4405000,29689000,32997000,33375000,37723000,40861000,49100000,49989000,50917000,51911000,55524000,55397000,55411000,184306000,191918000,,,,,,,
BalanceReserve,,,,,,,,,,,,,,,,304000,431000,409000,243000,286000,337000,489000,580000,892000,1698000,1679000,2111000,300000,,2253000,23000,18000,82000,2138000
BalanceNonshareCapital,53000,44000,2783000,2438000,231000,177000,142000,3454000,809000,503000,4793000,2278000,2208000,2414000,2386000,2043000,2709000,2666000,7027000,14477000,12939000,14592000,13659000,12826000,13269000,27606000,,,,,,,,
BalanceNoncurrentLiabilities,,,35000,,,,,,,,,,,,,,,,,,,,,,,,,24000,,,62000,,,274000
BalanceNoncurrentTradeLiabilities,231000,177000,142000,109000,165000,503000,503000,177000,177000,339000,339000,298000,1074000,1492000,2537000,7820000,7304000,6812000,6522000,6170000,7002000,7491000,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,2228000,,,2076000,,2748000,2164000,,3344000
BalanceNoncurrentLeasing,645000,4290000,2101000,2031000,2075000,2047000,1745000,1635000,1174000,4490000,6657000,5635000,7780000,7136000,6656000,6266000,20115000,1575000,,6515000,5444000,1026000,2272000,3405000,1958000,2233000,3657000,7378000,8925000,11033000,14153000,11401000,15510000,16762000
BalanceNoncurrentOtherLiabilities,12835000,15271000,12781000,17786000,15299000,16319000,14517000,16853000,16154000,18933000,20432000,21430000,23259000,26752000,24794000,22651000,,,,1615000,,,1681000,,3657000,1850000,,3967000,3481000,4034000,4307000,7396000,4457000,4264000
BalanceCurrentLiabilities,5917000,5302000,5364000,5627000,6854000,7883000,10532000,9839000,9380000,10873000,8220000,8135000,,,,25000,,,35000,,,170000,,,321000,432000,201000,458000,382000,441000,378000,302000,419000,641000
BalanceCurrentTradePayablesv,731000,1804000,1723000,1760000,1890000,1824000,2265000,2487000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,3993000,,,1014000,,,1466000,4307000,4923000,1755000,2144000,2792000,7515000,3133000,2801000,4295000,3593000,2318000,3332000,3009000,3630000,4375000,3600000
BalanceCurrentLeasing,5208000,6272000,6654000,5224000,7292000,7896000,,,,883000,,,674000,,,3891000,4618000,6111000,8431000,5455000,8252000,9247000,5194000,4617000,3647000,9487000,6686000,7384000,5725000,6956000,4193000,5646000,2969000,3559000
BalanceCurrentOtherLiabilities,5334000,8831000,7017000,4134000,5070000,2604000,2408000,10270000,6028000,16537000,16875000,17504000,11736000,10992000,14059000,15348000,14346000,14865000,17100000,18258000,20405000,22560000,25014000,26803000,51717000,59131000,58879000,65242000,64870000,67007000,73643000,89121000,95390000,100904000
BalanceReckoning,103315000,103574000,251727000,260192000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,,,-3706000,,,-5980000,,-4436000,-4466000,-1961000,-1865000,-2144000,-1229000,-868000,-1255000,-2785000,6000,-1127000,-4302000,-4463000,-6538000,1726000,-595000,-299000,-7112000,-15813000,31628000,-1824000,-3009000,-4330000,-7023000,,
CashflowAmortization,,1401000,,,1528000,,,1657000,,,2082000,486000,489000,609000,771000,772000,878000,1011000,772000,851000,810000,959000,998000,995000,1432000,1236000,1577000,1695000,1923000,,,,-4759000,
CashflowInvestingCashflow,,581000,,-1202000,-856000,-801000,-181000,-489000,-679000,-949000,-394000,-708000,-1541000,-995000,-127000,-812000,-2717000,-1038000,-7224000,-2374000,-7749000,5446000,-16378000,-4166000,-6411000,-4516000,-49885000,,,,3515000,,,1456000
CashflowCapex,,,1711000,801000,694000,-24000,696000,949000,397000,844000,1420000,709000,629000,1270000,2582000,1082000,7180000,2374000,10574000,7312000,3578000,4181000,6487000,4518000,45000,,,,8400000,,,12029000,,4698000
CashflowFinancingCashflow,4431000,1200000,3415000,3442000,1493000,3157000,1819000,2442000,536000,29948000,8994000,3771000,2418000,58000,4227000,6380000,14288000,1835000,3705000,3588000,8428000,130730000,10930000,,,,2516000,,,11481000,,,,
CashflowShareCapitalCash,,,,,,,27314000,-970000,0,970000,303000,0,25000,328000,0,0,608000,129905000,221000,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,-62000,,,,,,,,,,,-64000,,,6630000,,-3659000,1828000,-1562000,1370000,809000,-415000,1322000,187000,-1050000
CashflowNetCashflow,-1000000,27826000,4564000,-1505000,-6837000,746000,-3592000,3707000,-573000,-8532000,18954000,-2401000,-991000,121884000,-45978000,,,,,,,,,,,,,,,,,,,
