,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentReceivables,6452000,6885000,5986000,5405000,4750000,5816000,5616000,5666000,5997000,7250000,6747000,7204000,7611000,10149000,7278000,7709000,7518000,10085000,7556000,6498000,7068000,8381000,6689000,7077000,7554000,12809000,12318000,15119000,15059000,11234000,11337000,15425000,14708000,14304000,14223000,14366000,16011000,16691000,15121000,15582000,,,,
BalanceCurrentInvestments,,,,983000,929000,0,521000,319000,223000,0,12000,,,0,5994000,,0,,,,0,0,0,,4000,14000,68000,0,47000,44000,26000,18000,2776000,2846000,1893000,27499000,6017000,6868000,5636000,5285000,6404000,8336000,6697000,5749000
BalanceCash,4482000,6388000,4391000,1170000,2019000,4713000,6901000,9369000,4473000,6949000,2005000,3653000,5500000,9700000,9676000,6510000,6331000,8801000,11295000,3836000,5506000,14395000,14943000,6837000,5752000,8960000,7322000,6211000,4753000,4886000,4041000,2946000,259000,482000,313000,363000,181000,152000,154000,102000,148000,111000,225000,149000
BalanceOtherCurrentAssets,164000,172000,248000,177000,133000,109000,212000,207000,150000,142000,210000,225000,266000,198000,421000,424000,338000,178000,313000,230000,217000,158000,270000,233000,374000,325000,446000,286000,286000,381000,446000,243000,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24685000,35129000,52101000,80489000,58060000,61362000,60877000,60834000,60653000,62886000,63881000,64822000
BalanceTotalAssets,64332000,68453000,69389000,66141000,68395000,72974000,72122000,73619000,69488000,74530000,73279000,67923000,70392000,76323000,75123000,72832000,75068000,80887000,85222000,83478000,85124000,87537000,88487000,84794000,85207000,89747000,88812000,87574000,88567000,91637000,92653000,95679000,17215000,19664000,24806000,51471000,52768000,53160000,52538000,54205000,55067000,56623000,57833000,57302000
BalanceCapital,58518000,60171000,61095000,58141000,59776000,62178000,63676000,59442000,60706000,62952000,64311000,59352000,60695000,63997000,65297000,62838000,64255000,67498000,70300000,66396000,69680000,72750000,74622000,70391000,72220000,73814000,74124000,71445000,72606000,74652000,75657000,75505000,1000000,1000000,1000000,1000000,1355000,1355000,1370000,1370000,1370000,1370000,1385000,1385000
BalanceShareCapital,1385000,1385000,1385000,1385000,1385000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,,,2971000,355000,15000,,15000,,371000,371000,,371000
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,12357000,12357000,12935000,44073000,43968000,44147000,44184000,51246000,51534000,51753000,51753000,53277000,53457000,53770000,53893000,54091000,54215000,54339000,54339000,54807000,54807000
BalanceReserve,54807000,54807000,55001000,54974000,54975000,54973000,58294000,58303000,58324000,58344000,59375000,59362000,59402000,59325000,63081000,63060000,63160000,63048000,67946000,67860000,67980000,67592000,71216000,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,-4000,31000,23000,11000,441000,382000,355000,339000,320000,300000,283000,260000,219000,133000,-22000,1000,-3000,-15000,-28000,-40000,-35000,-42000,909000,6327000,14938000,998000,994000,1616000,1332000,925000,895000,809000,779000,825000,784000,1702000,1543000,1689000,2410000,2549000,2475000,2679000,3069000
BalanceNoncurrentLiabilities,3365000,5294000,2670000,2683000,3588000,3250000,2961000,2757000,3608000,3534000,3843000,3616000,3469000,3216000,3781000,3518000,3304000,3075000,4730000,4328000,3744000,3757000,3520000,143000,5686000,13492000,49000,50000,678000,706000,,,,,116000,116000,47000,211000,241000,2086000,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,0,,,,160000,0,,,70000,,,206000,199000,135000,99000,62000,25000,1000,196000,172000,148000
BalanceNoncurrentBorrowings,167000,140000,112000,84000,55000,17000,23000,1895000,1644000,1044000,819000,674000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,766000,641000,1446000,949000,944000,938000,626000,925000,895000,809000,779000,825000,784000,1541000,1543000,1573000,2294000,2479000,2428000,2468000,2828000,3159000,3009000,2535000,2584000,3526000,3225000,2960000,2757000,3412000,3362000,3695000
BalanceNoncurrentOtherLiabilities,3449000,3329000,3104000,3697000,3463000,3287000,3052000,2835000,2684000,2700000,2938000,2846000,6561000,9138000,12357000,28020000,4298000,6586000,7007000,5704000,4691000,5453000,5269000,6695000,5030000,6580000,6751000,6311000,6209000,8247000,5971000,11498000,5713000,8213000,3678000,5870000,6991000,8727000,6135000,6651000,7701000,9442000,11068000,12939000
BalanceCurrentLiabilities,11545000,11058000,10430000,10489000,9491000,12628000,11616000,11414000,11661000,13281000,13274000,16696000,5770000,8729000,11924000,27030000,3709000,6291000,6501000,5279000,4462000,3012000,4574000,5872000,4280000,4157000,3549000,5962000,5771000,5317000,4970000,10783000,4566000,4311000,4888000,4209000,6812000,2139000,5072000,3312000,7248000,5627000,10261000,5033000
BalanceCurrentTradePayablesv,8029000,3587000,8496000,4314000,10410000,5415000,9768000,5585000,11737000,6014000,13778000,,,,,,,,,,599000,,,88000,233000,,90000,,,205000,,209000,149000,99000,150000,483000,673000,171000,842000,853000,2321000,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681000,237000,301000
BalanceCurrentLeasing,840000,480000,168000,437000,357000,161000,1738000,588000,727000,655000,2240000,2924000,278000,438000,2629000,816000,439000,713000,2932000,2914000,217000,1743000,1049000,2927000,599000,3363000,1024000,4149000,1700000,5105000,2039000,5219000,1070000,4102000,1265000,4441000,824000,4497000,847000,4259000,2275000,110000,172000,132000
BalanceCurrentOtherLiabilities,150000,109000,127000,69000,68000,68000,105000,107000,96000,95000,96000,45000,71000,211000,185000,276000,434000,765000,764000,765000,830000,866000,920000,980000,927000,1170000,1142000,978000,924000,990000,951000,923000,904000,953000,918000,822000,726000,697000,680000,643000,24685000,35129000,52101000,80489000
BalanceReckoning,58060000,61362000,60877000,60834000,60653000,62885000,63881000,64822000,64332000,68453000,69389000,66141000,68395000,72974000,72122000,73619000,69488000,74530000,73279000,67923000,70392000,76323000,75123000,72832000,75068000,80887000,85222000,83478000,85124000,87537000,88487000,84794000,85207000,89747000,88812000,87574000,88567000,91637000,92653000,95679000,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,4801000,113000,1150000,-264000,2483000,475000,-5000,2036000,2655000,3516000,-120000,1191000,2060000,2494000,-883000,2547000,1365000,3293000,3447000,3455000,1694000,4460000,2071000,3494000,2787000,4152000,501000,2973000,1062000,3026000,3468000,540000,2917000,8656000,1648000,1653000,179000,4705000,1837000,1827000,46000,2739000,-95000,252000
CashflowAmortization,298000,274000,252000,242000,549000,549000,537000,824000,789000,794000,839000,901000,1102000,1086000,1292000,1240000,1294000,1278000,1521000,3982000,1346000,1665000,1662000,1680000,1694000,1803000,1759000,1748000,1907000,1935000,1877000,1681000,1660000,1553000,1528000,1482000,1497000,1739000,1725000,1649000,1665000,1442000,1436000,-6959000
CashflowInvestingCashflow,-5803000,-10573000,-5758000,-2562000,748000,-609000,-1598000,-862000,-1236000,-1497000,-1581000,-1734000,-1237000,-1098000,-1283000,-1158000,-1250000,-1236000,-1516000,-1565000,-2563000,-7029000,4387000,-1248000,-1295000,-888000,-1922000,-1202000,-1656000,-968000,-1683000,-1139000,-921000,-1142000,-1242000,-1302000,-1744000,-3911000,-988000,-1205000,-2232000,-1707000,-2117000,6976000
CashflowCapex,5796000,10588000,5943000,3169000,453000,1324000,1008000,1044000,1490000,1611000,2089000,1846000,1534000,1148000,1302000,1202000,1302000,1279000,1615000,1628000,2628000,1103000,1675000,1264000,1315000,997000,1918000,1242000,1784000,1245000,1667000,1149000,948000,1201000,1276000,1325000,1861000,3886000,1037000,1215000,2211000,1740000,2101000,60000
CashflowFinancingCashflow,5760000,8531000,31679000,-21515000,-372000,-717000,-690000,-674000,-348000,-22000,-558000,-1594000,649000,-16000,-4485000,642000,651000,-23000,529000,-5025000,579000,14000,-6233000,308000,1343000,363000,-4184000,-72000,1100000,-6000,-6379000,-63000,1128000,90000,-8512000,-453000,735000,362000,-1876000,-333000,-326000,971000,753000,
CashflowShareCapitalCash,,,25653000,-836000,410000,17000,,,,,,,,,,,1000,16000,0,,400000,0,0,0,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,1590000,0,,4571000,0,-1000,5600000,0,,6160000,0,0,,4200000,0,0,,7000000,0,0,,8400000,0,0,,3500000,0,0,,-2098000,70000,-892000,25657000,-21594000,851000,-1331000,-252000,1119000,1932000
CashflowNetCashflow,-1639000,-948000,-1268000,1906000,-1997000,-3221000,849000,2694000,2188000,2468000,-4896000,2476000,-4944000,1648000,1847000,4200000,-24000,-3133000,-212000,2470000,2494000,-7522000,1715000,8863000,596000,-8101000,-1576000,3696000,-1712000,-1037000,-1492000,181000,-831000,-1112000,,,,,,,,,,
