,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeNetProfit,285000,-8233000,-3549000,-5900000,8072000,3178000,-8853000,-18219000,-13626000,-3076000,-10163000,-1627000,-11627000,517000,-6022000,-5157000,-2398000,-4480000,-888000,-4504000,-630000,492000,333000,-1949000,329000,71000,461000,-3055000,190000,-12209000
IncomeShareholderNetProfit,285000,-8233000,-3549000,-5900000,8072000,3178000,-8853000,-18219000,-13626000,-3076000,-10163000,-1627000,-11627000,517000,-6022000,-5157000,-2398000,-4480000,-888000,-4504000,-630000,492000,333000,-1949000,329000,71000,461000,-3055000,190000,-12209000
BalanceNoncurrentAssets,,27335000,20830000,22567000,26556000,22906000,29590000,28943000,29040000,29495000,34777000,29647000,29714000,22490000,23462000,23614000,23029000,17017000,19212000,23390000,22894000,22788000,23168000,22512000,20222000,18383000,21265000,13454000,,20273000
BalanceIntangibleAssets,18790000,18794000,18794000,18794000,18794000,18793000,18794000,18787000,18787000,18787000,18787000,14521000,14521000,14521000,14522000,9614000,9614000,9614000,9614000,9634000,9634000,9634000,9634000,9634000,9634000,5092000,,1474000,1280000,1208000
BalanceProperty,1146000,837000,7188000,7036000,6993000,6421000,6434000,6432000,6430000,6251000,6250000,6248000,6256000,6266000,6270000,7144000,7138000,5536000,5530000,27000,22000,1256000,1253000,1250000,,,,0,2027000,6038000
BalanceNoncurrentReceivables,2654000,2730000,2671000,2810000,2806000,2872000,2939000,3008000,1120000,1014000,,102000,103000,103000,104000,104000,105000,,5326000,240000,140000,140000,190000,150000,151000,151000,1226000,6429000,1226000,1226000
BalanceNoncurrInvestments,1430000,1283000,1400000,1819000,541000,2731000,6125000,5634000,6705000,7106000,11930000,9642000,6665000,9518000,6199000,,262000,520000,398000,438000,431000,728000,292000,292000,255000,255000,263000,263000,288000,288000
BalanceOtherNoncurrentAssets,431000,432000,596000,597000,405000,405000,810000,794000,817000,819000,828000,860000,913000,,104559000,115540000,129536000,127456000,111350000,60608000,65011000,52122000,49207000,36688000,35695000,29646000,31713000,27660000,11111000,9380000
BalanceCurrentAssets,10641000,14598000,7683000,8557000,7708000,6963000,8513000,5216000,6089000,8689000,3164000,,6000,,,,,,,279000,,,,,,,,,,
BalanceInventory,,,,,,,,,47853000,27205000,33659000,25156000,25838000,10097000,14452000,10212000,9426000,6162000,7436000,7875000,11312000,12756000,7205000,5893000,5916000,9438000,5705000,6287000,4960000,4953000
BalanceCurrentReceivables,3082000,2491000,3122000,4991000,1617000,,43561000,83034000,39270000,70829000,84857000,33829000,35468000,28345000,39610000,15645000,12000000,11672000,20157000,14329000,3540000,3196000,4560000,5060000,1705000,1171000,2600000,1846000,2405000,2501000
BalanceCurrentInvestments,2224000,2642000,1365000,,12782000,4959000,56221000,31111000,148000,16176000,14734000,13201000,69000,14773000,16188000,10043000,184000,465000,271000,220000,105000,16000,205000,1059000,108000,95000,2962000,179000,701000,988000
BalanceCash,107000,,357000,342000,386000,360000,507000,506000,357000,85000,102000,108000,71000,56000,60000,110000,95000,71000,60000,84000,68000,40000,40000,69000,64000,45000,42000,68000,75000,
BalanceOtherCurrentAssets,34766000,2001000,2001000,2001000,250000,250000,250000,250000,,,9816000,,,,,,5500000,5500000,5500000,5500000,5500000,,166660000,138371000,154104000,156013000,134506000,90448000,94204000,81412000
BalanceAssetsForSale,78702000,71465000,65342000,59360000,54203000,51122000,44541000,32409000,27658000,33810000,31073000,31451000,30496000,30131000,36525000,30938000,29972000,35454000,22118000,,83242000,73752000,81872000,84482000,66346000,52720000,59798000,49633000,48006000,36381000
BalanceTotalAssets,36897000,30876000,25719000,23321000,18841000,17954000,13449000,16017000,13311000,13170000,13347000,13676000,13747000,14208000,11228000,12218000,133000,,7981000,7981000,7981000,7981000,11081000,11081000,22921000,22921000,22921000,22923000,22923000,22923000
BalanceCapital,22923000,22923000,22923000,22923000,22923000,22923000,22923000,22923000,22923000,22923000,22923000,22923000,22923000,22923000,22923000,,,,,,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,77731000,78251000,78299000,60781000,66617000,66617000,50019000,50017000,50017000,54852000,25395000,25396000,25396000,25396000
BalanceOwnShares,25396000,25397000,25302000,25302000,25051000,24577000,26703000,26703000,26703000,26846000,26846000,26846000,26846000,,,,,,,,,,,,,,,,,
BalanceReserve,,,,,,,,,,,,,,,30248000,30803000,30740000,1508000,1704000,2416000,2512000,2513000,2460000,2460000,2551000,2551000,1841000,1831000,1717000,1717000
BalanceNonshareCapital,1720000,1709000,2962000,3131000,3040000,3470000,3034000,3077000,2857000,2890000,2681000,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,28708000,29247000,29117000,,,,,,,,,,,,,,1121000,1140000
BalanceNoncurrentTradeLiabilities,1135000,1154000,1270000,1143000,1143000,1143000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,1540000,1556000,1623000,1508000,1704000,2416000,2512000,2513000,2460000,2460000,2551000,2551000,1841000,1831000,1717000,1717000,1720000,1709000,1841000,1991000,1905000,2316000,1764000
BalanceNoncurrentLeasing,3077000,1714000,1747000,1538000,,53170000,33816000,41492000,70023000,66456000,35312000,31894000,29266000,28236000,32624000,25894000,25933000,26643000,25970000,23934000,12738000,12489000,16084000,14800000,15150000,14109000,12985000,19744000,13653000,15887000
BalanceNoncurrentOtherLiabilities,20346000,19304000,,1620000,884000,610000,361000,3010000,1858000,4295000,2423000,1674000,7617000,1955000,1949000,3020000,4505000,2928000,2869000,2707000,3011000,2886000,5585000,2802000,3006000,2868000,2981000,3020000,3213000,2880000
BalanceCurrentLiabilities,,51379000,32581000,39962000,69363000,63049000,33158000,27465000,26692000,25604000,24236000,23282000,23521000,23297000,21175000,20680000,9479000,9279000,10620000,9219000,9086000,7719000,6751000,6606000,4162000,4597000,4589000,3386000,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171000
BalanceCurrentObligations,351000,920000,299000,397000,296000,134000,150000,226000,222000,291000,280000,326000,290000,375000,390000,503000,2453000,2660000,479000,2981000,2728000,9770000,6010000,7662000,11936000,12295000,,,,
BalanceCurrentLeasing,,,,0,,,1000,732000,549000,366000,183000,,,35000,607000,500000,500000,500000,608000,608000,743000,0,166660000,0,138371000,154104000,156013000,0,134506000,90448000
BalanceCurrentOtherLiabilities,94204000,81412000,78702000,71465000,65342000,59360000,54203000,51122000,44492000,32409000,27658000,33810000,31073000,31451000,30496000,30131000,36525000,30938000,29972000,35454000,22118000,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,2983000,-35883000,6125000,-1359000,-4226000,5648000,-4743000,1574000,30143000,-4870000,-1612000,4445000,1487000,1515000,1450000,-1778000,977000,1440000,297000,-2704000,-2616000,517000,2834000,-1576000,-635000,-4210000,5005000,162000,-425000,-816000
CashflowAmortization,53000,73000,67000,67000,68000,67000,67000,68000,53000,52000,43000,57000,5000,2000,2000,1000,1000,2000,6000,1000,4000,6000,7000,15000,6000,4000,15000,6000,10000,6000
CashflowInvestingCashflow,-7974000,7093000,-45000,495000,0,0,-6000,-63000,58000,43000,3053000,-3060000,25000,-43000,-2219000,2219000,1957000,-9000,-4000,-1000,-14000,8498000,-5258000,41000,-7000,-4000,621000,11000,45000,-246000
CashflowCapex,6000,13000,0,,75000,18000,0,0,0,,,5000,9000,4000,1000,14000,2000,9000,0,7000,4000,11907000,30057000,-13321000,282000,4881000,-1934000,-4542000,-1400000,-29891000
CashflowFinancingCashflow,4461000,-1469000,-1380000,-1391000,-941000,116000,-325000,-696000,-1634000,-348000,632000,2536000,-324000,-1979000,639000,622000,-1421000,-2530000,319000,719000,-61000,,,,0,,0,0,2934000,10271000
CashflowShareCapitalCash,0,-2802000,2000,0,0,,,,,,,,,,,80000,801000,75000,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,6916000,1267000,-7241000,-582000,655000,3714000,-9291000,111000,310000,-366000,-28000,5000
CashflowNetCashflow,121000,531000,-653000,116000,281000,-194000,-51000,-115000,-89000,189000,854000,-951000,-13000,2867000,-2783000,522000,287000,-881000,,,,,,,,,,,,
