,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeOtherIncome,-4000,,,-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9343000,10408000,15847000,16113000
IncomeNetGrossProfit,6945000,16732000,9368000,11674000,15430000,15324000,13394000,12656000,15388000,20661000,13854000,12616000,11613000,16555000,10401000,9914000,9470000,13584000,8027000,10543000,11798000,15849000,10146000,13946000,14347000,15225000,10212000,13767000,12559000,24429000,12969000,18521000,13360000,22566000,14133000,19440000,21357000,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9343000,10408000,15847000,16113000
IncomeBeforeTaxProfit,6945000,16732000,9368000,11674000,15430000,15324000,13394000,12656000,15388000,20661000,13854000,12616000,11613000,16555000,10401000,9914000,9470000,13584000,8027000,10543000,11798000,15849000,10146000,13946000,14347000,15225000,10212000,13767000,12559000,24429000,12969000,18521000,13360000,22566000,14133000,19440000,21357000,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7949000,10967000,13688000,14177000
IncomeNetProfit,5604000,13910000,8112000,9735000,13194000,12559000,12077000,11016000,13252000,18308000,12654000,10976000,10978000,14979000,7796000,7349000,8649000,12173000,7014000,9094000,9213000,13719000,8106000,11649000,12659000,11088000,8149000,12190000,10917000,20292000,10152000,15544000,11161000,18152000,11257000,15523000,18309000,4904000,5766000,8444000,11743000
IncomeShareholderNetProfit,4807000,13282000,8173000,9811000,13070000,12593000,12115000,11048000,13260000,18341000,12708000,10996000,10965000,14957000,7808000,7374000,8613000,12154000,7015000,9110000,9238000,13672000,8129000,11649000,12714000,11088000,8149000,12227000,10916000,20176000,10082000,15453000,11050000,18063000,11166000,15454000,18173000,,,,
BalanceNoncurrentAssets,,486158000,516283000,,467213000,436469000,452265000,505424000,516230000,510484000,560893000,516468000,524751000,540490000,541123000,561465000,577547000,559352000,564377000,587496000,600040000,599075000,612945000,594675000,605454000,607481000,612808000,621943000,644060000,628560000,642938000,615381000,635563000,650046000,630553000,629257000,652988000,627539000,,469271000,498584000
BalanceIntangibleAssets,,452566000,422528000,437701000,485763000,494622000,488451000,535278000,492969000,499586000,515991000,514817000,532660000,546343000,524387000,524428000,526571000,531758000,529588000,536227000,517312000,523676000,521800000,521098000,523560000,543280000,526428000,535814000,510265000,511799000,517495000,493306000,493996000,508719000,489889000,,13761000,14543000,,12281000,11118000
BalanceProperty,11609000,17513000,19026000,18736000,21220000,19990000,21732000,20733000,21184000,21866000,26787000,28292000,35127000,56057000,62998000,64852000,71060000,72238000,77064000,80792000,87529000,88490000,95852000,97339000,103321000,101201000,118535000,128382000,132608000,131241000,138949000,132653000,,61000,62000,,33000,29000,31000,177000,578000
BalanceNoncurrentReceivables,550000,882000,807000,645000,542000,336000,259000,462000,928000,300000,343000,345000,768000,1056000,1048000,724000,701000,607000,855000,387000,378000,385000,287000,589000,502000,345000,305000,261000,220000,,125000,137000,,81000,201000,45000,57000,56000,407000,55000,53000
BalanceNoncurrInvestments,134000,132000,303000,1589000,125000,1452000,1540000,1627000,1578000,1707000,1770000,1502000,1662000,1593000,1205000,6360000,1510000,1319000,162000,257000,688000,316000,363000,254000,854000,795000,,2940000,2957000,,2252000,2593000,2879000,1914000,1948000,2340000,3458000,2649000,2654000,3092000,4483000
BalanceOtherNoncurrentAssets,5091000,3830000,4293000,2982000,2898000,3361000,2160000,2832000,2575000,2328000,2595000,2369000,2678000,3031000,3096000,3256000,3371000,3952000,3351000,3931000,3461000,4205000,3982000,,145645000,149241000,,213205000,196723000,221063000,223115000,201623000,222262000,249860000,242989000,278660000,211887000,218717000,211991000,243101000,179047000
BalanceCurrentAssets,212438000,191796000,215342000,193715000,235352000,203663000,225393000,215080000,235154000,219556000,261245000,238420000,303510000,243973000,257490000,221512000,287762000,269248000,291713000,283317000,,32584000,27950000,,25197000,18954000,13908000,13851000,13428000,16014000,13079000,18272000,25476000,23983000,16331000,18776000,23606000,22424000,17669000,17695000,20263000
BalanceInventory,19185000,16339000,20338000,21121000,22924000,15506000,19420000,29568000,29467000,23474000,18780000,19209000,20476000,24792000,25821000,23039000,24417000,,69549000,69334000,,78649000,73320000,91971000,103953000,84150000,96132000,123058000,102259000,112350000,104337000,100271000,94649000,122370000,95694000,127583000,103133000,115060000,110280000,115062000,89691000
BalanceCurrentReceivables,107469000,99381000,103626000,104033000,116455000,118354000,143020000,104140000,121153000,105750000,136419000,113381000,140993000,127795000,,30000,2279000,,606000,575000,281000,265000,265000,266000,4614000,3493000,17144000,12216000,21287000,28988000,24252000,652000,1438000,3972000,3727000,1266000,2646000,4898000,11343000,9899000,2713000
BalanceCurrentInvestments,2588000,12265000,4444000,3090000,10094000,125000,332000,792000,1570000,1018000,6569000,,41115000,45953000,,104735000,99901000,111020000,100976000,98037000,103666000,103222000,111720000,114713000,62959000,74153000,62425000,65002000,51928000,58353000,57531000,66695000,53232000,88973000,74549000,74908000,72709000,101075000,80213000,90134000,73670000
BalanceCash,119546000,95673000,103780000,83310000,115712000,113797000,111102000,111487000,,2367000,3725000,,4018000,3973000,3883000,4070000,5743000,6184000,5887000,7245000,8977000,8392000,6675000,7153000,7871000,8349000,7395000,9465000,9597000,9752000,12332000,14187000,10552000,10167000,12234000,13302000,12823000,12485000,14380000,15286000,13223000
BalanceOtherCurrentAssets,11644000,10047000,14679000,15561000,13049000,,0,0,,,2695000,2435000,2473000,95000,96000,97000,10263000,168000,0,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,631803000,665524000,,683113000,635627000,675801000,728634000,717949000,732843000,821016000,759457000,803579000,752377000,759840000,773456000,820648000,738399000,776815000,779292000,815382000,792790000,848297000,798338000,830847000,822561000,847962000,841499000,905305000,866980000,946448000,859354000,893053000,871558000,918315000,898505000,944701000,910856000,,296853000,325075000
BalanceTotalAssets,,578509000,551192000,575975000,597264000,620720000,620180000,705811000,663405000,662377000,654627000,664672000,691336000,670872000,651183000,648253000,656759000,651892000,657907000,679006000,643549000,663198000,677452000,687241000,676814000,710976000,702544000,730201000,683468000,701688000,723499000,717740000,730484000,740362000,731728000,,257700000,257700000,,480375000,495617000
BalanceCapital,495617000,509921000,509921000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,518942000,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23691000,43469000,,44371000,-6361000,14087000,-10701000,716000
BalanceOwnShares,-6630000,47404000,-7710000,-1052000,-19767000,-25031000,-6171000,8040000,-20120000,-36054000,-34563000,-31934000,-35157000,-27730000,-50558000,-42558000,-41018000,-39579000,-37726000,-17155000,-35094000,-27601000,-59507000,-56724000,-45963000,-69785000,-68207000,-46798000,-73605000,,1651000,1931000,,102000,-19000,41000,,0,0,,174000
BalanceReserve,181000,155000,163000,155000,171000,167000,150000,123000,162000,140000,143000,3594000,2099000,2210000,2186000,1350000,1482000,1572000,1319000,1407000,1511000,,247789000,259515000,,10791000,10975000,12327000,6968000,4569000,4606000,6011000,5873000,5569000,6165000,5838000,6533000,6904000,10244000,12353000,32057000
BalanceNonshareCapital,28803000,33282000,26543000,25472000,25525000,28950000,29376000,23616000,24648000,27165000,29279000,25352000,26218000,28604000,29418000,27857000,29647000,25071000,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,71000,,696000,605000,766000,455000,529000,334000,222000,102000,,246331000,257784000,,10317000,9316000,10320000,4282000,2093000,1959000,1740000,1659000,1447000,1436000,765000,785000,2555000,4836000,7875000,27464000,24503000,28751000,21980000,20966000
BalanceNoncurrentTradeLiabilities,22247000,25431000,26872000,20811000,21590000,24171000,24563000,19859000,20894000,23868000,23849000,23545000,24893000,21526000,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,1458000,1731000,,474000,1659000,2007000,2686000,2476000,2647000,4271000,4214000,4122000,4729000,5073000,5748000,4349000,5408000,4478000,4593000,4300000,4531000,4563000,4506000,3278000,3519000,2504000
BalanceNoncurrentLeasing,2734000,3058000,2994000,4020000,4888000,4558000,4281000,5040000,3978000,4532000,3443000,,85510000,79003000,,91731000,71662000,85565000,124402000,92660000,108057000,109194000,90179000,135633000,91411000,89149000,75432000,142709000,76817000,116038000,90309000,134537000,101478000,142586000,129177000,141981000,116159000,131345000,141069000,166087000,135172000
BalanceNoncurrentOtherLiabilities,184758000,148348000,163797000,117973000,169585000,138845000,173285000,152546000,,32830000,21724000,,34651000,27195000,32140000,37264000,22972000,37364000,38814000,29041000,48076000,29092000,34805000,27267000,46621000,27787000,53523000,37365000,47910000,42045000,67032000,37693000,48939000,45351000,51563000,44157000,66297000,56442000,76485000,48695000,55263000
BalanceCurrentLiabilities,31101000,61690000,49952000,45911000,48463000,,10582000,21306000,,12588000,9426000,10292000,23157000,17379000,18120000,2710000,1648000,20757000,2912000,2463000,551000,42989000,2770000,8387000,10362000,32014000,15198000,24325000,43369000,42198000,18871000,21230000,46710000,46039000,25652000,23987000,45507000,44821000,23178000,23708000,25159000
BalanceCurrentTradePayablesv,60140000,32129000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,24250000,23126000,,24138000,20833000,28438000,45063000,32438000,34086000,46145000,38665000,43747000,35342000,29699000,26887000,25857000,20552000,30616000,33565000,27606000,21280000,31135000,23930000,21888000,20116000,31623000,22718000,21490000,21215000,48919000,22972000,31550000,28570000,51699000,27321000,29947000,30891000,
BalanceCurrentLeasing,17848000,12847000,,22334000,16025000,16588000,18918000,19871000,18487000,21525000,20825000,23053000,24065000,22182000,20727000,27242000,25708000,23512000,9017000,27007000,22955000,20094000,24185000,28956000,31821000,26929000,27484000,32261000,31863000,35367000,31174000,32163000,35124000,32488000,36413000,37287000,41063000,0,631803000,665524000,0
BalanceCurrentOtherLiabilities,0,681133000,633810000,673908000,0,728634000,717949000,732843000,0,821016000,759457000,803579000,752377000,759840000,773456000,820648000,738399000,776815000,779292000,815382000,792790000,848297000,798338000,830847000,822561000,847962000,841499000,905305000,866980000,946448000,859354000,893053000,871558000,918315000,898505000,944701000,910856000,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-73798000,14045000,4447000,9825000,22832000,16404000,636000,14140000,2706000,45473000,3984000,11290000,-785000,29340000,9081000,20850000,-2573000,26855000,2128000,1996000,11730000,24684000,3448000,20555000,8638000,40222000,-79000,18147000,26828000,30383000,-9195000,26654000,6597000,63625000,3036000,16970000,16630000,57700000,5993000,844000,49946000
CashflowAmortization,775000,1009000,1113000,1125000,1225000,1035000,1500000,1573000,1573000,1849000,1980000,2089000,2204000,2471000,2459000,2619000,2658000,3071000,3275000,3487000,3466000,3708000,4626000,5658000,6215000,6513000,6909000,7253000,7799000,8338000,8683000,9142000,9412000,10013000,9439000,9792000,10339000,11042000,10802000,11442000,11494000
CashflowInvestingCashflow,62825000,2816000,-3632000,-4531000,2610000,-56611000,-828000,-869000,-39297000,-5288000,-8085000,-2391000,-9549000,-10940000,6983000,-19162000,-27969000,-14763000,-14266000,-4153000,18438000,-25593000,-25220000,-12756000,-9211000,-11862000,-10750000,-15646000,-10553000,-4634000,-9678000,-15854000,-1934000,-10821000,-16304000,-6633000,-18349000,-23472000,-7104000,-14096000,-15780000
CashflowCapex,-62482000,-18514000,1882000,6282000,2028000,60062000,1369000,4074000,52074000,5258000,8439000,2364000,1346000,5452000,3362000,4427000,30724000,3360000,2651000,6697000,3973000,22292000,20854000,11959000,9638000,9948000,8223000,8654000,11203000,12125000,9143000,5979000,9027000,10928000,8759000,16526000,17669000,22189000,6549000,12771000,10160000
CashflowFinancingCashflow,9609000,-15600000,1305000,-11007000,89899000,-5733000,-2051000,-3794000,-10064000,-1218000,-842000,-1626000,-16306000,-500000,-481000,0,-19165000,-13000,-127000,1923000,-39735000,8335000,20711000,-143000,-12337000,6529000,-1351000,-2291000,-19003000,2178000,-4865000,-2295000,-17876000,-4509000,-5420000,-643000,-20057000,2240000,34000,6644000,-30477000
CashflowShareCapitalCash,164700000,0,,,91412000,-3635000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,0,0,,,5452000,0,,,13258000,0,,,18682000,0,,,42034000,0,,,16606000,0,,,20757000,0,,,21796000,0,,,24909000,0,,,26985000,-1364000,1261000,2120000
CashflowNetCashflow,-5713000,115341000,-45940000,-2243000,9477000,-46655000,38967000,-4943000,7273000,-26640000,17900000,15583000,1688000,-49707000,12079000,-12265000,-234000,-9567000,7426000,-1061000,7656000,-12910000,34889000,-12180000,210000,-2728000,27927000,-23738000,8505000,-13213000,48295000,-18688000,9694000,-21776000,36468000,-1077000,-6608000,3689000,,,
