,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentReceivables,,,,,,,,,1393000,1338000,2992000,0,0,,842000,776000,795000,163000,165000,161000,1212000,2680000,3889000,,,,,,,,22000,,,34819000,31857000,32821000,13847000,,,,1461000,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,656000,849000,813000,,,,,,,,186835000,206102000,251567000,257747000,259749000
BalanceOtherNoncurrentAssets,289481000,303601000,335189000,360819000,309745000,324823000,213124000,201405000,201873000,82029000,81888000,81800000,69348000,4000,145000,293000,2550000,4561000,9585000,22493000,832000,234000,2000,706000,832000,199000,253000,621000,926000,1727000,3182000,2639000,55148000,74860000,118202000,125811000,135429000,163174000,,232237000,,,95938000,
BalanceCurrentAssets,,80695000,,,66450000,,,,,,,,,,,,,,,,,,,,5332000,8379000,115792000,112240000,115680000,120148000,117152000,115164000,111994000,137220000,176823000,117185000,102556000,103046000,1334000,1124000,1099000,2899000,3000,144000
BalanceInventory,224000,970000,3472000,8657000,22006000,353000,704000,828000,199000,253000,621000,883000,1706000,3131000,2604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentReceivables,,,,,,,,,,,,,,,,126355000,122863000,17573000,19695000,8640000,6158000,186449000,220025000,16589000,172524000,148001000,98849000,98828000,,80764000,80637000,,1000,,69000,1580000,1089000,928000,487000,478000,234000,2000,2000,4000
BalanceCurrentInvestments,43000,21000,51000,35000,,,,,,,,,,,,,,,,,,0,,,,64000,,,,,,,,,,,,,,,,,,
BalanceCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,186901000,206125000,252613000,258769000,260766000,289861000,303963000,335542000,362162000,312545000,328816000,213187000,201454000,201881000,82064000,81921000,81834000,69377000,25000,167000,983000,56375000,94480000,97015000,156538000,56652000,234000,2000,706000,832000,199000,253000,621000,9730000,15862000,17251000,20024000,126626000,122814000,114538000,113414000,106056000
BalanceAssetsForSale,100935000,99061000,96025000,87061000,90136000,102600000,7402000,6812000,4477000,-20719000,-23130000,-26944000,-61724000,-53248000,-53516000,-56039000,42481000,33996000,33188000,35399000,16534000,-14570000,-14839000,-15723000,-15597000,-5747000,-5587000,-7764000,-4197000,-9376000,-11493000,-11628000,1432000,1393000,1325000,1305000,1241000,1544000,1739000,1654000,1520000,1429000,1534000,1465000
BalanceTotalAssets,1484000,1475000,1634000,1540000,1577000,1513000,1547000,1604000,1541000,20881000,23086000,22147000,24400000,24657000,24789000,24831000,25744000,25083000,25734000,24547000,24586000,26893000,26031000,4209000,4362000,,,,,,,,,,,,,,,,,,,
BalanceCapital,,,,,,,,,,,,,,,,,,,,,,,,,,124915000,121552000,115340000,114282000,105761000,133325000,152383000,144873000,97237000,125185000,134378000,81091000,130038000,129218000,6621000,134890000,138122000,-20690000,
BalanceShareCapital,,,27262000,,,29421000,,29770000,30543000,29133000,29184000,35085000,33839000,34261000,35512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,58611000,78498000,113001000,111066000,101206000,101907000,104914000,145409000,4125000,15063000,109814000,8447000,8473000,8539000,0,0,,,,,,32046000,10188000,51687000,42677000,77916000,37833000,4101000,332000
BalanceReserve,1076000,2325000,2047000,5076000,10690000,12832000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,58484000,78498000,113001000,111066000,101206000,101907000,104914000,145409000,4125000,15063000,109814000,8447000,8473000,8539000,0,0,,,,,,32046000,10188000,2936000,42677000,77916000,37833000,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128000,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,48751000,,,,,4101000,332000,1076000,2325000,2047000,5076000,10690000,12832000,1664000,4813000,25074000,34288000,53503000,87020000,99987000,94107000
BalanceNoncurrentObligations,270977000,207346000,116402000,197338000,186168000,188865000,102783000,105051000,108778000,131100000,21296000,53683000,24976000,3706000,8797000,21150000,43222000,2285000,14804000,14841000,16429000,12328000,5614000,4764000,6061000,11880000,20162000,18054000,18820000,1664000,4737000,,34049000,53231000,2866000,97754000,83568000,11474000,192280000,71830000,4721000,174189000,69068000,4876000
BalanceNoncurrentLeasing,96961000,99774000,5965000,,0,,1090000,0,277000,5606000,1460000,1312000,1133000,11880000,2186000,18054000,18820000,,,,,,,,,,,,234122000,,,175461000,,,75271000,,,67365000,16171000,,16754000,,9759000,10881000
BalanceNoncurrentOtherLiabilities,239000,2237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,23999000,,,80732000,,,6290000,0,,,6610000,1605000,110616000,15348000,1248000,1278000,50334000,35896000,,6545000,3555000,5478000,9456000,11388000,1783000,14276000,12465000,16287000,6722000,3862000,3452000,4319000,16759000
BalanceCurrentBorrowings,,75000,1075000,240000,272000,3421000,2233000,10539000,19091000,15066000,44571000,10546000,10375000,9181000,7288000,6842000,7726000,7436000,1616000,,1678000,151000,2229000,1934000,20953000,263000,251000,140000,143000,292000,609000,1218000,186901000,206125000,0,252613000,258769000,260766000,0,289861000,303963000,335542000,0,362162000
BalanceCurrentObligations,312545000,328816000,0,213187000,201454000,201881000,0,82064000,81921000,81834000,0,69377000,-31952000,167000,0,983000,56375000,94480000,97015000,156538000,56652000,234000,2000,706000,832000,199000,253000,621000,9730000,15862000,17251000,20024000,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-55655000,-21601000,-110605000,83393000,3829000,-6749000,-12229000,8307000,13413000,-28409000,23773000,-55855000,3963000,-11343000,-113183000,101134000,-8670000,-5274000,1562000,125764000,-7021000,6707000,-12000,4947000,-1000,-1000,-145000,1543000,-3710000,-71000,7236000,-9735000,-2587000,-231000,-351000,-243000,-2000,-2247000,2301000,2415000,-1507000,-5225000,,
CashflowAmortization,,161000,,,1627000,,,-538000,,,55000,,,35000,,,8000,,,,,220000,,,,,,,,,,,,,-143000,-72000,-1775000,681000,25000,-121000,-920000,1907000,19000,-4000
CashflowInvestingCashflow,-21000,-1043000,-1553000,1522000,-2592000,2709000,,,,,,,,-691000,-642000,-2595000,-44165000,142000,,,,34000,-5831000,-7154000,4811000,143000,72000,1775000,-681000,-25000,121000,920000,-1907000,-19000,4000,21000,1553000,2731000,,,,,,
CashflowCapex,,,,,,,,,,,,,,,,,47000,5831000,7154000,-4811000,55005000,21582000,16715000,22484000,-1692000,-3002000,16994000,11758000,2196000,34157000,-26911000,51570000,11185000,-16820000,111401000,-101582000,6768000,5474000,-4667000,-123476000,7083000,-6720000,-798000,282000
CashflowFinancingCashflow,,905000,-725000,3828000,2550000,36463000,9579000,-44451000,591000,2000,2247000,3395000,8691000,397000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,-793000,-90000,-95665000,-8471000,2161000,-9871000,3845000,21972000,15627000,5743000,-3159000,-5328000,13595000,-26641000,-4374000,2261000,-1902000,199000,-3105000,2288000,62000,-13000,-810000,5229000,-1000,-1000,69000,1511000,-524000,-116000
CashflowNetCashflow,-465000,-14000,394000,-231000,-243000,,43000,-21000,29000,-17000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
