,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeExtraordinarProfit,,,,,,,,,,907000,1855000,4049000,2388000,740000,2157000,2028000,-237000,-1636000,1871000,972000,1807000,-1091000,1781000,2437000,755000,643000,-22000,1967000,1349000,-551000,-978000,-1260000,-2456000,-1092000,-1865000,-1000000,885000,320000,365000
IncomeBeforeTaxProfit,473000,1541000,414000,2369000,3266000,2477000,1392000,4621000,7795000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,907000,1853000,4039000,2361000,740000,1956000,1636000,-164000,-1473000,1643000,749000,1525000,-1199000,1774000,2170000,323000,603000,-128000,1727000,971000,-572000,-735000,-1023000,-2146000,-932000,-1408000,-794000,710000,237000,276000
IncomeNetProfit,366000,1279000,332000,1927000,2642000,1990000,1127000,3748000,6299000,907000,1853000,4039000,2361000,740000,1956000,1636000,-164000,-1473000,1643000,749000,1525000,-1199000,1774000,2170000,323000,603000,-128000,1727000,971000,-572000,-735000,-1023000,-2146000,-932000,-1408000,-794000,710000,237000,276000
IncomeShareholderNetProfit,366000,1279000,332000,1927000,2642000,1990000,1127000,3748000,6299000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,41208000,,40296000,39154000,,64040000,62645000,,99920000,116035000,133982000,146240000,153485000,154975000,156112000,159634000,164707000,170928000,175851000,175394000,172244000,170634000,167902000,166474000,164369000,162727000,161304000,159476000,158933000,157398000,154690000,152803000,151622000,149206000,147163000,144225000,818000,,857000
BalanceIntangibleAssets,857000,,915000,909000,,1381000,1375000,1463000,1458000,1473000,1446000,1421000,1402000,1376000,1363000,1395000,1374000,1374000,1353000,1332000,1312000,1470000,1446000,1422000,1398000,1375000,1615000,1588000,1561000,1534000,1511000,1484000,1470000,40305000,,39388000,38246000,,63038000
BalanceProperty,61636000,,98294000,114404000,131879000,144142000,151381000,152915000,154014000,157653000,162840000,169095000,173391000,171660000,168097000,166002000,162443000,161125000,158707000,156656000,154723000,152785000,152273000,150335000,147859000,146283000,145255000,143624000,142220000,140215000,,,,,,,,4000,17000
BalanceNoncurrentReceivables,27000,46000,57000,57000,57000,243000,226000,214000,193000,176000,176000,176000,1016000,840000,840000,895000,305000,325000,597000,961000,961000,980000,987000,991000,991000,1079000,265000,242000,273000,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000,,51000,51000,,83000,83000,,199000,199000
BalanceOtherNoncurrentAssets,583000,583000,388000,388000,463000,387000,315000,294000,889000,1344000,1933000,2439000,3231000,3733000,3867000,4029000,4198000,4332000,4306000,4460000,4252000,3968000,3753000,3806000,3217000,2267000,4031000,5132000,4160000,4212000,23579000,15572000,15613000,9745000,41670000,19834000,11011000,9797000,7339000
BalanceCurrentAssets,6943000,7881000,11635000,12693000,11073000,10697000,10020000,9216000,9159000,8003000,8580000,9342000,8121000,10962000,11631000,11780000,10324000,10775000,13507000,13411000,12555000,15840000,22533000,731000,,693000,818000,,764000,836000,,740000,802000,854000,967000,983000,1727000,1295000,1191000
BalanceInventory,945000,1166000,1105000,1082000,1016000,1470000,1615000,1485000,1214000,1266000,874000,781000,765000,983000,904000,1023000,879000,956000,845000,1081000,2534000,,3007000,2658000,,3063000,3170000,27000,9449000,7060000,8411000,6628000,5148000,3941000,5270000,4776000,5034000,5978000,7792000
BalanceCurrentReceivables,5597000,6651000,6142000,5071000,5890000,6677000,5353000,5660000,6576000,7294000,6875000,8510000,9066000,9499000,8258000,10069000,14604000,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,261000,,232000,252000,,11474000,11186000,,29409000,10758000,869000,1547000,813000,569000,639000,5068000,6115000,2837000,1081000,2567000,1154000,659000
BalanceCash,654000,623000,1110000,1230000,3619000,3645000,3311000,2189000,753000,2870000,2683000,3041000,4678000,6559000,505000,,228000,484000,,271000,421000,,2072000,1214000,877000,655000,395000,706000,677000,601000,599000,1092000,719000,774000,394000,888000,663000,581000,341000
BalanceOtherCurrentAssets,272000,808000,628000,410000,277000,607000,549000,349000,300000,248000,288000,,,,,,,,,,,,,,,,,,,,,,,,,,1447000,1447000,1447000
BalanceAssetsForSale,924000,924000,947000,924000,924000,924000,924000,924000,924000,924000,924000,45239000,43422000,44087000,44456000,43365000,65363000,64978000,79612000,78258000,65468000,141590000,135869000,144993000,156037000,160824000,161918000,163993000,171269000,177400000,182001000,186548000,185414000,181460000,179793000,177352000,176501000,175158000,171772000
BalanceTotalAssets,173190000,172054000,171637000,168647000,166389000,167235000,165956000,162685000,163927000,167682000,15524000,17252000,20581000,22342000,18959000,42769000,47948000,62058000,60584000,52063000,64502000,63302000,65077000,67247000,67570000,68173000,68044000,69773000,70744000,70172000,69437000,68414000,66269000,65336000,63929000,63134000,63844000,64082000,64358000
BalanceCapital,81163000,83899000,84231000,86157000,88800000,90789000,91916000,95665000,99972000,10078000,,10078000,10078000,,23414000,23414000,,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,23414000,36114000,36114000,36114000
BalanceShareCapital,36114000,36114000,36114000,36114000,36114000,36114000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,8141000,,21902000,21902000,,27186000,27185000,29630000,29629000,29630000,29629000,32697000,32698000,32698000,32830000,35872000,35872000,35872000,35904000,31396000,31396000,31396000,31984000,28972000,32711000,45627000,32711000,34869000,34869000
BalanceReserve,47785000,34869000,41760000,39768000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,12176000,11052000,11543000,9860000,10125000,9308000,9308000,8741000,7633000,4107000,53921000,53554000,53014000,77530000,80674000,84189000,85659000,44338000,44801000,47216000,50796000,98987000,96459000,95106000,96590000,80581000,77926000,75003000,72402000,69756000,67058000,65412000,62450000,59426000,56850000,52956000,50339000
BalanceNoncurrentLiabilities,47779000,11052000,,9093000,9093000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,4872000,3976000,,1328000,807000,286000,143000,3326000,3192000,4397000,7366000,9540000,10215000,14260000,44324000,42202000,41077000,42834000,43104000,40900000,38697000,36493000,34289000,32086000,29882000,27558000,24988000,22823000,19350000,17204000,15052000,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1124000,,767000,1032000
BalanceNoncurrentLeasing,,3869000,3657000,,52593000,52747000,52728000,77387000,77348000,80997000,81262000,36972000,35261000,37002000,36536000,54663000,54257000,54029000,53756000,37477000,37026000,36307000,35909000,35467000,34972000,35530000,34892000,34438000,34027000,33607000,33135000,32728000,17537000,15118000,11963000,12255000,14281000,13286000,7722000
BalanceNoncurrentOtherLiabilities,8813000,10041000,9298000,23167000,19013000,26902000,11260000,12580000,9556000,10290000,57158000,61856000,64613000,66315000,18013000,18732000,19351000,16833000,32786000,33387000,32687000,36430000,21135000,20679000,19004000,17781000,19009000,18317000,17813000,17923000,19931000,17302000,,11801000,14047000,,1470000,1608000,
BalanceCurrentLiabilities,2524000,1570000,1699000,2443000,1403000,1042000,1492000,1712000,1474000,1318000,2577000,2005000,3220000,1488000,2107000,2696000,3244000,2193000,2151000,2689000,2374000,2426000,2542000,2585000,3020000,2838000,3018000,4446000,,,,,,,,4768000,5487000,,6231000
BalanceCurrentTradePayablesv,4569000,5450000,3187000,4017000,2325000,4668000,52251000,53683000,53224000,55158000,9460000,9286000,11407000,8629000,23527000,24837000,26082000,26498000,10636000,10959000,10995000,10092000,11194000,9725000,9559000,9349000,9235000,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,,454000,234000,,2286000,1881000,,13443000,9330000,9126000,5174000
BalanceCurrentLeasing,6770000,5798000,3724000,2603000,4609000,7918000,6091000,4017000,3702000,4015000,3663000,4078000,2822000,1948000,4324000,4354000,3890000,3131000,2713000,2805000,3155000,3004000,3145000,3838000,,,,,,,,289000,1065000,,969000,3544000,10627000,456000,390000
BalanceCurrentOtherLiabilities,391000,406000,593000,2090000,2154000,2489000,2531000,2524000,2442000,2435000,2485000,2485000,2464000,3456000,3456000,3456000,2452000,2434000,2425000,2417000,2412000,2412000,2412000,45239000,43422000,44087000,44457000,43365000,65363000,64978000,79612000,78258000,65468000,0,141590000,135869000,144993000,156037000,160824000
BalanceReckoning,161918000,163993000,171269000,177400000,182001000,186548000,185414000,181460000,179793000,177352000,176501000,175158000,171772000,173190000,172054000,171637000,168647000,166389000,167235000,165956000,162685000,163927000,167682000,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,,,14437000,,,12985000,114000,2133000,2101000,915000,2434000,5019000,3233000,2570000,1402000,-2324000,4080000,1805000,-582000,1018000,4201000,976000,-459000,1988000,2245000,2380000,1510000,4277000,2556000,2232000,1947000,2214000,4687000,5068000,4695000,5078000,6364000,
CashflowAmortization,,,6399000,,,9747000,2497000,2413000,2471000,2540000,1602000,1419000,1502000,1539000,992000,896000,876000,898000,1748000,1333000,3113000,2416000,2174000,2182000,2174000,2177000,2147000,2142000,2156000,2161000,2149000,2161000,2128000,2146000,2068000,2078000,2067000,,
CashflowInvestingCashflow,,-14357000,,,-14062000,-847000,-9047000,-6171000,-16249000,-22615000,-20957000,-15775000,-5828000,-4790000,-186000,-8957000,-3280000,-5040000,-7968000,-3617000,1074000,-86000,-22000,-34000,79000,532000,-185000,-213000,-96000,-435000,100000,-474000,-1109000,-321000,-643000,193000,,,
CashflowCapex,14441000,,,14191000,864000,9107000,6172000,16249000,22652000,20970000,15832000,5828000,4790000,212000,8957000,3320000,5081000,7977000,3723000,-1056000,86000,22000,61000,-63000,97000,185000,213000,133000,476000,777000,488000,1109000,460000,668000,312000,,,,-1103000
CashflowFinancingCashflow,,,12322000,446000,-2676000,49360000,-2144000,1530000,6049000,13221000,2524000,3144000,2579000,9305000,2523000,2345000,5193000,902000,-3462000,50000,-1970000,-2242000,-1973000,-1922000,-1703000,-2318000,-2470000,-2634000,-3751000,-2096000,-4145000,-4016000,-2800000,-4676000,,,,,
CashflowShareCapitalCash,,,25395000,,,0,,,,,,,,,,,,,,,,,,16439000,0,,,,,,,,,,1363000,,,4123000,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1021000,,,11245000,-287000,-9590000,45290000,-17478000
CashflowNetCashflow,-18651000,-9889000,678000,-733000,-244000,69000,4429000,1047000,-3278000,-1756000,1486000,-1412000,-496000,-5000,-31000,486000,121000,2389000,26000,-334000,-1122000,-1436000,2117000,-187000,358000,1636000,1881000,,,,,,,,,,,,
