,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeDistributionExpenses,247000,198000,564000,60000,273000,547000,514000,268000,431000,515000,602000,599000,633000,960000,622000,494000,641000,457000,641000,-36000,370000,-162000,1261000,236000,1043000,1449000,1589000,1061000,932000,1514000,1067000,727000,1046000,1219000,887000,853000,1239000,1334000,1121000,925000,1215000,1053000,1164000,1154000
IncomeDistributionExpenses_yy,,,,,10.53,176.26,-8.87,346.67,57.88,-5.85,17.12,123.51,46.87,86.41,3.32,-17.53,1.26,-52.40,3.05,-107.29,-42.28,-135.45,96.72,755.56,181.89,994.44,26.01,349.58,-10.64,4.49,-32.85,-31.48,12.23,-19.48,-16.87,17.33,18.45,9.43,26.38,8.44,-1.94,-21.06,3.84,24.76
IncomeDistributionExpenses_sy,,,,,21.50,-7.73,-2.82,6.15,-4.41,1.27,-1.83,3.99,10.39,41.84,15.00,3.37,10.30,9.31,7.08,4.36,-2.62,6.43,-3.70,-2.82,1.81,-1.80,10.90,4.31,-13.84,-8.18,-11.77,-6.26,2.79,5.79,0.18,21.48,17.06,3.20,13.68,6.49,5.90,11.68,6.93,-3.06
IncomeDistributionExpenses_qq,,-19.84,184.85,-89.36,355.00,100.37,-6.03,-47.86,60.82,19.49,16.89,-0.50,5.68,51.66,-35.21,-20.58,29.76,-28.71,40.26,-105.62,1127.78,-143.78,878.40,-81.28,341.95,38.93,9.66,-33.23,-12.16,62.45,-29.52,-31.87,43.88,16.54,-27.24,-3.83,45.25,7.67,-15.97,-17.48,31.35,-13.33,10.54,-0.86
IncomeDistributionExpenses_sq,,11.78,-6.92,19.24,14.82,-2.03,-18.00,26.92,21.41,-7.62,4.21,10.51,7.07,3.17,-14.10,19.78,4.02,-0.39,-4.12,1.27,4.56,2.12,-21.31,12.64,6.90,6.49,-10.01,11.20,-8.68,5.74,-16.04,10.34,-0.76,15.50,-20.56,27.15,2.62,-0.08,-3.80,9.46,-1.32,-7.83,-4.09,8.91
IncomeAdministrativExpenses,547000,603000,493000,553000,325000,848000,549000,705000,566000,1241000,529000,975000,731000,717000,891000,1162000,641000,1010000,330000,1083000,801000,1603000,567000,1713000,959000,1119000,983000,1074000,1011000,1274000,1549000,962000,1851000,1365000,1034000,1028000,1073000,1112000,1043000,1123000,1448000,1081000,1398000,910000
IncomeAdministrativExpenses_yy,,,,,-40.59,40.63,11.36,27.49,74.15,46.34,-3.64,38.30,29.15,-42.22,68.43,19.18,-12.31,40.86,-62.96,-6.80,24.96,58.71,71.82,58.17,19.73,-30.19,73.37,-37.30,5.42,13.85,57.58,-10.43,83.09,7.14,-33.25,6.86,-42.03,-18.53,0.87,9.24,34.95,-2.79,34.04,-18.97
IncomeAdministrativExpenses_sy,,,,,18.44,13.46,-4.93,-13.34,-7.46,15.91,-4.40,11.86,7.62,8.48,13.68,6.11,-7.65,2.80,-0.15,1.10,-2.18,-6.23,-7.06,0.58,5.65,5.62,3.78,-3.50,-1.96,-10.89,3.28,1.84,-2.66,1.08,4.83,-2.15,8.90,5.74,0.44,17.66,7.84,15.90,10.41,-0.36
IncomeAdministrativExpenses_qq,,10.24,-18.24,12.17,-41.23,160.92,-35.26,28.42,-19.72,119.26,-57.37,84.31,-25.03,-1.92,24.27,30.42,-44.84,57.57,-67.33,228.18,-26.04,100.12,-64.63,202.12,-44.02,16.68,-12.15,9.26,-5.87,26.01,21.59,-37.90,92.41,-26.26,-24.25,-0.58,4.38,3.63,-6.21,7.67,28.94,-25.35,29.32,-34.91
IncomeAdministrativExpenses_sq,,17.68,-9.78,17.10,-5.96,0.38,-11.64,2.01,0.38,21.09,-19.99,8.99,3.62,8.17,-7.66,5.21,-8.93,11.53,2.28,2.41,-8.46,7.02,-4.80,10.78,-11.23,8.94,-7.90,3.86,-2.48,10.98,-3.06,3.85,-11.04,9.08,-1.75,-0.70,0.07,4.70,2.18,9.30,-0.26,5.66,-0.36,
IncomeGrossProfit,1276000,1126000,1109000,1485000,1009000,2013000,1181000,2175000,1437000,3799000,1297000,3493000,2383000,2127000,1761000,3947000,3166000,2211000,1886000,2996000,1642000,3099000,1590000,2617000,5632000,3667000,3757000,3744000,4195000,7294000,4345000,5623000,5899000,1783000,3906000,2732000,2262000,1053000,3406000,2271000,2017000,3574000,1057000,6118000
IncomeGrossProfit_yy,,,,,-20.92,78.77,6.49,46.46,42.42,88.72,9.82,60.60,65.83,-44.01,35.77,13.00,32.86,3.95,7.10,-24.09,-48.14,40.16,-15.69,-12.65,243.00,18.33,136.29,43.06,-25.51,98.91,15.65,50.19,40.62,-75.56,-10.10,-51.41,-61.65,-40.94,-12.80,-16.87,-10.83,239.41,-68.97,169.40
IncomeGrossProfit_sy,,,,,-17.64,6.21,3.55,-20.26,-12.47,-21.29,-92.64,-2.00,-0.51,32.21,14.20,11.16,39.44,72.26,22.06,-6.73,-8.10,-24.24,-3.68,-2.28,-2.86,-1.52,11.10,-10.14,-13.82,-16.55,12.68,15.62,-8.62,-29.38,12.07,-4.92,-1.87,45.00,-2.40,4.53,14.01,7.99,31.71,34.19
IncomeGrossProfit_qq,,-11.76,-1.51,33.90,-32.05,99.50,-41.33,84.17,-33.93,164.37,-65.86,169.31,-31.78,-10.74,-17.21,124.13,-19.79,-30.16,-14.70,58.85,-45.19,88.73,-48.69,64.59,115.21,-34.89,2.45,-0.35,12.05,73.87,-40.43,29.41,4.91,-69.77,119.07,-30.06,-17.20,-53.45,223.46,-33.32,-11.18,77.19,-70.43,478.81
IncomeGrossProfit_sq,,-15.75,-14.62,34.62,27.36,-39.50,-33.99,13.08,53.41,-100.38,32.47,150.62,66.16,-90.45,14.39,142.13,44.70,-50.67,-7.68,54.31,26.88,-61.32,-43.40,78.76,18.10,-43.08,9.24,21.15,30.92,-56.51,33.92,99.00,9.81,-88.17,56.65,-0.37,20.74,-65.56,28.52,84.19,35.56,-78.88,42.32,86.61
IncomeOtherOperatingIncome,116000,51000,40000,245000,235000,94000,134000,207000,11000,74000,59000,42000,149000,397000,53000,652000,179000,217000,114000,332000,164000,211000,114000,1814000,156000,923000,375000,340000,378000,79000,125000,215000,154000,494000,211000,536000,256000,464000,198000,577000,290000,394000,1555000,-579000
IncomeOtherOperatingIncome_yy,,,,,102.59,84.31,235.00,-15.51,-95.32,-21.28,-55.97,-79.71,1254.55,436.49,-10.17,1452.38,20.13,-45.34,115.09,-49.08,-8.38,-2.76,,446.39,-4.88,337.44,228.95,-81.26,142.31,-91.44,-66.67,-36.76,-59.26,525.32,68.80,149.30,66.23,-6.07,-6.16,7.65,13.28,-15.09,685.35,-200.35
IncomeOtherOperatingIncome_sy,,,,,7.66,6.36,-16.13,75.15,55.85,-19.24,17.07,19.35,-6.62,51.42,3.74,-15.59,86.30,-1.31,47.50,45.26,-3.97,-4.20,,-27.80,-16.50,14.66,2.24,-9.39,30.61,65.91,-40.00,-12.58,-12.21,-38.88,-11.84,-45.78,-26.34,-5.06,13.47,7.65,-18.80,-15.09,-28.90,-16.23
IncomeOtherOperatingIncome_qq,,-56.03,-21.57,512.50,-4.08,-60.00,42.55,54.48,-94.69,572.73,-20.27,-28.81,254.76,166.44,-86.65,1130.19,-72.55,21.23,-47.47,191.23,-50.60,28.66,-45.97,1491.23,-91.40,491.67,-59.37,-9.33,11.18,-79.10,58.23,72.00,-28.37,220.78,-57.29,154.03,-52.24,81.25,-57.33,191.41,-49.74,35.86,294.67,-137.23
IncomeOtherOperatingIncome_sq,,-28.29,-23.36,37.48,-10.04,67.88,-32.21,54.48,-46.12,43.24,-13.59,5.30,-69.55,166.44,-60.89,42.08,-15.08,70.77,-33.10,29.68,-35.25,33.16,-27.45,24.52,-30.30,15.14,21.31,15.79,-0.65,102.37,-49.32,40.70,-33.26,117.88,-55.51,-8.30,-17.32,81.25,-48.47,5.80,-49.74,66.11,-40.25,-1.61
IncomeOtherOperatingCosts,0,109000,,5000,0,261000,21000,128000,13000,1123000,,51000,1000,292000,122000,951000,21000,199000,61000,380000,29000,143000,12000,1164000,58000,756000,317000,65000,1006000,4069000,447000,638000,24000,2004000,209000,525000,71000,731000,9000,113000,115000,414000,364000,175000
IncomeOtherOperatingCosts_yy,,,,,,139.45,,2460.00,,330.27,-100.00,-60.16,-92.31,-74.00,,1764.71,2000.00,-31.85,-50.00,-60.04,38.10,-28.14,-80.33,206.32,100.00,428.67,2541.67,-94.42,1634.48,438.23,41.01,881.54,-97.61,-50.75,-53.24,-17.71,195.83,-63.52,-95.69,-78.48,61.97,-43.37,3944.44,54.87
IncomeOtherOperatingCosts_sy,,,,,,179.28,,282.06,,-7.11,28.61,-13.12,-27.13,-52.10,,2.82,91.73,62.61,7.58,23.76,19.67,-12.93,-35.18,25.52,-15.56,-21.07,-1.10,-22.98,-11.92,100.00,3.65,10.06,-9.80,-36.80,-11.27,-10.50,3.23,-2.99,-29.71,-15.16,1.08,6.82,29.41,35.36
IncomeOtherOperatingCosts_qq,,,-100.00,,-100.00,,-91.95,509.52,-89.84,8538.46,-100.00,,-98.04,29100.00,-58.22,679.51,-97.79,847.62,-69.35,522.95,-92.37,393.10,-91.61,9600.00,-95.02,1203.45,-58.07,-79.50,1447.69,304.47,-89.01,42.73,-96.24,8250.00,-89.57,151.20,-86.48,929.58,-98.77,1155.56,1.77,260.00,-12.08,-51.92
IncomeOtherOperatingCosts_sq,,,-41.06,,5.58,,-88.51,147.10,-0.42,188.46,-66.52,,-35.90,63.91,-52.32,39.66,6.28,18.12,-43.82,38.40,-27.25,46.52,-59.24,133.65,-51.74,10.64,-21.26,43.38,-17.00,103.85,-71.81,32.47,-36.02,34.82,-12.73,97.96,-27.74,300.00,-81.46,244.71,-11.29,122.86,-63.89,152.08
IncomeEBIT,1392000,1068000,1149000,1725000,1244000,1846000,1294000,2254000,1435000,2750000,1356000,3484000,2531000,2232000,1692000,3648000,3324000,2229000,1939000,2948000,1777000,3167000,1692000,3267000,5730000,3834000,3815000,4019000,3567000,3304000,4023000,5200000,6029000,273000,3908000,2743000,2447000,786000,3595000,2735000,2192000,3554000,2248000,5364000
IncomeEBIT_yy,,,,,-10.63,72.85,12.62,30.67,15.35,48.97,4.79,54.57,76.38,-18.84,24.78,4.71,31.33,-0.13,14.60,-19.19,-46.54,42.08,-12.74,10.82,222.45,21.06,125.47,23.02,-37.75,-13.82,5.45,29.39,69.02,-91.74,-2.86,-47.25,-59.41,187.91,-8.01,-0.29,-10.42,352.16,-37.47,96.12
IncomeEBIT_sy,,,,,-8.23,-3.21,-11.10,-9.06,-25.37,-25.94,-66.57,7.26,-3.91,55.81,14.23,4.52,31.33,68.38,27.95,-19.05,0.14,-9.86,-8.38,5.76,-4.92,-1.64,32.36,-8.60,-8.86,-20.42,-4.64,29.39,1.26,-11.44,14.73,-25.48,-1.85,39.39,15.27,4.35,11.08,-0.41,30.96,57.14
IncomeEBIT_qq,,-23.28,7.58,50.13,-27.88,48.39,-29.90,74.19,-36.34,91.64,-50.69,156.93,-27.35,-11.81,-24.19,115.60,-8.88,-32.94,-13.01,52.04,-39.72,78.22,-46.57,93.09,75.39,-33.09,-0.50,5.35,-11.25,-7.37,21.76,29.26,15.94,-95.47,1331.50,-29.81,-10.79,-67.88,357.38,-23.92,-19.85,62.14,-36.75,138.61
IncomeEBIT_sq,,-47.10,8.20,41.96,-10.71,-43.72,16.96,35.37,68.93,-103.32,75.99,88.65,74.54,-101.53,26.46,139.70,48.14,-48.01,-14.16,43.90,36.94,-57.47,-24.61,86.48,26.19,-70.66,1.36,5.35,43.52,-62.55,27.91,39.41,3.36,-95.06,93.84,0.82,42.04,-67.88,75.34,41.87,25.12,-61.85,82.66,82.67
IncomeFinanceIncome,16000,40000,34000,90000,45000,215000,80000,171000,555000,20000,268000,95000,334000,260000,312000,292000,100000,689000,472000,280000,335000,486000,391000,350000,330000,206000,243000,179000,232000,235000,268000,230000,205000,252000,138000,149000,157000,770000,127000,141000,776000,136000,92000,191000
IncomeFinanceIncome_yy,,,,,181.25,437.50,135.29,90.00,1133.33,-90.70,235.00,-44.44,-39.82,1200.00,16.42,207.37,-70.06,165.00,51.28,-4.11,235.00,-29.46,-17.16,25.00,-1.49,-57.61,-37.85,-48.86,-29.70,14.08,10.29,28.49,-11.64,7.23,-48.51,-35.22,-23.41,205.56,-7.97,-5.37,394.27,-82.34,-27.56,35.46
IncomeFinanceIncome_sy,,,,,-35.45,372.79,-6.14,20.92,19.80,-65.12,-45.25,43.17,-4.13,-29.61,0.98,4.24,115.62,-7.14,51.28,-74.58,59.68,-26.27,-27.12,76.16,-45.84,-32.75,-27.59,-31.64,3.96,-16.80,10.29,-94.25,-40.14,7.23,-56.99,127.68,-23.41,167.62,22.64,-94.10,100.00,-35.14,-27.56,310.72
IncomeFinanceIncome_qq,,150.00,-15.00,164.71,-50.00,377.78,-62.79,113.75,224.56,-96.40,1240.00,-64.55,251.58,-22.16,20.00,-6.41,-65.75,589.00,-31.49,-40.68,19.64,45.07,-19.55,-10.49,-5.71,-37.58,17.96,-26.34,29.61,1.29,14.04,-14.18,-10.87,22.93,-45.24,7.97,5.37,390.45,-83.51,11.02,450.35,-82.47,-32.35,107.61
IncomeFinanceIncome_sq,,1.27,2.23,61.58,-46.44,377.78,-56.92,-14.58,-5.87,140.51,-28.69,3.48,27.27,15.62,20.00,-37.59,4.35,21.14,137.65,-70.63,99.02,38.18,6.13,-52.20,21.38,55.24,36.66,-54.55,-7.44,-43.96,147.37,-32.53,-10.87,77.65,-15.66,143.41,-1.68,95.21,-22.62,-82.57,85.33,25.00,-32.35,647.61
IncomeFinanceCosts,9000,38000,66000,122000,108000,297000,168000,94000,185000,47000,140000,291000,181000,233000,316000,457000,478000,565000,513000,716000,675000,798000,654000,634000,605000,953000,873000,660000,636000,1892000,578000,1279000,1130000,1053000,1034000,1166000,975000,911000,1090000,823000,1501000,959000,1018000,777000
IncomeFinanceCosts_yy,,,,,1100.00,681.58,154.55,-22.95,71.30,-84.18,-16.67,209.57,-2.16,395.74,125.71,57.04,164.09,142.49,62.34,56.67,41.21,41.24,27.49,-11.45,-10.37,19.42,33.49,4.10,5.12,98.53,-33.79,93.79,77.67,-44.34,78.89,-8.84,-13.72,-13.49,5.42,-29.42,53.95,5.27,-6.61,-5.59
IncomeFinanceCosts_sy,,,,,1.80,354.95,57.14,-22.95,69.18,-75.42,-19.42,65.38,26.76,56.78,33.42,26.44,115.90,45.00,9.09,-19.84,-14.52,4.69,-8.22,-11.45,-34.05,-2.78,10.53,-33.39,5.12,29.70,-22.18,-13.10,-38.35,-39.14,-0.78,-8.84,-11.43,1.72,20.99,-3.48,30.57,107.56,-6.61,90.68
IncomeFinanceCosts_qq,,322.22,73.68,84.85,-11.48,175.00,-43.43,-44.05,96.81,-74.59,197.87,107.86,-37.80,28.73,35.62,44.62,4.60,18.20,-9.20,39.57,-5.73,18.22,-18.05,-3.06,-4.57,57.52,-8.39,-24.40,-3.64,197.48,-69.45,121.28,-11.65,-6.81,-1.80,12.77,-16.38,-6.56,19.65,-24.50,82.38,-36.11,6.15,-23.67
IncomeFinanceCosts_sq,,104.58,-6.67,70.76,-41.05,166.37,-43.75,-35.34,9.04,-19.35,23.08,75.63,-23.78,22.34,-10.25,26.38,-8.12,-28.23,-9.20,23.42,-5.73,-10.00,-8.29,6.32,-5.77,-0.87,11.79,-26.14,46.23,-18.74,-6.47,-44.19,27.01,-4.45,13.21,-16.67,-0.99,-3.93,19.65,1.47,19.76,17.10,-26.23,29.71
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-313000
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,1399000,1070000,1117000,1693000,1181000,1764000,1206000,2331000,1805000,2723000,1484000,3288000,2684000,2259000,1688000,3483000,2946000,2353000,1898000,2512000,1437000,2855000,1429000,2983000,5455000,3087000,3185000,3538000,3163000,1647000,3713000,4151000,5104000,-528000,3012000,1726000,1629000,645000,2632000,2053000,1467000,2731000,1322000,4465000
IncomeNetGrossProfit_yy,,,,,-15.58,64.86,7.97,37.68,52.84,54.37,23.05,41.06,48.70,-17.04,13.75,5.93,9.76,4.16,12.44,-27.88,-51.22,21.33,-24.71,18.75,279.61,8.13,122.88,18.61,-42.02,-46.65,16.58,17.33,61.37,-132.06,-18.88,-58.42,-68.08,222.16,-12.62,18.95,-9.94,323.41,-49.77,117.49
IncomeNetGrossProfit_sy,,,,,0.30,-94.66,-26.27,-23.54,37.00,21.88,8.85,11.55,1.27,46.04,-0.50,2.56,17.77,44.29,36.30,-23.69,-7.52,-12.59,-17.28,16.86,-9.38,-23.14,31.95,-9.28,-16.42,-46.84,-4.26,17.33,-6.61,19.33,-0.14,-18.92,18.17,45.38,-3.32,21.25,2.78,-14.23,30.68,98.13
IncomeNetGrossProfit_qq,,-23.52,4.39,51.57,-30.24,49.36,-31.63,93.28,-22.57,50.86,-45.50,121.56,-18.37,-15.83,-25.28,106.34,-15.42,-20.13,-19.34,32.35,-42.79,98.68,-49.95,108.75,82.87,-43.41,3.17,11.08,-10.60,-47.93,125.44,11.80,22.96,-110.34,670.45,-42.70,-5.62,-60.41,308.06,-22.00,-28.54,86.16,-51.59,237.75
IncomeNetGrossProfit_sq,,-56.16,19.46,44.00,1.78,-87.94,51.26,28.46,78.77,-107.08,82.55,65.95,116.87,-104.37,-1.01,114.39,48.44,-46.73,4.19,38.70,62.75,-71.14,-4.88,41.95,59.68,-81.82,5.79,11.20,30.18,-106.50,89.29,58.17,2.51,-85.81,139.00,-6.86,34.94,-78.95,84.15,37.83,40.72,-109.36,82.29,81.09
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,1399000,1070000,1117000,1693000,1181000,1764000,1206000,2331000,1805000,2723000,1484000,3288000,2684000,2259000,1688000,3483000,2946000,2353000,1898000,2512000,1437000,2855000,1429000,2983000,5455000,3087000,3185000,3538000,3163000,1647000,3713000,4151000,5104000,-528000,3012000,1726000,1629000,645000,2632000,2053000,1467000,2731000,1322000,4465000
IncomeBeforeTaxProfit_yy,,,,,-15.58,64.86,7.97,37.68,52.84,54.37,23.05,41.06,48.70,-17.04,13.75,5.93,9.76,4.16,12.44,-27.88,-51.22,21.33,-24.71,18.75,279.61,8.13,122.88,18.61,-42.02,-46.65,16.58,17.33,61.37,-132.06,-18.88,-58.42,-68.08,222.16,-12.62,18.95,-9.94,323.41,-49.77,117.49
IncomeBeforeTaxProfit_sy,,,,,0.30,-95.45,-26.27,-23.54,37.00,21.88,8.85,11.55,1.27,46.04,-0.50,2.56,17.77,44.29,36.30,-23.69,-7.52,-12.59,-17.28,16.86,-9.38,-23.14,31.95,-9.28,-16.42,-46.84,-4.26,17.33,-6.61,19.33,-0.14,-18.92,18.17,45.38,-3.32,21.25,2.78,-14.23,30.68,98.13
IncomeBeforeTaxProfit_qq,,-23.52,4.39,51.57,-30.24,49.36,-31.63,93.28,-22.57,50.86,-45.50,121.56,-18.37,-15.83,-25.28,106.34,-15.42,-20.13,-19.34,32.35,-42.79,98.68,-49.95,108.75,82.87,-43.41,3.17,11.08,-10.60,-47.93,125.44,11.80,22.96,-110.34,670.45,-42.70,-5.62,-60.41,308.06,-22.00,-28.54,86.16,-51.59,237.75
IncomeBeforeTaxProfit_sq,,-56.16,19.46,44.00,1.78,-87.94,51.26,28.46,78.77,-107.08,82.55,65.95,116.87,-104.37,-1.01,114.39,48.44,-46.73,4.19,38.70,62.75,-71.14,-4.88,41.95,59.68,-81.82,5.79,11.20,30.18,-106.50,89.29,58.17,2.51,-85.81,139.00,-6.86,34.94,-78.95,84.15,37.83,40.72,-109.36,82.29,81.09
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,,,,-763000
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-691.47
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-691.47
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43.80,,,
IncomeNetProfit,1295000,763000,915000,1386000,932000,1391000,991000,1830000,1454000,2170000,1208000,2711000,2191000,1894000,1350000,2818000,2301000,2486000,1503000,2374000,1904000,1966000,1714000,2779000,4293000,2566000,2886000,3054000,3108000,1494000,3020000,3079000,3783000,307000,2570000,1443000,1830000,573000,1901000,2059000,1573000,2088000,1573000,2645000
IncomeNetProfit_yy,,,,,-28.03,82.31,8.31,32.03,56.01,56.00,21.90,48.14,50.69,-12.72,11.75,3.95,5.02,31.26,11.33,-15.76,-17.25,-20.92,14.04,17.06,125.47,30.52,68.38,9.90,-27.60,-41.78,4.64,0.82,21.72,-79.45,-14.90,-53.13,-51.63,86.64,-26.03,42.69,-14.04,264.40,-17.25,28.46
IncomeNetProfit_sy,,,,,-4.21,-114.38,-31.66,-21.88,36.56,54.80,9.94,-0.65,-15.40,67.62,9.96,9.88,29.45,31.26,31.26,-25.82,-2.76,-36.98,5.12,22.72,10.13,-54.10,19.30,-12.79,-14.10,-45.53,4.64,0.82,-3.70,8.62,17.18,-15.37,10.82,50.86,-11.65,24.47,13.73,-5.52,7.37,69.64
IncomeNetProfit_qq,,-41.08,19.92,51.48,-32.76,49.25,-28.76,84.66,-20.55,49.24,-44.33,124.42,-19.18,-13.56,-28.72,108.74,-18.35,8.04,-39.54,57.95,-19.80,3.26,-12.82,62.14,54.48,-40.23,12.47,5.82,1.77,-51.93,102.14,1.95,22.86,-91.88,737.13,-43.85,26.82,-68.69,231.76,8.31,-23.60,32.74,-24.66,68.15
