,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,198858000,211174000,223139000,249440000,251615000,250032000,322268000,319496000,,223289000,224189000,,257756000,275581000,,302485000,315965000,,310037000,360180000,375281000,341288000,317796000,327785000,341206000,330341000,287019000,244404000
BalanceAssetsForSale,245184000,216775000,228566000,230801000,262060000,237846000,248385000,246968000,239186000,219510000,220557000,202071000,222834000,,110634000,121409000,139824000,167981000,162652000,159331000,170997000,161494000,,128620000,129357000,,166499000,178221000,,187555000,206936000,,210117000,239954000,241236000,240249000,217189000,223110000,226428000,243866000,199275000,173594000,171580000,169463000,171287000,175500000,179715000,187930000
BalanceTotalAssets,192010000,185338000,156854000,169162000,170898000,139941000,134145000,,92914000,93843000,91328000,91574000,90137000,85750000,106667000,120189000,,105301000,98996000,,100247000,101553000,,69785000,65753000,,64430000,65836000,68228000,66449000,49020000,49305000,49182000,49354000,49869000,47841000,49074000,49592000,48581000,48660000,50451000,49157000,49106000,46840000,46914000,47831000,45046000,45452000
BalanceCapital,47105000,,,,,,0,0,0,,-1878000,-2116000,,-1849000,-1738000,,-1232000,-1488000,,-1360000,-1282000,,-82000,-84000,-87000,-717000,-929000,-3124000,-3645000,-4860000,-2493000,-4927000,-6094000,-7875000,-2467000,-4435000,-6315000,-8986000,-4415000,-8254000,-10651000,-10859000,,17961000,15087000,13523000,33843000,27455000
BalanceShareCapital,26834000,44332000,25768000,,9650000,7964000,,12126000,-2050000,,63761000,60094000,,61908000,63405000,62955000,60470000,57700000,53605000,57907000,52920000,37180000,29114000,29730000,17705000,-12861000,-16199000,-9696000,-9016000,8118000,13765000,-4932000,-12483000,-20875000,-23660000,-21285000,,44028000,42162000,30699000,31206000,31598000,35377000,37860000,36689000,,35745000,35969000
BalanceOwnShares,,43460000,43738000,,42790000,42386000,,41099000,45931000,48617000,47172000,43483000,37742000,38534000,37483000,30966000,16242000,16237000,14517000,16117000,14824000,16830000,17183000,17497000,12828000,12527000,12820000,12388000,13762000,14943000,,2421000,2078000,1661000,1093000,839000,2153000,5291000,5411000,,1446000,1000000,,0,0,,,8485000
BalanceReserve,10720000,,8839000,9524000,9819000,9491000,8099000,692000,982000,1111000,1206000,71000,55000,55000,62000,142000,164000,55000,38000,56000,259000,257000,275000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,2337000,1993000,1578000,931000,684000,2043000,4853000,3930000,,1064000,993000,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,84000,85000,83000,161000,155000,111000,438000,1481000,,382000,8000,,0,0,,,8485000,10720000,,8839000,9524000,9819000,9491000,8099000,692000,982000,1111000,1206000,71000,55000
BalanceNoncurrentObligations,55000,62000,142000,164000,55000,38000,56000,259000,257000,275000,,41775000,45525000,50955000,49159000,56526000,53171000,108119000,115901000,,57478000,57863000,,47797000,53623000,,63655000,55924000,,49982000,64771000,75609000,44377000,49024000,66240000,75262000,47880000,55572000,54568000,57296000,32794000,41106000,40422000,65453000,32590000,38714000,48747000,69767000
BalanceNoncurrentLeasing,37472000,37013000,48112000,73471000,,21432000,25616000,29125000,28133000,32384000,23741000,44787000,44296000,,32557000,30368000,,30419000,31754000,,45895000,28761000,,45669000,52589000,67657000,38267000,44943000,46514000,52502000,28602000,41357000,40338000,45954000,27360000,34028000,31808000,53372000,25031000,30499000,41417000,62852000,30164000,33471000,38529000,64892000,,7321000
BalanceNoncurrentOtherLiabilities,6354000,6010000,5674000,4598000,13524000,31001000,38936000,,6351000,4673000,,143000,883000,,88000,375000,,192000,230000,593000,611000,328000,359000,300000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13022000,13555000,15820000,15324000,19515000,15899000,25076000,27996000,,12090000,16870000
BalanceCurrentBorrowings,,10245000,12481000,,17672000,18844000,,4121000,11952000,7360000,5498000,3753000,19367000,22461000,19278000,14215000,14230000,11342000,5434000,7078000,8614000,12082000,7559000,8215000,7330000,6915000,7308000,3541000,9583000,8579000,,,0,0,,29000,28000,7000,7256000,4673000,,6479000,5952000,,6990000,8505000,,7944000
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,0,198858000,211174000,223139000,0,249440000,251615000,250032000,0,322268000,319496000,0,0,223289000,224189000,0,0,257756000,275581000,0,0,302485000,315965000,0,0
BalanceCurrentLeasing,310037000,360180000,375281000,341288000,317796000,327785000,341206000,330341000,287019000,244404000,245184000,216775000,228566000,230801000,262060000,237846000,248385000,246968000,239186000,219510000,220557000,202071000,222834000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-1311000,-5766000,-11233000,13097000,3030000,-9288000,-5574000,-1714000,8626000,-25306000,-7908000,17226000,45300000,-4708000,3159000,26434000,35552000,2943000,5657000,57774000,28673000,25079000,-22385000,32923000,23695000,-13082000,1458000,27309000,36332000,14018000,3141000,-7265000,35964000,24444000,2772000,31718000,25529000,9145000,11115000,27013000,18373000,-717000,12271000,7642000,21308000,-2015000,20512000,13412000
CashflowAmortization,343000,-747000,2438000,1672000,1662000,1766000,3216000,2824000,2086000,2065000,3361000,3124000,2208000,1984000,1726000,1837000,1734000,1711000,1769000,1296000,1213000,5494000,2418000,2557000,2950000,2666000,2628000,2736000,2690000,3027000,2916000,3312000,3637000,2894000,2682000,2882000,2530000,2365000,1887000,1930000,2044000,2367000,2118000,1986000,1784000,1673000,1671000,1714000
CashflowInvestingCashflow,68000,57537000,-8141000,-6500000,-32679000,11792000,-8663000,-2985000,-7587000,-3146000,-1975000,313000,-6811000,3845000,351000,-137000,-2982000,-2388000,-421000,-6582000,-4971000,-3123000,-466000,-311000,-2600000,-7853000,-3392000,-8290000,-367000,-1982000,438000,-1386000,-530000,857000,1529000,-797000,-1242000,-1628000,-60000,-478000,-1686000,-1425000,-591000,-799000,763000,-2578000,-593000,-1217000
CashflowCapex,-48000,-64655000,8679000,6462000,13984000,2321000,9157000,-8828000,6697000,18075000,1904000,2655000,4265000,-1861000,765000,1484000,3756000,4194000,1833000,7311000,6387000,3520000,1531000,1278000,2690000,8565000,4783000,9537000,1670000,4097000,434000,1623000,397000,852000,523000,629000,373000,1952000,171000,730000,1932000,1522000,831000,1074000,961000,2795000,652000,1278000
CashflowFinancingCashflow,1323000,-3624000,-3231000,614000,39785000,-2679000,-1675000,11280000,-3684000,16172000,4443000,-22022000,-1246000,-2379000,-1835000,-4216000,-8297000,-2483000,112000,-23401000,-16939000,-15817000,308000,-3899000,-48168000,-229000,29000,-2191000,-17110000,-16833000,-5610000,-1386000,-21412000,-40334000,-8219000,-1040000,-21409000,-465000,-3688000,-1744000,-26808000,-15887000,-8431000,-1991000,-30814000,-13000,-45502000,-1627000
CashflowShareCapitalCash,0,0,,,40298000,-1397000,,,,,,,,,,,-22030000,0,-17402000,,0,,,,-16311000,,,,,,,,,,,,,,,,,0,0,0,279000,42000,376000,169000
CashflowDividend,496000,-44000,167000,310000,63000,0,0,510000,0,7894000,0,433000,0,16723000,-1625000,3622000,48325000,188000,0,2550000,16515000,50000,3420000,845000,19900000,39090000,5684000,0,19693000,-281000,1724000,27000,23975000,14378000,4389000,-393000,30814000,13000,45502000,1627000,80000,48147000,-22606000,7212000,10135000,-176000,-15912000,6581000
CashflowNetCashflow,-2645000,-12279000,-5439000,-4483000,37243000,-3241000,1676000,22081000,24273000,-1929000,5348000,27791000,6762000,6139000,-22543000,28606000,-26974000,-21161000,-1905000,16828000,18855000,-4798000,-2031000,-10036000,14021000,-15033000,-3917000,29881000,2878000,7053000,7367000,24792000,-10120000,-18028000,3249000,4852000,-8743000,-4605000,-25583000,10568000,,,,,,,,
