,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,478000,469000,457000,341000,531000,444000,473000,483000,528000,595000,758000,1058000,1072000,1193000,1737000,1576000,975000,1110000,1179000,1360000,1336000,1312000,1153000,1467000,1594000,1492000,1620000,1577000,1758000,1679000,1121000,1557000,1157000,1316000,466000,-138000,383000,117000,210000,-19000,21000,31000,57000
IncomeAdministrativExpenses_yy,,,,,11.09,-5.33,3.50,41.64,-0.56,34.01,60.25,119.05,103.03,100.50,129.16,48.96,-9.05,-6.96,-32.12,-13.71,37.03,18.20,-2.21,7.87,19.31,13.72,40.50,7.50,10.29,12.53,-30.80,-1.27,-34.19,-21.62,-58.43,-108.86,-66.90,-91.11,-54.94,85.92,-94.52,-73.50,-72.86
IncomeAdministrativExpenses_sy,,,,,4.07,1.33,7.24,22.74,29.53,28.26,29.53,23.91,25.35,31.68,25.71,31.07,13.11,2.69,-0.05,-7.25,2.58,8.95,-0.55,-3.98,0.45,0.19,5.62,-6.50,9.20,1.33,-1.94,-5.57,-5.38,-11.65,-1.82,7.34,-3.46,0.31,-0.87,1.59,-0.46,1.06,1.66
IncomeAdministrativExpenses_qq,,-1.88,-2.56,-25.38,55.72,-16.38,6.53,2.11,9.32,12.69,27.39,39.58,1.32,11.29,45.60,-9.27,-38.13,13.85,6.22,15.35,-1.76,-1.80,-12.12,27.23,8.66,-6.40,8.58,-2.65,11.48,-4.49,-33.23,38.89,-25.69,13.74,-64.59,-129.61,377.54,-69.45,79.49,-109.25,208.09,47.62,83.87
IncomeAdministrativExpenses_sq,,6.92,-2.32,9.79,-9.17,5.84,5.10,17.42,-13.89,10.72,5.75,26.70,-5.61,11.00,-2.10,20.94,-24.36,2.74,-4.30,15.89,-10.23,8.01,-5.44,18.94,-16.11,8.28,-9.63,10.64,-4.01,0.10,-15.74,10.70,-8.59,0.30,-2.89,13.80,-9.77,1.30,-3.87,14.48,-11.68,13.36,-7.51
IncomeGrossProfit,-619000,171000,-650000,-524000,-716000,-957000,-635000,-897000,109000,186000,720000,121000,1676000,2869000,1265000,-50000,375000,117000,276000,573000,56000,1352000,1388000,1123000,1558000,2058000,1709000,-2326000,-211000,-451000,-527000,-5394000,-956000,-309000,326000,2211000,-7000,253000,30000,-985000,-21000,-31000,-57000
IncomeGrossProfit_yy,,,,,-15.67,-659.65,2.31,-71.18,115.22,119.44,213.39,113.49,1437.61,1442.47,75.69,-141.32,-77.63,-95.92,-78.18,1246.00,-85.07,1055.56,402.90,95.99,2682.14,52.22,23.13,-307.12,-113.54,-121.91,-130.84,-131.90,-353.08,31.49,161.86,140.99,99.27,181.88,-90.80,-144.54,-200.00,-112.25,-290.00
IncomeGrossProfit_sy,,,,,27.39,35.72,50.50,77.87,127.84,75.84,32.49,19.52,46.69,49.00,75.50,68.19,-34.26,16.16,-38.02,-6.88,-43.76,-2.74,-7.86,-5.16,-17.85,-22.15,-9.19,10.93,50.58,-35.80,-29.08,-50.24,-75.73,52.98,11.62,68.31,56.25,28.54,5.13,30.82,28.11,50.22,25.07
IncomeGrossProfit_qq,,127.63,-480.12,19.38,-36.64,-33.66,33.65,-41.26,112.15,70.64,287.10,-83.19,1285.12,71.18,-55.91,-103.95,850.00,-68.80,135.90,107.61,-90.23,2314.29,2.66,-19.09,38.74,32.09,-16.96,-236.10,90.93,-113.74,-16.85,-923.53,82.28,67.68,205.50,578.22,-100.32,3714.29,-88.14,-3382.67,97.87,-47.62,-83.87
IncomeGrossProfit_sq,,53.87,10.83,-7.04,-27.90,72.01,67.18,-9.86,13.53,15.48,22.80,-44.11,41.09,14.32,15.57,-26.42,-48.38,55.36,-0.86,15.68,-62.01,154.96,5.46,12.98,-65.19,51.22,18.96,2.08,-67.64,15.00,13.24,-39.40,-20.64,52.08,34.62,1.93,-62.02,49.71,9.48,24.91,-49.46,36.38,14.80
IncomeOtherOperatingIncome,199000,535000,408000,184000,37000,2127000,144000,-1561000,488000,-52000,670000,-32000,458000,15000,81000,153000,21000,196000,54000,90000,76000,24000,116000,551000,4857000,-1034000,230000,276000,545000,220000,59000,2399000,230000,2767000,78000,-2000,267000,145000,73000,-57000,,21000,2000
IncomeOtherOperatingIncome_yy,,,,,-81.41,297.57,-64.71,-948.37,1218.92,-102.44,365.28,97.95,-6.15,128.85,-87.91,578.12,-95.41,1206.67,-33.33,-41.18,261.90,-87.76,114.81,512.22,6290.79,-4408.33,98.28,-49.91,-88.78,121.28,-74.35,769.20,-57.80,1157.73,32.20,-100.08,16.09,-94.76,-6.41,-2763.00,-100.00,-85.52,-97.26
IncomeOtherOperatingIncome_sy,,,,,-35.12,119.40,-50.18,-31.86,132.56,-25.08,19.04,32.62,29.25,22.35,-6.38,61.32,25.00,-0.47,-5.52,-10.80,65.19,5.00,63.77,21.74,81.36,71.93,44.56,-37.46,-27.67,-21.70,61.53,5.88,14.56,-7.08,-35.00,6.37,-24.50,-15.38,-6.41,-31.46,-26.92,69.84,7.70
IncomeOtherOperatingIncome_qq,,168.84,-23.74,-54.90,-79.89,5648.65,-93.23,-1184.03,131.26,-110.66,1388.46,-104.78,1531.25,-96.72,440.00,88.89,-86.27,833.33,-72.45,66.67,-15.56,-68.42,383.33,375.00,781.49,-121.29,122.24,20.00,97.46,-59.63,-73.18,3966.10,-90.41,1103.04,-97.18,-102.56,13450.00,-45.69,-49.66,-178.44,100.00,,-90.48
IncomeOtherOperatingIncome_sq,,138.31,-6.33,46.72,-80.07,586.16,-73.46,-12.17,-67.57,126.32,-38.00,53.23,-67.89,55.90,-33.44,169.59,-75.48,33.99,-29.81,186.67,-48.10,-31.83,64.95,239.12,-12.01,-17.88,-3.90,58.14,-22.90,42.22,11.76,36.24,20.41,3.39,-10.46,102.76,-70.72,17.90,4.36,137.19,-61.76,,-33.92
IncomeOtherOperatingCosts,94000,22000,397000,504000,893000,2226000,155000,-1575000,499000,-35000,65000,112000,686000,250000,305000,84000,102000,354000,645000,221000,134000,130000,126000,557000,307000,267000,103000,264000,62000,141000,91000,17253000,1769000,2248000,978000,19469000,1288000,10178000,462000,-11494000,1000,0,0
IncomeOtherOperatingCosts_yy,,,,,850.00,10018.18,-60.96,-412.50,-44.12,-101.57,-58.06,107.11,37.47,814.29,369.23,-25.00,-85.13,41.60,111.48,163.10,31.37,-63.28,-80.47,152.04,129.10,105.38,-18.25,-52.60,-79.80,-47.19,-11.65,6435.23,2753.23,1494.33,974.73,12.84,-27.19,352.76,-52.76,-159.04,-99.92,-100.00,-100.00
IncomeOtherOperatingCosts_sy,,,,,-6.67,21.27,-17.70,-25.18,99.50,-13.40,51.85,22.20,16.43,75.00,28.27,12.83,18.81,-35.87,108.59,-24.91,0.80,49.98,-15.48,51.37,56.32,30.10,28.84,29.00,81.04,95.27,90.86,56.46,-18.51,-59.88,-29.70,10.42,0.15,3.16,-1.30,-35.78,-34.38,-5.82,-32.61
IncomeOtherOperatingCosts_qq,,-76.60,1704.55,26.95,77.18,149.27,-93.04,-1116.13,131.68,-107.01,285.71,72.31,512.50,-63.56,22.00,-72.46,21.43,247.06,82.20,-65.74,-39.37,-2.99,-3.08,342.06,-44.88,-13.03,-61.42,156.31,-76.52,127.42,-35.46,18859.34,-89.75,27.08,-56.49,1890.70,-93.38,690.22,-95.46,-2587.81,100.01,-100.00,
IncomeOtherOperatingCosts_sq,,347.74,-47.20,176.43,-90.86,390.96,-68.20,204.78,-71.58,103.27,-50.53,394.74,-78.74,174.90,-58.40,472.21,-78.59,73.07,17.88,109.48,-74.97,145.81,-4.46,203.16,-71.11,123.76,-37.86,209.52,-68.07,200.57,-22.99,111.82,-71.49,152.33,-41.36,265.99,-72.15,88.79,-30.10,140.51,-73.70,91.56,
IncomeEBIT,-514000,684000,-639000,-844000,-1572000,-1056000,-646000,-883000,98000,169000,1325000,-23000,1448000,2634000,1041000,19000,294000,-41000,-315000,442000,-2000,1246000,1378000,1117000,6108000,757000,1836000,-2314000,272000,-372000,-559000,-20248000,-2495000,210000,-574000,-17260000,-1028000,-9780000,-359000,10452000,-22000,-10000,-55000
IncomeEBIT_yy,,,,,-205.84,-254.39,-1.10,-4.62,106.23,116.00,305.11,97.40,1377.55,1458.58,-21.43,182.61,-79.70,-101.56,-130.26,2226.32,-100.68,3139.02,537.46,152.71,305500.00,-39.25,33.24,-307.16,-95.55,-149.14,-130.45,-775.02,-1017.28,156.45,-2.68,14.76,58.80,-4757.14,37.46,160.55,97.86,99.90,84.68
IncomeEBIT_sy,,,,,1.20,-4.44,39.46,63.58,106.23,68.82,30.16,97.40,56.31,31.54,73.41,36.78,-19.92,31.60,-42.86,5.46,-42.49,-19.90,-5.18,3.50,-21.27,-23.78,-3.58,9.45,11.48,-48.12,-36.43,-61.52,-68.82,70.00,0.68,81.60,13.45,7.19,26.26,32.42,46.74,44.98,24.46
IncomeEBIT_qq,,233.07,-193.42,-32.08,-86.26,32.82,38.83,-36.69,111.10,72.45,684.02,-101.74,6395.65,81.91,-60.48,-98.17,1447.37,-113.95,-668.29,240.32,-100.45,62400.00,10.59,-18.94,446.82,-87.61,142.54,-226.03,111.75,-236.76,-50.27,-3522.18,87.68,108.42,-373.33,-2906.97,94.04,-851.36,96.33,3011.32,-100.21,54.55,-450.00
IncomeEBIT_sq,,41.72,24.47,-94.18,42.82,55.04,56.72,-33.53,25.05,34.21,9.83,-22.85,11.24,20.36,19.56,-36.33,-34.36,67.26,-11.77,21.78,-73.73,137.12,3.28,13.86,-59.41,46.41,34.50,-9.14,-45.13,-13.87,35.10,-65.13,2.54,74.61,18.88,-3.50,-27.26,29.32,10.08,82.28,-57.87,113.19,19.04
IncomeFinanceIncome,352000,17000,1000,75000,9000,-6000,66000,182000,206000,684000,442000,89000,173000,235000,357000,760000,1079000,905000,759000,716000,665000,762000,913000,4126000,1103000,1052000,1496000,1316000,1077000,951000,785000,962000,516000,777000,379000,98000,305000,253000,11000,249000,5000,8000,2000
IncomeFinanceIncome_yy,,,,,-97.44,-135.29,6500.00,142.67,2188.89,11500.00,569.70,-51.10,-16.02,-65.64,-19.23,753.93,523.70,285.11,112.61,-5.79,-38.37,-15.80,20.29,476.26,65.86,38.06,63.86,-68.10,-2.36,-9.60,-47.53,-26.90,-52.09,-18.30,-51.72,-89.81,-40.89,-67.44,-97.10,153.86,-98.36,-96.84,-81.82
IncomeFinanceIncome_sy,,,,,19.44,19.48,6.24,132.74,-23.42,13.94,203.22,143.18,70.64,66.70,79.30,52.33,123.21,-33.21,-54.68,-59.32,-40.45,-5.92,-22.00,14.80,-1.37,37.14,92.69,-2.21,8.02,-8.33,-29.42,-34.34,-34.94,87.50,-66.96,-31.54,4.41,-36.00,-40.67,44.88,-15.10,-10.07,-5.22
IncomeFinanceIncome_qq,,-95.17,-94.12,7400.00,-88.00,-166.67,1200.00,175.76,13.19,232.04,-35.38,-79.86,94.38,35.84,51.91,112.89,41.97,-16.13,-16.13,-5.67,-7.12,14.59,19.82,351.92,-73.27,-4.62,42.21,-12.03,-18.16,-11.70,-17.46,22.55,-46.36,50.58,-51.22,-74.14,211.22,-17.05,-95.65,2161.62,-97.99,60.00,-75.00
IncomeFinanceIncome_sq,,-28.57,20.73,-6.78,105.86,8.05,-30.44,151.84,-25.52,42.92,13.82,133.33,-33.84,29.16,-13.18,114.79,-38.51,-48.46,-4.61,-3.60,27.84,-16.19,-11.62,16.35,28.02,-11.34,20.66,-12.03,45.75,-40.52,2.02,-6.95,-9.88,23.39,-67.98,28.62,10.85,-2.26,-21.88,31.97,24.19,-29.22,
IncomeFinanceCosts,177000,28000,27000,375000,28000,206000,196000,177000,3000,14000,1000,1000,1000,159000,114000,4027000,23000,6000,4000,91000,237000,61000,41000,3543000,131000,196000,261000,270000,528000,813000,783000,20934000,1551000,3917000,2279000,-1827000,722000,602000,482000,7711000,,,
IncomeFinanceCosts_yy,,,,,-84.18,635.71,625.93,-52.80,-89.29,-93.20,-99.49,-99.44,-66.67,1035.71,11300.00,402600.00,2200.00,-96.23,-96.49,-97.74,930.43,916.67,925.00,3793.41,-44.73,221.31,536.59,-92.38,303.05,314.80,200.00,7653.33,193.75,381.80,191.06,-108.73,-53.45,-84.63,-78.85,522.06,-100.00,-100.00,-100.00
IncomeFinanceCosts_sy,,,,,-22.01,39.35,-39.53,-36.97,55.52,69.04,15.30,106.37,44.96,62.34,29.57,163.92,101.51,-5.74,-8.65,-49.75,-6.96,31.48,20.00,31.10,-6.49,37.72,74.95,26.70,12.42,45.63,12.32,-6.49,-33.67,-19.83,-36.89,-30.80,-26.86,-36.36,17.32,7.68,8.88,-31.68,-25.08
IncomeFinanceCosts_qq,,-84.18,-3.57,1288.89,-92.53,635.71,-4.85,-9.69,-98.31,366.67,-92.86,,,15800.00,-28.30,3432.46,-99.43,-73.91,-33.33,2175.00,160.44,-74.26,-32.79,8541.46,-96.30,49.62,33.16,3.45,95.56,53.98,-3.69,2573.56,-92.59,152.55,-41.82,-180.17,139.52,-16.62,-19.93,1499.79,-100.00,,
IncomeFinanceCosts_sq,,48.77,-13.86,53.46,-70.50,48.50,8.86,64.83,-22.92,44.10,-35.70,,,29.60,-28.71,208.88,-11.80,-26.90,1.99,6.10,22.23,-12.22,-0.46,27.03,5.32,-2.49,19.30,3.45,8.76,10.88,-2.95,2.47,-25.95,27.09,-39.55,46.01,-15.92,9.38,7.66,23.91,-28.11,,
IncomeOtherIncome,,,,,,,,242000,,110000,,200000,,96000,,188000,46000,31000,-34000,-23000,5000,11000,-1000,-9000,31000,0,0,0,,0,0,0,,82000,,13058000,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,-17.36,,-12.73,,-6.00,,-67.71,,-112.23,-89.13,-64.52,97.06,60.87,520.00,-100.00,100.00,100.00,-100.00,,,,,,,,,-100.00,,-100.00,,,
IncomeOtherIncome_sy,,,,,,,,,,,,20.87,,-100.00,,-16.10,,-23.62,,-100.00,94.68,-100.00,-103.96,68.12,47.82,-28.57,100.00,100.00,-100.00,,,,,,,,,100.00,,4.40,,,
IncomeOtherIncome_qq,,,,,,,,,-100.00,,-100.00,,-100.00,,-100.00,,-75.53,-32.61,-209.68,32.35,121.74,120.00,-109.09,-800.00,444.44,-100.00,,,,,,,,,-100.00,,-100.00,,,,,,
IncomeOtherIncome_sq,,,,,,,,,-95.77,,4.89,,26.82,,-24.19,,-24.32,100.00,-58.08,-166.90,99.67,-50.00,6.14,-71.53,100.00,-100.00,,,,,,,,,100.00,,,,,,,,
IncomeNetGrossProfit,-339000,673000,-665000,-1144000,-1591000,-1268000,-776000,-636000,301000,949000,1656000,265000,1620000,2806000,1188000,-3060000,1396000,889000,406000,1044000,431000,1958000,2249000,1691000,7111000,1613000,3071000,-1268000,821000,-234000,-557000,-40220000,-3530000,-2848000,-2556000,-2277000,-1445000,-10129000,-830000,2989000,-17000,-2000,-53000
IncomeNetGrossProfit_yy,,,,,-369.32,-288.41,-16.69,44.41,118.92,174.84,313.40,141.67,438.21,195.68,-28.26,-1254.72,-13.83,-68.32,-65.82,134.12,-69.13,120.25,453.94,61.97,1549.88,-17.62,36.55,-174.99,-88.45,-114.51,-118.14,-3071.92,-529.96,-1117.09,-358.89,94.34,59.07,-255.65,67.53,231.29,98.82,99.98,93.61
IncomeNetGrossProfit_sy,,,,,20.83,16.90,54.71,76.17,192.10,87.61,47.00,127.55,43.09,19.61,55.55,22.41,-22.44,33.06,-36.65,7.27,-26.32,-17.79,-6.11,-10.24,0.60,-35.30,-14.24,9.46,10.10,-48.53,-32.46,-62.67,-68.71,61.43,3.34,83.13,49.26,7.99,11.98,6.74,51.79,58.56,40.14
IncomeNetGrossProfit_qq,,298.53,-198.81,-72.03,-39.07,20.30,38.80,18.04,147.33,215.28,74.50,-84.00,511.32,73.21,-57.66,-357.58,145.62,-36.32,-54.33,157.14,-58.72,354.29,14.86,-24.81,320.52,-77.32,90.39,-141.29,164.75,-128.50,-138.03,-7120.83,91.22,19.32,10.25,10.92,36.54,-600.97,91.81,460.17,-100.57,88.24,-2550.00
IncomeNetGrossProfit_sq,,72.12,47.80,-73.75,54.77,72.46,42.92,-6.94,4.05,45.42,23.96,-11.14,13.45,1.34,20.05,-38.03,-43.76,69.08,-13.94,11.42,-70.96,108.76,10.76,-4.13,-63.14,45.72,23.52,-9.60,-42.13,1.42,12.38,-101.40,12.50,34.09,19.16,18.46,-6.80,25.66,4.92,50.88,-80.76,130.70,16.82
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-339000,673000,-665000,-1144000,-1591000,-1268000,-776000,-636000,301000,949000,1656000,265000,1620000,2806000,1188000,-3060000,1396000,889000,406000,1044000,431000,1958000,2249000,1691000,7111000,1613000,3071000,-1268000,821000,-234000,-557000,-40220000,-3530000,-2848000,-2556000,-2277000,-1445000,-10129000,-830000,2989000,-17000,-2000,-53000
IncomeBeforeTaxProfit_yy,,,,,-369.32,-288.41,-16.69,44.41,118.92,174.84,313.40,141.67,438.21,195.68,-28.26,-1254.72,-13.83,-68.32,-65.82,134.12,-69.13,120.25,453.94,61.97,1549.88,-17.62,36.55,-174.99,-88.45,-114.51,-118.14,-3071.92,-529.96,-1117.09,-358.89,94.34,59.07,-255.65,67.53,231.29,98.82,99.98,93.61
IncomeBeforeTaxProfit_sy,,,,,20.83,17.15,54.71,76.17,192.10,87.61,47.00,127.55,43.09,19.61,55.55,22.41,-22.44,33.06,-36.65,7.27,-26.32,-17.79,-6.11,-10.24,0.60,-35.30,-14.24,9.46,10.10,-48.53,-32.46,-62.67,-68.71,61.43,3.34,83.13,49.26,7.99,11.98,6.74,51.79,58.56,40.14
IncomeBeforeTaxProfit_qq,,298.53,-198.81,-72.03,-39.07,20.30,38.80,18.04,147.33,215.28,74.50,-84.00,511.32,73.21,-57.66,-357.58,145.62,-36.32,-54.33,157.14,-58.72,354.29,14.86,-24.81,320.52,-77.32,90.39,-141.29,164.75,-128.50,-138.03,-7120.83,91.22,19.32,10.25,10.92,36.54,-600.97,91.81,460.17,-100.57,88.24,-2550.00
IncomeBeforeTaxProfit_sq,,72.12,48.86,-73.75,54.75,72.46,42.92,-6.94,4.05,45.42,23.96,-11.14,13.45,1.34,20.05,-38.03,-43.76,69.08,-13.94,11.42,-70.96,108.76,10.76,-4.13,-63.14,45.72,23.52,-9.60,-42.13,1.42,12.38,-101.40,12.50,34.09,19.16,18.46,-6.80,25.66,4.92,50.88,-80.76,130.70,16.82
IncomeDiscontinuedProfit,,,,,,,,,,,,0,,,,-837000,,,,,,,,,,,,,,-63000,,-10496000,-181000,,,-2305000,0,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,100.00,,78.04,100.00,,,100.00,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,-78.46,,-108.90,100.00,,,100.00,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,100.00,,98.28,100.00,,,100.00,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,-100.00,,31.57,89.80,,,100.00,,,,,,
IncomeNetProfit,-339000,673000,-665000,-1895000,-1591000,-1268000,-776000,-636000,349000,901000,1820000,995000,1696000,2283000,935000,-3163000,1150000,756000,205000,817000,431000,1543000,2186000,1824000,6818000,1613000,3042000,-1880000,794000,1633000,-454000,-50651000,-3650000,-2959000,10501000,-17045000,-1447000,-10129000,-895000,3056000,-17000,-2000,-53000
IncomeNetProfit_yy,,,,,-369.32,-288.41,-16.69,66.44,121.94,171.06,334.54,256.45,385.96,153.39,-48.63,-417.89,-32.19,-66.89,-78.07,125.83,-62.52,104.10,966.34,123.26,1481.90,4.54,39.16,-203.07,-88.35,1.24,-114.92,-2594.20,-559.70,-281.20,2413.00,66.35,60.36,-242.31,-108.52,117.93,98.83,99.98,94.08
IncomeNetProfit_sy,,,,,21.84,42.34,61.18,83.11,205.73,61.14,83.69,139.93,48.31,19.00,37.90,-4.75,-38.27,30.68,-25.75,5.17,-24.38,-22.44,-6.62,31.48,-10.90,-38.46,-12.99,8.36,11.20,-28.82,-39.82,-60.50,-65.52,-1.36,31.46,60.90,9.95,7.85,15.31,-9.46,64.50,43.48,39.61
IncomeNetProfit_qq,,298.53,-198.81,-184.96,16.04,20.30,38.80,18.04,154.87,158.17,102.00,-45.33,70.45,34.61,-59.05,-438.29,136.36,-34.26,-72.88,298.54,-47.25,258.00,41.67,-16.56,273.79,-76.34,88.59,-161.80,142.23,105.67,-127.80,-11056.61,92.79,18.93,454.88,-262.32,91.51,-600.00,91.16,441.50,-100.56,88.24,-2550.00
IncomeNetProfit_sq,,49.63,203.56,-82.31,50.00,117.78,38.80,-4.48,2.52,40.66,22.72,-2.26,13.28,-0.89,26.98,-37.06,-54.00,67.93,-13.37,11.16,-57.22,133.57,5.11,8.36,-68.21,38.06,25.91,-7.90,-41.86,40.02,-8.56,-179.74,9.38,56.62,18.54,16.20,-32.32,44.74,7.45,56.44,-46.90,101.15,16.21
IncomeShareholderNetProfit,-339000,673000,-665000,-1895000,-1591000,-1268000,-776000,-636000,349000,901000,1820000,995000,1770000,2209000,1164000,-3392000,1150000,756000,205000,817000,431000,1384000,2345000,1824000,6818000,1613000,3042000,-1880000,794000,1633000,-454000,-50651000,-3650000,-2959000,10501000,-17045000,-1447000,-10129000,-895000,3056000,-17000,-2000,-53000
