,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceReserve,,,,,,,,,,,0,1865000,2066000,2015000,1974000,1880000,2028000,,,,,,,,,,,,,,,,11638000,379000
BalanceNonshareCapital,340000,261000,223000,184000,139000,139000,139000,139000,164000,164000,164000,884000,907000,864000,821000,777000,740000,695000,650000,604000,554000,507000,476000,1390000,1419000,1424000,1940000,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11394000,270000,231000,154000
BalanceNoncurrentTradeLiabilities,116000,77000,,,,,720000,635000,592000,548000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,678000,,,500000,455000,410000,364000,318000,271000,240000,1154000,1114000,1119000,1548000,,,,244000,109000,109000,107000,107000,107000,139000,139000,139000,139000,164000,164000,164000,164000,229000
BalanceNoncurrentLeasing,229000,229000,229000,240000,240000,240000,240000,236000,236000,236000,236000,305000,305000,392000,,,,77248000,99115000,101843000,74373000,70644000,71292000,48355000,54611000,51724000,33773000,42592000,49876000,72011000,67345000,70895000,77945000,67567000
BalanceNoncurrentOtherLiabilities,55915000,32603000,34726000,66286000,84947000,67573000,57019000,49536000,88215000,87233000,76994000,127218000,,,,25407000,22447000,19907000,23399000,17191000,19556000,18787000,19431000,21571000,22336000,32460000,27961000,35670000,31515000,34780000,26649000,26700000,32983000,22793000
BalanceCurrentLiabilities,27388000,32909000,35274000,29429000,34064000,39896000,52000000,47646000,41177000,65562000,,,,48958000,74569000,78768000,46846000,48484000,49536000,27892000,33040000,17487000,9044000,7286000,19097000,18290000,32273000,32470000,47840000,37832000,19796000,6662000,2508000,1000
BalanceCurrentTradePayablesv,42853000,30759000,18063000,3504000,27700000,28489000,31491000,54072000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,166000,,,176000,177000,179000,180000
BalanceCurrentObligations,182000,183000,169000,416000,425000,447000,609000,,,,45759000,51148000,3168000,4128000,4969000,2200000,1676000,2140000,12666000,2393000,2846000,2818000,18051000,3557000,3479000,3456000,3035000,3136000,2972000,4653000,33197000,6640000,7203000,4709000
BalanceCurrentLeasing,5967000,8099000,10673000,3879000,6975000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,0,0,0,169794000,187630000,148900000,0,160243000,160274000,168617000,0,153095000,167952000,162884000,151781000,163787000,177288000,192927000,199090000,208338000,221858000,218433000,213074000,196428000,204952000,218785000,245217000,236263000,235014000
BalanceReckoning,237169000,257975000,263982000,265030000,295825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-20580000,11695000,9920000,4120000,-5088000,8322000,13212000,-3276000,-984000,3847000,7906000,14082000,-806000,19060000,15805000,2453000,-11551000,5049000,-693000,1646000,-13793000,8475000,18596000,14283000,7681000,5229000,-16232000,14813000,14256000,16536000,6300000,1140000,-4162000,23029000
CashflowAmortization,449000,566000,401000,1097000,544000,717000,577000,561000,528000,327000,431000,425000,533000,537000,562000,601000,576000,617000,643000,643000,714000,734000,743000,810000,828000,855000,884000,918000,898000,901000,911000,939000,965000,1206000
CashflowInvestingCashflow,-1269000,-978000,-5204000,1327000,-1507000,-154000,-457000,-726000,-765000,-534000,-523000,-496000,2282000,-665000,-629000,-779000,-1360000,-859000,-661000,2000,-748000,-1258000,-1716000,-1800000,-699000,-1225000,-478000,-418000,-762000,-819000,-710000,-1205000,-968000,-796000
CashflowCapex,1246000,695000,-447000,372000,1505000,189000,446000,729000,765000,538000,542000,550000,487000,778000,643000,789000,1362000,861000,665000,37000,774000,1275000,1731000,1809000,724000,1235000,496000,439000,780000,894000,728000,1303000,969000,921000
CashflowFinancingCashflow,16508000,-12410000,8872000,-11711000,10292000,-6157000,-11570000,2503000,841000,263000,-9073000,-13944000,964000,-15804000,-19199000,-1859000,11690000,-1059000,360000,171000,14782000,-10273000,-18275000,-13079000,-4252000,-2560000,14412000,-12355000,-12898000,-14660000,-5507000,499000,2708000,-13088000
CashflowShareCapitalCash,0,0,0,0,,0,25936000,0,,18000,0,19000,19000,0,-1000,13000,1515000,27000,18000,,,,,,,,,3500000,1450000,2128000,4954000,9282000,-7577000,7577000
CashflowDividend,0,0,,,10556000,0,,,14352000,0,,,,,,28199000,0,,,,,,10770000,1347000,13979000,-9403000,3066000,3896000,2371000,-2501000,-908000,3576000,-1690000,-358000
CashflowNetCashflow,2440000,2591000,-4023000,-185000,-1221000,3131000,-994000,1819000,241000,-3056000,-1395000,-596000,2730000,1444000,-2298000,2040000,596000,1057000,83000,434000,-2422000,9145000,,,,,,,,,,,,
