,2011/Q1,2011/Q2,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeGrossProfit_yy,,,94.22,28.57,,,1268.85,-2.87,195.39,-19.22,194.20,1825.72,328.63,141.46,112.87,82.80,-33.00,-68.41,-63.34,-55.30,-189.71,-244.50,-203.98,-125.93,1.49,-21.10,-281.39,-978.74
IncomeGrossProfit_sy,,,33.20,-26.39,,,11.95,70.90,34.56,15.12,15.43,20.12,18.11,27.29,11.32,21.78,28.36,-25.10,-12.94,2.34,-14.32,2.82,28.16,8.05,2.93,3.81,-2.81,15.05
IncomeGrossProfit_qq,,109.33,,307.69,-892.59,507.24,-82.56,-82.74,678.35,244.88,-36.50,12.98,73.24,94.29,-44.02,-2.98,-36.50,-8.39,-35.04,18.29,-227.44,-47.56,53.26,70.51,-384.26,-81.38,-47.22,16.58
IncomeGrossProfit_sq,,13.99,,15.95,-1.79,65.63,-50.02,7.86,18.00,46.73,-33.54,11.04,12.78,65.02,-51.67,-5.87,15.60,5.30,-22.62,9.32,-4.74,32.41,-32.68,13.17,-13.58,38.96,-47.69,39.56
IncomeOtherOperatingIncome,,,,,,-6000,67000,0,-22000,-88000,4000,73000,201000,32000,63000,64000,27000,28000,3003000,-225000,139000,1427000,214000,1134000,668000,928000,144000,219000
IncomeOtherOperatingIncome_yy,,,,,,,,,,-1409.00,-94.67,197072.97,1015.63,136.61,1661.84,-12.62,-86.52,-14.38,4644.10,-452.47,412.36,5083.40,-92.87,604.76,380.62,-34.97,-32.91,-80.68
IncomeOtherOperatingIncome_sy,,,,,,,,,,12.35,-17.50,44.00,4.52,-0.49,-6.57,,-5.03,-6.15,-11.84,20.87,2.33,-12.80,-2.31,-18.17,7.99,-34.97,,-11.52
IncomeOtherOperatingIncome_qq,,,,,,,1258.25,-99.95,-59462.16,-299.85,104.09,1930.45,175.67,-84.01,96.88,0.70,-57.47,1.55,10808.68,-107.48,161.82,927.35,-84.99,429.33,-41.14,39.01,-84.51,52.45
IncomeOtherOperatingIncome_sq,,,,,,,-16.20,-44.26,16.91,30.69,1.84,8.82,-12.22,29.76,-42.02,-5.74,10.44,34.45,-28.28,62.35,-23.30,12.26,-7.44,30.69,-19.69,-22.45,16.16,-9.20
IncomeOtherOperatingCosts,,,,,,1000,0,,30000,55000,36000,28000,225000,2445000,84000,874000,899000,2347000,118000,8000,21000,243000,1142000,-1031000,-22000,129000,5000,91000
IncomeOtherOperatingCosts_yy,,,,,,,,,,10973.60,,,659.52,4315.45,133.38,2974.45,298.84,-3.98,40.30,-99.13,-97.68,-89.64,867.43,-13713.47,-205.36,-46.88,-99.54,108.80
IncomeOtherOperatingCosts_sy,,,,,,,,,,-32.01,,,27.32,9.10,20.97,17.40,-30.72,-12.43,,-6.70,49.90,22.18,4.72,35.71,19.35,-27.62,-2.04,-21.89
IncomeOtherOperatingCosts_qq,,,,,,,-100.00,,,86.63,-34.88,-21.16,692.79,984.94,-96.56,938.57,2.85,161.20,-94.97,-93.59,175.83,1064.94,369.52,-190.24,97.87,687.32,-95.91,1617.61
IncomeOtherOperatingCosts_sq,,,,,,,-72.71,,,214.75,-57.79,20.72,-19.70,199.48,-63.87,-6.48,-28.34,245.71,-63.25,41.26,-31.58,206.08,-74.35,40.00,-23.03,94.26,-57.84,78.46
IncomeEBIT,,,,,-200000,865000,219000,26000,152000,561000,415000,550000,851000,-713000,931000,113000,-285000,-1783000,3234000,180000,-408000,408000,-1291000,2058000,172000,-141000,-1245000,-1026000
IncomeEBIT_yy,,,,,,,,,176.25,-35.18,88.99,1992.57,457.86,-227.08,124.51,-79.42,-133.55,-150.16,247.45,59.47,-42.90,122.87,-139.91,1040.70,142.05,-134.56,3.53,-149.84
IncomeEBIT_sy,,,,,,,,,47.09,8.92,14.68,16.73,22.00,28.04,7.53,19.42,22.78,-15.44,5.02,15.12,-4.38,-3.12,26.09,27.58,1.98,2.50,1.27,41.53
IncomeEBIT_qq,,,,,,532.58,-74.65,-88.03,480.65,267.75,-26.08,32.56,54.80,-183.78,230.60,-87.85,-352.30,-524.71,281.39,-94.42,-326.09,199.98,-416.48,259.45,-91.66,-182.16,-783.41,17.62
IncomeEBIT_sq,,,,,,47.01,-39.22,-7.98,21.84,25.15,-29.98,4.60,23.94,35.18,-42.43,-0.04,23.58,4.92,-4.16,7.55,0.48,25.15,-15.40,21.03,-13.40,3.75,-37.32,21.82
IncomeFinanceIncome,,,,,17000,2000,0,19000,-18000,1000,0,0,166000,-113000,33000,13000,29000,118000,84000,20000,-3000,39000,10000,0,9000,39000,14000,138000
IncomeFinanceIncome_yy,,,,,,,,,-205.41,-49.94,-8.29,-99.84,1027.87,-14342.86,8697.61,42003.33,-82.28,205.16,153.82,59.77,-108.59,-67.33,-88.38,-99.36,456.13,1.06,41.91,105976.92
IncomeFinanceIncome_sy,,,,,,,,,-49.82,4.12,-15.08,-30.60,90.70,-11.76,45.12,-38.40,-23.58,-15.97,-21.94,59.77,-54.55,20.88,16.13,-35.29,94.58,-4.93,-4.17,177.48
IncomeFinanceIncome_qq,,,,,,-90.71,-74.05,4548.05,-194.03,104.41,-52.47,-92.02,554146.68,-167.76,129.36,-61.82,133.31,302.00,-29.13,-75.96,-112.54,1630.04,-74.79,-98.67,6830.77,334.18,-64.60,895.67
IncomeFinanceIncome_sq,,,,,,9.04,-24.45,-0.76,-47.06,109.67,2.68,-16.67,12.45,36.38,29.83,-60.91,39.28,42.86,31.56,-0.21,-48.05,129.76,-26.76,-30.21,6.71,32.90,-7.14,148.57
IncomeFinanceCosts,,,,,34000,48000,0,25000,-18000,42000,9000,43000,8000,6000,14000,135000,-77000,52000,77000,67000,43000,23000,166000,555000,416000,510000,343000,238000
IncomeFinanceCosts_yy,,,,,,,,,-154.18,-12.85,17650.00,69.67,143.19,-85.91,58.88,213.99,-1064.68,781.47,445.56,-50.42,155.79,-56.04,115.43,732.32,872.30,2131.12,107.11,-57.13
IncomeFinanceCosts_sy,,,,,,,,,-47.06,-12.85,-21.21,-8.18,99.09,122.27,19.20,3.73,-11.29,-49.88,36.65,42.76,-8.54,56.26,35.22,112.44,57.18,37.18,-47.16,-46.09
IncomeFinanceCosts_qq,,,,,,41.21,-99.90,50406.00,-172.95,327.11,-78.79,382.79,-81.43,-25.88,139.12,854.11,-157.05,167.73,48.00,-13.30,-35.80,-46.64,625.30,234.98,-25.01,22.45,-32.67,-30.67
IncomeFinanceCosts_sq,,,,,,-14.67,-2.78,6.14,-31.66,36.69,-7.16,-8.98,11.41,19.51,1.73,-5.68,8.10,12.48,33.96,-13.30,-15.25,36.33,5.10,5.12,-46.47,72.44,-43.62,-22.92
IncomeOtherIncome,,,,,,,,,-9000,,-6000,,,302000,-39000,-73000,-44000,-69000,-84000,-304000,0,71000,,-173000,-86000,-8000,0,38000
IncomeOtherIncome_yy,,,,,,,,,,,,,100.00,,-580.82,,,-122.70,-116.31,-317.83,99.95,202.72,100.00,43.08,-431150.00,-111.77,,121.70
IncomeOtherIncome_sy,,,,,,,,,,,,,-100.00,,-100.00,,,-78.36,-28.87,-100.00,13.04,100.00,81.09,43.08,-100.00,-193.12,,-82.43
IncomeOtherIncome_qq,,,,,,,,,,100.00,,100.00,,,-112.80,-87.72,39.72,-56.72,-21.98,-262.61,99.99,352750.00,-100.00,,50.10,90.38,95.18,9477.50
IncomeOtherIncome_sq,,,,,,,,,,-100.00,,17.87,,,60.04,24.29,-69.53,-98.07,100.00,20.98,-5.20,290.48,30.01,,-56.72,-38.56,97.59,50.00
IncomeNetGrossProfit,-273000,20000,-23000,19000,-213000,819000,220000,20000,144000,529000,400000,512000,1009000,-529000,911000,-81000,-223000,-1785000,3157000,-170000,-453000,494000,-1446000,1330000,-322000,-620000,-1575000,-1088000
IncomeNetGrossProfit_yy,,,91.58,-5.00,,,1055.30,5.62,167.60,-35.42,82.23,2453.65,600.80,-200.01,127.54,-115.90,-122.10,-237.56,246.56,-108.44,-103.25,127.68,-145.81,883.08,28.94,-225.45,-8.86,-181.83
IncomeNetGrossProfit_sy,,,2.38,-24.61,,,17.76,78.01,39.82,18.22,16.46,4.34,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52,34.74
IncomeNetGrossProfit_qq,,107.33,,182.61,-1221.05,484.38,-73.16,-90.87,617.52,267.25,-24.28,27.99,96.91,-152.41,272.28,-108.94,-173.70,-700.52,276.87,-105.38,-166.88,209.03,-392.71,191.93,-124.22,-92.48,-154.02,30.90
IncomeNetGrossProfit_sq,,-9.34,,-9.29,8.43,45.14,-30.74,-23.33,21.92,39.58,-34.68,-4.84,30.34,31.06,-14.52,-14.08,14.54,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58,28.38
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-273000,20000,-23000,19000,-213000,819000,220000,20000,144000,529000,400000,512000,1009000,-529000,911000,-81000,-223000,-1785000,3157000,-170000,-453000,494000,-1446000,1330000,-322000,-620000,-1575000,-1088000
IncomeBeforeTaxProfit_yy,,,91.58,-5.00,,,1055.30,5.62,167.60,-35.42,82.23,2453.65,600.80,-200.01,127.54,-115.90,-122.10,-237.56,246.56,-108.44,-103.25,127.68,-145.81,883.08,28.94,-225.45,-8.86,-181.83
IncomeBeforeTaxProfit_sy,,,2.38,-24.61,,,17.76,78.01,39.82,18.22,16.46,8.12,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52,34.74
IncomeBeforeTaxProfit_qq,,107.33,,182.61,-1221.05,484.38,-73.16,-90.87,617.52,267.25,-24.28,27.99,96.91,-152.41,272.28,-108.94,-173.70,-700.52,276.87,-105.38,-166.88,209.03,-392.71,191.93,-124.22,-92.48,-154.02,30.90
IncomeBeforeTaxProfit_sq,,-9.34,,-9.29,8.43,45.14,-30.74,-23.33,24.44,33.55,-34.68,-4.84,30.34,31.06,-14.52,-14.08,14.54,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58,28.38
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-273000,20000,-23000,19000,-213000,654000,178000,16000,126000,403000,373000,485000,951000,-1139000,716000,-345000,8471000,-1255000,2762000,-742000,-870000,1845000,-1945000,1083000,-846000,-4837000,-1636000,-1096000
IncomeNetProfit_yy,,,91.58,-5.00,,,873.78,-14.44,159.36,-38.37,109.62,2884.04,652.56,-382.62,91.87,-171.12,790.32,-10.15,285.92,-114.97,-110.27,247.07,-170.39,245.97,2.78,-362.11,15.87,-201.25
IncomeNetProfit_sy,,,4.78,-36.36,,,-9.90,110.32,45.07,4.06,18.29,17.52,17.00,8.94,6.69,14.40,26.46,18.74,-9.72,2.76,17.60,-16.72,39.28,2.95,-0.30,2.89,9.83,24.08
IncomeNetProfit_qq,,107.33,,182.61,-1221.05,407.01,-72.78,-90.87,677.72,218.78,-7.44,30.04,96.14,-219.71,162.84,-148.20,2555.49,-114.81,320.17,-126.85,-17.31,312.09,-205.38,155.67,-178.13,-471.80,66.17,33.00
IncomeNetProfit_sq,,-8.79,,-7.86,2.90,48.89,-39.85,-16.88,14.77,33.02,-32.88,0.38,30.54,24.62,-14.02,-13.22,15.20,19.31,-27.37,15.92,18.56,3.57,-17.83,-10.45,-6.12,0.24,-9.83,29.85
IncomeShareholderNetProfit,-273000,20000,-23000,19000,-213000,655000,178000,16000,126000,403000,373000,485000,951000,-1139000,716000,-345000,8471000,-1255000,2762000,-742000,-870000,1845000,-1945000,1083000,-846000,-4837000,-1636000,-1096000
IncomeShareholderNetProfit_yy,,,91.58,-5.00,,,873.78,-14.44,159.36,-38.50,109.62,2884.04,652.56,-382.62,91.87,-171.12,790.32,-10.15,285.92,-114.97,-110.27,247.07,-170.39,245.97,2.78,-362.11,15.87,-201.25
IncomeShareholderNetProfit_sy,,,16.05,-31.98,,,-5.68,114.86,45.07,4.06,19.06,15.46,22.26,9.16,6.69,14.40,26.46,20.43,-14.83,-7.72,13.26,-22.66,39.28,3.32,1.23,2.89,8.02,28.08
IncomeShareholderNetProfit_qq,,107.33,,182.61,-1221.05,407.67,-72.84,-90.87,677.72,218.78,-7.44,30.04,96.14,-219.71,162.84,-148.20,2555.49,-114.81,320.17,-126.85,-17.31,312.09,-205.38,155.67,-178.13,-471.80,66.17,33.00
IncomeShareholderNetProfit_sq,,-7.12,,-13.34,2.30,49.05,-42.21,-16.88,10.39,30.16,-31.18,-3.97,31.23,28.52,-15.18,-13.66,15.43,21.18,-27.37,20.18,6.16,3.57,-11.06,-10.45,-2.33,0.24,-6.33,29.03
BalanceNoncurrentAssets,559000,533000,479000,543000,730000,690000,438000,411000,667000,1295000,1718000,2218000,2946000,9447000,10404000,12517000,23072000,26347000,27956000,28986000,29652000,33051000,33630000,32478000,34658000,29319000,30539000,31236000
BalanceNoncurrentAssets_yy,,,-14.31,1.88,,,-8.53,-24.31,-8.59,87.73,292.04,439.64,341.44,629.66,505.70,464.35,683.20,178.89,168.70,131.58,28.52,25.45,20.29,12.05,16.88,-11.29,-9.19,-3.83
BalanceNoncurrentAssets_sy,,,3.66,2.74,,,1.58,2.35,3.46,3.18,6.30,0.34,6.03,7.71,4.60,6.50,6.73,7.42,8.06,6.56,5.88,4.79,7.16,3.72,2.52,3.77,3.72,1.52
BalanceNoncurrentAssets_qq,,-4.65,,13.36,34.44,-5.52,-36.47,-6.20,62.37,94.02,32.67,29.12,32.82,220.69,10.13,20.30,84.33,14.19,6.11,3.68,2.30,11.46,1.75,-3.42,6.71,-15.41,4.16,2.28
BalanceNoncurrentAssets_sq,,0.74,,-0.37,-0.22,0.24,-0.62,1.18,-0.06,0.36,1.44,0.56,1.22,1.19,-0.30,1.67,1.16,1.82,-0.24,1.35,0.48,2.20,0.31,-0.61,0.25,2.70,0.26,1.03
BalanceIntangibleAssets,,,,,331000,308000,271000,247000,238000,214000,557000,535000,491000,8007000,8849000,11252000,12444000,15163000,17314000,18902000,20110000,22300000,23588000,24984000,25865000,26857000,28165000,28929000
BalanceIntangibleAssets_yy,,,,,,,,,-28.08,-30.70,105.63,116.98,106.20,3650.33,1488.54,2003.48,2435.01,89.36,95.65,67.99,61.61,47.07,36.24,32.18,28.61,20.43,19.40,15.79
BalanceIntangibleAssets_sy,,,,,,,,,-0.28,0.78,1.04,-1.83,-0.13,2.14,4.74,3.87,3.13,4.82,2.59,3.92,4.58,3.62,-0.06,6.73,6.44,5.18,-0.12,-0.06
BalanceIntangibleAssets_qq,,,,,,-6.92,-12.07,-9.00,-3.44,-10.31,160.90,-3.97,-8.23,1531.25,10.51,27.15,10.59,21.85,14.19,9.17,6.39,10.89,5.77,5.92,3.52,3.84,4.87,2.71
BalanceIntangibleAssets_sq,,,,,,-0.22,-1.51,-0.02,-0.55,-0.20,-0.16,-0.05,0.03,1.00,-0.12,0.14,-0.12,0.13,-0.51,-0.12,-0.24,1.42,-0.20,-0.05,-0.18,1.13,0.04,-0.23
BalanceProperty,,,,,399000,344000,130000,127000,356000,450000,552000,496000,524000,433000,410000,428000,544000,947000,847000,1140000,1025000,915000,807000,719000,614000,528000,503000,410000
BalanceProperty_yy,,,,,,,,,-10.68,30.53,324.39,289.63,47.08,-3.76,-25.70,-13.79,3.87,118.94,106.25,166.44,88.27,-3.40,-4.71,-36.92,-40.14,-42.25,-37.63,-42.95
BalanceProperty_sy,,,,,,,,,-0.26,3.59,6.39,3.39,7.66,1.70,-0.17,10.79,6.54,7.53,8.49,2.55,1.34,0.21,0.96,-2.66,-0.12,0.53,-1.37,-1.10
BalanceProperty_qq,,,,,,-13.68,-62.20,-2.15,179.76,26.15,22.89,-10.16,5.60,-17.46,-5.12,4.24,27.24,73.98,-10.62,34.65,-10.09,-10.73,-11.84,-10.86,-14.68,-13.87,-4.79,-18.46
BalanceProperty_sq,,,,,,-0.90,-0.54,-0.58,-0.13,0.66,1.70,-0.57,1.29,0.20,-1.50,1.82,0.42,2.12,-0.20,0.20,-0.16,,-0.77,-0.56,-0.83,-0.39,-0.24,-1.23
BalanceNoncurrentReceivables,,,,,,0,0,,,45000,45000,45000,45000,45000,45000,45000,45000,62000,99000,99000,99000,60000,60000,57000,58000,66000,66000,62000
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,36.67,120.36,120.36,120.36,-2.34,-39.43,-42.46,-41.45,9.14,9.14,7.78
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,,,,0.58,-3.67,0.58,1.40,1.15,3.88
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,36.67,61.24,,,-39.43,,-5.00,1.75,12.90,,-6.18
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,-2.17,,,,,,0.48,0.48,0.96,,0.96
BalanceNoncurrInvestments,,,,,,0,0,,36000,558000,558000,558000,718000,861000,822000,645000,706000,637000,553000,249000,249000,320000,320000,147000,60000,52000,52000,89000
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,1904.22,54.16,47.23,15.52,-1.65,-26.00,-32.71,-61.39,-64.70,-49.83,-42.24,-41.08,-75.72,-83.67,-83.79,-39.15
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,7.32,-6.04,-8.19,-2.94,-6.68,-4.83,-7.94,-9.34,-17.20,-0.15,-14.67,-2.63,-12.10,-4.96,-0.58,-3.77
BalanceNoncurrInvestments_qq,,,,,,,,,,1459.90,,,28.48,19.98,-4.50,-21.54,9.39,-9.73,-13.15,-54.98,,28.31,,-54.08,-58.79,-13.69,-0.79,72.43
BalanceNoncurrInvestments_sq,,,,,,,,,,-1.50,,,,-1.82,,,,-1.39,,-1.65,,,,,-0.10,,,
BalanceOtherNoncurrentAssets,,,,,,37000,37000,37000,37000,28000,5000,583000,1168000,101000,278000,147000,9333000,9539000,9144000,8596000,8169000,9456000,8856000,6571000,8061000,1816000,1754000,1746000
BalanceOtherNoncurrentAssets_yy,,,,,,,,,,-24.12,-87.14,1472.77,3050.78,258.63,5719.48,-74.85,698.85,9333.15,3194.68,5760.46,-12.47,-0.86,-3.15,-23.55,-1.32,-80.80,-80.19,-73.43
BalanceOtherNoncurrentAssets_sy,,,,,,,,,,5.86,13.81,4.67,9.07,25.42,20.96,8.88,31.29,7.46,17.98,24.42,16.06,26.03,9.53,8.29,9.59,-3.00,-5.31,2.28
BalanceOtherNoncurrentAssets_qq,,,,,,,-0.22,,,-23.96,-83.09,12128.60,100.33,-91.34,174.46,-47.15,6263.29,2.20,-4.14,-6.00,-4.96,15.76,-6.35,-25.80,22.68,-77.47,-3.40,-0.45
BalanceOtherNoncurrentAssets_sq,,,,,,,-0.22,,,5.11,,1.00,1.41,21.50,0.54,1.49,1.54,17.48,,2.96,0.64,11.08,0.18,1.82,-1.56,-3.42,-2.08,0.60
BalanceCurrentAssets,1119000,1119000,1550000,4236000,3765000,5009000,5340000,5384000,5417000,5355000,5704000,7402000,7896000,4590000,5610000,5178000,25793000,13225000,9741000,9209000,6817000,8385000,6383000,15025000,13385000,10733000,7943000,6297000
BalanceCurrentAssets_yy,,,38.52,278.55,,,244.49,27.11,43.87,6.91,6.82,37.47,45.78,-14.29,-1.65,-30.05,226.66,188.14,73.64,77.86,-73.57,-36.59,-34.47,63.15,96.35,28.00,24.44,-58.09
BalanceCurrentAssets_sy,,,12.29,14.31,,,13.38,16.50,6.02,10.63,6.40,9.18,9.22,8.68,8.78,6.21,10.38,10.86,7.48,6.80,7.32,7.48,13.43,8.04,10.42,0.67,4.17,11.28
BalanceCurrentAssets_qq,,,,173.29,-11.12,33.03,6.61,0.84,0.60,-1.14,6.52,29.78,6.67,-41.87,22.23,-7.70,398.16,-48.73,-26.34,-5.46,-25.98,23.00,-23.88,135.38,-10.91,-19.81,-26.00,-20.73
BalanceCurrentAssets_sq,,,,3.01,1.11,13.65,-3.81,-0.12,0.43,14.65,3.31,1.40,-0.19,16.79,1.06,-3.00,0.06,9.30,-5.14,2.46,0.40,14.26,-2.30,1.36,-1.09,4.77,-6.50,4.63
BalanceInventory,,,,,1996000,2848000,3247000,3580000,3903000,3934000,4073000,4438000,5037000,16000,133000,18000,16000,33000,33000,25000,20000,,9000,,79000,,,
BalanceInventory_yy,,,,,,,,,95.54,38.13,25.43,23.96,29.06,-99.59,-96.74,-99.60,-99.68,104.60,-74.87,42.87,21.67,-100.00,-74.51,-100.00,302.95,,-100.00,
BalanceInventory_sy,,,,,,,,,8.44,10.43,11.86,20.69,-5.97,-9.02,-0.22,3.19,3.60,2.14,-6.36,-8.70,-8.44,-14.39,-17.05,3.46,6.47,,8.52,
BalanceInventory_qq,,,,,,42.69,14.01,10.25,9.02,0.80,3.53,8.96,13.51,-99.68,714.33,-86.59,-9.27,106.44,,-23.73,-22.73,-100.00,,-100.00,,-100.00,,
BalanceInventory_sq,,,,,,-9.62,13.19,-3.56,9.59,-14.78,7.74,8.48,0.15,-20.54,19.98,0.29,2.50,-18.10,,5.77,1.30,-20.56,,6.66,,-4.89,,
BalanceCurrentReceivables,,,,,783000,1968000,1477000,1326000,1186000,1035000,1522000,1924000,2075000,2605000,2258000,1852000,13745000,2838000,2184000,3735000,2275000,1967000,2503000,1649000,1525000,1931000,1429000,1840000
BalanceCurrentReceivables_yy,,,,,,,,,51.49,-47.42,3.06,45.07,74.97,151.82,48.35,-3.77,562.26,8.95,-3.30,101.73,-83.45,-30.72,14.61,-55.85,-32.96,-1.82,-42.90,11.58
BalanceCurrentReceivables_sy,,,,,,,,,20.40,22.30,10.19,8.59,15.77,21.23,15.24,15.24,25.05,-9.84,-6.52,5.10,-10.19,5.68,4.19,2.75,1.68,7.46,8.87,8.31
BalanceCurrentReceivables_qq,,,,,,151.29,-24.92,-10.21,-10.56,-12.79,47.16,26.38,7.87,25.52,-13.31,-18.02,642.35,-79.35,-23.06,71.02,-39.10,-13.55,27.28,-34.11,-7.53,26.60,-25.97,28.75
BalanceCurrentReceivables_sq,,,,,,12.38,-10.62,9.93,-2.54,13.58,-4.57,8.94,3.03,20.24,-8.30,-1.24,5.34,3.42,-5.30,9.86,-7.28,16.28,-3.65,4.61,-1.48,26.60,-13.90,9.65
BalanceCurrentInvestments,,,,,,0,610000,476000,323000,0,0,0,0,,,,,,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,,,,100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,,-42.57,-40.58,-7.15,40.42,,,,,,,,,,,,,,,
BalanceCurrentInvestments_qq,,,,,,,142048.84,-22.09,-32.04,-100.00,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,,2.05,-45.75,-3.50,21.30,,,,,,,,,,,,,,,,,,
BalanceCash,,,,,981000,189000,,,,371000,49000,979000,746000,1556000,2982000,3087000,11884000,10192000,7330000,4626000,3856000,5585000,3183000,12715000,11095000,8201000,5979000,3621000
BalanceCash_yy,,,,,,,,,-100.00,96.59,,,,319.75,6004.05,215.25,1493.91,554.97,145.83,49.87,-67.56,-45.20,-56.57,174.85,187.77,46.84,87.83,-71.52
BalanceCash_sy,,,,,,,,,-2.40,0.91,,,,15.77,-13.33,29.94,2.23,43.00,6.95,-0.50,10.48,-5.74,23.39,20.09,7.03,-3.22,-1.97,3.29
