,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-495000,,,,,,,,,,,,,-3000,440000
IncomeNetGrossProfit,-147000,567000,335000,411000,421000,721000,527000,626000,465000,-4571000,-103000,329000,330000,311000,321000,282000,324000,645000,354000,319000,372000,173000,660000,371000,228000,293000,322000,999000,546000,741000,646000,1010000,431000,-3563000,759000,1624000,440000,1786000,1062000,1423000,1532000,1495000,1385000,1744000,1471000,1253000,1810000,2065000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3000,440000
IncomeBeforeTaxProfit,-147000,567000,335000,411000,421000,721000,527000,626000,465000,-4571000,-103000,329000,330000,311000,321000,282000,324000,645000,354000,319000,372000,173000,660000,371000,228000,293000,322000,999000,546000,741000,646000,1010000,431000,-3563000,759000,1624000,440000,1786000,1062000,1423000,1532000,1495000,1385000,1744000,1471000,1253000,1810000,2065000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32000,350000
IncomeNetProfit,-123000,443000,263000,317000,384000,540000,434000,459000,384000,-4178000,-91000,303000,330000,269000,304000,247000,309000,587000,351000,326000,354000,109000,625000,333000,197000,282000,309000,963000,533000,234000,611000,654000,200000,-2764000,672000,1264000,355000,1413000,1014000,1003000,1485000,1010000,1165000,1357000,1257000,1260000,1602000,1738000,-32000,350000
IncomeShareholderNetProfit,-123000,443000,263000,317000,384000,540000,434000,459000,384000,-4178000,-91000,303000,330000,269000,304000,247000,309000,587000,351000,326000,354000,109000,625000,333000,197000,282000,309000,963000,533000,234000,611000,654000,200000,-2764000,672000,1264000,355000,1413000,1014000,1003000,1485000,1010000,1165000,1357000,1257000,1260000,1602000,1738000,,
BalanceNoncurrentAssets,3812000,3502000,5596000,10271000,10699000,15245000,15478000,17584000,18475000,18307000,17982000,17059000,16496000,16027000,16646000,16358000,16435000,16707000,16528000,16503000,17708000,18136000,18282000,18210000,18592000,18889000,19442000,19292000,19515000,18309000,18371000,19418000,18480000,18279000,20136000,20004000,21250000,22041000,27186000,26081000,26435000,27149000,27360000,24416000,3267000,3026000,4781000,9215000,8824000,8049000
BalanceIntangibleAssets,7739000,8973000,9966000,10124000,9736000,8864000,8442000,8020000,8027000,7920000,8130000,8454000,8508000,8597000,8768000,9010000,9308000,9348000,9416000,10896000,11318000,9046000,9319000,10272000,10614000,11738000,10842000,10354000,12220000,11962000,12562000,12844000,18110000,17019000,17358000,17988000,18007000,14561000,497000,432000,770000,1018000,1321000,6592000,7097000,8009000,8147000,7759000,7888000,7853000
BalanceProperty,7725000,7665000,8109000,7938000,7855000,7910000,7653000,7541000,8575000,8497000,8345000,8263000,8577000,7622000,7753000,8129000,8273000,7324000,7025000,6881000,6839000,6981000,6982000,6977000,7621000,8089000,7966000,8186000,8201000,8285000,8477000,8975000,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,502000,503000,503000,503000,,0,0,0,,120000,120000,60000,
BalanceNoncurrInvestments,,,,,,,1776000,1592000,,,,242000,244000,246000,248000,,48000,44000,45000,38000,52000,101000,139000,99000,362000,424000,358000,342000,329000,342000,390000,380000,390000,343000,367000,365000,365000,629000,629000,599000,599000,371000,371000,341000,331000,713000,732000,799000,799000,944000
BalanceOtherNoncurrentAssets,934000,823000,823000,862000,862000,876000,876000,876000,876000,880000,1299000,2269000,1876000,9302000,9687000,11551000,11291000,8703000,5736000,6766000,6233000,5992000,6451000,7519000,8354000,8184000,8460000,8433000,9436000,9797000,10762000,10259000,10868000,11787000,12704000,13243000,12199000,12884000,11920000,10429000,10709000,10755000,11991000,15041000,12464000,13973000,13908000,15950000,16426000,16297000
BalanceCurrentAssets,18138000,16943000,16658000,16794000,78000,119000,67000,331000,1591000,1487000,1403000,1307000,1837000,1893000,1863000,1278000,1652000,1529000,2162000,1856000,2025000,2213000,2339000,2390000,2351000,2158000,2278000,1751000,2636000,2202000,2472000,2506000,2220000,1949000,2168000,2019000,2666000,1936000,2007000,2494000,2441000,2436000,3024000,3349000,4310000,2858000,2769000,2929000,879000,1262000
BalanceInventory,1215000,3173000,1971000,2610000,3664000,3135000,3049000,4550000,3795000,3390000,3527000,4097000,5772000,5118000,5947000,5674000,6374000,5951000,6928000,5922000,6793000,7858000,8341000,8442000,7239000,8734000,8451000,7186000,6662000,6574000,6506000,7231000,6008000,7239000,6326000,7963000,8229000,8629000,9970000,9895000,9736000,9930000,,,,,,,,
BalanceCurrentReceivables,,225000,5000,4000,190000,2000,331000,455000,142000,498000,200000,260000,320000,185000,132000,538000,210000,320000,273000,143000,282000,179000,260000,8000,196000,204000,192000,158000,243000,1000,1000,5000,1000,251000,252000,253000,256000,309000,3000,32000,55000,4880000,3536000,2908000,780000,719000,105000,133000,197000,666000
BalanceCurrentInvestments,132000,439000,169000,345000,142000,125000,181000,1101000,1201000,1037000,993000,1655000,1278000,2361000,1939000,1259000,841000,981000,1186000,1800000,2496000,5647000,4060000,4109000,4968000,5341000,3900000,3254000,2496000,3595000,3378000,3361000,339000,856000,539000,918000,2589000,4546000,5444000,3317000,740000,186000,188000,656000,809000,999000,109000,367000,146000,161000
BalanceCash,222000,170000,150000,604000,594000,203000,176000,95000,267000,206000,148000,305000,497000,158000,131000,69000,146000,130000,172000,205000,1272000,814000,1110000,342000,519000,265000,,,,,0,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,5111000,5771000,7472000,19573000,20386000,26796000,26769000,26287000,24211000,25073000,24215000,23051000,22947000,23546000,25000000,24542000,24895000,25140000,25964000,26300000,28470000,28395000,29150000,29997000
BalanceAssetsForSale,31296000,32132000,31641000,32176000,31435000,28738000,29080000,30173000,30471000,33320000,32600000,33977000,35158000,37991000,43612000,42378000,44573000,44092000,44018000,41210000,3340000,3689000,4496000,15305000,15621000,16457000,16891000,18733000,14824000,14734000,15037000,15635000,15940000,16187000,17082000,17434000,17760000,18301000,18927000,19260000,19457000,19341000,19616000,20554000,21039000,21274000,21885000,22539000,22743000,20199000
BalanceTotalAssets,20871000,22146000,22513000,23930000,24944000,25472000,26960000,27970000,29135000,30492000,31749000,32101000,33686000,30766000,1638000,1638000,2067000,3067000,3067000,3067000,3067000,3261000,3261000,3261000,3261000,3260000,3261000,3261000,3260000,3261000,3261000,3260000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000
BalanceCapital,3261000,3261000,3261000,3261000,3261000,3261000,3261000,3261000,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-34000,-20000,-107000,-34000,-34000,-34000,-30000,-30000,-30000,-30000,-18000,-14000,-14000,-14000
BalanceShareCapital,-11000,-11000,-11000,-11000,-11000,-150000,-167000,-250000,1694000,1694000,1752000,11247000,11246000,11886000,12550000,13167000,13167000,13167000,13167000,13167000,13167000,13167000,13167000,13167000,13167000,13167000,13167000,13167000,13167000,13168000,13168000,13129000,13168000,13096000,13096000,13096000,13096000,13096000,13096000,13096000,13096000,13096000,13096000,13096000,13096000,13096000,13096000,15156000,15156000,14984000
BalanceOwnShares,14984000,10409000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,900000,,,,,,,,,,,,,,,
BalanceReserve,163000,185000,400000,358000,548000,4563000,4576000,4390000,4174000,3956000,3723000,3648000,4090000,3901000,3862000,3624000,3404000,3270000,3076000,2839000,2901000,3034000,2828000,2574000,2390000,2165000,2125000,1843000,1661000,1482000,1297000,1030000,902000,924000,782000,728000,703000,1125000,2365000,2456000,2269000,2034000,2364000,2547000,,114000,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,3933000
BalanceNoncurrentLiabilities,3819000,4389000,4168000,3952000,3636000,3535000,3972000,3798000,3773000,3542000,3328000,3204000,3017000,2791000,2860000,2736000,2536000,2297000,2120000,1893000,1859000,1601000,1419000,1164000,976000,855000,580000,721000,579000,486000,461000,715000,1955000,2010000,1823000,1601000,1931000,2022000,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,63000,65000,147000,,,,,,,,,163000,71000,400000,358000,548000,630000,757000,1000,6000,4000,87000,113000,118000,103000,89000,82000
BalanceNoncurrentObligations,76000,66000,59000,48000,41000,298000,292000,277000,270000,272000,266000,242000,242000,255000,256000,175000,175000,203000,203000,242000,242000,410000,410000,446000,446000,433000,433000,525000,1608000,1897000,2576000,3910000,4217000,5776000,5302000,3164000,5213000,6383000,5455000,3768000,2917000,3458000,4056000,3484000,3731000,3569000,3961000,4201000,6112000,6020000
BalanceNoncurrentLeasing,6706000,6869000,7867000,8693000,6731000,7794000,7031000,7057000,6912000,6997000,7056000,8466000,6874000,7777000,7495000,8896000,12112000,9430000,10555000,9957000,7968000,7897000,495000,1874000,1118000,335000,476000,996000,828000,1479000,1658000,1815000,1689000,1847000,1304000,1916000,2236000,2111000,2326000,2392000,2791000,3041000,4632000,4665000,4616000,5288000,6131000,7292000,4960000,6055000
BalanceNoncurrentOtherLiabilities,4130000,4674000,4698000,4777000,4550000,4372000,3644000,5629000,5448000,5013000,6705000,4552000,5379000,5995000,6136000,5434000,241000,,643000,150000,0,,455000,454000,1684000,3527000,4556000,3690000,1756000,1524000,1457000,1425000,1052000,1022000,936000,943000,909000,1061000,1050000,1535000,1067000,1086000,1092000,1198000,1297000,2364000,1662000,1066000,1211000,1278000
BalanceCurrentLiabilities,1453000,1477000,1709000,925000,2861000,1127000,983000,948000,2541000,765000,1548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206000,167000,112000,
BalanceCurrentBorrowings,,,,,,,,872000,1000,815000,3425000,3741000,4325000,4020000,1000,28000,12000,76000,165000,89000,85000,395000,321000,383000,241000,227000,251000,419000,305000,555000,514000,650000,309000,573000,442000,537000,515000,981000,1009000,1116000,840000,1078000,412000,403000,646000,1859000,2303000,2455000,623000,570000
BalanceCurrentObligations,242000,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801000,675000,27000,719000,376000,2421000,1592000,1773000,798000,497000,673000,5111000
BalanceCurrentLeasing,5771000,0,7472000,19573000,20386000,0,26796000,26769000,26287000,0,24211000,25073000,24215000,0,23051000,22947000,23546000,0,25000000,24542000,24895000,0,25140000,25964000,26300000,28470000,28395000,29150000,29997000,31296000,32132000,31641000,32176000,31435000,28738000,29080000,30173000,30471000,33320000,32600000,33977000,35158000,37991000,43612000,42378000,44573000,44092000,44018000,41210000,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-49000,-117000,3333000,-449000,-219000,-148000,-205000,710000,-1150000,1791000,-286000,1642000,633000,1113000,39000,1951000,-83000,974000,-23000,571000,1160000,709000,1155000,671000,427000,1581000,2066000,1611000,394000,1101000,867000,2931000,-499000,-90000,404000,1175000,1452000,2212000,667000,3726000,-63000,794000,3219000,-538000,278000,3669000,1480000,2115000,2131000,1016000
CashflowAmortization,322000,306000,321000,330000,460000,480000,498000,524000,485000,410000,583000,671000,790000,445000,582000,596000,556000,556000,553000,556000,521000,519000,528000,554000,497000,495000,499000,511000,597000,494000,445000,433000,590000,293000,440000,436000,485000,472000,677000,769000,749000,758000,739000,732000,877000,923000,901000,669000,855000,821000
CashflowInvestingCashflow,-36000,0,-428000,-2310000,-5108000,-893000,-4470000,-1226000,-684000,-3371000,-221000,-2063000,0,-591000,473000,-31000,-592000,-120000,-57000,134000,-212000,-638000,-802000,-381000,-49000,-384000,-1724000,-1491000,-90000,-749000,-889000,-1487000,-1096000,-106000,-665000,-904000,-310000,-2325000,-807000,-481000,-1133000,-790000,-1179000,-697000,-1061000,-3917000,-2027000,-1314000,-2020000,-1895000
CashflowCapex,36000,0,428000,2333000,5104000,-4659000,10022000,1230000,685000,3371000,221000,2063000,0,541000,-423000,31000,252000,140000,176000,257000,247000,657000,802000,553000,435000,476000,1777000,799000,445000,788000,917000,2062000,1107000,106000,1268000,904000,310000,3439000,828000,367000,1071000,776000,1189000,717000,1052000,407000,1885000,1535000,741000,1914000
CashflowFinancingCashflow,42000,147000,267000,-391000,9900000,-302000,3768000,786000,-294000,1524000,110000,100000,-605000,-458000,-600000,-1363000,141000,-548000,-213000,-681000,-772000,-274000,-263000,-397000,-322000,-275000,-242000,-285000,-348000,295000,-360000,-331000,1173000,-477000,-157000,-167000,-917000,692000,857000,-74000,-335000,16000,-1141000,1576000,-543000,-449000,-251000,371000,-426000,837000
CashflowShareCapitalCash,0,,488000,1000,10494000,-1000,1000,57000,0,2060000,0,0,,,,,,,,,,,,,,,,0,,,,900000,4000,0,,12000,0,,,3000,0,,,11000,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-43000,30000,57000,-35000,4573000
CashflowNetCashflow,-1343000,-907000,270000,-2128000,-56000,-397000,-321000,28000,64000,-88000,557000,-534000,306000,-293000,24000,176000,-203000,90000,-107000,56000,922000,100000,-165000,-44000,647000,-382000,1113000,-422000,-673000,-418000,104000,225000,579000,717000,3171000,-1531000,20000,899000,341000,-1326000,-697000,-798000,1172000,-315000,-42000,,,,,
