,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,,,310000,-314000,-2000,293000,190000,43000,104000,,,,,,,,,,,,,,,,689000,1257000,-1239000,4502000,448000,725000
IncomeNetGrossProfit,576000,3188000,-49000,802000,692000,2223000,228000,1998000,1453000,1983000,187000,165000,99000,-2312000,-2803000,-533000,-712000,555000,-1069000,1345000,6110000,1997000,-5000,3591000,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,689000,1257000,-1239000,4502000,448000,725000
IncomeBeforeTaxProfit,576000,3188000,-49000,802000,692000,2223000,228000,1998000,1453000,1983000,187000,165000,99000,-2312000,-2803000,-533000,-712000,555000,-1069000,1345000,6110000,1997000,-5000,3591000,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,552000,1010000,-1012000,3736000,526000,670000
IncomeNetProfit,438000,2382000,63000,331000,452000,2062000,153000,1567000,1070000,1621000,191000,-351000,-342000,-2434000,-2910000,-527000,-955000,46000,-1311000,597000,5641000,1648000,-56000,3222000,533000,1006000,-1007000,3738000,526000,670000
IncomeShareholderNetProfit,658000,2163000,139000,681000,953000,1381000,360000,1714000,1131000,1596000,10000,18000,-174000,-1983000,-2928000,-427000,-868000,182000,-1022000,890000,5872000,1857000,238000,3454000,,,,,,
BalanceNoncurrentAssets,2513000,2870000,3380000,3152000,10083000,13438000,19013000,19017000,19753000,25172000,25863000,28215000,29006000,30794000,31042000,29841000,30278000,32332000,35297000,38543000,38214000,38264000,37406000,36692000,36095000,35752000,26423000,27964000,30211000,29990000
BalanceIntangibleAssets,173000,254000,251000,267000,7772000,11264000,15299000,15237000,15176000,15198000,21541000,23470000,24275000,24232000,24046000,22525000,22629000,22684000,25117000,26468000,26679000,26755000,26562000,26322000,26097000,25879000,21538000,21394000,23217000,22831000
BalanceProperty,2331000,2493000,2457000,2202000,2126000,2054000,3504000,3582000,4223000,9640000,3949000,4238000,4277000,6112000,6371000,6594000,6862000,9023000,9572000,11699000,11094000,10931000,10267000,9768000,9344000,9203000,4554000,6236000,6571000,6731000
BalanceNoncurrentReceivables,,,,,0,0,0,0,209000,209000,209000,208000,209000,210000,210000,381000,257000,211000,211000,,,,,,,,,20000,20000,130000
BalanceNoncurrInvestments,30000,33000,31000,31000,51000,51000,51000,92000,91000,102000,217000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,61000,9000,102000,651000,552000
BalanceOtherNoncurrentAssets,155000,86000,179000,167000,95000,74000,114000,207000,155000,138000,198000,280000,469000,353000,336000,315000,380000,517000,516000,541000,593000,609000,270000,273000,362000,367000,37161000,43414000,46953000,53468000
BalanceCurrentAssets,43497000,41299000,40901000,41817000,46824000,38046000,42466000,48967000,50714000,48808000,45792000,45851000,56283000,56916000,59559000,54771000,57073000,56627000,62774000,74725000,65092000,61050000,51433000,52725000,50586000,51421000,22741000,25923000,29286000,25187000
BalanceInventory,24988000,22956000,25566000,23067000,26855000,24584000,27948000,30350000,34560000,34154000,31330000,31576000,40258000,41043000,43684000,39838000,42065000,43197000,47451000,56726000,49394000,45521000,36248000,35219000,36111000,35253000,10661000,9505000,12999000,13604000
BalanceCurrentReceivables,14281000,14341000,12774000,16145000,17150000,11051000,12659000,14879000,12445000,11018000,12291000,12348000,14843000,13936000,13425000,12326000,13537000,10674000,9740000,11804000,12766000,11732000,12067000,12349000,12560000,13543000,1465000,1426000,1127000,4593000
BalanceCurrentInvestments,0,149000,523000,684000,701000,52000,0,0,1008000,86000,145000,299000,81000,8000,8000,56000,60000,85000,5000,54000,2114000,5816000,2230000,8887000,3272000,3188000,1294000,1458000,1084000,1414000
BalanceCash,942000,3738000,1960000,1388000,909000,1782000,883000,1856000,2442000,2599000,1471000,2700000,5583000,6135000,2932000,3797000,3033000,5157000,1910000,2571000,180000,743000,1310000,1199000,956000,664000,745000,462000,1032000,946000
BalanceOtherCurrentAssets,917000,1750000,1239000,1176000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,39673000,46283000,50333000,56620000,53580000,54737000,59914000,60834000,66576000,63218000,68329000,77182000,79721000,79602000,76834000
BalanceTotalAssets,75692000,86561000,89248000,94856000,93314000,95287000,94891000,100180000,111417000,101187000,96802000,77856000,80689000,80797000,81411000,15468000,16474000,15470000,19208000,24330000,24800000,25357000,27510000,27409000,28316000,29269000,30292000,31508000,33019000,34142000
BalanceCapital,34820000,34430000,34878000,51109000,49111000,46211000,45628000,44819000,46765000,45682000,46757000,42047000,43917000,43898000,43992000,160000,160000,160000,160000,160000,160000,160000,175000,175000,175000,175000,175000,175000,177000,177000
BalanceShareCapital,177000,177000,179000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,224000,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,-246000,-1401000,14778000,14778000,14778000,14778000,19578000,23456000,23356000,23331000,23331000,27411000,27412000,27768000,27412000,31014000,31014000
BalanceReserve,31365000,31386000,37043000,53403000,53387000,53395000,55809000,55938000,55899000,55895000,59980000,38290000,38303000,38294000,44241000,38000,40000,32000,30000,5483000,5462000,5625000,4700000,4200000,4885000,4678000,4290000,4228000,4221000,4404000
BalanceNonshareCapital,4029000,3856000,3406000,3409000,1664000,1579000,1839000,1510000,1283000,-297000,-494000,-800000,-1064000,143000,3133000,2922000,4136000,10274000,8896000,7620000,6419000,21024000,5848000,4469000,6660000,24365000,12450000,9720000,6239000,5579000
BalanceNoncurrentLiabilities,5316000,5457000,7233000,13150000,10925000,10630000,9044000,5872000,6639000,4714000,5402000,5187000,5079000,,,,,,,,,13938000,,,12890000,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,3000000,2750000,3228000,3054000,2767000,2607000,2293000,6641000,3276000,2675000,5295000,9962000,10880000,8004000,4601000,3834000,3487000,2965000,3117000
BalanceNoncurrentBorrowings,9011000,6768000,6380000,4796000,1528000,2350000,784000,1500000,1369000,1112000,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,143000,133000,172000,908000,7220000,6129000,5013000,4126000,446000,2573000,1794000,1365000,1512000,1570000,1716000,1638000,1745000,1829000,2492000,4116000
BalanceNoncurrentOtherLiabilities,4139000,4157000,4250000,4248000,4344000,4289000,3930000,3902000,3818000,3967000,24025000,26636000,31908000,33246000,18976000,21041000,21455000,21443000,12517000,24353000,30391000,35345000,19171000,29844000,28744000,30412000,42148000,45025000,34434000,33564000
BalanceCurrentLiabilities,32517000,36674000,43152000,53769000,48123000,42123000,31392000,31864000,32512000,33404000,24025000,25116000,29367000,22654000,11903000,12601000,11948000,7922000,8287000,11831000,13382000,12807000,8973000,10690000,14131000,15651000,13227000,14430000,12343000,16712000
BalanceCurrentTradePayablesv,19934000,31934000,21347000,19831000,12231000,18961000,16140000,18073000,,917000,1000000,8797000,6398000,6977000,8255000,6938000,11297000,12739000,11031000,10242000,13028000,14132000,23119000,24687000,16985000,15440000,17345000,16278000,17725000,16612000
BalanceCurrentBorrowings,23196000,17531000,16708000,7603000,12682000,10976000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,603000,1542000,1740000,659000,1398000,1229000,6566000,12500000,4752000,5805000,629000,18874000,6498000,6447000,491000,215000,267000,99000,108000,222000,96000,151000,446000
BalanceCurrentOtherLiabilities,397000,486000,229000,392000,244000,245000,,0,0,55000,17000,65000,22000,17000,17000,17000,17000,10303000,297000,297000,297000,5099000,4683000,4420000,4123000,3586000,2607000,3588000,5342000,4777000
BalanceReckoning,3183000,4275000,2224000,4908000,3446000,4110000,39674000,46283000,50333000,56620000,53580000,54737000,59914000,60834000,66576000,63218000,68329000,77182000,79722000,79602000,76834000,75692000,86561000,89248000,94856000,93314000,95287000,94891000,100180000,111417000
BalanceTotalEquityAndLiabilities,101187000,96802000,77856000,80689000,80797000,81411000,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,,,,,,-5380000,2694000,25000,-1167000,727000,3645000,-4753000,3221000,853000,6717000,-8124000,2063000,-4119000,5799000,-8530000,5722000,-88000,3551000,-6079000,6211000,-1716000,12873000,-4971000,6598000
CashflowAmortization,,,,,,,544000,225000,251000,253000,380000,549000,430000,441000,480000,456000,525000,572000,631000,961000,903000,862000,870000,873000,877000,875000,658000,592000,745000,823000
CashflowInvestingCashflow,,,,,,,-4311000,-577000,-5673000,2151000,-1717000,-1536000,-3576000,-3166000,-1036000,-2265000,-670000,-1434000,-2988000,-3302000,-289000,-217000,-147000,-222000,6000,146000,-107000,-1199000,-2462000,-351000
CashflowCapex,,,,,,,4295000,341000,5637000,-2304000,1571000,2081000,3421000,2369000,1000000,3160000,802000,1881000,3139000,3417000,634000,393000,148000,239000,104000,102000,107000,1220000,2468000,351000
CashflowFinancingCashflow,,,,,,,1899000,-1753000,5275000,-654000,518000,725000,6513000,-667000,-294000,-3503000,7895000,344000,7693000,-2340000,7691000,-4276000,3118000,-2777000,2870000,-5492000,1059000,-9550000,4186000,-5586000
CashflowShareCapitalCash,,,,,,,4503000,-10000,,1000,0,,,17000,16414000,0,,14074000,,,4601000,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7793000
CashflowNetCashflow,364000,-373000,330000,-472000,2835000,-1816000,-612000,-477000,949000,-899000,973000,586000,157000,-1128000,1229000,2883000,552000,-3203000,865000,-764000,2124000,-3247000,661000,,,,,,,
