,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeDistributionExpenses_qq,,-70.86,17.81,4.64,-1.83,-32.07,0.33,-29.52,12.61,42.62,12.50,-54.08,120.67,-7.79,186.79,-42.44,-0.42,43.78,-20.65,35.78,19.22,-26.54,18.62,24.79
IncomeDistributionExpenses_sq,,-19.74,17.81,-10.65,-1.44,-14.48,4.57,-12.94,3.98,0.51,0.14,6.47,-4.24,-5.90,41.84,-5.45,6.11,-7.23,-0.34,-7.29,2.06,1.11,14.04,-8.39
IncomeAdministrativExpenses,3086000,906000,860000,827000,897000,1016000,1075000,1009000,768000,1204000,1136000,1178000,2131000,1890000,1224000,2232000,2654000,3047000,2190000,941000,1922000,2483000,3589000,2596000
IncomeAdministrativExpenses_yy,,,,,-70.93,12.15,24.98,21.98,-14.38,18.55,5.68,16.75,177.36,56.92,7.71,89.38,24.55,61.27,78.95,-57.84,-27.57,-18.50,63.91,175.93
IncomeAdministrativExpenses_sy,,,,,-4.19,3.66,3.65,8.22,-4.37,1.24,5.68,2.44,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,2.52,8.10,2.78
IncomeAdministrativExpenses_qq,,-70.65,-5.02,-3.80,8.44,13.20,5.84,-6.11,-23.88,56.73,-5.65,3.72,80.83,-11.33,-35.24,82.36,18.94,14.82,-28.14,-57.03,104.32,29.18,44.53,-27.67
IncomeAdministrativExpenses_sq,,-21.66,5.50,-3.75,32.95,-17.24,10.18,-2.96,15.24,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22
IncomeGrossProfit,704000,174000,-437000,168000,941000,393000,48000,450000,1290000,510000,476000,884000,2008000,1114000,1902000,421000,2092000,1414000,892000,1224000,3311000,2251000,1659000,4685000
IncomeGrossProfit_yy,,,,,33.64,126.15,110.97,167.97,37.06,29.84,893.57,96.42,55.69,118.45,299.81,-52.36,4.17,26.92,-53.08,190.80,58.24,59.25,85.91,282.76
IncomeGrossProfit_sy,,,,,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66
IncomeGrossProfit_qq,,-75.34,-351.38,138.46,460.63,-58.27,-87.81,839.66,186.76,-60.47,-6.71,85.76,127.29,-44.54,70.75,-77.87,397.05,-32.43,-36.88,37.18,170.47,-32.00,-26.31,182.43
IncomeGrossProfit_sq,,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12
IncomeOtherOperatingIncome,263000,97000,70000,92000,163000,17000,171000,305000,156000,121000,37000,22000,41000,0,23000,79000,121000,321000,42000,62000,114000,67000,56000,118000
IncomeOtherOperatingIncome_yy,,,,,-37.96,-82.51,145.69,233.26,-4.58,618.30,-78.61,-92.65,-73.90,-99.98,-37.56,253.48,197.94,1235592.29,83.91,-21.84,-5.43,-79.16,33.97,89.95
IncomeOtherOperatingIncome_sy,,,,,9.68,36.50,51.21,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69
IncomeOtherOperatingIncome_qq,,-63.20,-27.84,31.27,78.02,-89.63,913.40,78.05,-49.03,-21.90,-69.83,-38.83,81.10,-99.94,87911.54,246.28,52.64,165.62,-86.90,47.18,84.68,-41.48,-15.78,108.68
IncomeOtherOperatingIncome_sq,,-16.80,-10.22,18.53,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94
IncomeOtherOperatingCosts,258000,72000,59000,74000,67000,60000,61000,68000,-136000,55000,72000,58000,-91000,9000,18000,70000,228000,73000,31000,20000,145000,25000,75000,27000
IncomeOtherOperatingCosts_yy,,,,,-74.05,-17.47,1.99,-7.60,-303.58,-6.93,18.53,-15.15,33.15,-83.99,-75.30,20.25,350.61,726.66,76.88,-71.33,-36.57,-65.41,139.02,32.91
IncomeOtherOperatingCosts_sy,,,,,12.90,45.59,1.99,11.78,32.30,6.29,-14.24,6.16,-1.84,-37.15,-16.62,-0.94,-9.79,13.86,14.00,-20.51,-10.23,-8.68,-25.34,-8.69
IncomeOtherOperatingCosts_qq,,-72.01,-17.73,24.45,-9.43,-11.00,1.67,12.74,-299.55,140.69,29.49,-19.30,-257.21,109.75,99.77,292.85,227.63,-67.85,-57.25,-36.33,624.90,-82.47,195.37,-64.60
IncomeOtherOperatingCosts_sq,,-60.12,10.15,-2.56,125.07,-40.71,69.60,-13.28,217.00,-59.72,11.60,-19.17,124.20,-72.53,20.27,-18.58,216.38,-63.22,8.33,-28.86,97.78,-41.67,16.04,-13.80
IncomeEBIT,2071000,198000,-426000,186000,1037000,350000,159000,687000,1582000,576000,440000,848000,2140000,1105000,1907000,430000,1985000,1661000,903000,1266000,3280000,2293000,1640000,4776000
IncomeEBIT_yy,,,,,-49.92,76.69,137.23,270.17,52.51,64.53,177.65,23.50,35.29,91.87,332.91,-49.24,-7.26,50.37,-52.65,194.11,65.27,37.99,81.64,277.27
IncomeEBIT_sy,,,,,-39.60,14.29,4.23,11.81,56.42,41.64,34.54,35.89,26.31,33.95,13.31,8.65,-8.92,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92
IncomeEBIT_qq,,-90.43,-315.14,143.53,459.14,-66.25,-54.67,332.82,130.36,-63.59,-23.51,92.53,152.35,-48.37,72.58,-77.43,361.08,-16.29,-45.65,40.20,159.10,-30.10,-28.46,191.19
IncomeEBIT_sq,,-35.45,-32.85,39.95,-31.26,-7.47,7.46,31.56,-6.95,-24.68,26.60,13.44,-33.68,5.71,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68
IncomeFinanceIncome,47000,16000,44000,32000,69000,8000,56000,29000,44000,17000,17000,16000,44000,32000,-11000,12000,1000,22000,12000,7000,-22000,12000,-5000,6000
IncomeFinanceIncome_yy,,,,,47.61,-50.21,25.45,-10.69,-36.16,107.85,-68.68,-43.42,-0.12,93.38,-162.79,-24.92,-98.33,-31.14,210.54,-43.11,-3039.34,-46.57,-138.05,-16.13
IncomeFinanceIncome_sy,,,,,-50.69,55.56,25.45,-64.12,-30.23,-26.03,-44.54,40.74,27.80,-1.92,-43.50,-34.72,-36.41,-31.40,29.97,9.80,-22.72,-4.10,-9.52,17.45
IncomeFinanceIncome_qq,,-65.22,174.28,-27.40,113.13,-88.27,591.10,-48.31,52.35,-61.81,4.14,-6.62,168.93,-26.05,-133.81,211.66,-94.02,2949.73,-45.72,-42.54,-409.00,155.44,-138.65,226.68
IncomeFinanceIncome_sq,,-29.47,-4.55,1.43,-19.05,3.57,-7.28,-35.65,19.65,,-1.25,-6.62,117.92,-15.70,-27.87,0.36,58.33,-13.64,8.85,-35.29,12.90,22.42,-6.65,-4.60
IncomeFinanceCosts,90000,15000,16000,0,41000,11000,10000,29000,37000,4000,33000,-11000,98000,77000,-10000,-11000,177000,117000,197000,95000,51000,113000,54000,66000
IncomeFinanceCosts_yy,,,,,-54.78,-26.68,-39.16,13421.20,-10.27,-59.03,235.27,-138.65,169.16,1625.81,-130.06,1.74,80.14,51.84,2065.29,952.69,-71.44,-3.18,-72.50,-30.23
IncomeFinanceCosts_sy,,,,,-16.84,-4.16,-0.53,-26.85,-1.14,-12.66,22.17,30.90,24.32,1.59,-12.22,-11.48,-7.74,8.22,23.81,7.96,-1.64,14.00,1.30,3.21
IncomeFinanceCosts_qq,,-83.49,10.21,-98.67,18658.53,-73.23,-8.55,194.47,24.48,-87.78,648.34,-133.94,967.00,-21.63,-113.04,-10.94,1689.38,-33.95,68.73,-51.86,-46.76,123.92,-52.08,22.14
IncomeFinanceCosts_sq,,-2.43,5.00,1.66,-26.68,-10.57,-8.50,-12.04,19.20,-13.32,7.07,6.33,11.29,-25.46,-5.10,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79
IncomeOtherIncome,,-8000,6000,-4000,,-11000,-4000,,,21000,,,,,,,-2000,,,,9000,,,
IncomeOtherIncome_yy,,,,,,-46.15,-171.32,100.00,,287.09,100.00,,,-100.00,,,,,,,527.71,,,
IncomeOtherIncome_sy,,,,,,-23.08,15.34,9.23,,18.22,100.00,,,-22.70,,,,,,,24.04,,,
IncomeOtherIncome_qq,,,175.93,-172.86,100.00,,62.95,100.00,,,-100.00,,,,,,,100.00,,,,-100.00,,
IncomeOtherIncome_sq,,,41.88,62.00,-67.84,,-56.19,-5.06,,,-3.41,,,,,,,80.81,,,,-9.09,,
IncomeNetGrossProfit,645000,192000,-392000,213000,1071000,336000,200000,701000,1589000,609000,404000,876000,2086000,1060000,1906000,454000,1806000,1567000,718000,1178000,3217000,2191000,1581000,4716000
IncomeNetGrossProfit_yy,,,,,66.22,75.19,151.05,228.78,48.34,81.21,101.55,24.85,31.24,74.11,372.10,-48.18,-13.40,47.77,-62.34,159.55,78.12,39.86,120.32,300.34
IncomeNetGrossProfit_sy,,,,,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96
IncomeNetGrossProfit_qq,,-70.24,-304.53,154.37,402.17,-68.63,-40.40,250.15,126.58,-61.68,-33.70,116.90,138.17,-49.16,79.76,-76.19,298.00,-13.25,-54.19,64.12,173.12,-31.89,-27.84,198.21
IncomeNetGrossProfit_sq,,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,645000,192000,-392000,213000,1071000,336000,200000,701000,1589000,609000,404000,876000,2086000,1060000,1906000,454000,1806000,1567000,718000,1178000,3217000,2191000,1581000,4716000
IncomeBeforeTaxProfit_yy,,,,,66.22,75.19,151.05,228.78,48.34,81.21,101.55,24.85,31.24,74.11,372.10,-48.18,-13.40,47.77,-62.34,159.55,78.12,39.86,120.32,300.34
IncomeBeforeTaxProfit_sy,,,,,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96
IncomeBeforeTaxProfit_qq,,-70.24,-304.53,154.37,402.17,-68.63,-40.40,250.15,126.58,-61.68,-33.70,116.90,138.17,-49.16,79.76,-76.19,298.00,-13.25,-54.19,64.12,173.12,-31.89,-27.84,198.21
IncomeBeforeTaxProfit_sq,,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,352000,122000,-462000,144000,1016000,226000,90000,592000,1349000,539000,334000,806000,1459000,871000,1774000,298000,1485000,1353000,417000,914000,2530000,2030000,1016000,3690000
IncomeNetProfit_yy,,,,,188.42,85.26,119.59,311.85,32.77,138.35,269.10,36.25,8.14,61.60,430.97,-63.03,1.77,55.30,-76.47,206.78,70.40,49.97,143.50,303.59
IncomeNetProfit_sy,,,,,-61.44,10.72,74.42,22.90,32.46,56.00,37.79,34.75,8.14,41.94,1.61,29.53,-14.87,-15.21,4.69,-17.38,0.21,19.91,-39.89,13.49
IncomeNetProfit_qq,,-65.33,-478.32,131.09,607.31,-77.73,-60.00,553.72,128.03,-60.02,-38.06,141.30,80.98,-40.26,103.51,-83.20,398.17,-8.83,-69.17,119.07,176.70,-19.76,-49.94,263.10
IncomeNetProfit_sq,,-48.21,-11.58,33.02,-42.96,-32.39,0.42,36.81,-27.57,-5.94,18.62,8.59,-37.73,-11.18,24.75,12.14,-23.20,-1.51,11.16,-8.65,-4.53,14.21,-29.32,23.55
IncomeShareholderNetProfit,352000,122000,-462000,144000,1016000,226000,90000,592000,1349000,539000,334000,806000,1459000,871000,1774000,298000,1485000,1353000,417000,914000,2530000,2030000,1016000,3690000
IncomeShareholderNetProfit_yy,,,,,188.35,85.85,119.60,311.85,32.77,138.35,269.10,36.25,8.14,61.60,430.97,-63.03,1.77,55.30,-76.47,206.78,70.40,49.97,143.50,303.59
IncomeShareholderNetProfit_sy,,,,,-61.56,23.74,74.42,22.85,35.22,56.00,36.08,25.55,9.97,42.03,14.59,39.16,-14.93,-16.46,14.12,-22.26,0.21,10.04,-39.89,14.16
IncomeShareholderNetProfit_qq,,-65.45,-479.22,131.11,607.30,-77.73,-60.00,553.72,128.03,-60.02,-38.06,141.30,80.98,-40.26,103.51,-83.20,398.17,-8.83,-69.17,119.07,176.70,-19.76,-49.94,263.10
IncomeShareholderNetProfit_sq,,-48.21,-11.85,33.33,-54.78,-26.66,1.17,65.95,-24.38,-12.57,19.58,6.76,-33.49,-8.38,25.93,18.69,-33.34,-1.51,29.06,-17.16,6.33,14.78,-29.22,43.74
BalanceNoncurrentAssets,2226000,2337000,2131000,,1953000,1682000,1653000,1516000,2893000,1727000,2203000,2763000,4967000,4918000,4779000,13418000,13325000,12932000,13185000,13319000,12304000,12892000,13252000,13327000
BalanceNoncurrentAssets_yy,,,,,-12.25,-28.03,-22.45,,48.09,2.71,33.28,82.30,71.70,184.74,116.93,385.60,168.27,162.96,175.91,-0.74,-7.66,-0.31,0.51,0.06
BalanceNoncurrentAssets_sy,,,,,3.30,1.00,-0.92,,3.70,0.96,2.54,10.33,9.70,3.98,6.29,6.63,6.82,13.71,8.31,9.99,9.71,6.71,1.32,2.24
BalanceNoncurrentAssets_qq,,4.96,-8.79,-100.00,,-13.91,-1.72,-8.30,90.85,-40.29,27.54,25.43,79.77,-0.99,-2.83,180.77,-0.69,-2.95,1.95,1.02,-7.62,4.78,2.79,0.57
BalanceNoncurrentAssets_sq,,1.23,0.70,-0.37,,-0.71,-0.34,-0.84,2.52,-0.28,0.51,0.88,-0.03,-0.67,2.72,1.14,2.24,0.62,0.90,0.26,0.10,-0.21,1.04,0.37
BalanceIntangibleAssets,1280000,1175000,1056000,,754000,606000,483000,421000,1755000,296000,245000,201000,2988000,2889000,2785000,10008000,9505000,9382000,9259000,9137000,9029000,10116000,9917000,9731000
BalanceIntangibleAssets_yy,,,,,-41.13,-48.40,-54.28,,132.78,-51.17,-49.33,-52.14,70.27,875.69,1038.03,4871.28,218.13,224.73,232.50,-8.71,-5.00,7.83,7.11,6.51
BalanceIntangibleAssets_sy,,,,,7.14,-0.08,-1.52,,0.80,-0.30,-0.57,6.02,0.39,2.34,-0.04,-0.10,4.20,6.62,5.03,6.01,0.82,0.06,-0.66,0.02
BalanceIntangibleAssets_qq,,-8.21,-10.12,-100.00,,-19.56,-20.37,-12.89,317.18,-83.12,-17.37,-17.73,1384.09,-3.30,-3.62,259.40,-5.03,-1.30,-1.31,-1.32,-1.17,12.04,-1.97,-1.88
BalanceIntangibleAssets_sq,,0.01,-0.29,-1.89,,-1.67,-0.28,-1.68,-1.04,-0.72,-0.32,-0.73,0.26,-1.40,-0.79,-0.19,1.67,-0.53,0.18,-0.29,0.35,-0.77,-0.22,-0.27
BalanceProperty,749000,965000,864000,,751000,620000,604000,528000,448000,404000,667000,717000,1058000,1095000,1054000,2231000,2215000,1961000,2358000,2789000,1860000,1997000,2008000,2350000
BalanceProperty_yy,,,,,0.23,-35.72,-30.09,,-40.38,-34.85,10.40,35.84,136.30,170.97,58.10,211.19,109.39,79.06,123.66,24.99,-16.00,1.83,-14.83,-15.75
BalanceProperty_sy,,,,,3.28,-0.18,0.82,,1.27,7.60,8.52,3.40,4.90,5.25,5.88,4.68,5.72,5.57,4.03,3.33,3.26,1.03,-0.23,2.01
BalanceProperty_qq,,28.81,-10.47,-100.00,,-17.39,-2.63,-12.60,-15.19,-9.72,64.98,7.54,47.53,3.53,-3.74,111.68,-0.73,-11.47,20.23,18.29,-33.29,7.33,0.57,17.00
BalanceProperty_sq,,-0.14,-0.46,-1.18,,-1.01,0.41,-0.99,0.08,-0.64,-0.40,0.06,1.11,-0.27,1.00,-0.16,0.83,0.09,0.58,-0.08,0.16,-0.62,-0.30,-0.30
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,6000,,,,42000,42000,89000,90000
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,,,,586.16,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,,-3.68,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,-100.00,,,,,108.57,1.94
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,0.34,,,,,3.54,
BalanceNoncurrInvestments,175000,175000,189000,,412000,418000,529000,530000,503000,839000,1104000,1261000,16000,16000,16000,16000,14000,14000,23000,23000,23000,23000,26000,29000
BalanceNoncurrInvestments_yy,,,,,135.01,139.24,179.41,,22.08,100.71,108.59,137.66,-96.86,-98.12,-98.57,-98.74,-13.45,-13.29,47.41,47.02,67.01,69.67,11.95,24.84
BalanceNoncurrInvestments_sy,,,,,11.35,7.38,7.88,,0.38,-0.18,3.04,46.15,-3.46,-3.46,-12.19,12.48,10.85,10.79,17.34,23.56,2.43,,,2.13
BalanceNoncurrInvestments_qq,,-0.27,8.35,-100.00,,1.52,26.54,0.23,-5.19,66.91,31.51,14.20,-98.75,0.04,0.01,0.26,-13.71,0.22,70.03,-0.01,-1.99,1.82,12.19,11.50
BalanceNoncurrInvestments_sq,,1.50,1.68,1.32,,0.32,-0.56,-0.16,4.19,0.21,0.03,0.41,-1.58,0.78,0.01,1.40,0.51,,,,-0.80,,1.32,
BalanceOtherNoncurrentAssets,21000,22000,22000,,37000,37000,37000,37000,188000,188000,188000,584000,906000,918000,924000,1162000,1586000,1576000,1545000,1370000,1349000,713000,1212000,1127000
BalanceOtherNoncurrentAssets_yy,,,,,71.46,69.25,69.24,,410.06,410.06,410.06,1488.67,383.05,389.59,392.89,99.04,75.07,71.69,67.18,17.87,-14.91,-54.77,-21.57,-17.75
BalanceOtherNoncurrentAssets_sy,,,,,16.36,16.49,14.68,,13.46,26.02,46.99,10.07,10.19,2.99,7.90,8.65,9.75,19.78,7.27,12.63,-3.12,7.50,8.73,13.39
BalanceOtherNoncurrentAssets_qq,,1.31,0.01,-100.00,,,,,410.06,,,211.47,55.09,1.35,0.67,25.78,36.41,-0.60,-1.97,-11.32,-1.52,-47.16,69.96,-7.00
BalanceOtherNoncurrentAssets_sq,,0.80,,1.86,,,,,3.30,,,0.48,-0.58,-1.45,0.34,0.10,0.25,,2.21,-1.46,-0.46,1.32,5.30,5.44
BalanceCurrentAssets,6524000,6663000,10153000,,12040000,12443000,11942000,13427000,14139000,16046000,16345000,17655000,21719000,23152000,23895000,22872000,26659000,26395000,25187000,28417000,33905000,36235000,33715000,44218000
BalanceCurrentAssets_yy,,,,,84.56,86.75,17.63,,17.43,28.96,36.86,31.49,53.61,44.28,46.20,29.55,22.75,14.01,5.41,24.24,27.18,37.28,33.86,55.61
BalanceCurrentAssets_sy,,,,,3.02,9.15,15.91,,15.68,11.34,9.53,14.73,6.89,11.38,10.18,12.21,6.48,9.94,11.56,8.24,9.60,10.55,-0.44,10.25
BalanceCurrentAssets_qq,,2.13,52.38,-100.00,,3.34,-4.02,12.43,5.30,13.49,1.86,8.02,23.01,6.60,3.21,-4.28,16.56,-0.99,-4.58,12.82,19.31,6.87,-6.96,31.15
BalanceCurrentAssets_sq,,1.37,-5.62,-1.62,,3.65,6.32,0.98,-0.19,1.18,3.47,0.12,1.98,6.60,-0.17,-0.95,-1.09,1.79,3.80,-1.29,2.94,0.48,-0.18,1.88
BalanceInventory,344000,301000,281000,,358000,666000,377000,461000,284000,601000,834000,821000,848000,1400000,1400000,3176000,3076000,2209000,2247000,3227000,2651000,3987000,3835000,5473000
BalanceInventory_yy,,,,,4.04,121.35,34.31,,-20.65,-9.77,120.98,78.04,198.38,133.14,67.93,287.02,262.88,57.76,60.48,1.60,-13.83,80.48,70.69,69.61
BalanceInventory_sy,,,,,2.06,11.76,5.10,,5.50,5.17,11.38,11.31,8.09,7.45,10.16,7.36,5.34,4.82,10.75,12.41,3.67,18.37,6.66,5.07
BalanceInventory_qq,,-12.61,-6.58,-100.00,,85.93,-43.32,22.16,-38.36,111.42,38.81,-1.57,3.30,65.19,-0.01,126.84,-3.15,-28.18,1.71,43.61,-17.85,50.42,-3.81,42.70
BalanceInventory_sq,,-1.33,-4.14,4.69,,-1.87,,3.57,2.59,0.09,1.62,1.39,-1.68,3.67,0.51,,-6.31,2.65,5.18,3.24,-1.95,1.67,-0.47,5.25
BalanceCurrentReceivables,3960000,4096000,2892000,,4519000,4372000,3531000,4745000,5368000,7538000,6888000,8044000,13007000,11385000,11136000,13265000,18476000,19200000,16586000,18836000,25694000,24683000,24640000,32744000
BalanceCurrentReceivables_yy,,,,,14.12,6.75,22.13,,18.80,72.42,95.04,69.54,142.31,51.03,61.68,64.90,42.04,68.64,48.94,42.00,39.06,28.56,48.56,73.84
BalanceCurrentReceivables_sy,,,,,3.50,8.91,20.59,,12.62,11.69,12.16,17.51,12.51,9.14,16.49,14.16,10.18,14.29,12.03,19.65,17.36,12.25,9.77,11.50
BalanceCurrentReceivables_qq,,3.43,-29.40,-100.00,,-3.24,-19.22,34.35,13.14,40.43,-8.63,16.79,61.70,-12.48,-2.18,19.11,39.29,3.91,-13.61,13.57,36.41,-3.93,-0.18,32.89
BalanceCurrentReceivables_sq,,5.64,-0.86,-3.80,,4.38,5.73,0.07,-3.24,4.98,3.56,4.00,-0.60,2.11,6.84,4.12,-1.27,7.50,7.37,3.02,1.86,0.73,3.86,4.98
BalanceCurrentInvestments,1000,1990000,6695000,,0,6930000,7475000,7258000,140000,6682000,50000,310000,,,,,,5000,10000,110000,5000,55000,5000,4000
BalanceCurrentInvestments_yy,,,,,-100.00,248.27,11.64,,,-3.59,-99.33,-95.73,-100.00,-100.00,-100.00,-100.00,,,,,,1001.43,-47.54,-96.23
BalanceCurrentInvestments_sy,,,,,-13.89,-6.79,8.33,,,-3.69,-37.42,-26.20,-16.96,,-28.96,-9.51,,,,,,-8.59,-1.56,-0.76
BalanceCurrentInvestments_qq,,193102.91,236.45,-100.00,,,7.85,-2.90,-98.07,4675.42,-99.25,519.88,-100.00,,,,,,99.00,1003.54,-95.15,935.10,-90.52,-20.63
BalanceCurrentInvestments_sq,,1.27,-4.73,,,,0.66,,-6.94,-2.99,-2.69,,-4.45,,,,,,0.48,,,,-0.74,1.18
BalanceCash,2020000,,,,6746000,,,,7255000,,7156000,6945000,7283000,9750000,6769000,5716000,4094000,3957000,4739000,4249000,3414000,4669000,2852000,4024000
BalanceCash_yy,,,,,233.97,,,,7.55,,,,0.38,,-5.41,-17.70,-43.79,-59.42,-29.99,-25.66,-16.59,17.98,-39.81,-5.30
BalanceCash_sy,,,,,0.05,,,,40.26,,,,31.28,,36.03,28.67,13.45,-6.24,-9.07,3.46,-4.79,-0.76,-0.14,-11.52
BalanceCash_qq,,-100.00,,,,-100.00,,,,-100.00,,-2.94,4.86,33.88,-30.58,-15.55,-28.38,-3.34,19.76,-10.34,-19.65,36.74,-38.91,41.08
BalanceCash_sq,,-14.02,,,,-9.75,,,,-13.94,,-0.86,22.85,15.80,-9.28,-12.22,9.84,-4.11,-3.84,-1.74,11.07,-1.49,-13.85,-1.81
