,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q3,2015/Q1,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceIncome_sy,,,,,,,-94.83,45.81,,18.76,,162.50,103.94,207.55,,21.10,10.20,41.26,-21.18,100.75,-6.59,-19.09,-37.71,-25.76,49.03,,,,,,3.81,-9.09,-12.96,-32.61,-11.38,-3.47
IncomeFinanceIncome_qq,,,,200.82,-100.00,,-100.00,,-98.87,722.04,-100.00,,-70.82,-28.23,-339.33,257.25,-67.94,44.86,-253.63,556.74,-88.34,313.73,-223.01,336.07,,,,-91.28,-23.12,-32.11,8735.93,-141.90,99.08,440.35,-8.25,64.04
IncomeFinanceIncome_sq,,,,-30.24,76.84,,7.12,,12.50,-15.90,47.83,,3.00,18.01,-15.54,-34.13,53.19,-1.34,-29.16,110.52,-30.52,20.79,-51.96,21.82,,,,26.92,-9.09,-10.24,1.46,-12.92,,-13.52,-3.25,3.38
IncomeFinanceCosts,41341000,,,0,67000,93000,,165955000,0,20523000,-14893000,111242000,18559000,23185000,,79927000,19913000,47133000,,289876000,35738000,139807000,,409327000,509000,,220000,573000,338000,415000,397000,377000,273000,656000,539000,635000
IncomeFinanceCosts_yy,,,,,-99.84,,,,-100.00,21967.74,,-32.97,,12.97,100.00,-28.15,7.30,103.29,,262.68,79.47,196.62,,41.21,,,,,,,80.45,-34.21,-19.23,58.07,35.77,68.44
IncomeFinanceCosts_sy,,,,,7.39,,,,-16.12,12.71,,84.87,,80.98,100.57,102.29,45.99,78.23,,21.96,,-6.40,,-13.43,,,,,,,14.19,31.82,44.48,6.33,4.43,
IncomeFinanceCosts_qq,,-100.00,,,,38.81,-100.00,,-100.00,,-172.57,846.94,-83.32,24.93,-100.00,,-75.09,136.69,-100.00,,-87.67,291.20,-100.00,,,,,160.45,-41.01,22.78,-4.34,-5.04,-27.59,140.29,-17.84,17.81
IncomeFinanceCosts_sq,,-12.04,,,,-6.29,5.95,,11.28,,14.21,45.45,51.15,21.42,1.53,,9.21,-2.94,-0.27,,2.36,0.15,-6.52,,,,,22.86,-15.05,19.43,-2.88,8.52,-4.86,23.92,,2.99
IncomeOtherIncome,,-65322000,,-37147000,,9977000,26964000,-52577000,0,-11242000,7844000,17005000,-13455000,4098000,-11151000,-2981000,9060000,-1047000,-783000,-1849000,-5585000,-7238000,8230000,-7829000,-723000,,-3294000,142000,-235000,-8626000,-13711000,3668000,-39000,-23000,-142000,0
IncomeOtherIncome_yy,,,,,,115.27,,-41.54,,-212.68,-70.91,132.34,,136.45,-242.16,-117.53,167.34,-125.55,92.98,37.97,-161.64,-591.31,1151.09,-323.42,-108.78,,,,,,-316.24,2483.10,83.40,99.73,98.96,-100.00
IncomeOtherIncome_sy,,,,,,107.80,,4.21,,-156.34,-70.91,82.54,,106.06,-169.94,-70.15,379.68,-58.87,-333.66,-50.83,-100.00,-176.24,42.10,-48.74,100.00,,,,,,-30.59,100.00,207.69,29.88,40.92,-135.14
IncomeOtherIncome_qq,,,100.00,,100.00,,170.26,-294.99,100.00,,169.77,116.79,-179.12,130.46,-372.11,73.27,403.92,-111.56,25.21,-136.14,-202.06,-29.60,213.71,-195.13,,,,104.31,-265.49,-3570.64,-58.95,126.75,-101.06,41.03,-517.39,100.00
IncomeOtherIncome_sq,,,-147.57,,100.00,,-18.24,-100.00,-1.24,,132.06,-74.39,-99.81,-15.82,-109.10,73.27,78.85,-105.78,20.46,-29.64,-100.00,-26.57,-10.51,98.27,,,,-71.64,-12.79,48.08,100.00,98.20,-61.82,-60.58,98.26,9.50
IncomeNetGrossProfit,-41849000,-27945000,18532000,-14206000,-1485000,31483000,7693000,-22673000,2272000,-14670000,6088000,12611000,3014000,-209000,-15466000,-5435000,15477000,-6662000,955000,-5245000,-8969000,-10510000,5988000,-14970000,-976000,,4486000,736000,1295000,-7822000,9784000,462000,3553000,6965000,4180000,3283000
IncomeNetGrossProfit_yy,,,,,96.45,212.66,-58.49,-59.60,253.00,-146.60,-20.86,155.62,32.66,98.58,-354.04,-143.10,413.50,-3087.56,106.17,3.50,-157.95,-57.76,527.02,-185.41,-116.30,,,,,,118.10,-37.23,174.36,189.04,-57.28,610.61
IncomeNetGrossProfit_sy,,,,,14.96,32.56,23.63,13.16,72.42,-14.98,117.65,91.85,49.18,99.21,-6.90,-7.96,52.16,-2.18,8.50,21.25,-43.27,-4.45,34.39,64.17,24.68,,,,,,3.35,-16.49,20.72,-11.62,-19.28,-32.26
IncomeNetGrossProfit_qq,,33.22,166.32,-176.66,89.55,2220.07,-75.56,-394.72,110.02,-745.69,141.50,107.15,-76.10,-106.93,-7300.00,64.86,384.77,-143.04,114.34,-649.21,-71.00,-17.18,156.97,-350.00,,,,-83.59,75.95,-704.02,225.08,-95.28,669.05,96.03,-39.99,-21.46
IncomeNetGrossProfit_sq,,1.85,4.52,1.84,46.26,-6.84,-31.88,7.36,39.56,-10.31,75.68,-10.86,-15.16,9.19,-10.55,-10.30,99.31,-27.30,20.15,-1.27,-9.76,13.64,-9.61,23.89,,,,-15.32,24.53,-12.73,26.34,-9.76,35.62,-59.68,71.18,-21.46
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-41849000,-27945000,18532000,-14206000,-1485000,31483000,7693000,-22673000,2272000,-14670000,6088000,12611000,3014000,-209000,-15466000,-5435000,15477000,-6662000,955000,-5245000,-8969000,-10510000,5988000,-14970000,-976000,,4486000,736000,1295000,-7822000,9784000,462000,3553000,6965000,4180000,3283000
IncomeBeforeTaxProfit_yy,,,,,96.45,212.66,-58.49,-59.60,253.00,-146.60,-20.86,155.62,32.66,98.58,-354.04,-143.10,413.50,-3087.56,106.17,3.50,-157.95,-57.76,527.02,-185.41,-116.30,,,,,,118.10,-37.23,174.36,189.04,-57.28,610.61
IncomeBeforeTaxProfit_sy,,,,,14.96,32.56,13.77,13.16,72.42,-14.98,117.65,91.85,49.18,99.21,-6.90,-7.96,52.16,-2.18,8.50,21.25,-43.27,-4.45,34.39,64.17,24.68,,,,,,3.35,-16.49,20.72,-11.62,-19.28,-32.26
IncomeBeforeTaxProfit_qq,,33.22,166.32,-176.66,89.55,2220.07,-75.56,-394.72,110.02,-745.69,141.50,107.15,-76.10,-106.93,-7300.00,64.86,384.77,-143.04,114.34,-649.21,-71.00,-17.18,156.97,-350.00,,,,-83.59,75.95,-704.02,225.08,-95.28,669.05,96.03,-39.99,-21.46
IncomeBeforeTaxProfit_sq,,1.85,4.52,1.84,46.26,-6.84,-31.88,7.36,39.56,-10.31,75.68,-10.86,-15.16,9.19,-10.55,-10.30,99.31,-27.30,20.15,-1.27,-9.76,13.64,-9.61,23.89,,,,-15.32,24.53,-12.73,26.34,-9.76,35.62,-59.68,71.18,-21.46
IncomeDiscontinuedProfit,,,,,,,,,,,,,,0,,0,,262000,,303000,,443000,,463000,,,-115000,-135000,-49000,5029000,-132000,0,-1000,1000,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,69.08,,52.81,,,,,,,-14.78,100.00,97.96,-99.98,100.00,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,69.08,,50.65,,,,,,,-100.00,100.00,97.96,-99.99,20.93,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,-100.00,,-100.00,,-100.00,,,,,-17.39,63.70,10363.27,-102.62,100.00,,200.00,-100.00,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,-100.00,,-37.27,,-0.84,,,,,-62.40,63.70,70.63,-100.00,95.96,,112.32,-59.02,
IncomeNetProfit,-41856000,-27957000,18551000,-14210000,-1508000,31482000,7694000,-22650000,2272000,-14670000,6088000,12611000,3014000,-209000,-15466000,-5435000,15477000,-6400000,693000,-5012000,-8969000,-10271000,5749000,-14819000,-976000,,4371000,601000,1244000,-7748000,9652000,462000,3552000,5645000,4178000,2753000
IncomeNetProfit_yy,,,,,96.40,212.61,-58.53,-59.39,250.66,-146.60,-20.87,155.68,32.66,98.58,-354.04,-143.10,413.50,-2962.20,104.48,7.78,-157.95,-60.48,729.58,-195.67,-116.98,,,,,,120.82,-23.13,185.53,172.86,-56.71,495.89
IncomeNetProfit_sy,,,,,33.63,30.81,13.09,10.25,114.04,-16.14,105.18,83.10,43.30,97.57,-9.42,-4.32,50.41,7.31,21.73,24.98,-14.44,-4.48,31.66,62.93,17.67,,,,,,-9.10,-23.13,22.84,-5.04,-20.95,-50.73
IncomeNetProfit_qq,,33.21,166.36,-176.60,89.39,2187.67,-75.56,-394.39,110.03,-745.69,141.50,107.15,-76.10,-106.93,-7300.00,64.86,384.77,-141.35,110.83,-823.23,-78.95,-14.52,155.97,-357.77,,,,-86.25,106.99,-722.83,224.57,-95.21,668.83,58.92,-25.99,-34.11
IncomeNetProfit_sq,,11.38,1.82,6.07,35.75,5.98,-36.22,-5.67,52.28,-10.16,43.89,-15.71,-15.74,9.19,-7.46,-22.31,99.32,-43.51,20.68,1.96,1.36,9.02,-9.17,12.65,,,,-27.03,16.94,-10.61,38.34,-6.81,28.09,-80.34,75.90,-34.11
IncomeShareholderNetProfit,-41856000,-26057000,19085000,-16644000,-1194000,31699000,7163000,-22650000,2272000,-14670000,6088000,12611000,3014000,-209000,-15466000,-5435000,15477000,-6400000,693000,-5012000,-8969000,-10271000,5749000,-14819000,-954000,,4370000,555000,1239000,-7696000,9652000,462000,3552000,5645000,4178000,2753000
IncomeShareholderNetProfit_yy,,,,,97.15,221.65,-62.47,-36.09,290.28,-146.28,-15.01,155.68,32.66,98.58,-354.04,-143.10,413.50,-2962.20,104.48,7.78,-157.95,-60.48,729.58,-195.67,-116.59,,,,,,120.87,-16.76,186.68,173.35,-56.71,495.89
IncomeShareholderNetProfit_sy,,,,,33.63,30.81,13.06,10.25,114.04,-13.64,100.51,82.62,33.88,102.83,-5.05,-6.86,54.82,-3.33,21.73,24.98,-22.78,19.89,33.28,47.32,17.67,,,,,,-9.10,-16.76,38.37,-5.04,-20.95,-50.73
IncomeShareholderNetProfit_qq,,37.75,173.24,-187.21,92.83,2754.86,-77.40,-416.21,110.03,-745.69,141.50,107.15,-76.10,-106.93,-7300.00,64.86,384.77,-141.35,110.83,-823.23,-78.95,-14.52,155.97,-357.77,,,,-87.30,123.24,-721.15,225.42,-95.21,668.83,58.92,-25.99,-34.11
IncomeShareholderNetProfit_sq,,10.48,1.82,6.07,30.54,5.98,-36.22,-5.67,52.28,-10.16,44.14,-15.71,-15.74,8.96,-14.65,-27.88,54.41,-55.94,22.50,-1.34,1.36,19.56,-9.17,12.65,,,,-21.56,2.27,-10.61,38.34,-12.14,28.05,-80.34,74.91,-36.40
BalanceNoncurrentAssets,2920000,10319000,,5944000,12811000,16670000,,19445000,24159000,18775000,,13570000,6073000,12251000,,10960000,9328000,7051000,10577000,9527000,9527000,8276000,8265000,1446000,1326000,3478000,14966000,25455000,25936000,8243000,15248000,15048000,14970000,17193000,20066000,20000000
BalanceNoncurrentAssets_yy,,,,,338.73,61.55,,227.14,88.58,12.63,,-30.21,-74.86,-34.75,,-19.23,53.60,-42.45,,-13.07,2.13,17.37,-21.86,-84.82,-83.96,,330.30,,,,1.88,-40.88,-42.28,108.58,31.60,32.91
BalanceNoncurrentAssets_sy,,,,,4.64,2.47,,-3.53,26.18,11.54,,17.12,14.22,9.54,,1.36,37.50,33.42,,8.53,10.72,17.37,19.95,14.68,4.11,,3.47,,,,-0.52,-3.75,0.14,5.01,2.44,0.48
BalanceNoncurrentAssets_qq,,253.39,-100.00,,115.53,30.12,-100.00,,24.24,-22.29,-100.00,,-55.25,101.73,-100.00,,-14.89,-24.41,50.01,-9.93,,-13.13,-0.13,-82.50,,,,70.09,1.89,-68.22,84.98,-1.31,-0.52,14.85,16.71,-0.33
BalanceNoncurrentAssets_sq,,-1.33,-100.00,,-0.28,0.65,-72.41,,-0.15,-4.73,-67.81,,-1.06,2.92,-100.00,,5.91,3.35,-0.61,-1.00,,1.90,1.55,0.38,,,,-1.99,-0.54,-3.05,-0.07,-0.84,0.02,0.28,-0.07,-0.20
BalanceIntangibleAssets,2909000,738000,,0,5307000,508000,,234000,570000,229000,,163000,270000,110000,,64000,45000,5000,5000,4000,3000,0,0,79000,90000,2075000,1366000,1291000,1290000,9000,8000,7000,4000,6000,1000,
BalanceIntangibleAssets_yy,,,,,82.43,-31.17,,,-89.26,-54.92,,-30.34,-52.63,-51.97,,-60.74,-83.33,-95.45,,-93.75,-93.33,-100.00,-100.00,1875.00,,,-34.17,,,,-99.41,-99.46,-99.69,-33.33,-87.50,-100.00
BalanceIntangibleAssets_sy,,,,,-6.28,,,,-30.15,-36.03,,-28.07,-19.52,10.43,,2.83,-0.01,-0.85,,-2.00,-1.44,-1.11,-5.34,0.70,,,-2.23,,,,-32.32,-4.49,-0.40,,-0.18,-0.33
BalanceIntangibleAssets_qq,,-74.63,-100.00,,,-90.43,-100.00,,143.59,-59.82,-100.00,,65.64,-59.26,-100.00,,-29.69,-88.89,,-20.00,-25.00,-100.00,,,,,,-5.49,-0.08,-99.30,-11.11,-12.50,-42.86,50.00,-83.33,-100.00
BalanceIntangibleAssets_sq,,-8.02,-100.00,,,-4.99,-63.63,,-6.27,-8.76,-100.00,,-3.12,-0.68,-100.00,,-2.08,-0.87,,-0.04,-0.62,-0.02,,,,,,-0.92,-0.61,-7.06,-1.50,-0.04,0.98,-0.04,-0.10,-3.07
BalanceProperty,11000,9507000,,1000,7466000,7095000,,6080000,6517000,5127000,,4251000,4816000,3345000,,2879000,2647000,83000,82000,24000,6067000,2619000,2608000,886000,722000,892000,13600000,24164000,24646000,8230000,8036000,7841000,7766000,9985000,12864000,12799000
BalanceProperty_yy,,,,,67772.73,-25.37,,607900.00,-12.71,-27.74,,-30.08,-26.10,-34.76,,-32.27,-45.04,-97.52,,-99.17,129.20,3055.42,3080.49,3591.67,-72.32,,1424.66,,,,-40.91,-67.55,-68.49,21.32,60.08,63.23
BalanceProperty_sy,,,,,-1.11,-4.58,,-7.13,-8.91,-11.13,,-11.53,-13.78,-6.94,,0.12,7.68,3.48,,-2.16,-1.71,2.10,11.06,14.02,-2.82,,-1.75,,,,-7.34,-3.59,-6.75,0.88,-7.66,-1.95
BalanceProperty_qq,,86327.27,-100.00,,746500.00,-4.97,-100.00,,7.19,-21.33,-100.00,,13.29,-30.54,-100.00,,-8.06,-96.86,-1.20,-70.73,25179.17,-56.83,-0.42,-66.03,,,,77.68,1.99,-66.61,-2.36,-2.43,-0.96,28.57,28.83,-0.51
BalanceProperty_sq,,-0.90,-100.00,,-1.94,-2.61,-58.53,,-1.61,-1.24,-95.90,,-0.88,-2.36,-100.00,,-0.12,-1.04,-0.90,-0.34,-1.66,0.35,-0.47,0.27,,,,-1.26,-1.13,-5.01,-1.58,-3.02,-2.12,-1.79,-1.96,-0.06
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4000,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,-100.00,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.58,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,5943000,,8182000,,12392000,9900000,12656000,,8476000,0,8115000,,7341000,5934000,6963000,10292000,6373000,2947000,5474000,5474000,16000,70000,67000,,,,,7200000,7200000,7200000,7202000,7201000,7201000
BalanceNoncurrInvestments_yy,,,,,,,,108.51,,54.68,,-31.60,-100.00,-35.88,,-13.39,,-14.20,,-13.19,-50.34,-21.38,-46.81,-99.75,-98.72,,-100.00,,,,,,,,0.01,0.01
BalanceNoncurrInvestments_sy,,,,,,,,1.17,,-55.56,,43.71,63.97,97.00,,-2.62,,14.48,,-10.54,25.60,18.25,19.10,14.66,3.69,,3.20,,,,,,,,9.88,
BalanceNoncurrInvestments_qq,,,,,-100.00,,-100.00,,-20.11,27.84,-100.00,,-100.00,,-100.00,,-19.17,17.34,47.81,-38.08,-53.76,85.75,,-99.71,,,,,,,,,,0.03,-0.01,
BalanceNoncurrInvestments_sq,,,,,-2.27,,-100.00,,4.39,-2.22,-79.16,,-1.26,,-100.00,,2.23,6.00,-6.38,-5.47,3.49,1.32,,-3.28,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,0,74000,,0,38000,885000,,739000,7172000,763000,,680000,987000,681000,,676000,702000,0,198000,3126000,510000,183000,183000,465000,444000,444000,,,,,,,,,,
BalanceOtherNoncurrentAssets_yy,,,,,,1095.95,,,18773.68,-13.79,,-7.98,-86.24,-10.75,,-0.59,-28.88,-100.00,,362.43,-27.35,,-7.58,-85.12,142.62,,-100.00,,,,,,,,,
