,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeGrossProfit,1746000,2751000,1761000,1099000,1527000,3479000,3273000,987000,644000,2626000,2661000,3667000,2126000,3373000,2306000,970000,3155000,2823000
IncomeGrossProfit_yy,,,,,-12.54,26.45,85.84,-10.15,-57.83,-24.51,-18.69,271.36,230.12,28.45,-13.34,-73.55,48.40,-16.31
IncomeGrossProfit_sy,,,,,-3.66,14.32,-15.81,-9.80,-13.46,-24.51,-29.80,-9.30,17.57,-32.87,-3.43,-20.65,28.19,25.89
IncomeGrossProfit_qq,,57.56,-35.99,-37.59,38.95,127.79,-5.92,-69.83,-34.78,307.76,1.33,37.81,-42.02,58.65,-31.63,-57.94,225.26,-10.52
IncomeGrossProfit_sq,,51.52,10.60,-8.87,-25.52,21.38,4.86,-14.76,-30.77,30.83,-12.83,16.65,-31.87,-16.02,19.88,10.16,58.34,15.96
IncomeOtherOperatingIncome,152000,207000,778000,227000,227000,263000,289000,379000,311000,351000,397000,982000,566000,660000,483000,597000,554000,854000
IncomeOtherOperatingIncome_yy,,,,,49.56,27.13,-62.90,66.83,36.80,33.38,37.55,159.30,81.99,88.03,21.66,-39.21,-2.12,29.39
IncomeOtherOperatingIncome_sy,,,,,-27.14,-2.74,-33.16,5.34,25.36,23.12,-9.20,-6.66,9.07,-6.14,-23.22,75.07,-0.68,-9.27
IncomeOtherOperatingIncome_qq,,36.18,275.85,-70.82,0.15,15.76,9.68,31.21,-17.88,12.86,13.11,147.36,-42.36,16.61,-26.82,23.60,-7.20,54.15
IncomeOtherOperatingIncome_sq,,-2.04,11.38,48.90,-33.12,17.13,-16.80,183.20,-20.94,12.86,-30.19,81.32,-41.00,9.96,-30.31,194.70,-70.82,32.06
IncomeOtherOperatingCosts,159000,562000,579000,19000,22000,82000,15000,722000,6000,90000,65000,1594000,206000,265000,87000,772000,159000,439000
IncomeOtherOperatingCosts_yy,,,,,-86.17,-85.34,-97.40,3701.25,-72.72,9.26,332.01,120.70,3333.33,194.44,33.85,-51.57,-22.82,65.66
IncomeOtherOperatingCosts_sy,,,,,-42.72,31.96,-7.02,13.06,61.62,11.21,88.08,-2.82,15.68,18.08,16.59,6.69,11.06,11.93
IncomeOtherOperatingCosts_qq,,253.46,3.02,-96.72,15.76,274.51,-81.73,4700.19,-99.17,1400.00,-27.78,2352.31,-87.08,28.64,-67.17,787.36,-79.40,176.10
IncomeOtherOperatingCosts_sq,,45.35,-1.44,62.75,-75.92,74.71,-30.71,226.78,-61.31,5.56,-28.69,151.61,-50.38,22.66,-17.89,215.30,-69.23,18.69
IncomeEBIT,1739000,2396000,1960000,1307000,1732000,3659000,3546000,644000,949000,2887000,2993000,3055000,2486000,3768000,2702000,795000,3550000,3238000
IncomeEBIT_yy,,,,,-0.38,52.73,80.93,-50.73,-45.22,-21.11,-15.60,374.42,161.96,30.52,-9.72,-73.98,42.80,-14.07
IncomeEBIT_sy,,,,,-5.06,14.86,-4.48,-8.98,-20.06,4.42,-40.90,-11.12,12.22,-29.59,6.17,12.99,26.82,16.86
IncomeEBIT_qq,,37.78,-18.20,-33.32,32.55,111.23,-3.09,-81.84,47.37,204.21,3.67,2.07,-18.63,51.57,-28.29,-70.58,346.54,-8.79
IncomeEBIT_sq,,24.96,-0.64,-5.22,-24.60,11.57,10.18,-19.46,-39.90,30.32,-13.65,22.20,-18.63,-7.28,22.60,-5.95,12.31,-11.62
IncomeFinanceIncome,108000,-27000,93000,-129000,37000,34000,33000,32000,65000,139000,-115000,189000,562000,-167000,-144000,-185000,130000,475000
IncomeFinanceIncome_yy,,,,,-65.34,224.24,-64.03,124.72,73.65,314.37,-443.78,492.70,764.62,-220.14,-25.22,-197.88,-76.87,384.43
IncomeFinanceIncome_sy,,,,,106.72,-38.61,-64.50,-23.25,-49.02,42.25,-6.12,-61.67,,-65.09,67.71,-36.62,-22.08,108.94
IncomeFinanceIncome_qq,,-125.00,444.44,-238.71,129.02,-10.38,-0.28,-4.68,103.84,113.85,-182.73,264.35,197.35,-129.72,13.77,-28.47,170.27,265.38
IncomeFinanceIncome_sq,,-31.11,13.32,40.32,62.22,-63.95,-20.00,55.50,15.82,27.57,-51.58,11.03,44.44,-32.85,17.03,23.24,12.54,66.67
IncomeFinanceCosts,100000,99000,99000,-180000,478000,-112000,-118000,-19000,37000,-9000,4000,53000,578000,-244000,-258000,101000,34000,158000
IncomeFinanceCosts_yy,,,,,378.33,-212.67,-219.47,89.42,-92.26,91.93,103.38,378.42,1462.16,-2611.11,-6550.00,90.57,-94.12,164.75
IncomeFinanceCosts_sy,,,,,23.15,-34.62,-8.50,-12.56,-15.07,34.27,-27.77,11.37,7.19,13.69,-33.28,90.57,-6.08,-21.13
IncomeFinanceCosts_qq,,-1.00,,-281.82,365.74,-123.32,-6.04,83.90,294.37,-124.32,144.44,1225.00,990.57,-142.21,-5.74,139.15,-66.34,364.71
IncomeFinanceCosts_sq,,7.17,,14.13,-8.16,-38.16,64.29,34.45,1.38,-6.61,-39.21,78.74,7.76,-9.24,-56.71,261.63,-50.75,16.67
IncomeOtherIncome,,,0,,,,-21000,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,100.00,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,22.14,,,,,,,
IncomeOtherIncome_qq,,,,,,,,100.00,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,51.40,,,,,,,,,,
IncomeNetGrossProfit,1747000,2270000,1954000,1358000,1292000,3805000,3677000,716000,977000,3035000,2874000,3191000,2470000,3845000,2816000,509000,3646000,3555000
IncomeNetGrossProfit_yy,,,,,-26.07,67.60,88.17,-47.27,-24.35,-20.23,-21.83,345.64,152.81,26.69,-2.02,-84.05,47.61,-7.54
IncomeNetGrossProfit_sy,,,,,1.75,36.47,-10.74,-4.62,-24.35,-0.35,-21.83,-18.80,27.56,-26.78,2.48,-11.20,12.84,66.95
IncomeNetGrossProfit_qq,,29.94,-13.92,-30.50,-4.89,194.57,-3.36,-80.52,36.44,210.64,-5.30,11.03,-22.59,55.67,-26.76,-81.92,616.31,-2.50
IncomeNetGrossProfit_sq,,28.52,-1.62,-18.55,-16.24,10.72,8.98,-20.98,-31.61,25.14,-5.30,-14.92,-5.19,-45.34,27.02,-44.47,31.62,-5.53
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,1747000,2270000,1954000,1358000,1292000,3805000,3677000,716000,977000,3035000,2874000,3191000,2470000,3845000,2816000,509000,3646000,3555000
IncomeBeforeTaxProfit_yy,,,,,-26.07,67.60,88.17,-47.27,-24.35,-20.23,-21.83,345.64,152.81,26.69,-2.02,-84.05,47.61,-7.54
IncomeBeforeTaxProfit_sy,,,,,1.75,36.47,-10.74,-4.62,-24.35,-0.35,-21.83,-18.80,27.56,-26.78,2.48,-11.20,12.84,66.95
IncomeBeforeTaxProfit_qq,,29.94,-13.92,-30.50,-4.89,194.57,-3.36,-80.52,36.44,210.64,-5.30,11.03,-22.59,55.67,-26.76,-81.92,616.31,-2.50
IncomeBeforeTaxProfit_sq,,28.52,-1.62,-18.55,-16.24,10.72,8.98,-20.98,-31.61,25.14,-5.30,-14.92,-5.19,-45.34,27.02,-44.47,31.62,-5.53
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,
IncomeNetProfit,1736000,2254000,1947000,1351000,1267000,3813000,3653000,700000,939000,3023000,2862000,3182000,2445000,3775000,2802000,520000,3639000,3533000
IncomeNetProfit_yy,,,,,-27.01,69.14,87.62,-48.15,-25.90,-20.71,-21.65,354.27,160.38,24.88,-2.10,-83.66,48.83,-6.41
IncomeNetProfit_sy,,,,,-0.50,7.94,-13.74,-14.78,-21.34,-0.82,-28.61,-18.38,24.94,-22.94,8.87,12.09,26.02,6.38
IncomeNetProfit_qq,,29.84,-13.62,-30.61,-6.20,200.87,-4.19,-80.82,34.05,221.94,-5.33,11.18,-23.16,54.40,-25.77,-81.44,599.81,-2.91
IncomeNetProfit_sq,,43.85,-4.50,-26.53,-16.24,-0.46,10.54,-24.18,-32.79,20.12,-4.94,-28.30,-6.28,15.93,28.75,-74.79,88.84,-2.07
IncomeShareholderNetProfit,1736000,2254000,1947000,1351000,1267000,3813000,3653000,700000,939000,3023000,2862000,3182000,2445000,3775000,2802000,520000,3639000,3533000
IncomeShareholderNetProfit_yy,,,,,-27.01,69.14,87.62,-48.15,-25.90,-20.71,-21.65,354.27,160.38,24.88,-2.10,-83.66,48.83,-6.41
IncomeShareholderNetProfit_sy,,,,,-1.08,0.10,-16.38,-13.05,-21.34,-0.74,-28.52,-8.74,27.51,-17.73,11.85,-42.07,27.89,5.03
IncomeShareholderNetProfit_qq,,29.84,-13.62,-30.61,-6.20,200.87,-4.19,-80.82,34.05,221.94,-5.33,11.18,-23.16,54.40,-25.77,-81.44,599.81,-2.91
IncomeShareholderNetProfit_sq,,42.50,-4.51,-27.08,-16.13,-3.74,30.73,-25.32,-32.79,32.09,-4.94,-31.30,1.20,16.36,17.84,-74.79,81.54,-2.91
BalanceNoncurrentAssets,11964000,12830000,12481000,13353000,14060000,14166000,15929000,19706000,23120000,24727000,28389000,28948000,31253000,32843000,29472000,29291000,30828000,34236000
BalanceNoncurrentAssets_yy,,,,,17.52,10.41,27.62,47.58,64.44,74.56,78.22,46.90,35.18,32.82,3.81,1.18,-1.36,4.24
BalanceNoncurrentAssets_sy,,,,,4.76,6.90,6.33,3.58,4.73,2.42,1.08,4.57,1.90,3.62,2.71,-1.13,-0.78,-2.37
BalanceNoncurrentAssets_qq,,7.24,-2.72,6.99,5.30,0.75,12.45,23.71,17.32,6.95,14.81,1.97,7.96,5.09,-10.26,-0.61,5.25,11.05
BalanceNoncurrentAssets_sq,,-0.20,0.28,2.36,0.65,1.14,1.04,0.21,-0.55,-0.12,-0.23,1.56,0.33,0.27,-0.62,-1.20,0.14,0.89
BalanceIntangibleAssets,375000,1116000,1055000,1029000,1034000,895000,1472000,2739000,4617000,2863000,5614000,6200000,6878000,6720000,7275000,6329000,6038000,5671000
BalanceIntangibleAssets_yy,,,,,175.66,-19.80,39.54,166.22,346.64,219.90,281.35,126.32,48.97,134.69,29.59,2.08,-12.21,-15.61
BalanceIntangibleAssets_sy,,,,,5.61,3.97,10.05,-2.23,2.29,0.37,-2.22,-1.84,-3.78,0.19,-1.37,0.92,3.92,-0.18
BalanceIntangibleAssets_qq,,197.60,-5.47,-2.46,0.46,-13.41,64.47,86.09,68.54,-37.98,96.07,10.44,10.94,-2.30,8.26,-13.00,-4.60,-6.08
BalanceIntangibleAssets_sq,,0.53,-0.86,0.80,-2.02,0.21,-0.65,-1.48,-1.14,-1.46,-1.85,-0.50,-2.00,-0.80,-0.62,-1.23,-1.32,-1.11
BalanceProperty,10798000,10721000,11413000,12273000,12995000,12919000,13899000,16182000,16922000,19430000,19666000,19308000,19204000,19597000,19400000,19881000,20416000,23295000
BalanceProperty_yy,,,,,20.35,20.50,21.78,31.85,30.22,50.40,41.49,19.32,13.49,0.86,-1.35,2.97,6.31,18.87
BalanceProperty_sy,,,,,5.18,6.04,4.72,4.28,2.27,2.50,1.84,0.53,0.29,0.86,0.97,-1.83,-2.68,-1.61
BalanceProperty_qq,,-0.71,6.45,7.54,5.88,-0.58,7.59,16.43,4.57,14.82,1.22,-1.82,-0.54,2.05,-1.01,2.48,2.69,14.10
BalanceProperty_sq,,-0.68,-0.28,2.16,0.66,0.42,0.34,0.56,-1.14,0.21,-0.64,0.41,-0.33,-0.71,-0.99,-1.15,-0.89,-0.35
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,4000,4000,4000,264000,264000,762000,762000,1262000,1262000
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,,6500.00,18950.00,18950.00,378.03,378.03
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,,,-22.74,-23.74,-0.77
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,6500.00,,188.64,,65.62,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,791000,993000,13000,51000,31000,352000,558000,785000,1581000,2430000,3105000,3436000,4907000,6262000,2035000,2319000,3112000,4008000
BalanceOtherNoncurrentAssets_yy,,,,,-96.03,-64.59,4190.41,1438.54,4931.03,591.11,456.70,337.90,210.37,157.67,-34.46,-32.51,-36.58,-35.99
BalanceOtherNoncurrentAssets_sy,,,,,6.36,-5.24,1.38,-0.12,9.08,3.50,7.19,11.68,9.52,13.38,8.49,-4.70,-4.82,-2.76
BalanceOtherNoncurrentAssets_qq,,25.54,-98.69,292.31,-38.38,1019.00,58.61,40.68,101.49,53.72,27.76,10.66,42.81,27.61,-67.50,13.96,34.20,28.79
BalanceOtherNoncurrentAssets_sq,,1.44,-0.06,-3.76,1.85,0.51,1.49,-4.24,8.83,-0.14,2.96,5.02,-1.99,2.60,-1.58,-2.80,2.80,-0.68
BalanceCurrentAssets,18988000,13377000,14792000,19874000,22065000,21134000,22485000,22071000,20244000,13086000,16490000,21414000,22899000,20032000,25740000,27131000,29904000,30869000
BalanceCurrentAssets_yy,,,,,16.21,57.99,52.01,11.05,-8.25,-38.08,-26.66,-2.97,13.11,53.08,56.09,26.70,30.59,54.10
BalanceCurrentAssets_sy,,,,,8.87,10.94,5.41,6.60,4.73,2.03,-4.06,3.75,2.33,-0.62,2.77,0.90,6.13,7.19
BalanceCurrentAssets_qq,,-29.55,10.58,34.36,11.03,-4.22,6.39,-1.84,-8.28,-35.36,26.01,29.86,6.93,-12.52,28.49,5.40,10.22,3.23
BalanceCurrentAssets_sq,,0.87,4.69,-1.67,6.48,3.18,0.86,2.12,1.75,1.10,1.43,-1.17,-0.62,0.47,2.75,-0.66,3.14,2.90
BalanceInventory,1753000,1489000,2451000,1936000,1934000,1744000,2150000,2292000,2211000,2386000,2547000,2795000,2066000,2919000,2857000,3449000,3430000,3484000
BalanceInventory_yy,,,,,10.32,17.10,-12.28,18.41,14.33,36.84,18.46,21.92,-6.56,22.34,12.17,23.40,66.02,19.36
BalanceInventory_sy,,,,,3.81,6.55,6.42,4.72,5.34,1.84,3.02,5.03,4.77,8.37,7.60,6.45,7.75,8.12
BalanceInventory_qq,,-15.06,64.61,-21.01,-0.11,-9.84,23.31,6.63,-3.55,7.91,6.75,9.74,-26.08,41.29,-2.12,20.72,-0.55,1.57
BalanceInventory_sq,,-2.11,2.10,-8.73,6.49,2.06,5.27,-8.59,5.03,1.50,1.39,-7.15,1.79,2.27,-1.23,-0.46,12.29,5.71
BalanceCurrentReceivables,2015000,2819000,2451000,2419000,4196000,4147000,4222000,3843000,4530000,3870000,2974000,4297000,5303000,6658000,3442000,3386000,6243000,7710000
BalanceCurrentReceivables_yy,,,,,108.24,47.10,72.25,58.87,7.96,-6.69,-29.56,11.81,17.06,72.06,15.74,-21.20,17.73,15.80
BalanceCurrentReceivables_sy,,,,,8.26,11.86,7.75,7.88,-4.14,-0.21,-0.45,8.12,3.80,-0.61,0.70,-7.52,6.31,4.64
BalanceCurrentReceivables_qq,,39.90,-13.05,-1.31,73.46,-1.17,1.81,-8.98,17.88,-14.58,-23.14,44.49,23.41,25.55,-48.30,-1.63,84.38,23.50
BalanceCurrentReceivables_sq,,8.37,5.23,-2.03,4.26,1.61,2.66,0.56,0.92,4.58,0.73,-0.30,-7.61,4.63,2.36,-4.43,-2.71,1.27
BalanceCurrentInvestments,,,,12442000,0,,,,36000,,,,512000,346000,202000,,,
BalanceCurrentInvestments_yy,,,,,,,,-100.00,,,,,1322.22,,,,-100.00,-100.00
BalanceCurrentInvestments_sy,,,,,,,,-19.97,,,,,5.14,,,,-11.24,-24.30
BalanceCurrentInvestments_qq,,,,,-100.00,,,,,-100.00,,,,-32.42,-41.62,-100.00,,
BalanceCurrentInvestments_sq,,,,,0.84,,,,,-3.75,,,,-1.42,-40.33,10.03,,
BalanceCash,12927000,7470000,8149000,,12300000,11301000,12495000,11975000,9021000,3407000,7332000,10798000,12084000,7310000,11471000,11352000,10677000,10025000
BalanceCash_yy,,,,,-4.85,51.29,53.33,,-26.66,-69.85,-41.32,-9.83,33.95,114.55,56.45,5.13,-11.64,37.14
BalanceCash_sy,,,,,-7.99,-14.05,-1.46,,-2.28,-11.90,8.02,0.33,-3.14,-18.37,-8.63,8.10,-1.92,3.69
BalanceCash_qq,,-42.21,9.09,-100.00,,-8.12,10.56,-4.16,-24.67,-62.23,115.20,47.27,11.91,-39.51,56.92,-1.04,-5.95,-6.11
BalanceCash_sq,,0.50,-4.60,8.28,,13.22,-6.76,23.11,-10.36,-10.05,-6.84,25.48,-15.13,1.19,-17.50,8.45,-10.92,17.34
BalanceOtherCurrentAssets,2293000,1599000,1741000,3077000,3635000,3942000,3619000,3960000,4446000,3424000,3637000,3524000,2934000,2799000,7768000,8944000,9554000,9650000
BalanceOtherCurrentAssets_yy,,,,,58.53,146.54,107.85,28.69,22.31,-13.15,0.51,-11.01,-34.01,-18.25,113.58,153.80,225.63,244.77
BalanceOtherCurrentAssets_sy,,,,,5.96,10.20,-7.80,-5.42,-7.65,-2.51,0.78,10.39,5.72,-1.70,20.73,22.38,9.06,14.84
BalanceOtherCurrentAssets_qq,,-30.27,8.88,76.74,18.14,8.45,-8.20,9.43,12.28,-22.99,6.23,-3.11,-16.74,-4.60,177.53,15.14,6.82,1.00
BalanceOtherCurrentAssets_sq,,-16.41,7.07,-6.72,26.83,-10.19,-19.78,-11.65,32.08,-2.64,-3.36,-18.44,49.29,-5.43,-13.51,0.84,19.98,1.00
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,30952000,26207000,27274000,33226000,36125000,35299000,38414000,41777000,43364000,37814000,44879000,50362000,54152000,52875000,55212000,56422000,60732000,65105000
BalanceTotalAssets_yy,,,,,16.71,34.69,40.84,25.73,20.04,7.12,16.83,20.55,24.88,39.83,23.02,12.03,12.15,23.13
BalanceTotalAssets_sy,,,,,4.30,8.30,5.32,6.36,4.02,3.25,-0.19,3.07,2.74,0.78,3.71,2.11,4.32,4.65
BalanceTotalAssets_qq,,-15.33,4.07,21.82,8.73,-2.29,8.82,8.75,3.80,-12.80,18.68,12.22,7.53,-2.36,4.42,2.19,7.64,7.20
BalanceTotalAssets_sq,,0.38,1.42,-0.38,3.42,1.93,1.70,1.07,1.09,0.89,0.49,0.93,-0.45,0.63,-0.33,-0.14,1.11,1.85
BalanceCapital,21313000,16634000,18583000,24955000,26213000,25936000,29589000,32414000,33353000,29549000,34504000,37670000,40115000,37870000,40672000,41203000,44835000,48372000
BalanceCapital_yy,,,,,22.99,55.92,59.22,29.89,27.24,13.93,16.61,16.22,20.27,28.16,17.88,9.38,11.77,27.73
BalanceCapital_sy,,,,,6.74,5.26,6.32,5.25,4.71,5.87,3.39,1.46,1.01,0.07,2.17,1.14,1.67,2.00
BalanceCapital_qq,,-21.95,11.72,34.29,5.04,-1.06,14.08,9.55,2.90,-11.41,16.77,9.18,6.49,-5.60,7.40,1.31,8.81,7.89
BalanceCapital_sq,,-0.68,3.44,2.35,2.16,-0.60,2.73,1.34,1.71,-2.80,1.18,1.16,1.46,-1.04,0.94,0.08,1.35,-0.20
BalanceShareCapital,694000,694000,694000,729000,729000,729000,729000,729000,729000,729000,729000,729000,729000,729000,729000,729000,729000,729000
BalanceShareCapital_yy,,,,,5.04,5.04,5.04,,,,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,5.04,,,,,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,
BalanceReserve,11974000,11980000,11980000,16968000,16959000,20127000,20127000,22252000,31685000,24861000,26951000,26935000,36941000,30921000,30921000,30932000,40467000,40471000
BalanceReserve_yy,,,,,41.63,68.00,68.00,31.14,86.84,23.52,33.91,21.05,16.59,24.38,14.73,14.84,9.54,30.89
BalanceReserve_sy,,,,,5.66,3.57,3.74,6.73,5.69,3.28,4.21,3.97,4.57,4.96,4.12,3.29,3.50,2.05
BalanceReserve_qq,,0.05,,41.64,-0.06,18.68,,10.56,42.39,-21.54,8.41,-0.06,37.15,-16.30,,0.04,30.83,0.01
BalanceReserve_sq,,4.65,,-0.01,,4.46,,-0.04,0.01,1.97,0.01,0.02,,2.37,,0.01,,1.35
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,5133000,5099000,4132000,3618000,4231000,3785000,3308000,3927000,3527000,3525000,5217000,7797000,9354000,9782000,6876000,6566000,4877000,5861000
BalanceNoncurrentLiabilities_yy,,,,,-17.58,-25.76,-19.93,8.54,-16.63,-6.89,57.69,98.55,165.21,177.53,31.80,-15.79,-47.86,-40.08
BalanceNoncurrentLiabilities_sy,,,,,6.10,9.52,9.97,8.54,3.35,1.15,1.04,-1.66,-2.48,0.74,-2.26,-11.65,-9.62,-9.44
BalanceNoncurrentLiabilities_qq,,-0.66,-18.96,-12.44,16.94,-10.53,-12.60,18.69,-10.18,-0.07,48.02,49.45,19.97,4.58,-29.71,-4.51,-25.72,20.18
BalanceNoncurrentLiabilities_sq,,-0.11,-2.56,1.31,-1.18,5.65,-1.06,-1.03,-2.60,-0.56,-1.77,-2.05,-2.49,-1.52,-3.92,-5.30,-0.90,0.11
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,2278000,1993000,1715000,1441000,1192000,883000,559000,479000,400000,320000,,,,,,,,
BalanceNoncurrentBorrowings_yy,,,,,-47.69,-55.68,-67.38,-66.73,-66.43,-63.81,-100.00,-100.00,-100.00,-100.00,,,,
BalanceNoncurrentBorrowings_sy,,,,,-16.54,2.74,11.99,6.62,-11.95,-23.55,-22.16,-22.43,-25.53,0.32,,,,
BalanceNoncurrentBorrowings_qq,,-12.51,-13.95,-15.98,-17.31,-25.87,-36.67,-14.28,-16.57,-20.09,-100.00,,,,,,,
