,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeOtherIncome,,,,,,,,,,,,,,,0,0,0,-3000,0,-123000,-23000,-1265000,-371000,-467000,-13476000,-6151000,-115539000,6007000,-101000,1247000,-121430000,12709000,253000,17775000,-21664000,-4418000,7963000,-4931000,13380000,-6728000,-18462000,838000,-18207000,-417000,-9608000
IncomeNetGrossProfit,-504000,-4607000,11651000,6827000,4994000,-39821000,-91384000,-138060000,-168564000,-40381000,-100744000,-57879000,-30940000,-5015000,-65898000,-23576000,-18011000,-36172000,-65011000,-27894000,-6131000,-17293000,-39509000,-22788000,-46568000,-27972000,-150130000,-86206000,-24363000,-22515000,-147006000,-22141000,-19401000,-226007000,-179508000,-26919000,-12741000,-13975000,-19535000,17243000,-47671000,-51454000,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18207000,-417000,-9608000
IncomeBeforeTaxProfit,-504000,-4607000,11651000,6827000,4994000,-39821000,-91384000,-138060000,-168564000,-40381000,-100744000,-57879000,-30940000,-5015000,-65898000,-23576000,-18011000,-36172000,-65011000,-27894000,-6131000,-17293000,-39509000,-22788000,-46568000,-27972000,-150130000,-86206000,-24363000,-22515000,-147006000,-22141000,-19401000,-226007000,-179508000,-26919000,-12741000,-13975000,-19535000,17243000,-47671000,-51454000,,,
IncomeDiscontinuedProfit,,,,,-3003000,-3538000,-165924000,-7760000,0,-631000,,,0,0,-28144000,-15978000,-1355000,-3418000,,,,,,,,,,,,,,,,-14630000,-3290000,-9695000,-3382000,-5585000,6160000,3034000,-89000,-34376000,-275507000,-123681000,-181684000
IncomeNetProfit,-39380000,-102519000,-57125000,-29805000,-3792000,-65027000,-22760000,-16926000,-34318000,-81955000,-25620000,-23269000,-18666000,-41625000,-22394000,-41689000,-27307000,-170203000,-79951000,-23672000,-23685000,-144439000,-20765000,-18736000,-205243000,-207104000,-25084000,-15609000,-12714000,-19763000,17243000,-47671000,-51454000,-14626000,-3093000,-9558000,-3248000,-5977000,6299000,2226000,806000,-34329000,-273897000,-104521000,-178591000
IncomeShareholderNetProfit,-40239000,-91842000,-57560000,-28764000,-3045000,-59878000,-22466000,-16628000,-30666000,-72719000,-24617000,-20608000,-18952000,-39167000,-23615000,-37546000,-23041000,-160163000,-54118000,-17186000,-23855000,-145705000,-20207000,-16355000,-119096000,-134057000,-22032000,-19240000,-14758000,-22377000,-1203000,2891000,-37458000,,,,,,,,,,,,
BalanceNoncurrentAssets,,694382000,805950000,,979736000,978431000,953466000,1264885000,1143296000,1093051000,959088000,974055000,1217100000,1052763000,1020507000,1025772000,1358933000,1385133000,1302934000,1237496000,1088490000,1141587000,1154031000,1097208000,1022960000,913062000,910854000,961612000,877801000,930500000,912532000,695811000,568298000,545490000,583364000,565590000,608559000,595476000,556080000,528104000,,437271000,517279000,,761148000
BalanceIntangibleAssets,750654000,726646000,1034729000,890214000,874642000,798739000,817229000,987141000,873649000,842397000,851154000,1022413000,1173027000,1060876000,1023016000,876542000,924146000,922558000,874156000,844044000,736289000,738928000,783816000,723629000,764083000,748152000,535614000,446642000,428207000,459460000,445415000,489459000,482360000,449019000,422952000,,43141000,44394000,,56139000,57034000,56705000,64686000,62996000,60586000
BalanceProperty,56065000,55131000,57506000,51239000,49882000,49176000,48942000,39240000,14088000,13669000,13528000,13685000,13552000,10333000,10259000,9577000,9328000,6295000,3341000,3334000,3302000,3143000,1941000,1926000,1720000,1707000,1728000,1720000,1694000,1678000,,0,0,,,12560000,15324000,16949000,21132000,21570000,22255000,22204000,23048000,27735000,22297000
BalanceNoncurrentReceivables,23771000,24751000,32026000,30808000,33039000,31928000,30822000,32971000,33904000,31922000,30653000,26138000,26033000,27805000,29937000,31733000,31024000,21622000,17827000,17021000,18316000,17712000,8529000,8398000,8351000,7816000,,177587000,205576000,,104733000,108107000,105477000,93572000,110010000,83901000,75752000,76262000,90015000,98799000,98117000,93487000,231305000,117441000,182197000
BalanceNoncurrInvestments,157622000,157296000,158488000,161798000,159097000,116557000,116940000,111879000,117182000,92041000,99673000,98473000,98746000,101888000,98336000,103868000,100756000,108843000,102998000,97016000,95658000,,36383000,38701000,,45156000,47312000,47689000,50766000,58506000,51667000,6328000,2385000,54703000,6779000,6340000,7204000,24247000,24617000,12734000,11261000,10302000,12297000,22219000,21700000
BalanceOtherNoncurrentAssets,21447000,24118000,24686000,26514000,28853000,31677000,31581000,36686000,,,,,,75788000,50138000,,56040000,109647000,99590000,94204000,96226000,83581000,27090000,38987000,89837000,118423000,121592000,127365000,145016000,147843000,78908000,81712000,78689000,81679000,82231000,74748000,5850000,4236000,4602000,4071000,4550000,4514000,4523000,4492000,2243000
BalanceCurrentAssets,3725000,2268000,2367000,1803000,1895000,1772000,1844000,,5066000,4559000,,8302000,9503000,9321000,3646000,2491000,3142000,1315000,2583000,2145000,1424000,1803000,2186000,415000,424000,22000,19000,35000,15000,,,,,,,,,,,,,,,,17835000
BalanceInventory,11623000,,15017000,52435000,11261000,8578000,9439000,6047000,4985000,8078000,11720000,8591000,7504000,12048000,3594000,4398000,2338000,3828000,4757000,4446000,3616000,3818000,2953000,955000,1155000,1039000,1497000,1396000,1382000,1352000,1315000,1493000,1363000,1367000,724000,707000,669000,729000,,9548000,5196000,,6952000,6256000,40761000
BalanceCurrentReceivables,47431000,58642000,53807000,40000,39000,41039000,87967000,91246000,91110000,107887000,104413000,64843000,66206000,61970000,65796000,67402000,59949000,2636000,2592000,2282000,2312000,2340000,2365000,2390000,2416000,224000,225000,376000,466000,529000,549000,550000,551000,,36566000,15589000,,23480000,37640000,32087000,23790000,19951000,13319000,13139000,21302000
BalanceCurrentInvestments,26827000,13177000,13052000,13463000,23377000,26244000,662000,683000,810000,478000,328000,129000,122000,84000,568000,80000,28000,11000,17000,29000,30000,1329000,13000,14000,10000,95000,6000,12000,,6773000,13171000,,2289000,3813000,6160000,10759000,5703000,7266000,7611000,6985000,8106000,7264000,7987000,8558000,9743000
BalanceCash,12364000,11043000,10976000,11117000,10944000,10885000,10852000,139000,605000,597000,640000,685000,742000,734000,695000,674000,678000,516000,520000,540000,544000,547000,552000,,,,,,0,0,,,29225000,22476000,13322000,11409000,11644000,13674000,13773000,14823000,13887000,11691000,11747000,260635000,198135000
BalanceOtherCurrentAssets,166987000,177152000,139527000,125930000,71721000,34875000,61121000,74644000,105249000,129265000,121518000,84733000,46937000,37559000,53561000,44736000,69305000,60246000,32772000,26928000,,770170000,856088000,,1035776000,1088078000,1053056000,1388314000,1261998000,1189954000,997587000,1024686000,1320611000,1184959000,1156922000,1167024000,1515640000,1544723000,1642477000,1517343000,1334166000,1400418000,1375789000,1297886000,1100531000
BalanceAssetsForSale,952173000,976577000,1040327000,987600000,1064279000,1038573000,785036000,617478000,586774000,639193000,612693000,679667000,657617000,590624000,556876000,,311683000,312328000,,360876000,376970000,334089000,391270000,233682000,149097000,222618000,364202000,566568000,522473000,528265000,560999000,763806000,812595000,855966000,796639000,658454000,666558000,651000000,591814000,406650000,261957000,272455000,271695000,150502000,147051000
BalanceTotalAssets,119085000,-101973000,-266171000,-292419000,-307037000,-321873000,-345774000,-338073000,-334766000,-374355000,,52860000,52860000,,58730000,58730000,61635000,63481000,121084000,128384000,215266000,304495000,327732000,505177000,602966000,661156000,1285536000,1730831000,1730831000,1902966000,2116889000,2286886000,2419395000,2419395000,2419395000,2419395000,2419395000,2419395000,2419395000,2419395000,2419395000,2419395000,2419395000,2419395000,2419395000
BalanceCapital,2419395000,2419395000,2419395000,2419395000,2419395000,,,,,,,,,,,,,,0,,25000000,37831000,1800000,,,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital,,275462000,285665000,,331269000,345137000,298545000,672766000,562096000,648802000,751597000,861511000,1065294000,872957000,841256000,830631000,514241000,142353000,206256000,-6172000,-319155000,-457178000,-567693000,-603837000,-631507000,-722082000,-694398000,-671303000,-645842000,-627597000,-640361000,-742322000,-772463000,-776679000,-756907000,-756985000,-758509000,-749605000,-748066000,-750197000,,232000,219000,,488000
BalanceOwnShares,1296000,326000,14399000,7028000,103000,26529000,27188000,-1919000,21371000,20056000,19199000,8771000,4461000,5339000,4139000,12947000,5632000,2472000,1302000,-5494000,-22224000,-23509000,-25836000,-25907000,-24083000,-28187000,-56462000,-90416000,-87016000,-93713000,-86720000,-100817000,-88889000,-122905000,-122526000,,290714000,367636000,,546380000,637310000,612537000,734861000,748414000,785287000
BalanceReserve,469733000,435683000,431973000,280890000,250597000,241976000,291571000,350707000,329084000,325554000,289062000,313563000,268486000,262650000,213985000,215731000,222232000,240210000,262003000,285779000,283361000,289993000,303044000,295278000,317091000,306213000,342301000,321238000,305704000,306477000,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172427000,248961000,,382635000,469812000,450618000,584258000,569636000,547364000,279956000,260606000,236519000,73502000,52892000
BalanceNoncurrentLiabilities,46106000,26926000,102979000,89198000,90981000,56365000,62089000,5954000,5561000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,118287000,118675000,,163745000,167498000,161919000,150603000,178778000,237923000,189777000,175077000,195454000,207388000,197705000,195870000,264645000,247728000,239886000,234573000,232697000,251474000,262532000,257089000
BalanceNoncurrentObligations,213985000,215731000,222232000,240210000,262003000,285779000,283361000,289993000,303044000,295278000,317091000,306213000,342301000,321238000,305704000,306477000,,167541000,175905000,,128032000,72502000,106104000,247784000,272874000,255467000,278707000,197613000,323989000,360225000,358004000,344850000,451492000,376960000,341017000,334972000,321779000,358392000,402761000,392780000,438311000,450096000,458318000,499594000,541574000
BalanceNoncurrentLeasing,591071000,600082000,593105000,609896000,611698000,659329000,654100000,715852000,699189000,682020000,687382000,,149000000,149864000,,65960000,56183000,52053000,116515000,131866000,126933000,89546000,101210000,78248000,73849000,71602000,79458000,78150000,72727000,64434000,71559000,80045000,86597000,82746000,83809000,115455000,118756000,121761000,129635000,151312000,159543000,165342000,156863000,231483000,234956000
BalanceNoncurrentOtherLiabilities,232555000,235889000,234305000,238728000,241302000,245012000,,13995000,25042000,,59663000,13946000,51018000,88501000,98960000,87113000,167721000,74591000,220492000,258800000,255482000,242459000,349808000,279412000,260738000,249672000,227789000,244782000,301143000,290394000,292425000,301048000,304717000,334691000,355907000,393775000,396080000,401264000,359134000,358019000,388344000,380504000,426055000,406579000,390412000
BalanceCurrentLiabilities,394045000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,3639000,308000,,548000,880000,1278000,39858000,39468000,39188000,18946000,19403000,22773000,25969000,29117000,21401000,21843000,22750000,125692000,68844000,64335000,81790000,68299000,66304000,75672000,75418000,77468000,88584000,92249000,100324000,101106000,94276000,79600000,77250000,101217000,97968000,122836000,117249000,110131000,107452000,,907000,691000,
BalanceCurrentObligations,1861000,1493000,1755000,2910000,2580000,2233000,2494000,2409000,2476000,1607000,1803000,1532000,1691000,2071000,1224000,936000,1534000,1496000,1643000,1613000,1838000,1487000,1453000,1348000,1534000,1890000,1786000,1075000,804000,706000,736000,712000,761000,785000,746000,771000,0,770170000,856088000,0,0,1035776000,1088078000,1053056000,0
BalanceCurrentLeasing,1388314000,1261998000,1189954000,0,997587000,1024686000,1320611000,0,1184959000,1156922000,1167024000,0,1515640000,1544723000,1531406000,1461304000,1282242000,1344145000,1324719000,1248546000,1053452000,905560000,929496000,985663000,928172000,999818000,974341000,724663000,556353000,527541000,575670000,551720000,611562000,593465000,530053000,496978000,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-12112000,3318000,-10591000,-6033000,-2125000,-14081000,-13586000,-2216000,-29965000,31683000,-10405000,-6288000,-3934000,-30901000,-8383000,-17065000,-22557000,-11692000,-10859000,-3142000,6184000,-7561000,-19567000,-27458000,-13665000,1966000,-6728000,-6196000,-238000,-1047000,-621000,-1017000,-2396000,-207000,-1100000,-497000,-2731000,-469000,-2507000,-1449000,108000,-54000,-339000,29000,-1961000
CashflowAmortization,828000,43000,578000,605000,644000,696000,739000,731000,764000,1076000,1068000,880000,871000,1565000,1077000,1048000,839000,1161000,906000,888000,856000,902000,890000,-568000,2249000,581000,134000,127000,105000,91000,85000,69000,42000,22000,11000,22000,18000,12000,5000,5000,5000,10000,2000,8000,3000
CashflowInvestingCashflow,-77650000,-195686000,-85446000,-100245000,-115376000,-75654000,-63857000,-79341000,-7785000,-26227000,-2577000,-4054000,-12371000,-33735000,-18772000,-75047000,-3570000,-4470000,-23844000,-18860000,-32510000,14236000,4716000,-4440000,10226000,-2756000,2984000,6750000,2819000,-1088000,359000,1178000,2064000,-100000,50000,3709000,306000,71000,133000,-107000,50000,424000,-117000,1987000,-44609000
CashflowCapex,131032000,27805000,31493000,39170000,82001000,14943000,18526000,-2375000,-17694000,129000,-102000,108000,0,0,1225000,-1092000,331000,131000,506000,952000,2219000,257000,1072000,364000,392000,258000,101000,0,206000,,,,,,,,,,,,,31260000,230243000,65450000,113263000
CashflowFinancingCashflow,193076000,35526000,91240000,51471000,18977000,4503000,208000,5290000,25853000,64266000,50982000,97793000,27561000,5214000,35273000,22845000,16344000,10925000,17734000,7350000,2765000,667000,3370000,-787000,-2749000,2148000,473000,322000,-100000,272000,1081000,120000,-866000,203000,3735000,0,0,0,,-20000,0,195940000,0,0,119456000
CashflowShareCapitalCash,0,41565000,38315000,24000000,0,1498000,11794000,40111000,64142000,148770000,55000000,49477000,64331000,48169000,46720000,16167000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58502000,37875000,-30587000,6985000,75575000,-54209000,13797000,-30086000
CashflowNetCashflow,-18773000,9959000,-12774000,-5052000,9548000,-370000,23827000,5681000,1434000,-10948000,570000,636000,-9775000,17600000,2883000,-24548000,-674000,-123000,-374000,-233000,-168000,13000,211000,483000,-432000,-35000,-19000,-327000,112000,40000,1299000,-1316000,1000,-4000,85000,-88000,6000,,,,,,,,
