,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingCosts_qq,,1353.44,-23.81,30.22,-82.20,866.55,-83.16,10.59,-16.48,311.93,-62.75,97.01,-29.67,97.73,-36.50,-99.31,4287.50,255.84,91.75,-57.70
IncomeOtherOperatingCosts_sq,,78.72,-69.21,7.18,-4.52,156.19,-59.23,29.49,-17.03,212.60,-68.92,32.63,-20.26,123.42,-73.32,69.08,27.66,364.54,-75.28,76.88
IncomeEBIT,5141000,886000,3450000,4940000,5536000,2186000,3791000,5612000,4291000,4215000,3409000,5363000,3877000,6084000,2635000,6522000,6439000,9841000,2329000,7800000
IncomeEBIT_yy,,,,,7.68,146.73,9.88,13.60,-22.49,92.82,-10.08,-4.44,-9.65,44.34,-22.70,21.61,66.08,61.75,-11.61,19.60
IncomeEBIT_sy,,,,,25.63,2.49,7.90,18.17,-20.51,1.70,-6.69,1.99,-13.34,2.20,-45.62,-0.49,8.21,21.26,0.41,31.29
IncomeEBIT_qq,,-82.77,289.39,43.19,12.06,-60.51,73.42,48.03,-23.54,-1.77,-19.12,57.32,-27.71,56.93,-56.69,147.51,-1.27,52.83,-76.33,234.91
IncomeEBIT_sq,,92.09,-77.30,150.53,-11.81,55.25,-78.59,118.91,-52.22,48.68,-82.46,112.71,-37.02,60.56,-85.38,98.68,-15.95,26.45,-93.86,130.10
IncomeFinanceIncome,-311000,-50000,360000,294000,444000,-57000,207000,900000,86000,324000,1223000,-725000,-279000,1418000,13000,26000,25000,102000,1025000,1729000
IncomeFinanceIncome_yy,,,,,242.77,-14.00,-42.50,206.12,-80.63,668.42,490.82,-180.56,-424.42,337.65,-98.94,103.59,108.96,-92.81,7784.62,6550.00
IncomeFinanceIncome_sy,,,,,68.41,-1.27,44.80,-28.90,-61.42,-79.84,-30.20,86.91,-40.89,58.97,8.86,-15.18,72.31,64.29,-27.09,-16.67
IncomeFinanceIncome_qq,,83.92,820.00,-18.33,51.02,-112.84,463.16,334.78,-90.44,276.74,277.47,-159.28,61.52,608.24,-99.08,100.00,-3.85,308.00,904.90,68.68
IncomeFinanceIncome_sq,,64.29,-12.62,2.10,-2.90,30.93,13.32,-21.47,0.40,13.24,125.00,-13.02,6.56,-11.77,5.25,-50.90,-37.17,94.53,56.54,-40.83
IncomeFinanceCosts,294000,926000,765000,637000,1348000,791000,3004000,-52000,-1123000,1603000,3684000,-872000,556000,91000,1386000,4158000,556000,2958000,2256000,-225000
IncomeFinanceCosts_yy,,,,,358.50,-14.58,292.68,-108.16,-183.31,102.65,22.64,-1576.92,149.51,-94.32,-62.38,576.83,,3150.55,62.77,-105.41
IncomeFinanceCosts_sy,,,,,100.00,47.56,19.47,-8.36,-32.18,-19.34,1.98,-17.09,-38.02,-9.24,0.86,5.73,,58.11,12.50,19.89
IncomeFinanceCosts_qq,,214.97,-17.39,-16.73,111.62,-41.32,279.77,-101.73,-2059.62,242.74,129.82,-123.67,163.76,-83.63,1423.08,200.00,-86.63,432.01,-23.73,-109.97
IncomeFinanceCosts_sq,,73.54,-21.95,-16.73,26.05,15.00,-26.37,-10.57,8.20,46.61,14.36,-25.51,11.68,91.73,-4.89,-2.91,-15.57,119.59,-17.27,24.16
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,4536000,-90000,3045000,4597000,4632000,1338000,994000,6564000,5500000,2936000,948000,5510000,3042000,7411000,1262000,2390000,5908000,6985000,1098000,9754000
IncomeNetGrossProfit_yy,,,,,2.12,1586.67,-67.36,42.79,18.74,119.43,-4.63,-16.06,-44.69,152.42,33.12,-56.62,94.21,-5.75,-13.00,308.12
IncomeNetGrossProfit_sy,,,,,13.93,0.02,-9.94,22.01,8.27,8.11,-9.14,13.90,-17.32,-3.18,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeNetGrossProfit_qq,,-101.98,3483.33,50.97,0.76,-71.11,-25.71,560.36,-16.21,-46.62,-67.71,481.22,-44.79,143.62,-82.97,89.38,147.20,18.23,-84.28,788.34
IncomeNetGrossProfit_sq,,64.12,-98.22,149.36,-28.10,37.46,-82.12,125.84,-43.45,33.18,-86.70,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,4536000,-90000,3045000,4597000,4632000,1338000,994000,6564000,5500000,2936000,948000,5510000,3042000,7411000,1262000,2390000,5908000,6985000,1098000,9754000
IncomeBeforeTaxProfit_yy,,,,,2.12,1586.67,-67.36,42.79,18.74,119.43,-4.63,-16.06,-44.69,152.42,33.12,-56.62,94.21,-5.75,-13.00,308.12
IncomeBeforeTaxProfit_sy,,,,,13.93,0.02,-9.94,22.01,8.27,8.11,-9.14,13.90,-20.01,-3.18,-39.58,-5.04,15.10,-0.68,-6.99,38.48
IncomeBeforeTaxProfit_qq,,-101.98,3483.33,50.97,0.76,-71.11,-25.71,560.36,-16.21,-46.62,-67.71,481.22,-44.79,143.62,-82.97,89.38,147.20,18.23,-84.28,788.34
IncomeBeforeTaxProfit_sq,,64.12,-98.22,149.36,-28.10,37.46,-82.12,129.04,-43.45,33.18,-86.70,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28,119.02
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,3628000,156000,2302000,3767000,3807000,1510000,728000,5578000,4507000,2479000,872000,4388000,2581000,6186000,1007000,1940000,4770000,5714000,782000,7989000
IncomeNetProfit_yy,,,,,4.93,867.95,-68.38,48.08,18.39,64.17,19.78,-21.33,-42.73,149.54,15.48,-55.79,84.81,-7.63,-22.34,311.80
IncomeNetProfit_sy,,,,,4.74,14.34,-2.86,35.62,8.75,-9.20,-2.36,24.68,-19.17,-3.50,-93.75,2.61,22.30,16.46,-14.01,27.94
IncomeNetProfit_qq,,-95.70,1375.64,63.64,1.06,-60.34,-51.79,666.21,-19.20,-45.00,-64.82,403.21,-41.18,139.67,-83.72,92.65,145.88,19.79,-86.31,921.61
IncomeNetProfit_sq,,63.97,-90.54,155.80,-30.72,32.35,-84.14,177.16,-30.50,34.70,-79.16,147.44,-41.18,18.69,-87.98,145.54,-28.24,-26.81,-67.35,112.20
IncomeShareholderNetProfit,3628000,156000,2302000,3767000,3807000,1510000,728000,5578000,4507000,2479000,872000,4388000,2581000,6186000,1007000,1940000,4770000,5714000,782000,7989000
IncomeShareholderNetProfit_yy,,,,,4.93,867.95,-68.38,48.08,18.39,64.17,19.78,-21.33,-42.73,149.54,15.48,-55.79,84.81,-7.63,-22.34,311.80
IncomeShareholderNetProfit_sy,,,,,5.76,13.74,-34.90,35.62,8.75,-9.20,-2.36,22.74,-19.17,-4.68,-78.45,2.61,22.30,21.35,-14.01,27.03
IncomeShareholderNetProfit_qq,,-95.70,1375.64,63.64,1.06,-60.34,-51.79,666.21,-19.20,-45.00,-64.82,403.21,-41.18,139.67,-83.72,92.65,145.88,19.79,-86.31,921.61
IncomeShareholderNetProfit_sq,,62.27,-85.31,124.06,-31.87,32.35,-84.14,169.73,-43.90,34.70,-72.46,139.28,-41.18,14.05,-102.63,156.75,-27.60,-26.81,-71.97,122.96
BalanceNoncurrentAssets,27677000,28024000,27361000,26658000,26170000,26718000,26094000,25847000,28079000,30676000,31703000,37244000,39749000,40148000,41253000,41991000,42043000,42538000,43985000,46069000
BalanceNoncurrentAssets_yy,,,,,-5.44,-4.66,-4.63,-3.04,7.29,14.81,21.50,44.09,41.56,30.88,30.12,12.75,5.77,5.95,6.62,9.71
BalanceNoncurrentAssets_sy,,,,,4.92,2.30,4.36,-0.42,1.68,4.28,5.83,5.53,7.12,7.67,7.68,3.42,3.23,1.21,-1.09,2.59
BalanceNoncurrentAssets_qq,,1.25,-2.37,-2.57,-1.83,2.09,-2.34,-0.95,8.64,9.25,3.35,17.48,6.73,1.00,2.75,1.79,0.12,1.18,3.40,4.74
BalanceNoncurrentAssets_sq,,3.16,0.62,0.32,0.38,-0.13,0.70,0.60,0.46,3.64,0.02,0.20,1.11,1.00,0.81,-0.10,0.68,-0.22,-0.10,0.04
BalanceIntangibleAssets,1268000,1238000,1248000,1333000,1316000,1276000,1576000,1821000,3291000,3656000,3719000,3277000,3267000,2143000,2187000,2122000,1945000,1622000,1581000,1594000
BalanceIntangibleAssets_yy,,,,,3.79,3.07,26.28,36.61,150.08,186.52,135.98,79.96,-0.73,-41.38,-41.19,-35.25,-40.47,-24.31,-27.71,-24.88
BalanceIntangibleAssets_sy,,,,,3.79,0.56,0.57,1.63,0.17,1.80,0.55,0.77,0.78,-0.03,0.31,2.31,1.30,3.71,1.48,1.42
BalanceIntangibleAssets_qq,,-2.37,0.81,6.81,-1.28,-3.04,23.51,15.55,80.72,11.09,1.72,-11.88,-0.31,-34.40,2.05,-2.97,-8.34,-16.61,-2.53,0.82
BalanceIntangibleAssets_sq,,0.41,-0.14,-0.14,-0.21,-0.27,-0.18,-0.08,-0.13,2.05,-0.02,-0.07,-0.12,0.11,-0.06,,-0.02,0.53,0.06,0.60
BalanceProperty,23429000,23069000,22485000,21927000,21641000,21203000,20484000,20161000,21106000,23401000,23944000,30506000,32917000,34144000,34721000,34745000,34553000,34861000,34787000,37709000
BalanceProperty_yy,,,,,-7.63,-8.09,-8.90,-8.05,-2.47,10.37,16.89,51.31,55.96,45.91,45.01,13.90,4.97,2.10,0.19,8.53
BalanceProperty_sy,,,,,11.85,5.11,14.26,1.94,7.18,12.00,12.06,11.82,9.57,6.90,8.49,6.17,4.97,-1.46,-0.53,4.48
BalanceProperty_qq,,-1.54,-2.53,-2.48,-1.30,-2.02,-3.39,-1.58,4.69,10.87,2.32,27.41,7.90,3.73,1.69,0.07,-0.55,0.89,-0.21,8.40
BalanceProperty_sq,,4.02,0.29,2.14,1.96,-0.06,0.82,0.84,1.97,4.36,0.16,0.96,0.20,3.35,0.74,0.24,0.51,-0.60,,1.81
BalanceNoncurrentReceivables,1887000,2171000,1987000,1903000,1848000,2110000,2072000,1985000,1814000,1637000,1882000,1589000,1666000,1947000,1958000,2095000,3034000,3277000,2430000,1758000
BalanceNoncurrentReceivables_yy,,,,,-2.07,-2.81,4.28,4.31,-1.84,-22.42,-9.17,-19.95,-8.16,18.94,4.04,31.84,82.11,68.31,24.11,-16.09
BalanceNoncurrentReceivables_sy,,,,,-2.07,-27.02,4.28,0.45,-19.31,-9.61,1.37,-17.77,2.55,-9.76,-16.63,-10.68,-18.41,-18.22,-2.65,8.48
BalanceNoncurrentReceivables_qq,,15.05,-8.48,-4.23,-2.89,14.18,-1.80,-4.20,-8.61,-9.76,14.97,-15.57,4.85,16.87,0.56,7.00,44.82,8.01,-25.85,-27.65
BalanceNoncurrentReceivables_sq,,2.02,0.27,0.71,-4.04,-27.62,-0.03,,-0.62,3.30,0.14,-0.39,1.92,-2.82,0.02,-0.05,0.70,-4.46,-1.06,1.34
BalanceNoncurrInvestments,,,,,,,,55000,,,,,,,,73000,172000,,2000000,2000000
BalanceNoncurrInvestments_yy,,,,,,,,,,,,-100.00,,,,,,,,2639.73
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,,,,,,,-3.03
BalanceNoncurrInvestments_qq,,,,,,,,,-100.00,,,,,,,,135.62,-100.00,,
BalanceNoncurrInvestments_sq,,,,,,,,,-3.91,,,,,,,,,-1.12,,
BalanceOtherNoncurrentAssets,1093000,1546000,1641000,1495000,1365000,2129000,1962000,1825000,1868000,1982000,2158000,1872000,1899000,1914000,2387000,2956000,2339000,2778000,3187000,3008000
BalanceOtherNoncurrentAssets_yy,,,,,24.89,37.71,19.56,22.07,36.85,-6.90,9.99,2.58,1.66,-3.43,10.61,57.91,23.17,45.14,33.51,1.76
BalanceOtherNoncurrentAssets_sy,,,,,8.64,23.36,11.07,14.87,3.91,-7.10,4.08,-0.27,1.66,2.07,5.66,15.61,9.24,-13.54,-17.64,-6.47
BalanceOtherNoncurrentAssets_qq,,41.45,6.14,-8.90,-8.70,55.97,-7.84,-6.98,2.36,6.10,8.88,-13.25,1.44,0.79,24.71,23.84,-20.87,18.77,14.72,-5.62
BalanceOtherNoncurrentAssets_sq,,1.92,,-4.38,1.40,7.13,-0.10,-0.80,-1.94,-3.90,1.19,-5.24,0.16,2.11,5.14,0.98,-2.60,-2.78,-0.30,-4.47
BalanceCurrentAssets,61994000,50806000,66116000,57608000,85981000,84283000,91680000,92766000,102174000,91866000,101902000,102303000,95294000,93524000,93640000,102357000,109159000,113200000,105858000,114089000
BalanceCurrentAssets_yy,,,,,38.69,65.89,38.67,61.03,18.83,9.00,11.15,10.28,-6.73,1.80,-8.11,0.05,14.55,21.04,13.05,11.46
BalanceCurrentAssets_sy,,,,,14.69,12.22,16.68,12.76,7.28,11.42,7.36,10.54,15.70,15.37,14.46,7.46,8.23,-0.56,2.02,7.16
BalanceCurrentAssets_qq,,-18.05,30.13,-12.87,49.25,-1.97,8.78,1.18,10.14,-10.09,10.92,0.39,-6.85,-1.86,0.12,9.31,6.65,3.70,-6.49,7.78
BalanceCurrentAssets_sq,,1.96,-0.32,4.86,2.56,0.44,1.13,1.77,1.38,-1.13,3.86,4.64,4.42,2.47,-2.24,0.96,1.32,3.56,-4.29,0.30
BalanceInventory,36512000,28050000,35966000,34913000,45375000,53113000,62710000,61051000,69545000,65434000,68337000,66426000,60054000,62562000,67089000,67621000,72929000,68762000,70619000,76764000
BalanceInventory_yy,,,,,24.27,89.35,74.36,74.87,53.27,23.20,8.97,8.80,-13.65,-4.39,-1.83,1.80,21.44,9.91,5.26,13.52
BalanceInventory_sy,,,,,21.27,21.65,22.04,20.17,15.72,13.26,12.12,13.56,15.00,19.65,23.00,14.97,12.25,9.27,2.24,6.26
BalanceInventory_qq,,-23.18,28.22,-2.93,29.97,17.05,18.07,-2.65,13.91,-5.91,4.44,-2.80,-9.59,4.18,7.24,0.79,7.85,-5.71,2.70,8.70
BalanceInventory_sq,,-0.79,7.34,-0.06,7.88,0.42,7.61,-4.06,13.05,-2.68,5.20,0.82,8.07,-0.22,6.13,,2.95,-4.43,2.53,-1.76
BalanceCurrentReceivables,19646000,19058000,23601000,18812000,25522000,20175000,23164000,20634000,23036000,19660000,22380000,24751000,22753000,19388000,18776000,18646000,27324000,23581000,20213000,24518000
BalanceCurrentReceivables_yy,,,,,29.91,5.86,-1.85,9.69,-9.74,-2.55,-3.38,19.95,-1.23,-1.38,-16.10,-24.67,20.09,21.63,7.65,31.49
BalanceCurrentReceivables_sy,,,,,11.45,-0.67,9.39,8.48,9.23,1.15,-0.74,2.15,1.50,19.01,1.79,12.14,2.02,-3.52,-0.08,11.46
BalanceCurrentReceivables_qq,,-2.99,23.84,-20.29,35.67,-20.95,14.82,-10.92,11.64,-14.66,13.84,10.59,-8.07,-14.79,-3.16,-0.69,46.54,-13.70,-14.28,21.30
BalanceCurrentReceivables_sq,,-5.92,7.27,5.06,3.96,-12.20,16.48,-5.29,5.26,-14.66,9.46,-2.18,4.20,9.47,-8.44,0.02,-8.72,-0.22,-3.74,1.68
BalanceCurrentInvestments,,9000,2000,45000,243000,45000,87000,485000,484000,44000,,379000,54000,1099000,1015000,126000,379000,88000,105000,368000
BalanceCurrentInvestments_yy,,,,,,400.00,4250.00,977.78,99.18,-2.22,-100.00,-21.86,-88.84,2397.73,,-66.75,601.85,-91.99,-89.66,192.06
BalanceCurrentInvestments_sy,,,,,,-57.44,-65.22,-85.84,-87.92,-43.11,-13.89,18.60,-35.72,157.82,,-93.30,-19.58,-44.64,906.26,-7.30
BalanceCurrentInvestments_qq,,,-77.78,2150.00,440.00,-81.48,93.33,457.47,-0.21,-90.91,-100.00,,-85.75,1935.19,-7.64,-87.59,200.79,-76.78,19.32,250.48
BalanceCurrentInvestments_sq,,,-0.81,3.03,0.11,-15.09,-5.35,,-12.24,10.45,-9.94,,-58.64,-4.88,-3.82,0.97,,0.94,0.15,126.53
BalanceCash,5405000,3234000,6180000,3193000,14031000,10403000,5315000,9908000,8547000,5788000,10497000,9788000,11797000,9278000,5794000,14893000,7622000,19397000,13921000,11085000
BalanceCash_yy,,,,,159.59,221.68,-14.00,210.30,-39.08,-44.36,97.50,-1.21,38.03,60.30,-44.80,52.16,-35.39,109.06,140.27,-25.57
BalanceCash_sy,,,,,-3.73,-12.50,-16.54,-5.88,-1.74,1.67,31.26,7.72,27.47,28.23,33.10,14.24,15.41,12.76,8.82,12.70
BalanceCash_qq,,-40.17,91.09,-48.33,339.43,-25.86,-48.91,86.42,-13.74,-32.28,81.36,-6.75,20.53,-21.35,-37.55,157.04,-48.82,154.49,-28.23,-20.37
BalanceCash_sq,,13.37,-31.41,5.74,-14.30,54.66,-40.07,31.26,-11.40,62.10,-26.62,21.87,-7.00,60.72,-40.71,16.36,1.37,83.89,-46.29,19.92
BalanceOtherCurrentAssets,431000,455000,367000,645000,810000,547000,404000,688000,562000,940000,688000,959000,636000,1197000,966000,1071000,905000,1372000,1000000,1354000
BalanceOtherCurrentAssets_yy,,,,,87.94,20.22,10.08,6.67,-30.62,71.85,70.30,39.39,13.17,27.34,40.41,11.68,42.30,14.62,3.52,26.42
BalanceOtherCurrentAssets_sy,,,,,4.16,12.31,1.15,3.24,-3.44,26.70,29.94,16.72,13.71,22.95,10.95,12.70,9.37,23.62,3.52,21.60
BalanceOtherCurrentAssets_qq,,5.57,-19.34,75.75,25.58,-32.47,-26.14,70.30,-18.31,67.26,-26.81,39.39,-33.68,88.21,-19.30,10.87,-15.50,51.60,-27.11,35.40
BalanceOtherCurrentAssets_sq,,-15.79,16.56,-14.29,10.49,-19.50,15.71,-4.37,2.53,-4.90,44.64,-3.83,1.36,-14.71,37.97,-2.72,11.40,1.71,12.22,-1.56
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,89671000,78830000,93477000,84266000,112151000,111001000,117774000,118613000,130253000,122542000,133605000,139547000,135043000,133672000,134893000,144348000,151202000,155738000,149843000,160158000
BalanceTotalAssets_yy,,,,,25.07,40.81,25.99,40.76,16.14,10.40,13.44,17.65,3.68,9.08,0.96,3.44,11.97,16.51,11.08,10.95
BalanceTotalAssets_sy,,,,,12.45,11.20,16.44,11.88,8.28,10.28,10.08,9.38,10.92,10.79,9.32,5.02,8.57,1.06,2.42,5.85
BalanceTotalAssets_qq,,-12.09,18.58,-9.85,33.09,-1.03,6.10,0.71,9.81,-5.92,9.03,4.45,-3.23,-1.02,0.91,7.01,4.75,3.00,-3.79,6.88
BalanceTotalAssets_sq,,3.98,1.05,3.12,2.43,1.58,0.83,1.16,0.74,1.30,3.48,2.30,2.86,2.80,-0.57,0.38,1.00,3.00,-0.64,0.74
BalanceCapital,28931000,28980000,31288000,35046000,38855000,54466000,55148000,56252000,60777000,63284000,64160000,64240000,66761000,73008000,73073000,67820000,73458000,79084000,78278000,80303000
BalanceCapital_yy,,,,,34.30,87.94,76.26,60.51,56.42,16.19,16.34,14.20,9.85,15.37,13.89,5.57,10.03,8.32,7.12,18.41
BalanceCapital_sy,,,,,12.92,8.17,8.07,7.74,13.20,12.62,13.05,6.61,8.22,9.12,8.86,6.90,6.96,7.62,1.94,4.28
BalanceCapital_qq,,0.17,7.96,12.01,10.87,40.18,1.25,2.00,8.04,4.12,1.38,0.12,3.92,9.36,0.09,-7.19,8.31,7.66,-1.02,2.59
BalanceCapital_sq,,3.47,0.42,1.93,3.75,1.99,0.31,1.65,1.66,2.70,1.14,0.65,2.78,5.12,-1.23,1.42,2.47,4.45,-1.74,1.57
BalanceShareCapital,2527000,2527000,2527000,2527000,2527000,3027000,3027000,3027000,3027000,3027000,3027000,3027000,3027000,3027000,3027000,3027000,3027000,3027000,3027000,3027000
BalanceShareCapital_yy,,,,,,19.79,19.79,19.79,19.79,,,,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,,,19.79,,,,,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,-200000,-200000,-200000,-200000,-200000,-200000,-200000,-200000,-200000,-200000,-200000,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,100.00,100.00,100.00,100.00,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,50.00,49.98,-0.03,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,100.00,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,,,
BalanceReserve,27893000,27787000,27814000,31537000,31539000,45140000,47127000,50841000,50859000,50887000,50892000,55586000,55526000,55587000,55436000,60473000,60552000,60463000,60516000,65471000
BalanceReserve_yy,,,,,13.07,62.45,69.44,61.21,61.26,12.73,7.99,9.33,9.18,9.24,8.93,8.79,9.05,8.77,9.16,8.26
BalanceReserve_sy,,,,,0.84,1.50,1.14,4.02,4.63,8.03,7.99,11.43,10.60,12.16,10.95,8.79,7.12,6.66,5.91,3.36
BalanceReserve_qq,,-0.38,0.10,13.39,0.01,43.12,4.40,7.88,0.04,0.06,0.01,9.22,-0.11,0.11,-0.27,9.09,0.13,-0.15,0.09,8.19
BalanceReserve_sq,,,,0.44,,0.01,,2.78,,,,4.21,,0.06,,4.20,,,,3.26
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,24379000,14563000,14485000,14237000,14149000,14383000,15529000,15804000,15558000,15747000,15347000,16835000,16457000,16800000,20231000,19179000,18072000,16929000,16263000,16016000
