,2009/Q1,2009/Q2,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeDistributionExpenses,27351000,24062000,23591000,24290000,50775000,53012000,52969000,56098000,59110000,,66946000,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,-13.75,0.95,,,124.53,130.95,16.42,-100.00,26.39,-100.00,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,16.67,21.80,,,19.46,16.38,17.34,12.94,15.52,-12.77,-16.64,,-14.50,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,-12.03,,2.96,109.04,4.41,-0.08,5.91,5.37,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,8.36,,30.41,-0.24,21.70,-21.22,21.57,-5.58,12.04,,7.95,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,126820000,150962000,127959000,142400000,118838000,53437000,75912000,73293000,111711000,,74604000,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,0.90,-5.67,,,-40.67,-48.53,-6.00,-100.00,-1.72,-100.00,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,-5.32,-0.29,,,12.54,4.98,12.64,1.46,-4.86,-1.48,-20.30,,-7.14,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,19.04,,11.29,-16.55,-55.03,42.06,-3.45,52.42,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,-0.96,,12.64,-3.34,32.74,-10.42,1.53,4.01,9.93,,3.00,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,334292000,299759000,318375000,260543000,260476000,315906000,323957000,376347000,350338000,816004000,441888000,649865000,536568000,139280000,467843000,404454000,369084000,376394000,397252000,300221000,299234000,175390000,217712000,211789000,201145000,181126000,174770000,136854000,165076000,166568000,167314000,187549000,117874000,189555000,216815000
IncomeGrossProfit_yy,,,-4.76,-13.08,,,1.75,44.45,34.50,158.31,36.40,72.68,53.16,-82.93,5.87,-37.76,-31.21,170.24,-15.09,-25.77,-18.93,-53.40,-45.20,-29.46,-32.78,3.27,-19.72,-35.38,-17.93,-4.69,22.26,13.61,,13.80,29.59
IncomeGrossProfit_sy,,,4.14,5.23,,,-16.57,-20.97,26.06,54.98,12.36,-9.72,-11.25,-76.32,7.91,27.59,1.08,30.43,-9.34,-18.41,6.56,15.32,20.08,15.36,-1.64,0.12,10.04,25.95,16.95,21.26,12.22,2.61,,23.07,25.24
IncomeGrossProfit_qq,,-10.33,,-18.16,-0.03,21.28,2.55,16.17,-6.91,132.92,-45.85,47.07,-17.43,-74.04,235.90,-13.55,-8.75,1.98,5.54,-24.43,-0.33,-41.39,24.13,-2.72,-5.03,-9.95,-3.51,-21.69,20.62,,0.45,12.09,-37.15,60.81,14.38
IncomeGrossProfit_sq,,-5.12,,-8.10,-33.70,26.49,-11.28,4.07,42.60,7.00,-59.83,9.73,4.27,-5.52,-4.24,5.88,-8.52,-15.94,10.01,0.62,8.56,0.18,-11.96,-3.03,13.61,0.30,-3.51,3.36,3.18,,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,157471000,151802000,329410000,162987000,-51011000,-78465000,206002000,1555644000,-88670000,-302173000,321892000,117980000,148396000,-419831000,257904000,63075000,290936000,325020000,-284420000,403668000,2833230000,-3004307000,1032321000,593025000,-569944000,-1755052000,-562596000,44481000,-181897000,-36649000,76504000,-2495000,124768000,8257000,135467000
IncomeOtherOperatingIncome_yy,,,109.19,7.37,,,-37.46,854.46,-73.83,-285.11,56.26,-92.42,267.36,-38.94,-19.88,-46.54,96.05,177.42,-210.28,539.99,873.83,-1024.34,462.96,46.91,-120.12,41.58,-154.50,-92.50,68.09,93.49,71.99,98.63,,122.53,77.07
IncomeOtherOperatingIncome_sy,,,-42.32,22.52,,,59.90,-68.74,112.22,-76.60,-27.36,55.56,-44.73,12.50,21.69,-20.35,27.60,-67.51,-45.37,-61.07,97.08,109.01,-25.29,111.08,-57.31,-20.96,61.05,7.69,-9.43,-6.69,-30.16,-11.11,,55.50,30.58
IncomeOtherOperatingIncome_qq,,-3.60,,-50.52,-131.30,-53.82,362.54,655.16,-105.70,-240.78,206.53,-63.35,25.78,-382.91,161.43,-75.54,361.26,11.72,-187.51,241.93,601.87,-206.04,134.36,-42.55,-196.11,-207.93,67.94,107.91,-508.94,,308.75,-103.26,5100.80,-93.38,1540.62
IncomeOtherOperatingIncome_sq,,-18.60,,142.86,-75.14,509.51,-56.84,-11.54,-41.94,-38.18,-72.89,95.18,-40.71,41.03,-10.81,20.07,-37.50,71.43,16.99,-36.70,85.74,79.34,-72.86,61.65,-35.58,140.00,-45.48,90.17,-52.68,,37.92,-7.04,173.77,-25.88,45.39
IncomeOtherOperatingCosts,,,-22172000,,-88137000,-80591000,-46754000,-133596000,-40854000,505512000,-10518000,188800000,183043000,175234000,66855000,154623000,34482000,315828000,63286000,28378000,68283000,80983000,61780000,188808000,191119000,-3420000,-57653000,142359000,-2169000,71095000,151545000,57574000,49642000,64226000,-50612000
IncomeOtherOperatingCosts_yy,,,,,,,-110.87,,53.65,727.26,77.50,241.32,548.04,-65.34,735.62,-18.10,-81.16,80.23,-5.34,-81.65,98.03,-74.36,-2.38,565.34,179.89,-104.22,-193.32,-24.60,-101.13,223.32,6.45,2754.48,,-9.66,-133.40
IncomeOtherOperatingCosts_sy,,,,,,,-19.80,,75.02,4.06,9.59,21.24,-9.12,-30.74,45.15,-18.10,53.36,-23.31,12.29,-46.14,-21.46,103.00,13.74,2.00,-0.65,2.39,1.82,10.55,13.95,-0.45,4.98,-11.60,,8.40,-27.00
IncomeOtherOperatingCosts_qq,,,,100.00,,8.56,41.99,-185.74,69.42,1337.36,-102.08,1895.02,-3.05,-4.27,-61.85,131.28,-77.70,815.93,-79.96,-55.16,140.62,18.60,-23.71,205.61,1.22,-101.79,-1585.55,346.92,-101.52,,113.16,-62.01,-13.78,29.38,-178.80
IncomeOtherOperatingCosts_sq,,,,94.40,,159.58,-71.21,20.52,16.86,155.18,-75.87,41.18,-34.96,116.06,-54.76,96.18,-15.06,60.80,-36.45,-0.36,19.40,149.91,-73.51,35.71,0.41,89.33,-67.01,26.08,-8.70,,29.84,-45.16,122.47,-66.26,12.72
IncomeEBIT,491763000,451561000,669957000,401433000,297602000,318032000,576713000,2065587000,302522000,8319000,774299000,579045000,501921000,-455785000,658892000,312906000,625539000,385586000,49547000,675512000,3064181000,-2909899000,1188254000,616006000,-559918000,-1570506000,-330174000,38975000,-14652000,58824000,92273000,127480000,193000000,133586000,402894000
IncomeEBIT_yy,,,36.24,-11.10,,,-13.92,414.55,1.65,-97.38,34.26,-71.97,65.91,-5578.74,-14.90,-45.96,24.63,184.60,-92.48,115.88,389.85,-854.67,2298.25,-8.81,-118.27,46.03,-127.79,-93.67,97.38,117.82,136.75,970.04,,127.09,336.63
IncomeEBIT_sy,,,-5.56,39.77,,,3.46,-21.30,70.48,16.81,-65.29,-21.14,-70.12,0.48,76.88,-32.76,3.09,-33.81,-72.46,-52.73,26.05,51.89,16.34,99.93,-14.89,13.12,42.31,46.57,-24.46,-21.30,-5.86,48.66,,54.08,23.04
IncomeEBIT_qq,,-8.17,,-40.08,-25.87,6.87,81.34,258.17,-85.35,-97.25,9207.40,-25.22,-13.32,-190.81,244.56,-52.51,99.91,-38.36,-87.15,1263.39,353.61,-194.96,140.83,-48.16,-190.89,-180.49,78.98,111.80,-137.59,,56.86,38.16,51.40,-30.78,201.60
IncomeEBIT_sq,,-53.76,,70.09,-46.05,109.30,-24.61,6.83,51.18,-58.11,-60.73,110.92,-25.85,-56.63,70.86,-5.43,-35.51,11.81,42.38,-27.88,95.00,-11.52,-16.33,21.89,-12.72,15.92,-41.76,34.91,-25.90,,53.59,15.43,51.40,-30.78,23.09
IncomeFinanceIncome,378110000,25012000,102296000,-246654000,245576000,532115000,50196000,83630000,-685581000,260085000,35038000,-218948000,238324000,24535000,21919000,25111000,20815000,10076000,29266000,115577000,-107214000,-274964000,60344000,-121315000,96970000,-54549000,83123000,-79301000,-65767000,-60639000,28592000,6326000,-7537000,11056000,606000
IncomeFinanceIncome_yy,,,-72.95,-1086.12,,,-50.93,133.91,-379.17,-51.12,-30.20,-361.81,134.76,-90.57,-37.44,111.47,-91.27,-58.93,33.52,360.26,-615.07,-2829.00,106.19,-204.96,190.45,80.16,37.75,34.63,-167.82,-172.95,136.06,109.62,,118.23,-97.88
IncomeFinanceIncome_sy,,,4.92,3.94,,,-40.00,11.05,-30.24,72.39,37.69,-49.48,-0.49,-15.88,-67.33,2.03,-82.36,-45.85,-17.04,-17.20,-5.08,49.11,95.99,-15.74,-1.89,-12.08,-27.34,20.72,50.00,90.88,-20.91,-58.15,,-19.18,-0.93
IncomeFinanceIncome_qq,,-93.38,,-341.12,199.56,116.68,-90.57,66.61,-919.78,137.94,-86.53,-724.89,208.85,-89.71,-10.66,14.56,-17.11,-51.60,190.47,294.92,-192.76,-156.46,121.95,-301.04,179.93,-156.25,252.38,-195.40,17.07,,147.15,-77.88,-219.14,246.69,-94.52
IncomeFinanceIncome_sq,,-31.34,,35.78,66.04,-3.46,80.21,29.45,7.96,-8.43,-23.80,-49.13,100.10,-29.29,-36.96,-5.71,-27.84,50.00,45.88,10.00,-30.26,25.62,99.36,-16.27,-6.31,20.34,1.88,11.33,-32.86,,-12.08,-32.46,74.12,-50.65,1.27
IncomeFinanceCosts,226747000,252501000,509653000,-56389000,19842000,492243000,498529000,969668000,-423626000,246112000,764689000,-103594000,180514000,223782000,148870000,242173000,236829000,241252000,179845000,228656000,191657000,186641000,182020000,190330000,187916000,182127000,123579000,113461000,116864000,112829000,107628000,98144000,82888000,69045000,75700000
IncomeFinanceCosts_yy,,,124.77,-122.33,,,-2.18,1819.61,-2235.03,-50.00,53.39,-110.68,142.61,-9.07,-80.53,333.77,31.20,7.81,20.81,-5.58,-19.07,-22.64,1.21,-16.76,-1.95,-2.42,-32.11,-40.39,-37.81,-8.70,-5.14,-16.02,,-38.81,-29.67
IncomeFinanceCosts_sy,,,-19.84,0.49,,,10.46,0.35,111.50,21.27,5.05,-12.18,-25.74,-9.22,8.02,18.39,-28.02,-39.63,-17.30,-5.58,20.69,6.19,-20.37,-4.13,0.40,4.26,-13.16,19.08,-34.43,-0.87,-21.28,80.29,,5.62,33.33
IncomeFinanceCosts_qq,,11.36,,-111.06,135.19,2380.85,1.28,94.51,-143.69,158.10,210.71,-113.55,274.25,23.97,-33.48,62.67,-2.21,1.87,-25.45,27.14,-16.18,-2.62,-2.48,4.57,-1.27,-3.08,-32.15,-8.19,3.00,,-4.61,-8.81,-15.54,-16.70,9.64
IncomeFinanceCosts_sq,,-13.78,,13.67,-18.03,120.28,0.69,-5.61,13.82,-14.72,-10.71,-21.61,-3.95,23.97,19.21,27.54,-50.30,54.10,7.83,2.38,-7.10,59.52,-23.80,-0.02,-1.27,18.84,-14.08,19.76,-35.30,,1.98,-3.10,8.78,-2.91,24.64
IncomeOtherIncome,,,,,,,,,,,,,,-146549000,-43180000,48960000,-181219000,-81566000,68039000,-449112000,-1866817000,919385000,-321308000,-98995000,-624172000,435030000,-118580000,100977000,-187917000,565964000,127091000,23885000,91088000,39017000,101346000
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,44.34,257.57,-1017.31,-930.14,1227.17,-572.24,77.96,66.56,-52.68,63.09,202.00,69.89,577.28,25.86,112.71,,-93.11,-20.26
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,91.04,69.11,100.00,-96.32,-206.01,4.96,77.96,-100.00,-52.68,63.09,7.34,84.94,13.19,25.86,76.62,,-93.11,-20.26
IncomeOtherIncome_qq,,,,,,,,,,,,,,,70.54,213.39,-470.14,54.99,183.42,-760.08,-315.67,149.25,-134.95,69.19,-530.51,169.70,-127.26,185.15,-286.10,,-77.54,-81.21,281.36,-57.17,159.75
IncomeOtherIncome_sq,,,,,,,,,,,,,,,-0.75,-63.53,130.43,27.73,-13.28,40.38,-86.74,-100.00,36.56,82.14,-31.48,28.17,-53.52,9.78,-36.92,,-77.54,47.08,215.40,-57.17,61.53
IncomeNetGrossProfit,643126000,224073000,262600000,211168000,523336000,357904000,128380000,1179549000,40567000,22292000,44648000,463691000,559731000,-801582000,488761000,144804000,228306000,72844000,-32993000,113321000,898493000,-2452120000,745270000,205365000,-1275037000,-1372152000,-489210000,-52809000,-385200000,451320000,140328000,59547000,193663000,114614000,429147000
IncomeNetGrossProfit_yy,,,-59.17,-5.76,,,-51.11,458.58,-92.25,-93.77,-65.22,-60.69,1279.78,-3695.90,994.69,-68.77,-59.21,109.09,-106.75,-21.74,293.55,-3466.28,2358.84,81.22,-241.91,44.04,-165.64,-125.71,69.79,192.25,365.73,115.46,,-74.60,205.82
IncomeNetGrossProfit_sy,,,37.06,33.21,,,-11.89,-35.27,-59.16,-15.56,-65.22,-17.56,-67.69,-0.76,78.71,-68.77,12.02,-58.16,-71.80,-33.65,25.56,8.64,47.17,96.76,7.44,21.98,55.87,9.48,17.91,-37.63,56.91,53.67,,65.77,13.12
IncomeNetGrossProfit_qq,,-65.16,,-19.59,147.83,-31.61,-64.13,818.80,-96.56,-45.05,100.29,938.54,20.71,-243.21,160.97,-70.37,57.67,-68.09,-145.29,443.47,692.87,-372.91,130.39,-72.44,-720.86,-7.62,64.35,89.21,-629.41,,-68.91,-57.57,225.23,-40.82,274.43
IncomeNetGrossProfit_sq,,-45.22,,-5.85,-2.70,-0.29,-35.47,15.29,45.49,-28.50,16.28,64.15,-58.17,-37.10,43.36,-55.65,19.61,13.16,47.92,-5.70,79.70,-25.48,3.63,31.43,-20.72,35.10,-43.68,31.24,-9.28,,76.05,-12.42,55.62,-40.82,-8.56
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,643126000,224073000,262600000,211168000,523336000,357904000,128380000,1179549000,40567000,22292000,44648000,463691000,559731000,-801582000,488761000,144804000,228306000,72844000,-32993000,113321000,898493000,-2452120000,745270000,205365000,-1275037000,-1372152000,-489210000,-52809000,-385200000,451320000,140328000,59547000,193663000,114614000,429147000
IncomeBeforeTaxProfit_yy,,,-59.17,-5.76,,,-51.11,458.58,-92.25,-93.77,-65.22,-60.69,1279.78,-3695.90,994.69,-68.77,-59.21,109.09,-106.75,-21.74,293.55,-3466.28,2358.84,81.22,-241.91,44.04,-165.64,-125.71,69.79,192.25,365.73,115.46,,-74.60,205.82
IncomeBeforeTaxProfit_sy,,,37.06,33.21,,,-11.89,-35.27,-59.16,-15.56,-65.22,-17.56,-67.69,-0.76,78.71,-68.77,12.02,-58.16,-71.80,-33.65,25.56,8.64,47.17,96.76,7.44,21.98,55.87,9.48,17.91,-37.63,56.91,53.67,,65.77,13.12
IncomeBeforeTaxProfit_qq,,-65.16,,-19.59,147.83,-31.61,-64.13,818.80,-96.56,-45.05,100.29,938.54,20.71,-243.21,160.97,-70.37,57.67,-68.09,-145.29,443.47,692.87,-372.91,130.39,-72.44,-720.86,-7.62,64.35,89.21,-629.41,,-68.91,-57.57,225.23,-40.82,274.43
IncomeBeforeTaxProfit_sq,,-45.22,,-5.85,-2.70,-0.29,-35.47,15.29,45.49,-28.50,16.28,64.15,-58.17,-37.10,43.36,-55.65,19.61,13.16,47.92,-5.70,79.70,-25.48,3.63,31.43,-20.72,35.10,-43.68,31.24,-9.28,,76.05,-12.42,55.62,-40.82,-8.56
IncomeDiscontinuedProfit,,,,,,,,,,,,,,414986000,179574000,51583000,98961000,113162000,,42953000,99126000,-56227000,24217000,-32096000,-4284000,-31006000,-432876000,-79809000,-311589000,-88616000,55469000,-721882000,-2263531000,-14250000,637000
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,-72.73,-100.00,-16.73,0.17,-149.69,,-174.72,-104.32,44.86,-1887.52,-148.66,-7173.75,79.53,169.50,-131.68,,83.92,-98.85
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,-93.93,-398.54,-16.73,100.00,-100.00,,145.00,-100.00,44.86,98.44,-100.00,97.31,85.94,86.22,-100.00,,100.00,100.00
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,-56.73,-71.28,91.85,14.35,-100.00,,130.78,-156.72,143.07,-232.54,86.65,-623.80,-1296.11,81.56,-290.42,,162.59,-1401.42,-213.56,99.37,104.47
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,-28.36,-39.96,90.65,14.35,-41.99,,119.97,-133.46,52.19,122.14,-11.58,-108.35,100.00,-287.34,98.84,,-321.43,100.00,-148.56,-0.32,104.47
IncomeNetProfit,566777000,115673000,236340000,196996000,476311000,331483000,112972000,1029132000,18303000,7276000,37598000,393983000,445200000,-413975000,508195000,188724000,233889000,-181584000,-25086000,39683000,506409000,-2018138000,477216000,77601000,-1240150000,-1076787000,-1027400000,-11692000,-716491000,340538000,103832000,-708394000,-1993507000,4011000,371870000
IncomeNetProfit_yy,,,-58.30,70.30,,,-52.20,422.41,-96.16,-97.80,-66.72,-61.72,2332.40,-5789.49,1251.66,-52.10,-47.46,56.14,-104.94,-78.97,116.52,-1011.41,2002.29,95.55,-344.89,46.64,-315.29,-115.07,42.23,133.15,988.05,1.13,,-98.82,258.14
IncomeNetProfit_sy,,,55.73,48.53,,,-8.36,-27.13,-53.02,56.14,-51.06,-39.96,-67.55,-11.50,78.53,-49.15,47.88,-13.16,-70.86,-48.66,-10.47,14.01,32.93,84.25,15.48,51.39,54.90,74.51,14.18,5.02,11.68,44.06,,44.78,20.03
IncomeNetProfit_qq,,-79.59,,-16.65,141.79,-30.41,-65.92,810.96,-98.22,-60.25,416.73,947.89,13.00,-192.99,222.76,-62.86,23.93,-177.64,86.18,258.18,1176.14,-498.52,123.65,-83.74,-1698.11,13.17,4.59,98.86,-6027.95,,-69.51,-782.25,-181.41,100.20,9171.95
IncomeNetProfit_sq,,-45.64,,-5.40,65.56,0.21,-17.66,12.03,57.87,-16.13,-46.38,36.40,-7.34,-45.73,-17.78,-62.86,26.64,7.40,24.88,24.26,82.52,-17.29,7.26,15.62,17.13,85.44,-57.27,23.52,-10.41,,73.45,-1.63,30.86,-32.24,-2.23
IncomeShareholderNetProfit,354433000,-2796000,238007000,197643000,484109000,330443000,126129000,1014625000,26698000,1686000,40149000,392895000,442528000,-411743000,504771000,182219000,227722000,-178550000,-23249000,46467000,518956000,-2022816000,480726000,72346000,-1231229000,-1072877000,-1028672000,-9440000,-712575000,342960000,111529000,-706904000,-1994633000,8766000,374823000
IncomeShareholderNetProfit_yy,,,-32.85,7168.43,,,-47.01,413.36,-94.49,-99.49,-68.17,-61.28,1557.55,-24528.12,1157.24,-53.62,-48.54,56.64,-104.61,-74.50,127.89,-1032.91,2167.70,55.69,-337.25,46.96,-313.98,-113.05,42.12,133.34,1281.50,0.80,,-97.44,236.08
IncomeShareholderNetProfit_sy,,,66.14,48.79,,,-7.47,-27.26,-51.74,56.36,-48.39,-20.47,-70.24,-16.36,78.53,-49.15,67.04,-13.16,-64.85,-48.66,-12.17,13.85,27.26,75.17,20.02,41.42,46.07,74.50,7.03,5.02,11.68,44.06,,44.88,10.99
IncomeShareholderNetProfit_qq,,-100.79,,-16.96,144.94,-31.74,-61.83,704.44,-97.37,-93.69,2282.00,878.59,12.63,-193.04,222.59,-63.90,24.97,-178.41,86.98,299.86,1016.83,-489.79,123.77,-84.95,-1801.85,12.86,4.12,99.08,-7448.79,,-67.48,-733.83,-182.16,100.44,4175.72
IncomeShareholderNetProfit_sq,,-45.65,,-5.40,49.44,-7.24,-17.72,19.12,57.87,6.56,-25.16,10.43,-12.28,-45.73,-17.68,-63.90,35.86,2.09,24.88,8.44,71.56,-14.28,1.50,15.62,17.13,85.44,-57.27,23.52,-10.42,,73.45,-3.66,37.18,-35.04,-7.42
BalanceNoncurrentAssets,,,41763452000,43362244000,,40955919000,42128072000,46749987000,,47062865000,46193035000,46499617000,46165004000,44225947000,,44984551000,45816836000,34969685000,34798251000,34174346000,33934043000,31361671000,32720338000,31068612000,30610008000,27501534000,,,,20752635000,21197673000,22154725000,20864573000,20989898000,19032949000
BalanceNoncurrentAssets_yy,,,,,,,0.87,7.81,,14.91,9.65,-0.54,,-6.03,-100.00,-3.26,-0.75,-20.93,,-24.03,-25.94,-10.32,-5.97,-9.09,-9.80,-12.31,-100.00,-100.00,-100.00,,,,,1.14,-10.21
BalanceNoncurrentAssets_sy,,,,,,,8.43,7.81,,10.25,5.96,9.03,,-0.23,7.14,6.20,-0.75,2.96,,3.69,0.79,0.21,0.64,4.15,0.28,-3.38,-3.12,-1.81,-1.08,,,,,6.44,4.34
BalanceNoncurrentAssets_qq,,,,3.83,-100.00,,2.86,10.97,-100.00,,-1.85,0.66,-0.72,-4.20,-100.00,,1.85,-23.68,-0.49,-1.79,-0.70,-7.58,4.33,-5.05,-1.48,-10.16,-100.00,,,,2.14,4.51,-5.82,0.60,-9.32
BalanceNoncurrentAssets_sq,,,,6.98,-100.00,,0.57,1.14,-100.00,,-1.70,2.42,-4.87,-1.92,1.77,,0.22,0.23,0.44,,0.56,0.07,-0.12,0.79,0.40,0.13,0.86,,,,1.89,1.78,1.19,0.80,0.70
BalanceIntangibleAssets,,,859403000,868698000,,819454000,846806000,927946000,,1176203000,1015823000,1055388000,1175999000,1140307000,,1196692000,1244594000,920143000,935463000,887017000,721534000,714679000,688393000,626327000,599343000,460500000,,,,108833000,106690000,108658000,104506000,105086000,108137000
BalanceIntangibleAssets_yy,,,,,,,-1.47,6.82,,43.53,19.96,13.73,,-3.05,-100.00,13.39,5.83,-19.31,,-25.88,-42.03,-22.33,-26.41,-29.39,-16.93,-35.57,-100.00,-100.00,-100.00,,,,,-3.44,1.36
BalanceIntangibleAssets_sy,,,,,,,-2.16,-4.08,,-1.15,-4.85,-7.50,,-7.52,-7.26,-0.46,-27.57,-11.78,,-17.12,-19.46,-15.12,-20.53,-25.05,-14.72,-23.96,-9.23,-6.34,-10.21,,,,,-0.46,0.01
BalanceIntangibleAssets_qq,,,,1.08,-100.00,,3.34,9.58,-100.00,,-13.64,3.89,11.43,-3.03,-100.00,,4.00,-26.07,1.66,-5.18,-18.66,-0.95,-3.68,-9.02,-4.31,-23.17,-100.00,,,,-1.97,1.85,-3.82,0.56,2.90
BalanceIntangibleAssets_sq,,,,0.01,-100.00,,,-0.64,-100.00,,-1.58,-2.24,-14.29,-4.12,-6.34,,-3.94,-6.37,-0.24,-5.57,-2.84,-0.87,-3.94,-0.44,-1.22,-5.88,-0.13,,,,-0.48,,-0.34,-0.19,
BalanceProperty,,,35777729000,36045422000,,35413223000,36728672000,40780703000,,42708607000,42064685000,42383266000,41974876000,40025369000,,40802780000,41548730000,27894333000,27769019000,28048462000,27979850000,25428304000,26741748000,25771482000,25272195000,23691026000,,,,16498443000,16913481000,17767505000,17247931000,17443492000,18360805000
BalanceProperty_yy,,,,,,,2.66,13.14,,20.60,14.53,3.93,,-6.28,-100.00,-3.73,-1.02,-30.31,,-31.26,-32.66,-8.84,-3.70,-8.12,-9.68,-6.83,-100.00,-100.00,-100.00,,,,,5.73,8.56
