,2006/Q3,2006/Q4,2007/Q3,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38703000,10437000,10179000,11912000,16800000,13323000,13294000,14815000,17347000,15107000
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.59,27.65,30.60,24.37,3.26,13.39
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-48.45,53.49,35.61,-31.60,3.26,13.39
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.03,-2.47,17.03,41.03,-20.70,-0.22,11.44,17.09,-12.91
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.52,-2.47,28.82,70.52,-13.43,-19.70,63.97,17.09,-12.57
IncomeAdministrativExpenses,243000,21000,619000,693000,1316000,-69000,1984000,1035000,1145000,977000,1303000,1236000,1139000,1558000,2639000,2490000,3175000,3657000,4824000,4948000,5465000,6467000,6426000,6546000,6572000,7383000,9029000,7673000,8016000,8495000,9535000,9216000,9729000,9635000,-15526000,3594000,3095000,3998000,4736000,4312000,3334000,4372000,5327000,3082000
IncomeAdministrativExpenses_yy,,,154.73,,,-111.15,,49.35,-12.99,1515.94,-34.32,19.42,-0.52,59.47,102.53,101.46,178.75,134.72,82.80,98.71,72.13,76.84,33.21,32.30,20.26,14.16,40.51,17.22,21.97,15.06,5.60,20.11,21.37,13.42,-262.83,-61.00,-68.19,-58.51,130.50,19.98,7.72,9.35,12.48,-28.53
IncomeAdministrativExpenses_sy,,,154.73,,,39.10,,-4.53,-5.70,-1.61,-27.98,-20.93,-1.05,4.13,12.62,28.74,26.82,10.37,7.62,2.16,6.12,3.72,-1.34,-2.03,7.30,17.17,8.08,16.28,2.43,-11.38,-0.22,-1.40,3.70,10.76,2.01,4.34,5.91,-1.87,-3.43,-8.28,-8.64,-2.30,10.10,5.35
IncomeAdministrativExpenses_qq,,-91.36,,,89.90,-105.24,2975.36,-47.83,10.63,-14.67,33.37,-5.14,-7.85,36.79,69.38,-5.65,27.51,15.18,31.91,2.57,10.45,18.33,-0.63,1.87,0.40,12.34,22.29,-15.02,4.47,5.98,12.24,-3.35,5.57,-0.97,-261.14,123.15,-13.88,29.18,18.46,-8.95,-22.68,31.13,21.84,-42.14
IncomeAdministrativExpenses_sq,,61.73,,,5.04,5.07,25.27,-27.55,6.78,-0.72,4.32,-12.88,9.10,-1.46,15.25,-3.13,1.23,-3.84,13.55,-10.56,4.01,-4.98,5.84,-0.11,13.42,-9.69,20.12,-9.00,5.03,-6.26,14.30,-7.10,7.17,2.65,-3.81,0.46,-3.67,-2.49,2.63,-9.20,5.49,-8.16,9.94,-9.58
IncomeGrossProfit,790000,1159000,148000,1672000,1665000,-102000,3713000,2749000,2894000,2603000,3506000,3934000,3152000,4769000,4512000,4947000,5383000,10782000,9782000,12472000,6722000,12108000,14619000,14416000,15720000,13756000,13433000,12560000,17347000,18921000,16399000,15430000,11477000,14744000,27060000,13560000,-1127000,10843000,4534000,16610000,13400000,13655000,2887000,27321000
IncomeGrossProfit_yy,,,-81.27,,,-168.92,,64.41,73.81,2651.96,-5.58,43.11,8.91,83.21,28.69,25.75,70.78,126.09,116.80,152.11,24.87,12.30,49.45,15.59,133.86,13.61,-8.11,-12.87,10.35,37.55,22.08,22.85,-33.84,-22.08,65.01,-12.12,-109.82,-26.46,-83.24,22.49,1289.00,25.93,-36.33,64.49
IncomeGrossProfit_sy,,,36.36,,,-149.52,,-9.07,25.49,-2.69,3.41,36.75,-15.27,38.20,-10.96,22.26,23.45,-8.60,-14.35,-2.05,13.02,13.36,28.19,24.65,19.37,19.34,1.44,24.22,10.62,25.91,9.79,7.26,-2.32,-6.21,-7.36,0.16,7.53,6.94,-5.60,7.65,4.09,17.09,9.52,9.67
IncomeGrossProfit_qq,,46.71,,,-0.42,-106.13,3740.20,-25.96,5.27,-10.06,34.69,12.21,-19.88,51.30,-5.39,9.64,8.81,100.30,-9.27,27.50,-46.10,80.12,20.74,-1.39,9.05,-12.49,-2.35,-6.50,38.11,9.07,-13.33,-5.91,-25.62,28.47,83.53,-49.89,-108.31,1062.11,-58.19,266.34,-19.33,1.90,-78.86,846.35
IncomeGrossProfit_sq,,-6.91,,,-0.67,4.08,5.46,4.95,21.37,-23.51,-2.97,33.55,-2.02,5.60,-6.94,15.06,-2.62,-2.48,-10.19,14.53,-13.48,15.38,3.61,-10.03,4.22,-0.24,-2.35,-0.32,23.08,-3.75,-3.25,-1.99,6.65,1.16,-2.70,-2.23,-16.19,13.22,-22.60,17.71,-7.25,11.32,-24.82,31.39
IncomeOtherOperatingIncome,0,22000,22000,18000,-5000,224000,-76000,12000,23000,0,28000,0,0,0,55000,38000,226000,264000,269000,104000,89000,155000,2312000,,60000,0,141000,6000,50000,44000,155000,154000,529000,385000,-638000,163000,167000,101000,-263000,87000,76000,119000,344000,266000
IncomeOtherOperatingIncome_yy,,,,,,918.18,,-33.33,560.00,-100.00,136.84,-100.00,-100.00,,96.43,,,,389.09,173.68,-60.62,-41.29,759.48,-100.00,-32.58,-100.00,-93.90,,-16.67,,9.93,2466.67,958.00,775.00,-511.61,5.84,-68.43,-73.77,58.78,-46.63,-54.49,17.82,230.80,205.75
IncomeOtherOperatingIncome_sy,,,,,,81.37,,29.37,,133.33,-32.00,43.85,-60.90,,28.81,,,,-5.39,-2.68,47.45,-19.67,-35.21,-9.42,-42.90,-6.84,34.72,,0.57,,-22.40,-57.50,-63.82,-58.74,-23.41,18.36,6.45,-55.87,42.54,-0.66,-35.94,7.67,-52.63,12.22
IncomeOtherOperatingIncome_qq,,,,,-127.78,4580.00,-133.93,115.79,91.67,-100.00,,-100.00,,,,-30.91,494.74,16.81,1.89,-61.34,-14.42,74.16,1391.61,-100.00,,-100.00,,-95.74,733.33,-12.00,252.27,-0.65,243.51,-27.22,-265.71,125.55,2.45,-39.52,-360.40,133.08,-12.64,56.58,189.08,-22.67
IncomeOtherOperatingIncome_sq,,,,,15.46,15.38,-49.57,-15.16,31.58,24.52,,8.82,,,,-29.25,19.92,16.81,32.79,-24.41,35.58,-15.20,8.48,-33.33,,-0.96,,-43.04,-11.76,-50.00,83.33,-39.08,-0.28,-11.48,101.93,-29.46,23.26,-75.00,157.14,-33.42,-2.16,-22.32,106.12,-29.55
IncomeOtherOperatingCosts,78000,463000,-347000,154000,204000,0,563000,99000,150000,520000,495000,1134000,330000,286000,343000,160000,39000,427000,725000,367000,-220000,1041000,416000,37000,44000,6000,381000,81000,72000,67000,214000,54000,204000,111000,-145000,251000,11000,2115000,327000,437000,-340000,105000,4541000,240000
IncomeOtherOperatingCosts_yy,,,-544.87,,,100.00,,-35.71,-26.47,,-12.08,1045.45,120.00,-45.00,-30.71,-85.89,-88.18,49.30,111.37,129.37,-664.10,143.79,-42.62,-89.92,120.00,-99.42,-8.41,118.92,63.64,1016.67,-43.83,-33.33,183.33,65.67,-167.76,364.81,-94.61,1805.41,325.52,74.10,-3190.91,-95.04,1288.69,-45.08
IncomeOtherOperatingCosts_sy,,,400.00,,,75.36,,70.28,50.57,,-30.49,-17.39,-42.17,-46.30,-4.42,-77.57,56.29,30.20,29.91,128.97,34.38,3.12,-58.73,-54.17,-3.95,12.72,27.37,-2.84,-8.87,-1.95,9.88,-33.33,-30.00,9.55,-10.75,-5.07,-0.38,-33.33,-15.74,23.23,-2.31,,65.73,15.30
IncomeOtherOperatingCosts_qq,,493.59,,,32.47,-100.00,,-82.42,51.52,246.67,-4.81,129.09,-70.90,-13.33,19.93,-53.35,-75.62,994.87,69.79,-49.38,-159.95,573.18,-60.04,-91.11,18.92,-86.36,6250.00,-78.74,-11.11,-6.94,219.40,-74.77,277.78,-45.59,-230.63,273.10,-95.62,19127.27,-84.54,33.64,-177.80,130.88,4224.76,-94.71
IncomeOtherOperatingCosts_sq,,-34.62,,,27.27,-18.49,,-77.97,52.33,9.01,54.55,-57.78,-26.65,-15.00,118.58,-53.97,266.94,-47.62,166.67,-55.04,15.19,-23.33,74.06,-74.29,96.81,-27.52,92.68,-81.82,11.06,-23.44,38.91,-56.56,26.89,12.61,1.28,-48.28,0.35,-50.00,54.50,-56.71,4.99,-18.93,204.27,-88.93
IncomeEBIT,712000,718000,517000,1536000,1456000,122000,3074000,2662000,2767000,2083000,3039000,2800000,2822000,4483000,4224000,4825000,5570000,10619000,9326000,12209000,7031000,11222000,16515000,14379000,15736000,13750000,13193000,12485000,17325000,18898000,16340000,15530000,11802000,15018000,26567000,13472000,-971000,8829000,3944000,16260000,13816000,13669000,-1310000,27347000
IncomeEBIT_yy,,,-27.39,,,-76.40,,73.31,90.04,1607.38,-1.14,5.18,1.99,115.22,38.99,72.32,97.38,136.87,120.79,153.04,26.23,5.68,77.09,17.77,123.81,22.53,-20.12,-13.17,10.10,37.44,23.85,24.39,-31.88,-20.53,62.59,-13.25,-108.23,-41.21,-85.15,20.69,1522.86,54.82,-133.22,68.19
IncomeEBIT_sy,,,-1.94,,,-76.40,,-20.14,25.18,-4.39,-20.00,43.49,8.22,64.76,24.63,36.14,48.30,15.67,-17.19,-18.38,35.66,5.95,69.72,26.20,15.16,8.48,12.76,48.59,32.59,25.89,-5.83,-12.07,-3.26,-74.70,-1.22,10.05,2.51,29.42,-46.64,11.74,7.84,18.72,-5.40,-8.93
IncomeEBIT_qq,,0.84,,,-5.21,-91.62,2419.67,-13.40,3.94,-24.72,45.90,-7.86,0.79,58.86,-5.78,14.23,15.44,90.65,-12.18,30.91,-42.41,59.61,47.17,-12.93,9.44,-12.62,-4.05,-5.37,38.77,9.08,-13.54,-4.96,-24.01,27.25,76.90,-49.29,-107.21,1009.27,-55.33,312.27,-15.03,-1.06,-109.58,2187.56
IncomeEBIT_sq,,0.84,,,-66.42,30.95,3.80,-29.55,3.12,-28.96,22.43,45.65,-1.17,29.10,-36.45,30.04,-10.44,15.49,-28.14,39.90,-2.44,13.76,2.16,-0.64,9.44,1.98,-5.94,18.51,38.77,-14.67,-11.87,19.83,6.96,-32.06,26.73,-3.20,-5.02,3.29,-35.05,36.44,-14.79,16.94,-53.56,55.78
IncomeFinanceIncome,0,6000,141000,21000,20000,0,22000,60000,-35000,22000,10000,9000,8000,184000,61000,1399000,1651000,1034000,364000,44000,1636000,395000,1341000,487000,265000,127000,405000,352000,305000,367000,-311000,211000,196000,201000,481000,385000,852000,3006000,903000,221000,877000,131000,-523000,1457000
IncomeFinanceIncome_yy,,,,,,-100.00,,185.71,-275.00,,-54.55,-85.00,122.86,736.36,510.00,15444.44,20537.50,461.96,496.72,-96.85,-0.91,-61.80,268.41,1006.82,-83.80,-67.85,-69.80,-27.72,15.09,188.98,-176.79,-40.06,-35.74,-45.23,254.66,82.46,334.69,1395.52,87.73,-42.60,2.93,-95.64,-157.92,559.28
IncomeFinanceIncome_sy,,,,,,1.80,,161.32,-21.74,,45.81,-72.97,18.76,117.71,162.50,103.94,207.55,84.87,21.10,10.20,41.26,-21.18,100.75,-6.59,-19.09,-37.71,-25.76,-27.72,-8.56,49.03,-13.68,-31.58,25.72,-41.77,-33.28,-0.40,-4.28,24.77,-36.03,3.81,-9.09,-12.96,-32.61,-11.38
IncomeFinanceIncome_qq,,,,,-4.76,-100.00,,172.73,-158.33,162.86,-54.55,-10.00,-11.11,2200.00,-66.85,2193.44,18.01,-37.37,-64.80,-87.91,3618.18,-75.86,239.49,-63.68,-45.59,-52.08,218.90,-13.09,-13.35,20.33,-184.74,167.85,-7.11,2.55,139.30,-19.96,121.30,252.82,-69.96,-75.53,296.83,-85.06,-499.24,378.59
IncomeFinanceIncome_sq,,,,,44.83,-8.16,,76.84,-72.57,7.12,-8.82,12.50,-15.90,47.83,32.65,3.00,18.01,-15.54,-34.13,53.19,-1.34,-29.16,110.52,-30.52,20.79,-51.96,21.82,-8.22,36.63,-1.27,-15.00,-32.43,0.90,-28.08,15.78,-3.51,26.92,-9.09,-10.24,1.46,-12.92,,-13.52,-3.25
IncomeFinanceCosts,,1000,3000,499000,951000,23000,1719000,766000,1061000,868000,1203000,1135000,1186000,1404000,1425000,3287000,3123000,2816000,6932000,7402000,9154000,7631000,7715000,6621000,6631000,6713000,6429000,6668000,6934000,7171000,7163000,7039000,6453000,6208000,9050000,5869000,5638000,7072000,6476000,11331000,9182000,11236000,6291000,8226000
IncomeFinanceCosts_yy,,,,,,666.67,,53.51,11.57,3673.91,-30.02,48.17,11.78,61.75,18.45,189.60,163.32,100.57,386.46,125.19,193.12,170.99,11.30,-10.55,-27.56,-12.03,-16.67,0.71,4.57,6.82,11.42,5.56,-6.94,-13.43,26.34,-16.62,-12.63,13.92,-28.44,93.07,62.86,58.88,-2.86,-27.40
IncomeFinanceCosts_sy,,,,,,20.83,,7.39,-5.29,34.72,-48.45,-16.12,12.71,-12.24,84.87,36.95,80.98,100.57,102.29,45.99,78.23,0.94,21.96,,-6.40,-0.89,-13.43,-8.49,12.96,-8.69,-6.33,-16.32,-6.88,-38.69,-22.73,-0.10,-1.69,-0.44,35.30,14.19,31.82,44.48,6.33,4.43
IncomeFinanceCosts_qq,,,,,90.58,-97.58,7373.91,-55.44,38.51,-18.19,38.59,-5.65,4.49,18.38,1.50,130.67,-4.99,-9.83,146.16,6.78,23.67,-16.64,1.10,-14.18,0.15,1.24,-4.23,3.72,3.99,3.42,-0.11,-1.73,-8.33,-3.80,45.78,-35.15,-3.94,25.43,-8.43,74.97,-18.97,22.37,-44.01,30.76
IncomeFinanceCosts_sq,,,,,-12.04,-11.39,15.30,-20.45,-6.29,5.95,-21.16,11.28,4.49,14.21,45.45,51.15,21.42,1.53,14.57,9.21,-2.94,-0.27,14.09,2.36,0.15,-6.52,1.46,-2.02,10.78,-6.10,16.74,-19.60,10.76,-3.80,0.35,-4.63,22.86,-15.05,19.43,-2.88,8.52,-4.86,23.92,
IncomeOtherIncome,,-89000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1235000,-372000,1243000,198000,374000,939000,746000,-1087000
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.72,352.42,-39.98,-648.99
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,207.69,29.88,40.92
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-130.12,434.14,-84.07,88.89,151.07,-20.55,-245.71
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.79,48.08,100.00,98.20,-61.82,-60.58,98.26
IncomeNetGrossProfit,712000,634000,592000,1058000,525000,99000,1377000,1956000,1671000,1237000,1846000,1674000,1644000,3263000,2860000,2937000,4098000,8837000,2758000,4851000,-487000,3986000,10141000,8245000,9370000,7164000,7169000,6169000,10696000,12094000,8866000,8702000,5545000,9011000,17998000,7988000,-4522000,4391000,-386000,5348000,5885000,3503000,-7378000,19491000
IncomeNetGrossProfit_yy,,,-16.85,,,-83.28,,84.88,218.29,1149.49,34.06,-14.42,-1.62,163.78,54.93,75.45,149.27,170.82,-3.57,65.17,-111.88,-54.89,267.69,69.96,2024.02,79.73,-29.31,-25.18,14.15,68.82,23.67,41.06,-48.16,-25.49,103.00,-8.21,-181.55,-51.27,-102.14,-33.05,230.14,-20.22,-1811.40,264.45
IncomeNetGrossProfit_sy,,,-11.94,,,-81.33,,14.96,32.56,23.63,13.16,72.42,-14.98,117.65,91.85,49.18,99.21,-6.90,-7.96,52.16,-2.18,8.50,21.25,-43.27,-4.45,34.39,64.17,30.33,10.80,24.68,-27.60,1.63,-4.34,-80.25,1.44,-1.14,-6.66,32.59,-10.24,3.35,-16.49,20.72,-11.62,-19.28
IncomeNetGrossProfit_qq,,-10.96,,,-50.38,-81.14,1290.91,42.05,-14.57,-25.97,49.23,-9.32,-1.79,98.48,-12.35,2.69,39.53,115.64,-68.79,75.89,-110.04,918.48,154.42,-18.70,13.64,-23.54,0.07,-13.95,73.38,13.07,-26.69,-1.85,-36.28,62.51,99.73,-55.62,-156.61,197.10,-108.79,1485.49,10.04,-40.48,-310.62,364.18
IncomeNetGrossProfit_sq,,12.80,,,1.85,4.52,1.84,46.26,-6.84,-31.88,7.36,39.56,-10.31,75.68,-10.86,-15.16,9.19,-10.55,-10.30,99.31,-27.30,20.15,-1.27,-9.76,13.64,-9.61,23.89,0.31,20.78,2.28,-10.95,47.08,-14.64,-4.24,18.52,50.10,-15.32,24.53,-12.73,26.34,-9.76,35.62,-59.68,71.18
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,712000,634000,592000,1058000,525000,99000,1377000,1956000,1671000,1237000,1846000,1674000,1644000,3263000,2860000,2937000,4098000,8837000,2758000,4851000,-487000,3986000,10141000,8245000,9370000,7164000,7169000,6169000,10696000,12094000,8866000,8702000,5545000,9011000,17998000,7988000,-4522000,4391000,-386000,5348000,5885000,3503000,-7378000,19491000
IncomeBeforeTaxProfit_yy,,,-16.85,,,-83.28,,84.88,218.29,1149.49,34.06,-14.42,-1.62,163.78,54.93,75.45,149.27,170.82,-3.57,65.17,-111.88,-54.89,267.69,69.96,2024.02,79.73,-29.31,-25.18,14.15,68.82,23.67,41.06,-48.16,-25.49,103.00,-8.21,-181.55,-51.27,-102.14,-33.05,230.14,-20.22,-1811.40,264.45
IncomeBeforeTaxProfit_sy,,,-11.94,,,-81.33,,14.96,32.56,13.77,13.16,72.42,-14.98,117.65,91.85,49.18,99.21,-6.90,-7.96,52.16,-2.18,8.50,21.25,-43.27,-4.45,34.39,64.17,30.33,10.80,24.68,-27.60,1.63,-4.34,-80.25,1.44,-1.14,-6.66,32.59,-10.24,3.35,-16.49,20.72,-11.62,-19.28
IncomeBeforeTaxProfit_qq,,-10.96,,,-50.38,-81.14,1290.91,42.05,-14.57,-25.97,49.23,-9.32,-1.79,98.48,-12.35,2.69,39.53,115.64,-68.79,75.89,-110.04,918.48,154.42,-18.70,13.64,-23.54,0.07,-13.95,73.38,13.07,-26.69,-1.85,-36.28,62.51,99.73,-55.62,-156.61,197.10,-108.79,1485.49,10.04,-40.48,-310.62,364.18
IncomeBeforeTaxProfit_sq,,12.80,,,1.85,4.52,1.84,46.26,-6.84,-31.88,7.36,39.56,-10.31,75.68,-10.86,-15.16,9.19,-10.55,-10.30,99.31,-27.30,20.15,-1.27,-9.76,13.64,-9.61,23.89,0.31,20.78,2.28,-10.95,47.08,-14.64,-4.24,18.52,50.10,-15.32,24.53,-12.73,26.34,-9.76,35.62,-59.68,71.18
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,712000,634000,463000,670000,644000,-38000,1261000,1583000,1358000,1004000,1588000,1403000,1562000,2964000,2407000,2981000,3734000,9222000,2789000,4115000,-818000,6014000,7885000,8163000,9741000,7708000,7762000,7295000,9016000,12183000,9200000,8726000,6582000,10376000,15730000,6626000,-4308000,3765000,663000,5594000,5213000,2861000,-7022000,17866000
IncomeNetProfit_yy,,,-34.97,,,-108.21,,136.27,110.87,2742.11,25.93,-11.37,15.02,195.22,51.57,112.47,139.05,211.13,15.87,38.04,-121.91,-34.79,182.72,98.37,1290.83,28.17,-1.56,-10.63,-7.44,58.06,18.53,19.62,-27.00,-14.83,70.98,-24.07,-165.45,-63.71,-95.79,-15.58,221.01,-24.01,-1159.13,219.38
IncomeNetProfit_sy,,,-41.74,,,-79.32,,33.63,30.81,13.09,10.25,114.04,-16.14,105.18,83.10,43.30,97.57,-9.42,-4.32,50.41,7.31,21.73,24.98,-14.44,-4.48,31.66,62.93,15.94,1.87,17.67,7.68,2.23,5.94,-26.35,10.96,20.35,-8.78,3.93,-36.92,-9.10,-23.13,22.84,-5.04,-20.95
IncomeNetProfit_qq,,-10.96,,,-3.88,-105.90,3418.42,25.54,-14.21,-26.07,58.17,-11.65,11.33,89.76,-18.79,23.85,25.26,146.97,-69.76,47.54,-119.88,835.21,31.11,3.53,19.33,-20.87,0.70,-6.02,23.59,35.13,-24.48,-5.15,-24.57,57.64,51.60,-57.88,-165.02,187.40,-82.39,743.74,-6.81,-45.12,-345.44,354.43
IncomeNetProfit_sq,,-3.03,,,11.38,1.82,6.07,35.75,5.98,-36.22,-5.67,52.28,-10.16,43.89,-15.71,-15.74,9.19,-7.46,-22.31,99.32,-43.51,20.68,1.96,1.36,9.02,-9.17,12.65,0.18,23.59,-2.69,-7.84,-3.31,-14.16,0.68,17.52,44.67,-27.03,16.94,-10.61,38.34,-6.81,28.09,-80.34,75.90
IncomeShareholderNetProfit,712000,634000,463000,670000,644000,-38000,1261000,1583000,1358000,1004000,1588000,1403000,1562000,2922000,2317000,2883000,3662000,9160000,2756000,4077000,-780000,5906000,7840000,8100000,9684000,7758000,7529000,7245000,8889000,12219000,9567000,8717000,6504000,10221000,14495000,6265000,-4714000,3638000,308000,5121000,5077000,2662000,-7268000,17392000
IncomeShareholderNetProfit_yy,,,-34.97,,,-108.21,,136.27,110.87,2742.11,25.93,-11.37,15.02,191.04,45.91,105.49,134.44,213.48,18.95,41.42,-121.30,-35.52,184.47,98.68,1341.54,31.36,-3.97,-10.56,-8.21,57.50,27.07,20.32,-26.83,-16.35,51.51,-28.13,-172.48,-64.41,-97.88,-18.26,207.70,-26.83,-2459.74,239.62
IncomeShareholderNetProfit_sy,,,-38.87,,,-81.09,,33.63,30.81,13.06,10.25,114.04,-13.64,100.51,82.62,33.88,102.83,-5.05,-6.86,54.82,-3.33,21.73,24.98,-22.78,19.89,33.28,47.32,26.81,1.86,17.67,5.97,2.23,-1.16,-38.63,10.58,18.42,-9.68,3.91,-36.92,-9.10,-16.76,38.37,-5.04,-20.95
IncomeShareholderNetProfit_qq,,-10.96,,,-3.88,-105.90,3418.42,25.54,-14.21,-26.07,58.17,-11.65,11.33,87.07,-20.70,24.43,27.02,150.14,-69.91,47.93,-119.13,857.18,32.75,3.32,19.56,-19.89,-2.95,-3.77,22.69,37.46,-21.70,-8.88,-25.39,57.15,41.82,-56.78,-175.24,177.17,-91.53,1562.66,-0.86,-47.57,-373.03,339.30
