,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,126923000,132752000,31355000,279342000,114758000,73406000,257395000,87057000,106283000,99543000,136875000,39224000,386401000,149488000,18500000,39032000,186968000,142846000,152900000,199710000
IncomeShareholderNetProfit,126923000,132752000,31355000,279342000,114758000,73406000,257395000,87057000,106283000,99543000,136875000,39224000,386401000,149488000,18500000,39032000,186968000,142846000,152900000,199710000
BalanceNoncurrentAssets,,3440125000,3718497000,3747727000,3737302000,3863149000,3966942000,3962972000,3873863000,5522366000,5664193000,5826289000,5976686000,7524049000,5400199000,5383800000,5504527000,5394800000,5466339000,
BalanceIntangibleAssets,2147219000,2115429000,2169801000,1261636000,2254663000,2253453000,2261662000,1126772000,2792228000,2730513000,2697364000,2628786000,2628252000,2683288000,2633000000,2683857000,2635300000,2582274000,,1090386000
BalanceProperty,1207497000,1203222000,1865130000,1220373000,1305840000,1311978000,2069207000,2072856000,2208477000,2233977000,2375362000,2331507000,2283542000,2375100000,2441565000,2398500000,2514937000,,13058000,13289000
BalanceNoncurrentReceivables,14157000,14336000,88814000,88955000,160344000,164575000,236504000,249619000,338288000,353165000,2125612000,12526000,13500000,13835000,14000000,14230000,,,,23217000
BalanceNoncurrInvestments,30316000,57611000,74724000,78673000,57869000,19219000,7780000,36324000,112874000,134246000,952000,1600000,4268000,,189462000,359065000,330231000,538589000,224575000,240021000
BalanceOtherNoncurrentAssets,171119000,494090000,412998000,439260000,443786000,485127000,438678000,419891000,360600000,361002000,347000000,354898000,,1198157000,1888857000,1201205000,2330150000,2007971000,2284780000,2419791000
BalanceCurrentAssets,3688555000,2317162000,2374364000,2416603000,2769911000,2629770000,4980013000,2957800000,3326442000,3171900000,2725312000,,125769000,109830000,115445000,194935000,165158000,149568000,139512000,212209000
BalanceInventory,263284000,270789000,198728000,149685000,175849000,188015000,187200000,159279000,217700000,243223000,,709456000,715430000,720584000,716574000,984822000,1201591000,1379997000,876894000,974638000
BalanceCurrentReceivables,1050250000,1207242000,1260213000,1238236000,3339308000,1141300000,1147995000,1062400000,944530000,,,,707513000,,,,,,,
BalanceCurrentInvestments,,,,,,,,,307510000,285357000,307629000,497981000,774866000,849532000,809316000,1556801000,46636000,29869000,55799000,340994000
BalanceCash,116281000,270839000,331700000,628725000,537900000,179951000,,55422000,70727000,57547000,920660000,83125000,84089000,90966000,1042651000,1032604000,1023456000,954834000,1019019000,1099404000
BalanceOtherCurrentAssets,1181851000,1297600000,1390443000,1353900000,1357608000,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,4638282000,5607354000,4948932000,6067452000,5871120000,6251722000,6382763000,7562418000,7839528000,8038557000,8242892000,8746597000,10153819000,10380212000
BalanceTotalAssets,8341600000,8830969000,8566700000,8191651000,,,,553858000,-29358000,72151000,291787000,376914000,511194000,630624000,767499000,806723000,1193137000,1342612000,1361103000,1395872000
BalanceCapital,-363400000,-212579000,-119000000,-596139000,,,,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,126000
BalanceShareCapital,100000,128000,100000,128000,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,6333970000,5635996000,5635996000,5635996000,5635996000,5635996000,5644191000,5644191000,5644191000,5644191000,5644191000,5644191000,5639845000
BalanceReserve,3693700000,3701578000,3697200000,3699252000,,961226000,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,2149710000,3862716000,3889673000,4545148000,4355396000,4509377000,4533040000,5217545000,5186949000,5339660000,5256622000,5385188000,7004298000,6942790000,6769800000,6938428000,6620900000
BalanceNoncurrentLiabilities,6646986000,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,2015974000,3701900000,3716723000,4383193000,4174119000,4277769000,4321404000,4996618000,4990166000,5140521000,5043623000,5176417000,6855505000,6870104000,6697100000,6752867000,6438600000,6454713000
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,133736000,160816000,172950000,161955000,181277000,231608000,211636000,220927000,196783000,199139000,212999000,208771000,148793000,72686000,72700000,185561000,182300000,192273000,
BalanceNoncurrentOtherLiabilities,1527346000,1190780000,1088617000,1450153000,1223937000,1365431000,1338529000,1714249000,1885080000,1892174000,1793133000,2018797000,1788418000,2041550000,1935200000,2105120000,2064800000,2140804000,,670111000
BalanceCurrentLiabilities,691763000,643201000,836115000,764939000,834949000,837215000,976949000,952141000,1031585000,1177581000,951244000,978048000,958000000,1106528000,985500000,995774000,,482250000,118053000,66368000
BalanceCurrentTradePayablesv,278475000,62923000,123256000,62417000,277245000,580072000,1450284000,305818000,277150000,371588000,383730000,581200000,592826000,696600000,712226000,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,1664000,46881000,17652000,45206000
BalanceCurrentLeasing,34601000,29533000,42601000,106908000,68503000,133910000,142473000,292232000,165613000,320128000,56900000,115036000,119700000,137945000,,373321000,334083000,361396000,290357000,361474000
BalanceCurrentOtherLiabilities,377693000,396296000,353147000,284364000,307980000,313257000,271834000,299973000,359644000,339100000,290730000,263000000,294859000,0,4638282000,0,5607354000,4948932000,6067452000,5871120000
BalanceReckoning,6251722000,6382763000,7562418000,7839528000,8038557000,8242892000,8746597000,10153819000,10380212000,8341600000,8830969000,8566700000,8191651000,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,417822000,437871000,400980000,521625000,540739000,-280652000,91641000,215588000,323962000,893953000,198713000,333192000,491595000,564029000,243400000,442931000,152569000,550438000,413200000,555300000
CashflowAmortization,292421000,296973000,291400000,308886000,323494000,-383638000,146486000,142850000,154869000,153055000,141038000,157008000,173654000,162383000,190500000,218752000,184348000,203656000,188500000,197840000
CashflowInvestingCashflow,-308962000,-344995000,-1045796000,-357125000,294959000,643624000,-187911000,-101385000,-191128000,-92445000,-1895813000,-96491000,-218196000,-138757000,127100000,-156394000,-241006000,-123314000,-182800000,-133505000
CashflowCapex,314395000,346037000,328858000,358068000,411586000,-641643000,113512000,103211000,124163000,95901000,1828652000,97638000,130310000,139261000,211200000,156820000,242580000,124216000,185700000,135423000
CashflowFinancingCashflow,-87348000,-54577000,619056000,-26370000,-813257000,-172636000,380380000,-52273000,-168875000,-52425000,13877000,-242872000,-173305000,-51868000,-595000000,-132036000,149136000,-129902000,-321300000,-780274000
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,285400000,-18000,,
CashflowDividend,,,,,,,,,,,,,,,,,,,652498000,21512000
CashflowNetCashflow,38299000,-25760000,138130000,22441000,190336000,284110000,61930000,-36041000,749083000,-1683223000,-6171000,100094000,373404000,-224500000,154501000,60699000,297222000,-90900000,-358479000,
