,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,-9000,-7000,-35000,9000,101000,-62000,-19000,15000,0,0,0,,2267000
IncomeNetGrossProfit,1014000,1135000,2175000,1735000,2434000,1358000,1403000,1792000,2163000,1052000,1737000,1537000,1998000,646000,2041000,1530000,2226000,2271000,6147000,4217000,5349000,4299000,4652000,5149000,3825000,2392000,4427000,3552000,1733000,-870000,124000,2403000,2344000,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2267000
IncomeBeforeTaxProfit,1014000,1135000,2175000,1735000,2434000,1358000,1403000,1792000,2163000,1052000,1737000,1537000,1998000,646000,2041000,1530000,2226000,2271000,6147000,4217000,5349000,4299000,4652000,5149000,3825000,2392000,4427000,3552000,1733000,-870000,124000,2403000,2344000,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830000
IncomeNetProfit,869000,900000,1711000,1440000,1721000,1147000,1004000,1355000,1792000,723000,1797000,1181000,1815000,519000,1568000,1214000,1660000,1829000,4773000,3355000,4316000,3399000,3580000,4138000,3243000,1877000,3448000,3025000,1263000,-749000,-290000,1865000,1901000,1830000
IncomeShareholderNetProfit,886000,893000,1686000,1460000,1695000,1096000,1013000,1351000,1786000,715000,1792000,1186000,1807000,545000,1586000,1215000,1681000,1836000,4777000,3388000,4289000,3371000,3584000,4138000,3218000,1834000,3460000,2981000,1261000,-788000,-302000,1828000,1851000,
BalanceNoncurrentAssets,,13785000,13979000,15211000,14982000,14980000,15181000,15594000,16668000,18015000,20236000,21439000,21247000,21676000,21543000,21149000,20641000,20637000,20586000,21397000,21755000,22045000,34059000,34500000,33872000,33783000,33982000,34402000,36611000,38055000,38912000,36778000,,4398000
BalanceIntangibleAssets,4692000,5138000,4983000,4903000,4857000,4814000,4810000,4777000,4749000,4737000,4702000,4732000,4738000,4665000,4616000,4250000,4207000,4177000,4551000,4494000,4559000,4501000,4408000,4299000,4332000,4570000,4472000,4418000,4316000,6294000,,9010000,8719000,9355000
BalanceProperty,9444000,9388000,9403000,10103000,11220000,12042000,14504000,15709000,15576000,15730000,15550000,15202000,14796000,14960000,14939000,15485000,15563000,15868000,26609000,26851000,26551000,26520000,26626000,26466000,27850000,28511000,28622000,27565000,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39000,57000,93000,70000,191000
BalanceNoncurrInvestments,193000,186000,186000,169000,145000,41000,27000,134000,131000,262000,285000,237000,255000,493000,428000,377000,1581000,1763000,1621000,1608000,1492000,1819000,3017000,3798000,4473000,1423000,,338000,511000,625000,485000,498000,728000,491000
BalanceOtherNoncurrentAssets,452000,1027000,838000,952000,942000,1080000,1124000,1020000,944000,1190000,1185000,1242000,1213000,1306000,1310000,1385000,1292000,1356000,1532000,1547000,1272000,1328000,1501000,1496000,,4596000,12957000,14232000,15396000,17764000,18729000,15364000,13608000,15710000
BalanceCurrentAssets,17162000,19043000,12375000,17709000,17233000,20857000,19147000,24784000,28635000,25754000,26715000,27927000,30617000,34053000,31681000,31512000,34474000,34551000,29878000,33535000,45129000,45062000,,0,,0,20000,16000,152000,164000,159000,172000,186000,189000
BalanceInventory,191000,195000,180000,169000,160000,161000,,,,6000,12000,12000,14000,14000,16000,16000,16000,,1880000,9130000,4968000,4409000,5389000,5861000,7005000,7037000,7818000,9052000,8887000,8829000,9313000,9625000,8637000,8717000
BalanceCurrentReceivables,10478000,9539000,12034000,11386000,11545000,15846000,13526000,13872000,13172000,14075000,14943000,15467000,15120000,20063000,19972000,,262000,348000,6507000,6149000,454000,545000,620000,640000,577000,508000,696000,710000,470000,462000,508000,518000,468000,453000
BalanceCurrentInvestments,586000,639000,828000,920000,1138000,1121000,917000,814000,784000,913000,972000,1065000,1098000,,2261000,3353000,2421000,4579000,11600000,11942000,7405000,5617000,6982000,7162000,9066000,2495000,7573000,6737000,11366000,9568000,13480000,17626000,10699000,11757000
BalanceCash,11231000,8819000,13995000,10997000,11256000,12274000,10469000,3228000,5822000,4763000,4652000,,193000,126000,316000,243000,169000,217000,175000,142000,147000,251000,203000,146000,173000,240000,186000,183000,358000,1017000,2435000,2933000,4323000,5032000
BalanceOtherCurrentAssets,5394000,5685000,6155000,7299000,8341000,10256000,11605000,19222000,19324000,,,,,,,,,,,,,,,,,,,,58000,,,,,
BalanceAssetsForSale,,,,,,,,,18381000,26936000,29443000,30378000,32744000,33910000,30958000,30276000,33725000,37398000,40482000,33622000,39385000,38776000,42006000,39788000,45479000,49221000,47151000,48470000,49972000,64676000,68553000,65553000,65295000,68456000
BalanceTotalAssets,68953000,66489000,71590000,84041000,81840000,,3460000,11691000,13360000,15037000,17270000,18406000,15909000,16577000,18357000,19592000,16137000,16662000,18297000,19520000,15083000,16886000,21755000,25200000,21404000,24796000,24524000,28640000,26382000,28224000,31687000,34236000,27525000,26806000
BalanceCapital,26365000,35353000,36313000,,1000000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
BalanceShareCapital,1200000,,,,-200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,1060000,6712000,6719000,11285000,11523000,11409000,11448000,11401000,11487000,11536000,11643000,11623000,11667000,11675000,11813000,11780000,11874000,11931000,14008000,14029000,14013000,13991000,17580000,17591000,17591000,17477000,17632000,17701000,17716000,17719000,20185000,,186000,218000
BalanceReserve,197000,224000,380000,182000,179000,187000,192000,187000,225000,201000,184000,172000,150000,141000,137000,104000,129000,158000,166000,166000,122000,145000,130000,282000,148000,187000,214000,231000,112000,,3813000,3457000,3583000,3712000
BalanceNonshareCapital,3251000,3044000,2945000,3099000,2020000,4559000,6004000,5341000,5631000,5290000,5122000,4873000,5190000,4513000,4971000,4767000,4889000,7327000,12789000,12152000,11829000,11578000,13000000,14777000,18940000,20943000,19692000,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2503000,2003000,2039000,1876000,1421000,1364000
BalanceNoncurrentTradeLiabilities,1192000,1209000,865000,3356000,4629000,4253000,4324000,4110000,3948000,3828000,3770000,3555000,3763000,3685000,3735000,6167000,11616000,11005000,10544000,10306000,11752000,13718000,17593000,17763000,16449000,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,1310000,1454000,1544000,1836000,1830000,1680000,1753000,1890000
BalanceNoncurrentLeasing,1155000,1203000,1375000,1088000,1307000,1180000,1174000,1045000,1420000,958000,1208000,1082000,1154000,1160000,1173000,1147000,1285000,1272000,1248000,1059000,1347000,3180000,3243000,,10922000,11570000,12303000,11405000,11843000,12278000,11925000,10413000,13156000,13060000
BalanceNoncurrentOtherLiabilities,18116000,11418000,15273000,13794000,21651000,17888000,18397000,19404000,20647000,18749000,20393000,28543000,29260000,25032000,21649000,22360000,28280000,24719000,26071000,27514000,25723000,,6914000,7948000,8376000,7442000,8071000,7674000,7081000,6269000,8724000,7965000,7865000,7089000
BalanceCurrentLiabilities,10438000,8850000,10503000,10218000,12288000,13010000,14557000,12973000,13151000,15810000,13173000,12555000,12171000,12908000,11407000,9185000,12469000,13794000,12936000,,1058000,954000,893000,847000,829000,806000,891000,914000,990000,1018000,1287000,1412000,1397000,1319000
BalanceCurrentTradePayablesv,1179000,920000,1134000,1105000,1240000,1279000,1395000,6614000,5157000,3805000,2481000,2573000,2532000,6435000,6923000,6704000,6738000,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,2860000,2532000,2809000,2853000,2743000,3665000,3804000,3069000,3269000,3947000,8810000,2841000,3357000,3554000,9810000,6605000
BalanceCurrentLeasing,4834000,5186000,4763000,4422000,5660000,5920000,10765000,8469000,6624000,6621000,14132000,8898000,6471000,6800000,5868000,,90000,136000,225000,263000,200000,133000,149000,161000,173000,130000,154000,76000,81000,71000,159000,145000,141000,103000
BalanceCurrentOtherLiabilities,87000,75000,187000,199000,165000,203000,373000,258000,209000,201000,208000,216000,181000,0,18381000,0,26936000,29443000,30378000,0,32744000,33910000,30958000,30276000,33725000,37398000,40482000,33622000,39385000,38776000,42006000,39788000,45479000,49221000
BalanceReckoning,47151000,48470000,49972000,64676000,68553000,65553000,65295000,68456000,68953000,66489000,71590000,84041000,81840000,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,2273000,1638000,575000,2444000,6705000,-4788000,-564000,2974000,-811000,2303000,-401000,2823000,-205000,2490000,-865000,5497000,-356000,5263000,1797000,7412000,4696000,2120000,2100000,4060000,2635000,2152000,1919000,5510000,1923000,-1995000,-5609000,3065000,-56000,2074000
CashflowAmortization,216000,242000,230000,255000,298000,297000,316000,303000,1214000,-631000,286000,338000,304000,328000,357000,359000,383000,385000,332000,382000,398000,428000,462000,527000,499000,538000,571000,525000,553000,545000,715000,587000,864000,998000
CashflowInvestingCashflow,-241000,-260000,-285000,17000,-7446000,382000,2771000,2339000,-1954000,1161000,-1092000,-1148000,-1676000,-1845000,-57000,17000,0,-113000,-98000,-47000,-152000,-593000,-605000,-381000,-12486000,-371000,46000,-270000,-62000,-777000,-1222000,15000,394000,93000
CashflowCapex,362000,168000,316000,123000,1303000,-492000,273000,325000,1409000,-991000,1296000,1610000,2103000,2120000,7000,127000,142000,109000,61000,74000,290000,129000,610000,273000,11360000,123000,150000,173000,290000,253000,262000,179000,135000,160000
CashflowFinancingCashflow,-785000,-1648000,-1357000,-304000,-139000,6513000,-285000,-274000,5815000,-10697000,-292000,-265000,2036000,1265000,-5669000,-397000,-482000,-522000,-3498000,-3473000,-446000,-8401000,-435000,-4178000,7453000,3371000,-4951000,-5004000,-855000,980000,-401000,-488000,-1397000,-2300000
CashflowShareCapitalCash,0,0,1000,-1000,200000,6688000,0,0,6888000,,,,,,,,,,,,,,,,,,,,,,,,,1825000
CashflowDividend,1000000,0,,0,0,,4329000,0,0,,9000,5280000,0,,10000,3000000,3121000,8064000,0,3840000,68000,2760000,2760000,149000,3960000,4080000,40000,204000,1247000,-270000,-1067000,2157000,-880000,2107000
CashflowNetCashflow,1922000,5039000,3050000,-7233000,-1785000,1410000,155000,1910000,-6591000,5117000,-838000,4628000,-1799000,3892000,4098000,-6874000,1060000,-499000,-2398000,5152000,-2986000,236000,1006000,-1792000,-7232000,2592000,-1059000,-133000,,,,,,
