,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceOtherCurrentAssets,22670000,20543000,21764000,24356000,18689000,20296000,18435000,21469000,19647000,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,220887000,211251000,207666000,193285000,189641000,39469000,15316000,82830000,13784000,9499000,957000,137113000,99787000
BalanceTotalAssets,107401000,111046000,127303000,131763000,143674000,130312000,105995000,89813000,90299000,29306000,28482000,22542000,7110000,1401000,940000,2306000,18492000,416000,-4039000,-3496000,26351000,28404000
BalanceCapital,31398000,31618000,45100000,49324000,46956000,47657000,29779000,30396000,26538000,13949000,14685000,14685000,14685000,14685000,14685000,14685000,14685000,14685000,14685000,14685000,161380000,161380000
BalanceShareCapital,161380000,161380000,161380000,161380000,161380000,161380000,161380000,161380000,161380000,,,,,,,,,,,,-14000000,-14000000
BalanceOwnShares,-14000000,-14000000,-16000000,-16000000,-16000000,74617000,75132000,68467000,68467000,68467000,68436000,8389000,1100000,,-108291000,-108291000,-108291000,-108291000,-106184000,-106174000,-117210000,-117210000
BalanceReserve,-116912000,-116912000,-115761000,2697000,-382000,-581000,144000,-265000,-556000,2000,2000,2000,,,,,,,,,,365000
BalanceNonshareCapital,368000,370000,363000,360000,358000,14855000,,16524000,14982000,8021000,6473000,5797000,5937000,6007000,5919000,6864000,6599000,6650000,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,10000000,,,9960000,8469000,1977000,486000,1692000,1716000,1691000,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,365000,368000,370000,363000,360000,358000,4855000,,6564000
BalanceNoncurrentLeasing,6513000,6044000,5987000,5797000,5937000,6007000,5919000,5172000,4883000,4959000,188519000,182783000,185335000,185668000,188145000,38727000,13008000,49483000,13366000,13536000,4453000,94238000
BalanceNoncurrentOtherLiabilities,56401000,67982000,72955000,76406000,76502000,90711000,76736000,69352000,52818000,57111000,11716000,7161000,8290000,10677000,8196000,2572000,1978000,31495000,2210000,2175000,524000,70430000
BalanceCurrentLiabilities,36864000,38245000,38284000,39651000,39280000,46322000,40975000,37815000,28049000,29757000,121640000,120887000,121463000,122002000,122747000,15954000,3953000,15779000,3885000,4251000,977000,18746000
BalanceCurrentTradePayablesv,14984000,24778000,28638000,32702000,31832000,35294000,28676000,26990000,22326000,23722000,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,5285000,6128000,6972000,5586000,10473000,3811000,3220000,2209000,3577000,3497000,2952000,5062000
BalanceCurrentLeasing,4553000,4959000,6033000,4053000,3450000,9095000,7085000,4547000,877000,2286000,49878000,48607000,48610000,47403000,46729000,16390000,3857000,3694000,3613000,,,
BalanceCurrentOtherLiabilities,1940000,,,1566000,1346000,220887000,211251000,207666000,193285000,189641000,39469000,15316000,82830000,13784000,9499000,957000,137113000,99787000,107401000,111046000,127303000,131763000
BalanceReckoning,143674000,130312000,105995000,89813000,90299000,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-9662000,1418000,1273000,431000,-751000,-8584000,-319000,16894000,239000,-398000,-1113000,19501000,-10382000,2265000,-5365000,11226000,-13993000,3367000,1980000,4602000,3805000,-523000
CashflowAmortization,2787000,2712000,2759000,2733000,2735000,2775000,273000,-5660000,268000,260000,3000,-387000,30000,20000,22000,23000,18000,19000,23000,21000,10000,17000
CashflowInvestingCashflow,-7000,-748000,-39000,2848000,-4000,3911000,2866000,3210000,200000,-757000,,-17475000,101000,-44000,-1000,209000,2049000,-348000,104000,816000,39000,3341000
CashflowCapex,4000,46000,4000,39000,150000,,,53000,47000,47000,4000,21000,402000,9522000,-888000,-1094000,-1687000,-754000,4180000,-2633000,-18218000,-166000
CashflowFinancingCashflow,323000,1200000,-11250000,-5558000,3084000,2135000,19318000,-1159000,-802000,-2880000,115000,-4911000,-2133000,,903000,0,0,,,,,
CashflowShareCapitalCash,1200000,-626000,,16000000,,,,,,,,,,,,9000000,,,5600000,,,
CashflowDividend,,,,,,-147000,-218000,140000,1592000,-1509000,-493000,-86000,1886000,73000,-75000,287000,7494000,-15940000,5349000,-3230000,13069000,-15051000
CashflowNetCashflow,2521000,-901000,4926000,943000,-3004000,,,,,,,,,,,,,,,,,
