,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeAdministrativExpenses_qq,,13.48,-16.58,25.36,28.02,21.15,33.02,24.33,-0.52,73.06,-0.11,2.24,-9.52,-46.71,92.21,32.15,-18.94,-2.31,-9.45,-34.65,38.27,10.06,14.93,3.58,-17.78,4.38,6.65,44.30,-23.48,-1.60,21.99,-33.27,19.76,18.30,5.02,9.21,-13.85,15.52,6.45,-114.59,524.81,-5.09,27.43,19.81,-12.08,-22.98,38.69,-22.45,1.05
IncomeAdministrativExpenses_sq,,7.16,18.20,15.40,16.74,18.58,-7.98,40.18,-7.48,10.58,3.78,20.54,-13.68,-2.15,-3.76,19.08,-16.11,-1.31,-3.25,4.30,1.81,7.10,0.46,3.21,-16.41,5.40,-3.82,11.44,-4.56,4.46,0.03,-1.86,-5.04,11.96,-0.39,10.18,-3.50,5.02,-1.14,0.44,-6.66,2.94,3.09,24.79,-10.90,16.00,-6.22,9.10,-5.88
IncomeGrossProfit,1047000,515000,1573000,6993000,936000,1213000,1617000,10789000,3535000,3251000,-1824000,8833000,-2671000,1468000,-2738000,1522000,-1979000,708000,1891000,-3210000,-2544000,5172000,16368000,-3791000,-4488000,1677000,8381000,2822000,3059000,3139000,8150000,7040000,5216000,7205000,15880000,2582000,5925000,681000,4933000,7464000,4439000,2771000,8945000,5585000,2657000,4704000,7786000,-242000,1654000
IncomeGrossProfit_yy,,,,,-10.60,135.53,2.80,54.28,277.67,168.01,-212.80,-18.13,-175.56,-54.84,-50.11,-82.77,25.91,-51.77,169.07,-310.91,-28.55,630.51,765.57,-18.10,-76.42,-67.58,-48.80,174.44,168.16,87.18,-2.76,149.47,70.51,129.53,94.85,-63.32,13.59,-90.55,-68.94,189.08,-25.08,306.90,81.33,-25.17,-40.14,69.76,-12.96,-104.33,-37.75
IncomeGrossProfit_sy,,,,,24.95,44.16,45.93,43.09,25.19,49.34,14.31,-56.69,-114.40,-21.17,-53.57,21.26,35.06,39.87,51.12,41.27,18.09,67.87,7.56,-3.18,14.48,-48.83,-34.83,-6.30,-31.16,39.45,23.94,109.40,47.01,14.84,35.06,-8.16,5.41,23.82,-14.36,11.18,-2.71,3.41,-10.77,12.45,-32.56,3.30,25.97,11.56,2.60
IncomeGrossProfit_qq,,-50.81,205.44,344.56,-86.62,29.59,33.31,567.22,-67.24,-8.03,-156.11,584.27,-130.24,154.96,-286.51,155.59,-230.03,135.78,167.09,-269.75,20.75,303.30,216.47,-123.16,-18.39,137.37,399.76,-66.33,8.40,2.62,159.64,-13.62,-25.91,38.13,120.40,-83.74,129.47,-88.51,624.38,51.31,-40.53,-37.58,222.81,-37.56,-52.43,77.04,65.52,-103.11,783.47
IncomeGrossProfit_sq,,1.76,68.74,32.91,-19.65,40.81,16.68,78.17,-60.84,45.01,-24.29,23.21,-105.66,74.00,-37.44,159.69,-73.41,135.61,20.95,79.53,-86.33,167.62,-5.74,81.01,-69.48,91.01,-50.34,62.46,-88.66,178.69,-24.59,99.72,-79.14,181.23,-9.96,27.36,-80.03,182.18,-38.05,100.87,-81.79,147.09,-53.28,76.79,-94.59,101.05,-5.92,44.84,-106.00
IncomeOtherOperatingIncome,156000,144000,521000,901000,210000,61000,183000,823000,190000,390000,807000,625000,2973000,125000,1095000,2626000,1287000,-2613000,9598000,14840000,3908000,3592000,1675000,-222000,2337000,1392000,503000,-229000,1333000,1397000,748000,56000,484000,1988000,-493000,828000,463000,1232000,701000,1288000,891000,1241000,360000,841000,958000,1529000,677000,475000,897000
IncomeOtherOperatingIncome_yy,,,,,34.62,-57.64,-64.88,-8.66,-9.52,539.34,340.98,-24.06,1464.74,-67.95,35.69,320.16,-56.71,-2190.40,776.53,465.12,203.65,237.47,-82.55,-101.50,-40.20,-61.25,-69.97,-3.15,-42.96,0.36,48.71,124.45,-63.69,42.30,-165.91,1378.57,-4.34,-38.03,242.19,55.56,92.44,0.73,-48.64,-34.70,7.52,23.21,88.06,-43.52,-6.37
IncomeOtherOperatingIncome_sy,,,,,125.55,5.29,22.20,45.86,48.15,19.33,41.48,8.42,174.39,132.52,0.64,65.50,12.30,-21.31,52.78,26.32,-17.60,-23.47,-14.95,82.77,6.26,11.80,-4.58,-23.71,16.60,8.49,45.34,65.13,4.07,-46.60,-35.49,-17.94,-26.60,15.93,-14.40,2.92,13.84,12.30,0.32,-8.62,-11.86,-11.46,-7.47,-6.81,26.46
IncomeOtherOperatingIncome_qq,,-7.69,261.81,72.94,-76.69,-70.95,200.00,349.73,-76.91,105.26,106.92,-22.55,375.68,-95.80,776.00,139.82,-50.99,-303.03,467.32,54.62,-73.67,-8.09,-53.37,-113.25,1152.70,-40.44,-63.86,-145.53,682.10,4.80,-46.46,-92.51,764.29,310.74,-124.80,267.95,-44.08,166.09,-43.10,83.74,-30.82,39.28,-70.99,133.61,13.91,59.60,-55.72,-29.84,88.84
IncomeOtherOperatingIncome_sq,,220.76,-23.97,105.46,-33.22,33.95,1.00,226.20,-47.99,-34.15,18.18,187.08,-43.49,60.21,-34.26,29.85,-16.74,-34.43,-1.48,57.26,-62.50,29.10,-16.37,108.41,-39.10,-41.24,7.56,-2.05,-0.99,10.87,41.75,0.21,-5.38,-3.84,-2.10,45.02,-48.74,4.06,-24.68,35.41,-26.42,12.30,-26.77,33.79,-34.03,47.56,-16.50,30.01,-6.19
IncomeOtherOperatingCosts,265000,190000,-16000,96000,102000,825000,37000,1386000,1036000,689000,567000,3562000,1795000,379000,1759000,1683000,823000,2446000,826000,3376000,1123000,1700000,2371000,-25000,846000,1045000,918000,783000,873000,154000,836000,1910000,589000,424000,-18000,1732000,975000,323000,670000,4765000,1453000,175000,508000,2651000,595000,1004000,2021000,5369000,1436000
IncomeOtherOperatingCosts_yy,,,,,-61.51,334.21,331.25,1343.75,915.69,-16.48,1432.43,157.00,73.26,-44.99,210.23,-52.75,-54.15,545.38,-53.04,100.59,36.45,-30.50,187.05,-100.74,-24.67,-38.53,-61.28,3232.00,3.19,-85.26,-8.93,143.93,-32.53,175.32,-102.15,-9.32,65.53,-23.82,3822.22,175.12,49.03,-45.82,-24.18,-44.37,-59.05,473.71,297.83,102.53,141.34
IncomeOtherOperatingCosts_sy,,,,,61.40,61.93,46.78,80.53,54.46,31.54,20.04,147.27,96.88,177.40,86.67,-12.76,-29.02,-35.02,-9.91,-38.92,-6.28,3.28,7.95,-7.50,38.78,-14.62,-15.42,13.74,-16.18,6.45,12.52,-9.79,-26.64,-12.72,-17.06,7.00,-10.00,-7.75,-6.85,33.59,28.74,29.56,36.75,-2.26,-4.28,11.64,3.61,54.38,4.95
IncomeOtherOperatingCosts_qq,,-28.30,-108.42,700.00,6.25,708.82,-95.52,3645.95,-25.25,-33.49,-17.71,528.22,-49.61,-78.89,364.12,-4.32,-51.10,197.21,-66.23,308.72,-66.74,51.38,39.47,-101.05,3484.00,23.52,-12.15,-14.71,11.49,-82.36,442.86,128.47,-69.16,-28.01,-104.25,9722.22,-43.71,-66.87,107.43,611.19,-69.51,-87.96,190.29,421.85,-77.56,68.74,101.29,165.66,-73.25
IncomeOtherOperatingCosts_sq,,113.27,-56.81,519.31,-50.99,70.39,-21.48,271.47,-74.68,52.42,-17.71,356.31,-73.04,110.02,-20.51,86.38,-59.38,58.26,-43.20,60.76,-66.74,191.42,23.78,114.17,-46.78,3.53,-2.45,60.44,-71.67,104.87,11.23,78.72,-69.21,7.18,-4.52,156.19,-59.23,29.49,-17.03,212.60,-68.92,32.63,-20.26,123.42,-73.32,69.08,27.66,364.54,-75.28
IncomeEBIT,938000,469000,2110000,7798000,1044000,449000,1763000,10226000,2689000,2952000,-1584000,5896000,-1493000,1214000,-3402000,2465000,-1515000,-4351000,10663000,8254000,241000,7064000,15672000,-3988000,-2997000,2024000,7966000,1810000,3519000,4382000,8062000,5186000,5111000,8769000,15405000,1678000,5413000,1590000,4964000,3987000,3877000,3837000,8797000,3775000,3020000,5229000,6442000,-5136000,1115000
IncomeEBIT_yy,,,,,11.30,-4.26,-16.45,31.14,157.57,557.46,-189.85,-42.34,-155.52,-58.88,-114.77,-58.19,-1.47,-458.40,413.43,234.85,115.91,262.35,46.98,-148.32,-1343.57,-71.35,-49.17,145.39,217.42,116.50,1.21,186.52,45.24,100.11,91.08,-67.64,5.91,-81.87,-67.78,137.60,-28.38,141.32,77.22,-5.32,-22.10,36.28,-26.77,-236.05,-63.08
IncomeEBIT_sy,,,,,75.74,23.19,45.75,31.14,38.66,27.78,10.60,-48.34,-110.84,-37.42,-62.64,17.21,68.45,11.20,100.70,58.86,7.73,35.34,-24.99,14.26,-20.84,-32.22,11.28,5.38,-37.86,44.73,23.20,56.58,43.53,18.28,25.63,2.49,7.90,18.17,-20.51,1.70,-6.69,1.99,-13.34,2.20,-45.62,-0.49,8.21,21.26,0.41
IncomeEBIT_qq,,-50.00,349.89,269.57,-86.61,-56.99,292.65,480.03,-73.70,9.78,-153.66,472.22,-125.32,181.31,-380.23,172.46,-161.46,-187.19,345.07,-22.59,-97.08,2831.12,121.86,-125.45,24.85,167.53,293.58,-77.28,94.42,24.52,83.98,-35.67,-1.45,71.57,75.68,-89.11,222.59,-70.63,212.20,-19.68,-2.76,-1.03,129.27,-57.09,-20.00,73.15,23.20,-179.73,121.71
IncomeEBIT_sq,,20.44,66.94,81.57,-8.89,54.14,-8.94,39.52,-58.60,24.21,-18.52,-10.30,-5.52,34.66,-24.86,75.74,-61.59,121.66,4.97,69.56,-90.49,128.60,-18.30,85.04,-75.32,61.87,-41.69,15.36,-82.45,170.59,-20.77,92.09,-77.30,150.53,-11.81,55.25,-78.59,118.91,-52.22,48.68,-82.46,112.71,-37.02,60.56,-85.38,98.68,-15.95,26.45,-93.86
IncomeFinanceIncome,64000,192000,89000,359000,279000,139000,826000,2388000,2557000,857000,778000,4181000,336000,732000,1071000,764000,328000,14167000,13039000,289000,6093000,8535000,542000,410000,1171000,1019000,649000,-159000,791000,816000,335000,1008000,407000,820000,1084000,3990000,1334000,1042000,335000,3567000,1284000,307000,649000,-36000,1745000,-85000,1898000,890000,2077000
IncomeFinanceIncome_yy,,,,,335.94,-27.60,828.09,565.18,816.49,516.55,-5.81,75.08,-86.86,-14.59,37.66,-81.73,-2.38,1835.38,1117.46,-62.17,1757.62,-39.75,-95.84,41.87,-80.78,-88.06,19.74,-138.78,-32.45,-19.92,-48.38,733.96,-48.55,0.49,223.58,295.83,227.76,27.07,-69.10,-10.60,-3.75,-70.54,93.73,-101.01,35.90,-127.69,192.45,2572.22,19.03
IncomeFinanceIncome_sy,,,,,150.41,400.00,108.97,143.39,22.74,160.07,-45.83,28.42,-18.28,-19.51,88.92,-41.60,-2.38,-66.74,115.73,-9.33,89.67,-39.61,-47.23,-19.05,15.13,8.12,22.74,21.69,-34.53,-12.42,-47.18,8.17,-21.00,-10.47,68.41,-1.27,44.80,-28.90,-61.42,-79.84,-30.20,86.91,-40.89,58.97,8.86,-15.18,72.31,64.29,-27.09
IncomeFinanceIncome_qq,,200.00,-53.65,303.37,-22.28,-50.18,494.24,189.10,7.08,-66.48,-9.22,437.40,-91.96,117.86,46.31,-28.66,-57.07,4219.21,-7.96,-97.78,2008.30,40.08,-93.65,-24.35,185.61,-12.98,-36.31,-124.50,597.48,3.16,-58.95,200.90,-59.62,101.47,32.20,268.08,-66.57,-21.89,-67.85,964.78,-64.00,-76.09,111.40,-105.55,4947.22,-104.87,2332.94,-53.11,133.37
IncomeFinanceIncome_sq,,45.26,2.52,69.23,-21.59,55.59,21.17,58.33,8.39,188.96,-74.82,253.07,-59.08,39.50,-30.94,107.79,-12.46,17.62,74.32,-14.86,6.86,-29.59,0.31,27.38,-15.92,-50.72,16.87,2.34,-6.41,15.99,-24.53,64.29,-12.62,2.10,-2.90,30.93,13.32,-21.47,0.40,13.24,125.00,-13.02,6.56,-11.77,5.25,-50.90,-37.17,94.53,56.54
IncomeFinanceCosts,100000,182000,194000,750000,303000,528000,459000,2765000,2609000,2282000,1408000,5963000,2721000,840000,847000,950000,1536000,6105000,21771000,2826000,12597000,5873000,1946000,739000,3546000,1962000,1991000,429000,2206000,4546000,2057000,2299000,1780000,2938000,5456000,1780000,2371000,1604000,1240000,1818000,2264000,1021000,4573000,1573000,2880000,1340000,3326000,42365000,3542000
IncomeFinanceCosts_yy,,,,,203.00,190.11,136.60,268.67,761.06,332.20,206.75,115.66,4.29,-63.19,-39.84,-84.07,-43.55,626.79,2470.37,197.47,720.12,-3.80,-91.06,-73.85,-71.85,-66.59,2.31,-41.95,-37.79,131.70,3.31,435.90,-19.31,-35.37,165.24,-22.58,33.20,-45.41,-77.27,2.13,-4.51,-36.35,268.79,-13.48,27.21,31.24,-27.27,2593.26,22.99
IncomeFinanceCosts_sy,,,,,21.06,5.17,-7.08,78.19,30.61,69.33,72.18,265.82,77.32,14.36,-2.50,-62.74,-47.27,26.11,3.67,3.72,2.92,-25.29,43.26,-8.71,1.06,6.02,-42.84,-13.77,-8.21,28.84,-50.87,43.18,-14.16,-40.56,100.00,47.56,19.47,-8.36,-32.18,-19.34,1.98,-17.09,-38.02,-9.24,0.86,5.73,7.46,58.11,12.50
IncomeFinanceCosts_qq,,82.00,6.59,286.60,-59.60,74.26,-13.07,502.40,-5.64,-12.53,-38.30,323.51,-54.37,-69.13,0.83,12.16,61.68,297.46,256.61,-87.02,345.75,-53.38,-66.87,-62.02,379.84,-44.67,1.48,-78.45,414.22,106.07,-54.75,11.76,-22.58,65.06,85.70,-67.38,33.20,-32.35,-22.69,46.61,24.53,-54.90,347.89,-65.60,83.09,-53.47,148.21,1173.75,-91.64
IncomeFinanceCosts_sq,,3.63,9.84,32.08,-17.55,7.04,-6.59,79.04,-27.12,34.87,-1.96,248.19,-37.87,-20.14,-9.44,26.40,-31.92,17.06,-19.69,1.76,-9.56,4.89,56.89,-31.34,-2.65,0.70,0.76,0.98,44.94,29.52,-59.74,73.54,-21.95,-16.73,26.05,15.00,-26.37,-10.57,8.20,46.61,14.36,-25.51,11.68,91.73,-4.89,-2.91,-15.57,119.59,-17.27
IncomeOtherIncome,,,,,,,,,,,,0,,,,,0,0,,14000,1000,-35000,58000,-58000,,,0,,,,,,,,159000,0,,,,,,,,3503000,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,-514.29,-100.00,100.00,-100.00,100.00,,,,,,,,,,,-100.00,,,,,,,,,-100.00,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,-12.17,44.74,100.00,15.68,100.00,,,,,,,,,,,-100.00,,,,,,,,,-32.96,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,-92.86,-3600.00,265.71,-200.00,100.00,,,,,,,,,,,-100.00,,,,,,,,,-100.00,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,3.57,-1850.00,265.71,122.55,100.00,,,,,,,,,,,-100.00,,,,,,,,,-58.71,,,,
IncomeNetGrossProfit,902000,479000,2005000,7407000,1020000,60000,2130000,9849000,2637000,1527000,-2214000,4114000,-3878000,1106000,-3178000,2279000,-2723000,3711000,1931000,5731000,-6262000,9691000,14326000,-4375000,-5372000,1081000,6624000,1222000,2104000,652000,6340000,3895000,3738000,6651000,11192000,3888000,4376000,1028000,4059000,5736000,2897000,3123000,4873000,5669000,1885000,3804000,5014000,-46611000,-350000
IncomeNetGrossProfit_yy,,,,,13.08,-87.47,6.23,32.97,158.53,2445.00,-203.94,-58.23,-247.06,-27.57,-43.54,-44.60,29.78,235.53,160.76,151.47,-129.97,161.14,641.90,-176.34,14.21,-88.85,-53.76,127.93,139.17,-39.69,-4.29,218.74,77.66,920.09,76.53,-0.18,17.07,-84.54,-63.73,47.53,-33.80,203.79,20.05,-1.17,-34.93,21.81,2.89,-922.21,-118.57
IncomeNetGrossProfit_sy,,,,,68.89,51.90,99.06,27.27,28.49,-2.41,-4.74,-72.93,-117.46,-14.10,-51.62,15.87,72.17,42.42,131.22,58.33,-2.23,55.58,-15.79,8.53,-6.58,-19.94,18.58,-13.82,-34.93,16.12,24.49,30.92,42.69,33.62,13.93,0.02,-9.94,22.01,8.27,8.11,-9.14,13.90,-17.32,-3.18,-39.58,-5.04,15.10,-0.68,-6.99
IncomeNetGrossProfit_qq,,-46.90,318.58,269.43,-86.23,-94.12,3450.00,362.39,-73.23,-42.09,-244.99,285.82,-194.26,128.52,-387.34,171.71,-219.48,236.28,-47.97,196.79,-209.27,254.76,47.83,-130.54,-22.79,120.12,512.77,-81.55,72.18,-69.01,872.39,-38.56,-4.03,77.93,68.28,-65.26,12.55,-76.51,294.84,41.32,-49.49,7.80,56.04,16.33,-66.75,101.80,31.81,-1029.62,99.25
IncomeNetGrossProfit_sq,,95.86,-1.12,82.22,-9.31,47.88,-37.08,26.67,-53.22,27.32,-40.88,-25.04,8.34,72.02,-53.54,47.44,-67.15,166.42,19.51,69.16,-82.87,142.35,-56.87,93.97,-86.35,77.08,-35.20,44.40,-85.36,99.41,-6.98,64.12,-98.22,149.36,-28.10,37.46,-82.12,125.84,-43.45,33.18,-86.70,147.44,-33.58,23.45,-101.26,101.80,-26.02,13.97,-84.28
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,902000,479000,2005000,7407000,1020000,60000,2130000,9849000,2637000,1527000,-2214000,4114000,-3878000,1106000,-3178000,2279000,-2723000,3711000,1931000,5731000,-6262000,9691000,14326000,-4375000,-5372000,1081000,6624000,1222000,2104000,652000,6340000,3895000,3738000,6651000,11192000,3888000,4376000,1028000,4059000,5736000,2897000,3123000,4873000,5669000,1885000,3804000,5014000,-46611000,-350000
IncomeBeforeTaxProfit_yy,,,,,13.08,-87.47,6.23,32.97,158.53,2445.00,-203.94,-58.23,-247.06,-27.57,-43.54,-44.60,29.78,235.53,160.76,151.47,-129.97,161.14,641.90,-176.34,14.21,-88.85,-53.76,127.93,139.17,-39.69,-4.29,218.74,77.66,920.09,76.53,-0.18,17.07,-84.54,-63.73,47.53,-33.80,203.79,20.05,-1.17,-34.93,21.81,2.89,-922.21,-118.57
