,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingCosts_sy,,,,,-13.50,41.95,-33.40,0.42,-28.02,-15.58,1.95,20.95,24.09,-15.52,22.35,-3.07,13.62,-7.28,35.60,34.03,-12.90,13.80,25.04
IncomeOtherOperatingCosts_qq,,-53.49,-6.50,11.09,-163.13,144.57,113.10,-59.94,2514.00,-96.22,118.83,15.77,-84.48,106.05,82.95,-42.03,1674.45,-95.28,24.72,402.65,41.18,-57.84,2994.33
IncomeOtherOperatingCosts_sq,,-53.49,3.98,11.09,126.37,-26.34,13.69,-12.78,34.07,-42.22,2.94,-16.53,132.14,7.01,50.13,-40.66,158.43,-53.48,49.19,-31.00,59.94,-54.68,64.85
IncomeEBIT,-4737000,5687000,3886000,3465000,4280000,4789000,3173000,7096000,6552000,8652000,6773000,10527000,6258000,5484000,4977000,6191000,3044000,4703000,4807000,13624000,13437000,10152000,-3631000
IncomeEBIT_yy,,,,,190.35,-15.80,-18.34,104.78,53.08,80.69,113.43,48.36,-4.48,-36.62,-26.52,-41.19,-51.36,-14.25,-3.41,120.06,341.44,115.88,-175.54
IncomeEBIT_sy,,,,,9.23,17.55,30.33,-13.72,36.91,27.18,25.68,20.72,-4.48,4.24,-20.00,-18.41,12.77,-2.50,-12.99,6.48,13.16,6.16,-11.69
IncomeEBIT_qq,,220.05,-31.67,-10.82,23.52,11.88,-33.73,123.62,-7.67,32.06,-21.73,55.44,-40.55,-12.37,-9.25,24.41,-50.83,54.50,2.22,183.42,-1.37,-24.45,-135.77
IncomeEBIT_sq,,3.78,-3.71,-2.75,21.09,0.08,-23.84,26.34,14.30,0.10,6.40,9.21,12.26,-12.07,18.88,1.82,23.66,-11.94,9.74,16.16,-1.37,29.76,-55.24
IncomeFinanceIncome,24000,21000,97000,291000,-109000,118000,106000,118000,101000,167000,247000,82000,39000,272000,92000,19000,121000,147000,228000,190000,207000,84000,112000
IncomeFinanceIncome_yy,,,,,-552.52,459.75,9.43,-59.48,193.40,41.92,132.72,-30.47,-61.14,63.24,-62.67,-77.31,207.89,-46.01,146.44,919.76,70.48,-42.60,-50.73
IncomeFinanceIncome_sy,,,,,-22.24,-1.62,-54.67,50.63,-7.55,11.75,39.13,-14.29,-14.29,-16.42,-21.65,-50.00,-11.77,-52.43,-27.27,-20.32,-3.14,-56.25,12.86
IncomeFinanceIncome_qq,,-12.50,362.63,199.21,-137.36,208.23,-9.55,10.80,-13.88,64.45,48.32,-66.90,-51.87,590.77,-66.08,-79.88,553.10,21.14,54.81,-16.74,9.18,-59.22,32.90
IncomeFinanceIncome_sq,,-45.18,10.36,-30.14,22.55,-3.51,-9.55,22.59,15.97,8.76,24.49,25.37,25.00,4.59,-24.26,-26.39,-33.85,13.68,-25.78,-21.66,104.49,-57.63,68.45
IncomeFinanceCosts,1807000,1486000,1561000,1475000,1196000,1514000,1955000,1834000,1783000,2017000,2063000,1911000,1734000,1762000,1788000,1904000,2160000,1990000,2028000,2043000,2454000,2262000,6261000
IncomeFinanceCosts_yy,,,,,-33.83,1.86,25.23,24.28,49.12,33.28,5.55,4.21,-2.73,-12.67,-13.34,-0.37,24.56,12.97,13.41,7.30,13.59,13.66,208.79
IncomeFinanceCosts_sy,,,,,-2.49,-11.21,-33.88,11.82,-35.89,-12.98,-18.55,-25.26,-8.37,-4.68,-13.22,-2.64,0.68,-15.82,9.80,17.77,-4.54,9.80,32.41
IncomeFinanceCosts_qq,,-17.76,5.04,-5.48,-18.96,26.59,29.14,-6.20,-2.76,13.15,2.28,-7.39,-9.24,1.57,1.49,6.48,13.47,-7.88,1.89,0.74,20.13,-7.82,176.82
IncomeFinanceCosts_sq,,-17.00,8.63,-26.33,52.64,-32.99,-12.04,7.89,1.52,-5.00,3.58,-9.10,27.02,-10.33,-5.48,0.15,47.29,-28.52,1.89,-9.38,25.61,-6.56,14.63
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-6520000,4222000,2422000,2280000,2976000,3393000,1325000,5380000,4870000,6802000,4957000,8698000,4563000,3995000,3281000,4306000,1005000,2860000,3007000,11771000,11190000,7975000,-9781000
IncomeNetGrossProfit_yy,,,,,145.64,-19.65,-45.30,135.92,63.67,100.50,274.15,61.67,-6.30,-41.27,-33.81,-50.49,-77.97,-28.41,-8.35,173.36,1013.26,178.86,-425.25
IncomeNetGrossProfit_sy,,,,,35.65,5.17,36.23,-8.46,42.54,24.49,31.74,36.86,2.50,8.54,-19.66,-34.32,12.80,3.24,-12.55,1.91,6.22,22.67,-31.10
IncomeNetGrossProfit_qq,,164.75,-42.63,-5.84,30.49,14.00,-60.95,306.10,-9.47,39.66,-27.13,75.48,-47.54,-12.46,-17.86,31.24,-76.66,184.50,5.15,291.45,-4.93,-28.74,-222.64
IncomeNetGrossProfit_sq,,5.63,49.60,16.74,3.05,10.92,-35.12,30.95,17.49,2.49,2.76,24.78,-35.96,16.31,-3.34,1.23,-6.58,19.16,5.15,12.79,7.90,18.14,-83.16
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-6520000,4222000,2422000,2280000,2976000,3393000,1325000,5380000,4870000,6802000,4957000,8698000,4563000,3995000,3281000,4306000,1005000,2860000,3007000,11771000,11190000,7975000,-9781000
IncomeBeforeTaxProfit_yy,,,,,145.64,-19.65,-45.30,135.92,63.67,100.50,274.15,61.67,-6.30,-41.27,-33.81,-50.49,-77.97,-28.41,-8.35,173.36,1013.26,178.86,-425.25
IncomeBeforeTaxProfit_sy,,,,,35.65,5.17,36.23,-8.46,42.54,24.49,31.74,36.86,2.50,8.54,-19.66,-34.32,12.80,3.24,-12.55,1.91,6.22,22.67,-31.10
IncomeBeforeTaxProfit_qq,,164.75,-42.63,-5.84,30.49,14.00,-60.95,306.10,-9.47,39.66,-27.13,75.48,-47.54,-12.46,-17.86,31.24,-76.66,184.50,5.15,291.45,-4.93,-28.74,-222.64
IncomeBeforeTaxProfit_sq,,5.63,49.60,16.74,3.05,10.92,-35.12,30.95,17.49,2.49,2.76,24.78,-35.96,16.31,-3.34,1.23,-6.58,19.16,5.15,12.79,7.90,18.14,-83.16
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-7933000,3227000,2130000,1835000,2123000,2648000,816000,4380000,3834000,5358000,3912000,6878000,3876000,3182000,2895000,3326000,463000,2376000,2291000,9380000,9400000,5607000,-8398000
IncomeNetProfit_yy,,,,,126.76,-17.95,-61.71,138.70,80.58,102.36,379.62,57.02,1.10,-40.62,-25.99,-51.63,-88.06,-25.33,-20.87,181.99,1931.01,136.00,-466.59
IncomeNetProfit_sy,,,,,18.75,10.65,29.67,-7.33,43.75,23.47,52.12,30.51,-2.02,13.72,-22.57,-20.11,3.46,0.16,-13.08,18.55,20.42,21.65,-28.29
IncomeNetProfit_qq,,140.68,-33.99,-13.86,15.70,24.71,-69.20,437.04,-12.47,39.76,-26.99,75.82,-43.64,-17.92,-9.01,14.90,-86.09,413.35,-3.57,309.45,0.21,-40.35,-249.79
IncomeNetProfit_sq,,36.22,-30.94,16.78,-2.52,-11.60,-34.88,42.75,16.84,7.92,7.16,33.60,-41.81,-7.60,-2.42,9.11,-13.38,12.60,7.40,5.87,-0.86,17.77,-83.61
IncomeShareholderNetProfit,4187000,3227000,2130000,1835000,2123000,2648000,816000,4380000,3834000,5358000,3912000,6878000,3876000,3182000,2895000,3326000,463000,2376000,2291000,9380000,9400000,5607000,-8398000
IncomeShareholderNetProfit_yy,,,,,-49.29,-17.95,-61.71,138.70,80.58,102.36,379.62,57.02,1.10,-40.62,-25.99,-51.63,-88.06,-25.33,-20.87,181.99,1931.01,136.00,-466.59
IncomeShareholderNetProfit_sy,,,,,18.75,10.37,28.19,-7.33,43.75,16.85,52.12,30.46,1.10,12.42,-19.29,-30.36,11.92,-1.58,-12.82,18.55,13.33,21.65,-51.28
IncomeShareholderNetProfit_qq,,-22.93,-33.99,-13.86,15.70,24.71,-69.20,437.04,-12.47,39.76,-26.99,75.82,-43.64,-17.92,-9.01,14.90,-86.09,413.35,-3.57,309.45,0.21,-40.35,-249.79
IncomeShareholderNetProfit_sq,,1.14,-30.94,21.88,-0.93,-11.60,-34.85,47.42,16.84,2.72,7.16,45.85,-41.81,-6.44,-2.72,-5.16,7.72,13.68,16.98,-8.31,9.18,-7.62,-83.61
BalanceNoncurrentAssets,154978000,,168103000,180150000,210453000,217859000,246148000,254141000,272399000,281357000,282640000,290907000,294163000,296380000,298684000,298832000,307643000,319575000,328143000,334992000,357021000,371451000,363276000
BalanceNoncurrentAssets_yy,,,,,35.80,,46.43,41.07,29.43,29.15,14.83,14.47,7.99,5.34,5.68,2.72,4.58,7.83,9.86,12.10,16.05,16.23,10.71
BalanceNoncurrentAssets_sy,,,,,-2.23,,-3.13,-2.08,-2.75,-3.18,-5.48,-2.12,-1.14,3.65,4.08,2.48,2.94,4.08,1.18,0.44,0.05,4.15,8.81
BalanceNoncurrentAssets_qq,,-100.00,,7.17,16.82,3.52,12.99,3.25,7.18,3.29,0.46,2.93,1.12,0.75,0.78,0.05,2.95,3.88,2.68,2.09,6.58,4.04,-2.20
BalanceNoncurrentAssets_sq,,-1.08,,-0.84,-0.03,-1.19,-1.16,-0.95,0.01,-1.47,0.50,-0.18,2.24,-0.84,3.32,-0.36,2.67,-0.02,-1.98,-0.45,1.18,-0.01,2.32
BalanceIntangibleAssets,4816000,,4617000,4698000,4911000,5480000,6038000,6826000,7150000,7537000,7994000,8607000,9060000,9775000,10344000,10516000,10723000,11498000,11277000,11514000,11849000,13523000,14197000
BalanceIntangibleAssets_yy,,,,,1.97,,30.78,45.27,45.59,37.53,32.40,26.10,26.72,29.69,29.40,22.17,18.36,17.63,9.01,9.50,10.49,17.62,25.90
BalanceIntangibleAssets_sy,,,,,-6.26,,-5.70,-6.54,-5.35,-8.56,-6.93,-3.86,-1.73,-1.67,0.05,-0.43,-1.61,-0.82,-4.57,-1.70,-3.21,-2.50,-1.18
BalanceIntangibleAssets_qq,,-100.00,,1.76,4.52,11.59,10.19,13.04,4.75,5.42,6.07,7.66,5.26,7.89,5.83,1.65,1.98,7.22,-1.92,2.10,2.91,14.13,4.98
BalanceIntangibleAssets_sq,,-0.80,,-1.01,-1.67,-0.56,-1.32,-1.32,-1.22,-1.33,-0.43,-1.12,-0.21,-1.49,0.16,-0.92,-0.69,-2.48,-2.44,-1.58,-1.12,-0.62,-0.63
BalanceProperty,142129000,,155955000,168466000,198872000,206450000,234070000,241111000,259519000,267527000,268992000,276702000,280353000,281477000,283474000,283549000,293176000,302877000,312777000,319258000,341956000,353754000,340390000
BalanceProperty_yy,,,,,39.92,,50.09,43.12,30.50,29.58,14.92,14.76,8.03,5.21,5.38,2.47,4.57,7.60,10.34,12.59,16.64,16.80,8.83
BalanceProperty_sy,,,,,-3.06,,-4.94,-3.90,-3.23,-3.50,-3.92,-1.62,-0.72,4.30,6.53,4.80,2.13,1.14,1.15,-0.80,0.90,7.04,7.50
BalanceProperty_qq,,-100.00,,8.02,18.05,3.81,13.38,3.01,7.63,3.09,0.55,2.87,1.32,0.40,0.71,0.03,3.40,3.31,3.27,2.07,7.11,3.45,-3.78
BalanceProperty_sq,,-1.00,,-0.75,-0.09,-1.67,-1.17,-1.03,0.33,-1.32,0.62,0.06,1.69,-0.84,5.34,-0.45,0.92,-0.56,-0.59,-0.67,1.27,-0.13,1.77
BalanceNoncurrentReceivables,0,,169000,,78000,,,,,,,,,,,,,,,,,,679000
BalanceNoncurrentReceivables_yy,,,,,,,-100.00,,-100.00,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,-26.56,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,-100.00,,-100.00,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,-1.87,,-8.52,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,80000,,80000,80000,80000,80000,80000,184000,289000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
BalanceNoncurrInvestments_yy,,,,,,,,129.61,261.10,,,-56.45,-72.31,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,-16.57,,,-12.42,-0.33,,,,,,,,,,
BalanceNoncurrInvestments_qq,,-100.00,,,,,,129.61,57.27,-72.31,,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,-3.76,,,,,,-0.18,-3.39,-5.06,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,7953000,,7282000,6905000,6512000,5849000,5959000,6021000,5442000,6213000,5574000,5518000,4670000,5049000,4785000,4688000,3663000,5120000,4009000,4140000,3136000,4093000,7930000
BalanceOtherNoncurrentAssets_yy,,,,,-18.12,,-18.16,-12.80,-16.44,6.22,-6.47,-8.35,-14.18,-18.74,-14.15,-15.04,-21.55,1.41,-16.22,-11.70,-14.40,-20.06,97.82
BalanceOtherNoncurrentAssets_sy,,,,,35.28,,-11.47,-3.85,-6.76,6.36,0.26,-1.16,-7.87,-9.15,-8.22,-9.44,-15.28,-3.80,-4.67,13.97,3.18,2.92,16.06
BalanceOtherNoncurrentAssets_qq,,-100.00,,-5.17,-5.69,-10.19,1.89,1.03,-9.62,14.17,-10.28,-1.00,-15.37,8.11,-5.23,-2.02,-21.86,39.76,-21.71,3.27,-24.25,30.53,93.74
BalanceOtherNoncurrentAssets_sq,,3.25,,-2.48,-2.38,-9.85,1.62,0.24,0.68,-8.04,0.09,-0.36,-6.52,-1.86,,-7.24,2.10,-0.42,-2.27,6.33,-1.89,2.04,1.50
BalanceCurrentAssets,77888000,,135540000,133972000,119445000,145862000,139176000,120249000,113432000,123966000,120118000,128441000,122297000,141381000,132740000,149332000,168996000,179282000,154688000,154392000,162408000,173729000,176934000
BalanceCurrentAssets_yy,,,,,53.35,,2.68,-10.24,-5.03,-15.01,-13.69,6.81,7.82,14.05,10.51,16.27,38.18,26.81,16.54,3.39,-3.90,-3.10,14.38
BalanceCurrentAssets_sy,,,,,-3.30,,-2.68,-8.82,-5.03,2.03,4.16,8.28,7.28,2.76,6.70,5.20,10.31,10.94,7.34,7.57,3.12,4.33,11.56
BalanceCurrentAssets_qq,,-100.00,,-1.16,-10.84,22.12,-4.58,-13.60,-5.67,9.29,-3.10,6.93,-4.78,15.60,-6.11,12.50,13.17,6.09,-13.72,-0.19,5.19,6.97,1.85
BalanceCurrentAssets_sq,,-2.73,,4.81,-5.43,-5.78,-0.90,1.59,-3.79,3.88,-4.07,3.42,-3.31,-2.24,5.62,2.84,-0.12,4.40,3.23,3.77,-2.93,2.36,1.85
BalanceInventory,22655000,,30476000,33779000,35045000,75313000,61349000,50887000,33772000,41376000,42245000,41427000,33496000,41426000,37918000,50486000,45423000,58961000,47284000,44781000,42186000,49189000,49120000
BalanceInventory_yy,,,,,54.69,,101.30,50.65,-3.63,-45.06,-31.14,-18.59,-0.82,0.12,-10.24,21.87,35.61,42.33,24.70,-11.30,-7.13,-16.57,3.88
BalanceInventory_sy,,,,,-5.65,,-13.15,-6.76,-13.68,-9.15,0.70,-3.16,3.63,-3.10,2.00,5.02,8.96,13.22,3.66,8.55,3.37,1.95,11.50
BalanceInventory_qq,,-100.00,,10.84,3.75,114.90,-18.54,-17.05,-33.63,22.52,2.10,-1.94,-19.14,23.67,-8.47,33.14,-10.03,29.80,-19.80,-5.29,-5.79,16.60,-0.14
BalanceInventory_sq,,-2.28,,-5.16,-3.64,-6.97,-4.71,-1.46,-11.56,-1.49,-4.06,-2.15,-13.39,-0.16,5.03,-1.65,2.25,3.21,4.72,-0.59,-7.19,0.87,6.60
BalanceCurrentReceivables,51647000,,50120000,49096000,46720000,47333000,62257000,53795000,58615000,60833000,57773000,65239000,69156000,74490000,73671000,77405000,94171000,93052000,84211000,82870000,87983000,93712000,86670000
BalanceCurrentReceivables_yy,,,,,-9.54,,24.22,9.57,25.46,28.52,-7.20,21.27,17.98,22.45,27.52,18.65,36.17,24.92,14.31,7.06,-6.57,0.71,2.92
BalanceCurrentReceivables_sy,,,,,-7.25,,-4.17,-6.18,0.63,8.49,-0.84,10.59,6.09,3.36,10.87,-0.02,6.44,3.60,1.22,4.73,2.45,-1.94,1.60
BalanceCurrentReceivables_qq,,-100.00,,-2.04,-4.84,1.31,31.53,-13.59,8.96,3.78,-5.03,12.92,6.00,7.71,-1.10,5.07,21.66,-1.19,-9.50,-1.59,6.17,6.51,-7.51
BalanceCurrentReceivables_sq,,-6.85,,8.67,-9.10,-1.47,3.61,4.12,-0.91,0.71,-0.67,13.61,-5.84,-1.78,6.11,5.84,-4.28,1.68,2.98,11.79,-8.09,-5.25,5.58
BalanceCurrentInvestments,,,169000,83000,,,,,,,239000,38000,1200000,1200000,1276000,1200000,2169000,2402000,1200000,1286000,1200000,1200000,1277000
BalanceCurrentInvestments_yy,,,,,,,-100.00,-100.00,,,,,,,434.65,3071.41,80.73,100.15,-5.97,7.15,-44.67,-50.04,6.42
BalanceCurrentInvestments_sy,,,,,,,-43.08,-28.03,,,,,,,-23.39,-1.37,10.71,50.54,-2.54,7.15,7.32,-14.69,22.14
BalanceCurrentInvestments_qq,,,,-51.24,-100.00,,,,,,,-84.15,3071.41,,6.35,-5.97,80.73,10.74,-50.04,7.15,-6.67,,6.42
BalanceCurrentInvestments_sq,,,,3.85,-40.52,,,,,,,-40.91,-10.77,,8.20,-4.76,-15.01,57.50,-53.92,7.15,-6.67,,-9.17
BalanceCash,969000,,2093000,41068000,23315000,9788000,4498000,4933000,8254000,6519000,10064000,10532000,10359000,12581000,7514000,8450000,17997000,7848000,7297000,11946000,16275000,10260000,22836000
BalanceCash_yy,,,,,2306.06,,114.91,-87.99,-64.60,-33.39,123.76,113.50,25.51,92.98,-25.34,-19.77,73.72,-37.62,-2.88,41.38,-9.57,30.74,212.94
BalanceCash_sy,,,,,5.22,,13.87,6.78,-20.70,14.84,9.04,-15.25,18.80,4.99,-0.66,22.27,-2.67,25.10,14.28,-5.62,19.08,21.56,7.08
BalanceCash_qq,,-100.00,,1862.26,-43.23,-58.02,-54.05,9.68,67.31,-21.01,54.37,4.65,-1.64,21.44,-40.27,12.45,112.99,-56.40,-7.01,63.70,36.24,-36.96,122.58
BalanceCash_sq,,-8.64,,12.54,5.12,-15.83,-5.64,9.68,-9.32,9.60,12.96,1.36,46.37,-12.73,-9.45,14.68,28.91,4.32,-11.24,0.25,21.61,12.72,20.19
BalanceOtherCurrentAssets,2617000,,52681000,9946000,14365000,13428000,11071000,10633000,12792000,15237000,9798000,11205000,8086000,11685000,12360000,11791000,9236000,17021000,14696000,13509000,14763000,19368000,17031000
BalanceOtherCurrentAssets_yy,,,,,448.89,,-78.98,6.91,-10.95,13.47,-11.50,5.37,-36.79,-23.31,26.15,5.24,14.22,45.66,18.90,14.57,59.85,13.79,15.89
BalanceOtherCurrentAssets_sy,,,,,-4.31,,-14.83,-24.19,-13.86,5.33,-8.55,-8.39,-2.92,8.38,2.83,-1.43,2.00,9.04,14.24,23.46,28.60,19.11,15.18
BalanceOtherCurrentAssets_qq,,-100.00,,-81.12,44.42,-6.52,-17.55,-3.95,20.30,19.12,-35.70,14.36,-27.83,44.51,5.78,-4.60,-21.67,84.29,-13.66,-8.08,9.28,31.19,-12.07
