,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
BalanceIntangibleAssets,285118000,287737000,289453000,309430000,300505000,293470000,307570000,239597000,233141000,257644000,256838000,267946000,267933000,273956000,395196000,412480000,399492000,390187000,382053000,388811000,374420000,364654000,361086000,389444000,376102000,371585000,366484000,765275000,746254000,723640000,699543000,597455000,579108000,563481000,545418000,538340000,516785000,504233000,488036000,465299000,449867000,432088000,418849000,416803000,399415000,383875000,373977000,364772000,360604000,353577000,347632000,358181000,352388000,349127000,344606000
BalanceProperty,1790330000,1756981000,1734812000,1766911000,1715632000,1688952000,1743291000,1458029000,1431496000,1419449000,1412752000,1408597000,1380363000,1365414000,1376389000,1452127000,1460290000,1447666000,1410776000,1422301000,1371080000,1359850000,1324579000,1520766000,1499598000,1487117000,1488408000,2211150000,2148741000,2115176000,2091055000,2066304000,2044600000,2010864000,1983227000,1983822000,1950707000,1911084000,1874426000,1846816000,1801965000,1773740000,1968505000,1873051000,1818708000,1785714000,1755337000,1748864000,1720451000,1723391000,1711323000,1716302000,1698031000,1691475000,1699645000
BalanceNoncurrentReceivables,,,,0,,,539000,484000,427000,2807000,310000,250000,188000,125000,277000,6623000,6623000,6623000,6623000,676000,217000,217000,217000,217000,218000,218000,217000,218000,218000,218000,1000,1000,1000,1000,,,,625000,558000,374000,,,,,,,,51000,51000,107935000,105643000,108558000,157695000,140146000,141404000
BalanceNoncurrInvestments,145693000,155611000,168179000,150445000,1486000,1601000,6165000,10000,10000,10000,10000,10000,10000,10000,10000,10000,115000,115000,115000,115000,115000,115000,115000,115000,115000,929000,711000,442000,372000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,43003000,39754000,31074000,18141000,11179000,41027000,11896000,8168000
BalanceOtherNoncurrentAssets,8894000,7422000,9019000,7829000,6993000,14520000,16249000,17431000,14925000,12556000,6998000,86955000,84100000,84755000,76393000,63270000,68822000,64061000,53108000,123616000,121124000,140164000,134179000,112769000,109059000,102478000,95364000,98045000,96715000,97590000,100498000,95737000,95278000,89735000,112502000,109419000,104527000,118297000,116987000,112476000,115264000,107617000,102119000,85721000,95732000,93972000,94071000,515972000,525889000,397339000,426910000,450416000,343573000,323172000,305348000
BalanceCurrentAssets,270400000,246801000,167499000,198863000,217392000,476655000,428985000,393521000,382614000,359132000,411827000,442729000,468676000,552443000,599697000,594862000,592945000,642707000,641887000,452774000,440382000,441576000,422383000,429571000,487747000,380791000,358803000,316987000,344454000,273762000,290465000,482730000,474497000,274991000,319602000,289624000,325767000,237446000,245524000,224100000,206803000,214301000,213192000,240314000,238306000,265165000,312705000,1506000,977000,3040000,2262000,1795000,1731000,1819000,1584000
BalanceInventory,1679000,2692000,2890000,2903000,1835000,2478000,3778000,5060000,4885000,3372000,5571000,3143000,4446000,5973000,7147000,11393000,7120000,6893000,5958000,5314000,5142000,3955000,3502000,2094000,1670000,1745000,2043000,2664000,2296000,2800000,2243000,2820000,2738000,2399000,3716000,2680000,3221000,2560000,2892000,2134000,1984000,1803000,1724000,2951000,4330000,3348000,4660000,119451000,121401000,135054000,156962000,118060000,115550000,131302000,131833000
BalanceCurrentReceivables,106370000,132082000,106532000,127361000,124307000,133869000,171726000,168865000,154888000,159817000,161148000,173578000,222610000,231431000,232293000,198136000,163437000,170103000,167290000,255858000,239323000,270407000,250849000,248788000,223594000,216951000,195330000,196258000,192056000,196974000,178824000,250362000,184381000,183837000,190734000,178755000,171908000,169430000,163428000,170988000,164416000,164905000,165176000,188959000,157372000,173768000,175403000,,,,63059000,63946000,54611000,53013000,15357000
BalanceCurrentInvestments,1157000,0,,,5905000,29004000,58039000,57769000,62259000,97699000,129376000,156017000,171734000,171718000,210793000,223458000,2739000,526000,1034000,64000,64000,269000,1355000,61000,58000,60000,57000,1095000,2086000,2355000,1427000,859000,905000,256000,1009000,176000,1782000,241000,227000,400000,49000,357848000,371157000,237584000,197387000,228957000,139608000,113883000,149686000,154629000,103954000,48416000,57700000,74242000,324802000
BalanceCash,235609000,195397000,173430000,115601000,165668000,183533000,111033000,147554000,159550000,175723000,212562000,221511000,219522000,158772000,161781000,128237000,133385000,144965000,229750000,126524000,130944000,93369000,124611000,48251000,86324000,207305000,262123000,61727000,82277000,82655000,123452000,36236000,54864000,27643000,16194000,23832000,23245000,29149000,28672000,40263000,86932000,37167000,32354000,21661000,7240000,37658000,32073000,23155000,6888000,6565000,8073000,9661000,10899000,17008000,15506000
BalanceOtherCurrentAssets,17872000,18294000,20407000,22303000,21671000,20216000,32888000,38109000,44690000,37876000,38108000,33407000,25659000,30091000,33610000,37943000,34583000,33660000,32464000,34216000,30425000,24638000,25431000,25680000,21979000,20157000,22900000,25601000,42016000,24629000,26930000,28211000,24164000,21553000,23968000,23761000,22820000,19255000,47932000,47386000,45661000,,,,0,2329000,2329000,2329000,2329000,3081000,2329000,2137000,36721000,187901000,36943000
BalanceAssetsForSale,36943000,513000,513000,118000,87000,,,,,0,26736000,26770000,26770000,26770000,,,,,,,,,,,,,,,,,,,,2634474000,2610412000,2560613000,2627035000,2588619000,2527046000,2528943000,2155359000,2093132000,2092063000,2016734000,2070651000,2062256000,2169214000,2260204000,2282705000,2264467000,2216292000,2218287000,2341569000,2298503000,2361929000
BalanceTotalAssets,2361982000,2568569000,2537800000,2565803000,2550219000,3553148000,3483570000,3447659000,3374046000,3232985000,3220630000,3058544000,2983523000,2937636000,2909033000,2786785000,2753541000,2890698000,2821723000,2571295000,2820132000,2689013000,2648907000,2525448000,2491941000,2450328000,2403238000,2399002000,2374382000,2400634000,2384573000,2399855000,2451143000,2369582000,2400552000,2343323000,2353641000,2304408000,2299445000,2317195000,1944998000,1908465000,1899408000,1824088000,1728269000,1687128000,1954626000,1937321000,1928481000,1927899000,1915427000,1920872000,2026177000,2042500000,2062873000
BalanceCapital,2075141000,2297546000,2274897000,2288455000,2294021000,2500368000,2486739000,2483880000,2444660000,2296295000,2295363000,2179402000,2193744000,2204504000,2217109000,2079182000,2075947000,2242617000,2243484000,2041272000,2049388000,2036120000,2019153000,1885824000,1900399000,1895987000,1891168000,1770581000,1785135000,1778343000,1822995000,1835006000,1853996000,379549000,393929000,397833000,408615000,414225000,389168000,389168000,389168000,389168000,389168000,389277000,389277000,389277000,389277000,389277000,389277000,389277000,389277000,389277000,389277000,389338000,389338000
BalanceShareCapital,389338000,389459000,390375000,391043000,391061000,391602000,381863000,386170000,386212000,386281000,386281000,386281000,386281000,347911000,347911000,347911000,347911000,348088000,348088000,348099000,348168000,348233000,348233000,348233000,348348000,348363000,348426000,348438000,348558000,348564000,335481000,335578000,335578000,-2812000,1888951000,-122806000,-122806000,-122806000,,,40102000,49632000,,,,,,,,0,,,-24738000,-49582000,-24847000
BalanceOwnShares,-70487000,-106814000,-122702000,-251012000,-251012000,,,,,,-6167000,-26706000,-28224000,-37195000,-52876000,-60445000,-60445000,-60445000,1901527000,1439000,1929426000,1941330000,1928110000,1838226000,1838325000,1839078000,1644099000,1686127000,1691340000,1655649000,1660273000,1577912000,1579193000,1580449000,1586268000,1382209000,1383426000,1388916000,1391560000,1638263000,1638122000,1638829000,1638309000,1905320000,1910950000,1907336000,1863710000,2086113000,2082456000,2079260000,2081072000,1986486000,1986762000,1774280000,1775932000
BalanceReserve,1660435000,1661616000,1668228000,1667834000,1722715000,1725944000,1725971000,1725417000,1609148000,1608298000,1609532000,1608373000,1495314000,1495364000,1495116000,1447983000,1408687000,1408852000,5378000,5600000,5798000,6349000,6492000,6656000,6799000,6902000,6294000,6369000,6468000,,,,,,,,,0,,,,5000,5000,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,58474000,59123000,58645000,15972000,14851000,23413000,15602000,11712000,10763000,16194000,15839000,101416000,164163000,14185000,26530000,27335000,33822000,31823000,30144000,21744000,13961000,16400000,23235000,31871000,29026000,29873000,28505000,552156000,548824000,486516000,485124000,451066000,453316000,387885000,386220000,316738000,311499000,288046000,289958000,249740000,251607000,198940000,337586000,318247000
BalanceNoncurrentLiabilities,250177000,247040000,177585000,178711000,110333000,241591000,239930000,190328000,194841000,43831000,340956000,55706000,56713000,56595000,14000000,13091000,13840000,3509000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,0,,,,558000,4959000,4963000,87344000,150646000,259000,340000,,,,334000,0,,,514584000,514374000,451096000,450745000,384452000,385096000,320809000,321457000,257211000,257800000,236541000,237001000,200534000,200600000,149703000,268104000,268172000,200971000,201016000,133945000,134139000,67059000,199488000,199471000,149888000,150561000,300000000
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,2768000,2410000,2050000,1972000,1760000,9573000,12093000,11154000,10763000,11235000,10876000,14072000,13517000,13926000,26190000,27335000,33822000,31823000,30144000,21744000,13961000,16400000,22901000,31871000,29026000,29873000,28505000,37572000,34450000,35420000,34379000,66614000,68220000,67076000,64763000,59527000,53699000,51505000,52957000,49206000,51007000,49237000,69482000,50075000,49206000,46024000,43640000,44572000,43274000,42103000,40459000,40440000,44280000,43831000,40956000
BalanceNoncurrentOtherLiabilities,201040000,145137000,152847000,251073000,262868000,197532000,189347000,191747000,167610000,170092000,170339000,240966000,206890000,200403000,296353000,326889000,302746000,269042000,267271000,293648000,242042000,282656000,263606000,239152000,233877000,247475000,227693000,500619000,448002000,477263000,444262000,485624000,471951000,491257000,403559000,416394000,380425000,419557000,387636000,398341000,326632000,331083000,433158000,334646000,379577000,392584000,413957000,375630000,401737000,386830000,349317000,431963000,366737000,521018000,256191000
BalanceCurrentLiabilities,178416000,126462000,132289000,237370000,240554000,183680000,174548000,168267000,143325000,147986000,152415000,219486000,163961000,183944000,268793000,297809000,267050000,229237000,216833000,248791000,196361000,236477000,213046000,206351000,192838000,202743000,180633000,263226000,256873000,275009000,235455000,260135000,237951000,227879000,218344000,231718000,193616000,185381000,197687000,235712000,173841000,181315000,205954000,206328000,186062000,202932000,188912000,219635000,192719000,324439000,181239000,211918000,185488000,192272000,200699000
BalanceCurrentTradePayablesv,,,,0,,,,8847000,8607000,4780000,1609000,7832000,29195000,214000,304000,164000,176000,271000,427000,31000,107000,2094000,180593000,129783000,128734000,139268000,166197000,177447000,202126000,126697000,126866000,127465000,177167000,133454000,100004000,100070000,99873000,133800000,66967000,133832000,133836000,170646000,97659000,149423000,10368000,113552000,162571000,129955000,276151000,53000,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11506000,7239000,9938000,2969000,2711000
BalanceCurrentLeasing,2166000,2976000,4204000,4266000,4803000,4173000,716000,4407000,2288000,2111000,6398000,11029000,11810000,19001000,9317000,8466000,4076000,4601000,2705000,2768000,2431000,3720000,12766000,17463000,30369000,28405000,21469000,18939000,19243000,17259000,17771000,19640000,16757000,18986000,26897000,19504000,16394000,19921000,26179000,27258000,24165000,22756000,27991000,30486000,24084000,25416000,29643000,21514000,22213000,24676000,11118000,11436000,10620000,10734000,19603000
BalanceCurrentOtherLiabilities,11686000,11823000,10429000,11412000,12523000,12142000,12932000,13402000,13957000,25449000,22378000,24503000,27819000,31166000,35113000,37215000,42103000,45959000,30065000,38271000,42194000,41246000,44034000,43883000,43151000,41134000,37823000,37614000,42009000,41259000,40039000,39704000,40252000,37509000,35728000,33217000,33501000,73483000,35172000,32425000,31651000,31643000,30345000,29109000,27939000,29110000,27831000,29780000,30382000,30763000,2634474000,2610412000,2560613000,2627035000,2588619000
BalanceReckoning,2527046000,2528943000,2155359000,2093132000,2092063000,2016734000,2070651000,2058181000,2169214000,2260204000,2282705000,2264467000,2216292000,2218287000,2341569000,2298503000,2361929000,2361982000,2568569000,2537800000,2565803000,2550219000,3553148000,3483570000,3447659000,3374046000,3232985000,3220630000,3058544000,2983523000,2937636000,2909033000,2786785000,2753541000,2890698000,2821723000,2571295000,2820132000,2689013000,2648907000,2525448000,2491941000,2450328000,2403238000,2399002000,2374382000,2400634000,2384573000,2399855000,2451143000,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,93149000,69758000,105113000,70317000,81619000,50741000,44428000,58449000,84787000,32474000,69136000,30662000,15344000,30953000,60187000,64310000,77069000,77901000,82320000,62829000,21574000,83054000,98666000,86189000,105781000,94224000,109486000,109336000,151851000,130540000,119782000,139213000,169872000,130118000,145175000,130106000,121101000,93531000,144179000,264585000,119652000,117680000,127033000,132663000,106900000,112586000,114044000,108263000,94594000,75825000,96618000,78536000,106720000,76668000,94072000
CashflowAmortization,60764000,61470000,63938000,62285000,64602000,67937000,69577000,70349000,69519000,70485000,71874000,62644000,62879000,68666000,66543000,72259000,72962000,74388000,75832000,75384000,73972000,74786000,75411000,76515000,75325000,75786000,75817000,81828000,120019000,122101000,121079000,119292000,111349000,109968000,109666000,109011000,105294000,105577000,106378000,106743000,105450000,102378000,102786000,110473000,106976000,102102000,97573000,94553000,79103000,78565000,76976000,76953000,69717000,71780000,70185000
CashflowInvestingCashflow,-54080000,-15533000,-159393000,-62335000,-61608000,-100751000,-69789000,-20691000,-76547000,-85696000,-123914000,-110036000,-81825000,408110000,-152074000,-104823000,-99241000,-127193000,-28832000,-48051000,-90935000,-45121000,-84377000,-68623000,-67730000,-83788000,-88738000,-832454000,-81730000,-67959000,-67856000,-52459000,-71246000,-54767000,-57228000,-95528000,-84060000,-53899000,-49855000,-56587000,-63897000,-55859000,-255895000,-62699000,-57098000,-38830000,-61807000,-51354000,-73390000,-53213000,-69606000,-71499000,-71862000,-61467000,-67536000
CashflowCapex,50030000,21123000,134695000,44668000,62522000,47631000,135573000,60136000,92513000,62453000,150954000,111395000,86106000,55389000,152698000,103960000,80922000,99544000,55459000,59611000,56565000,38820000,57089000,54901000,69500000,51296000,85169000,1051679000,79046000,68127000,68027000,52606000,71628000,55165000,57353000,97680000,84551000,54072000,50076000,57020000,64073000,55966000,255915000,62874000,57952000,38895000,62342000,51648000,73459000,53243000,69254000,72317000,72146000,61085000,67544000
CashflowFinancingCashflow,15177000,-37384000,-79099000,14450000,11389000,-42935000,-2718000,-49000,0,4931000,-289000,89181000,82940000,-184951000,-722000,-5383000,-1292000,-1567000,-2364000,-1814000,-2313000,-1975000,-1534000,-2110000,-1280000,-1266000,-23680000,662048000,-66900000,-96412000,-46387000,-93806000,-124312000,-74852000,-55736000,-72150000,-6054000,-159554000,-12443000,-87126000,-950000,-261940000,149234000,-69741000,-8966000,-160705000,-70684000,-46973000,-32467000,-15098000,-27261000,-1544000,-35235000,-5271000,20611000
CashflowShareCapitalCash,16582000,36380000,9799000,19603000,11463000,7747000,0,0,-73000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38710000,0
CashflowDividend,0,,50323000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138539000,7584000,0,,208859000,0,0,,137403000,0,0,,127427000,0,,,55216000,17450000,-133791000,22575000,31570000,-92949000
CashflowNetCashflow,-28225000,37689000,8240000,-48291000,-55067000,9807000,16459000,254112000,-92609000,-45896000,-23464000,-50859000,51124000,12964000,-71674000,35958000,12755000,15456000,36771000,9170000,-2932000,-61070000,3221000,-33831000,5539000,-7052000,-25686000,499000,32211000,-37572000,30987000,-119922000,81881000,120872000,54805000,-200119000,20372000,223000,40836000,-86949000,-18447000,9936000,-11263000,7514000,-249000,5493000,-377000,9930000,47147000,,,,,,
