,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceReserve,32375000,30199000,29528000,28854000,31040000,31171000,31187000,32129000,35535000,37967000,39370000,39359000,48493000,48487000,48452000,48525000,52969000,52939000,52953000,52965000,44484000,44561000,44474000,44583000,47269000,47206000,47167000,47177000,62853000,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2861000,2669000,2582000,2363000,2193000,6581000,6371000,6155000,7718000,7824000,7713000,7682000,13589000,25487000,25823000
BalanceNoncurrentLiabilities,25627000,26893000,25271000,24497000,26109000,15878000,63081000,36516000,34792000,33180000,29486000,28327000,27345000,33314000,31152000,30283000,28035000,28897000,26731000,27247000,24422000,21827000,21153000,19200000,17520000,16362000,15215000,8158000,8099000,1464000,1174000,1047000,767000,590000,4939000,4769000,4561000,5718000,5434000,10914000,,13423000,,
BalanceNoncurrentTradeLiabilities,24459000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5592000,5396000,12735000,12288000,12106000,13522000,13094000,14909000,4894000,26887000,24824000,23077000,20900000,17524000
BalanceNoncurrentBorrowings,16826000,16151000,21995000,19675000,19372000,17079000,18194000,16536000,17187000,14902000,12449000,11446000,10549000,9132000,8110000,7122000,767000,745000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,1397000,1495000,1535000,1596000,1603000,1642000,1602000,1594000,2000000,2232000,2279000,2286000,2675000,12752000,13535000,13521000,13470000,11749000,11403000,11200000,10984000,11735000,11692000,11715000,12280000,11962000
BalanceNoncurrentOtherLiabilities,11501000,11194000,11319000,11477000,10911000,10956000,10703000,10195000,10060000,9520000,9378000,9707000,8651000,8388000,8252000,8093000,7391000,7354000,24297000,20790000,26216000,21209000,23126000,26189000,36618000,35747000,43581000,39207000,42431000,53863000,65987000,49253000,58313000,62337000,78531000,67708000,68188000,73234000,94386000,31973000,60573000,60057000,66345000,42307000
BalanceCurrentLiabilities,53710000,56755000,68698000,54137000,75902000,69672000,87535000,74816000,85164000,70950000,82351000,70898000,82120000,75204000,90160000,63010000,75255000,75633000,24138000,20480000,25993000,21020000,22941000,25815000,36351000,35544000,43382000,16207000,42326000,24763000,61241000,17943000,26596000,22716000,78222000,23482000,26939000,28216000,35348000,34168000,31438000,35415000,16857000,27280000
BalanceCurrentTradePayablesv,24458000,32980000,20605000,39090000,25721000,42909000,29193000,41582000,24617000,34635000,26500000,33568000,26175000,43350000,24250000,33129000,30055000,,,,,,,,,,18937000,25586000,24657000,26876000,34664000,36002000,34244000,39148000,53190000,20591000,22035000,23420000,16771000,18795000,22431000,27863000,23726000,29652000
BalanceCurrentBorrowings,30141000,35773000,36051000,37155000,37190000,39570000,34559000,41081000,38842000,38894000,25488000,32222000,33682000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,159000,310000,220000,186000,182000,370000,263000,199000,195000,4063000,105000,3514000,47000,6653000,4841000,4957000,309000,7473000,6240000,5119000,5097000,31208000,5049000,5819000,6745000,7914000,6869000,9116000,7107000,9042000,6384000
BalanceCurrentOtherLiabilities,13164000,8188000,8884000,5790000,8495000,7485000,9111000,6758000,9522000,7235000,12543000,9248000,11188000,,,3000,3000,3000,4000,4000,4000,4000,4699000,0,0,0,751000,765000,751000,751000,765000,765000,765000,765000,765000,766000,750000,748000,764000,776000,646000,665000,688000,637000
BalanceReckoning,648000,661000,728000,713000,665000,681000,729000,656000,708000,44547000,41021000,46836000,66245000,68881000,73332000,82447000,82124000,90776000,88473000,92306000,103874000,121860000,120144000,129687000,132455000,148198000,138599000,138449000,145305000,156941000,142947000,146026000,145495000,154007000,134507000,145090000,147743000,166419000,154978000,173717000,163146000,180110000,165653000,174763000
BalanceTotalEquityAndLiabilities,157110000,164482000,155442000,163177000,153899000,166962000,155344000,158703000,157056000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,1725000,11000,-1462000,-6255000,2022000,2476000,-1670000,-260000,2201000,4910000,739000,3365000,85000,4129000,-5223000,-4288000,2500000,7217000,-2212000,2498000,-1553000,5670000,-80000,353000,2984000,5418000,1738000,-2574000,2784000,9898000,-785000,933000,2110000,3638000,890000,1813000,1812000,8052000,-2711000,2343000,3925000,3688000,-11562000,-1152000
CashflowAmortization,173000,195000,183000,415000,533000,546000,601000,687000,763000,845000,917000,906000,949000,1151000,1264000,1400000,1460000,1453000,1482000,1473000,1515000,1525000,1556000,1589000,1617000,1641000,1624000,1635000,1585000,1613000,1632000,1688000,1706000,1685000,1715000,1668000,1641000,1598000,1626000,1599000,1645000,1609000,1552000,1551000
CashflowInvestingCashflow,82000,1075000,-228000,-7740000,-4767000,-1184000,-1772000,-1887000,784000,-4090000,-1392000,-3930000,-10666000,-6560000,-593000,-1189000,-664000,-1086000,-427000,-4149000,-2234000,-17785000,-1414000,-986000,-2296000,4930000,-2004000,30000,-11564000,-3645000,-1460000,-1712000,-5437000,-1536000,-1830000,3911000,-938000,-1257000,-1371000,-1458000,-1258000,22895000,-861000,-653000
CashflowCapex,16000,23000,172000,8017000,1145000,1355000,1846000,1868000,3025000,1509000,3930000,11274000,6416000,654000,1326000,816000,1609000,609000,4590000,1590000,2404000,1677000,1108000,2137000,1982000,1686000,1372000,1692000,1752000,1567000,1778000,1931000,1657000,1649000,1108000,1104000,1735000,1371000,1408000,1510000,1369000,956000,655000,-1588000
CashflowFinancingCashflow,-434000,902000,17350000,-95000,7396000,5897000,-857000,-2641000,-2081000,-834000,6000000,8136000,5198000,2851000,5788000,4564000,-4234000,-2937000,5447000,3606000,4827000,-4589000,-398000,16000,-8362000,470000,2389000,8998000,-6448000,3817000,-1646000,2310000,-3025000,823000,-4903000,-1490000,-5459000,5485000,-3288000,-1700000,-14306000,234000,1068000,
CashflowShareCapitalCash,,,25428000,0,88000,179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,1901000,0,,,3803000,0,,,1268000,0,,,634000,0,,,219000,652000,-788000,3355000,-2840000
CashflowNetCashflow,8688000,2455000,-3004000,344000,-1261000,-1487000,5435000,-2445000,2767000,-2965000,311000,6400000,1897000,-5576000,3796000,-181000,-7288000,-6083000,-1031000,704000,1986000,204000,-155000,218000,-195000,1572000,-2425000,-1017000,-923000,-117000,821000,-616000,1336000,1403000,-2403000,967000,12277000,-12189000,-737000,,,,,
