,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentReceivables,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,0,0,0,116000,110000,110000,110000,110000,110000,110000,279000,283000,194000,194000,197000,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124000,124000,,1698000,,,11326000
BalanceOtherNoncurrentAssets,12336000,20519000,25980000,28697000,31136000,41624000,44523000,48412000,55046000,61715000,70071000,77537000,82200000,98731000,127674000,140254000,,,,,135000,207000,58000,69000,20706000,18788000,21385000,21020000,7663000,10292000,7852000,4236000,21899000,6391000,2576000,34033000
BalanceCurrentAssets,17834000,11781000,5065000,26494000,31637000,14787000,11475000,9797000,7925000,10552000,8258000,6401000,6688000,23030000,22001000,37454000,18394000,9975000,189202000,99931000,,16000,16000,,16000,,,49000,47000,48000,98000,99000,79000,78000,1072000,843000
BalanceInventory,3120000,5480000,4563000,4533000,7074000,1903000,1171000,1216000,3119000,3119000,4232000,6221000,7508000,8722000,7159000,8769000,9590000,,91000,33000,,1037000,110000,110000,1743000,1646000,2446000,1215000,1720000,1721000,6943000,6611000,3493000,4373000,6180000,2459000
BalanceCurrentReceivables,4943000,1722000,4201000,3025000,3114000,1797000,2911000,3831000,2514000,4760000,4894000,1649000,3698000,21974000,,0,,,0,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,5000,4000,,17469000,,,8235000,5972000,1295000,4499000,373000,31783000,10561000,3606000,43000,17622000,18713000,6953000,1175000,46000,1541000,6074000,3709000,915000
BalanceCash,64000,14826000,13017000,25019000,2355000,1038000,173338000,68097000,,95000,5000,,264000,,,264000,187000,447000,579000,384000,450000,252000,492000,686000,1379000,1264000,812000,824000,955000,280000,282000,219000,570000,594000,141000,249000
BalanceOtherCurrentAssets,167000,2423000,129000,3397000,270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,208000,348000,205000,213000,21144000,23439000,24865000,25837000,36571000,26942000,25953000,32638000,27248000,39659000,38340000,73042000,72723000,75468000,79138000,121742000,145770000,148116000,154594000,163836000,177930000,84049000,80370000,203715000,215192000,91247000,89781000
BalanceTotalAssets,108730000,90144000,82445000,261202000,171073000,38000,-75000,-244000,-374000,20710000,21719000,21142000,21122000,19306000,20365000,20099000,19601000,21239000,18244000,17908000,54374000,53520000,52055000,51353000,81579000,80404000,99784000,98386000,97796000,95460000,45455000,35347000,137106000,135212000,3729000,-9122000
BalanceCapital,-21640000,-34871000,-54158000,-68507000,69113000,500000,500000,500000,500000,690000,690000,690000,690000,690000,690000,690000,690000,690000,690000,690000,950000,950000,950000,950000,1029000,1029000,1080000,1080000,1080000,1080000,1116000,1116000,1150000,1180000,1180000,1180000
BalanceShareCapital,1180000,1180000,1180000,1180000,1372000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,21133000,,,21278000,21278000,21279000,19924000,19925000,55246000,55245000,55245000,55245000,82565000,82555000,103414000,103414000,98953000,98953000,131366000,131366000,140835000,140805000,140805000,140805000,2549000,2549000
BalanceReserve,2549000,2549000,108923000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,2000,2000,62000,48000,39000,39000,20000,4866000,4865000,12558000,39000,17348000,15490000,17601000,18456000,19306000,19559000,31841000,33486000,40104000,41028000,43682000,56178000,16152000,15656000,47139000,45783000,14060000,14570000,14461000,15236000,16233000
BalanceNoncurrentLiabilities,15738000,33562000,,,,,,,,,,,19000,19000,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,0,,,,0,,,20000,,,,,,0,0,0,0,64000,7755000,64000,52000,138000,99000,,1371000,1858000,1697000,1619000,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,155000,155000,,48000,1054000,1416000,1309000,2308000,2463000,2181000,,2000,2000,,47000,,,4847000,4846000
BalanceNoncurrentLeasing,12539000,17348000,15490000,17601000,18456000,19306000,19559000,31841000,33486000,40040000,33273000,43618000,56126000,15997000,15501000,47001000,45684000,14012000,13516000,13045000,12556000,12067000,11578000,29762000,169000,421000,447000,574000,90000,1672000,302000,1300000,353000,1710000,989000,479000
BalanceNoncurrentOtherLiabilities,924000,4067000,4942000,1067000,748000,4107000,8226000,8322000,31881000,8229000,15180000,22358000,26292000,22442000,29367000,19471000,34198000,73458000,84333000,115909000,109779000,120370000,313971000,68398000,,121000,433000,,1003000,,,1443000,825000,344000,3686000,3663000
BalanceCurrentLiabilities,872000,647000,3711000,7931000,8123000,31776000,7659000,14820000,17571000,15237000,13502000,23706000,15080000,22952000,13697000,14509000,20309000,16910000,18495000,20335000,18937000,,0,,,1000,,,20000,,,17000,,,,
BalanceCurrentTradePayablesv,,32000,14820000,,13551000,12500000,25000000,52577000,50581000,60910000,253314000,835000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,77000,49000,,172000,153000,742000,518000,955000,971000,1235000,,300000,14000,,666000,,,77000,44000,15000,118000,1093000,69000,35000,149000,108000,72000,38000,206000,208000,-10083000,11037000,-10331000,9261000,
BalanceCurrentLeasing,,,,,,,,,2000,,,170000,120000,120000,246000,186000,126000,66000,247000,187000,127000,67000,332000,152000,50000,18000,8863000,5612000,1171000,1985000,47089000,44671000,42281000,41770000,40010000,39351000
BalanceCurrentOtherLiabilities,47391000,207000,348000,205000,200000,20862000,23439000,21483000,22461000,19679000,26942000,25953000,32638000,22202000,39659000,38340000,73042000,72724000,75468000,79138000,121742000,145771000,148117000,154594000,163836000,177930000,84049000,80370000,203716000,215193000,91247000,89781000,108730000,90144000,82445000,261202000
BalanceReckoning,171073000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,-298000,-95000,,-1400000,,,-11072000,-1771000,,-13514000,-3230000,-6079000,-15553000,-2727000,1445000,-8865000,-9827000,-7139000,-4311000,-2807000,-14536000,-10745000,-1440000,-16946000,-6396000,9561000,-12106000,-14597000,-17815000,-9609000,-18805000,-15409000,,8000,1000
CashflowAmortization,,83000,,,718000,223000,,965000,251000,262000,271000,287000,275000,276000,293000,292000,293000,754000,1593000,2019000,1725000,1728000,1687000,1799000,1769000,1912000,2129000,2235000,2251000,2865000,,-26000,-6000,,-2326000,
CashflowInvestingCashflow,,-3307000,-486000,,-3055000,-30000,-1078000,-5659000,-4211000,-5008000,-16431000,-11629000,-11286000,-1728000,-6066000,-2745000,9680000,-851000,-1064000,-139000,-437000,-1906000,178000,-3643000,-1740000,-726000,-1636000,,26000,6000,,2326000,,,3502000,486000
CashflowCapex,,2948000,30000,1078000,5635000,3305000,890000,9498000,17407000,12062000,1728000,6066000,2745000,1483000,851000,1064000,139000,437000,1906000,-178000,3470000,1829000,726000,1636000,,291000,100000,,21189000,,,5145000,-5000,,12834000,-865000
CashflowFinancingCashflow,38567000,-10000,-18000,0,42876000,22546000,6667000,269000,7742000,18771000,5597000,-74000,15216000,5684000,5638000,12203000,26421000,-1206000,10032000,191960000,-88325000,,300000,,,21323000,,,,,,,,37703000,0,0
CashflowShareCapitalCash,,31289000,20901000,0,,0,0,21719000,-8800000,11150000,0,0,,,,174790000,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,-32000,-1000,,17464000,,,-9235000,-2262000,,-3735000,-4125000,31410000,-21222000,-6956000,-3563000,17580000,1090000,-11758000,-5770000
CashflowNetCashflow,-1131000,1490000,4532000,-2365000,-2794000,-851000,14762000,-1809000,12002000,-22664000,-1317000,172300000,-105241000,,,,,,,,,,,,,,,,,,,,,,,
