,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeAdministrativExpenses_yy,,,,,3.09,27.29,-4.73,5.78,1.33,-17.33,16.86,0.27,22.15,-0.71,-1.51,23.34,-5.24,7.18,-4.07,-37.96,-1.30,-4.44,-3.51,24.93,-6.68,-4.97,-3.61,-11.64,7.32,-4.01,0.74,18.08,-8.44,0.49,-2.59,-13.91,-19.93,6.38
IncomeAdministrativExpenses_sy,,,,,3.09,22.50,-4.73,10.13,6.90,10.83,11.92,0.27,-2.68,0.66,-6.94,18.16,-4.74,3.36,-11.76,-35.96,-6.16,-29.14,-14.76,17.73,-18.78,-4.97,0.07,-11.36,-8.05,-4.01,-7.47,7.40,2.67,-5.60,-1.30,-10.46,7.41,12.16
IncomeAdministrativExpenses_qq,,9.79,2.01,8.34,-15.04,35.57,-23.65,20.29,-18.61,10.60,7.92,3.21,-0.85,-10.09,7.04,29.26,-23.83,1.69,-4.19,-16.41,21.19,-1.54,-3.26,8.24,-9.47,0.26,-1.88,-0.78,9.95,-10.32,2.98,16.30,-14.74,-1.58,-0.18,2.78,-20.71,30.76
IncomeAdministrativExpenses_sq,,21.34,-9.97,8.78,-19.86,30.06,-7.45,20.29,-29.54,10.60,12.95,-7.44,-0.10,-1.96,2.95,23.36,-27.74,1.41,-4.94,-1.54,10.53,-18.10,5.52,42.19,-16.27,-6.73,-1.88,10.37,-18.37,5.00,-6.40,31.08,-15.54,-2.52,-1.36,10.90,-16.52,6.14
IncomeGrossProfit,333259000,374336000,353598000,302170000,490255000,323572000,343476000,280888000,519441000,423191000,379393000,311491000,554488000,694740000,584096000,350562000,779997000,386253000,518828000,256675000,624732000,447007000,424284000,219326000,561991000,531692000,466143000,-3433280000,447474000,-319353000,369855000,319033000,771293000,439867000,344531000,254659000,710209000,53449000
IncomeGrossProfit_yy,,,,,47.11,-13.56,-2.86,-7.04,5.95,30.79,10.46,10.90,6.75,64.17,53.96,12.54,40.67,-44.40,-11.17,-26.78,-19.91,15.73,-18.22,-14.55,-10.04,18.94,9.87,-1665.38,-20.38,-160.06,-20.66,109.29,72.37,237.74,-6.85,-20.18,-7.92,-87.85
IncomeGrossProfit_sy,,,,,-4.92,-11.78,1.52,-2.78,1.61,-11.95,-22.66,19.32,-2.51,78.02,-8.99,-3.80,-28.60,-17.60,0.94,-29.76,-26.96,14.75,5.80,6.53,40.76,4.74,52.52,-13.26,3.08,0.80,-20.66,4.33,-0.66,16.24,-1.35,-2.95,7.95,-87.85
IncomeGrossProfit_qq,,12.33,-5.54,-14.54,62.24,-34.00,6.15,-18.22,84.93,-18.53,-10.35,-17.90,78.01,25.29,-15.93,-39.98,122.50,-50.48,34.32,-50.53,143.39,-28.45,-5.08,-48.31,156.24,-5.39,-12.33,-836.53,113.03,-171.37,215.81,-13.74,141.76,-42.97,-21.67,-26.09,178.89,-92.47
IncomeGrossProfit_sq,,-49.66,-11.26,-3.94,90.32,-34.00,6.15,-18.22,84.93,-45.30,-4.91,15.82,74.40,-21.04,-51.22,34.68,35.21,-41.28,-9.24,3.26,41.16,-30.52,-43.64,6.42,77.00,-51.01,21.88,1.16,74.28,-60.12,3.42,7.38,30.91,-37.51,-21.42,-6.00,10.10,-92.38
IncomeOtherOperatingIncome,11035000,44117000,33080000,23874000,31761000,20882000,19742000,32801000,19346000,25112000,21453000,33535000,26438000,22362000,28360000,41741000,26739000,36343000,21047000,43307000,34668000,45133000,59201000,-24238000,23580000,-72961000,21815000,-196000,9706000,5587000,12686000,-43466000,2260000,23774000,-1985000,-28128000,140035000,5749000
IncomeOtherOperatingIncome_yy,,,,,187.82,-52.67,-40.32,37.39,-39.09,20.26,8.67,2.24,36.66,-10.95,32.20,24.47,1.14,62.52,-25.79,3.75,29.65,24.19,181.28,-155.97,-31.98,-261.66,-63.15,99.19,-58.84,107.66,-41.85,-22076.53,-76.72,325.52,-115.65,35.29,6096.24,-75.82
IncomeOtherOperatingIncome_sy,,,,,41.11,-20.26,-37.54,244.80,49.33,20.26,-23.03,-21.47,36.66,-10.95,51.57,23.02,28.72,20.45,37.60,13.85,-4.28,93.86,25.68,43.16,-31.98,-50.52,-63.15,-77.85,27.30,-51.79,-44.42,64.28,-17.94,96.27,-22.13,4.84,-29.24,-45.08
IncomeOtherOperatingIncome_qq,,299.79,-25.02,-27.83,33.04,-34.25,-5.46,66.15,-41.02,29.80,-14.57,56.32,-21.16,-15.42,26.82,47.18,-35.94,35.92,-42.09,105.76,-19.95,30.19,31.17,-140.94,197.29,-409.42,129.90,-100.90,5052.04,-42.44,127.06,-442.63,105.20,951.95,-108.35,-1317.03,597.85,-95.89
IncomeOtherOperatingIncome_sq,,107.73,-18.65,-54.99,33.04,-17.66,-5.46,48.63,-20.07,35.56,-14.57,179.09,32.41,-7.09,2.25,67.58,-19.12,-12.88,5.20,51.45,-32.63,30.19,31.17,-10.54,-62.82,14.31,,-58.52,24.21,-44.97,-34.76,19.14,-38.07,52.88,-51.55,84.22,-14.42,28.76
IncomeOtherOperatingCosts,9628000,41316000,31902000,71840000,45970000,37749000,18041000,42358000,27792000,21220000,17984000,20462000,22386000,22237000,33285000,59750000,17336000,22222000,16273000,79292000,26966000,42120000,18998000,,,,,,,,,,,,,,,
IncomeOtherOperatingCosts_yy,,,,,377.46,-8.63,-43.45,-41.04,-39.54,-43.79,-0.32,-51.69,-19.45,4.79,85.08,192.00,-22.56,-0.07,-51.11,32.71,55.55,89.54,16.75,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,
IncomeOtherOperatingCosts_sy,,,,,22.02,10.64,-8.40,12.80,-33.87,8.10,-0.32,-12.05,-6.13,10.01,12.44,66.82,53.80,5.55,26.21,22.47,-35.79,-20.50,16.75,-62.83,6.34,-21.51,-24.48,,,,,,,,,,,
IncomeOtherOperatingCosts_qq,,329.12,-22.79,125.19,-36.01,-17.88,-52.21,134.79,-34.39,-23.65,-15.25,13.78,9.40,-0.67,49.68,79.51,-70.99,28.18,-26.77,387.26,-65.99,56.20,-54.90,-100.00,,,,,,,,,,,,,,
IncomeOtherOperatingCosts_sq,,19.18,-19.85,143.64,-40.27,8.43,-42.23,107.09,-66.47,28.17,-14.79,461.56,-64.79,19.44,21.10,171.45,-68.82,3.92,-26.77,283.65,-80.92,10.55,-23.58,157.50,,,,,,,,,,,,,,
IncomeEBIT,334666000,377137000,354776000,254204000,476046000,306705000,345177000,271331000,510995000,427083000,382862000,324564000,558540000,694865000,579171000,332553000,789400000,400374000,523602000,220690000,632434000,450020000,464487000,283172000,585571000,458731000,487958000,-3433476000,457180000,-313766000,382541000,275567000,773553000,463641000,342546000,226531000,850244000,59198000
IncomeEBIT_yy,,,,,42.25,-18.68,-2.71,6.74,7.34,39.25,10.92,19.62,9.30,62.70,51.27,2.46,41.33,-42.38,-9.59,-33.64,-19.88,12.40,-11.29,28.31,-7.41,1.94,5.05,-1312.51,-21.93,-168.40,-21.60,108.03,69.20,247.77,-10.46,-17.79,9.91,-87.23
IncomeEBIT_sy,,,,,-5.68,-18.58,-1.23,8.67,7.34,-6.90,-7.30,13.04,-0.79,66.98,-21.32,-37.62,-28.50,-28.58,7.24,-29.69,-21.99,44.50,8.84,79.27,33.10,-0.62,58.83,-48.46,-3.10,-19.74,-21.60,19.97,-1.56,9.33,-10.46,32.53,7.83,-87.23
IncomeEBIT_qq,,12.69,-5.93,-28.35,87.27,-35.57,12.54,-21.39,88.33,-16.42,-10.35,-15.23,72.09,24.41,-16.65,-42.58,137.38,-49.28,30.78,-57.85,186.57,-28.84,3.21,-39.04,106.79,-21.66,6.37,-803.64,113.32,-168.63,221.92,-27.96,180.71,-40.06,-26.12,-33.87,275.33,-93.04
IncomeEBIT_sq,,-29.87,-16.40,-6.38,70.76,-35.57,1.36,3.05,52.64,-54.34,-10.35,15.03,100.11,-28.12,-59.42,19.15,89.74,-43.83,13.40,7.14,95.74,-35.58,-53.08,113.20,55.34,-45.68,19.34,3.67,96.28,-62.96,-11.33,28.67,120.96,-39.13,-27.77,73.20,8.06,-92.38
IncomeFinanceIncome,33989000,23683000,32522000,23262000,26239000,17544000,21350000,27151000,22479000,32342000,28441000,32505000,31877000,21460000,43543000,34426000,27038000,31625000,17422000,23172000,13071000,15890000,12597000,44348000,58510000,-17092000,-41034000,-15199000,4119000,-36760000,-1260000,-59236000,58386000,-14341000,-59330000,102938000,-45985000,-102102000
IncomeFinanceIncome_yy,,,,,-22.80,-25.92,-34.35,16.72,-14.33,84.35,33.21,19.72,41.81,-33.65,53.10,5.91,-15.18,47.37,-59.99,-32.69,-51.66,-49.75,-27.69,91.39,347.63,-207.56,-425.74,-134.27,-92.96,-115.07,96.93,-289.74,1317.48,60.99,-4608.73,273.78,-178.76,-611.96
IncomeFinanceIncome_sy,,,,,40.87,-28.02,-9.48,9.32,29.52,69.78,15.26,19.72,37.48,9.28,81.51,12.54,-20.89,39.27,-59.99,-21.95,-10.23,-14.72,-9.53,44.11,-21.70,-51.49,-47.27,-66.08,-41.64,24.69,51.03,-31.58,172.24,11.14,-91.04,105.46,-66.55,173.33
IncomeFinanceIncome_qq,,-30.32,37.32,-28.47,12.80,-33.14,21.69,27.17,-17.21,43.88,-12.06,14.29,-1.93,-32.68,102.90,-20.94,-21.46,16.97,-44.91,33.00,-43.59,21.57,-20.72,252.05,31.93,-129.21,-140.08,62.96,127.10,-992.45,96.57,-4601.27,198.57,-124.56,-313.71,273.50,-144.67,-122.03
IncomeFinanceIncome_sq,,35.07,-16.98,-28.47,2.18,-61.66,44.08,59.14,-17.21,16.82,12.05,-22.49,63.72,-32.68,32.17,-44.27,-16.99,16.97,-44.12,-19.15,3.90,21.57,-16.61,-8.49,-3.40,-55.19,17.20,62.96,,63.76,-28.82,9.82,119.33,-65.89,-28.63,282.75,-61.16,57.87
IncomeFinanceCosts,62796000,31765000,53869000,59740000,52556000,52520000,42405000,86512000,46437000,31058000,44508000,38271000,91205000,72510000,85526000,97883000,78442000,82427000,81285000,104839000,87509000,97587000,89731000,142041000,90108000,141679000,-12512000,60398000,72739000,65220000,62647000,58958000,50073000,48904000,53358000,56987000,38403000,43027000
IncomeFinanceCosts_yy,,,,,-16.31,65.34,-21.28,44.81,-11.64,-40.86,4.96,-55.76,96.41,133.47,92.16,155.76,-13.99,13.68,-4.96,7.11,11.56,18.39,10.39,35.48,2.97,45.18,-113.94,-57.48,-19.28,-53.97,600.70,-2.38,-31.16,-25.02,-14.83,-3.34,-23.31,-12.02
IncomeFinanceCosts_sy,,,,,-16.17,96.85,-29.85,23.78,-66.67,-85.26,67.62,1.78,49.44,217.61,-55.16,8.33,-13.99,13.68,-21.86,-37.10,-25.11,-24.47,10.39,110.34,8.64,0.37,38.57,-39.86,1.39,32.86,4.58,-12.32,-12.33,-21.65,1.86,12.80,-10.94,13.46
IncomeFinanceCosts_qq,,-49.42,69.59,10.90,-12.03,-0.07,-19.26,104.01,-46.32,-33.12,43.31,-14.01,138.31,-20.50,17.95,14.45,-19.86,5.08,-1.39,28.98,-16.53,11.52,-8.05,58.30,-36.56,57.23,-108.83,582.72,20.43,-10.34,-3.95,-5.89,-15.07,-2.33,9.11,6.80,-32.61,12.04
IncomeFinanceCosts_sq,,-43.84,33.64,134.24,-15.99,-24.01,-19.26,68.27,-58.74,-32.14,206.21,-14.01,-6.50,-18.60,-14.72,59.27,-26.07,7.76,-26.37,28.98,-21.80,2.99,6.07,58.30,-41.38,-4.77,5.61,8.22,-1.49,5.74,-7.40,1.06,-4.20,-2.67,-1.04,20.88,-7.21,12.04
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,4870000,-4560000,7623000,23035000,36826000,18477000,-18298000,37241000,21089000,11205000,3515000,25242000,20200000
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.18,505.20,-340.04,61.67,-42.73,-39.36,119.21,-32.22,-4.22
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,310.94,-100.00,-5.60,80.95,94.46,81.25,-5.00,87.84
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,-193.63,267.17,202.18,59.87,-49.83,-199.03,303.52,-43.37,-46.87,-68.63,618.12,-19.97
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,-83.82,267.17,100.00,-20.06,53.66,21.06,25.00,-81.68,64.29,-22.22,449.63,-15.80
IncomeNetGrossProfit,305859000,369055000,333429000,217726000,449729000,271729000,324122000,211970000,487037000,428367000,366795000,318798000,499212000,643815000,537188000,269096000,737996000,349572000,459739000,139023000,557996000,368323000,387353000,185479000,553973000,304830000,454876000,-3501450000,411595000,-378920000,337111000,139075000,819107000,421485000,241063000,275997000,791098000,-65731000
IncomeNetGrossProfit_yy,,,,,47.04,-26.37,-2.79,-2.64,8.30,57.64,13.17,50.40,2.50,50.30,46.45,-15.59,47.83,-45.70,-14.42,-48.34,-24.39,5.36,-15.75,33.42,-0.72,-17.24,17.43,-1987.79,-25.70,-224.31,-25.89,103.97,99.01,211.23,-28.49,98.45,-3.42,-115.60
IncomeNetGrossProfit_sy,,,,,-8.88,-30.96,4.18,10.86,10.44,13.41,-63.13,20.77,-12.16,24.50,49.16,-27.76,-29.28,-19.03,-2.14,-47.43,-25.56,18.31,-12.84,47.57,13.64,-5.04,66.73,-61.03,15.90,-30.66,-30.56,32.79,0.52,76.05,-13.68,98.45,-10.24,-115.60
IncomeNetGrossProfit_qq,,20.66,-9.65,-34.70,106.56,-39.58,19.28,-34.60,129.77,-12.05,-14.37,-13.09,56.59,28.97,-16.56,-49.91,174.25,-52.63,31.51,-69.76,301.37,-33.99,5.17,-52.12,198.67,-44.97,49.22,-869.76,111.75,-192.06,188.97,-58.75,488.97,-48.54,-42.81,14.49,186.63,-108.31
IncomeNetGrossProfit_sq,,-31.26,-22.31,-2.20,133.68,-39.58,7.24,59.33,115.92,-42.20,-588.95,44.31,71.64,-27.85,-10.73,-31.66,108.03,-46.27,16.12,-7.48,134.39,-39.88,-59.90,37.16,120.62,-69.79,45.54,-0.54,104.32,-87.20,12.15,14.68,111.10,-42.11,-42.81,88.31,11.04,-95.21
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,305859000,369055000,333429000,217726000,449729000,271729000,324122000,211970000,487037000,428367000,366795000,318798000,499212000,643815000,537188000,269096000,737996000,349572000,459739000,139023000,557996000,368323000,387353000,185479000,553973000,304830000,454876000,-3501450000,411595000,-378920000,337111000,139075000,819107000,421485000,241063000,275997000,791098000,-65731000
IncomeBeforeTaxProfit_yy,,,,,47.04,-26.37,-2.79,-2.64,8.30,57.64,13.17,50.40,2.50,50.30,46.45,-15.59,47.83,-45.70,-14.42,-48.34,-24.39,5.36,-15.75,33.42,-0.72,-17.24,17.43,-1987.79,-25.70,-224.31,-25.89,103.97,99.01,211.23,-28.49,98.45,-3.42,-115.60
IncomeBeforeTaxProfit_sy,,,,,-8.88,-30.96,4.18,10.86,10.44,13.41,-63.13,20.77,-12.16,24.50,49.16,-27.76,-29.28,-19.03,-2.14,-47.43,-25.56,18.31,-12.84,47.57,13.64,-5.04,66.73,-61.03,15.90,-30.66,-30.56,32.79,0.52,76.05,-13.68,98.45,-10.24,-115.60
IncomeBeforeTaxProfit_qq,,20.66,-9.65,-34.70,106.56,-39.58,19.28,-34.60,129.77,-12.05,-14.37,-13.09,56.59,28.97,-16.56,-49.91,174.25,-52.63,31.51,-69.76,301.37,-33.99,5.17,-52.12,198.67,-44.97,49.22,-869.76,111.75,-192.06,188.97,-58.75,488.97,-48.54,-42.81,14.49,186.63,-108.31
IncomeBeforeTaxProfit_sq,,-31.26,-22.31,-2.20,133.68,-39.58,7.24,59.33,115.92,-42.20,-588.95,44.31,71.64,-27.85,-10.73,-31.66,108.03,-46.27,16.12,-7.48,134.39,-39.88,-59.90,37.16,120.62,-69.79,45.54,-0.54,104.32,-87.20,12.15,14.68,111.10,-42.11,-42.81,88.31,11.04,-95.21
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,221039000,306196000,250168000,190666000,359587000,213374000,252103000,166319000,387971000,339976000,292409000,246578000,394697000,495524000,442848000,217730000,580798000,311084000,372305000,82298000,398686000,335236000,319136000,132502000,502730000,217657000,358768000,-2883370000,323806000,-319089000,271611000,93809000,640535000,364942000,188753000,188716000,636669000,-68233000
IncomeNetProfit_yy,,,,,62.68,-30.31,0.77,-12.77,7.89,59.33,15.99,48.26,1.73,45.75,51.45,-11.70,47.15,-37.22,-15.93,-62.20,-31.36,7.76,-14.28,61.00,26.10,-35.07,12.42,-2276.10,-35.59,-246.60,-24.29,103.25,97.81,214.37,-30.51,101.17,-0.60,-118.70
IncomeNetProfit_sy,,,,,-6.58,-32.12,7.32,12.74,12.07,14.76,-44.70,48.26,-4.05,31.14,47.92,-30.16,-30.95,-26.70,-3.77,-51.87,-28.27,40.50,-5.12,42.64,41.64,-13.88,33.25,-36.60,15.54,-34.50,-24.29,35.68,-0.07,99.45,-16.73,90.74,-10.99,-118.70
IncomeNetProfit_qq,,38.53,-18.30,-23.78,88.60,-40.66,18.15,-34.03,133.27,-12.37,-13.99,-15.67,60.07,25.55,-10.63,-50.83,166.75,-46.44,19.68,-77.90,384.44,-15.91,-4.80,-58.48,279.41,-56.70,64.83,-903.69,111.23,-198.54,185.12,-65.46,582.81,-43.03,-48.28,-0.02,237.37,-110.72
IncomeNetProfit_sq,,-26.56,-23.76,-2.42,129.28,-40.66,18.15,90.98,133.27,-32.99,-60.30,47.57,72.26,-24.82,-12.40,-33.72,105.18,-46.58,10.70,-21.64,156.68,-38.76,-59.46,50.57,153.77,-60.75,47.29,-8.00,107.58,-87.91,20.04,23.96,104.23,-43.03,-48.28,95.95,41.83,-107.00
IncomeShareholderNetProfit,186024000,238552000,203709000,163140000,291813000,189954000,219831000,157058000,382471000,321562000,290471000,250612000,381164000,475837000,412197000,207194000,559158000,290074000,367062000,92024000,395930000,334360000,318411000,132192000,502043000,216481000,358117000,-2883958000,323245000,-319810000,271044000,92989000,639830000,364337000,188030000,188466000,636153000,-69124000
IncomeShareholderNetProfit_yy,,,,,56.87,-20.37,7.91,-3.73,31.07,69.28,32.13,59.57,-0.34,47.98,41.91,-17.32,46.70,-39.04,-10.95,-55.59,-29.19,15.27,-13.25,43.65,26.80,-35.26,12.47,-2281.64,-35.61,-247.73,-24.31,103.22,97.94,213.92,-30.63,102.68,-0.57,-118.97
IncomeShareholderNetProfit_sy,,,,,-4.84,-28.60,9.50,16.48,31.07,14.85,-45.35,51.66,-5.74,31.23,44.35,-38.27,-30.12,-33.48,-5.92,-53.04,-28.37,44.26,-4.51,33.53,43.92,-14.20,38.47,-35.22,12.77,-36.08,-35.37,36.25,-0.12,99.45,-15.18,90.73,-11.29,-118.97
IncomeShareholderNetProfit_qq,,28.24,-14.61,-19.92,78.87,-34.91,15.73,-28.56,143.52,-15.93,-9.67,-13.72,52.09,24.84,-13.37,-49.73,169.87,-48.12,26.54,-74.93,330.25,-15.55,-4.77,-58.48,279.78,-56.88,65.43,-905.31,111.21,-198.94,184.75,-65.69,588.07,-43.06,-48.39,0.23,237.54,-110.87
IncomeShareholderNetProfit_sq,,-26.10,-23.78,-1.60,124.42,-34.91,15.73,93.06,143.52,-32.94,-59.80,68.78,66.96,-17.35,-13.76,-31.60,105.58,-46.61,13.86,-29.04,183.84,-41.49,-58.30,48.00,140.67,-60.85,53.15,-7.86,107.55,-87.98,20.00,23.97,104.24,-43.06,-48.39,95.95,41.83,-107.00
BalanceNoncurrentAssets,,,,18475838000,18034400000,18242724000,18382485000,18334911000,18700543000,18961611000,19706773000,23416777000,23446281000,23849197000,24272950000,25471230000,25650887000,25933097000,26595950000,27567008000,27478594000,27954014000,28281793000,28162749000,28199905000,28691479000,29165948000,28124185000,28207012000,27904122000,28486467000,29148253000,29251028000,29616513000,29927056000,31049127000,30898227000,31074587000
