,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceOtherNoncurrentAssets,13149000,6663000,8586000,8885000,12949000,88271000,84215000,71045000,70550000,73196000,73265000,72061000,74385000,76638000,74120000,73432000,,29375000,73411000,73708000,151578000,151803000,146853000,178973000
BalanceCurrentAssets,180935000,180521000,172292000,496767000,191821000,166968000,109046000,137944000,135281000,120299000,157401000,131391000,117396000,144140000,181306000,,0,,,283000,285000,96000,36000,37000
BalanceInventory,125000,74000,35000,79000,40000,81000,267000,25000,32000,80000,245000,273000,38000,,10914000,6852000,7310000,14636000,15544000,10695000,9551000,31180000,34435000,31667000
BalanceCurrentReceivables,364952000,20117000,20632000,12066000,13473000,43452000,50718000,25986000,25454000,27051000,27569000,47376000,,6000,29136000,31492000,52870000,65095000,85524000,91143000,97829000,87433000,88299000,76801000
BalanceCurrentInvestments,48686000,47672000,41876000,35866000,29868000,30483000,25432000,25340000,25273000,24737000,30793000,,18455000,37423000,34623000,83787000,71068000,50598000,78242000,51801000,58579000,52291000,54935000,122978000
BalanceCash,98664000,55104000,88524000,61694000,39073000,105951000,80517000,64827000,91561000,103099000,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,72588000,
BalanceAssetsForSale,,,,,,,,,,989177000,1011387000,1003569000,1095395000,1113136000,1154577000,1202064000,1234436000,1207816000,1237056000,1338995000,1126169000,1110112000,1072952000,1083769000
BalanceTotalAssets,1177981000,1155538000,1306277000,1344146000,1358350000,1409489000,1584525000,,374236000,435836000,436161000,508867000,507394000,535344000,546714000,557882000,557816000,591547000,626429000,647368000,651798000,632881000,630644000,675726000
BalanceCapital,661246000,698045000,715601000,726651000,731038000,758476000,,3774000,3774000,3774000,4529000,4529000,4529000,4529000,4529000,4529000,4529000,4529000,4529000,4529000,4529000,4529000,4529000,4529000
BalanceShareCapital,4529000,4529000,4529000,4529000,4529000,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,188031000,216525000,219017000,289375000,287030000,285811000,285644000,283621000,283401000,287659000,288018000,298479000,298964000,299436000,300749000,302082000,303488000,304521000
BalanceReserve,305373000,305720000,305842000,306063000,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,454455000,502177000,490943000,475678000,487309000,495760000,527373000,552559000,526255000,533431000,336673000,403689000,409707000,402421000,422553000,435140000,419359000,508899000,533530000
BalanceNoncurrentLiabilities,569226000,610702000,721897000,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,322581000,374618000,358779000,345705000,355240000,354609000,385777000,409343000,388932000,392946000,236276000,303650000,307228000,295379000,317825000,327068000,313501000,397920000,419027000,448639000
BalanceNoncurrentBorrowings,488112000,594630000,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,131874000,127559000,132164000,129973000,132069000,141151000,141596000,143216000,137323000,140485000,100397000,100039000,102479000,107042000,104728000,108072000,105858000,110979000,114503000,120587000,122590000
BalanceNoncurrentOtherLiabilities,127267000,,160486000,73374000,76465000,110850000,118433000,123473000,127977000,123995000,123745000,112078000,375893000,75112000,48607000,37650000,30572000,67115000,74933000,99333000,95015000,62473000,67749000,104152000
BalanceCurrentLiabilities,,16307000,10754000,15000000,28828000,24946000,16597000,22162000,26045000,11681000,12505000,104279000,51741000,26148000,16651000,11497000,43965000,54249000,75617000,74385000,37960000,40522000,75468000,
BalanceCurrentTradePayablesv,143416000,62078000,60913000,81740000,93162000,106532000,105201000,95790000,108949000,96951000,253116000,19696000,19879000,20191000,18231000,13810000,13792000,18000000,18072000,21278000,24676000,25742000,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,763000
BalanceCurrentLeasing,542000,552000,282000,325000,344000,614000,2160000,3115000,2622000,18498000,3675000,2580000,808000,844000,9340000,6892000,5716000,2558000,3235000,2551000,2942000,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,0,989177000,0
BalanceReckoning,1011387000,1003569000,1095395000,1113136000,1154577000,1202064000,1234436000,1207816000,1237056000,1338995000,1126169000,1110112000,1072952000,1083769000,1177981000,1155538000,1306277000,1344146000,1358350000,1409489000,1584525000,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-5767000,31374000,20078000,6582000,12681000,11681000,14602000,17696000,17485000,-5932000,14486000,19684000,7709000,21425000,-5673000,14899000,8490000,3455000,-5884000,41873000,6733000,12312000,11197000,9001000
CashflowAmortization,173000,253000,125000,321000,45000,-360000,41000,37000,55000,45000,41000,51000,53000,47000,52000,55000,53000,70000,73000,78000,62000,49000,51000,50000
CashflowInvestingCashflow,-18608000,-16888000,-27649000,-15402000,-5047000,11741000,-22656000,-23547000,-7212000,9842000,-21303000,-4251000,-5743000,254938000,-18631000,-9990000,-3267000,-23695000,-13570000,-59112000,-42068000,-68763000,-19818000,-83196000
CashflowCapex,19103000,16424000,5689000,15461000,5074000,17664000,22987000,25202000,7229000,19035000,21576000,4401000,5266000,74916000,19946000,11626000,5910000,27564000,12845000,64384000,40620000,60625000,21488000,74947000
CashflowFinancingCashflow,30054000,-20675000,38011000,-2652000,-10434000,31996000,-4709000,-14593000,16978000,-30590000,13929000,-21673000,569000,-192381000,-10000,-48469000,28197000,-6590000,-3167000,84117000,9159000,43829000,35770000,84083000
CashflowShareCapitalCash,,0,,,,70120000,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,41660000,0,0,,,,,,5679000,-6189000,30440000
CashflowNetCashflow,-11472000,-2800000,55418000,-12763000,-20444000,27251000,-26680000,7112000,-6240000,2535000,83982000,-24314000,-43560000,33420000,-26830000,-22621000,66878000,-26176000,-12622000,27149000,9888000,,,
