,2005/Q3,2005/Q4,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q3,2008/Q4,2009/Q3,2009/Q4,2010/Q3,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeGrossProfit_sy,,,24.27,17.40,,,-9.53,57.55,-24.71,17.05,-49.70,-9.16,39.94,32.72,104.80,12.85,,,4.27,45.34,11.95,70.90,34.56,15.12,15.43,20.12,18.11,27.29,11.32,21.78,28.36,-25.10,-12.94,2.34,-14.32,2.82,28.16,8.05,2.93,3.81,-2.81
IncomeGrossProfit_qq,,-184.49,,-93.19,114.61,-232.72,105.72,4403.45,,-9918.18,,-193.56,,-382.31,,-137.24,159.70,-190.72,305.88,70.56,-89.37,644.52,29.90,-106.37,267.78,428.48,431.45,-186.16,109.22,65.28,154.04,-108.62,172.13,918.18,8.04,-247.00,135.21,7.78,163.52,-46.17,-105.35
IncomeGrossProfit_sq,,125.15,,48.53,-49.27,-7.97,-0.25,107.24,,128.02,,157.41,,79.91,,59.85,-27.45,15.95,-1.79,65.63,-50.02,7.86,18.00,46.73,-33.54,11.04,12.78,65.02,-51.67,-5.87,15.60,5.30,-22.62,9.32,-4.74,32.41,-32.68,13.17,-13.58,38.96,-47.69
IncomeOtherOperatingIncome,233000,432000,206000,148000,108000,260000,0,-143000,383000,-617000,35000,133000,532000,-367000,115000,22000,24000,86000,32000,-93000,23000,33000,76000,107000,38000,-44000,44000,386000,21000,11000,43000,23000,36000,17000,44000,18000,32000,-12000,31000,8000,30000
IncomeOtherOperatingIncome_yy,,,-11.59,-65.74,,,-100.00,-196.62,,-331.47,-90.86,121.56,1420.00,-375.94,-78.38,105.99,,,-72.17,-522.73,-4.17,-61.63,137.50,215.05,65.22,-233.33,-42.11,260.75,-44.74,125.00,-2.27,-94.04,71.43,54.55,2.33,-21.74,-11.11,-170.59,-29.55,-55.56,-6.25
IncomeOtherOperatingIncome_sy,,,-65.62,12.93,,,-50.75,-15.84,,94.47,52.84,14.97,-7.60,60.71,15.52,59.39,,,-8.06,9.15,26.12,10.87,26.25,12.35,-17.50,44.00,4.52,-0.49,-6.57,,-5.03,-6.15,-11.84,20.87,2.33,-12.80,-2.31,-18.17,7.99,-34.97,
IncomeOtherOperatingIncome_qq,,85.41,,-28.16,-27.03,140.74,-100.00,,,-261.10,,280.00,,-168.98,,-80.87,9.09,258.33,-62.79,-390.62,124.73,43.48,130.30,40.79,-64.49,-215.79,200.00,777.27,-94.56,-47.62,290.91,-46.51,56.52,-52.78,158.82,-59.09,77.78,-137.50,358.33,-74.19,275.00
IncomeOtherOperatingIncome_sq,,100.00,,236.36,-53.29,63.89,-16.67,,,92.52,,-0.53,,35.30,,29.51,-37.29,15.25,-29.62,54.69,-16.20,-44.26,16.91,30.69,1.84,8.82,-12.22,29.76,-42.02,-5.74,10.44,34.45,-28.28,62.35,-23.30,12.26,-7.44,30.69,-19.69,-22.45,16.16
IncomeOtherOperatingCosts,60000,73000,72000,37000,12000,136000,0,-61000,56000,26000,27000,95000,54000,-21000,172000,-227000,1000,86000,1000,51000,3000,2000,2000,14000,,15000,15000,5000,2000,0,0,99000,4000,26000,2000,16000,96000,-72000,6000,5000,
IncomeOtherOperatingCosts_yy,,,20.00,-49.32,,,-100.00,-264.86,,142.62,-51.79,265.38,100.00,-122.11,218.52,-980.95,,,-99.42,122.47,200.00,-97.67,100.00,-72.55,-100.00,650.00,650.00,-64.29,,-100.00,-100.00,1880.00,100.00,,,-83.84,2300.00,-376.92,200.00,-68.75,-100.00
IncomeOtherOperatingCosts_sy,,,103.98,-3.61,,,-23.08,36.41,,38.80,-11.20,27.81,20.84,80.30,-39.48,-21.23,,,-1.79,-12.82,11.92,-30.95,-8.70,-32.01,-2.28,7.32,27.32,9.10,,17.40,-30.72,-12.43,,,,22.18,4.72,35.71,19.35,-27.62,-2.04
IncomeOtherOperatingCosts_qq,,21.67,,-48.61,-67.57,1033.33,-100.00,,,-53.57,,251.85,,-138.89,,-231.98,100.44,8500.00,-98.84,5000.00,-94.12,-33.33,,600.00,-100.00,,,-66.67,-60.00,-100.00,,,-95.96,550.00,-92.31,700.00,500.00,-175.00,108.33,-16.67,-100.00
IncomeOtherOperatingCosts_sq,,175.47,,292.31,-71.88,148.43,-41.24,,,281.61,,221.95,,441.50,,200.00,-74.94,63.80,-38.05,155.00,-72.71,8.71,,214.75,-57.79,,,199.48,-63.87,-6.48,,,-63.25,41.26,-31.58,206.08,-74.35,40.00,-23.03,94.26,-57.84
IncomeEBIT,2656000,-1739000,2746000,289000,478000,-383000,29000,1224000,360000,-3883000,1420000,-1283000,919000,-1591000,1882000,-473000,454000,-391000,836000,1229000,166000,1118000,1486000,3000,189000,739000,4270000,-3273000,356000,568000,1458000,-198000,120000,887000,1010000,-1421000,437000,600000,1448000,769000,-11000
IncomeEBIT_yy,,,3.39,116.62,,,-98.94,323.53,1141.38,-417.24,294.44,66.96,-35.28,-24.01,104.79,70.27,,,-55.58,359.83,-63.44,385.93,77.75,-99.76,13.86,-33.90,187.35,-109200.00,88.36,-23.14,-65.85,93.95,-66.29,56.16,-30.73,-617.68,264.17,-32.36,43.37,154.12,-102.52
IncomeEBIT_sy,,,51.06,16.87,,,-41.20,41.35,-14.49,0.79,-38.55,-13.70,48.48,17.30,103.24,17.42,,,-20.72,8.23,35.59,60.44,47.09,8.92,14.68,16.73,22.00,28.04,7.53,19.42,22.78,-15.44,5.02,15.12,-4.38,-3.12,26.09,27.58,1.98,2.50,1.27
IncomeEBIT_qq,,-165.47,,-89.48,65.40,-180.13,107.57,4120.69,,-1178.61,,-190.35,,-273.12,,-125.13,195.98,-186.12,313.81,47.01,-86.49,573.49,32.92,-99.80,6200.00,291.01,477.81,-176.65,110.88,59.55,156.69,-113.58,160.61,639.17,13.87,-240.69,130.75,37.30,141.33,-46.89,-101.43
IncomeEBIT_sq,,83.21,,50.27,-49.27,11.04,-3.28,96.70,,144.78,,137.45,,55.14,,43.46,-40.42,-0.17,4.20,47.01,-39.22,-7.98,21.84,25.15,-29.98,4.60,23.94,35.18,-42.43,-0.04,23.58,4.92,-4.16,7.55,0.48,25.15,-15.40,21.03,-13.40,3.75,-37.32
IncomeFinanceIncome,58000,92000,57000,44000,38000,45000,0,173000,62000,-19000,14000,43000,-30000,86000,34000,119000,52000,154000,33000,56000,75000,170000,114000,130000,136000,94000,107000,78000,94000,186000,-49000,119000,57000,127000,42000,26000,12000,92000,-34000,8000,10000
IncomeFinanceIncome_yy,,,-1.72,-52.17,,,-100.00,293.18,,-110.98,-77.42,326.32,-314.29,100.00,213.33,38.37,,,-2.94,-52.94,44.23,10.39,245.45,132.14,81.33,-44.71,-6.14,-40.00,-30.88,97.87,-145.79,52.56,-39.36,-31.72,185.71,-78.15,-78.95,-27.56,-180.95,-69.23,-16.67
IncomeFinanceIncome_sy,,,-21.37,-49.74,,,8.13,72.76,,60.16,-13.61,-57.56,0.19,-11.56,14.81,20.28,,,-17.70,9.89,-22.46,,-49.82,4.12,-15.08,-30.60,90.70,-11.76,45.12,-38.40,-23.58,-15.97,-21.94,59.77,-54.55,20.88,16.13,-35.29,94.58,-4.93,-4.17
IncomeFinanceIncome_qq,,58.62,,-22.81,-13.64,18.42,-100.00,,,-130.65,,207.14,,386.67,,250.00,-56.30,196.15,-78.57,69.70,33.93,126.67,-32.94,14.04,4.62,-30.88,13.83,-27.10,20.51,97.87,-126.34,342.86,-52.10,122.81,-66.93,-38.10,-53.85,666.67,-136.96,123.53,25.00
IncomeFinanceIncome_sq,,13.88,,33.32,-13.64,9.21,14.11,,,1.29,,5.41,,-30.98,,-2.16,6.98,-9.68,-5.88,9.04,-24.45,-0.76,-47.06,109.67,2.68,-16.67,12.45,36.38,29.83,-60.91,39.28,42.86,31.56,-0.21,-48.05,129.76,-26.76,-30.21,6.71,32.90,-7.14
IncomeFinanceCosts,96000,127000,112000,109000,102000,84000,0,436000,121000,633000,177000,239000,189000,-28000,91000,102000,51000,74000,52000,55000,55000,76000,65000,66000,50000,59000,36000,42000,45000,42000,85000,38000,57000,281000,-163000,78000,56000,39000,37000,107000,20000
IncomeFinanceCosts_yy,,,16.67,-14.17,,,-100.00,300.00,,45.18,46.28,-62.24,6.78,-111.72,-51.85,464.29,,,-42.86,-46.08,7.84,2.70,25.00,20.00,-9.09,-22.37,-44.62,-36.36,-10.00,-28.81,136.11,-9.52,26.67,569.05,-291.76,105.26,-1.75,-86.12,122.70,37.18,-64.29
IncomeFinanceCosts_sy,,,10.71,-64.15,,,179.67,88.90,,88.17,13.68,-63.79,26.78,82.08,33.33,36.41,,,-13.04,-26.83,-30.21,-20.28,-47.06,-12.85,-21.21,-8.18,99.09,122.27,19.20,3.73,-11.29,-49.88,36.65,42.76,-8.54,56.26,35.22,112.44,57.18,37.18,-47.16
IncomeFinanceCosts_qq,,32.29,,-2.68,-6.42,-17.65,-100.00,,,423.14,,35.03,,-114.81,,12.09,-50.00,45.10,-29.73,5.77,,38.18,-14.47,1.54,-24.24,18.00,-38.98,16.67,7.14,-6.67,102.38,-55.29,50.00,392.98,-158.01,147.85,-28.21,-30.36,-5.13,189.19,-81.31
IncomeFinanceCosts_sq,,41.07,,100.00,68.34,11.49,35.70,,,88.60,,9.34,,10.00,,-5.80,-3.94,-15.28,-5.64,-14.67,,6.14,-31.66,36.69,-7.16,-8.98,11.41,19.51,1.73,-5.68,8.10,12.48,33.96,-13.30,-15.25,36.33,5.10,5.12,-46.47,72.44,-43.62
IncomeOtherIncome,13000,20000,-12000,5000,,4000,0,,2000,,,,,-184000,,9000,,,,,,,,,,,,,,,,,,,,,,,123000,0,
IncomeOtherIncome_yy,,,-192.31,-75.00,,,100.00,-100.00,,,-100.00,,,,,104.89,,,,-100.00,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,-86.90,171.43,,,54.48,-73.68,,,-76.49,,,,,-5.56,,,,-100.00,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,53.85,,141.67,-100.00,,-100.00,,,-100.00,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,-100.00,
IncomeOtherIncome_sq,,-91.94,,54.60,-102.63,,-91.13,,,-74.00,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,-38.56,
IncomeNetGrossProfit,2631000,-1754000,2679000,229000,414000,-418000,29000,957000,303000,-4537000,1257000,-1479000,700000,-1661000,1825000,-447000,455000,-311000,817000,1230000,186000,1212000,1535000,67000,275000,774000,4341000,-3237000,405000,712000,1324000,-117000,120000,733000,1215000,-1473000,393000,653000,1500000,670000,-21000
IncomeNetGrossProfit_yy,,,1.82,113.06,,,-98.92,317.90,944.83,-574.09,314.85,67.40,-44.31,-12.31,160.71,73.09,,,-55.23,375.17,-59.12,489.71,87.88,-94.55,47.85,-36.14,182.80,-4931.34,47.27,-8.01,-69.50,96.39,-70.37,2.95,-8.23,-1158.97,227.50,-10.91,23.46,145.49,-105.34
IncomeNetGrossProfit_sy,,,53.42,24.85,,,-18.16,59.31,-11.33,-6.29,-23.31,-12.70,61.55,8.32,21.91,43.80,,,-23.14,22.86,17.76,78.01,39.82,18.22,16.46,4.34,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52
IncomeNetGrossProfit_qq,,-166.67,,-91.45,80.79,-200.97,106.94,3200.00,,-1597.36,,-217.66,,-337.29,,-124.49,201.79,-168.35,362.70,50.55,-84.88,551.61,26.65,-95.64,310.45,181.45,460.85,-174.57,112.51,75.80,85.96,-108.84,202.56,510.83,65.76,-221.23,126.68,66.16,129.71,-55.33,-103.13
IncomeNetGrossProfit_sq,,70.51,,41.24,-42.32,-16.24,-0.11,190.12,,138.69,,129.98,,21.09,,10.60,-17.98,-9.29,8.43,45.14,-30.74,-23.33,21.92,39.58,-34.68,-4.84,30.34,31.06,-14.52,-14.08,14.54,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,2631000,-1754000,2679000,229000,414000,-418000,29000,957000,303000,-4537000,1257000,-1479000,700000,-1661000,1825000,-447000,455000,-311000,817000,1230000,186000,1212000,1535000,67000,275000,774000,4341000,-3237000,405000,712000,1324000,-117000,120000,733000,1215000,-1473000,393000,653000,1500000,670000,-21000
IncomeBeforeTaxProfit_yy,,,1.82,113.06,,,-98.92,317.90,944.83,-574.09,314.85,67.40,-44.31,-12.31,160.71,73.09,,,-55.23,375.17,-59.12,489.71,87.88,-94.55,47.85,-36.14,182.80,-4931.34,47.27,-8.01,-69.50,96.39,-70.37,2.95,-8.23,-1158.97,227.50,-10.91,23.46,145.49,-105.34
IncomeBeforeTaxProfit_sy,,,53.42,24.85,,,-18.16,59.31,-11.33,-6.29,-23.31,-6.49,61.55,8.32,21.91,43.80,,,-23.14,23.08,17.76,78.01,39.82,18.22,16.46,8.12,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52
IncomeBeforeTaxProfit_qq,,-166.67,,-91.45,80.79,-200.97,106.94,3200.00,,-1597.36,,-217.66,,-337.29,,-124.49,201.79,-168.35,362.70,50.55,-84.88,551.61,26.65,-95.64,310.45,181.45,460.85,-174.57,112.51,75.80,85.96,-108.84,202.56,510.83,65.76,-221.23,126.68,66.16,129.71,-55.33,-103.13
IncomeBeforeTaxProfit_sq,,59.42,,45.46,-42.32,-17.11,-0.11,190.12,,138.69,,129.98,,21.09,,10.39,-17.98,-9.29,8.43,45.14,-30.74,-23.33,24.44,33.55,-34.68,-4.84,30.34,31.06,-14.52,-14.08,14.54,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,2125000,-1430000,2303000,210000,418000,-235000,23000,337000,299000,-3749000,1299000,-1604000,727000,-1482000,1474000,-395000,337000,-267000,665000,969000,146000,958000,1199000,87000,214000,619000,4010000,-3140000,318000,562000,1087000,-144000,94000,567000,962000,-1196000,312000,514000,1200000,531000,-26000
IncomeNetProfit_yy,,,8.38,114.69,,,-99.00,60.48,1200.00,-1212.46,334.45,57.22,-44.03,7.61,102.75,73.35,,,-54.88,345.32,-56.68,458.80,80.30,-91.02,46.58,-35.39,234.45,-3709.20,48.60,-9.21,-72.89,95.41,-70.44,0.89,-11.50,-730.56,231.91,-9.35,24.74,144.40,-108.33
IncomeNetProfit_sy,,,21.75,32.52,,,-18.24,60.48,,-11.59,-17.58,-4.40,57.03,27.66,28.04,34.70,,,-20.16,15.23,-9.90,110.32,45.07,4.06,18.29,17.52,17.00,8.94,6.69,14.40,26.46,18.74,-9.72,2.76,17.60,-16.72,39.28,2.95,-0.30,2.89,9.83
IncomeNetProfit_qq,,-167.29,,-90.88,99.05,-156.22,109.79,1365.22,,-1353.85,,-223.48,,-303.85,,-126.80,185.32,-179.23,349.06,45.71,-84.93,556.16,25.16,-92.74,145.98,189.25,547.82,-178.30,110.13,76.73,93.42,-113.25,165.28,503.19,69.66,-224.32,126.09,64.74,133.46,-55.75,-104.90
IncomeNetProfit_sq,,54.44,,86.56,-55.63,-22.03,-2.61,184.88,,142.20,,103.95,,42.53,,10.65,-15.15,-7.86,2.90,48.89,-39.85,-16.88,14.77,33.02,-32.88,0.38,30.54,24.62,-14.02,-13.22,15.20,19.31,-27.37,15.92,18.56,3.57,-17.83,-10.45,-6.12,0.24,-9.83
IncomeShareholderNetProfit,2125000,-1430000,2303000,210000,418000,-235000,23000,337000,299000,-3749000,1299000,-1604000,727000,-1482000,1474000,-395000,337000,-267000,665000,969000,146000,958000,1199000,87000,214000,619000,4010000,-3140000,318000,562000,1087000,-144000,94000,567000,962000,-1196000,312000,514000,1200000,531000,-26000
IncomeShareholderNetProfit_yy,,,8.38,114.69,,,-99.00,60.48,1200.00,-1212.46,334.45,57.22,-44.03,7.61,102.75,73.35,,,-54.88,345.32,-56.68,458.80,80.30,-91.02,46.58,-35.39,234.45,-3709.20,48.60,-9.21,-72.89,95.41,-70.44,0.89,-11.50,-730.56,231.91,-9.35,24.74,144.40,-108.33
IncomeShareholderNetProfit_sy,,,48.87,26.34,,,-20.38,60.48,,-6.42,-11.32,-9.39,64.33,32.90,14.56,26.33,,,-23.10,10.83,-5.68,114.86,45.07,4.06,19.06,15.46,22.26,9.16,6.69,14.40,26.46,20.43,-14.83,-7.72,13.26,-22.66,39.28,3.32,1.23,2.89,8.02
IncomeShareholderNetProfit_qq,,-167.29,,-90.88,99.05,-156.22,109.79,1365.22,,-1353.85,,-223.48,,-303.85,,-126.80,185.32,-179.23,349.06,45.71,-84.93,556.16,25.16,-92.74,145.98,189.25,547.82,-178.30,110.13,76.73,93.42,-113.25,165.28,503.19,69.66,-224.32,126.09,64.74,133.46,-55.75,-104.90
IncomeShareholderNetProfit_sq,,54.44,,163.17,-40.63,-21.10,1.46,184.35,,142.20,,48.19,,41.87,,13.63,-8.40,-13.34,2.30,49.05,-42.21,-16.88,10.39,30.16,-31.18,-3.97,31.23,28.52,-15.18,-13.66,15.43,21.18,-27.37,20.18,6.16,3.57,-11.06,-10.45,-2.33,0.24,-6.33
BalanceNoncurrentAssets,4620000,6815000,9287000,9141000,9133000,9396000,9391000,10566000,9166000,11081000,11079000,11081000,12662000,12073000,9960000,9858000,9794000,9677000,9759000,9452000,8239000,8200000,8399000,7552000,7373000,7575000,7432000,8257000,7985000,7541000,9844000,10387000,9618000,16674000,12058000,12472000,11914000,10915000,9339000,9677000,11422000
BalanceNoncurrentAssets_yy,,,101.02,34.13,,,1.12,15.59,-2.40,4.87,20.87,,14.29,8.95,-21.34,-18.35,,,-2.02,-4.12,-15.88,-15.26,-13.94,-20.10,-10.51,-7.62,-11.51,9.34,8.30,-0.45,32.45,25.80,20.45,121.11,22.49,20.07,23.87,-34.54,-22.55,-22.41,-4.13
BalanceNoncurrentAssets_sy,,,2.40,32.76,,,-51.03,29.21,27.92,27.54,-15.46,,4.05,10.78,16.78,7.25,,,8.12,2.49,1.58,2.35,3.46,3.18,6.30,0.34,6.03,7.71,4.60,6.50,6.73,7.42,8.06,6.56,5.88,4.79,7.16,3.72,2.52,3.77,3.72
