,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentAssets,15138000,15398000,16010000,17476000,17904000,19446000,23235000,28196000,31218000,33178000,33613000,34968000,34168000,30449000,30201000,33492000,35285000,43546000,55955000,60800000,61795000,61651000,63183000,64241000,63629000,63019000,62299000,60962000,59849000,59512000,58532000,58515000,58411000,58401000,57713000,58019000,57164000,56587000,56487000,57459000,56986000,57807000,57354000,57097000,57000000,58487000,59552000,61740000,61748000,62869000
BalanceIntangibleAssets,17000,9000,5000,3000,3000,5000,4000,3000,9000,7000,6000,43000,128000,124000,109000,88000,68000,50000,31000,29000,18000,19000,159000,137000,192000,186000,236000,198000,165000,136000,140000,122000,91000,74000,64000,81000,81000,92000,91000,78000,73000,93000,80000,67000,55000,52000,46000,40000,38000,111000
BalanceProperty,14846000,15244000,15860000,17216000,17644000,19213000,19833000,24479000,27495000,29583000,29943000,31165000,30615000,30250000,30014000,33311000,35122000,43391000,55757000,60614000,61642000,61464000,62862000,62618000,62160000,61505000,60722000,59812000,59212000,58848000,58039000,57984000,57955000,57881000,57287000,57476000,56660000,56101000,55981000,56977000,56540000,57337000,56862000,56608000,56551000,57996000,59030000,61268000,61292000,62346000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
BalanceNoncurrInvestments,90000,,,45000,3398000,3398000,3398000,3398000,3398000,3398000,3398000,46000,46000,46000,46000,46000,46000,,,,,,,,,,,,,,,,,,,,,,,,,,,,185000,145000,145000,257000,257000,183000
BalanceOtherNoncurrentAssets,316000,316000,190000,266000,362000,27000,29000,27000,42000,44000,54000,116000,152000,130000,163000,157000,1481000,1272000,1323000,1336000,947000,467000,523000,348000,404000,360000,441000,357000,457000,418000,389000,410000,399000,367000,371000,406000,416000,388000,433000,470000,426000,412000,406000,18105000,13376000,15530000,22267000,44413000,38962000,39571000
BalanceCurrentAssets,46102000,43022000,34892000,41771000,41342000,31069000,32598000,34822000,40062000,38622000,32296000,29771000,29938000,24333000,22628000,26708000,32227000,30435000,28421000,29038000,34775000,35025000,29997000,33715000,46376000,42413000,38019000,40793000,47894000,45994000,39836000,42895000,51099000,44491000,42003000,43655000,62817000,57270000,45085000,52633000,58772000,60816000,57335000,4536000,3830000,4722000,4304000,4132000,4599000,6028000
BalanceInventory,6298000,5978000,5392000,6217000,10380000,6963000,5369000,6729000,5429000,5820000,5868000,8192000,6532000,6175000,9865000,14095000,12798000,12152000,12519000,9844000,10954000,7531000,6789000,8121000,9965000,10300000,8143000,8658000,8602000,8803000,8905000,8670000,9485000,9855000,11461000,12745000,15033000,16977000,12465000,12333000,9577000,9244000,9378000,11178000,7266000,9577000,17030000,12731000,9359000,12767000
BalanceCurrentReceivables,19463000,15787000,11434000,14915000,22559000,16777000,12383000,13917000,22212000,18392000,14693000,18878000,22134000,16202000,10843000,11962000,18384000,17115000,13596000,14058000,22684000,21021000,12523000,16489000,23704000,18087000,12113000,14706000,23595000,21434000,13991000,17250000,25283000,19853000,14425000,17654000,28594000,25020000,17985000,23754000,36361000,28127000,18272000,793000,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,,,,0,,,0,38000,,8000,,,,,,,,,,,,1348000,1982000,928000,222000,26689000,24336000,20374000,20057000,20492000,17525000,20300000,8295000
BalanceCash,6920000,14539000,14032000,12297000,13860000,11334000,2425000,1145000,1654000,1665000,451000,733000,482000,1721000,4707000,854000,5784000,10151000,8515000,12489000,13407000,17251000,17116000,15477000,15097000,16457000,16680000,16140000,14202000,15674000,13007000,18977000,14677000,14184000,16304000,12608000,22837000,29194000,250000,298000,303000,711000,861000,668000,402000,284000,765000,541000,339000,108000
BalanceOtherCurrentAssets,409000,307000,144000,124000,550000,401000,276000,127000,302000,255000,200000,312000,686000,585000,429000,283000,689000,534000,590000,218000,619000,474000,313000,220000,652000,483000,295000,191000,581000,443000,249000,213000,596000,451000,242000,226000,608000,491000,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33243000,28774000,31540000,39743000,62317000,58408000,62806000,74298000,74240000,68070000,75384000,76310000
BalanceTotalAssets,65237000,63047000,65023000,73554000,73907000,75842000,85726000,90738000,86128000,84279000,89891000,96468000,94064000,91440000,91337000,95737000,94874000,89509000,92247000,104891000,100824000,96420000,98506000,105913000,103158000,96423000,99382000,108558000,101477000,99810000,101009000,119914000,114270000,103572000,112185000,120512000,122564000,120204000,10369000,10746000,11054000,13118000,38986000,39508000,40023000,42252000,43581000,44096000,44678000,44927000
BalanceCapital,45935000,46348000,46874000,48906000,50431000,50062000,50073000,50073000,49680000,46241000,45675000,45410000,46151000,45792000,45856000,47401000,49373000,48143000,49485000,51810000,53597000,51817000,52766000,54271000,55817000,53307000,53859000,57163000,58737000,55881000,56317000,59520000,62202000,60717000,62202000,66466000,70405000,67326000,500000,500000,500000,500000,665000,665000,665000,665000,665000,665000,665000,665000
BalanceShareCapital,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,665000,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9602000,9602000,9602000,9602000,34318000,37008000,36988000,36988000,36988000,41587000,41587000,41587000
BalanceReserve,41587000,44262000,44262000,44262000,44262000,48241000,48241000,48241000,48241000,49481000,49481000,49481000,49481000,44745000,44745000,44745000,44745000,45871000,45871000,45871000,45871000,49017000,49017000,49017000,49017000,51478000,51478000,51477000,51477000,54370000,54370000,54370000,54370000,56794000,56794000,56794000,56794000,62808000,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5627000,7123000,5939000,5594000,4757000,6298000,6408000,7452000,7409000,8312000,10791000,8265000
BalanceNoncurrentLiabilities,5394000,5293000,5088000,4966000,4776000,12132000,11908000,16990000,18205000,17700000,16754000,22413000,21512000,20610000,19841000,18862000,17646000,25365000,24649000,24583000,24017000,23804000,23579000,23042000,22434000,21921000,21573000,21283000,20831000,21850000,21204000,21925000,21146000,20451000,21560000,21118000,20386000,23652000,4336000,4721000,3654000,3415000,2695000,3111000,3365000,5145000,4631000,3478000,6130000,2682000
BalanceNoncurrentTradeLiabilities,105000,63000,112000,115000,173000,141000,5406000,6811000,7117000,6603000,8556000,7960000,7499000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,9123000,,,6833000,5929000,13560000,13337000,13036000,13111000,13135000,12714000,12320000,12018000,11895000,11800000,11549000,11980000,11573000,12557000,11989000,11517000,12839000,12494000,11917000,15317000,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1291000,2402000,2285000,2179000,2062000,3187000,3043000,2307000,2778000,4834000,4661000,5583000,5394000,5188000,5025000,4854000,4661000,11959000,11767000,11584000
BalanceNoncurrentOtherLiabilities,11394000,10583000,10151000,13290000,12956000,12650000,12342000,12029000,11717000,25365000,11089000,11246000,10981000,10693000,10444000,10328000,10114000,9903000,9678000,9483000,9282000,9870000,9631000,9368000,9157000,8934000,8721000,8624000,8469000,8335000,17247000,10905000,14547000,21031000,18574000,12602000,16376000,24594000,23250000,15662000,19915000,23118000,13908000,11406000,13061000,19682000,18700000,13648000,23745000,23675000
BalanceCurrentLiabilities,18243000,20338000,27462000,28645000,26401000,25038000,25640000,29474000,27855000,16001000,18113000,28498000,23210000,20799000,22161000,28600000,24907000,21195000,23950000,30112000,21909000,22079000,23488000,38469000,30922000,22404000,28423000,32928000,31773000,29226000,17039000,10697000,14454000,21019000,18189000,12285000,16197000,23931000,21937000,14703000,19051000,22284000,12905000,10459000,12182000,18908000,17617000,12632000,22832000,22899000
BalanceCurrentTradePayablesv,17467000,19056000,26120000,19689000,24935000,23578000,24254000,19567000,26423000,14384000,16505000,22890000,21051000,18470000,20154000,21641000,19910000,15980000,17539000,23442000,16637000,18976000,20274000,26889000,26517000,18655000,24230000,28158000,24423000,18087000,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,7433000,,,8564000,,,3489000,,,4807000,2881000,3268000,4491000,4860000,3388000,1312000,1317000,9818000,2498000,1614000,2066000,2820000,5318000,9316000,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,208000,208000,93000,6000,379000,311000,173000,40000,467000,367000,249000,64000,236000,177000,109000,1000,310000,244000,140000,4000,4000,4000,4000
BalanceCurrentOtherLiabilities,55000,25000,59000,24000,20000,121000,318000,317000,860000,955000,1137000,858000,1057000,1090000,979000,979000,789000,956000,813000,919000,785000,929000,1157000,1167000,1046000,1188000,1040000,,,,6000,6000,6000,6000,623000,846000,592000,615000,770000,767000,770000,770000,773000,773000,772000,773000,772000,772000,1278000,1338000
BalanceReckoning,1468000,1441000,1401000,1362000,1323000,1311000,1299000,1291000,1259000,1204000,1192000,1149000,1095000,1026000,968000,941000,1021000,928000,978000,978000,977000,978000,978000,960000,904000,844000,783000,33243000,28774000,31540000,39743000,62317000,58408000,62807000,74298000,74240000,68070000,75384000,76310000,65237000,63047000,65023000,73554000,73907000,75842000,85726000,90738000,86128000,84279000,89891000
BalanceTotalEquityAndLiabilities,96468000,94064000,91440000,91337000,95737000,94874000,89509000,92247000,104891000,100824000,96420000,98506000,105913000,103158000,96423000,99382000,108558000,101477000,99810000,101009000,119914000,114270000,103572000,112185000,120512000,122564000,120204000,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,1993000,893000,490000,418000,2929000,-947000,1388000,689000,4457000,3357000,-145000,-5008000,3233000,4553000,-68000,-622000,6955000,-1348000,3865000,-3211000,-133000,505000,-1400000,-4194000,1770000,2053000,348000,168000,3715000,5443000,569000,3554000,-416000,6760000,2592000,14000,2453000,2008000,2974000,1268000,586000,3491000,1762000,-1972000,4469000,3282000,5194000,-611000,10607000,4066000
CashflowAmortization,312000,357000,314000,350000,372000,371000,394000,524000,534000,650000,672000,697000,721000,729000,733000,739000,739000,744000,735000,736000,1159000,1170000,1240000,1276000,1295000,1290000,1240000,1209000,1195000,1194000,1184000,1204000,1219000,1221000,1231000,1229000,1242000,1254000,1256000,1306000,1281000,1267000,1272000,1246000,1251000,1282000,1339000,1399000,1374000,-393000
CashflowInvestingCashflow,-601000,-909000,-1705000,-799000,-1988000,-4365000,-1693000,-3546000,-2621000,-1007000,-1932000,103000,2919000,-285000,-3832000,-2527000,-8719000,-12954000,-5497000,-1730000,-1005000,-2697000,-921000,-874000,-623000,-552000,-319000,-379000,-28000,-1163000,-248000,-1125000,-790000,-755000,-1179000,-686000,-526000,-901000,-1702000,-984000,-999000,-1963000,-1101000,-1003000,-2855000,-2240000,-2318000,-2503000,-1701000,393000
CashflowCapex,601000,909000,953000,799000,-97000,4448000,3694000,2003000,3932000,368000,1384000,231000,352000,-88000,2383000,377000,239000,192000,29405000,1753000,1020000,2709000,1049000,879000,638000,562000,318000,599000,28000,1163000,249000,1194000,806000,758000,1179000,686000,566000,923000,1710000,1032000,1187000,1993000,731000,791000,2731000,1545000,3165000,1435000,1413000,-972000
CashflowFinancingCashflow,-451000,-635000,1374000,24337000,582000,-985000,4085000,-476000,-3703000,3927000,-5065000,-4711000,147000,-154000,2719000,-2865000,7541000,180000,7428000,2372000,511000,2883000,5397000,-1147000,-191000,3190000,-3702000,1594000,-1048000,-1042000,695000,2459000,-2173000,-2002000,-463000,-2121000,-112000,-1858000,-106000,-1534000,-1021000,-2474000,9058000,-7663000,-1030000,-942000,-614000,2032000,4035000,
CashflowShareCapitalCash,,,,24575000,-20000,-21000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,865000,,2128000,0,,,2128000,0,,,2128000,0,,,2061000,0,,2993000,628000,-159000,-1054000,87000,26467000
CashflowNetCashflow,-2353000,-3962000,3081000,435000,-2967000,2775000,-12005000,-1375000,7619000,-507000,-1735000,1563000,-2526000,-8909000,-1280000,509000,11000,-1214000,282000,-251000,1239000,2986000,-3853000,4930000,4367000,-1636000,4001000,918000,3797000,-165000,-1628000,-354000,1370000,215000,-540000,-1932000,1471000,-2675000,5985000,-4197000,-603000,2012000,-3543000,10136000,6400000,,,,,
