,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,1876000,2286000,3204000,1650000,1729000,2172000,2990000,2050000,2087000
BalanceCurrentOtherLiabilities,2728000,3760000,2084000,2142000,2817000,3800000,1961000,-21002000,2243000,3305000,2505000,,0,20000,0,0,74000,108000,44000,138000
BalanceReckoning,0,0,3000,0,36000,232000,171000,135000,0,0,0,129755000,142143000,94905000,114442000,136444000,124009000,101740000,122650000,141354000
BalanceTotalEquityAndLiabilities,135569000,119319000,129029000,169643000,139984000,116767000,164108000,196024000,170527000,150871000,181987000,,,,,,,,,
CashflowOperatingCashflow,-9815000,-10301000,51070000,-10505000,-13092000,14288000,41387000,-5983000,-15621000,11937000,33271000,-13839000,-28196000,30095000,30278000,-16519000,-25086000,36731000,20887000,-17636000
CashflowAmortization,696000,588000,622000,777000,841000,839000,864000,1136000,1114000,1138000,1164000,1159000,1126000,1163000,1179000,1200000,1203000,1229000,1223000,1233000
CashflowInvestingCashflow,-5705000,-1571000,-2540000,-1071000,163000,-834000,-3499000,-4189000,32000,-1961000,-161000,-1942000,-1508000,-1150000,-2361000,-9050000,-5011000,-13429000,-2736000,-6331000
CashflowCapex,5715000,5395000,5687000,1071000,9018000,2120000,1109000,6608000,-48000,1904000,371000,1925000,1207000,1503000,1736000,2046000,-1682000,10740000,2716000,2119000
CashflowFinancingCashflow,15791000,10462000,-50017000,12294000,13425000,-15391000,-30506000,5614000,13369000,-9104000,-27725000,9148000,31893000,-29262000,-27203000,25857000,29701000,-24409000,-18640000,23756000
CashflowShareCapitalCash,,,,,,,,0,16000,0,,27000,0,0,,0,0,,,2000000
CashflowDividend,0,,10000000,0,0,,12301000,-1000,0,,10775000,0,0,,0,0,,,271000,-1410000
CashflowNetCashflow,-1487000,718000,496000,-1937000,7382000,-4558000,-2220000,872000,5385000,-6633000,2189000,-317000,714000,288000,-396000,-1107000,-489000,-211000,,
