,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,,,,,,-2000,,-22000,11981000,-11901000,-163000,759000,-1306000,88000,112000,365000,53000,,,,,,,,,,,,,,,3318000,3739000,7492000,4643000,2611000,7703000,3414000,4379000,6100000,9163000,11438000
IncomeNetGrossProfit,7602000,10936000,6065000,9113000,5131000,3690000,7615000,1756000,-3285000,5905000,7788000,2651000,4950000,6347000,10626000,2938000,2637000,6491000,8119000,4469000,-1601000,4708000,978000,18479000,3592000,5156000,8244000,8230000,9780000,5726000,8086000,,,,,,6000,0,0,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3318000,3739000,7492000,4643000,2611000,7709000,3414000,4379000,6100000,9163000,11438000,7602000
IncomeBeforeTaxProfit,10936000,6065000,9113000,5131000,3690000,7615000,1756000,-3285000,5905000,7788000,2651000,4950000,6347000,10626000,2938000,2637000,6491000,8119000,4469000,-1601000,4708000,978000,18479000,3592000,5156000,8244000,8230000,9780000,5726000,8086000,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3039000,3535000,5117000,3280000,1991000,6686000,2712000,2553000,4976000,6547000,8799000,6214000
IncomeNetProfit,9046000,4764000,6821000,4561000,3101000,5722000,1803000,-2018000,4784000,6255000,2244000,3318000,5076000,8291000,2423000,1793000,5164000,6195000,3303000,-26000,3518000,942000,14871000,2149000,4067000,5955000,7325000,7756000,4581000,9231000,3039000,3535000,5117000,3280000,1991000,6686000,2712000,2553000,4976000,6547000,8799000,6214000
IncomeShareholderNetProfit,9046000,4610000,6975000,3839000,3002000,5821000,1803000,-4767000,4784000,5391000,1677000,2692000,4611000,8756000,2423000,861000,4874000,5860000,3074000,-189000,3275000,840000,14557000,807000,3675000,5294000,6783000,7046000,4008000,7052000,,,,,,,,,,,,
BalanceNoncurrentAssets,42699000,51373000,56439000,61269000,71289000,74100000,75057000,70821000,70183000,144156000,178888000,190055000,213416000,216548000,210207000,212695000,215252000,235150000,257655000,259448000,262284000,287412000,276759000,274715000,275807000,299961000,323776000,340644000,369113000,503783000,496023000,497539000,504314000,501198000,512213000,512682000,520359000,539237000,538806000,543301000,545898000,61000
BalanceIntangibleAssets,63000,52000,76000,95000,79000,77000,59000,44000,49000,35000,45000,4832000,4844000,4789000,4844000,4819000,4789000,4711000,4670000,4663000,4620000,9443000,9308000,9179000,9049000,8986000,8855000,8824000,17351000,17322000,17386000,17474000,17389000,17372000,17252000,17145000,16949000,16911000,16698000,16569000,38919000,47973000
BalanceProperty,53408000,58444000,68928000,71326000,73006000,69213000,63627000,134939000,158130000,165288000,197430000,196797000,196027000,199829000,200935000,216544000,90212000,234262000,233671000,245023000,243272000,242845000,244313000,247081000,256127000,256497000,263279000,451463000,441526000,442578000,443331000,441716000,452352000,453444000,459699000,484943000,484410000,487038000,487378000,,,
BalanceNoncurrentReceivables,,,,,,,,,1804000,1947000,4565000,5428000,2890000,4185000,2563000,7837000,9126000,9338000,9519000,10398000,10770000,12090000,11967000,10975000,10115000,11444000,11527000,13119000,12252000,13435000,16195000,16327000,16228000,16874000,15947000,15907000,16660000,16299000,,,,
BalanceNoncurrInvestments,,,,,5500000,5500000,19522000,20689000,5824000,5963000,1014000,1132000,1132000,3584000,146629000,3183000,3183000,3132000,3190000,3196000,2210000,24632000,37402000,57298000,76499000,8037000,4521000,6260000,6160000,6160000,6192000,6189000,5832000,220000,213000,224000,265000,3719000,3337000,2979000,2749000,2266000
BalanceOtherNoncurrentAssets,2695000,1974000,1549000,1012000,3668000,1201000,2229000,3383000,4379000,2949000,4000000,4181000,7670000,8266000,8207000,11429000,25118000,10456000,8596000,8015000,7232000,10286000,7879000,9067000,15405000,19535000,19063000,23914000,19738000,19970000,19569000,20809000,21178000,21365000,22681000,25387000,103513000,114506000,142679000,161495000,154262000,178470000
BalanceCurrentAssets,183371000,210337000,240004000,262540000,262105000,243279000,304395000,325648000,365841000,398183000,403338000,477356000,425042000,398353000,471504000,621590000,583721000,529802000,511002000,472525000,465577000,414610000,418071000,456750000,454973000,434789000,486340000,543867000,443453000,417524000,461928000,517800000,465247000,458864000,599986000,50868000,65002000,81623000,82428000,75392000,96707000,123323000
BalanceInventory,134086000,141993000,150178000,168883000,153379000,158094000,162766000,183417000,199822000,201852000,204803000,193520000,195803000,198710000,223564000,228579000,213611000,180709000,165049000,168854000,162953000,160182000,163259000,153515000,165550000,175146000,192171000,183484000,197234000,178940000,170426000,172636000,163868000,157158000,34837000,29966000,53739000,60147000,67741000,71171000,50632000,49556000
BalanceCurrentReceivables,78369000,94873000,77366000,54394000,98335000,102244000,119839000,103857000,115893000,130834000,136204000,96785000,158356000,218219000,170981000,153667000,196124000,171214000,152509000,146626000,170814000,155224000,241494000,121675000,139434000,306339000,209399000,194696000,259980000,319841000,239454000,247788000,396973000,,,,,,,,,
BalanceCurrentInvestments,,,,0,0,0,270000,940000,500000,17217000,0,,,,,,,,,3200000,,2650000,3500000,3500000,3450000,3478000,2978000,2978000,2978000,1119000,4399000,667000,1471000,1520000,1743000,1194000,4675000,6970000,2409000,4962000,7450000,11977000
BalanceCash,5257000,7328000,13698000,14424000,16471000,16348000,13944000,15628000,24042000,16345000,22860000,17287000,19829000,14040000,10408000,23722000,45058000,18534000,28671000,36435000,44486000,14466000,13087000,21497000,46544000,32701000,36428000,16689000,15139000,6650000,17449000,9609000,8849000,8222000,22020000,12672000,15080000,10894000,28056000,35989000,55381000,55257000
BalanceOtherCurrentAssets,80536000,70229000,124748000,78101000,89417000,100494000,164179000,160119000,146179000,111309000,118975000,124385000,90991000,76667000,114545000,11706000,129030000,143089000,6272000,2584000,7628000,6471000,2558000,3635000,11529000,6449000,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,,,,146212000,165879000,199118000,222764000,225551000,252570000,258428000,281158000,310187000,406696000,440993000,433334000,517811000,542196000,576048000,610878000
BalanceTotalAssets,618590000,712506000,682697000,657801000,733788000,909002000,860480000,804517000,786809000,772486000,789353000,755254000,787184000,960533000,950996000,932328000,990654000,1045065000,955666000,930206000,982287000,1057037000,1004053000,1002165000,1145884000,23200000,26735000,31852000,40101000,42092000,48787000,51499000,76121000,100739000,131876000,177418000,179685000,199177000,204678000,212010000,214891000,205317000
BalanceCapital,203451000,200874000,205280000,211049000,212723000,215415000,220026000,238400000,240662000,246077000,250867000,256727000,259801000,259612000,262887000,263442000,277999000,278805000,282480000,287773000,294556000,301602000,305611000,311199000,3413000,3413000,3413000,4000000,4000000,4000000,4000000,4500000,5500000,6500000,7500000,7500000,7500000,7500000,7500000,7500000,7500000,7500000
BalanceShareCapital,7500000,7500000,7500000,7500000,7500000,7500000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,8249000,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,9492000,22461000,22461000,26843000,26843000,37648000,37648000,59217000,77859000,115388000,152117000,149170000,160507000,183522000,182922000,182921000,170345000,187515000,187515000
BalanceReserve,187515000,193374000,193374000,193374000,195882000,218026000,217470000,221177000,221093000,237744000,237744000,237744000,242806000,252637000,251078000,251077000,270556000,270555000,270555000,270555000,293354000,293073000,,,,,,,,,,7000,3993000,10664000,52908000,52170000,51060000,52739000,41828000,41917000,44279000,44657000
BalanceNonshareCapital,45143000,45710000,46336000,46801000,47578000,53552000,48942000,49232000,49567000,49796000,49958000,50201000,50303000,50617000,51959000,52351000,53012000,53554000,54264000,54837000,55447000,49069000,69977000,80152000,97813000,97852000,98924000,95011000,100260000,93905000,88002000,83121000,84925000,96921000,99093000,102709000,93482000,130742000,290320000,156990000,272421000,172130000
BalanceNoncurrentLiabilities,182037000,157348000,150253000,143936000,160440000,172217000,189253000,205710000,347287000,342312000,348950000,357764000,391355000,326985000,357337000,347152000,360153000,311715000,328658000,335767000,48855000,69794000,80004000,96507000,97478000,98887000,94922000,98725000,91015000,84435000,80473000,81464000,,146551000,,100037000,,,,,,
BalanceNoncurrentTradeLiabilities,,,39452000,,46111000,44058000,45194000,46050000,45242000,49052000,48341000,52211000,,,,,,,,,,,,,89057000,90709000,95242000,84749000,109432000,131878000,123953000,160925000,143424000,139820000,121923000,113237000,108694000,124178000,137190000,150116000,147807000,191391000
BalanceNoncurrentBorrowings,206756000,231512000,235088000,248027000,194138000,223717000,210149000,223423000,177936000,194511000,197628000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25400000,25400000
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,214000,183000,148000,1306000,374000,37000,89000,1535000,2890000,3567000,2648000,3461000,7864000,8384000,7467000,8733000,21310000,11891000,33037000,11459000,28706000,42217000,35425000,37016000,35242000,36262000,35027000,39137000,32503000,130496000,96104000,117438000,122676000,97217000
BalanceNoncurrentOtherLiabilities,88789000,88426000,90953000,91488000,84727000,85806000,85928000,73943000,69167000,87114000,84850000,85607000,104859000,111918000,104777000,115543000,186811000,176461000,158060000,168805000,186255000,210269000,249766000,240703000,176818000,280554000,135443000,305466000,468532000,441381000,387437000,356895000,317832000,322117000,265902000,275180000,303649000,299114000,270290000,319145000,325094000,297917000
BalanceCurrentLiabilities,238038000,294350000,348774000,336472000,313059000,443471000,70223000,64781000,79423000,76862000,82559000,98828000,99219000,93065000,100891000,155351000,141150000,149061000,60121000,68464000,90341000,124367000,83337000,142258000,133245000,216590000,237133000,145004000,169171000,185312000,205429000,152053000,164397000,174032000,210927000,130030000,158391000,190287000,203477000,128125000,166111000,211646000
BalanceCurrentTradePayablesv,235212000,175322000,323630000,,,,,,,,,,,,,75593000,82079000,90285000,100601000,118352000,89444000,125060000,117590000,133475000,133994000,118571000,97949000,85050000,71900000,65472000,73052000,51486000,65373000,83087000,96531000,66088000,79646000,105456000,106775000,67754000,107668000,100834000
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482000,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,143000
BalanceCurrentLeasing,143000,509000,836000,835000,835000,629000,949000,439000,439000,1026000,29051000,30102000,22562000,17679000,33253000,168676000,47164000,127653000,42649000,44861000,35928000,42411000,51399000,32731000,29349000,31045000,36897000,36452000,36701000,36450000,33660000,38276000,28352000,30267000,22783000,30353000,33506000,30069000,19007000,3575000,4243000,7548000
BalanceCurrentOtherLiabilities,7479000,2212000,5196000,11864000,11083000,13703000,31021000,34872000,7973000,4040000,5610000,7081000,7119000,5761000,8142000,1688000,7790000,4512000,89491000,34845000,66028000,17754000,1840000,2289000,10904000,8414000,19631000,38437000,44007000,,,,,,146212000,165879000,199118000,222764000,225551000,252570000,258428000,281158000
BalanceReckoning,310187000,406696000,440993000,433334000,517811000,542196000,576048000,610878000,618590000,712506000,0,682697000,657801000,733788000,909002000,860480000,804517000,786809000,772486000,789353000,755254000,787184000,960533000,950996000,932328000,990654000,1045065000,955666000,930206000,982287000,1057037000,1004053000,1002165000,1145884000,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-1880000,-4890000,-5854000,-5435000,9758000,-1564000,-6012000,-14199000,-8483000,44339000,-1107000,1351000,-28542000,-10061000,-10350000,15987000,-35492000,4101000,29570000,20651000,-1022000,-26314000,20463000,28959000,9004000,22623000,13724000,27194000,16644000,9480000,2357000,51532000,-56573000,-4034000,-11274000,104656000,-66696000,-1977000,17489000,119623000,-62420000,16684000
CashflowAmortization,1603000,1650000,2843000,1974000,1691000,1729000,1737000,1626000,1451000,1942000,1703000,2166000,3536000,2024000,3723000,2897000,1366000,1688000,1418000,1444000,1257000,1334000,1364000,1621000,1397000,1342000,1370000,2721000,1666000,1692000,2312000,3253000,2876000,2928000,2952000,917000,2506000,2504000,2692000,2779000,2744000,2787000
CashflowInvestingCashflow,-5437000,-4798000,-5483000,-6709000,-13082000,-2873000,-2691000,2174000,-6221000,-73778000,-37742000,-8974000,-4862000,-2237000,2764000,-5324000,-2641000,-23313000,-12866000,3931000,-1016000,-571000,-460000,-10611000,-714000,6985000,-26496000,-21527000,-19280000,-17454000,-4893000,13870000,-5155000,1576000,827000,-7556000,3542000,-2865000,-17131000,-7485000,74000,1411000
CashflowCapex,365000,11855000,2718000,2791000,11938000,1322000,-31000,-4836000,117000,427000,15292000,104002000,303000,568000,2103000,2729000,2534000,19882000,12255000,-29074000,992000,652000,1238000,595000,835000,-184000,10996000,5491000,531000,39999000,1522000,-37794000,1283000,877000,536000,5856000,2656000,4849000,17668000,-20239000,306000,352000
CashflowFinancingCashflow,6704000,12968000,7605000,12948000,3373000,4660000,8154000,15506000,16999000,24881000,41399000,10111000,37931000,5578000,9657000,-4293000,38859000,21259000,-15253000,-25527000,1409000,24481000,-18319000,-9934000,-15987000,-23093000,7199000,-3125000,-3153000,4342000,15238000,-44066000,35204000,12595000,18211000,-89049000,33134000,3463000,8052000,-87091000,48503000,-14368000
CashflowShareCapitalCash,,,,4969000,,,22760000,19648000,24602000,41505000,1936000,40667000,0,0,-601000,,,,,,,,10860000,5813000,-988000,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,7500000,,,,,,,,,,84000,,285000,,,,,,-613000,3280000,-3732000,804000,49000,223000,-549000,3481000,2295000,-4558000,2550000,2488000
CashflowNetCashflow,4527000,-6720000,2071000,6370000,726000,2047000,1451000,-945000,-629000,-2404000,1684000,8414000,-7697000,6515000,-5573000,2542000,-5789000,-3632000,12702000,21336000,-26524000,10137000,7764000,8051000,-30020000,-1379000,8410000,25047000,-13843000,3727000,,,,,,,,,,,,
