,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeGrossProfit,326394000,350969000,185553000,322915000,341699000,427755000,239857000,337843000,354919000,272135000,263566000,430411000,282685000,372396000,254753000,299289000,334519000,313082000,131926000,233831000,296141000,469108000,227327000,334698000,381080000,450047000
IncomeGrossProfit_yy,,,,,4.69,21.88,29.27,4.62,3.87,-36.38,9.88,27.40,-20.35,36.84,-3.34,-30.46,18.34,-15.93,-48.21,-21.87,-11.47,49.84,72.31,43.14,28.68,-4.06
IncomeGrossProfit_sy,,,,,16.30,25.03,59.40,50.36,-8.25,-11.00,-21.30,24.54,-25.48,-34.62,-3.34,-60.40,19.83,-46.92,-48.21,-26.79,-63.24,-32.60,33.49,29.01,26.79,10.56
IncomeGrossProfit_qq,,7.53,-47.13,74.03,5.82,25.18,-43.93,40.85,5.05,-23.32,-3.15,63.30,-34.32,31.74,-31.59,17.48,11.77,-6.41,-57.86,77.24,26.65,58.41,-51.54,47.23,13.86,18.10
IncomeGrossProfit_sq,,-34.83,25.94,-22.22,76.94,10.07,-9.78,-30.94,19.09,-11.84,-14.80,31.07,-16.68,26.13,-31.59,-70.49,34.88,-50.77,-4.84,-22.88,20.55,-13.37,5.67,-30.59,26.12,3.38
IncomeOtherOperatingIncome,2168000,7947000,10062000,15102000,5364000,9126000,10347000,91000,13010000,106357000,14861000,164064000,6775000,5050000,89591000,10986000,7529000,9537000,5795000,11502000,9870000,11779000,13134000,9422000,13640000,11955000
IncomeOtherOperatingIncome_yy,,,,,147.38,14.83,2.83,-99.40,142.56,1065.43,43.63,179719.52,-47.92,-95.25,502.88,-93.30,11.13,88.85,-93.53,4.70,31.09,23.51,126.63,-18.09,38.19,1.49
IncomeOtherOperatingIncome_sy,,,,,46.22,-40.52,-56.56,31.36,24.80,55.93,23.46,5.56,-15.78,-79.16,-50.79,6.53,-13.11,209.73,29.70,-1.40,101.42,-2.18,18.09,80.15,45.75,-31.52
IncomeOtherOperatingIncome_qq,,266.54,26.61,50.08,-64.48,70.14,13.38,-99.12,14159.66,717.48,-86.03,1004.02,-95.87,-25.47,1674.06,-87.74,-31.46,26.66,-39.23,98.48,-14.19,19.34,11.50,-28.26,44.76,-12.35
IncomeOtherOperatingIncome_sq,,123.41,28.87,3.42,-0.38,24.68,-6.60,41.40,-8.29,10.94,-17.12,108.81,-72.10,-8.88,0.69,113.58,-58.44,83.12,-34.11,-20.12,-16.42,19.34,-7.03,52.18,-30.94,-28.27
IncomeOtherOperatingCosts,100436000,101594000,99398000,118415000,102914000,115105000,105859000,86693000,105204000,117342000,104830000,127196000,113355000,120480000,117820000,132746000,126759000,128508000,114548000,144638000,133139000,129618000,132108000,137585000,134129000,141255000
IncomeOtherOperatingCosts_yy,,,,,2.47,13.30,6.50,-26.79,2.23,1.94,-0.97,46.72,7.75,2.67,12.39,4.36,11.82,6.66,-2.78,8.96,5.03,0.86,15.33,-4.88,0.74,8.98
IncomeOtherOperatingCosts_sy,,,,,95.36,-3.49,6.50,-31.42,-68.64,-22.27,-7.90,75.00,-17.77,-15.33,-64.04,4.36,35.94,191.18,131.00,-7.70,5.03,-4.74,3.49,-18.32,-8.66,8.98
IncomeOtherOperatingCosts_qq,,1.15,-2.16,19.13,-13.09,11.85,-8.03,-18.10,21.35,11.54,-10.66,21.33,-10.88,6.29,-2.21,12.67,-4.51,1.38,-10.86,26.27,-7.95,-2.64,1.92,4.15,-2.51,5.31
IncomeOtherOperatingCosts_sq,,1.15,17.72,78.55,-36.82,-22.09,-8.03,61.42,-82.09,131.19,-11.21,311.19,-90.93,81.78,-27.68,633.61,-74.01,42.46,-58.78,374.23,-78.88,24.58,1.92,110.69,-71.78,41.21
IncomeEBIT,228126000,257323000,96218000,219602000,244148000,321776000,144345000,251242000,262725000,261151000,173596000,467280000,176105000,256966000,226523000,177530000,215290000,194111000,23173000,100695000,172873000,351269000,108352000,206535000,260590000,320748000
IncomeEBIT_yy,,,,,7.02,25.05,50.02,14.41,7.61,-18.84,20.26,85.99,-32.97,-1.60,30.49,-62.01,22.25,-24.46,-89.77,-43.28,-19.70,80.96,367.59,105.11,50.74,-8.69
IncomeEBIT_sy,,,,,25.81,17.68,84.30,75.48,2.35,0.14,-25.32,41.54,-37.61,-1.60,-15.24,-114.34,16.49,-54.15,-71.66,8.65,-40.24,17.48,8.92,46.69,47.24,-10.84
IncomeEBIT_qq,,12.80,-62.61,128.23,11.18,31.80,-55.14,74.06,4.57,-0.60,-33.53,169.18,-62.31,45.92,-11.85,-21.63,21.27,-9.84,-88.06,334.54,71.68,103.20,-69.15,90.61,26.17,23.09
IncomeEBIT_sq,,-14.54,2.96,-27.50,67.82,19.27,1.34,22.46,58.58,-0.60,-14.14,-8.90,-18.09,33.33,-11.85,-130.91,54.92,-39.94,21.84,-52.34,63.65,22.17,-9.22,90.61,28.21,-39.60
IncomeFinanceIncome,44038000,-42754000,15678000,4325000,10540000,-7823000,1792000,4035000,1306000,1985000,2192000,729000,87570000,12764000,-45819000,50763000,136401000,47185000,16506000,85087000,79193000,-35300000,-2254000,59014000,13152000,-2495000
IncomeFinanceIncome_yy,,,,,-76.07,81.70,-88.57,-6.71,-87.61,125.37,22.33,-81.94,6607.18,543.08,-2190.16,6864.77,55.76,269.68,136.02,67.62,-41.94,-174.81,-113.65,-30.64,-83.39,92.93
IncomeFinanceIncome_sy,,,,,-40.09,50.00,-88.57,-6.71,34.94,-77.48,14.87,407.95,-13.42,200.00,-85.42,-13.06,-10.29,129.09,7.71,18.19,-27.63,-6.63,146.48,-29.98,12.33,100.00
IncomeFinanceIncome_qq,,-197.08,136.67,-72.41,143.67,-174.22,122.91,125.19,-67.64,52.02,10.45,-66.75,11914.77,-85.42,-458.99,210.79,168.70,-65.41,-65.02,415.48,-6.93,-144.57,93.62,2718.59,-77.71,-118.97
IncomeFinanceIncome_sq,,-33.69,136.67,-74.06,107.50,37.00,9.52,57.10,96.49,-62.24,105.88,18.81,3.00,-64.53,-46.99,131.12,147.44,100.00,-79.85,99.41,67.12,47.88,-15.31,34.54,-13.33,80.59
IncomeFinanceCosts,23089000,7193000,-3196000,3140000,1170000,67393000,24155000,28139000,59875000,-50567000,83598000,344837000,1063000,596000,70259000,116360000,152638000,89099000,7395000,62856000,57107000,43034000,26523000,69813000,33344000,41518000
IncomeFinanceCosts_yy,,,,,-94.93,836.91,855.69,796.21,5018.94,-175.03,246.09,1125.49,-98.22,101.18,-15.96,-66.26,14257.28,14859.35,-89.47,-45.98,-62.59,-51.70,258.65,11.07,-41.61,-3.52
IncomeFinanceCosts_sy,,,,,-20.90,144.18,5.08,7.58,-14.37,-39.78,-12.50,35.20,31.10,14.53,-29.69,-27.58,-5.77,153.54,-42.47,-2.07,-24.22,6.88,126.10,13.33,-39.95,-5.83
IncomeFinanceCosts_qq,,-68.85,-144.44,198.23,-62.75,5661.67,-64.16,16.49,112.78,-184.46,265.32,312.50,-99.69,-43.98,11696.25,65.62,31.18,-41.63,-91.70,749.97,-9.15,-24.64,-38.37,163.22,-52.24,24.51
IncomeFinanceCosts_sq,,-1.94,-23.65,44.70,-33.96,60.48,-38.58,27.57,-24.86,16.67,35.12,46.36,-23.99,-43.98,0.89,167.62,-2.36,-3.02,-66.10,141.52,-13.33,5.72,-10.87,41.46,-36.06,24.51
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,249076000,207376000,115092000,220787000,253518000,246561000,121982000,227138000,204156000,313703000,92191000,123172000,262612000,269134000,110445000,111933000,199053000,152197000,32284000,122925000,194959000,272935000,79576000,195736000,240398000,276735000
IncomeNetGrossProfit_yy,,,,,1.78,18.90,5.99,2.88,-19.47,27.23,-24.42,-45.77,28.63,-14.21,19.80,-9.12,-24.20,-43.45,-70.77,9.82,-2.06,79.33,146.49,59.23,23.31,1.39
IncomeNetGrossProfit_sy,,,,,1.78,47.89,19.01,42.50,-2.77,12.04,-30.30,42.68,-48.81,20.01,-4.36,-247.47,15.66,-58.03,-59.63,21.20,-45.98,-0.89,4.69,60.12,65.32,10.00
IncomeNetGrossProfit_qq,,-16.74,-44.50,91.84,14.82,-2.74,-50.53,86.21,-10.12,53.66,-70.61,33.61,113.21,2.48,-58.96,1.35,77.83,-23.54,-78.79,280.76,58.60,40.00,-70.84,145.97,22.82,15.12
IncomeNetGrossProfit_sq,,-16.74,-7.14,-72.11,60.01,0.56,-1.24,-43.19,93.94,-6.83,-11.12,-12.66,-10.97,43.50,-24.49,-145.36,72.27,-45.08,6.22,-50.31,44.93,39.11,-21.62,77.57,29.47,-48.90
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,249076000,207376000,115092000,220787000,253518000,246561000,121982000,227138000,204156000,313703000,92191000,123172000,262612000,269134000,110445000,111933000,199053000,152197000,32284000,122925000,194959000,272935000,79576000,195736000,240398000,276735000
IncomeBeforeTaxProfit_yy,,,,,1.78,18.90,5.99,2.88,-19.47,27.23,-24.42,-45.77,28.63,-14.21,19.80,-9.12,-24.20,-43.45,-70.77,9.82,-2.06,79.33,146.49,59.23,23.31,1.39
IncomeBeforeTaxProfit_sy,,,,,1.78,47.89,19.01,42.50,-2.77,12.04,-30.30,31.21,-48.81,20.01,-4.36,-247.47,15.66,-58.03,-59.63,21.20,-45.98,-0.89,4.69,60.12,65.32,10.00
IncomeBeforeTaxProfit_qq,,-16.74,-44.50,91.84,14.82,-2.74,-50.53,86.21,-10.12,53.66,-70.61,33.61,113.21,2.48,-58.96,1.35,77.83,-23.54,-78.79,280.76,58.60,40.00,-70.84,145.97,22.82,15.12
IncomeBeforeTaxProfit_sq,,-16.74,-7.14,-72.11,60.01,0.56,-1.24,-25.74,93.94,-6.83,-11.12,-12.66,-10.97,43.50,-24.49,-145.36,72.27,-45.08,6.22,-50.31,44.93,39.11,-21.62,77.57,29.47,-48.90
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,202387000,176516000,88204000,197636000,214581000,211906000,103447000,198717000,177447000,266526000,86750000,165335000,225361000,239815000,89223000,105881000,171573000,132411000,43982000,124491000,180160000,206967000,79236000,177368000,207891000,228286000
IncomeNetProfit_yy,,,,,6.02,20.05,17.28,0.55,-17.31,25.78,-16.14,-16.80,27.00,-10.02,2.85,-35.96,-23.87,-44.79,-50.70,17.58,5.01,56.31,80.15,42.47,15.39,10.30
IncomeNetProfit_sy,,,,,6.02,17.72,18.38,67.09,-23.96,19.86,-26.36,34.47,-58.60,-3.82,-10.79,-154.17,5.92,-81.54,-50.70,40.56,-34.21,31.99,3.74,42.67,56.61,18.97
IncomeNetProfit_qq,,-12.78,-50.03,124.07,8.57,-1.25,-51.18,92.10,-10.70,50.20,-67.45,90.59,36.31,6.41,-62.80,18.67,62.04,-22.83,-66.78,183.05,44.72,14.88,-61.72,123.85,17.21,9.81
IncomeNetProfit_sq,,-12.78,-5.74,-84.49,59.13,-7.56,-38.50,-39.13,76.80,5.25,-19.22,-31.42,36.31,57.80,-23.04,-69.81,67.80,-45.04,35.42,-20.66,44.72,2.59,-17.31,123.85,20.16,-50.09
IncomeShareholderNetProfit,202424000,176524000,88332000,197775000,214631000,211949000,103523000,198842000,177455000,266585000,86825000,165445000,225373000,239882000,89286000,105992000,171291000,132296000,44306000,124549000,180105000,207018000,79275000,177434000,208287000,228068000
IncomeShareholderNetProfit_yy,,,,,6.03,20.07,17.20,0.54,-17.32,25.78,-16.13,-16.80,27.00,-10.02,2.83,-35.94,-24.00,-44.85,-50.38,17.51,5.15,56.48,78.93,42.46,15.65,10.17
IncomeShareholderNetProfit_sy,,,,,6.03,-14.34,19.56,52.23,-31.44,19.86,-26.35,34.47,-57.94,-3.82,-10.79,-154.17,-3.30,-84.89,-50.38,35.95,-33.12,12.77,8.40,42.67,54.86,18.90
IncomeShareholderNetProfit_qq,,-12.79,-49.96,123.90,8.52,-1.25,-51.16,92.08,-10.76,50.23,-67.43,90.55,36.22,6.44,-62.78,18.71,61.61,-22.77,-66.51,181.11,44.61,14.94,-61.71,123.82,17.39,9.50
IncomeShareholderNetProfit_sq,,-12.79,-16.98,-62.37,67.04,1.34,-40.34,-39.13,76.80,5.25,-19.22,-31.42,36.22,57.80,-28.08,-62.74,67.58,-45.04,34.62,-20.66,46.36,2.59,-18.81,88.67,23.27,-47.98
BalanceNoncurrentAssets,,3719851000,,3785673000,3906826000,4084942000,4047623000,4039182000,4136299000,4251479000,4301425000,4299936000,4162209000,4270503000,4243568000,4204387000,4234624000,4457280000,4364852000,4592408000,4421080000,4382935000,4456312000,4308573000,4314449000,4435756000
BalanceNoncurrentAssets_yy,,,,,,9.81,,6.70,5.87,4.08,6.27,6.46,0.63,0.45,-1.35,-2.22,1.74,4.37,2.86,9.23,4.40,-1.67,2.10,-6.18,-2.41,1.21
BalanceNoncurrentAssets_sy,,,,,,12.20,,8.34,4.22,2.93,6.13,10.60,4.88,5.30,4.64,2.78,13.54,21.57,23.24,7.40,1.11,-2.82,0.44,2.83,3.18,0.62
BalanceNoncurrentAssets_qq,,,-100.00,,3.20,4.56,-0.91,-0.21,2.40,2.78,1.17,-0.03,-3.20,2.60,-0.63,-0.92,0.72,5.26,-2.07,5.21,-3.73,-0.86,1.67,-3.32,0.14,2.81
BalanceNoncurrentAssets_sq,,,-2.43,,1.35,3.65,-0.69,-0.26,2.39,0.88,1.63,2.52,-0.58,2.28,3.91,4.62,1.82,3.72,0.68,0.81,-0.10,0.82,0.67,0.33,0.56,-0.18
BalanceIntangibleAssets,,497907000,,484480000,491408000,507413000,490406000,480014000,477580000,479086000,485928000,512861000,489977000,495971000,494924000,498340000,493474000,507764000,489024000,502173000,474559000,473038000,476681000,462937000,461024000,476601000
BalanceIntangibleAssets_yy,,,,,,1.91,,-0.92,-2.81,-5.58,-0.91,6.84,2.60,3.52,1.85,-2.83,0.71,2.38,-1.19,0.77,-3.83,-6.84,-2.52,-7.81,-2.85,0.75
BalanceIntangibleAssets_sy,,,,,,-0.22,,0.67,-0.76,-4.71,0.30,17.53,3.26,4.94,8.56,33.76,53.11,30.11,22.94,2.63,1.46,-1.86,-1.48,-2.28,-1.05,-0.57
BalanceIntangibleAssets_qq,,,-100.00,,1.43,3.26,-3.35,-2.12,-0.51,0.32,1.43,5.54,-4.46,1.22,-0.21,0.69,-0.98,2.90,-3.69,2.69,-5.50,-0.32,0.77,-2.88,-0.41,3.38
BalanceIntangibleAssets_sq,,,-2.50,,0.25,1.70,-1.01,-2.12,-0.05,-0.14,2.02,8.90,0.64,0.77,4.22,13.10,1.31,3.09,-0.28,1.93,-0.17,0.06,0.50,-0.17,-0.14,0.73
BalanceProperty,,3065890000,,3157280000,3260193000,3420765000,3386254000,3416065000,3498599000,3586313000,3621069000,3607943000,3484049000,3576112000,3544436000,3520817000,3554356000,3750487000,3661091000,3867018000,3704790000,3685047000,3732297000,3607169000,3599858000,3698017000
BalanceProperty_yy,,,,,,11.57,,8.20,7.31,4.84,6.93,5.62,-0.42,-0.28,-2.12,-2.41,2.02,4.88,3.29,9.83,4.23,-1.74,1.94,-6.72,-2.83,0.35
BalanceProperty_sy,,,,,,7.17,,7.88,6.44,4.76,8.29,8.80,-4.91,-0.28,-1.90,5.12,10.40,8.71,16.30,10.67,1.42,-3.62,-0.53,-5.60,-0.84,1.67
BalanceProperty_qq,,,-100.00,,3.26,4.93,-1.01,0.88,2.42,2.51,0.97,-0.36,-3.43,2.64,-0.89,-0.67,0.95,5.52,-2.38,5.62,-4.20,-0.53,1.28,-3.35,-0.20,2.73
BalanceProperty_sq,,,-4.15,,2.60,2.24,-0.32,0.32,1.19,3.73,0.97,0.97,-2.55,2.64,-0.89,7.74,-0.78,1.41,-1.33,3.73,-0.72,-0.46,0.47,-0.80,-0.34,-0.86
BalanceNoncurrentReceivables,,24404000,,22023000,23611000,26166000,27773000,24240000,25845000,29255000,30586000,29597000,29747000,34260000,36130000,32797000,34728000,40330000,40628000,38936000,38966000,41796000,45056000,39803000,41820000,47882000
BalanceNoncurrentReceivables_yy,,,,,,7.22,,10.07,9.46,11.81,10.13,22.10,15.10,17.11,18.13,10.81,16.74,17.72,12.45,18.72,12.20,3.64,10.90,2.23,7.32,14.56
BalanceNoncurrentReceivables_sy,,,,,,1.47,,-19.70,-3.00,-12.52,-19.24,6.13,14.17,11.84,18.13,11.10,7.74,66.73,7.36,3.64,,-1.34,-1.45,1.11,6.94,-0.56
BalanceNoncurrentReceivables_qq,,,-100.00,,7.21,10.82,6.14,-12.72,6.62,13.19,4.55,-3.23,0.51,15.17,5.46,-9.23,5.89,16.13,0.74,-4.16,0.08,7.26,7.80,-11.66,5.07,14.49
BalanceNoncurrentReceivables_sq,,,-7.60,,2.57,,,-12.15,0.77,,,-3.23,-2.32,-0.61,2.00,-2.58,,5.92,-1.54,-4.16,,7.26,-0.50,0.56,,1.55
BalanceNoncurrInvestments,,22397000,,20850000,24283000,22001000,22384000,21694000,22692000,23405000,31053000,31490000,34695000,32070000,31349000,32302000,34002000,34957000,40697000,44851000,43375000,32443000,39118000,36766000,41416000,41871000
BalanceNoncurrInvestments_yy,,,,,,-1.77,,4.05,-6.55,6.38,38.73,45.15,52.90,37.02,0.95,2.58,-2.00,9.00,29.82,38.85,27.57,-7.19,-3.88,-18.02,-4.52,29.06
BalanceNoncurrInvestments_sy,,,,,,-20.41,,23.46,-14.46,-4.04,38.73,,26.45,17.24,15.60,-31.04,-60.27,,-27.08,3.96,16.39,,,2.72,27.92,17.19
BalanceNoncurrInvestments_qq,,,-100.00,,16.47,-9.40,1.74,-3.08,4.60,3.14,32.68,1.41,10.18,-7.57,-2.25,3.04,5.26,2.81,16.42,10.21,-3.29,-25.20,20.58,-6.01,12.65,1.10
BalanceNoncurrInvestments_sq,,,-100.00,,28.91,-46.84,-5.40,-12.35,4.60,1.57,3.80,3.93,7.58,-1.41,9.10,-15.58,2.63,,10.00,5.10,,-0.22,,,3.27,1.10
BalanceOtherNoncurrentAssets,,109251000,,101040000,107330000,108598000,120805000,97169000,111582000,133419000,132789000,118044000,123741000,132090000,136729000,120132000,118064000,123741000,133413000,139431000,159390000,150611000,163160000,161898000,170331000,171385000
BalanceOtherNoncurrentAssets_yy,,,,,,-0.60,,-3.83,3.96,22.86,9.92,21.48,10.90,-1.00,2.97,1.77,-4.59,-6.32,-2.42,16.07,35.00,21.71,22.30,16.11,6.86,13.79
BalanceOtherNoncurrentAssets_sy,,,,,,43.80,,-4.86,6.38,9.24,5.18,23.24,3.04,11.84,11.73,12.18,17.40,57.78,16.68,39.66,35.00,21.71,31.53,-19.22,-9.25,-19.07
BalanceOtherNoncurrentAssets_qq,,,-100.00,,6.23,1.18,11.24,-19.57,14.83,19.57,-0.47,-11.10,4.83,6.75,3.51,-12.14,-1.72,4.81,7.82,4.51,14.31,-5.51,8.33,-0.77,5.21,0.62
BalanceOtherNoncurrentAssets_sq,,,-6.81,,0.80,1.18,,-4.15,0.96,11.63,2.70,-6.35,7.74,-2.40,0.38,8.90,-0.86,-0.50,5.06,34.73,-0.59,4.12,3.09,-7.45,1.06,0.06
BalanceCurrentAssets,,3150456000,,2864798000,3107852000,3518817000,3157891000,3259409000,3322098000,3645256000,3221870000,3353893000,3451284000,3657034000,3310737000,3505361000,3748441000,4077660000,3481513000,3862081000,3793069000,3919846000,3654845000,3695759000,3974650000,4205921000
BalanceCurrentAssets_yy,,,,,,11.69,,13.77,6.89,3.59,2.03,2.90,3.89,0.32,2.76,4.52,8.61,11.50,5.16,10.18,1.19,-3.87,4.98,-4.31,4.79,7.30
BalanceCurrentAssets_sy,,,,,,10.08,,8.74,16.49,3.59,15.26,14.10,4.86,0.32,2.48,-6.71,7.62,11.50,-1.94,5.00,-0.26,-4.82,-6.17,-4.98,-2.98,8.90
BalanceCurrentAssets_qq,,,-100.00,,8.48,13.22,-10.26,3.21,1.92,9.73,-11.61,4.10,2.90,5.96,-9.47,5.88,6.93,8.78,-14.62,10.93,-1.79,3.34,-6.76,1.12,7.55,5.82
BalanceCurrentAssets_sq,,,-1.45,,-18.36,6.53,0.25,1.20,2.90,9.73,10.50,-2.93,0.72,5.96,-1.72,-6.68,-2.66,6.10,-0.57,-5.26,-2.92,5.00,-1.59,-1.60,-1.70,3.16
BalanceInventory,,1060574000,,1025120000,1102817000,1214756000,1185590000,977993000,951707000,996868000,1030050000,1049634000,1086868000,1173232000,1200266000,1162870000,1131348000,1200904000,1202056000,1241609000,1199744000,1271276000,1313254000,1295778000,1390265000,1457743000
BalanceInventory_yy,,,,,,14.54,,-4.60,-13.70,-17.94,-13.12,7.33,14.20,17.69,16.52,10.79,4.09,2.36,0.15,6.77,6.05,5.86,9.25,4.36,15.88,14.67
BalanceInventory_sy,,,,,,24.10,,-2.72,0.63,6.07,8.76,25.32,19.58,19.11,16.52,8.30,20.29,14.59,36.92,14.78,14.43,2.51,-3.18,-6.74,15.88,14.08
BalanceInventory_qq,,,-100.00,,7.58,10.15,-2.40,-17.51,-2.69,4.75,3.33,1.90,3.55,7.95,2.30,-3.12,-2.71,6.15,0.10,3.29,-3.37,5.96,3.30,-1.33,7.29,4.85
