,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeGrossProfit_sq,,30.65,16.78,-15.25,-6.98,51.52,10.60,-8.87,-25.52,21.38,4.86,-14.76,-30.77,30.83,-12.83,16.65,-31.87,-16.02,19.88,10.16,58.34,15.96
IncomeOtherOperatingIncome,2774000,4716000,3098000,1724000,10219000,2294000,2717000,5986000,2176000,2755000,1011000,3898000,3297000,4685000,5978000,5497000,1615000,1497000,3677000,12038000,2486000,3283000
IncomeOtherOperatingIncome_yy,,,,,268.39,-51.36,-12.30,247.22,-78.71,20.10,-62.79,-34.88,51.52,70.05,491.30,41.02,-51.02,-68.05,-38.49,118.99,53.93,119.31
IncomeOtherOperatingIncome_sy,,,,,13.57,3.44,-1.36,-22.75,-27.14,-2.74,-33.16,5.34,25.36,23.12,-9.20,-6.66,9.07,-6.14,-23.22,75.07,-0.68,-9.27
IncomeOtherOperatingIncome_qq,,70.01,-34.31,-44.35,492.75,-77.55,18.44,120.32,-63.65,26.61,-63.30,285.56,-15.42,42.10,27.60,-8.05,-70.62,-7.31,145.62,227.39,-79.35,32.06
IncomeOtherOperatingIncome_sq,,34.65,-10.93,147.28,-55.52,-2.04,11.38,48.90,-33.12,17.13,-16.80,183.20,-20.94,12.86,-30.19,81.32,-41.00,9.96,-30.31,194.70,-70.82,32.06
IncomeOtherOperatingCosts,4625000,7615000,3958000,9134000,7202000,6405000,5113000,5465000,5416000,8710000,3410000,23853000,1169000,3301000,2202000,4185000,1293000,2427000,2793000,2853000,878000,431000
IncomeOtherOperatingCosts_yy,,,,,55.72,-15.89,29.18,-40.17,-24.80,35.99,-33.31,336.47,-78.42,-62.10,-35.43,-82.46,10.61,-26.48,26.84,-31.83,-32.10,-82.24
IncomeOtherOperatingCosts_sy,,,,,18.83,36.64,120.86,3.27,-42.72,31.96,-7.02,13.06,61.62,11.21,88.08,-2.82,15.68,18.08,16.59,6.69,11.06,11.93
IncomeOtherOperatingCosts_qq,,64.65,-48.02,130.77,-21.15,-11.07,-20.17,6.88,-0.90,60.82,-60.85,599.50,-95.10,182.38,-33.29,90.05,-69.10,87.70,15.08,2.15,-69.23,-50.91
IncomeOtherOperatingCosts_sq,,19.11,-27.12,352.97,-64.96,45.35,-1.44,62.75,-75.92,74.71,-30.71,226.78,-61.31,5.56,-28.69,151.61,-50.38,22.66,-17.89,215.30,-69.23,18.69
IncomeEBIT,8342000,18921000,8055000,30518000,9516000,45370000,49533000,10346000,11164000,2525000,6248000,69123000,-10909000,4948000,-1117000,26076000,14950000,-11058000,5926000,35696000,762000,24473000
IncomeEBIT_yy,,,,,14.07,139.79,514.93,-66.10,17.32,-94.43,-87.39,568.11,-197.72,95.96,-117.88,-62.28,237.04,-323.48,630.53,36.89,-94.90,321.31
IncomeEBIT_sy,,,,,31.22,12.41,8.70,11.67,-5.06,14.86,-4.48,-8.98,-20.06,4.42,-40.90,-11.12,12.22,-29.59,6.17,12.99,26.82,16.86
IncomeEBIT_qq,,126.82,-57.43,278.87,-68.82,376.78,9.18,-79.11,7.91,-77.38,147.45,1006.32,-115.78,145.36,-122.57,2434.47,-42.67,-173.97,153.59,502.36,-97.87,3111.68
IncomeEBIT_sq,,16.59,16.65,-7.94,-16.00,24.96,-0.64,-5.22,-24.60,11.57,10.18,-19.46,-39.90,30.32,-13.65,22.20,-18.63,-7.28,22.60,-5.95,12.31,-11.62
IncomeFinanceIncome,280000,247000,70000,237000,300000,1201000,1191000,1271000,1684000,533000,880000,839000,1505000,164000,2644000,-592000,792000,2361000,748000,1130000,957000,1765000
IncomeFinanceIncome_yy,,,,,7.14,386.23,1601.43,436.29,461.33,-55.62,-26.11,-33.99,-10.63,-69.23,200.45,-170.56,-47.38,1339.63,-71.71,290.88,20.83,-25.24
IncomeFinanceIncome_sy,,,,,-25.14,-50.16,40.96,117.37,106.72,-38.61,-64.50,-23.25,-49.02,42.25,-6.12,-61.67,,-65.09,67.71,-36.62,-22.08,108.94
IncomeFinanceIncome_qq,,-11.79,-71.66,238.57,26.58,300.33,-0.83,6.72,32.49,-68.35,65.10,-4.66,79.38,-89.10,1512.20,-122.39,233.78,198.11,-68.32,51.07,-15.31,84.43
IncomeFinanceIncome_sq,,-1.87,-55.64,116.67,32.16,-31.11,13.32,40.32,62.22,-63.95,-20.00,55.50,15.82,27.57,-51.58,11.03,44.44,-32.85,17.03,23.24,12.54,66.67
IncomeFinanceCosts,4767000,4583000,5416000,5027000,4607000,6143000,4626000,3564000,3853000,4186000,3838000,4633000,3038000,4883000,2108000,3684000,3970000,3853000,4284000,3619000,3865000,4316000
IncomeFinanceCosts_yy,,,,,-3.36,34.04,-14.59,-29.10,-16.37,-31.86,-17.03,29.99,-21.15,16.65,-45.08,-20.48,30.68,-21.09,103.23,-1.76,-2.64,12.02
IncomeFinanceCosts_sy,,,,,9.81,-23.52,37.54,65.13,23.15,-34.62,-8.50,-12.56,-15.07,34.27,-27.77,11.37,7.19,13.69,-33.28,90.57,-6.08,-21.13
IncomeFinanceCosts_qq,,-3.86,18.18,-7.18,-8.35,33.34,-24.69,-22.96,8.11,8.64,-8.31,20.71,-34.43,60.73,-56.83,74.76,7.76,-2.95,11.19,-15.52,6.80,11.67
IncomeFinanceCosts_sq,,28.74,-17.17,25.14,19.43,7.17,7.27,14.13,-8.16,-38.16,64.29,34.45,1.38,-6.61,-39.21,78.74,7.76,-9.24,-56.71,261.63,-50.75,16.67
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,3855000,14585000,2709000,25728000,5209000,40428000,46098000,8053000,8995000,-1128000,3290000,65329000,-12442000,229000,-581000,21800000,11772000,-12550000,2390000,33207000,-2146000,21922000
IncomeNetGrossProfit_yy,,,,,35.12,177.19,1601.66,-68.70,72.68,-102.79,-92.86,711.24,-238.32,120.30,-117.66,-66.63,194.62,-5580.35,511.36,52.33,-118.23,274.68
IncomeNetGrossProfit_sy,,,,,20.62,11.36,15.63,8.33,1.75,36.47,-10.74,-4.62,-24.35,-0.35,-21.83,-18.80,27.56,-26.78,2.48,-11.20,12.84,66.95
IncomeNetGrossProfit_qq,,278.34,-81.43,849.72,-79.75,676.12,14.02,-82.53,11.70,-112.54,391.67,1885.68,-119.05,101.84,-353.71,3852.15,-46.00,-206.61,119.04,1289.41,-106.46,1121.53
IncomeNetGrossProfit_sq,,18.24,8.90,-18.25,-26.63,28.52,-1.62,-18.55,-16.24,10.72,8.98,-20.98,-31.61,25.14,-5.30,-14.92,-5.19,-45.34,27.02,-44.47,31.62,-5.53
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,3855000,14585000,2709000,25728000,5209000,40428000,46098000,8053000,8995000,-1128000,3290000,65329000,-12442000,229000,-581000,21800000,11772000,-12550000,2390000,33207000,-2146000,21922000
IncomeBeforeTaxProfit_yy,,,,,35.12,177.19,1601.66,-68.70,72.68,-102.79,-92.86,711.24,-238.32,120.30,-117.66,-66.63,194.62,-5580.35,511.36,52.33,-118.23,274.68
IncomeBeforeTaxProfit_sy,,,,,20.62,11.36,15.63,8.33,1.75,36.47,-10.74,-4.62,-24.35,-0.35,-21.83,-18.80,27.56,-26.78,2.48,-11.20,12.84,66.95
IncomeBeforeTaxProfit_qq,,278.34,-81.43,849.72,-79.75,676.12,14.02,-82.53,11.70,-112.54,391.67,1885.68,-119.05,101.84,-353.71,3852.15,-46.00,-206.61,119.04,1289.41,-106.46,1121.53
IncomeBeforeTaxProfit_sq,,18.24,8.90,-18.25,-26.63,28.52,-1.62,-18.55,-16.24,10.72,8.98,-20.98,-31.61,25.14,-5.30,-14.92,-5.19,-45.34,27.02,-44.47,31.62,-5.53
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,1908000,12587000,1100000,21143000,3966000,31866000,36744000,5906000,7629000,-806000,2206000,55942000,-15301000,11167000,-477000,15617000,9921000,-10489000,2041000,28190000,-2567000,15925000
IncomeNetProfit_yy,,,,,107.86,153.17,3240.36,-72.07,92.36,-102.53,-94.00,847.21,-300.56,1485.48,-121.62,-72.08,164.84,-193.93,527.88,80.51,-125.87,251.83
IncomeNetProfit_sy,,,,,21.99,18.11,8.53,0.85,-0.50,7.94,-13.74,-14.78,-21.34,-0.82,-28.61,-18.38,24.94,-22.94,8.87,12.09,26.02,6.38
IncomeNetProfit_qq,,559.70,-91.26,1822.09,-81.24,703.48,15.31,-83.93,29.17,-110.56,373.70,2435.90,-127.35,172.98,-104.27,3374.00,-36.47,-205.73,119.46,1281.19,-109.11,720.37
IncomeNetProfit_sq,,18.12,6.58,-18.15,-28.48,43.85,-4.50,-26.53,-16.24,-0.46,10.54,-24.18,-32.79,20.12,-4.94,-28.30,-6.28,15.93,28.75,-74.79,88.84,-2.07
IncomeShareholderNetProfit,2100000,12619000,957000,20869000,3943000,31845000,36739000,5829000,7685000,-822000,2214000,55797000,-15243000,11224000,-461000,15674000,9945000,-10500000,2077000,28221000,-2550000,15901000
IncomeShareholderNetProfit_yy,,,,,87.76,152.36,3738.98,-72.07,94.90,-102.58,-93.97,857.23,-298.35,1465.45,-120.82,-71.91,165.24,-193.55,550.54,80.05,-125.64,251.44
IncomeShareholderNetProfit_sy,,,,,21.99,17.85,5.78,0.49,-1.08,0.10,-16.38,-13.05,-21.34,-0.74,-28.52,-8.74,27.51,-17.73,11.85,-42.07,27.89,5.03
IncomeShareholderNetProfit_qq,,500.90,-92.42,2080.67,-81.11,707.63,15.37,-84.13,31.84,-110.70,369.34,2420.19,-127.32,173.63,-104.11,3500.00,-36.55,-205.58,119.78,1258.74,-109.04,723.57
IncomeShareholderNetProfit_sq,,18.12,2.85,-17.42,-28.48,42.50,-4.51,-27.08,-16.13,-3.74,30.73,-25.32,-32.79,32.09,-4.94,-31.30,1.20,16.36,17.84,-74.79,81.54,-2.91
BalanceNoncurrentAssets,291287000,308261000,312682000,321581000,389934000,429738000,428186000,443207000,447783000,463068000,468043000,478628000,468963000,474292000,469121000,467373000,463750000,463324000,464282000,443213000,494050000,490276000
BalanceNoncurrentAssets_yy,,,,,33.87,39.41,36.94,37.82,14.84,7.76,9.31,7.99,4.73,2.42,0.23,-2.35,-1.11,-2.31,-1.03,-5.17,6.53,5.82
BalanceNoncurrentAssets_sy,,,,,5.68,3.82,6.35,4.77,4.76,6.90,6.33,3.58,4.73,2.42,1.08,4.57,1.90,3.62,2.71,-1.13,-0.78,-2.37
BalanceNoncurrentAssets_qq,,5.83,1.43,2.85,21.26,10.21,-0.36,3.51,1.03,3.41,1.07,2.26,-2.02,1.14,-1.09,-0.37,-0.78,-0.09,0.21,-4.54,11.47,-0.76
BalanceNoncurrentAssets_sq,,2.73,-0.18,0.88,-0.13,-0.20,0.28,2.36,0.65,1.14,1.04,0.21,-0.55,-0.12,-0.23,1.56,0.33,0.27,-0.62,-1.20,0.14,0.89
BalanceIntangibleAssets,34748000,34833000,37445000,37968000,38063000,36897000,36741000,38053000,39062000,42586000,44081000,45713000,45983000,45394000,44098000,42144000,40311000,38026000,35408000,36164000,34019000,32966000
BalanceIntangibleAssets_yy,,,,,9.54,5.93,-1.88,0.22,2.62,15.42,19.98,20.13,17.72,6.59,0.04,-7.81,-12.33,-16.23,-19.71,-14.19,-15.61,-13.31
BalanceIntangibleAssets_sy,,,,,0.98,2.90,1.03,5.36,5.61,3.97,10.05,-2.23,2.29,0.37,-2.22,-1.84,-3.78,0.19,-1.37,0.92,3.92,-0.18
BalanceIntangibleAssets_qq,,0.24,7.50,1.40,0.25,-3.06,-0.42,3.57,2.65,9.02,3.51,3.70,0.59,-1.28,-2.86,-4.43,-4.35,-5.67,-6.88,2.14,-5.93,-3.10
BalanceIntangibleAssets_sq,,-0.54,-0.12,0.78,-0.66,0.53,-0.86,0.80,-2.02,0.21,-0.65,-1.48,-1.14,-1.46,-1.85,-0.50,-2.00,-0.80,-0.62,-1.23,-1.32,-1.11
BalanceProperty,243982000,260069000,260912000,267794000,265564000,282698000,281723000,297235000,299790000,311524000,313682000,322841000,316725000,317521000,315056000,324547000,325230000,326668000,332002000,321019000,377338000,376854000
BalanceProperty_yy,,,,,8.85,8.70,7.98,10.99,12.89,10.20,11.34,8.61,5.65,1.93,0.44,0.53,2.69,2.88,5.38,-1.09,16.02,15.36
BalanceProperty_sy,,,,,2.88,1.95,5.19,6.25,5.18,6.04,4.72,4.28,2.27,2.50,1.84,0.53,0.29,0.86,0.97,-1.83,-2.68,-1.61
BalanceProperty_qq,,6.59,0.32,2.64,-0.83,6.45,-0.34,5.51,0.86,3.91,0.69,2.92,-1.89,0.25,-0.78,3.01,0.21,0.44,1.63,-3.31,17.54,-0.13
BalanceProperty_sq,,0.56,-0.61,0.55,0.09,-0.68,-0.28,2.16,0.66,0.42,0.34,0.56,-1.14,0.21,-0.64,0.41,-0.33,-0.71,-0.99,-1.15,-0.89,-0.35
BalanceNoncurrentReceivables,8782000,9322000,9852000,10392000,81280000,104866000,102915000,101598000,100412000,99025000,97837000,97689000,96451000,92313000,91166000,89671000,88366000,85921000,84686000,76474000,75179000,73773000
BalanceNoncurrentReceivables_yy,,,,,825.53,1024.93,944.61,877.66,23.54,-5.57,-4.93,-3.85,-3.94,-6.78,-6.82,-8.21,-8.38,-6.92,-7.11,-14.72,-14.92,-14.14
BalanceNoncurrentReceivables_sy,,,,,-10.08,-10.50,-28.12,-3.19,-28.83,-25.17,-18.84,-10.20,0.81,-0.08,-2.20,-6.40,-8.72,-3.46,-6.34,,-5.58,-5.89
BalanceNoncurrentReceivables_qq,,6.15,5.69,5.48,682.14,29.02,-1.86,-1.28,-1.17,-1.38,-1.20,-0.15,-1.27,-4.29,-1.24,-1.64,-1.46,-2.77,-1.44,-9.70,-1.69,-1.87
BalanceNoncurrentReceivables_sq,,-0.89,-0.98,-2.65,,-0.24,-1.86,-4.14,-18.28,-1.10,0.34,1.96,,-2.14,-0.52,-1.88,-2.08,-1.05,,-1.96,-3.20,-1.62
BalanceNoncurrInvestments,,,,,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,203000,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,,,,,,-100.00,-100.00,-100.00,-100.00,
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,,,,,,,-22.74,-23.74,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,,,,,,-100.00,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,3775000,4037000,4473000,5427000,4824000,5074000,6604000,6118000,8316000,9730000,12240000,12182000,9601000,18861000,18598000,10808000,9640000,12709000,12186000,9556000,7514000,6683000
BalanceOtherNoncurrentAssets_yy,,,,,27.79,25.69,47.64,12.73,72.39,91.76,85.34,99.12,15.45,93.84,51.94,-11.28,0.41,-32.62,-34.48,-11.58,-22.05,-47.42
BalanceOtherNoncurrentAssets_sy,,,,,33.40,13.92,13.66,-0.02,6.36,-5.24,1.38,-0.12,9.08,3.50,7.19,11.68,9.52,13.38,8.49,-4.70,-4.82,-2.76
BalanceOtherNoncurrentAssets_qq,,6.94,10.80,21.33,-11.11,5.18,30.15,-7.36,35.93,17.00,25.80,-0.47,-21.19,96.45,-1.39,-41.89,-10.81,31.84,-4.12,-21.58,-21.37,-11.06
BalanceOtherNoncurrentAssets_sq,,9.08,-0.02,2.39,1.02,1.44,-0.06,-3.76,1.85,0.51,1.49,-4.24,8.83,-0.14,2.96,5.02,-1.99,2.60,-1.58,-2.80,2.80,-0.68
BalanceCurrentAssets,528007000,490071000,563751000,579692000,597644000,580718000,593168000,465372000,551764000,591752000,589412000,441088000,437474000,410082000,410945000,401670000,392786000,487428000,552883000,549251000,517845000,518430000
BalanceCurrentAssets_yy,,,,,13.19,18.50,5.22,-19.72,-7.68,1.90,-0.63,-5.22,-20.71,-30.70,-30.28,-8.94,-10.22,18.86,34.54,36.74,31.84,6.36
BalanceCurrentAssets_sy,,,,,4.04,2.97,5.22,1.97,8.87,10.94,5.41,6.60,4.73,2.03,-4.06,3.75,2.33,-0.62,2.77,0.90,6.13,7.19
BalanceCurrentAssets_qq,,-7.18,15.03,2.83,3.10,-2.83,2.14,-21.54,18.56,7.25,-0.40,-25.16,-0.82,-6.26,0.21,-2.26,-2.21,24.10,13.43,-0.66,-5.72,0.11
BalanceCurrentAssets_sq,,0.72,2.95,-2.64,0.26,0.87,4.69,-1.67,6.48,3.18,0.86,2.12,1.75,1.10,1.43,-1.17,-0.62,0.47,2.75,-0.66,3.14,2.90
BalanceInventory,256867000,236512000,299460000,252022000,293880000,269402000,219428000,238763000,282973000,306843000,342784000,153044000,190318000,210312000,256536000,219671000,219475000,275440000,338540000,237255000,287718000,285056000
BalanceInventory_yy,,,,,14.41,13.91,-26.73,-5.26,-3.71,13.90,56.22,-35.90,-32.74,-31.46,-25.16,43.53,15.32,30.97,31.97,8.00,31.09,3.49
BalanceInventory_sy,,,,,8.64,11.78,2.60,10.48,3.81,6.55,6.42,4.72,5.34,1.84,3.02,5.03,4.77,8.37,7.60,6.45,7.75,8.12
BalanceInventory_qq,,-7.92,26.62,-15.84,16.61,-8.33,-18.55,8.81,18.52,8.44,11.71,-55.35,24.36,10.51,21.98,-14.37,-0.09,25.50,22.91,-29.92,21.27,-0.93
BalanceInventory_sq,,0.31,0.70,-4.84,6.35,-2.11,2.10,-8.73,6.49,2.06,5.27,-8.59,5.03,1.50,1.39,-7.15,1.79,2.27,-1.23,-0.46,12.29,5.71
BalanceCurrentReceivables,256905000,241526000,228332000,237023000,243686000,296350000,368198000,212555000,255466000,232232000,235560000,235102000,209423000,180801000,135900000,177317000,163819000,202459000,205466000,279176000,198978000,200497000
BalanceCurrentReceivables_yy,,,,,-5.15,22.70,61.26,-10.32,4.83,-21.64,-36.02,10.61,-18.02,-22.15,-42.31,-24.58,-21.78,11.98,51.19,57.44,21.46,-0.97
BalanceCurrentReceivables_sy,,,,,-1.86,8.91,9.70,5.78,8.26,11.86,7.75,7.88,-4.14,-0.21,-0.45,8.12,3.80,-0.61,0.70,-7.52,6.31,4.64
BalanceCurrentReceivables_qq,,-5.99,-5.46,3.81,2.81,21.61,24.24,-42.27,20.19,-9.09,1.43,-0.19,-10.92,-13.67,-24.83,30.48,-7.61,23.59,1.49,35.87,-28.73,0.76
BalanceCurrentReceivables_sq,,-1.16,0.30,0.60,-2.73,8.37,5.23,-2.03,4.26,1.61,2.66,0.56,0.92,4.58,0.73,-0.30,-7.61,4.63,2.36,-4.43,-2.71,1.27
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_qq,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,,,,,,,,,,,,,,,,,
BalanceCash,9486000,1416000,599000,13642000,5263000,13980000,3260000,6660000,9216000,50035000,9674000,52531000,36406000,17744000,17675000,4389000,7809000,7992000,7592000,13802000,10873000,12772000
BalanceCash_yy,,,,,-44.52,887.29,444.24,-51.18,75.11,257.90,196.75,688.75,295.03,-64.54,82.71,-91.64,-78.55,-54.96,-57.05,214.47,39.24,59.81
BalanceCash_sy,,,,,-19.68,11.30,-4.19,-23.01,-7.99,-14.05,-1.46,25.35,-2.28,-11.90,8.02,0.33,-3.14,-18.37,-8.63,8.10,-1.92,3.69
BalanceCash_qq,,-85.07,-57.70,2177.46,-61.42,165.63,-76.68,104.29,38.38,442.91,-80.67,443.01,-30.70,-51.26,-0.39,-75.17,77.92,2.34,-5.01,81.80,-21.22,17.47
BalanceCash_sq,,9.99,2.37,-7.33,-13.13,0.50,-4.60,8.28,-2.43,13.22,-6.76,23.11,-10.36,-10.05,-6.84,25.48,-15.13,1.19,-17.50,8.45,-10.92,17.34
BalanceOtherCurrentAssets,4749000,10617000,35360000,77005000,54815000,986000,2282000,7394000,4109000,2642000,1394000,411000,1327000,1257000,834000,293000,1683000,1537000,1285000,19018000,20276000,20105000
BalanceOtherCurrentAssets_yy,,,,,1054.24,-90.71,-93.55,-90.40,-92.50,167.95,-38.91,-94.44,-67.71,-52.42,-40.17,-28.71,26.83,22.28,54.08,6390.78,1104.75,1208.07
BalanceOtherCurrentAssets_sy,,,,,29.62,3.32,12.85,4.24,5.96,10.20,-7.80,-5.42,-7.65,-2.51,0.78,10.39,5.72,-1.70,20.73,22.38,9.06,14.84
BalanceOtherCurrentAssets_qq,,123.56,233.05,117.77,-28.82,-98.20,131.44,224.01,-44.43,-35.70,-47.24,-70.52,222.87,-5.28,-33.65,-64.87,474.40,-8.67,-16.40,1380.00,6.61,-0.84
BalanceOtherCurrentAssets_sq,,-7.18,-12.06,-15.97,41.08,-16.41,7.07,-6.72,26.83,-10.19,-19.78,-11.65,32.08,-2.64,-3.36,-18.44,49.29,-5.43,-13.51,0.84,19.98,1.00
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,9307000,476000,476000
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,,,,-94.89,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,,,,-1.07,
