,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeGrossProfit_sy,,,,,-1.64,0.12,10.04,25.95,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,-98.79,1062.21,159.63,18.61,248.34,-60.80,-12.31,5.82,172.07,-109.33,-61.06,635.25,227.21,-104.06,-35.27
IncomeGrossProfit_sq,,0.18,-11.96,-3.03,13.61,0.30,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,418000,719000,1333000,3477000,106000,-650000,66000,858000,96000,2643000,903000,761000,727000,800000,593000,424000
IncomeOtherOperatingIncome_yy,,,,,-74.64,-190.40,-95.05,-75.32,-9.43,506.62,1268.18,-11.31,657.29,-69.73,-34.33,-44.28
IncomeOtherOperatingIncome_sy,,,,,-57.31,-20.96,61.05,7.69,-9.43,19.46,-6.69,-30.16,-11.11,-29.98,55.50,30.58
IncomeOtherOperatingIncome_qq,,72.01,85.40,160.84,-96.95,-713.21,110.15,1200.00,-88.81,2653.12,-65.83,-15.73,-4.47,10.04,-25.88,-28.50
IncomeOtherOperatingIncome_sq,,79.34,-72.86,61.65,-35.58,140.00,-45.48,90.17,-52.68,172.85,-65.83,37.92,-7.04,173.77,-25.88,45.39
IncomeOtherOperatingCosts,68000,170000,76000,1243000,140000,-834000,71000,189000,104000,13850000,254000,1076000,269000,-85000,200000,306000
IncomeOtherOperatingCosts_yy,,,,,105.88,-590.59,-6.58,-84.79,-25.71,1760.67,257.75,469.31,158.65,-100.61,-21.26,-71.56
IncomeOtherOperatingCosts_sy,,,,,-0.65,2.39,1.82,10.55,13.95,20.50,-0.45,4.98,-11.60,-42.26,8.40,-27.00
IncomeOtherOperatingCosts_qq,,150.00,-55.29,1535.53,-88.74,-695.71,108.51,166.20,-44.97,13217.31,-98.17,323.62,-75.00,-131.60,335.29,53.00
IncomeOtherOperatingCosts_sq,,149.91,-73.51,35.71,0.41,89.33,-67.01,26.08,-8.70,271.95,-81.63,29.84,-45.16,122.47,-66.26,12.72
IncomeEBIT,14553000,721000,3256000,7424000,6122000,21628000,8402000,8041000,7793000,10017000,-1331000,-3504000,17527000,56737000,-1875000,-2950000
IncomeEBIT_yy,,,,,-57.93,2899.72,158.05,8.31,27.30,-53.69,-115.84,-143.58,124.91,466.41,-40.87,15.81
IncomeEBIT_sy,,,,,-14.89,13.12,42.31,46.57,-24.46,42.28,-21.30,-5.86,48.66,-34.94,54.08,23.04
IncomeEBIT_qq,,-95.05,351.60,128.01,-17.54,253.28,-61.15,-4.30,-3.08,28.54,-113.29,-163.26,600.20,223.71,-103.30,-57.33
IncomeEBIT_sq,,-11.52,-16.33,21.89,-12.72,15.92,-41.76,34.91,-25.90,170.71,-69.86,53.59,15.43,51.40,-30.78,23.09
IncomeFinanceIncome,148000,78000,243000,240000,72000,61000,407000,63000,468000,-2000,211000,312000,193000,525000,390000,348000
IncomeFinanceIncome_yy,,,,,-51.35,-21.79,67.49,-73.75,550.00,-103.28,-48.16,395.24,-58.76,26350.00,84.83,11.54
IncomeFinanceIncome_sy,,,,,-1.89,-12.08,-27.34,20.72,50.00,35.44,90.88,-20.91,-58.15,19.55,-19.18,-0.93
IncomeFinanceIncome_qq,,-47.30,211.54,-1.23,-70.00,-15.28,567.21,-84.52,642.86,-100.43,10650.00,47.87,-38.14,172.02,-25.71,-10.77
IncomeFinanceIncome_sq,,25.62,99.36,-16.27,-6.31,20.34,1.88,11.33,-32.86,59.57,31.66,-12.08,-32.46,74.12,-50.65,1.27
IncomeFinanceCosts,288000,272000,392000,431000,460000,486000,1227000,698000,1500000,1432000,1401000,2373000,2072000,2119000,2237000,2233000
IncomeFinanceCosts_yy,,,,,59.72,78.68,213.01,61.95,226.09,194.65,14.18,239.97,38.13,47.97,59.67,-5.90
IncomeFinanceCosts_sy,,,,,0.40,4.26,-13.16,19.08,-34.43,22.52,-0.87,-21.28,80.29,-29.34,5.62,33.33
IncomeFinanceCosts_qq,,-5.56,44.12,9.95,6.73,5.65,152.47,-43.11,114.90,-4.53,-2.16,69.38,-12.68,2.27,5.57,-0.18
IncomeFinanceCosts_sq,,59.52,-23.80,-0.02,-1.27,18.84,-14.08,19.76,-35.30,80.31,-32.98,1.98,-3.10,8.78,-2.91,24.64
IncomeOtherIncome,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,14413000,527000,3107000,7233000,5734000,21203000,7582000,7406000,6761000,8583000,-2521000,-5565000,15648000,55143000,-3722000,-4835000
IncomeNetGrossProfit_yy,,,,,-60.22,3923.34,144.03,2.39,17.91,-59.52,-133.25,-175.14,131.45,542.47,-47.64,13.12
IncomeNetGrossProfit_sy,,,,,7.44,21.98,55.87,9.48,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
IncomeNetGrossProfit_qq,,-96.34,489.56,132.80,-20.72,269.78,-64.24,-2.32,-8.71,26.95,-129.37,-120.75,381.19,252.40,-106.75,-29.90
IncomeNetGrossProfit_sq,,-25.48,3.63,31.43,-20.72,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,14413000,527000,3107000,7233000,5734000,21203000,7582000,7406000,6761000,8583000,-2521000,-5565000,15648000,55143000,-3722000,-4835000
IncomeBeforeTaxProfit_yy,,,,,-60.22,3923.34,144.03,2.39,17.91,-59.52,-133.25,-175.14,131.45,542.47,-47.64,13.12
IncomeBeforeTaxProfit_sy,,,,,7.44,21.98,55.87,9.48,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
IncomeBeforeTaxProfit_qq,,-96.34,489.56,132.80,-20.72,269.78,-64.24,-2.32,-8.71,26.95,-129.37,-120.75,381.19,252.40,-106.75,-29.90
IncomeBeforeTaxProfit_sq,,-25.48,3.63,31.43,-20.72,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,
IncomeNetProfit,14412000,442000,3162000,7271000,5816000,21230000,7745000,7532000,7035000,24616000,-2221000,-5063000,14531000,69383000,-3052000,-4526000
IncomeNetProfit_yy,,,,,-59.64,4703.17,144.94,3.59,20.96,15.95,-128.68,-167.22,106.55,181.86,-37.42,10.61
IncomeNetProfit_sy,,,,,15.48,51.39,54.90,74.51,14.18,5.42,5.02,11.68,44.06,-14.19,44.78,20.03
IncomeNetProfit_qq,,-96.93,615.38,129.95,-20.01,265.03,-63.52,-2.75,-6.60,249.91,-109.02,-127.96,387.00,377.48,-104.40,-48.30
IncomeNetProfit_sq,,-17.29,7.26,15.62,17.13,85.44,-57.27,23.52,-10.41,165.17,-66.45,73.45,-1.63,30.86,-32.24,-2.23
IncomeShareholderNetProfit,13181000,508000,2957000,6658000,5281000,19546000,7097000,6900000,6421000,22402000,-2126000,-4770000,13341000,64965000,-3011000,-4246000
IncomeShareholderNetProfit_yy,,,,,-59.93,3747.64,140.01,3.63,21.59,14.61,-129.96,-169.13,107.77,190.00,-41.63,10.99
IncomeShareholderNetProfit_sy,,,,,20.02,41.42,46.07,74.50,7.03,5.42,5.02,11.68,44.06,-5.10,44.88,10.99
IncomeShareholderNetProfit_qq,,-96.15,482.09,125.16,-20.68,270.12,-63.69,-2.78,-6.94,248.89,-109.49,-124.37,379.69,386.96,-104.63,-41.02
IncomeShareholderNetProfit_sq,,-14.28,1.50,15.62,17.13,85.44,-57.27,23.52,-10.42,165.70,-66.88,73.45,-3.66,37.18,-35.04,-7.42
BalanceNoncurrentAssets,19048000,20926000,23799000,20468000,20628000,20236000,20610000,20097000,20351000,37091000,37080000,37779000,37921000,52910000,44926000,44355000
BalanceNoncurrentAssets_yy,,,,,8.29,-3.30,-13.40,-1.81,-1.34,83.29,79.91,87.98,86.33,42.65,21.16,17.41
BalanceNoncurrentAssets_sy,,,,,0.28,-3.38,-3.12,-1.81,-1.08,1.85,-0.61,-1.73,-1.45,3.43,6.44,4.34
BalanceNoncurrentAssets_qq,,9.86,13.73,-14.00,0.78,-1.90,1.85,-2.49,1.26,82.26,-0.03,1.89,0.38,39.53,-15.09,-1.27
BalanceNoncurrentAssets_sq,,0.07,-0.12,0.79,0.40,0.13,0.86,1.20,-0.30,1.05,-0.89,1.89,1.78,1.19,0.80,0.70
BalanceIntangibleAssets,41000,31000,19000,26000,16000,50000,52000,42000,33000,25000,17000,10000,3000,6000,9000,82000
BalanceIntangibleAssets_yy,,,,,-60.98,61.29,173.68,61.54,106.25,-50.00,-67.31,-76.19,-90.91,-76.00,-47.06,720.00
BalanceIntangibleAssets_sy,,,,,-14.72,-23.96,-9.23,-6.34,-10.21,-0.20,-0.47,-0.44,-0.24,-0.52,-0.46,0.01
BalanceIntangibleAssets_qq,,-24.39,-38.71,36.84,-38.46,212.50,4.00,-19.23,-21.43,-24.24,-32.00,-41.18,-70.00,100.00,50.00,811.11
BalanceIntangibleAssets_sq,,-0.87,-3.94,-0.44,-1.22,-5.88,-0.13,-0.92,-0.05,-0.04,-1.48,-0.48,,-0.34,-0.19,
BalanceProperty,17772000,18135000,18146000,18083000,18095000,18230000,18260000,18137000,18097000,18543000,18573000,18506000,19174000,19312000,12187000,11945000
BalanceProperty_yy,,,,,1.82,0.52,0.63,0.30,0.01,1.72,1.71,2.03,5.95,4.15,-34.38,-35.45
BalanceProperty_sy,,,,,-1.67,-4.75,-1.38,-2.75,-0.20,0.46,-0.28,-0.55,0.04,4.15,5.73,4.13
BalanceProperty_qq,,2.04,0.06,-0.35,0.07,0.75,0.16,-0.67,-0.22,2.46,0.16,-0.36,3.61,0.72,-36.89,-1.99
BalanceProperty_sq,,-0.12,-0.85,0.01,-0.31,0.14,-0.02,1.49,-0.36,1.25,-0.50,0.73,0.33,0.28,0.67,3.25
BalanceNoncurrentReceivables,,2655000,5282000,2212000,2243000,1118000,1130000,811000,818000,824000,832000,957000,913000,239000,238000,171000
BalanceNoncurrentReceivables_yy,,,,,,-57.89,-78.61,-63.34,-63.53,-26.30,-26.37,18.00,11.61,-71.00,-71.39,-82.13
BalanceNoncurrentReceivables_sy,,,,,,,-31.54,-8.55,-7.84,3.61,0.57,0.22,-1.57,0.88,5.34,-1.90
BalanceNoncurrentReceivables_qq,,,98.95,-58.12,1.40,-50.16,1.07,-28.23,0.86,0.73,0.97,15.02,-4.60,-73.82,-0.42,-28.15
BalanceNoncurrentReceivables_sq,,,,,,,,5.30,,0.73,,0.27,-0.96,-0.91,-0.54,1.08
BalanceNoncurrInvestments,1145000,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,-100.00,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,-3.86,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,-100.00,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,-4.96,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,90000,105000,352000,147000,274000,838000,1168000,1107000,1403000,17699000,17658000,18306000,17831000,33353000,32492000,32157000
BalanceOtherNoncurrentAssets_yy,,,,,204.44,698.10,231.82,653.06,412.04,2012.05,1411.82,1553.66,1170.92,88.45,84.01,75.66
BalanceOtherNoncurrentAssets_sy,,,,,-0.05,1.52,0.93,6.21,15.42,-5.84,-1.08,-10.93,0.76,2.62,-1.94,2.36
BalanceOtherNoncurrentAssets_qq,,16.67,235.24,-58.24,86.39,205.84,39.38,-5.22,26.74,1161.51,-0.23,3.67,-2.59,87.05,-2.58,-1.03
BalanceOtherNoncurrentAssets_sq,,2.50,1.58,-2.94,0.02,8.40,-0.37,2.50,-1.56,-4.90,0.42,-1.84,2.45,1.15,-0.37,3.86
BalanceCurrentAssets,148350000,178533000,206600000,206336000,216414000,293587000,302074000,303115000,373946000,348318000,367756000,469051000,504356000,517713000,560967000,654986000
BalanceCurrentAssets_yy,,,,,45.88,64.44,46.21,46.90,72.79,18.64,21.74,54.74,34.87,48.63,52.54,39.64
BalanceCurrentAssets_sy,,,,,7.03,1.12,-1.91,-3.57,1.18,5.70,14.16,12.40,13.98,13.28,13.37,13.97
BalanceCurrentAssets_qq,,20.35,15.72,-0.13,4.88,35.66,2.89,0.34,23.37,-6.85,5.58,27.54,7.53,2.65,8.35,16.76
BalanceCurrentAssets_sq,,2.88,0.87,1.06,-1.20,-5.39,0.03,3.98,2.05,-3.88,5.43,4.15,3.30,0.85,2.58,1.20
BalanceInventory,125703000,136334000,144630000,172191000,179952000,174066000,213632000,216094000,295402000,256205000,287679000,335792000,360006000,331135000,420471000,479429000
BalanceInventory_yy,,,,,43.16,27.68,47.71,25.50,64.16,47.19,34.66,55.39,21.87,29.25,46.16,42.78
BalanceInventory_sy,,,,,-3.43,-3.72,-10.98,-5.84,-1.44,10.48,6.00,8.83,2.22,-0.09,3.72,5.89
BalanceInventory_qq,,8.46,6.09,19.06,4.51,-3.27,22.73,1.15,36.70,-13.27,12.28,16.72,7.21,-8.02,26.98,14.02
BalanceInventory_sq,,-5.56,0.45,-0.09,0.11,-6.19,-0.50,2.90,3.36,-3.38,0.12,3.42,1.78,-1.52,0.12,1.45
BalanceCurrentReceivables,11584000,11044000,19526000,20532000,16925000,20679000,14026000,22013000,25263000,35491000,45172000,20501000,69941000,51195000,62837000,58732000
BalanceCurrentReceivables_yy,,,,,46.11,87.24,-28.17,7.21,49.26,71.63,222.06,-6.87,176.85,44.25,39.11,186.48
BalanceCurrentReceivables_sy,,,,,4.52,-4.14,-14.17,-2.48,-2.41,-6.18,7.62,-3.14,10.40,7.54,14.28,19.21
BalanceCurrentReceivables_qq,,-4.66,76.80,5.15,-17.57,22.18,-32.17,56.94,14.76,40.49,27.28,-54.62,241.16,-26.80,22.74,-6.53
BalanceCurrentReceivables_sq,,-4.64,9.95,5.15,-1.89,-6.97,0.75,-1.98,-1.46,-10.90,4.85,-3.16,10.31,-3.49,7.13,2.39
BalanceCurrentInvestments,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_sy,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_qq,,,,,,,,,,,,,,,,
BalanceCurrentInvestments_sq,,,,,,,,,,,,,,,,
BalanceCash,10820000,31053000,41836000,13014000,19072000,98549000,73030000,63805000,52611000,55987000,33230000,84077000,73575000,135005000,76161000,31117000
BalanceCash_yy,,,,,76.27,217.36,74.56,390.28,175.85,-43.19,-54.50,31.77,39.85,141.14,129.19,-62.99
BalanceCash_sy,,,,,-5.60,-3.37,3.56,5.38,10.24,-18.20,27.96,12.58,16.66,10.20,17.00,23.06
BalanceCash_qq,,187.00,34.72,-68.89,46.55,416.72,-25.89,-12.63,-17.54,6.42,-40.65,153.02,-12.49,83.49,-43.59,-59.14
BalanceCash_sq,,27.72,-7.48,-2.46,-1.93,11.28,-15.98,10.42,4.48,5.33,0.32,-0.77,-12.91,21.11,9.24,5.57
BalanceOtherCurrentAssets,243000,102000,608000,599000,465000,293000,1386000,1203000,670000,635000,1675000,28681000,834000,378000,1498000,85708000
BalanceOtherCurrentAssets_yy,,,,,91.36,187.25,127.96,100.83,44.09,116.72,20.85,2284.12,24.48,-40.47,-10.57,198.83
BalanceOtherCurrentAssets_sy,,,,,5.94,16.62,12.04,6.93,-5.26,-0.12,-8.68,-8.64,2.50,23.05,0.07,-9.55
BalanceOtherCurrentAssets_qq,,-58.02,496.08,-1.48,-22.37,-36.99,373.04,-13.20,-44.31,-5.22,163.78,1612.30,-97.09,-54.68,296.30,5621.50
BalanceOtherCurrentAssets_sq,,-39.88,63.36,-25.04,-11.75,-25.60,106.66,-9.66,-21.12,-16.77,45.41,-7.35,-8.62,-20.65,71.39,-16.97
BalanceAssetsForSale,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,
BalanceTotalAssets,167398000,199459000,230399000,226804000,237042000,313823000,322684000,323212000,394297000,385409000,404836000,506830000,542277000,570623000,605893000,699341000
BalanceTotalAssets_yy,,,,,41.60,57.34,40.05,42.51,66.34,22.81,25.46,56.81,37.53,48.06,49.66,37.98
BalanceTotalAssets_sy,,,,,6.88,0.10,2.38,0.75,1.64,5.60,6.24,5.49,4.88,6.00,8.82,8.67
BalanceTotalAssets_qq,,19.15,15.51,-1.56,4.51,32.39,2.82,0.16,21.99,-2.25,5.04,25.19,6.99,5.23,6.18,15.42
BalanceTotalAssets_sq,,1.07,0.20,0.96,0.23,-0.28,0.20,2.08,0.62,0.43,0.34,1.87,2.10,1.34,2.38,3.62
BalanceCapital,145655000,145279000,143735000,151600000,155673000,209825000,216922000,212662000,219084000,241485000,239358000,220549000,233890000,298855000,295844000,276477000
BalanceCapital_yy,,,,,6.88,44.43,50.92,40.28,40.73,15.09,10.34,3.71,6.76,23.76,23.60,25.36
BalanceCapital_sy,,,,,0.67,2.69,3.44,3.49,2.52,4.20,4.89,3.44,6.36,4.34,6.00,5.53
BalanceCapital_qq,,-0.26,-1.06,5.47,2.69,34.79,3.38,-1.96,3.02,10.22,-0.88,-7.86,6.05,27.78,-1.01,-6.55
BalanceCapital_sq,,-0.57,-0.45,0.06,1.01,2.44,0.47,-0.36,0.14,1.89,-0.09,-1.20,1.99,2.84,1.14,-1.17
BalanceShareCapital,3000000,3000000,3000000,3000000,3000000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000,3600000
BalanceShareCapital_yy,,,,,,20.00,20.00,20.00,20.00,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,,,20.00,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,
BalanceReserve,20797000,19818000,61024000,58158000,58157000,92163000,89236000,73320000,73320000,73320000,73320000,159565000,159565000,159565000,159565000,137800000
BalanceReserve_yy,,,,,179.64,365.05,46.23,26.07,26.07,-20.45,-17.84,117.63,117.63,117.63,117.63,-13.64
BalanceReserve_sy,,,,,0.87,2.89,2.35,1.93,1.64,1.89,1.24,0.52,0.82,0.60,0.69,0.74
BalanceReserve_qq,,-4.71,207.92,-4.70,,58.47,-3.18,-17.84,,,,117.63,,,,-13.64
BalanceReserve_sq,,,,1.20,,,,0.07,,,,0.20,,,,0.10
BalanceNonshareCapital,2345000,3165000,2227000,476000,907000,180000,-57000,474000,1088000,1488000,-92000,-6177000,-4987000,-1542000,-1583000,-7444000
BalanceNonshareCapital_yy,,,,,-61.32,-94.31,-102.56,-0.42,19.96,726.67,-61.40,-1403.16,-558.36,-203.63,-1620.65,-20.51
BalanceNonshareCapital_sy,,,,,-16.94,-11.20,-1.72,,7.20,11.39,14.29,17.64,26.01,5.28,9.82,11.82
BalanceNonshareCapital_qq,,34.97,-29.64,-78.63,90.55,-80.15,-131.67,931.58,129.54,36.76,-106.18,-6614.13,19.27,69.08,-2.66,-370.25
BalanceNonshareCapital_sq,,-5.45,-1.99,-4.62,-0.55,-0.90,-1.88,0.16,,5.54,,,,-0.04,0.57,0.66
BalanceNoncurrentLiabilities,226000,30443000,42245000,43416000,39998000,73414000,72294000,65362000,106482000,75765000,54153000,137473000,126074000,182660000,181909000,197532000
BalanceNoncurrentLiabilities_yy,,,,,17598.23,141.15,71.13,50.55,166.22,3.20,-25.09,110.33,18.40,141.09,235.92,43.69
BalanceNoncurrentLiabilities_sy,,,,,5.18,-14.27,-18.92,-0.34,1.28,4.04,2.92,0.25,-3.30,-3.30,7.00,9.06
BalanceNoncurrentLiabilities_qq,,13370.35,38.77,2.77,-7.87,83.54,-1.53,-9.59,62.91,-28.85,-28.53,153.86,-8.29,44.88,-0.41,8.59
BalanceNoncurrentLiabilities_sq,,2.94,-4.28,2.70,-0.04,-2.61,0.65,-0.17,2.90,1.10,-3.36,-0.42,0.89,-0.47,1.57,1.42
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,30225000,39602000,39965000,36475000,68403000,67062000,60124000,101180000,69790000,48159000,126332000,114468000,173240000,173331000,187968000
BalanceNoncurrentBorrowings_yy,,,,,,126.31,69.34,50.44,177.40,2.03,-28.19,110.12,13.13,148.23,259.91,48.79
BalanceNoncurrentBorrowings_sy,,,,,,-16.66,-21.01,-9.84,-8.64,4.67,2.66,-1.07,-2.00,-9.24,5.46,7.64
BalanceNoncurrentBorrowings_qq,,,31.02,0.92,-8.73,87.53,-1.96,-10.35,68.29,-31.02,-30.99,162.32,-9.39,51.34,0.05,8.44
BalanceNoncurrentBorrowings_sq,,,0.17,1.03,-0.10,-6.42,0.09,-1.13,3.40,2.08,-3.71,-2.11,0.80,-3.38,0.64,1.82
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,176000,127000,110000,86000,139000,113000,136000,105000,72000,103000,79000,56000,452000,388000,330000,270000
BalanceNoncurrentLeasing_yy,,,,,-21.02,-11.02,23.64,22.09,-48.20,-8.85,-41.91,-46.67,527.78,276.70,317.72,382.14
BalanceNoncurrentLeasing_sy,,,,,-21.02,-4.68,-31.70,-20.88,-51.30,-1.11,-5.24,-11.08,0.51,-5.81,-4.22,-2.90
BalanceNoncurrentLeasing_qq,,-27.84,-13.39,-21.82,61.63,-18.71,20.35,-22.79,-31.43,43.06,-23.30,-29.11,707.14,-14.16,-14.95,-18.18
BalanceNoncurrentLeasing_sq,,-27.84,-100.00,-44.97,16.49,-27.58,-0.98,2.19,-5.14,1.12,-6.33,-1.28,6.46,-4.70,-8.76,-7.78
BalanceNoncurrentOtherLiabilities,50000,91000,2533000,3365000,3384000,4898000,5096000,5133000,5230000,5872000,5915000,11085000,11154000,9032000,8248000,9294000
BalanceNoncurrentOtherLiabilities_yy,,,,,6668.00,5282.42,101.18,52.54,54.55,19.89,16.07,115.96,113.27,53.81,39.44,-16.16
BalanceNoncurrentOtherLiabilities_sy,,,,,4.37,-1.29,-3.52,3.02,1.85,4.66,2.20,6.55,5.62,25.84,21.41,15.39
BalanceNoncurrentOtherLiabilities_qq,,82.00,2683.52,32.85,0.56,44.74,4.04,0.73,1.89,12.28,0.73,87.40,0.62,-19.02,-8.68,12.68
