,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,100.00,100.00,100.00,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,18.22,100.00,100.00,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,-93.33,-367.24,100.00,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,-56.19,-5.06,-8.79,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-368000,-258000,-377000,-574000,-564000,-622000,-859000,-719000,-437000,-635000,-824000,-1240000,-679000,-1129000,-827000,-1162000,-892000,-1838000,-2092000,-3503000,-7020000,-5729000,-6419000,-5911000,-6986000,-5332000,-5191000
IncomeNetGrossProfit_yy,,,,,-53.22,-141.07,-127.94,-25.27,22.57,-2.10,4.11,-72.45,-55.50,-77.80,-0.36,6.29,-31.37,-62.80,-152.96,-201.46,-687.00,-211.70,-206.84,-68.74,0.48,6.93,19.13
IncomeNetGrossProfit_sy,,,,,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeNetGrossProfit_qq,,29.90,-46.12,-52.25,1.75,-10.28,-38.17,16.32,39.28,-45.43,-29.76,-50.49,45.24,-66.27,26.75,-40.51,23.24,-106.05,-13.82,-67.45,-100.40,18.39,-12.04,7.91,-18.19,23.68,2.64
IncomeNetGrossProfit_sq,,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-368000,-258000,-377000,-574000,-564000,-622000,-859000,-719000,-437000,-635000,-824000,-1240000,-679000,-1129000,-827000,-1162000,-892000,-1838000,-2092000,-3503000,-7020000,-5729000,-6419000,-5911000,-6986000,-5332000,-5191000
IncomeBeforeTaxProfit_yy,,,,,-53.22,-141.07,-127.94,-25.27,22.57,-2.10,4.11,-72.45,-55.50,-77.80,-0.36,6.29,-31.37,-62.80,-152.96,-201.46,-687.00,-211.70,-206.84,-68.74,0.48,6.93,19.13
IncomeBeforeTaxProfit_sy,,,,,-53.22,6.27,48.76,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeBeforeTaxProfit_qq,,29.90,-46.12,-52.25,1.75,-10.28,-38.17,16.32,39.28,-45.43,-29.76,-50.49,45.24,-66.27,26.75,-40.51,23.24,-106.05,-13.82,-67.45,-100.40,18.39,-12.04,7.91,-18.19,23.68,2.64
IncomeBeforeTaxProfit_sq,,-40.30,-28.76,35.95,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-112000,-209000,-33000,-720000,-655000,-503000,-707000,-573000,-1236000,-665000,-823000,-1239000,-676000,-1134000,-832000,-1165000,-884000,-1844000,-2090000,-3500000,-6954000,-5737000,-6265000,-5930000,-6960000,-5378000,-5152000
IncomeNetProfit_yy,,,,,-483.66,-140.50,-2041.88,20.37,-88.85,-32.30,-16.44,-116.10,45.32,-70.53,-1.09,5.97,-30.77,-62.61,-151.20,-200.43,-686.65,-211.12,-199.76,-69.43,-0.09,6.26,17.77
IncomeNetProfit_sy,,,,,-61.44,10.72,74.42,22.90,32.46,56.00,37.79,34.75,8.14,41.94,1.61,29.53,-14.87,-15.21,4.69,-17.38,0.21,19.91,-39.89,13.49,-11.55,-9.96,51.70
IncomeNetProfit_qq,,-86.36,84.21,-2081.82,9.09,23.21,-40.62,18.88,-115.61,46.21,-23.76,-50.55,45.44,-67.75,26.63,-40.02,24.12,-108.60,-13.34,-67.46,-98.69,17.50,-9.20,5.35,-17.37,22.73,4.20
IncomeNetProfit_sq,,-48.21,-11.58,33.02,-42.96,-32.39,0.42,36.81,-27.57,-5.94,18.62,8.59,-37.73,-11.18,24.75,12.14,-23.20,-1.51,11.16,-8.65,-4.53,14.21,-29.32,23.55,-24.91,17.54,-8.36
IncomeShareholderNetProfit,-113000,-209000,-33000,-719000,-656000,-503000,-707000,-573000,-1236000,-665000,-823000,-1239000,-676000,-1134000,-832000,-1165000,-884000,-1844000,-2090000,-3500000,-6954000,-5737000,-6265000,-5930000,-6960000,-5378000,-5152000
IncomeShareholderNetProfit_yy,,,,,-482.39,-140.48,-2041.97,20.26,-88.49,-32.31,-16.43,-116.10,45.32,-70.53,-1.09,5.97,-30.77,-62.61,-151.20,-200.43,-686.65,-211.12,-199.76,-69.43,-0.09,6.26,17.77
IncomeShareholderNetProfit_sy,,,,,-61.56,23.74,74.42,22.85,35.22,56.00,36.08,25.55,9.97,42.03,14.59,39.16,-14.93,-16.46,14.12,-22.26,0.21,10.04,-39.89,14.16,-7.32,-10.11,46.79
IncomeShareholderNetProfit_qq,,-85.60,84.21,-2078.79,8.79,23.36,-40.64,18.89,-115.61,46.21,-23.76,-50.55,45.44,-67.75,26.63,-40.02,24.12,-108.60,-13.34,-67.46,-98.69,17.50,-9.20,5.35,-17.37,22.73,4.20
IncomeShareholderNetProfit_sq,,-48.21,-11.85,33.33,-54.78,-26.66,1.17,65.95,-24.38,-12.57,19.58,6.76,-33.49,-8.38,25.93,18.69,-33.34,-1.51,29.06,-17.16,6.33,14.78,-29.22,43.74,-24.98,17.54,-4.30
BalanceNoncurrentAssets,644000,,,1826000,2166000,3016000,3033000,3347000,2667000,2622000,2771000,3115000,3114000,3748000,6728000,10685000,16091000,18279000,20255000,24692000,38904000,38180000,41017000,40551000,36806000,36725000,36364000
BalanceNoncurrentAssets_yy,,,,,236.45,,,83.32,23.15,-13.05,-8.63,-6.94,16.76,42.94,142.80,243.02,416.73,387.70,201.06,131.09,141.77,108.87,102.50,64.23,-5.39,-3.81,-11.34
BalanceNoncurrentAssets_sy,,,,,3.30,,,-2.20,3.70,0.96,2.54,10.33,9.70,3.98,6.29,6.63,6.82,13.71,8.31,9.99,9.71,6.71,1.32,2.24,-0.52,3.24,6.48
BalanceNoncurrentAssets_qq,,-100.00,,,18.60,39.25,0.56,10.38,-20.32,-1.69,5.68,12.41,-0.03,20.36,79.51,58.81,50.59,13.60,10.81,21.91,57.56,-1.86,7.43,-1.14,-9.24,-0.22,-0.98
BalanceNoncurrentAssets_sq,,1.23,,,0.54,-0.71,-0.34,-0.84,2.52,-0.28,0.51,0.88,-0.03,-0.67,2.72,1.14,2.24,0.62,0.90,0.26,0.10,-0.21,1.04,0.37,-0.23,0.68,-0.24
BalanceIntangibleAssets,371000,,,473000,528000,606000,606000,755000,1178000,1168000,1312000,1524000,1229000,1238000,1172000,1125000,1275000,1449000,1485000,1897000,15399000,14760000,14131000,13758000,13555000,14201000,13690000
BalanceIntangibleAssets_yy,,,,,42.27,,,59.62,123.18,92.85,116.42,101.85,4.33,5.99,-10.67,-26.18,3.74,17.04,26.71,68.62,1107.76,918.63,851.58,625.25,-11.97,-3.79,-3.12
BalanceIntangibleAssets_sy,,,,,7.14,,,0.16,0.80,-0.30,-0.57,6.02,0.39,2.34,-0.04,-0.10,4.20,6.62,5.03,6.01,0.82,0.06,-0.66,0.02,-1.84,0.04,0.66
BalanceIntangibleAssets_qq,,-100.00,,,11.59,14.75,0.09,24.54,56.03,-0.85,12.33,16.16,-19.36,0.73,-5.33,-4.01,13.33,13.65,2.48,27.74,711.76,-4.15,-4.26,-2.64,-1.48,4.77,-3.60
BalanceIntangibleAssets_sq,,0.01,,,0.48,-1.67,-0.28,-1.68,-1.04,-0.72,-0.32,-0.73,0.26,-1.40,-0.79,-0.19,1.67,-0.53,0.18,-0.29,0.35,-0.77,-0.22,-0.27,-0.54,-0.14,-0.11
BalanceProperty,17000,,,778000,1164000,1622000,1681000,1702000,1399000,1394000,1396000,1528000,1541000,2055000,4955000,8908000,14223000,16238000,17708000,21754000,22393000,22323000,22151000,22048000,22001000,21270000,21424000
BalanceProperty_yy,,,,,6843.02,,,118.73,20.23,-14.06,-16.98,-10.21,10.15,47.42,254.94,482.98,822.97,690.17,257.38,144.21,57.44,37.47,25.09,1.35,-1.75,-4.72,-3.28
BalanceProperty_sy,,,,,3.28,,,-1.40,1.27,7.60,8.52,3.40,4.90,5.25,5.88,4.68,5.72,5.57,4.03,3.33,3.26,1.03,-0.23,2.01,-0.04,2.24,2.38
BalanceProperty_qq,,-100.00,,,49.57,39.40,3.66,1.20,-17.79,-0.36,0.14,9.46,0.85,33.35,141.12,79.78,59.67,14.17,9.05,22.85,2.94,-0.31,-0.77,-0.46,-0.21,-3.32,0.72
BalanceProperty_sq,,-0.14,,,0.26,-1.01,0.41,-0.99,0.08,-0.64,-0.40,0.06,1.11,-0.27,1.00,-0.16,0.83,0.09,0.58,-0.08,0.16,-0.62,-0.30,-0.30,0.23,-0.60,-0.37
BalanceNoncurrentReceivables,0,65000,68000,73000,60000,60000,60000,60000,60000,60000,60000,60000,60000,85000,146000,152000,93000,109000,112000,112000,70000,81000,3604000,3604000,88000,110000,110000
BalanceNoncurrentReceivables_yy,,,,,,-7.51,-11.59,-17.64,-0.20,-0.20,-0.20,-0.20,,41.67,143.33,153.33,55.00,28.24,-23.29,-26.32,-24.73,-25.69,3117.86,3117.86,25.71,35.80,-96.95
BalanceNoncurrentReceivables_sy,,,,,,-3.76,-29.13,-1.02,-5.60,-6.89,-13.45,,,5.03,15.83,23.86,9.97,7.14,,-14.81,-3.68,-2.94,-25.38,-33.09,,,
BalanceNoncurrentReceivables_qq,,,4.62,7.35,-17.64,,,,-0.20,,,,,41.67,71.76,4.11,-38.82,17.20,2.75,,-37.50,15.71,4349.38,,-97.56,25.00,
BalanceNoncurrentReceivables_sq,,,-1.43,,-5.68,,,,-0.03,,,,,7.14,0.61,1.18,,0.34,3.43,,-5.13,,3.54,,,0.92,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,256000,,,502000,414000,728000,685000,831000,30000,,3000,3000,284000,370000,455000,500000,500000,483000,950000,929000,1042000,1016000,1131000,1141000,1162000,1144000,1140000
BalanceOtherNoncurrentAssets_yy,,,,,61.80,,,65.44,-92.76,-100.00,-99.56,-99.64,846.67,,15066.67,16566.67,76.06,30.54,108.79,85.80,108.40,110.35,19.05,22.82,11.52,12.60,0.80
BalanceOtherNoncurrentAssets_sy,,,,,16.36,,,21.52,13.46,26.02,46.99,10.07,10.19,,7.90,8.65,9.75,19.78,7.27,12.63,-3.12,7.50,8.73,13.39,2.03,9.50,-0.68
BalanceOtherNoncurrentAssets_qq,,-100.00,,,-17.51,75.76,-5.91,21.29,-96.39,-100.00,,,9366.67,30.28,22.97,9.89,,-3.40,96.69,-2.21,12.16,-2.50,11.32,0.88,1.84,-1.55,-0.35
BalanceOtherNoncurrentAssets_sq,,0.80,,,3.36,0.22,,,3.30,-0.06,,,-0.58,-1.45,0.34,0.10,,,2.21,-1.46,-0.46,1.32,5.30,5.44,-8.23,3.08,-1.39
BalanceCurrentAssets,117000,,,7792000,6819000,5951000,5024000,4204000,3685000,3073000,8491000,10277000,10509000,12554000,42771000,37999000,31576000,28167000,31466000,25352000,25931000,18473000,9589000,38291000,36801000,30184000,26717000
BalanceCurrentAssets_yy,,,,,5748.07,,,-46.04,-45.96,-48.36,69.00,144.43,185.18,308.53,403.72,269.75,200.47,124.37,-26.43,-33.28,-17.88,-34.42,-69.53,51.04,41.92,63.40,178.62
BalanceCurrentAssets_sy,,,,,3.02,,,6.42,15.68,11.34,9.53,14.73,6.89,11.38,10.18,12.21,6.48,9.94,11.56,8.24,9.60,10.55,-0.44,10.25,15.14,15.11,12.91
BalanceCurrentAssets_qq,,-100.00,,,-12.48,-12.74,-15.57,-16.32,-12.35,-16.61,176.31,21.03,2.26,19.46,240.70,-11.16,-16.90,-10.80,11.71,-19.43,2.28,-28.76,-48.09,299.32,-3.89,-17.98,-11.49
BalanceCurrentAssets_sq,,1.37,,,-1.28,3.65,6.32,0.98,-0.19,1.18,3.47,0.12,1.98,6.60,-0.17,-0.95,-1.09,1.79,3.80,-1.29,2.94,0.48,-0.18,1.88,5.23,-1.04,-0.16
BalanceInventory,,,,,0,,3000,,4000,,180000,4000,,,,,0,,198000,4487000,5452000,4873000,5031000,5231000,5005000,5313000,5184000
BalanceInventory_yy,,,,,,,,,,,5435.06,,-100.00,,-100.00,-100.00,,,,,,,2440.91,16.58,-8.20,9.03,3.04
BalanceInventory_sy,,,,,,,,,,,11.38,,8.09,,10.16,7.36,,,,,,,6.66,5.07,5.73,7.37,16.94
BalanceInventory_qq,,,,,,,,-100.00,,-100.00,,-97.78,-100.00,,,,,,,2166.16,21.51,-10.62,3.24,3.98,-4.32,6.15,-2.43
BalanceInventory_sq,,,,,,,,3.57,,0.09,,1.39,-1.68,,,,,,,3.24,-1.95,1.67,-0.47,5.25,-2.26,2.10,4.84
BalanceCurrentReceivables,80000,65000,68000,309000,204000,266000,166000,114000,195000,180000,338000,348000,293000,448000,1000000,1379000,1741000,512000,655000,2307000,2215000,4865000,947000,1299000,1126000,859000,632000
BalanceCurrentReceivables_yy,,,,,153.84,309.15,144.16,-63.12,-4.28,-32.32,103.58,205.35,50.26,148.89,195.86,296.26,494.20,14.29,-34.50,67.30,27.23,850.20,44.58,-43.69,-49.16,-82.34,-33.26
BalanceCurrentReceivables_sy,,,,,3.50,8.91,20.59,8.20,12.62,11.69,12.16,17.51,12.51,9.14,16.49,14.16,10.18,14.29,12.03,19.65,17.36,12.25,9.77,11.50,9.35,7.57,11.40
BalanceCurrentReceivables_qq,,-19.00,4.62,354.41,-34.07,30.55,-37.57,-31.36,71.10,-7.69,87.78,2.96,-15.80,52.90,123.21,37.90,26.25,-70.59,27.93,252.21,-3.99,119.64,-80.53,37.17,-13.32,-23.71,-26.43
BalanceCurrentReceivables_sq,,5.64,-0.86,-3.80,-3.22,4.38,5.73,0.07,-3.24,4.98,3.56,4.00,-0.60,2.11,6.84,4.12,-1.27,7.50,7.37,3.02,1.86,0.73,3.86,4.98,-2.55,1.94,3.62
BalanceCurrentInvestments,0,,,,0,0,0,0,,,,,,,,,,0,0,0,0,40000,162000,164000,166000,168000,170000
BalanceCurrentInvestments_yy,,,,,-46.88,,,,100.00,-100.00,,,,,,,,,,,,,,,,320.00,4.94
BalanceCurrentInvestments_sy,,,,,-13.89,,,,-20.26,-3.69,,,,,,,,,,,,,,,,-6.78,-8.87
BalanceCurrentInvestments_qq,,100.00,,,,157.45,-100.00,,,,,,,,,,,,,,,,305.00,1.23,1.22,1.20,1.19
BalanceCurrentInvestments_sq,,1.27,,,,-1.96,0.66,,,,,,,,,,,,,,,,-0.74,1.18,0.80,-0.10,
BalanceCash,37000,,,7482000,6615000,5613000,4781000,4083000,2870000,1928000,6665000,8524000,7978000,9639000,39155000,33066000,25578000,23331000,25636000,12844000,17396000,8237000,2498000,31037000,25108000,19505000,14584000
BalanceCash_yy,,,,,17933.07,,,-45.43,-56.61,-65.65,39.41,108.78,177.98,399.95,487.47,287.92,220.61,142.05,-34.53,-61.16,-31.99,-64.70,-90.26,141.65,44.33,136.80,483.83
BalanceCash_sy,,,,,0.05,,,6.84,40.26,20.00,22.72,36.25,31.28,57.12,36.03,28.67,13.45,-6.24,-9.07,3.46,-4.79,-0.76,-0.14,-11.52,5.80,-1.73,-14.94
BalanceCash_qq,,-100.00,,,-11.59,-15.14,-14.83,-14.60,-29.71,-32.82,245.70,27.89,-6.41,20.82,306.21,-15.55,-22.65,-8.78,9.88,-49.90,35.44,-52.65,-69.67,1142.47,-19.10,-22.32,-25.23
BalanceCash_sq,,-14.02,,,5.94,-9.75,0.20,-13.28,24.60,-13.94,-3.00,-0.86,22.85,15.80,-9.28,-12.22,9.84,-4.11,-3.84,-1.74,11.07,-1.49,-13.85,-1.81,10.86,-19.30,-15.65
BalanceOtherCurrentAssets,,,,1000,2000,71000,74000,8000,616000,965000,1308000,1401000,2238000,2467000,2616000,3554000,4257000,4324000,4977000,5714000,868000,458000,951000,560000,5396000,4339000,6147000
BalanceOtherCurrentAssets_yy,,,,,,,,664.90,37008.43,1253.25,1668.33,18216.12,263.31,155.65,100.00,153.68,90.21,75.27,90.25,60.78,-79.61,-89.41,-80.89,-90.20,521.66,847.38,546.37
