,2010/Q1,2011/Q1,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceProperty_qq,,,,-1.28,-0.14,4.51,1.64,2.11,4.11,5.71,5.04,9.29,1.09,11.01,10.84,11.04,-0.03,4.54
BalanceProperty_sq,,,,-0.06,0.82,0.84,1.97,4.36,0.16,0.96,0.20,3.35,0.74,0.24,0.51,-0.60,,1.81
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,3946000,2052000,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_yy,,-48.00,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,-44.78,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,796000,678000,5151000,4256000,4173000,5579000,4207000,1645000,1283000,735000,843000,1100000,1590000,1824000,1963000,1954000,1885000,1706000
BalanceOtherNoncurrentAssets_yy,,-14.82,,,,,-18.33,-61.35,-69.25,-86.83,-79.96,-33.13,23.93,148.16,132.86,77.64,18.55,-6.47
BalanceOtherNoncurrentAssets_sy,,1.35,,,,,3.91,-7.10,4.08,-0.27,1.66,2.07,5.66,15.61,9.24,-13.54,-17.64,-6.47
BalanceOtherNoncurrentAssets_qq,,,,-17.38,-1.95,33.69,-24.59,-60.90,-22.01,-42.71,14.69,30.49,44.55,14.72,7.62,-0.46,-3.53,-9.50
BalanceOtherNoncurrentAssets_sq,,,,7.13,-0.10,-0.80,-1.94,-3.90,1.19,-5.24,0.16,2.11,5.14,0.98,-2.60,-2.78,-0.30,-4.47
BalanceCurrentAssets,21409000,37651000,68597000,87791000,56890000,70342000,80079000,123985000,119281000,107832000,88889000,112902000,106612000,79037000,91365000,85952000,78400000,95444000
BalanceCurrentAssets_yy,,75.87,,,,,16.74,41.23,109.67,53.30,11.00,-8.94,-10.62,-26.70,2.79,-23.87,-26.46,20.76
BalanceCurrentAssets_sy,,11.48,,,,,7.28,11.42,7.36,10.54,15.70,15.37,14.46,7.46,8.23,-0.56,2.02,7.16
BalanceCurrentAssets_qq,,,,27.98,-35.20,23.65,13.84,54.83,-3.79,-9.60,-17.57,27.01,-5.57,-25.86,15.60,-5.92,-8.79,21.74
BalanceCurrentAssets_sq,,,,0.44,1.13,1.77,1.38,-1.13,3.86,4.64,4.42,2.47,-2.24,0.96,1.32,3.56,-4.29,0.30
BalanceInventory,16624000,21244000,34651000,33944000,34116000,32247000,43974000,37831000,46147000,43975000,59149000,45265000,46646000,50610000,69124000,53833000,56554000,52956000
BalanceInventory_yy,,27.79,,,,,26.91,11.45,35.26,36.37,34.51,19.65,1.08,15.09,16.86,18.93,21.24,4.64
BalanceInventory_sy,,9.35,,,,,15.72,13.26,12.12,13.56,15.00,19.65,23.00,14.97,12.25,9.27,2.24,6.26
BalanceInventory_qq,,,,-2.04,0.51,-5.48,36.37,-13.97,21.98,-4.71,34.51,-23.47,3.05,8.50,36.58,-22.12,5.05,-6.36
BalanceInventory_sq,,,,0.42,7.61,-4.06,13.05,-2.68,5.20,0.82,8.07,-0.22,6.13,,2.95,-4.43,2.53,-1.76
BalanceCurrentReceivables,3791000,14964000,26220000,16644000,17366000,20969000,25598000,14324000,11042000,20528000,11744000,18960000,14290000,25681000,18175000,22493000,17764000,36805000
BalanceCurrentReceivables_yy,,294.72,,,,,-2.37,-13.94,-36.42,-2.10,-54.12,32.37,29.41,25.10,54.76,18.63,24.31,43.32
BalanceCurrentReceivables_sy,,7.62,,,,,9.23,1.15,-0.74,2.15,1.50,19.01,1.79,12.14,2.02,-3.52,-0.08,11.46
BalanceCurrentReceivables_qq,,,,-36.52,4.34,20.75,22.08,-44.04,-22.91,85.91,-42.79,61.44,-24.63,79.71,-29.23,23.76,-21.02,107.19
BalanceCurrentReceivables_sq,,,,-12.20,16.48,-5.29,5.26,-14.66,9.46,-2.18,4.20,9.47,-8.44,0.02,-8.72,-0.22,-3.74,1.68
BalanceCurrentInvestments,319000,331000,,,,,,,,491000,6000,,,,,6000,,382000
BalanceCurrentInvestments_yy,,3.76,,,,,,,,,,,,-100.00,-100.00,,,
BalanceCurrentInvestments_sy,,-41.23,,,,,,,,,,,,-93.30,-19.58,,,
BalanceCurrentInvestments_qq,,,,,,,,,,,-98.78,-100.00,,,,,-100.00,
BalanceCurrentInvestments_sq,,,,,,,,,,,-58.64,-4.88,,,,,0.15,
BalanceCash,495000,729000,7608000,36581000,4885000,16886000,9914000,70517000,61089000,41600000,16857000,47774000,44537000,1746000,2915000,8874000,2915000,4373000
BalanceCash_yy,,47.27,,,,,30.31,92.77,1150.54,146.36,70.03,-32.25,-27.09,-95.80,-82.71,-81.43,-93.45,150.46
BalanceCash_sy,,2.40,,,,,-1.74,1.67,31.26,7.72,27.47,28.23,33.10,14.24,15.41,12.76,8.82,12.70
BalanceCash_qq,,,,380.82,-86.65,245.67,-41.29,611.29,-13.37,-31.90,-59.48,183.41,-6.78,-96.08,66.95,204.43,-67.15,50.02
BalanceCash_sq,,,,54.66,-40.07,31.26,-11.40,62.10,-26.62,21.87,-7.00,60.72,-40.71,16.36,1.37,83.89,-46.29,19.92
BalanceOtherCurrentAssets,180000,383000,118000,622000,523000,240000,593000,1313000,1003000,1238000,1133000,903000,1139000,1000000,1151000,746000,1167000,928000
BalanceOtherCurrentAssets_yy,,112.78,,,,,402.54,111.09,91.78,415.83,91.06,-31.23,13.56,-19.22,1.59,-17.39,2.46,-7.20
BalanceOtherCurrentAssets_sy,,8.21,,,,,-3.44,26.70,29.94,16.72,13.71,22.95,10.95,12.70,9.37,23.62,3.52,21.60
BalanceOtherCurrentAssets_qq,,,,427.12,-15.92,-54.11,147.08,121.42,-23.61,23.43,-8.48,-20.30,26.14,-12.20,15.10,-35.19,56.43,-20.48
BalanceOtherCurrentAssets_sq,,,,-19.50,15.71,-4.37,2.53,-4.90,44.64,-3.83,1.36,-14.71,37.97,-2.72,11.40,1.71,12.22,-1.56
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,70785000,110352000,134612000,152397000,121063000,137167000,145757000,187550000,183694000,173587000,156537000,184389000,179605000,157227000,175054000,175733000,168118000,187831000
BalanceTotalAssets_yy,,55.90,,,,,8.28,23.07,51.73,26.55,7.40,-1.69,-2.23,-9.42,11.83,-4.69,-6.40,19.46
BalanceTotalAssets_sy,,7.92,,,,,8.28,10.28,10.08,9.38,10.92,10.79,9.32,5.02,8.57,1.06,2.42,5.85
BalanceTotalAssets_qq,,,,13.21,-20.56,13.30,6.26,28.67,-2.06,-5.50,-9.82,17.79,-2.59,-12.46,11.34,0.39,-4.33,11.73
BalanceTotalAssets_sq,,,,1.58,0.83,1.16,0.74,1.30,3.48,2.30,2.86,2.80,-0.57,0.38,1.00,3.00,-0.64,0.74
BalanceCapital,25641000,25171000,42558000,54447000,59453000,58086000,64584000,102926000,104937000,97960000,100893000,111928000,110578000,97315000,103093000,119138000,121923000,111713000
BalanceCapital_yy,,-1.83,,,,,51.76,89.04,76.50,68.65,56.22,8.75,5.38,-0.66,2.18,6.44,10.26,14.80
BalanceCapital_sy,,12.23,,,,,13.20,12.62,13.05,6.61,8.22,9.12,8.86,6.90,6.96,7.62,1.94,4.28
BalanceCapital_qq,,,,27.94,9.19,-2.30,11.19,59.37,1.95,-6.65,2.99,10.94,-1.21,-11.99,5.94,15.56,2.34,-8.37
BalanceCapital_sq,,,,1.99,0.31,1.65,1.66,2.70,1.14,0.65,2.78,5.12,-1.23,1.42,2.47,4.45,-1.74,1.57
BalanceShareCapital,20801000,20801000,28929000,28929000,3300000,3300000,3300000,3620000,3620000,3620000,3620000,3620000,3620000,3625000,3625000,3625000,3625000,3630000
BalanceShareCapital_yy,,,,,,,-88.59,-87.49,9.70,9.70,9.70,,,0.14,0.14,0.14,0.14,0.14
BalanceShareCapital_sy,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,,-88.59,,,9.70,,,,,,0.14,,,,0.14
BalanceShareCapital_sq,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,-4963000,-5159000,-5159000,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,100.00,100.00,100.00,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,-3.95,,100.00,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,
BalanceReserve,29932000,37911000,38093000,37599000,66239000,83490000,83490000,109252000,109409000,122259000,122428000,122568000,122679000,126090000,126049000,126260000,126367000,129499000
BalanceReserve_yy,,26.66,,,,,119.17,190.57,65.17,46.44,46.64,12.19,12.13,3.13,2.96,3.01,3.01,2.70
BalanceReserve_sy,,0.44,,,,,4.63,8.03,7.99,11.43,10.60,12.16,10.95,8.79,7.12,6.66,5.91,3.36
BalanceReserve_qq,,,,-1.30,76.17,26.04,,30.86,0.14,11.74,0.14,0.11,0.09,2.78,-0.03,0.17,0.08,2.48
BalanceReserve_sq,,,,0.01,,2.78,,,,4.21,,0.06,,4.20,,,,3.26
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,20950000,52946000,66637000,60759000,43981000,59577000,60300000,59428000,59305000,13961000,14399000,52752000,53775000,46111000,52089000,21949000,21938000,56256000
BalanceNoncurrentLiabilities_yy,,152.73,,,,,-9.51,-2.19,34.84,-76.57,-76.12,-11.23,-9.32,230.28,261.75,-58.39,-59.20,22.00
BalanceNoncurrentLiabilities_sy,,7.73,,,,,9.96,20.10,37.57,3.31,-3.86,1.87,-2.47,-4.68,-2.92,-5.26,-4.97,0.48
BalanceNoncurrentLiabilities_qq,,,,-8.82,-27.61,35.46,1.21,-1.45,-0.21,-76.46,3.14,266.36,1.94,-14.25,12.96,-57.86,-0.05,156.43
BalanceNoncurrentLiabilities_sq,,,,-4.22,-1.60,-1.82,-0.06,-3.02,-0.56,-0.23,0.58,-4.63,,-4.13,-0.98,-1.24,-2.14,-1.50
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,16265000,44282000,58831000,53403000,36453000,52090000,52338000,51800000,51702000,6249000,6130000,45188000,45835000,38657000,44430000,13977000,13843000,48177000
BalanceNoncurrentBorrowings_yy,,172.25,,,,,-11.04,-3.00,41.83,-88.00,-88.29,-12.76,-11.35,518.61,624.80,-69.07,-69.80,24.63
BalanceNoncurrentBorrowings_sy,,-17.32,,,,,-11.04,3.76,37.62,-34.22,-30.23,-4.69,-5.60,-7.19,-15.04,-25.70,-14.02,-17.06
BalanceNoncurrentBorrowings_qq,,,,-9.23,-31.74,42.90,0.48,-1.03,-0.19,-87.91,-1.90,637.16,1.43,-15.66,14.93,-68.54,-0.96,248.02
BalanceNoncurrentBorrowings_sq,,,,-10.93,-1.33,-1.83,-1.93,-5.51,-2.86,-7.03,-1.90,-2.44,-0.52,-7.11,-5.93,-7.30,-4.51,-8.20
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,,,,,,,
