,2004/Q4,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
BalanceCurrentReceivables,116196000,99238000,267834000,129930000,136870000,133061000,286268000,135454000,101813000,104338000,245548000,111122000,100039000,104034000,246721000,116079000,94390000,115865000,233768000,91913000,93563000,92666000,250777000,94391000,105704000,106001000,248354000,92174000,101512000,102285000,216675000,91800000,96579000,105482000,227131000,96949000,97187000,104886000,209410000,107218000,105046000,109339000,217529000,104656000,102584000,115683000,219086000,110657000,118253000,0,1000,0,2006000
BalanceCurrentInvestments,1355000,0,26000,12000,5000,5000,5000,5000,5000,2622000,1125000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,5979000,63408000,49857000,44612000,49144000,40884000,33618000,32432000,34190000
BalanceCash,26878000,22527000,25417000,17596000,6285000,10234000,8987000,9792000,11767000,8907000,8779000,11156000,8845000,5700000,8729000,5880000,8340000,5057000,6807000,5755000,6474000,9177000,7506000,14234000,9842000,8160000,8942000,7436000,7998000,9297000,9135000,7845000,9364000,15688000,7322000,9866000,10191000,6726000,17244000,14429000,15053000,10004000,26174000,31685000,4233000,1522000,1599000,3734000,2789000,3192000,3645000,3665000,2518000
BalanceOtherCurrentAssets,2371000,2098000,3906000,2930000,2864000,2787000,3969000,3776000,3667000,3282000,3665000,3282000,3579000,2210000,4933000,3182000,3865000,2930000,3745000,3419000,3918000,3718000,4852000,2384000,2325000,2439000,3168000,1979000,2495000,2697000,,,1835000,,,3075000,,,2433000,,,0,,,,2168000,0,0,0,0,25225000,25036000,28574000
BalanceAssetsForSale,30520000,29167000,27649000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261391000,330214000,483574000,367021000,406802000,416263000,552997000,440143000,471057000,500871000,626018000,491001000,460881000,464134000,597961000,456853000,433876000,451796000,542338000
BalanceTotalAssets,414865000,407012000,438474000,528800000,400709000,398725000,431167000,571303000,418175000,439137000,463570000,559274000,409610000,419597000,437042000,536519000,412987000,418969000,436143000,524361000,389135000,395320000,407006000,509258000,396824000,411759000,422616000,508371000,402087000,412443000,434008000,517855000,417921000,450609000,92142000,150293000,165431000,163123000,167211000,163729000,181794000,177964000,183207000,176008000,189773000,176953000,166497000,164513000,192396000,187016000,176258000,175574000,195268000
BalanceCapital,191655000,186509000,189412000,205538000,202167000,199249000,204055000,215538000,209275000,206454000,207227000,215837000,213701000,212385000,214558000,222486000,219502000,225784000,228017000,241245000,233392000,232616000,233862000,243375000,239374000,240295000,242148000,253782000,246496000,247980000,254391000,260880000,262090000,264883000,18907000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000
BalanceShareCapital,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,25207000,,,,,,,,,,,,67300000,,,,,,,
BalanceOwnShares,,,,,,,,,,67718000,67718000,,,,,,,,,,,,,,,,,,,56651000,107105000,115217000,120228000,120963000,120653000,129072000,133212000,135536000,134978000,144256000,76744000,150631000,155991000,165021000,167629000,164357000,168192000,176934000,176491000,176687000,176398000,185504000,186536000
BalanceReserve,70836000,72901000,73801000,72326000,72092000,71242000,1474000,2582000,71575000,70362000,68847000,69259000,69766000,69565000,69788000,68333000,68924000,69807000,69355000,69803000,71087000,70362000,70939000,68572000,68807000,69439000,67720000,68212000,69656000,13002000,12843000,28649000,28810000,36480000,31479000,34256000,33126000,31057000,29197000,29307000,26653000,24574000,24786000,30626000,30943000,28814000,27966000,31257000,30671000,30084000,26732000,30032000,30048000
BalanceNonshareCapital,29448000,28403000,30823000,28055000,27664000,26379000,29223000,29356000,28513000,26719000,28355000,27438000,27755000,26483000,31149000,29954000,28092000,28147000,31845000,31637000,31837000,30441000,34725000,34558000,34523000,32691000,35908000,37555000,39111000,36156000,31924000,60319000,58931000,44306000,37086000,78827000,90870000,91514000,108099000,125940000,111611000,51302000,48752000,57501000,72690000,80863000,92610000,108518000,75428000,63337000,29238000,30929000,28827000
BalanceNoncurrentLiabilities,40100000,39654000,59277000,40371000,37765000,54790000,53114000,32977000,29739000,26329000,15319000,17169000,23172000,31266000,28128000,24278000,15576000,16505000,17636000,13731000,27992000,27449000,33546000,15368000,7672000,14730000,14394000,17271000,21757000,1060000,824000,95000,0,14000,47000,40000,635000,281000,837000,217000,218000,218000,276000,0,0,114000,109000,110000,472000,1600000,1622000,1667000,340000
BalanceNoncurrentTradeLiabilities,340000,340000,340000,354000,639000,639000,639000,570000,859000,859000,596000,526000,526000,526000,526000,457000,457000,457000,457000,389000,389000,389000,389000,320000,320000,320000,320000,252000,251000,33164000,29436000,55646000,54312000,35264000,27073000,68792000,80096000,81014000,97281000,116431000,102116000,42004000,39483000,47453000,62178000,71010000,83049000,99286000,66317000,52447000,18361000,20270000,19357000
BalanceNoncurrentBorrowings,32934000,32128000,54637000,33269000,31998000,49129000,49840000,29115000,26174000,22556000,13088000,13955000,20063000,28082000,24184000,20439000,11680000,12194000,13432000,9566000,23806000,22967000,30072000,9476000,1142000,7508000,10255000,13257000,17502000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932000,1664000,4578000,4619000,9028000,9966000,9995000,10139000,10219000,9981000,9292000,9277000,9080000,8993000,10048000,10512000,9739000,9452000,9122000,8639000,9290000,9255000,8992000,9130000
BalanceNoncurrentOtherLiabilities,6826000,7186000,4300000,6748000,5128000,5022000,2635000,3292000,2706000,2914000,1635000,2688000,2583000,2658000,3418000,3382000,3439000,3854000,3747000,3776000,3797000,4093000,3085000,5572000,6210000,6902000,3819000,3762000,4004000,120091000,135154000,229175000,116157000,158805000,183969000,258120000,138183000,165279000,187567000,280998000,175784000,218508000,226083000,317438000,166204000,147941000,155646000,207295000,117111000,127082000,193092000,262301000,139667000
BalanceCurrentLiabilities,129928000,159055000,265665000,140474000,167254000,175174000,261100000,133576000,148960000,169436000,270359000,148878000,142258000,150377000,223839000,101511000,119036000,128492000,216402000,112082000,111635000,122578000,186318000,105665000,122268000,132196000,206673000,101005000,124858000,61514000,61120000,147617000,63493000,79170000,81890000,153735000,78061000,102424000,118994000,181676000,91310000,75117000,78304000,70667000,78393000,80826000,122983000,53642000,65614000,78247000,121378000,59851000,73067000
BalanceCurrentTradePayablesv,90243000,148909000,69221000,94663000,83226000,134312000,67514000,76835000,87006000,127438000,64119000,68393000,83721000,131802000,65164000,78528000,82901000,132139000,74557000,85779000,92961000,134430000,77151000,88015000,96361000,143841000,83957000,105881000,56143000,74034000,76673000,49704000,78138000,101115000,99460000,57612000,61908000,67695000,95979000,83728000,142774000,147409000,312186000,93271000,68838000,74372000,79836000,61731000,61184000,114602000,134394000,76315000,54728000
BalanceCurrentBorrowings,67828000,109124000,67569000,69496000,91531000,120531000,65331000,71732000,82328000,136981000,82712000,73168000,66296000,85782000,35273000,40284000,45436000,78812000,36653000,25097000,28923000,44771000,26015000,32436000,34686000,54405000,12117000,13920000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2434000,0,4885000,2960000,1497000,964000,4925000,2510000,947000,878000,3343000,746000,617000,370000,5252000,2266000,710000,448000,4476000,1738000,284000,243000,6529000,3501000,2133000
BalanceCurrentOtherLiabilities,984000,7632000,3684000,3095000,417000,6257000,731000,393000,102000,5940000,2047000,697000,360000,6255000,1074000,224000,155000,5451000,872000,759000,694000,7117000,2499000,1817000,1149000,8427000,4931000,5057000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261391000,330214000,483574000,367021000,406802000,416263000,552997000,440143000,471057000,500871000,626018000,491001000,460881000,464134000,597961000,456853000,433876000,451796000,542338000,414865000,407012000,438474000,528800000,400709000,398725000
BalanceTotalEquityAndLiabilities,431167000,571303000,418175000,439137000,463570000,559274000,409610000,419597000,437042000,536519000,412987000,418969000,436143000,524361000,389135000,395320000,407006000,509258000,396824000,411759000,422616000,508371000,402087000,412443000,434008000,517855000,417921000,450609000,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,933000,-10412000,-11258000,28880000,-983000,-9716000,-24685000,42952000,12441000,-15213000,-39327000,40193000,12435000,-6522000,-9995000,54587000,21100000,-11219000,-24022000,64743000,23804000,-12906000,-13963000,62796000,8838000,-1360000,-52767000,70876000,2310000,-32080000,-11065000,77311000,9760000,-5966000,-28840000,59231000,5865000,5259000,-12969000,59084000,5464000,-2101000,-10233000,41743000,5422000,4729000,-9998000,53246000,3863000,-590000,-6419000,57347000,5002000
CashflowAmortization,2702000,2362000,3081000,3117000,3419000,3505000,2942000,3201000,2919000,2856000,2910000,3075000,3035000,2984000,3051000,3033000,2857000,2747000,2654000,2525000,3163000,2418000,2417000,2413000,3029000,2504000,2686000,2602000,2779000,2554000,2611000,2347000,2863000,2692000,2645000,2676000,2649000,2701000,3075000,2947000,3158000,2734000,2970000,2760000,2807000,2803000,2796000,2732000,2799000,2886000,3042000,2937000,3138000
CashflowInvestingCashflow,-358000,-2509000,-17017000,-84000,-2417000,-12088000,-21493000,-7645000,-10848000,-11673000,-7426000,-2124000,-14974000,-2700000,-2040000,-1223000,-1350000,-959000,2373000,-7499000,-4657000,-4141000,807000,441000,-2305000,-4262000,-1756000,-3178000,-2588000,-2540000,-2784000,-1169000,-3772000,-4237000,-2420000,-2286000,-2975000,-4908000,14571000,-2967000,-2926000,-1594000,-1401000,-2557000,-3409000,-3953000,-2022000,-1946000,-3541000,-3971000,-3697000,-1511000,-4273000
CashflowCapex,674000,3556000,16248000,1624000,3789000,12812000,22224000,7387000,14834000,12522000,9059000,3306000,15492000,3272000,2576000,1479000,1029000,1432000,-2091000,6507000,4907000,4148000,5295000,2689000,2311000,4297000,2116000,4440000,4323000,2580000,2805000,1198000,3897000,4258000,2445000,2252000,4243000,4909000,2700000,3010000,3006000,2209000,3160000,3510000,3306000,4003000,2216000,3652000,3745000,4153000,4219000,1506000,4482000
CashflowFinancingCashflow,1562000,70361000,14818000,-33795000,7477000,13461000,39192000,-36776000,-115000,19903000,43274000,-34434000,-5353000,-2092000,15446000,-55044000,-18862000,14181000,18975000,-57364000,-16854000,14746000,10036000,-60280000,-9324000,7988000,51297000,-65908000,-789000,35369000,16555000,-77859000,738000,5834000,29654000,-56154000,-4412000,207000,-322000,-56227000,-3864000,5196000,17949000,-47551000,487000,-416000,8524000,-40727000,-3141000,5167000,5129000,-39708000,4610000
CashflowShareCapitalCash,0,56852000,839000,0,108000,113000,417000,-417000,,2464000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3235000,633000
CashflowDividend,0,5041000,1725000,0,205000,5109000,4580000,889000,825000,0,973000,980000,0,3746000,980000,2940000,8174000,981000,-1000,2940000,10573000,980000,0,1960000,10818000,0,1470000,14147000,1176000,0,,14935000,1200000,0,,16121000,982000,1758000,3040000,13952000,885000,943000,3185000,16904000,0,1152000,2137000,57440000,-13457000,-5419000,4497000,-8343000,-6986000
CashflowNetCashflow,-1469000,1478000,-6983000,-3479000,3635000,-7892000,-11314000,3411000,-1680000,888000,2003000,-2674000,-120000,2293000,-2301000,-3120000,2957000,-2791000,2366000,-3226000,1790000,-1067000,749000,2706000,-1717000,6726000,-4369000,-1606000,791000,-1522000,558000,1280000,-110000,-1326000,1501000,6315000,-8365000,2500000,360000,-3496000,10573000,-2819000,606000,-4987000,16128000,5339000,,,,,,,
