,2005/Q1,2007/Q1,2007/Q2,2008/Q1,2008/Q2,2009/Q1,2009/Q2,2010/Q1,2010/Q2,2011/Q1,2011/Q2,2012/Q1,2012/Q2,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeNetGrossProfit,2953000,-185000,5651000,-186000,7933000,-424000,4151000,-593000,3210000,-626000,3923000,-355000,4977000,457000,-168000,-529000,3098000,1256000,-1865000,-727000,3628000,2000000,220000,1747000,7350000,3601000,857000,1342000,8094000,4329000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779000,1135000
IncomeBeforeTaxProfit,2953000,-185000,5651000,-186000,7933000,-424000,4151000,-593000,3210000,-626000,3923000,-355000,4977000,457000,-168000,-529000,3098000,1256000,-1865000,-727000,3628000,2000000,220000,1747000,7350000,3601000,857000,1342000,8094000,4329000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637000,891000
IncomeNetProfit,2425000,-251000,4499000,-163000,6423000,-422000,3426000,-557000,2668000,-596000,3262000,-338000,4067000,366000,-146000,-505000,2575000,1077000,-1584000,-705000,3037000,1613000,119000,1405000,5939000,3043000,528000,1085000,6529000,3489000,637000,891000
IncomeShareholderNetProfit,2425000,-251000,4499000,-163000,6423000,-422000,3426000,-557000,2668000,-596000,3262000,-338000,4067000,366000,-146000,-505000,2575000,1077000,-1584000,-705000,3037000,1613000,119000,1405000,5939000,3043000,528000,1085000,6529000,3489000,,
BalanceNoncurrentAssets,2336000,4415000,4782000,7969000,8354000,12521000,13998000,21997000,25087000,28197000,28877000,27778000,27466000,26084000,26181000,25716000,25371000,25737000,25434000,25929000,25786000,26233000,26528000,26527000,29294000,30329000,31854000,31404000,31623000,32091000,32197000,31866000
BalanceIntangibleAssets,,17000,7000,74000,54000,44000,39000,41000,115000,70000,30000,20000,42000,35000,28000,22000,16000,14000,8000,3000,2000,20000,34000,29000,24000,19000,31000,25000,18000,18000,33000,2336000
BalanceProperty,4291000,4695000,7823000,8115000,12321000,13795000,21750000,24893000,27917000,28565000,27547000,27164000,25868000,25845000,25501000,25131000,25495000,25151000,25617000,25365000,25806000,26188000,26129000,28877000,29859000,31238000,30738000,31011000,31549000,31667000,31344000,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,107000,80000,146000,165000,146000,159000,208000,153000,165000,242000,201000,282000,174000,301000,187000,218000,226000,269000,304000,418000,425000,320000,364000,388000,446000,597000,635000,587000,524000,512000,489000,8280000
BalanceCurrentAssets,19590000,39030000,26999000,45040000,31150000,46983000,40671000,52741000,53491000,70295000,41762000,59060000,47907000,76813000,55526000,42681000,49319000,66443000,73429000,46632000,55920000,85311000,71801000,56538000,74701000,67138000,76120000,59062000,64881000,80339000,80178000,2240000
BalanceInventory,6646000,8697000,17962000,10677000,22254000,12203000,30233000,16504000,38878000,27714000,28795000,19492000,32181000,30011000,31884000,28596000,33498000,29621000,34495000,29803000,37323000,37727000,29937000,27646000,45205000,33460000,37511000,40443000,47799000,45689000,50593000,5860000
BalanceCurrentReceivables,11928000,29872000,8268000,33701000,8178000,34504000,9490000,35845000,13405000,41906000,11583000,38173000,13453000,43783000,20272000,12138000,13871000,34709000,33524000,16043000,17358000,46268000,39433000,27969000,27588000,30841000,30294000,16772000,15866000,33125000,27329000,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000
BalanceCash,48000,46000,393000,424000,481000,122000,704000,164000,748000,127000,1075000,1267000,2067000,2827000,2880000,1573000,1715000,2040000,4990000,456000,1050000,1266000,2004000,607000,1682000,2757000,7784000,1454000,908000,1408000,1694000,147000
BalanceOtherCurrentAssets,968000,415000,376000,238000,237000,154000,244000,228000,460000,548000,309000,128000,206000,192000,490000,374000,235000,73000,420000,330000,189000,50000,427000,316000,226000,80000,531000,393000,308000,117000,562000,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10616000
BalanceTotalAssets,24005000,43812000,34968000,53394000,43671000,60981000,62668000,77828000,81688000,99172000,69540000,86526000,73991000,102994000,81242000,68052000,75056000,91877000,99358000,72418000,82153000,111839000,98328000,85832000,105030000,98992000,107524000,90685000,96972000,112536000,112044000,3928000
BalanceCapital,9482000,22744000,23190000,27690000,28981000,35404000,37002000,40428000,39162000,41830000,40157000,43419000,44465000,48532000,48898000,48752000,48247000,50822000,51899000,50315000,49610000,52647000,54260000,54379000,55784000,62154000,65197000,65725000,66809000,73338000,76827000,1936000
BalanceShareCapital,1936000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReserve,3511000,16928000,16927000,20942000,20942000,26644000,26644000,34924000,34924000,37219000,37219000,38253000,38253000,42303000,42303000,42303000,42303000,46252000,46252000,46252000,46252000,47815000,47815000,47815000,47815000,51878000,51878000,51879000,51879000,63224000,63224000,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405000
BalanceNoncurrentLiabilities,920000,458000,478000,641000,4197000,5000000,11847000,13735000,13426000,13317000,11036000,10138000,9541000,9116000,8930000,8322000,7899000,7515000,7144000,6770000,8756000,8439000,7933000,8058000,9655000,10489000,9176000,9243000,7455000,7813000,7284000,401000
BalanceNoncurrentTradeLiabilities,917000,458000,436000,436000,4178000,4968000,11815000,13687000,13359000,13265000,10992000,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,10093000,9481000,9073000,8887000,8256000,7848000,7460000,7079000,6686000,8687000,8369000,7870000,7989000,9614000,10353000,9030000,9087000,7306000,7649000,7140000,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,3000,42000
BalanceNoncurrentOtherLiabilities,205000,19000,32000,32000,48000,67000,52000,44000,45000,60000,43000,43000,66000,51000,55000,65000,84000,69000,70000,63000,69000,41000,136000,146000,156000,149000,164000,144000,6283000,13603000,20610000,11300000
BalanceCurrentLiabilities,25063000,10493000,20577000,13819000,23665000,29100000,44025000,18347000,32969000,19985000,45346000,23414000,10978000,18910000,33540000,40315000,15333000,23787000,50753000,36135000,23395000,39591000,26349000,33151000,15717000,22708000,31385000,27933000,6031000,12514000,19308000,10638000
BalanceCurrentTradePayablesv,23499000,9815000,20181000,12675000,23453000,28781000,43750000,18024000,32523000,19646000,44521000,22952000,4546000,18449000,33030000,39510000,6245000,23146000,50103000,12174000,14642000,19542000,17814000,19264000,11159000,15943000,18898000,13270000,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,5893000,,,8386000,,22900000,8139000,19296000,7227000,12706000,3517000,5637000,11123000,13325000,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,252000,1089000,1302000,662000,1564000,678000
BalanceCurrentOtherLiabilities,396000,1144000,212000,319000,275000,323000,446000,339000,825000,462000,539000,461000,510000,805000,702000,641000,650000,1061000,614000,753000,1308000,1181000,1041000,1128000,1364000,1338000,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,10616000,24005000,43812000,34968000,53394000,43671000
BalanceTotalEquityAndLiabilities,60981000,62668000,77828000,81688000,99172000,69540000,86526000,73991000,102994000,81242000,68052000,75056000,91877000,99358000,72418000,82153000,111839000,98328000,85832000,105030000,98992000,107524000,90685000,96972000,112536000,112044000,,,,,,
CashflowOperatingCashflow,2819000,3905000,-18832000,-3345000,-6774000,-7129000,-8458000,-9143000,-4621000,-13196000,-9801000,-2607000,-7890000,-7437000,-15276000,12763000,9267000,-1026000,-10034000,-4526000,16230000,-4066000,-21564000,14284000,16955000,-11432000,14635000,1135000,3408000,-374000,-3425000,-791000
CashflowAmortization,77000,122000,146000,145000,175000,185000,186000,184000,160000,416000,425000,531000,474000,480000,473000,478000,479000,480000,474000,470000,463000,458000,457000,509000,504000,507000,521000,565000,562000,585000,609000,576000
CashflowInvestingCashflow,,-18000,-630000,-837000,-526000,-3570000,-1650000,-4957000,-3316000,-797000,-742000,-68000,-161000,-60000,-444000,-68000,405000,-837000,-100000,-851000,-127000,-899000,-799000,-449000,-2230000,-1484000,-1783000,4000,-990000,-1091000,-705000,-269000
CashflowCapex,,12000,639000,838000,540000,3570000,1650000,4957000,3316000,797000,742000,99000,130000,60000,444000,126000,103000,837000,129000,931000,225000,899000,858000,464000,2184000,1484000,1896000,76000,829000,1118000,282000,712000
CashflowFinancingCashflow,-2781000,-3875000,12693000,4428000,7331000,8199000,9749000,12734000,7397000,14381000,9922000,2720000,8243000,8515000,16480000,-12642000,-10979000,2005000,10459000,8327000,-20637000,5559000,22579000,-13097000,-16122000,13991000,-11777000,3888000,-8748000,919000,4630000,1346000
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowNetCashflow,38000,12000,-6769000,246000,31000,-2500000,-359000,-1366000,-540000,388000,-621000,45000,192000,1018000,760000,53000,-1307000,142000,325000,2950000,-4534000,594000,216000,738000,-1397000,1075000,1075000,5027000,-6330000,-546000,500000,286000
