,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceProperty,,,,,,,60474000,,,54312000,54659000,36825000,36626000,26587000,25799000,26191000,26694000,24831000,24794000,27732000,27285000,29891000,28457000,28501000,29007000,27080000,28560000,29568000,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309247000,,
BalanceNoncurrInvestments,298999000,268545000,262548000,245791000,223666000,282541000,243146000,228260000,164006000,188185000,182991000,184859000,198966000,219024000,229172000,232506000,189318000,182139000,194997000,194507000,209506000,197584000,193783000,234035000,241225000,277793000,306123000,208208000,,,343043000
BalanceOtherNoncurrentAssets,324702000,326550000,310241000,297452000,309511000,334137000,323719000,357311000,353243000,367262000,374587000,311888000,393635000,375590000,380649000,414619000,451864000,505987000,502079000,600473000,667965000,631356000,823494000,951545000,925922000,938359000,347416000,,,365178000,349885000
BalanceCurrentAssets,364487000,386521000,431381000,424487000,506825000,450648000,476512000,478161000,451198000,568874000,753750000,724267000,949310000,1026993000,1114026000,1086239000,1172165000,1191676000,1296528000,1293844000,1457011000,1340687000,1204066000,1300249000,1332155000,,,,,,
BalanceInventory,,,,,,,,,,,,,,,,,,,,,,,,,,284073000,,,303147000,297554000,313815000
BalanceCurrentReceivables,335854000,379469000,371973000,455766000,404122000,393751000,392702000,406008000,472912000,578702000,670500000,841635000,894013000,924017000,916001000,886716000,960791000,1005625000,1001124000,1111858000,1096905000,1082260000,1166957000,1193837000,,,,,,,
BalanceCurrentInvestments,,,,,,,,,,26596000,31082000,31436000,34104000,26141000,52207000,26401000,62569000,36034000,34935000,27923000,23823000,27832000,32212000,63343000,,,62031000,52331000,50672000,50667000,51913000
BalanceCash,52513000,51059000,46526000,82761000,85459000,45190000,95962000,148452000,53767000,76593000,101544000,155905000,144097000,233241000,204484000,228334000,256685000,310218000,215859000,97982000,105459000,106106000,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,1222857000,,,1438083000,1349129000,1369313000,1343894000,1411784000,1424049000
BalanceTotalAssets,1506424000,1413935000,1456714000,1481168000,1444183000,1572266000,1706982000,1761611000,1989414000,2080305000,2156760000,2159668000,2330769000,2334416000,2566157000,2597791000,2721239000,2845829000,2828710000,2940944000,3029488000,313928000,,,445495000,415138000,420953000,410319000,379659000,379964000,415837000
BalanceCapital,400867000,395348000,395854000,410635000,406547000,373434000,384112000,393220000,390323000,185396000,198498000,219828000,223446000,178948000,236611000,219542000,254840000,364257000,366828000,389090000,119860000,,,278299000,257696000,261295000,253697000,247308000,254883000,267871000,263141000
BalanceShareCapital,257543000,259020000,260306000,259990000,277471000,266016000,271950000,274797000,277237000,277734000,284770000,276877000,288042000,341781000,327413000,349020000,421244000,425017000,440483000,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,-6664000,,,-164000,-166000,-13552000,26806000,,,-17752000,-17437000,-18568000,-20325000,-15109000,-15393000,-13890000,-13405000,-14602000,-12767000
BalanceReserve,660000,292000,-12474000,-7759000,-10313000,-9444000,-11424000,-15340000,-19412000,-7930000,-20583000,-25388000,-38662000,-41592000,13000,-1625000,19269000,105842000,,,110307000,105867000,108770000,108927000,104666000,106590000,109898000,105971000,108578000,108717000,109615000
BalanceNonshareCapital,108528000,103571000,105202000,109629000,109874000,52457000,60996000,80867000,82592000,81756000,82535000,85068000,89542000,93199000,96734000,93720000,,,,,1637000,,1493000,66904000,1252000,1297000,51791000,62500000,72588000,66512000,67734000
BalanceNoncurrentLiabilities,41540000,63727000,78356000,94349000,76752000,105456000,49949000,82842000,74880000,56287000,59970000,83823000,64769000,74929000,70881000,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,65656000,,50528000,61399000,71427000,65653000,66871000,63342000
BalanceNoncurrentBorrowings,77961000,93950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,1637000,,1493000,1248000,1252000,1297000,1263000,1101000,1160000,860000,862000,41540000,385000,395000,399000,76752000,105456000,49949000
BalanceNoncurrentOtherLiabilities,82842000,74880000,56287000,59970000,83823000,64769000,74929000,70881000,803087000,,,880644000,828125000,839590000,823155000,860556000,936244000,979392000,855307000,890288000,904009000,857421000,989458000,1188438000,1208571000,1408210000,1485759000,1842155000,1794718000,1980125000,1945535000
BalanceCurrentLiabilities,2230573000,2222358000,2356659000,2417624000,2306486000,2402453000,2475797000,,,,,41447000,,43765000,100757000,57998000,74542000,148306000,142485000,169071000,142306000,211197000,97731000,168368000,211827000,223974000,181491000,173372000,233153000,207495000,165542000
BalanceCurrentTradePayablesv,213022000,198196000,251753000,217935000,239497000,191280000,,,,,,,,,270717000,268372000,234111000,212077000,199314000,193093000,209435000,212399000,280326000,269337000,281599000,277957000,243348000,234300000,238276000,228347000,237649000
BalanceCurrentBorrowings,215598000,223810000,219049000,211650000,215428000,260040000,,,,,,,,,,,,,,,,,78509000,,,72355000,116067000,73970000,74384000,270333000,303566000
BalanceCurrentObligations,308934000,324476000,321504000,348410000,364085000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,547264000,,,475426000,487087000,483184000,421913000,71785000,193688000,215320000,75449000,102632000,96953000,52939000,74589000,104796000,146510000,129588000,181757000,274258000,244228000,446383000,432727000,406149000,332667000,391949000
BalanceCurrentOtherLiabilities,392337000,284719000,289589000,255576000,255824000,,,363771000,341037000,356406000,357477000,417297000,416187000,455419000,419476000,445856000,444891000,452741000,491273000,627076000,624356000,785196000,802072000,1070703000,1026752000,988343000,1002581000,1150900000,1157505000,1233769000,1230009000
BalanceReckoning,1270678000,1309529000,1404815000,1222857000,0,0,0,1438083000,1349129000,1369313000,1343894000,1411784000,1424049000,1506424000,1413935000,1456714000,1481168000,1444183000,1572266000,1706982000,1761611000,1989414000,2080305000,2156760000,2159668000,2330769000,2334416000,2566157000,2597791000,2721239000,2845829000
BalanceTotalEquityAndLiabilities,2828710000,2940944000,3029488000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-7450000,14595000,6884000,-29264000,84474000,33417000,-25126000,20502000,8311000,23653000,8234000,55329000,-37467000,6612000,-89629000,56571000,-93385000,-66212000,2445000,4620000,7872000,-76349000,86815000,-12739000,-8186000,27022000,28761000,-12772000,16387000,1952000,65785000
CashflowAmortization,5269000,4043000,4063000,4414000,4354000,3951000,3946000,3963000,4862000,3853000,3730000,3699000,3147000,3502000,3670000,3725000,3945000,3751000,3924000,4287000,3793000,3706000,3840000,3596000,3703000,4317000,4575000,5285000,3397000,5194000,5769000
CashflowInvestingCashflow,18449000,-25073000,-7685000,10803000,-92035000,-24268000,38970000,-412000,-2711000,-3462000,-2517000,40410000,2797000,-1563000,11695000,-5115000,149363000,-76101000,6614000,-10389000,-4316000,56751000,-131841000,2311000,-132792000,-33026000,40030000,-96835000,-114376000,-5513000,-87590000
CashflowCapex,27984000,30876000,27663000,9322000,132187000,47050000,23653000,21192000,27356000,18260000,39692000,26465000,62627000,70534000,69865000,40371000,29523000,118091000,30465000,52613000,52782000,65108000,523292000,-271507000,311439000,270712000,371785000,439847000,-595917000,114569000,136688000
CashflowFinancingCashflow,-32253000,-18517000,34775000,-18731000,30469000,-15265000,-16757000,-18342000,-4038000,-21440000,-8336000,-98940000,71667000,-2830000,37878000,-841000,-5483000,53664000,12384000,29912000,50252000,7540000,128868000,-12351000,159523000,44885000,-15663000,9190000,-12970000,10160000,18614000
CashflowShareCapitalCash,-6000,207000,94125000,2000,52490000,,,,,,,,,,,,,,,,,73358000,0,,172815000,,0,,662000,4160000,
CashflowDividend,,53000,,,,,,,1179000,0,,,1259000,0,,,3139000,544000,-21253000,-28995000,33974000,-37192000,22908000,-6115000,-2913000,1748000,1561000,-1250000,-2619000,-3201000,36996000
CashflowNetCashflow,2218000,-40057000,50614000,50494000,-88650000,21443000,24144000,53808000,-12058000,83842000,-22779000,18545000,38880000,53128000,-100417000,-110959000,6599000,-3191000,,,,,,,,,,,,,
