,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentAssets,9211000,10762000,11577000,18824000,25137000,35848000,54919000,84033000,90471000,104351000,115899000,124452000,132607000,148941000,169533000,201918000,245003000,277998000,288573000,299782000,313430000,337667000,357420000,413227000,449136000,463721000,471530000,477422000,489853000,499217000,510869000,513055000,528863000,535655000,561369000,616936000,662452000,706790000,714596000,704310000,713002000,721370000,723535000,747311000,752804000,757999000,772182000,748413000
BalanceIntangibleAssets,60000,137000,108000,88000,165000,156000,131000,2398000,2387000,2358000,2338000,3162000,3143000,3133000,3122000,3110000,3182000,3193000,3201000,3182000,3169000,3166000,3177000,3190000,3232000,3210000,3185000,3172000,3149000,3127000,3138000,3135000,3126000,3185000,3173000,3156000,5266000,3477000,3435000,3356000,3304000,3249000,3199000,3150000,3205000,3232000,3370000,3328000
BalanceProperty,2703000,3311000,4056000,11223000,17416000,25489000,44723000,75293000,82932000,97526000,107717000,108577000,117453000,133543000,153707000,185757000,211605000,257422000,267727000,278391000,278300000,289693000,333997000,388835000,421893000,434943000,441024000,447340000,460072000,470341000,481653000,483875000,498363000,508342000,531879000,586658000,629463000,667891000,676093000,660756000,669128000,690545000,692921000,713687000,706397000,725691000,734943000,705489000
BalanceNoncurrentReceivables,3623000,4398000,4404000,4389000,4390000,6884000,6338000,5426000,4483000,3490000,3985000,3527000,2191000,2038000,2038000,1628000,2757000,795000,795000,707000,11247000,11247000,260000,262000,263000,268000,271000,273000,644000,571000,572000,1496000,1504000,527000,2068000,1883000,1885000,2076000,3277000,4747000,5948000,7149000,7150000,7151000,6960000,6960000,6960000,6960000
BalanceNoncurrInvestments,2563000,2594000,2625000,2657000,2692000,2801000,2972000,0,0,7049000,7659000,7928000,8200000,9240000,25140000,9346000,9426000,9606000,9605000,22202000,9941000,9980000,10210000,11423000,11979000,12095000,12090000,11204000,11447000,11695000,11831000,10953000,11274000,11267000,11604000,15589000,15023000,16841000,16704000,2475000,2744000,9135000,20456000,8508000,8841000,10384000,262000,322000
BalanceOtherNoncurrentAssets,384000,467000,474000,518000,755000,916000,669000,977000,1859000,2137000,2161000,2299000,2466000,2183000,2319000,7242000,7424000,7896000,11109000,11359000,10045000,10960000,13538000,13877000,15071000,14542000,13898000,13974000,14059000,12854000,14039000,12648000,12975000,13972000,14234000,17757000,16768000,18610000,17918000,17952000,17521000,14188000,15786000,13608000,18068000,22252000,22026000,24088000
BalanceCurrentAssets,27836000,37483000,135732000,118285000,102215000,86632000,83325000,98290000,76897000,69245000,63115000,64156000,45621000,67120000,61109000,113734000,76990000,81954000,102989000,62683000,75504000,82743000,86102000,84272000,74411000,70221000,76872000,78171000,69348000,58411000,60332000,74358000,100103000,144771000,80584000,72131000,63482000,84462000,82566000,93918000,92260000,88111000,95923000,84001000,89120000,103095000,1922000,1369000
BalanceInventory,1451000,85000,3227000,39000,66000,19000,27000,84000,108000,23000,215000,102000,709000,337000,486000,84000,225000,28000,116000,95000,321000,21000,15000,36000,136000,38000,132000,165000,71000,97000,100000,143000,250000,231000,222000,498000,475000,467000,371000,2045000,6599000,5963000,198000,152000,153000,242000,13248000,12724000
BalanceCurrentReceivables,13082000,28439000,37866000,42983000,47187000,21025000,34540000,59990000,38181000,21447000,18936000,18590000,24157000,26043000,24713000,84256000,39062000,46195000,81478000,27790000,39108000,45081000,37951000,45796000,43175000,38512000,34205000,37355000,34589000,34054000,30024000,34378000,43625000,46595000,52845000,38149000,26846000,24972000,32624000,48738000,48568000,44270000,53056000,32627000,30296000,33413000,,
BalanceCurrentInvestments,,5932000,2500000,65510000,3503000,58630000,3503000,17767000,2500000,31497000,28935000,25567000,5031000,19970000,355000,17609000,10432000,1140000,9837000,900000,15113000,17937000,14259000,271000,271000,271000,20309000,374000,52756000,529000,24460000,46042000,923000,,,,,4771000,4155000,4447000,86157000,44749000,35338000,24758000,23531000,12450000,16576000,28745000
BalanceCash,9464000,10359000,11839000,12752000,21010000,13772000,16239000,19667000,19689000,18491000,19716000,37143000,31796000,30168000,30900000,27307000,36048000,29978000,30973000,2085000,5840000,8856000,3027000,5982000,9753000,6710000,6958000,9917000,20449000,11350000,16278000,20433000,16529000,8305000,15173000,14303000,9424000,8603000,18122000,11931000,24366000,24576000,27804000,35397000,23327000,18348000,13734000,21525000
BalanceOtherCurrentAssets,26392000,20645000,7750000,10270000,19528000,36165000,45189000,8497000,9024000,16445000,12981000,11505000,11339000,6925000,6978000,15362000,15174000,28693000,38467000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,1000000,36471000,31237000,34850000,39413000,56307000,160869000,154133000,157134000,170665000,173796000,202641000,192796000,193697000,195722000,213097000,215154000,269038000,306112000,391732000,365563000,381736000,416419000,400350000,432924000,495970000,535238000,547993000,545941000,547643000,566725000,577388000
BalanceTotalAssets,580217000,571466000,589195000,610013000,661472000,761707000,743036000,778921000,778078000,788772000,795568000,815288000,815795000,835422000,848727000,843000000,861302000,887979000,14658000,14590000,15319000,31057000,125088000,127352000,134521000,141082000,141538000,142463000,148259000,157840000,159402000,160924000,168311000,169691000,170900000,235879000,239182000,245054000,244311000,250004000,258819000,255105000,259804000,268096000,268616000,266792000,272466000,281420000
BalanceCapital,287372000,287242000,290589000,292369000,303968000,299673000,301640000,305458000,311527000,304529000,316506000,315287000,331257000,336119000,340608000,346262000,354622000,354295000,100000,500000,500000,5500000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,8000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
BalanceShareCapital,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,,,,,,,,0,,0,,-106000,-106000,-107000,-208000,-208000,-208000,-208000,-208000,-208000,-208000,-261000,-336000,-336000,-402000,-432000,-432000,-508000,-545000,-545000
BalanceOwnShares,-545000,-569000,-569000,-569000,-577000,-577000,-577000,-577000,-577000,-577000,-577000,-577000,-577000,-577000,-577000,-577000,-577000,-577000,6137000,5643000,9522000,9450000,99411000,99411000,99411000,113848000,113848000,89961000,113848000,89961000,129977000,89961000,89961000,89961000,89961000,144856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000
BalanceReserve,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,142856000,321612000,317856000,142856000,142797000,318338000,337709000,,,,0,,0,,775000,793000,724000,699000,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,1290000,1575000,2357000,1796000,3868000,1665000,4306000,11840000,15665000,2695000,6084000,9499000,13413000,9526000,13747000,28749000,69236000,96804000,103062000,93374000,104731000,109952000,111124000,144648000,179997000,208788000,206286000,213978000,200451000,212621000,213825000,210250000,207144000,212074000
BalanceNoncurrentLiabilities,236204000,281963000,290945000,346066000,348402000,382211000,347814000,353821000,337079000,331922000,350777000,360167000,344872000,369751000,,218000,602000,450000,372000,398000,9355000,8382000,116000,7074000,7168000,63237000,95871000,96996000,102865000,175381000,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,2059000,,,,,,,,,,,,,,,,201410000,195091000,206131000,197200000,,277085000,332325000,330093000,332609000,314305000,309005000,319249000,331358000,311653000,333609000,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1290000,1357000,1755000,1346000,3496000,1665000,3908000
BalanceNoncurrentLeasing,2485000,5224000,2695000,5968000,9499000,6339000,9526000,6579000,28749000,5999000,96804000,7191000,93374000,7735000,109952000,8259000,144648000,4616000,208788000,4876000,213978000,5360000,212621000,7694000,210250000,9944000,212074000,236204000,281963000,13860000,346066000,16077000,382211000,17721000,21212000,22774000,22917000,31528000,28809000,33219000,36142000,15289000,18685000,21737000,23454000,31913000,25116000,18307000
BalanceNoncurrentOtherLiabilities,16968000,15800000,56759000,37754000,26358000,22907000,42647000,33096000,70598000,65976000,59049000,23319000,43308000,67377000,40394000,62981000,96217000,95437000,71109000,71039000,66873000,93808000,83347000,79020000,73974000,91462000,105570000,121300000,180071000,150451000,127397000,118149000,102032000,131248000,146180000,147459000,167381000,157342000,136571000,161808000,163933000,12699000,16356000,21311000,16712000,19679000,22734000,17256000
BalanceCurrentLiabilities,12174000,15445000,46744000,33923000,19029000,21513000,29681000,26905000,66218000,59893000,53447000,22816000,36072000,66200000,40177000,61475000,94657000,90693000,64216000,65531000,76965000,72528000,102466000,171913000,124566000,97464000,47594000,27426000,38334000,40934000,40064000,39311000,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,67363000,83560000,,85789000,81867000,89829000,69307000,92923000,94966000,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,372000,368000,393000,3586000,40000,2282000,412000,3553000,322000,3147000,1000000,4657000,4089000,4073000,5363000,7178000,1177000,0,1295000,1318000,4376000
BalanceCurrentLeasing,2319000,61505000,1258000,92128000,2679000,76963000,1254000,90965000,893000,52907000,5773000,63756000,820000,114180000,1845000,128274000,7762000,19479000,29204000,157056000,18690000,22945000,23264000,2218000,1961000,33000,3156000,12194000,100000,639000,1241000,33000,6868000,2831000,2672000,1394000,8877000,6191000,307000,6083000,239000,503000,58000,217000,211000,242000,368000,4574000
BalanceCurrentOtherLiabilities,9534000,84000,1680000,3703000,2057000,192000,497000,2211000,1030000,2385000,3135000,2011000,3969000,2723000,2974000,5035000,18687000,10014000,286000,7640000,5876000,6392000,31237000,34850000,39413000,56307000,160869000,154133000,157134000,170665000,173796000,202641000,192796000,193697000,195722000,213097000,215154000,269038000,306112000,391732000,365563000,381736000,416419000,400350000,432924000,495970000,535238000,547993000
BalanceReckoning,545941000,547643000,566725000,577388000,580217000,571466000,589195000,610013000,661472000,761707000,743036000,778921000,778078000,788772000,795568000,815288000,815795000,835422000,848727000,843000000,861302000,887979000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,3142000,-315000,2166000,-4485000,-3337000,-16096000,1883000,23103000,-13567000,-5854000,19919000,25526000,1630000,18417000,3505000,7161000,1759000,-9346000,-14365000,11930000,5656000,26051000,-2322000,3851000,2492000,4637000,21855000,-1198000,25739000,12708000,9360000,22162000,19677000,11100000,-23014000,4263000,40015000,8758000,18278000,17182000,4691000,9156000,17170000,24561000,12581000,10972000,3951000,15386000
CashflowAmortization,124000,161000,163000,229000,230000,249000,237000,311000,344000,557000,461000,492000,486000,498000,556000,545000,589000,510000,694000,681000,681000,760000,731000,734000,745000,722000,731000,713000,680000,586000,555000,614000,530000,478000,447000,525000,516000,532000,501000,520000,493000,494000,481000,499000,524000,571000,578000,556000
CashflowInvestingCashflow,-432000,-282000,-827000,-676000,-3396000,-7041000,-20002000,-12627000,-7254000,-15122000,-9334000,-15437000,-9596000,-12645000,-19700000,-26162000,-52509000,-2489000,-16067000,-23617000,-25548000,-15086000,-34392000,-33656000,-43634000,-14291000,-21373000,-6313000,-15589000,-8019000,-12724000,-10180000,-20230000,-11715000,-19665000,-43924000,-56109000,-41591000,-20200000,16391000,-9722000,-7997000,-6925000,-23487000,-11912000,-957000,-9040000,-6671000
CashflowCapex,495000,372000,879000,742000,1262000,1441000,1499000,1620000,8830000,4443000,8299000,9747000,17467000,4140000,11579000,25055000,27870000,-53820000,304000,382000,26963000,9149000,20413000,29076000,38727000,-85603000,610000,5921000,10714000,8058000,5532000,7634000,16597000,8663000,15690000,30502000,33231000,-76919000,96000,70000,340000,44825000,6738000,19314000,-24635000,37125000,10061000,6493000
CashflowFinancingCashflow,20000,-19000,-1047000,1419000,92185000,-10000,-142000,-98000,1032000,-98000,-91000,-3350000,0,-368000,-290000,32118000,41759000,14874000,39562000,551000,11747000,-11057000,37701000,28323000,44104000,12928000,-2843000,12696000,-7077000,-11708000,3145000,-9515000,3981000,915000,42401000,72605000,-18048000,38802000,-2822000,-7247000,-3868000,-6551000,-11873000,-342000,-4246000,-1290000,-981000,-7720000
CashflowShareCapitalCash,,,,1300000,92461000,0,,,,,,,,0,,0,54895000,0,0,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,0,,,4797000,195000,,,,,4985000,,4985000,0,,,7477000,,,7477000,,2730000,-616000,292000,-3742000,85452000,-23147000,-18261000,10378000,-19789000,-21074000,10494000
CashflowNetCashflow,6739000,-7966000,5404000,-16485000,13117000,-8991000,3039000,9130000,-11136000,-8145000,-92000,987000,-1482000,2962000,3274000,-2361000,5185000,3073000,-7019000,-219000,2467000,3428000,300000,-278000,32944000,-34142000,5969000,-4744000,26326000,-8899000,-5392000,-1628000,732000,-3577000,8725000,-6070000,995000,,,,,,,,,,,
