,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeDistributionExpenses_sq,,-13.15,127.90,13.78,-18.42,13.02,22.43,16.68,11.85,13.14,10.87,11.78,-6.92,19.24,14.82,-2.03,-18.00,26.92,21.41,-7.62,4.21,10.51,7.07,3.17,-14.10,19.78,4.02,-0.39,-4.12,1.27,4.56,2.12,-21.31,12.64,6.90,6.49,-10.01,11.20,-8.68,5.74,-16.04,10.34,-0.76,15.50,-20.56,27.15,2.62,-0.08,-3.80,9.46,-1.32,-7.83,-4.09,8.91,0.36
IncomeAdministrativExpenses,3871000,5568000,4224000,5308000,3387000,4268000,4309000,8364000,5483000,6246000,4801000,6122000,6222000,7195000,5646000,6623000,5370000,3503000,3969000,5331000,4224000,4581000,3972000,5250000,3618000,3539000,3222000,2896000,2967000,3157000,2722000,2913000,2958000,3277000,3096000,3213000,3516000,3288000,3209000,2649000,3505000,4166000,3682000,3935000,4022000,3951000,3783000,4001000,4023000,4550000,5111000,4633000,4586000,4121000,4196000
IncomeAdministrativExpenses_yy,,,,,-12.50,-23.35,2.01,57.57,61.88,46.34,11.42,-26.81,13.48,15.19,17.60,8.18,-13.69,-51.31,-29.70,-19.51,-21.34,30.77,0.08,-1.52,-14.35,-22.75,-18.88,-44.84,-17.99,-10.79,-15.52,0.59,-0.30,3.80,13.74,10.30,18.86,0.34,3.65,-17.55,-0.31,26.70,14.74,48.55,14.75,-5.16,2.74,1.68,0.02,15.16,35.10,15.80,13.99,-9.43,-17.90
IncomeAdministrativExpenses_sy,,,,,9.93,-1.22,2.01,1.92,20.21,24.42,20.39,68.52,14.30,42.01,18.44,13.46,-4.93,-13.34,-7.46,15.91,-4.40,11.86,7.62,8.48,13.68,6.11,-7.65,2.80,-0.15,1.10,-2.18,-6.23,-7.06,0.58,5.65,5.62,3.78,-3.50,-1.96,-10.89,3.28,1.84,-2.66,1.08,4.83,-2.15,8.90,5.74,0.44,17.66,7.84,15.90,10.41,-0.36,-17.90
IncomeAdministrativExpenses_qq,,43.84,-24.14,25.66,-36.19,26.01,0.96,94.11,-34.45,13.92,-23.13,27.52,1.63,15.64,-21.53,17.30,-18.92,-34.77,13.30,34.32,-20.77,8.45,-13.29,32.18,-31.09,-2.18,-8.96,-10.12,2.45,6.40,-13.78,7.02,1.54,10.78,-5.52,3.78,9.43,-6.48,-2.40,-17.45,32.31,18.86,-11.62,6.87,2.21,-1.77,-4.25,5.76,0.55,13.10,12.33,-9.35,-1.01,-10.14,1.82
IncomeAdministrativExpenses_sq,,32.77,-12.26,15.35,-28.06,1.94,2.68,0.32,4.71,13.92,0.29,17.68,-9.78,17.10,-5.96,0.38,-11.64,2.01,0.38,21.09,-19.99,8.99,3.62,8.17,-7.66,5.21,-8.93,11.53,2.28,2.41,-8.46,7.02,-4.80,10.78,-11.23,8.94,-7.90,3.86,-2.48,10.98,-3.06,3.85,-11.04,9.08,-1.75,-0.70,0.07,4.70,2.18,9.30,-0.26,5.66,-0.36,,1.82
IncomeGrossProfit,2503000,3683000,1321000,-715000,70000,2718000,1756000,-22000,5594000,6966000,8786000,2284000,8203000,4235000,3992000,-8121000,8253000,-5726000,1023000,-9737000,-1340000,-1243000,2105000,-6601000,409000,-1230000,4637000,9738000,3546000,3115000,4368000,3040000,4643000,5884000,4815000,3015000,4612000,4072000,3831000,6283000,5197000,5308000,2685000,4437000,4554000,4059000,3936000,5045000,5700000,3898000,5433000,7607000,12499000,15392000,12547000
IncomeGrossProfit_yy,,,,,-97.20,-26.20,32.93,96.92,7891.43,156.29,400.34,10481.82,46.64,-39.20,-54.56,-455.56,0.61,-235.21,-74.37,-19.90,-116.24,78.29,105.77,32.21,130.52,1.05,120.29,247.52,766.99,353.25,-5.80,-68.78,30.94,88.89,10.23,-0.82,-0.67,-30.80,-20.44,108.39,12.68,30.35,-29.91,-29.38,-12.37,-23.53,46.59,13.70,25.16,-3.97,38.03,50.78,119.28,294.87,130.94
IncomeGrossProfit_sy,,,,,44.43,34.86,28.23,15.20,134.72,42.51,17.44,82.08,28.80,-8.12,-17.64,6.21,3.55,-20.26,-12.47,-21.29,-92.64,-2.00,-0.51,32.21,14.20,11.16,39.44,72.26,22.06,-6.73,-8.10,-24.24,-3.68,-2.28,-2.86,-1.52,11.10,-10.14,-13.82,-16.55,12.68,15.62,-8.62,-29.38,12.07,-4.92,-1.87,45.00,-2.40,4.53,14.01,7.99,31.71,34.19,130.94
IncomeGrossProfit_qq,,47.14,-64.13,-154.13,109.79,3782.86,-35.39,-101.25,25527.27,24.53,26.13,-74.00,259.15,-48.37,-5.74,-303.43,201.63,-169.38,117.87,-1051.81,86.24,7.24,269.35,-413.59,106.20,-400.73,476.99,110.01,-63.59,-12.15,40.22,-30.40,52.73,26.73,-18.17,-37.38,52.97,-11.71,-5.92,64.00,-17.28,2.14,-49.42,65.25,2.64,-10.87,-3.03,28.18,12.98,-31.61,39.38,40.01,64.31,23.15,-18.48
IncomeGrossProfit_sq,,129.20,30.66,-114.36,-10.30,160.44,61.76,-75.23,77.70,154.28,51.70,-15.75,-14.62,34.62,27.36,-39.50,-33.99,13.08,53.41,-100.38,32.47,150.62,66.16,-90.45,14.39,142.13,44.70,-50.67,-7.68,54.31,26.88,-61.32,-43.40,78.76,18.10,-43.08,9.24,21.15,30.92,-56.51,33.92,99.00,9.81,-88.17,56.65,-0.37,20.74,-65.56,28.52,84.19,35.56,-78.88,42.32,86.61,-18.48
IncomeOtherOperatingIncome,1604000,-1582000,121000,69000,212000,-196000,9114000,617000,100000,142000,9498000,-8939000,100000,966000,284000,4407000,-3307000,3835000,58000,574000,524000,-29000,270000,512000,578000,29000,503000,512000,1714000,2319000,139000,1085000,773000,1091000,-56000,3247000,2638000,625000,547000,1451000,1605000,2221000,1374000,1276000,2589000,936000,1035000,1827000,1869000,1238000,736000,965000,2833000,1286000,793000
IncomeOtherOperatingIncome_yy,,,,,-86.78,87.61,7432.23,794.20,-52.83,172.45,4.21,-1548.78,,580.28,-97.01,149.30,-3407.00,297.00,-79.58,-86.98,115.85,-100.76,365.52,-10.80,10.31,200.00,86.30,,196.54,7896.55,-72.37,111.91,-54.90,-52.95,-140.29,199.26,241.27,-42.71,1076.79,-55.31,-39.16,255.36,151.19,-12.06,61.31,-57.86,-24.67,43.18,-27.81,32.26,-28.89,-47.18,51.58,3.88,7.74
IncomeOtherOperatingIncome_sy,,,,,90.45,-0.66,52.86,140.94,-63.52,234.30,13.79,-19.69,,13.60,7.66,6.36,-16.13,75.15,55.85,-19.24,17.07,19.35,-6.62,51.42,3.74,-15.59,86.30,,47.50,45.26,-3.97,-4.20,-13.68,-27.80,-16.50,14.66,2.24,-9.39,30.61,65.91,-40.00,-12.58,-12.21,-38.88,-11.84,-45.78,-26.34,-5.06,13.47,7.65,-18.80,-15.09,-28.90,-16.23,7.74
IncomeOtherOperatingIncome_qq,,-198.63,107.65,-42.98,207.25,-192.45,4750.00,-93.23,-83.79,42.00,6588.73,-194.11,101.12,866.00,-70.60,1451.76,-175.04,215.97,-98.49,889.66,-8.71,-105.53,1031.03,89.63,12.89,-94.98,1634.48,1.79,234.77,35.30,-94.01,680.58,-28.76,41.14,-105.13,5898.21,-18.76,-76.31,-12.48,165.27,10.61,38.38,-38.14,-7.13,102.90,-63.85,10.58,76.52,2.30,-33.76,-40.55,31.11,193.58,-54.61,-38.34
IncomeOtherOperatingIncome_sq,,237.10,-36.10,14.84,40.50,-37.28,35.30,94.86,-76.88,64.42,25.34,-28.29,-23.36,37.48,-10.04,67.88,-32.21,54.48,-46.12,43.24,-13.59,5.30,-69.55,166.44,-60.89,42.08,-15.08,70.77,-33.10,29.68,-35.25,33.16,-27.45,24.52,-30.30,15.14,21.31,15.79,-0.65,102.37,-49.32,40.70,-33.26,117.88,-55.51,-8.30,-17.32,81.25,-48.47,5.80,-49.74,66.11,-40.25,-1.61,-38.34
IncomeOtherOperatingCosts,409000,-383000,106000,169000,25000,22000,615000,-146000,173000,1642000,1007000,-446000,395000,-41000,408000,4017000,163000,2826000,-646000,416000,736000,1495000,-171000,798000,293000,1546000,4302000,3867000,2079000,2802000,-514000,986000,1267000,1515000,406000,477000,1659000,1086000,1370000,2285000,2172000,2047000,1013000,1570000,1831000,1693000,259000,1364000,1722000,1054000,935000,1457000,2336000,2903000,-41000
IncomeOtherOperatingCosts_yy,,,,,-93.89,105.74,480.19,-186.39,592.00,7363.64,63.74,-205.48,128.32,-102.50,-59.48,1000.67,-58.73,6992.68,-258.33,-89.64,351.53,-47.10,73.53,91.83,-60.19,3.41,2615.79,384.59,609.56,81.24,-111.95,-74.50,-39.06,-45.93,178.99,-51.62,30.94,-28.32,237.44,379.04,30.92,88.49,-26.06,-31.29,-15.70,-17.29,-74.43,-13.12,-5.95,-37.74,261.00,6.82,35.66,175.43,-104.39
IncomeOtherOperatingCosts_sy,,,,,-28.19,-35.06,390.82,-1.68,98.22,192.13,13.73,2.78,-21.98,21.69,-42.14,179.28,-8.03,282.06,152.00,-7.11,28.61,-13.12,-27.13,-52.10,63.04,2.82,91.73,62.61,7.58,23.76,19.67,-12.93,-35.18,25.52,-15.56,-21.07,-1.10,-22.98,-11.92,100.00,3.65,10.06,-9.80,-36.80,-11.27,-10.50,3.23,-2.99,-29.71,-15.16,1.08,6.82,29.41,35.36,-104.39
IncomeOtherOperatingCosts_qq,,-193.64,127.68,59.43,-85.21,-12.00,2695.45,-123.74,218.49,849.13,-38.67,-144.29,188.57,-110.38,1095.12,884.56,-95.94,1633.74,-122.86,164.40,76.92,103.12,-111.44,566.67,-63.28,427.65,178.27,-10.11,-46.24,34.78,-118.34,291.83,28.50,19.57,-73.20,17.49,247.80,-34.54,26.15,66.79,-4.95,-5.76,-50.51,54.99,16.62,-7.54,-84.70,426.64,26.25,-38.79,-11.29,55.83,60.33,24.27,-101.41
IncomeOtherOperatingCosts_sq,,1248.89,-74.74,733.67,-77.87,12.07,43.78,-27.29,-25.16,-26.55,9.35,37.36,-41.06,12.10,5.58,389.60,-88.51,147.10,-0.42,188.46,-66.52,116.95,-35.90,63.91,-52.32,39.66,6.28,18.12,-43.82,38.40,-27.25,46.52,-59.24,133.65,-51.74,10.64,-21.26,43.38,-17.00,103.85,-71.81,32.47,-36.02,34.82,-12.73,97.96,-27.74,300.00,-81.46,244.71,-11.29,122.86,-63.89,152.08,-101.41
IncomeEBIT,3698000,2484000,1336000,-815000,257000,2500000,10255000,741000,5521000,5466000,17277000,-6209000,7908000,5242000,3868000,-7731000,4783000,-4717000,1727000,-9579000,-1552000,-2767000,2546000,-6887000,694000,-2747000,838000,6383000,3181000,2632000,5021000,3139000,4149000,5460000,4353000,5785000,5591000,3611000,3008000,5449000,4630000,5482000,3046000,4143000,5312000,3302000,4712000,5508000,5847000,4082000,5234000,7115000,12996000,13775000,13381000
IncomeEBIT_yy,,,,,-93.05,0.64,667.59,190.92,2048.25,118.64,68.47,-937.92,43.23,-4.10,-77.61,-24.51,-39.52,-189.98,-55.35,-23.90,-132.45,41.34,47.42,28.10,144.72,0.72,-67.09,192.68,358.36,195.81,499.16,-50.82,30.43,107.45,-13.30,84.29,34.76,-33.86,-30.90,-5.81,-17.19,51.81,1.26,-23.97,14.73,-39.77,54.69,32.95,10.07,23.62,11.08,29.18,122.27,237.46,155.66
IncomeEBIT_sy,,,,,53.52,54.72,57.50,21.58,56.84,34.49,23.20,-15.93,39.50,-11.02,-8.23,-3.21,-11.10,-9.06,-25.37,-25.94,-66.57,7.26,-3.91,55.81,14.23,4.52,31.33,68.38,27.95,-19.05,0.14,-9.86,-8.38,5.76,-4.92,-1.64,32.36,-8.60,-8.86,-20.42,-4.64,29.39,1.26,-11.44,14.73,-25.48,-1.85,39.39,15.27,4.35,11.08,-0.41,30.96,57.14,155.66
IncomeEBIT_qq,,-32.83,-46.22,-161.00,131.53,872.76,310.20,-92.77,645.07,-1.00,216.08,-135.94,227.36,-33.71,-26.21,-299.87,161.87,-198.62,136.61,-654.66,83.80,-78.29,192.01,-370.50,110.08,-495.82,130.51,661.69,-50.16,-17.26,90.77,-37.48,32.18,31.60,-20.27,32.90,-3.35,-35.41,-16.70,81.15,-15.03,18.40,-44.44,36.01,28.22,-37.84,42.70,16.89,6.15,-30.19,28.22,35.94,82.66,5.99,-2.86
IncomeEBIT_sq,,64.42,62.30,-119.02,10.92,129.79,61.85,-64.90,56.64,186.60,108.83,-47.10,8.20,41.96,-10.71,-43.72,16.96,35.37,68.93,-103.32,75.99,88.65,74.54,-101.53,26.46,139.70,48.14,-48.01,-14.16,43.90,36.94,-57.47,-24.61,86.48,26.19,-70.66,1.36,5.35,43.52,-62.55,27.91,39.41,3.36,-95.06,93.84,0.82,42.04,-67.88,75.34,41.87,25.12,-61.85,82.66,82.67,-2.86
IncomeFinanceIncome,544000,2085000,5687000,1599000,697000,1503000,1032000,1139000,897000,1107000,1397000,1203000,1076000,1917000,1095000,4387000,938000,994000,1837000,1530000,1091000,2294000,935000,1955000,1675000,2117000,2448000,4208000,36000,251000,-11000,15000,1017000,-449000,844000,-415000,1563000,238000,833000,-180000,3225000,-609000,-378000,-209000,62000,145000,1513000,831000,643000,-201000,-143000,539000,91000,1251000,761000
IncomeFinanceIncome_yy,,,,,28.12,-27.91,-81.85,-28.77,28.69,-26.35,35.37,5.62,19.96,73.17,-21.62,264.67,-12.83,-48.15,67.76,-65.12,16.31,130.78,-49.10,27.78,53.53,-7.72,161.82,115.24,-97.85,-88.14,-100.45,-99.64,2725.00,-278.88,7772.73,-2866.67,53.69,153.01,-1.30,56.63,106.33,-355.88,-145.38,-16.11,-98.08,123.81,500.26,497.61,937.10,-238.62,-109.45,-35.14,-85.85,722.39,632.17
IncomeFinanceIncome_sy,,,,,-82.34,-78.09,-68.20,-28.77,18.05,11.82,-23.72,273.89,37.93,73.17,-35.45,372.79,-6.14,20.92,19.80,-65.12,-45.25,43.17,-4.13,-29.61,0.98,4.24,115.62,-7.14,51.28,-74.58,59.68,-26.27,-27.12,76.16,-45.84,-32.75,-27.59,-31.64,3.96,-16.80,10.29,-94.25,-40.14,7.23,-56.99,127.68,-23.41,167.62,22.64,-94.10,100.00,-35.14,-27.56,310.72,632.17
IncomeFinanceIncome_qq,,283.27,172.76,-71.88,-56.41,115.64,-31.34,10.37,-21.25,23.41,26.20,-13.89,-10.56,78.16,-42.88,300.64,-78.62,5.97,84.81,-16.71,-28.69,110.27,-59.24,109.09,-14.32,26.39,15.64,71.90,-99.14,597.22,-104.38,236.36,6680.00,-144.15,287.97,-149.17,476.63,-84.77,250.00,-121.61,1891.67,-118.88,37.93,44.71,129.67,133.87,943.45,-45.08,-22.62,-131.26,28.86,476.92,-83.12,1274.73,-39.17
IncomeFinanceIncome_sq,,77.02,57.90,-62.71,34.39,30.49,106.01,17.68,85.38,-79.90,38.28,1.27,2.23,61.58,-46.44,377.78,-56.92,-14.58,-5.87,140.51,-28.69,3.48,27.27,15.62,20.00,-37.59,4.35,21.14,137.65,-70.63,99.02,38.18,6.13,-52.20,21.38,55.24,36.66,-54.55,-7.44,-43.96,147.37,-32.53,-10.87,77.65,-15.66,143.41,-1.68,95.21,-22.62,-82.57,85.33,25.00,-32.35,647.61,-39.17
IncomeFinanceCosts,949000,1433000,3706000,416000,533000,2251000,-41000,1565000,479000,1397000,29133000,-4008000,1670000,4896000,2403000,56291000,16239000,4726000,-5270000,-1215000,-3031000,6622000,-915000,1476000,1406000,2327000,1476000,2301000,1758000,631000,1701000,2409000,986000,1107000,865000,1378000,1352000,2024000,1592000,1543000,1010000,220000,1003000,791000,1015000,897000,661000,635000,646000,710000,513000,6405000,1181000,5863000,626000
IncomeFinanceCosts_yy,,,,,-43.84,57.08,-101.11,276.20,-10.13,-37.94,71156.10,-356.10,248.64,250.47,-91.75,1504.47,872.40,-3.47,-319.31,-102.16,-118.66,40.12,82.64,221.48,146.39,-64.86,261.31,55.89,25.04,-72.88,15.24,4.69,-43.91,75.44,-49.15,-42.80,37.12,82.84,84.05,11.97,-25.30,-89.13,-37.00,-48.74,0.50,307.73,-34.10,-19.72,-36.35,-20.85,-22.39,908.66,82.82,725.77,22.03
IncomeFinanceCosts_sy,,,,,-43.84,-30.19,-35.83,55.84,18.94,21.44,44.16,42.74,88.60,121.22,1.80,354.95,57.14,-22.95,69.18,-75.42,-19.42,65.38,26.76,56.78,33.42,26.44,115.90,45.00,9.09,-19.84,-14.52,4.69,-8.22,-11.45,-34.05,-2.78,10.53,-33.39,5.12,29.70,-22.18,-13.10,-38.35,-39.14,-0.78,-8.84,-11.43,1.72,20.99,-3.48,30.57,107.56,-6.61,90.68,22.03
IncomeFinanceCosts_qq,,51.00,158.62,-88.77,28.12,322.33,-101.82,3917.07,-69.39,191.65,1985.40,-113.76,141.67,193.17,-50.92,2242.53,-71.15,-70.90,-211.51,76.94,-149.47,318.48,-113.82,261.31,-4.74,65.50,-36.57,55.89,-23.60,-64.11,169.57,41.62,-59.07,12.27,-21.86,59.31,-1.89,49.70,-21.34,-3.08,-34.54,-78.22,355.91,-21.14,28.32,-11.63,-26.31,-3.93,1.73,9.91,-27.75,1148.54,-81.56,396.44,-89.32
IncomeFinanceCosts_sq,,51.00,51.90,-7.63,22.51,-14.32,20.48,38.07,-37.42,21.08,18.86,104.58,-6.67,70.76,-41.05,166.37,-43.75,-35.34,9.04,-19.35,23.08,75.63,-23.78,22.34,-10.25,26.38,-8.12,-28.23,-9.20,23.42,-5.73,-10.00,-8.29,6.32,-5.77,-0.87,11.79,-26.14,46.23,-18.74,-6.47,-44.19,27.01,-4.45,13.21,-16.67,-0.99,-3.93,19.65,1.47,19.76,17.10,-26.23,29.71,-89.32
IncomeOtherIncome,0,0,0,,29000,152000,217000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,424.14,42.76,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,424.14,42.76,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,3293000,3136000,3317000,368000,450000,1904000,11545000,-83000,5939000,5176000,-10459000,-998000,7314000,2263000,2560000,-59635000,-10518000,-8449000,8834000,-6834000,2570000,-7095000,4396000,-6408000,963000,-2957000,1810000,8290000,1459000,2252000,3309000,745000,4180000,3904000,4332000,3992000,5802000,1825000,2249000,3726000,6845000,4653000,1665000,3143000,4359000,2550000,5564000,5704000,5844000,3171000,4578000,1249000,11906000,9163000,13516000
IncomeNetGrossProfit_yy,,,,,-86.33,-39.29,248.06,-122.55,1219.78,171.85,-190.59,-1102.41,23.15,-56.28,124.48,-5875.45,-243.81,-473.35,245.08,88.54,124.43,16.03,-50.24,6.23,-62.53,58.32,-58.83,229.37,51.51,176.16,82.82,-91.01,186.50,73.36,30.92,435.84,38.80,-53.25,-48.08,-6.66,17.98,154.96,-25.97,-15.65,-36.32,-45.20,234.17,81.48,34.07,24.35,-17.72,-78.10,103.73,188.96,195.24
