,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeDistributionExpenses_sy,,,,,,,,,,,,,-21.30,-9.74,8.05,-14.78,-39.04,3.90,-6.27,31.46,-0.76,-3.46,3.18,-1.74,-17.11,-1.16,-49.20,-15.65,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,-76.74,14.21,8.79,47.33,-32.66,12.39,-4.55,49.64,-30.25,13.99,-10.88,30.60,-24.16,1.60,7.51,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,-50.08,22.76,-10.50,117.60,-60.00,22.08,-34.10,40.26,-23.02,13.40,-19.78,31.67,-41.55,5.56,-9.05,6.96,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,74817000,17950000,17598000,18516000,28047000,19475000,25149000,24900000,31259000,24858000,43761000,39190000,52082000,41166000,41408000,46398000,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,-62.51,8.50,42.91,34.48,11.45,27.64,74.01,57.39,66.61,65.60,-5.38,18.39,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,-13.42,-7.85,-4.58,11.14,-10.60,16.60,3.52,14.66,-14.66,-0.67,12.24,-2.83,14.80,-1.11,-1.44,7.92,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,-76.01,-1.96,5.22,51.47,-30.56,29.13,-0.99,25.54,-20.48,76.04,-10.45,32.90,-20.96,0.59,12.05,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,-27.72,17.66,-34.64,46.11,-24.62,3.07,-11.71,25.54,-5.45,3.58,-4.82,5.35,-4.64,2.03,-6.19,16.88,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-14792000,46323000,69816000,71943000,1342000,91205000,108594000,118840000,4026000,82203000,76887000,72714000,55975000,116882000,92607000,91703000,59019000,115445000,154106000,149339000,147414000,204648000,214193000,199614000,188097000,184110000,193590000,166600000,208800000,215800000,394200000,427100000,395700000,420000000,569700000,514800000,450600000,416000000,400900000,449100000,394500000,450400000,507100000,415200000,440000000,428800000,476200000
IncomeGrossProfit_yy,,,,,109.07,96.89,55.54,65.19,200.00,-9.87,-29.20,-38.81,1290.34,42.19,20.45,26.11,5.44,-1.23,66.41,62.85,149.77,77.27,38.99,33.67,27.60,-10.04,-9.62,-16.54,11.01,17.21,103.63,156.36,89.51,94.62,44.52,20.53,13.87,-0.95,-29.63,-12.76,-12.45,8.27,26.49,-7.55,11.53,-4.80,-6.09
IncomeGrossProfit_sy,,,,,109.07,96.40,11.83,-78.69,61.13,-46.63,-91.96,-15.94,31.57,42.19,62.17,112.26,34.25,32.20,9.48,-11.82,15.83,-48.06,-13.80,-18.48,-4.47,7.86,-0.58,5.52,-9.92,40.00,7.99,18.44,12.48,9.55,-4.21,28.72,12.10,-25.90,-29.63,-12.76,14.62,25.37,26.49,23.82,11.53,14.63,15.73
IncomeGrossProfit_qq,,413.16,50.72,3.05,-98.13,6696.20,19.07,9.44,-96.61,1941.80,-6.47,-5.43,-23.02,108.81,-20.77,-0.98,-35.64,95.61,33.49,-3.09,-1.29,38.83,4.66,-6.81,-5.77,-2.12,5.15,-13.94,25.33,3.35,82.67,8.35,-7.35,6.14,35.64,-9.64,-12.47,-7.68,-3.63,12.02,-12.16,14.17,12.59,-18.12,5.97,-2.55,11.05
IncomeGrossProfit_sq,,-8.39,92.72,15.84,-31.78,-27.06,25.93,-18.05,0.51,-67.22,-36.35,-15.53,57.31,-8.21,-3.90,29.92,27.58,-30.46,-2.02,2.52,113.13,-77.66,11.96,-14.36,154.45,-50.60,31.46,-28.97,45.43,-19.04,1.58,8.35,-7.35,-0.37,25.44,-12.31,28.14,-41.00,17.58,-28.01,51.47,-27.52,12.59,-2.63,35.09,-27.63,14.79
IncomeOtherOperatingIncome,2041000,3196000,716000,1169000,4306000,6304000,15662000,10959000,-12719000,9024000,1185000,679000,1653000,1116000,8561000,2293000,2000000,7742000,-8536000,,,-1658000,,-4725000,-12648000,504000,1496000,36700000,-1900000,3600000,3500000,4700000,-2200000,8700000,13800000,14400000,-6200000,6800000,6600000,0,-4600000,6800000,9900000,6700000,-2100000,6700000,-600000
IncomeOtherOperatingIncome_yy,,,,,110.98,97.25,2087.43,837.47,-395.38,43.15,-92.43,-93.80,113.00,-87.63,622.45,237.70,20.99,593.73,-199.71,-100.00,-100.00,-121.42,100.00,,,130.40,,876.72,84.98,614.29,133.96,-87.19,-15.79,141.67,294.29,206.38,-181.82,-21.84,-52.17,-100.00,25.81,,50.00,,54.35,-1.47,-106.06
IncomeOtherOperatingIncome_sy,,,,,87.90,-51.79,65.32,125.63,-17.48,62.72,-9.56,43.52,13.16,36.08,195.75,-10.58,122.60,-6.06,-68.02,-23.81,-55.31,-19.14,25.90,,,13.42,,14.16,69.32,-5.24,-15.20,-32.24,-40.46,31.10,-3.00,-23.08,44.85,55.26,26.70,163.33,25.81,,0.44,,-65.21,-8.50,8.56
IncomeOtherOperatingIncome_qq,,56.59,-77.60,63.27,268.35,46.40,148.45,-30.03,-216.06,170.95,-86.87,-42.70,143.45,-32.49,667.11,-73.22,-12.78,287.10,-210.26,100.00,,,100.00,,-167.68,103.98,196.83,2353.21,-105.18,289.47,-2.78,34.29,-146.81,495.45,58.62,4.35,-143.06,209.68,-2.94,-100.00,,247.83,45.59,-32.32,-131.34,419.05,-108.96
IncomeOtherOperatingIncome_sq,,52.12,-58.62,-37.38,122.98,-30.77,95.58,-24.62,36.64,9.56,-19.31,24.96,70.18,24.32,33.25,-67.07,57.62,-84.25,-40.25,33.11,,,1.93,,112.48,-12.40,27.00,-3.28,139.99,-75.09,-3.01,5.00,138.10,-24.00,58.62,-52.96,150.36,-20.48,-24.58,-10.43,,-69.75,19.58,-28.57,88.27,18.83,-13.90
IncomeOtherOperatingCosts,13616000,5692000,19141000,12973000,15858000,14002000,26281000,27697000,-49403000,5875000,10000000,1852000,6543000,11104000,11439000,12481000,13403000,27188000,,2171000,3833000,,2770000,,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherOperatingCosts_yy,,,,,16.47,145.99,37.30,113.50,-411.53,-58.04,-61.95,-93.31,113.24,89.00,14.39,573.92,104.84,144.85,-100.00,-82.61,-71.40,-100.00,,-100.00,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,
IncomeOtherOperatingCosts_sy,,,,,16.47,32.81,-38.16,75.91,184.04,100.20,158.45,655.60,-7.57,-1.04,48.61,-56.51,104.84,41.77,-37.70,4.53,-50.73,22.32,,28.49,103.27,,-32.28,,,,,,,,,,,,,,,,,,,,
IncomeOtherOperatingCosts_qq,,-58.20,236.28,-32.22,22.24,-11.70,87.69,5.39,-278.37,111.89,70.21,-81.48,253.29,69.71,3.02,9.11,7.39,102.85,-100.00,,76.55,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,,,,
IncomeOtherOperatingCosts_sq,,-66.77,4.40,-39.14,27.23,-46.19,29.25,21.67,976.35,-66.46,39.27,14.92,107.35,-79.85,-14.42,-41.48,107.20,-93.32,-12.50,,207.49,-85.49,,-24.11,,,,,,,,,,,,,,,,,,,,,,,
IncomeEBIT,-26367000,43827000,51391000,60139000,-10210000,83507000,97975000,102102000,40710000,85352000,68072000,71541000,51085000,106894000,89729000,81515000,47616000,95999000,172758000,147962000,143581000,202990000,213081000,197659000,175449000,184614000,195086000,203300000,206900000,219400000,397700000,431800000,393500000,428700000,583500000,529200000,444400000,422800000,407500000,449100000,389900000,457200000,517000000,421900000,437900000,435500000,475600000
IncomeEBIT_yy,,,,,61.28,90.54,90.65,69.78,498.73,2.21,-30.52,-29.93,25.49,25.24,31.81,13.94,-6.79,-10.19,92.53,81.52,201.54,111.45,23.34,33.59,22.20,-9.05,-8.45,2.85,17.93,18.84,103.86,112.40,90.19,95.40,46.72,22.56,12.94,-1.38,-30.16,-15.14,-12.26,8.14,26.87,-6.06,12.31,-4.75,-8.01
IncomeEBIT_sy,,,,,94.53,53.32,-16.12,-66.61,90.52,0.82,-92.27,-27.75,-40.84,25.24,67.85,138.16,86.24,8.47,9.48,-4.58,60.56,-35.67,7.86,-32.18,-36.72,10.94,11.48,8.21,69.69,33.72,-10.14,-5.38,-42.14,-0.32,77.31,54.64,69.23,-1.38,-30.16,-17.83,12.67,8.14,-1.59,2.82,-1.97,45.35,32.54
IncomeEBIT_qq,,266.22,17.26,17.02,-116.98,917.89,17.33,4.21,-60.13,109.66,-20.25,5.10,-28.59,109.25,-16.06,-9.15,-41.59,101.61,79.96,-14.35,-2.96,41.38,4.97,-7.24,-11.24,5.22,5.67,4.21,1.77,6.04,81.27,8.57,-8.87,8.95,36.11,-9.31,-16.02,-4.86,-3.62,10.21,-13.18,17.26,13.08,-18.39,3.79,-0.55,9.21
IncomeEBIT_sq,,164.26,65.50,22.60,-23.85,-29.47,-1.17,-57.87,-23.08,54.79,-23.58,-6.57,11.85,54.24,5.52,11.64,-0.57,-40.16,-36.90,16.40,135.68,-81.97,4.97,-22.80,16.00,-16.62,18.90,-17.16,57.51,-33.31,-0.66,-7.78,14.04,12.62,36.11,-14.74,33.28,-36.57,10.14,-16.34,54.69,-14.24,13.08,-4.91,21.37,-7.21,55.66
IncomeFinanceIncome,32418000,2276000,7904000,8725000,71000,3821000,5529000,5308000,18651000,12939000,-242000,877000,745000,485000,312000,264000,227000,1615000,7705000,-2577000,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeFinanceIncome_yy,,,,,-99.78,67.88,-30.05,-39.16,26169.01,238.63,-104.38,-83.48,-96.01,-96.25,228.93,-69.90,-69.53,232.99,2369.55,-1076.14,-100.00,-100.00,-100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,
IncomeFinanceIncome_sy,,,,,-82.49,109.09,-21.21,-6.57,92.72,-10.78,66.94,-81.43,70.62,106.11,228.93,-73.72,-69.53,44.71,-75.11,100.00,91.82,40.25,-21.43,-18.12,,,,,,,,,,,,,,,,,,,,,,,
IncomeFinanceIncome_qq,,-92.98,247.28,10.39,-99.19,5281.69,44.70,-4.00,251.38,-30.63,-101.87,462.40,-15.05,-34.90,-35.67,-15.38,-14.02,611.45,377.09,-133.45,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeFinanceIncome_sq,,-88.40,122.48,10.39,0.87,34.78,-57.34,37.42,-2.67,-30.63,96.33,7.96,82.89,-54.39,-2.90,-84.98,6.80,13.31,15.10,36.96,101.16,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeFinanceCosts,3418000,4676000,4670000,12345000,2245000,7793000,5815000,3328000,7013000,8415000,-1559000,-1303000,479000,947000,7107000,-2543000,249000,3982000,91068000,214842000,45500000,-30071000,92458000,5265000,43130000,80075000,102425000,10700000,22800000,108800000,273300000,384700000,379200000,261300000,222100000,-88800000,270000000,182700000,133200000,127300000,122900000,185500000,113300000,104800000,105400000,72600000,98900000
IncomeFinanceCosts_yy,,,,,-34.32,66.66,24.52,-73.04,212.38,7.98,-126.81,-139.15,-93.17,-88.75,555.87,-95.17,-48.02,320.49,1181.38,8548.37,18173.09,-855.17,1.53,-97.55,-5.21,366.29,10.78,103.23,-47.14,35.87,166.83,3495.33,1563.16,140.17,-18.73,-123.08,-28.80,-30.08,-40.03,243.36,-54.48,1.53,-14.94,-17.67,-14.24,-60.86,-12.71
IncomeFinanceCosts_sy,,,,,97.72,42.78,147.19,290.26,156.38,18.40,-37.61,-89.99,-37.31,-69.44,75.06,-4.36,15.08,96.22,61.54,91.72,18.90,26.24,-8.02,36.14,50.00,-1.50,23.99,-22.03,-3.45,15.20,10.55,3.30,79.17,81.09,-51.37,-35.18,-46.14,-24.00,19.84,34.48,149.00,-20.19,92.56,1.30,32.95,-17.58,2.75
IncomeFinanceCosts_qq,,36.81,-0.13,164.35,-81.81,247.13,-25.38,-42.77,110.73,19.99,-118.53,16.42,136.76,97.70,650.48,-135.78,109.79,1499.20,2186.99,135.91,-78.82,-166.09,407.47,-94.31,719.18,85.66,27.91,-89.55,113.08,377.19,151.19,40.76,-1.43,-31.09,-15.00,-139.98,404.05,-32.33,-27.09,-4.43,-3.46,50.94,-38.92,-7.50,0.57,-31.12,36.23
IncomeFinanceCosts_sq,,84.21,13.50,-14.24,81.80,42.60,146.03,-39.09,60.70,-35.42,-18.60,-36.36,91.45,-12.87,99.50,-58.52,152.05,-53.75,17.13,18.84,-2.56,-14.08,65.58,29.72,16.36,-54.73,32.70,-44.80,166.67,-27.83,55.60,-31.84,46.06,-43.96,-45.45,42.50,39.88,55.19,1.65,1.96,134.17,-17.26,-5.04,-15.84,317.57,-48.66,36.23
IncomeOtherIncome,0,,,-17000,0,,,,0,,,,,,0,0,0,0,569000,918000,-14329000,13207000,-9220000,5333000,5033000,3835000,765000,7400000,4100000,1300000,23800000,1500000,-8800000,29400000,-11000000,-4700000,-2500000,-34400000,-22200000,13100000,-26300000,30500000,-14400000,-28000000,21900000,1800000,-46000000
IncomeOtherIncome_yy,,,,,,,,100.00,,,,,,,,,,,,,,,-1720.39,480.94,135.12,-70.96,108.30,38.76,-18.54,-66.10,3011.11,-79.73,-314.63,2161.54,-146.22,-413.33,71.59,-217.01,-101.82,378.72,-952.00,188.66,35.14,-313.74,183.27,-94.10,-219.44
IncomeOtherIncome_sy,,,,,,,,51.00,,,,,,,,,,,,,,,-133.48,-100.00,-69.23,34.72,74.15,105.90,15.22,-100.00,-100.00,-79.73,-314.63,-37.76,,-100.00,85.80,-31.32,-45.19,100.00,-100.00,100.00,,-241.73,98.40,-53.12,84.54
IncomeOtherIncome_qq,,,,,100.00,,,,,,,,,,,,,,,61.34,-1660.89,192.17,-169.81,157.84,-5.63,-23.80,-80.05,867.32,-44.59,-68.29,1730.77,-93.70,-686.67,434.09,-137.41,57.27,46.81,-1276.00,35.47,159.01,-300.76,215.97,-147.21,-94.44,178.21,-91.78,-2655.56
IncomeOtherIncome_sq,,,,,52.00,,,,,,,,,,,,,,,-59.16,40.00,100.00,-184.91,-11.41,19.10,75.77,-16.95,52.38,-44.59,-97.55,-75.37,3.15,-153.36,100.00,-88.89,-43.13,147.29,-101.04,35.47,100.00,-200.38,23.16,-100.00,-16.72,11.51,68.30,-26.06
IncomeNetGrossProfit,2633000,41427000,54625000,56502000,-12384000,79535000,97689000,104082000,52348000,89876000,69389000,73721000,51351000,106432000,82934000,84322000,47594000,93632000,89964000,-68539000,77009000,246268000,111403000,197727000,137352000,108374000,93426000,200000000,188200000,111900000,148200000,48600000,5500000,196800000,350400000,613300000,171900000,205700000,252100000,334900000,240700000,302200000,389300000,289100000,354400000,364700000,330700000
IncomeNetGrossProfit_yy,,,,,-570.34,91.99,78.84,84.21,522.71,13.00,-28.97,-29.17,-1.90,18.42,19.52,14.38,-7.32,-12.03,8.48,-181.28,61.80,163.02,23.83,388.49,78.36,-55.99,-16.14,1.15,37.02,3.25,58.63,-75.70,-97.08,75.87,136.44,1161.93,3025.45,4.52,-28.05,-45.39,40.02,46.91,54.42,-13.68,47.24,20.68,-15.05
IncomeNetGrossProfit_sy,,,,,12.37,42.24,-12.04,-46.01,21.14,-48.27,-40.62,-27.99,-29.31,18.42,132.53,121.68,59.25,30.54,-20.98,1.06,75.91,-55.26,31.04,-83.68,-37.55,16.62,-0.06,12.26,17.78,23.97,12.84,0.84,-92.08,-7.17,136.44,-9.04,87.32,-2.15,-45.88,-12.42,2.30,46.91,4.30,37.96,4.42,37.58,32.32
IncomeNetGrossProfit_qq,,1473.38,31.86,3.44,-121.92,742.24,22.83,6.54,-49.71,71.69,-22.79,6.24,-30.34,107.26,-22.08,1.67,-43.56,96.73,-3.92,-176.18,212.36,219.79,-54.76,77.49,-30.53,-21.10,-13.79,114.07,-5.90,-40.54,32.44,-67.21,-88.68,3478.18,78.05,75.03,-71.97,19.66,22.56,32.84,-28.13,25.55,28.82,-25.74,22.59,2.91,-9.32
IncomeNetGrossProfit_sq,,105.47,67.68,-15.45,4.36,-26.10,-7.08,-19.08,-26.85,71.69,-25.64,6.24,56.28,56.79,18.74,9.26,18.12,-18.09,-20.32,18.04,133.88,-86.01,77.92,-43.20,42.17,-26.73,39.22,-26.74,-9.43,-12.54,5.97,-26.40,-91.36,76.59,137.79,-64.50,33.88,8.08,12.73,-15.67,54.47,-14.58,-2.61,-0.36,-50.52,84.11,78.97
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,2633000,41427000,54625000,56502000,-12384000,79535000,97689000,104082000,52348000,89876000,69389000,73721000,51351000,106432000,82934000,84322000,47594000,93632000,89964000,-68539000,77009000,246268000,111403000,197727000,137352000,108374000,93426000,200000000,188200000,111900000,148200000,48600000,5500000,196800000,350400000,613300000,171900000,205700000,252100000,334900000,240700000,302200000,389300000,289100000,354400000,364700000,330700000
IncomeBeforeTaxProfit_yy,,,,,-570.34,91.99,78.84,84.21,522.71,13.00,-28.97,-29.17,-1.90,18.42,19.52,14.38,-7.32,-12.03,8.48,-181.28,61.80,163.02,23.83,388.49,78.36,-55.99,-16.14,1.15,37.02,3.25,58.63,-75.70,-97.08,75.87,136.44,1161.93,3025.45,4.52,-28.05,-45.39,40.02,46.91,54.42,-13.68,47.24,20.68,-15.05
IncomeBeforeTaxProfit_sy,,,,,12.37,42.24,-12.04,-46.01,21.14,-48.27,-40.62,-27.99,-29.31,18.42,132.53,121.68,59.25,30.79,-20.98,1.06,75.91,-55.26,31.04,-83.68,-37.55,16.62,-0.06,12.26,17.78,23.97,12.84,0.84,-92.08,-7.17,136.44,-9.04,87.32,-2.15,-45.88,-12.42,2.30,46.91,4.30,37.96,4.42,37.58,32.32
IncomeBeforeTaxProfit_qq,,1473.38,31.86,3.44,-121.92,742.24,22.83,6.54,-49.71,71.69,-22.79,6.24,-30.34,107.26,-22.08,1.67,-43.56,96.73,-3.92,-176.18,212.36,219.79,-54.76,77.49,-30.53,-21.10,-13.79,114.07,-5.90,-40.54,32.44,-67.21,-88.68,3478.18,78.05,75.03,-71.97,19.66,22.56,32.84,-28.13,25.55,28.82,-25.74,22.59,2.91,-9.32
IncomeBeforeTaxProfit_sq,,105.47,67.68,-15.45,4.36,-26.10,-7.08,-19.08,-26.85,71.69,-25.64,6.24,56.28,56.79,18.74,9.26,18.12,-18.09,-20.32,18.04,133.88,-86.01,77.92,-43.20,42.17,-26.73,39.22,-26.74,-9.43,-12.54,5.97,-26.40,-91.36,76.59,137.79,-64.50,33.88,8.08,12.73,-15.67,54.47,-14.58,-2.61,-0.36,-50.52,84.11,78.97
IncomeDiscontinuedProfit,-18000,8000,19000,-19000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,100.00,-100.00,-100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,100.00,-100.00,-100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,144.44,137.50,-200.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,144.44,137.50,-200.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,1249000,32076000,44956000,45312000,-8921000,64008000,78955000,84206000,42594000,72649000,56066000,60160000,41444000,86134000,66994000,68393000,36949000,76398000,69482000,-61987000,76297000,205109000,99503000,172062000,121624000,95105000,80795000,176400000,173200000,98200000,132100000,48200000,14000000,170800000,304500000,502500000,185600000,178500000,230900000,269800000,341800000,271400000,281700000,234900000,157200000,292200000,231400000
IncomeNetProfit_yy,,,,,-814.25,99.55,75.63,85.84,577.46,13.50,-28.99,-28.56,-2.70,18.56,19.49,13.69,-10.85,-11.30,3.71,-190.63,106.49,168.47,43.21,377.58,59.41,-53.63,-18.80,2.52,42.41,3.25,63.50,-72.68,-91.92,73.93,130.51,942.53,1225.71,4.51,-24.17,-46.31,84.16,52.04,22.00,-12.94,-54.01,7.66,-17.86
IncomeNetProfit_sy,,,,,16.96,65.26,-12.12,-53.76,26.85,-60.26,-37.08,-30.70,-2.84,18.56,109.30,125.06,57.82,33.04,-6.06,1.80,80.87,-52.84,40.02,-70.33,-28.49,14.87,-2.47,32.85,95.08,6.48,2.81,-5.38,-61.29,-16.11,130.51,1.54,78.95,2.93,-42.93,-27.64,17.40,9.51,7.71,39.50,-37.37,73.72,60.65
IncomeNetProfit_qq,,2468.13,40.15,0.79,-119.69,817.50,23.35,6.65,-49.42,70.56,-22.83,7.30,-31.11,107.83,-22.22,2.09,-45.98,106.77,-9.05,-189.21,223.09,168.83,-51.49,72.92,-29.31,-21.80,-15.05,118.33,-1.81,-43.30,34.52,-63.51,-70.95,1120.00,78.28,65.02,-63.06,-3.83,29.36,16.85,26.69,-20.60,3.80,-16.61,-33.08,85.88,-20.81
IncomeNetProfit_sq,,103.74,82.56,-13.83,1.80,84.60,13.65,-16.98,-27.44,70.56,-22.83,-3.58,55.20,58.48,-8.32,17.56,-10.20,-19.42,-19.52,58.13,133.31,-82.99,74.38,-47.58,41.38,-33.10,40.36,-32.45,72.95,-1.17,24.24,-49.74,-92.25,71.10,130.56,-69.43,26.10,-3.83,1.98,-17.58,137.62,-47.99,-5.30,-1.60,-46.57,85.88,100.76
IncomeShareholderNetProfit,1253000,32074000,44951000,45317000,-8921000,64008000,78955000,84206000,42594000,72649000,56066000,60160000,41444000,86134000,66971000,68393000,36949000,76398000,69482000,-61987000,76297000,205109000,99503000,172062000,121624000,95105000,80795000,176400000,173200000,98200000,132100000,48200000,14000000,170800000,304500000,502500000,185600000,175500000,237700000,278200000,349900000,279400000,291200000,242900000,167100000,300800000,235800000
