,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrInvestments_sq,,,,,,,,,,
BalanceOtherNoncurrentAssets,88000,120000,135000,394000,444000,446000,480000,325000,222000,272000
BalanceOtherNoncurrentAssets_yy,,,,,404.55,271.67,255.56,-17.51,-50.00,-39.01
BalanceOtherNoncurrentAssets_sy,,,,,0.79,-2.48,2.08,-7.70,-16.95,-12.68
BalanceOtherNoncurrentAssets_qq,,36.36,12.50,191.85,12.69,0.45,7.62,-32.29,-31.69,22.52
BalanceOtherNoncurrentAssets_sq,,6.66,,1.69,,-0.05,,0.09,-3.72,2.28
BalanceCurrentAssets,24462000,27676000,34731000,49927000,51127000,88187000,64095000,67517000,64571000,69884000
BalanceCurrentAssets_yy,,,,,109.01,218.64,84.55,35.23,26.30,-20.75
BalanceCurrentAssets_sy,,,,,-9.13,-4.92,-13.17,13.66,20.62,23.73
BalanceCurrentAssets_qq,,13.14,25.49,43.75,2.40,72.49,-27.32,5.34,-4.36,8.23
BalanceCurrentAssets_sq,,-2.76,2.59,-12.10,-2.02,9.26,-1.74,12.59,-0.84,4.77
BalanceInventory,14881000,18054000,25696000,34558000,41846000,43128000,37288000,33399000,41938000,46732000
BalanceInventory_yy,,,,,181.20,138.88,45.11,-3.35,0.22,8.36
BalanceInventory_sy,,,,,-24.06,-28.18,-23.10,6.41,12.01,18.86
BalanceInventory_qq,,21.32,42.33,34.49,21.09,3.06,-13.54,-10.43,25.57,11.43
BalanceInventory_sq,,-8.18,,-24.68,19.28,-1.00,-4.38,-4.82,31.13,9.51
BalanceCurrentReceivables,8998000,8866000,8147000,14380000,8304000,8213000,9559000,12741000,8826000,12140000
BalanceCurrentReceivables_yy,,,,,-7.71,-7.37,17.33,-11.40,6.29,47.81
BalanceCurrentReceivables_sy,,,,,-6.04,-13.90,-5.46,-10.15,-4.28,22.50
BalanceCurrentReceivables_qq,,-1.47,-8.11,76.51,-42.25,-1.10,16.39,33.29,-30.73,37.55
BalanceCurrentReceivables_sq,,-1.58,1.97,-4.57,-2.79,-0.40,0.16,23.84,-7.46,4.44
BalanceCurrentInvestments,287000,348000,348000,36000,36000,36000,85000,36000,57000,286000
BalanceCurrentInvestments_yy,,,,,-87.46,-89.66,-75.57,,58.33,694.44
BalanceCurrentInvestments_sy,,,,,-13.82,-84.67,13.66,,36.31,694.44
BalanceCurrentInvestments_qq,,21.25,,-89.66,,,136.11,-57.65,58.33,401.75
BalanceCurrentInvestments_sq,,11.12,,,,,110.32,-57.65,29.14,401.75
BalanceCash,144000,236000,147000,639000,537000,35981000,16419000,20735000,13303000,9915000
BalanceCash_yy,,,,,272.92,15146.19,11069.39,3144.91,2377.28,-72.44
BalanceCash_sy,,,,,61.90,14.98,3.63,44.92,175.76,-32.74
BalanceCash_qq,,63.89,-37.71,334.69,-15.96,6600.37,-54.37,26.29,-35.84,-25.47
BalanceCash_sq,,7.09,36.22,-8.50,-32.20,51.69,-2.46,27.23,-14.45,
BalanceOtherCurrentAssets,152000,172000,393000,314000,404000,829000,744000,606000,447000,811000
BalanceOtherCurrentAssets_yy,,,,,165.79,381.98,89.31,92.99,10.64,-2.17
BalanceOtherCurrentAssets_sy,,,,,-7.77,-15.77,7.15,28.34,99.98,99.43
BalanceOtherCurrentAssets_qq,,13.16,128.49,-20.10,28.66,105.20,-10.25,-18.55,-26.24,81.43
BalanceOtherCurrentAssets_sq,,-0.89,-13.47,-10.81,12.83,-10.53,-2.68,-14.79,147.21,0.27
BalanceAssetsForSale,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,
BalanceTotalAssets,25768000,28873000,35967000,51931000,53283000,90467000,66435000,69681000,66986000,75122000
BalanceTotalAssets_yy,,,,,106.78,213.33,84.71,34.18,25.72,-16.96
BalanceTotalAssets_sy,,,,,-9.36,-6.33,-5.28,-0.78,4.34,0.04
BalanceTotalAssets_qq,,12.05,24.57,44.39,2.60,69.79,-26.56,4.89,-3.87,12.15
BalanceTotalAssets_sq,,-0.03,-1.12,-5.14,-0.16,-0.43,-1.22,5.38,-0.67,0.58
BalanceCapital,8875000,11195000,14776000,17593000,19713000,55791000,57900000,61327000,62602000,62964000
BalanceCapital_yy,,,,,122.12,398.36,291.85,248.59,217.57,12.86
BalanceCapital_sy,,,,,-31.52,-39.82,-58.60,-24.60,-3.60,3.54
BalanceCapital_qq,,26.14,31.99,19.06,12.05,183.02,3.78,5.92,2.08,0.58
BalanceCapital_sq,,-4.28,0.56,-18.25,0.72,-2.82,0.40,1.04,2.51,-0.02
BalanceShareCapital,102000,102000,102000,102000,102000,135000,135000,135000,135000,135000
BalanceShareCapital_yy,,,,,,32.35,32.35,32.35,32.35,
BalanceShareCapital_sy,,,,,,,,0.03,,
BalanceShareCapital_qq,,,,,,32.35,,,,
BalanceShareCapital_sq,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,
BalanceReserve,4584000,4584000,7243000,7409000,17626000,52171000,52171000,52171000,52171000,58767000
BalanceReserve_yy,,,,,284.51,1038.11,620.30,604.16,195.99,12.64
BalanceReserve_sy,,,,,5.54,-0.04,-7.02,-20.76,-9.97,
BalanceReserve_qq,,,58.01,2.29,137.90,195.99,,,,12.64
BalanceReserve_sq,,,,,,-0.04,,,,0.06
BalanceNonshareCapital,-20000,-20000,-24000,-29000,-30000,-32000,-34000,-35000,-38000,515000
BalanceNonshareCapital_yy,,,,,-50.00,-60.00,-41.67,-20.69,-26.67,1709.38
BalanceNonshareCapital_sy,,,,,-29.94,-33.08,-27.77,-6.42,-13.34,854.69
BalanceNonshareCapital_qq,,,-20.00,-20.83,-3.45,-6.67,-6.25,-2.94,-8.57,1455.26
BalanceNonshareCapital_sq,,,,-20.83,-3.20,-4.18,,-2.94,-4.28,727.63
BalanceNoncurrentLiabilities,621000,761000,1262000,1039000,1889000,1737000,1775000,755000,531000,1016000
BalanceNoncurrentLiabilities_yy,,,,,204.19,128.25,40.65,-27.33,-71.89,-41.51
BalanceNoncurrentLiabilities_sy,,,,,-18.53,-28.12,-10.92,-12.69,-5.47,-6.30
BalanceNoncurrentLiabilities_qq,,22.54,65.83,-17.67,81.81,-8.05,2.19,-57.46,-29.67,91.34
BalanceNoncurrentLiabilities_sq,,-1.92,-1.49,-15.90,-1.51,-11.87,,-3.36,,-7.45
BalanceNoncurrentTradeLiabilities,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,
BalanceNoncurrentBorrowings,461000,431000,452000,519000,490000,594000,533000,469000,281000,614000
BalanceNoncurrentBorrowings_yy,,,,,6.29,37.82,17.92,-9.63,-42.65,3.37
BalanceNoncurrentBorrowings_sy,,,,,-21.60,-7.16,17.92,-9.63,11.01,-6.30
BalanceNoncurrentBorrowings_qq,,-6.51,4.87,14.82,-5.59,21.22,-10.27,-12.01,-40.09,118.51
BalanceNoncurrentBorrowings_sq,,-4.92,-0.62,1.38,-4.60,0.08,-1.26,-4.13,-2.10,-13.40
BalanceNoncurrentObligations,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,160000,330000,810000,520000,1399000,1143000,1242000,286000,250000,402000
BalanceNoncurrentOtherLiabilities_yy,,,,,774.38,246.36,53.33,-45.00,-82.13,-64.83
BalanceNoncurrentOtherLiabilities_sy,,,,,-15.83,-26.50,-42.77,-10.20,2.32,1.16
BalanceNoncurrentOtherLiabilities_qq,,106.25,145.45,-35.80,169.04,-18.30,8.66,-76.97,-12.59,60.80
BalanceNoncurrentOtherLiabilities_sq,,-0.94,-2.49,-11.28,-1.72,-17.00,0.02,0.04,-1.76,-1.01
BalanceCurrentLiabilities,16292000,16937000,19953000,33328000,31711000,32971000,6794000,7634000,3891000,10627000
BalanceCurrentLiabilities_yy,,,,,94.64,94.67,-65.95,-77.09,-87.73,-67.77
BalanceCurrentLiabilities_sy,,,,,14.08,11.76,-15.62,9.64,-8.71,13.52
BalanceCurrentLiabilities_qq,,3.96,17.81,67.03,-4.85,3.97,-79.39,12.36,-49.03,173.12
BalanceCurrentLiabilities_sq,,2.88,2.83,9.98,0.34,2.21,-5.21,18.01,-15.10,42.07
BalanceCurrentTradePayablesv,2577000,4457000,4002000,8588000,3912000,4654000,3663000,4672000,2329000,8136000
BalanceCurrentTradePayablesv_yy,,,,,51.80,4.42,-8.47,-45.60,-40.47,74.82
BalanceCurrentTradePayablesv_sy,,,,,1.74,4.42,-5.60,-7.20,3.60,2.29
BalanceCurrentTradePayablesv_qq,,72.95,-10.21,114.59,-54.45,18.97,-21.29,27.55,-50.15,249.33
BalanceCurrentTradePayablesv_sq,,2.24,-6.91,16.26,-12.82,1.73,-2.05,22.24,-12.47,3.66
BalanceCurrentBorrowings,13427000,11691000,14368000,20808000,27493000,28296000,2971000,2093000,1050000,2256000
BalanceCurrentBorrowings_yy,,,,,104.76,142.03,-79.32,-89.94,-96.18,-92.03
BalanceCurrentBorrowings_sy,,,,,10.31,-4.28,-33.46,16.46,-54.60,55.16
BalanceCurrentBorrowings_qq,,-12.93,22.90,44.82,32.13,2.92,-89.50,-29.55,-49.83,114.86
BalanceCurrentBorrowings_sq,,2.18,0.28,-9.37,33.10,2.73,-5.18,1.16,-34.94,113.68
BalanceCurrentObligations,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,
BalanceCurrentOtherLiabilities,288000,789000,1583000,3932000,306000,21000,160000,869000,512000,225000
BalanceCurrentOtherLiabilities_yy,,,,,6.25,-97.34,-89.89,-77.90,67.32,971.43
BalanceCurrentOtherLiabilities_sy,,,,,9.04,-20.36,-27.84,2.71,27.27,22.20
BalanceCurrentOtherLiabilities_qq,,173.96,100.63,148.39,-92.22,-93.14,661.90,443.13,-41.08,-56.05
BalanceCurrentOtherLiabilities_sq,,20.00,-4.16,13.88,-0.55,-13.62,-1.01,99.84,0.56,-3.39
BalanceReckoning,,,,,,,,,,10000
BalanceReckoning_yy,,,,,,,,,,
BalanceReckoning_sy,,,,,,,,,,
BalanceReckoning_qq,,,,,,,,,,
BalanceReckoning_sq,,,,,,,,,,
BalanceTotalEquityAndLiabilities,25768000,28873000,35967000,51931000,53283000,90467000,66435000,69681000,66986000,75122000
BalanceTotalEquityAndLiabilities_yy,,,,,106.78,213.33,84.71,34.18,25.72,-16.96
BalanceTotalEquityAndLiabilities_sy,,,,,-9.36,-6.33,-5.28,-0.78,4.34,0.04
BalanceTotalEquityAndLiabilities_qq,,12.05,24.57,44.39,2.60,69.79,-26.56,4.89,-3.87,12.15
BalanceTotalEquityAndLiabilities_sq,,-0.03,-1.12,-5.14,-0.16,-0.43,-1.22,5.38,-0.67,0.58
CashflowOperatingCashflow,-3647000,2069000,-3006000,-3257000,-6479000,-10000,5515000,5240000,-5786000,-2000000
CashflowOperatingCashflow_yy,,,,,-77.65,-100.48,283.47,260.88,10.70,-19900.00
CashflowOperatingCashflow_sy,,,,,-25.04,-26.15,-20.80,1.12,10.70,-16.87
CashflowOperatingCashflow_qq,,156.73,-245.29,-8.35,-98.93,99.85,55250.00,-4.99,-210.42,65.43
CashflowOperatingCashflow_sq,,42.51,24.42,-14.65,-33.33,54.68,-7.99,-11.85,-29.39,34.39
CashflowAmortization,59000,65000,77000,78000,83000,90000,89000,96000,100000,115000
CashflowAmortization_yy,,,,,40.68,38.46,15.58,23.08,20.48,27.78
CashflowAmortization_sy,,,,,4.31,3.06,-7.48,-12.62,-1.05,-0.93
CashflowAmortization_qq,,10.17,18.46,1.30,6.41,8.43,-1.11,7.87,4.17,15.00
CashflowAmortization_sq,,1.77,6.18,-1.62,-7.40,-0.10,-4.00,6.02,-4.00,4.17
CashflowInvestingCashflow,-1000,100000,192000,190000,-8000,105000,-104000,-87000,-413000,-875000
CashflowInvestingCashflow_yy,,,,,-700.00,5.00,-154.17,-145.79,-5062.50,-933.33
CashflowInvestingCashflow_sy,,,,,26.67,16.71,-10.45,-26.08,-243.82,-15.51
CashflowInvestingCashflow_qq,,10100.00,92.00,-1.04,-104.21,1412.50,-199.05,16.35,-374.71,-111.86
CashflowInvestingCashflow_sq,,84.16,-15.16,22.66,-100.00,50.57,-54.10,-2.72,-48.24,14.47
CashflowCapex,1000,20000,21000,-2000,8000,4000,115000,87000,455000,623000
CashflowCapex_yy,,,,,700.00,-80.00,447.62,4450.00,5587.50,15475.00
CashflowCapex_sy,,,,,-85.10,48.75,93.08,27.51,-6.93,19.48
CashflowCapex_qq,,1900.00,5.00,-109.52,500.00,-50.00,2775.00,-24.35,422.99,36.92
CashflowCapex_sq,,-90.96,21.44,6.87,68.86,-40.45,42.38,-20.56,39.40,-13.15
CashflowFinancingCashflow,3597000,-2077000,2726000,3560000,6385000,35349000,-24973000,-837000,-1234000,-512000
CashflowFinancingCashflow_yy,,,,,77.51,1801.93,-1016.10,-123.51,-119.33,-101.45
CashflowFinancingCashflow_sy,,,,,-8.31,6.44,26.57,-13.40,-8.53,-2.94
CashflowFinancingCashflow_qq,,-157.74,231.25,30.59,79.35,453.63,-170.65,96.65,-47.43,58.51
CashflowFinancingCashflow_sq,,-53.69,1.50,21.82,61.86,-35.16,44.42,95.50,-47.43,-41.07
CashflowShareCapitalCash,,,,,,34578000,0,0,,4000
CashflowShareCapitalCash_yy,,,,,,,,,,-99.99
CashflowShareCapitalCash_sy,,,,,,,,,,-99.99
CashflowShareCapitalCash_qq,,,,,,,-100.00,,,
CashflowShareCapitalCash_sq,,,,,,,-100.00,,,
CashflowDividend,630000,0,0,2000000,,,,,,141000
CashflowDividend_yy,,,,,-100.00,,,-100.00,,
CashflowDividend_sy,,,,,-100.00,,,-100.00,,
CashflowDividend_qq,,-100.00,,,-100.00,,,,,
CashflowDividend_sq,,-100.00,,,-100.00,,,,,
CashflowNetCashflow,-51000,92000,-88000,493000,-102000,35444000,-19562000,4316000,-7433000,-3387000
CashflowNetCashflow_yy,,,,,-100.00,38426.09,-22129.55,775.46,-7187.25,-109.56
CashflowNetCashflow_sy,,,,,-102.81,98.79,-83.29,59.50,59.51,-104.38
CashflowNetCashflow_qq,,280.39,-195.65,660.23,-120.69,34849.02,-155.19,122.06,-272.22,54.43
CashflowNetCashflow_sq,,110.30,89.38,83.52,-120.76,167.77,-79.00,278.79,-130.58,54.43
