,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentLiabilities,13045000,10247000,14706000,6798000,9422000,5438000,6781000,4549000,6525000,6250000,5385000,3238000,2162000,45000,57000,702000,1130000,1570000,1866000,210000,214000,201000,173000,145000,118000,985000,6802000,209000,182000,154000,7383000,6988000,6664000,5584000,1077000
BalanceCurrentTradePayablesv,400000,316000,240000,497000,895000,1128000,1121000,1419000,1095000,1074000,,,,,,,,,,,,,,,,,,,,,,,1320000,1320000,6600000
BalanceCurrentBorrowings,6600000,5280000,5280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,6755000,167000,5004000,4909000,5256000,7062000,2447000,1193000,3176000,1003000,1061000,878000,1422000,1126000,956000,908000,1736000,911000,749000,757000,3735000,5441000,751000,671000,1865000,1824000,625000,606000,636000
BalanceCurrentLeasing,679000,826000,897000,2733000,0,0,,45048000,53973000,76905000,0,0,263000,692000,2088000,7395000,11077000,290000,9000,16979000,24530000,31467000,41506000,24118000,38176000,46653000,54122000,6947000,9591000,17991000,26895000,47612000,48694000,22786000,47074000
BalanceCurrentOtherLiabilities,56109000,74740000,0,120760000,126929000,150454000,0,76020000,74357000,74633000,73331000,70684000,72130000,76435000,68646000,76369000,82614000,102856000,110696000,120066000,130652000,145858000,100168000,107938000,114658000,126799000,131214000,70784000,76604000,87983000,97424000,120396000,116311000,89200000,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-113000,-261000,-525000,-1551000,-1976000,-1745000,14447000,1584000,-9498000,-2490000,-3364000,-3510000,-4444000,1431000,43000,-1215000,-2815000,-364000,331000,-779000,-4696000,874000,6539000,2026000,2011000,1920000,4116000,968000,-1940000,614000,1515000,2991000,12043000,13393000,3569000
CashflowAmortization,25000,24000,22000,29000,40000,41000,42000,36000,29000,40000,54000,54000,48000,52000,49000,43000,31000,30000,30000,29000,30000,37000,42000,43000,41000,42000,42000,42000,42000,42000,86000,85000,86000,67000,96000
CashflowInvestingCashflow,137000,-4000,47000,0,0,-40000,-20000,0,0,12000,0,-7000,,,-57000,0,0,119000,-22000,0,-5000,-9000,0,0,0,62000,0,0,-1000,-39000,-121000,4000,0,0,0
CashflowCapex,57000,20000,0,0,,7000,,,,57000,0,0,,22000,0,5000,9000,0,0,0,5000,0,0,0,39000,-453000,-1000,-28000,3798000,18922000,-106000,-98000,-2162000,-666000,-3742000
CashflowFinancingCashflow,-390000,-2031000,-73000,-148000,-61000,211000,5735000,1439000,5681000,-1486000,-257000,-736000,-533000,-4251000,-1970000,-1188000,-1821000,-452000,-6677000,2420000,-142000,-495000,-1108000,-402000,-1627000,,,,,19451000,,,,,
CashflowShareCapitalCash,,,,,,,,,,,,,,,,,,,,,,,,-65000,,0,0,,,1906000,0,,,1858000,0
CashflowDividend,,,619000,0,,,743000,0,,,2973000,0,,,1239000,,372000,0,,1363000,-429000,-266000,-506000,2247000,16946000,-1891000,14329000,-578000,-10164000,-6232000,-3742000,-5541000,-4524000,1283000,-18000
CashflowNetCashflow,-1004000,2920000,1075000,5955000,-2265000,-4953000,257000,5984000,-2225000,36000,723000,2295000,516000,-8617000,3096000,1373000,2496000,10934000,12991000,1903000,,,,,,,,,,,,,,,
