,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceCosts_sy,,,,,-26.85,-1.14,-12.66,22.17,30.90,24.32,1.59,-12.22,-11.48,-7.74,8.22,23.81,7.96,-1.64,14.00,1.30,3.21,25.70,-1.28,21.34
IncomeFinanceCosts_qq,,-28.60,21.08,-31.25,44.45,-24.82,32.85,12.27,21.18,-7.48,-10.55,-1.62,11.36,1.58,-0.55,0.72,12.61,10.03,0.89,60.10,-5.01,2.16,31.49,85.71
IncomeFinanceCosts_sq,,-26.68,-10.57,-8.50,-12.04,19.20,-13.32,7.07,6.33,11.29,-25.46,-5.10,-2.13,21.20,-11.61,27.22,-12.04,7.36,-0.98,0.79,0.79,20.66,-9.06,31.18
IncomeOtherIncome,199000,64000,480000,,,,,,,338000,143000,76000,132000,-40000,63000,9000,9000,-403000,79000,205000,-76000,1539000,2232000,1826000
IncomeOtherIncome_yy,,,,,-100.00,-100.00,-100.00,,,,,,,-111.92,-55.92,-88.17,-93.45,-900.64,25.70,2183.64,-985.11,481.96,2709.64,790.96
IncomeOtherIncome_sy,,,,,9.23,100.00,18.22,,,,,,,-52.10,-69.56,38.24,-93.45,24.04,25.70,-100.00,-21.43,70.20,-2.40,27.69
IncomeOtherIncome_qq,,-67.84,650.00,-100.00,,,,,,,-57.55,-47.07,73.78,-130.54,256.95,-85.80,-3.83,-4767.57,119.72,158.05,-137.27,2114.21,45.02,-18.17
IncomeOtherIncome_sq,,-67.84,100.00,-56.19,,,,,,,-3.87,-48.53,75.73,-100.00,80.81,-33.21,-29.29,57.28,-9.09,5.11,6.52,94.80,-59.38,11.62
IncomeNetGrossProfit,6857000,16186000,860000,8775000,2388000,22509000,2382000,5694000,10071000,21490000,8402000,407000,1412000,11750000,4897000,657000,-871000,13273000,4630000,-9199000,19733000,-6470000,-4336000,-22498000
IncomeNetGrossProfit_yy,,,,,-65.17,39.07,176.99,-35.10,321.72,-4.53,252.69,-92.84,-85.98,-45.32,-41.72,61.25,-161.69,12.96,-5.45,-1500.12,2365.42,-148.75,-193.65,-144.56
IncomeNetGrossProfit_sy,,,,,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeNetGrossProfit_qq,,136.06,-94.69,920.31,-72.78,842.55,-89.42,139.04,76.87,113.38,-60.90,-95.15,246.53,732.18,-58.32,-86.58,-232.57,1623.73,-65.12,-298.69,314.51,-132.79,32.98,-418.87
IncomeNetGrossProfit_sq,,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,6857000,16186000,860000,8775000,2388000,22509000,2382000,5694000,10071000,21490000,8402000,407000,1412000,11750000,4897000,657000,-871000,13273000,4630000,-9199000,19733000,-6470000,-4336000,-22498000
IncomeBeforeTaxProfit_yy,,,,,-65.17,39.07,176.99,-35.10,321.72,-4.53,252.69,-92.84,-85.98,-45.32,-41.72,61.25,-161.69,12.96,-5.45,-1500.12,2365.42,-148.75,-193.65,-144.56
IncomeBeforeTaxProfit_sy,,,,,23.68,39.90,67.90,22.88,29.31,17.80,34.35,5.80,23.36,-10.40,-27.16,-4.45,-5.36,9.40,18.59,-32.16,2.96,-26.39,-1.28,22.01
IncomeBeforeTaxProfit_qq,,136.06,-94.69,920.31,-72.78,842.55,-89.42,139.04,76.87,113.38,-60.90,-95.15,246.53,732.18,-58.32,-86.58,-232.57,1623.73,-65.12,-298.69,314.51,-132.79,32.98,-418.87
IncomeBeforeTaxProfit_sq,,-58.34,-20.48,6.42,38.07,-18.54,-9.79,24.98,16.24,-47.98,13.78,11.32,1.14,-4.34,-1.84,18.51,-16.47,6.91,-2.61,-30.04,37.48,-21.98,7.38,-6.86
IncomeDiscontinuedProfit,-189000,-108000,,-237000,0,0,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,100.00,100.00,,100.00,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,95.35,-100.00,,100.00,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,42.99,100.00,,100.00,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,8.17,-96.90,,100.00,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,4640000,14025000,350000,7712000,1690000,18582000,1494000,4929000,7814000,18684000,6086000,-247000,834000,8903000,2976000,1398000,-1402000,5486000,3401000,-7741000,17133000,29824000,-4061000,-21834000
IncomeNetProfit_yy,,,,,-63.58,32.49,326.72,-36.08,362.43,0.55,307.49,-105.02,-89.33,-52.35,-51.10,665.20,-268.20,-38.38,14.29,-653.70,1321.76,443.64,-219.40,-182.05
IncomeNetProfit_sy,,,,,22.90,32.46,56.00,37.79,34.75,8.14,41.94,1.61,29.53,-14.87,-15.21,4.69,-17.38,0.21,19.91,-39.89,13.49,-11.55,-9.96,51.70
IncomeNetProfit_qq,,202.28,-97.50,2103.42,-78.09,999.64,-91.96,230.05,58.52,139.11,-67.43,-104.06,437.03,967.83,-66.57,-53.02,-200.30,491.21,-38.01,-327.62,321.32,74.07,-113.62,-437.69
IncomeNetProfit_sq,,-42.96,-32.39,0.42,36.81,-27.57,-5.94,18.62,8.59,-37.73,-11.18,24.75,12.14,-23.20,-1.51,11.16,-8.65,-4.53,14.21,-29.32,23.55,-24.91,17.54,-8.36
IncomeShareholderNetProfit,3993000,13039000,-512000,7776000,1956000,17951000,874000,4187000,7575000,17046000,5890000,-270000,975000,8538000,2450000,588000,-884000,5690000,3534000,-7624000,17078000,33046000,-4360000,-22733000
IncomeShareholderNetProfit_yy,,,,,-51.02,37.67,270.70,-46.16,287.35,-5.04,573.93,-106.45,-87.13,-49.91,-58.41,317.57,-190.74,-33.36,44.25,-1397.15,2031.13,480.79,-223.36,-198.16
IncomeShareholderNetProfit_sy,,,,,22.85,35.22,56.00,36.08,25.55,9.97,42.03,14.59,39.16,-14.93,-16.46,14.12,-22.26,0.21,10.04,-39.89,14.16,-7.32,-10.11,46.79
IncomeShareholderNetProfit_qq,,226.59,-103.93,1618.72,-74.85,817.94,-95.13,379.00,80.94,125.04,-65.45,-104.59,460.76,776.06,-71.31,-76.01,-250.45,743.39,-37.88,-315.73,323.99,93.50,-113.19,-421.40
IncomeShareholderNetProfit_sq,,-54.78,-26.66,1.17,65.95,-24.38,-12.57,19.58,6.76,-33.49,-8.38,25.93,18.69,-33.34,-1.51,29.06,-17.16,6.33,14.78,-29.22,43.74,-24.98,17.54,-4.30
BalanceNoncurrentAssets,,323630000,,325157000,322420000,346371000,391977000,386873000,457898000,479524000,471689000,475177000,478524000,488909000,498664000,499882000,524417000,643909000,587593000,647126000,1014146000,1065621000,1069685000,1104398000
BalanceNoncurrentAssets_yy,,,,,,7.03,,18.98,42.02,38.44,20.34,22.83,4.50,1.96,5.72,5.20,9.59,31.70,17.83,29.46,93.39,65.49,82.05,70.66
BalanceNoncurrentAssets_sy,,,,,,3.70,,2.54,10.33,9.70,3.98,6.29,6.63,6.82,13.71,8.31,9.99,9.71,6.71,1.32,2.24,-0.52,3.24,6.48
BalanceNoncurrentAssets_qq,,,-100.00,,-0.84,7.43,13.17,-1.30,18.36,4.72,-1.63,0.74,0.70,2.17,2.00,0.24,4.91,22.79,-8.75,10.13,56.72,5.08,0.38,3.25
BalanceNoncurrentAssets_sq,,,-0.71,,-0.84,2.52,-0.28,0.51,0.88,-0.03,-0.67,2.72,1.14,2.24,0.62,0.90,0.26,0.10,-0.21,1.04,0.37,-0.23,0.68,-0.24
BalanceIntangibleAssets,,13149000,,19545000,19588000,13736000,27767000,27677000,72696000,73020000,72524000,72087000,72847000,76300000,75968000,75343000,109239000,136010000,127898000,129699000,127510000,173061000,172154000,175570000
BalanceIntangibleAssets_yy,,,,,,4.46,,41.61,271.12,431.61,161.19,160.45,0.21,4.49,4.75,4.52,49.96,78.26,68.36,72.15,16.73,27.24,34.60,35.37
BalanceIntangibleAssets_sy,,,,,,0.80,,-0.57,6.02,0.39,2.34,-0.04,-0.10,4.20,6.62,5.03,6.01,0.82,0.06,-0.66,0.02,-1.84,0.04,0.66
BalanceIntangibleAssets_qq,,,-100.00,,0.22,-29.88,102.15,-0.32,162.65,0.45,-0.68,-0.60,1.05,4.74,-0.43,-0.82,44.99,24.51,-5.96,1.41,-1.69,35.72,-0.52,1.98
BalanceIntangibleAssets_sq,,,-1.67,,-1.68,-1.04,-0.72,-0.32,-0.73,0.26,-1.40,-0.79,-0.19,1.67,-0.53,0.18,-0.29,0.35,-0.77,-0.22,-0.27,-0.54,-0.14,-0.11
BalanceProperty,,305107000,,295566000,292080000,320950000,358612000,353024000,378238000,401189000,393762000,396894000,395955000,405593000,415696000,417199000,407431000,494687000,450349000,503302000,806770000,815977000,824090000,836522000
BalanceProperty_yy,,,,,,5.19,,19.44,29.50,25.00,9.80,12.43,4.68,1.10,5.57,5.12,2.90,21.97,8.34,20.64,98.01,64.95,82.99,66.21
BalanceProperty_sy,,,,,,1.27,,8.52,3.40,4.90,5.25,5.88,4.68,5.72,5.57,4.03,3.33,3.26,1.03,-0.23,2.01,-0.04,2.24,2.38
BalanceProperty_qq,,,-100.00,,-1.18,9.88,11.73,-1.56,7.14,6.07,-1.85,0.80,-0.24,2.43,2.49,0.36,-2.34,21.42,-8.96,11.76,60.30,1.14,0.99,1.51
BalanceProperty_sq,,,-1.01,,-0.99,0.08,-0.64,-0.40,0.06,1.11,-0.27,1.00,-0.16,0.83,0.09,0.58,-0.08,0.16,-0.62,-0.30,-0.30,0.23,-0.60,-0.37
BalanceNoncurrentReceivables,,1625000,,2157000,2166000,1489000,1392000,1273000,1043000,939000,1009000,868000,4052000,1480000,1437000,1424000,633000,937000,1018000,3699000,7170000,4144000,4873000,3537000
BalanceNoncurrentReceivables_yy,,,,,,-8.37,,-40.97,-51.87,-36.96,-27.50,-31.81,288.65,57.67,42.41,64.01,-84.39,-36.70,-29.18,159.82,1033.40,342.37,378.75,-4.36
BalanceNoncurrentReceivables_sy,,,,,,-5.60,,-13.45,,4.97,5.03,15.83,23.86,9.97,7.14,,-14.81,-3.68,-2.94,-25.38,-33.09,,,
BalanceNoncurrentReceivables_qq,,,-100.00,,0.44,-31.26,-6.51,-8.56,-18.10,-9.96,7.51,-14.00,366.83,-63.47,-2.89,-0.95,-55.56,48.10,8.64,263.40,93.85,-42.20,17.58,-27.40
BalanceNoncurrentReceivables_sq,,,,,,-0.03,,-2.52,-0.12,,7.14,0.61,1.18,,0.34,3.43,-1.30,-5.13,,3.54,,,0.92,
BalanceNoncurrInvestments,,3749000,,3087000,3079000,9686000,3856000,4283000,4125000,3874000,4052000,4433000,4480000,4382000,4381000,4409000,4745000,4221000,3945000,4348000,63804000,62719000,59109000,79727000
BalanceNoncurrInvestments_yy,,,,,,158.37,,38.75,33.97,-60.00,5.09,3.52,8.60,13.12,8.12,-0.56,5.93,-3.68,-9.95,-1.38,1244.59,1385.73,1398.22,1733.61
BalanceNoncurrInvestments_sy,,,,,,0.38,,3.04,46.15,-3.46,-3.46,-12.19,12.48,10.85,10.79,17.34,23.56,2.43,,,2.13,,,-7.72
BalanceNoncurrInvestments_qq,,,-100.00,,-0.25,214.60,-60.19,11.06,-3.68,-6.08,4.59,9.41,1.05,-2.17,-0.03,0.63,7.63,-11.04,-6.54,10.21,1367.39,-1.70,-5.76,34.88
BalanceNoncurrInvestments_sq,,,0.32,,-0.16,4.19,0.21,0.03,0.41,-1.58,0.78,0.01,1.40,0.51,,,,-0.80,,1.32,,,,-0.78
BalanceOtherNoncurrentAssets,,0,,4802000,5507000,509000,350000,615000,1797000,502000,342000,895000,1191000,1154000,1181000,1507000,2369000,8053000,4384000,6078000,8892000,9721000,9460000,9041000
BalanceOtherNoncurrentAssets_yy,,,,,,,,-87.18,-67.37,-1.45,-2.28,45.41,-33.74,129.91,245.21,68.38,98.93,597.87,271.32,303.36,275.39,20.70,115.78,48.75
BalanceOtherNoncurrentAssets_sy,,,,,,,,46.99,10.07,10.19,2.99,7.90,8.65,9.75,19.78,7.27,12.63,-3.12,7.50,8.73,13.39,2.03,9.50,-0.68
BalanceOtherNoncurrentAssets_qq,,,,,14.68,-90.75,-31.28,75.85,191.96,-72.07,-31.86,161.67,33.04,-3.08,2.31,27.64,57.18,240.00,-45.56,38.65,46.28,9.33,-2.69,-4.42
BalanceOtherNoncurrentAssets_sq,,,,,,3.30,-0.06,1.26,0.48,-0.58,-1.45,0.34,0.10,0.25,,2.21,-1.46,-0.46,1.32,5.30,5.44,-8.23,3.08,-1.39
BalanceCurrentAssets,,125121000,,122069000,161906000,154810000,215767000,222615000,191077000,227916000,237498000,213207000,244324000,226798000,262992000,238462000,250008000,283700000,313509000,281441000,292750000,290880000,261319000,255769000
BalanceCurrentAssets_yy,,,,,,23.73,,82.37,18.02,47.22,10.07,-4.23,27.87,-0.49,10.73,11.85,2.33,25.09,19.21,18.02,17.10,2.53,-16.65,-9.12
BalanceCurrentAssets_sy,,,,,,15.68,,9.53,14.73,6.89,11.38,10.18,12.21,6.48,9.94,11.56,8.24,9.60,10.55,-0.44,10.25,15.14,15.11,12.91
BalanceCurrentAssets_qq,,,-100.00,,32.64,-4.38,39.38,3.17,-14.17,19.28,4.20,-10.23,14.60,-7.17,15.96,-9.33,4.84,13.48,10.51,-10.23,4.02,-0.64,-10.16,-2.12
BalanceCurrentAssets_sq,,,3.65,,0.98,-0.19,1.18,3.47,0.12,1.98,6.60,-0.17,-0.95,-1.09,1.79,3.80,-1.29,2.94,0.48,-0.18,1.88,5.23,-1.04,-0.16
BalanceInventory,,3245000,,3125000,3706000,3910000,3537000,3413000,4125000,4056000,4022000,3629000,3400000,3499000,4900000,3139000,3162000,3872000,10834000,3534000,3673000,4566000,5146000,6492000
BalanceInventory_yy,,,,,,20.51,,9.21,11.31,3.72,13.71,6.32,-17.57,-13.72,21.83,-13.51,-7.01,10.65,121.11,12.61,16.15,17.92,-52.51,83.69
BalanceInventory_sy,,,,,,5.50,,11.38,11.31,8.09,7.45,10.16,7.36,5.34,4.82,10.75,12.41,3.67,18.37,6.66,5.07,5.73,7.37,16.94
BalanceInventory_qq,,,-100.00,,18.58,5.52,-9.55,-3.50,20.86,-1.68,-0.83,-9.77,-6.30,2.91,40.03,-35.95,0.75,22.45,179.82,-67.38,3.91,24.32,12.70,26.17
BalanceInventory_sq,,,-1.87,,3.57,2.59,0.09,1.62,1.39,-1.68,3.67,0.51,,-6.31,2.65,5.18,3.24,-1.95,1.67,-0.47,5.25,-2.26,2.10,4.84
BalanceCurrentReceivables,,86453000,,93297000,106696000,102147000,145088000,143486000,149230000,149378000,154433000,140182000,147734000,122320000,139512000,118811000,115958000,143555000,177305000,161109000,182413000,175546000,192209000,195901000
BalanceCurrentReceivables_yy,,,,,,18.15,,53.79,39.86,46.24,6.44,-2.30,-1.00,-18.11,-9.66,-15.25,-21.51,17.36,27.09,35.60,57.31,22.29,8.41,21.60
BalanceCurrentReceivables_sy,,,,,,12.62,,12.16,17.51,12.51,9.14,16.49,14.16,10.18,14.29,12.03,19.65,17.36,12.25,9.77,11.50,9.35,7.57,11.40
BalanceCurrentReceivables_qq,,,-100.00,,14.36,-4.26,42.04,-1.10,4.00,0.10,3.38,-9.23,5.39,-17.20,14.06,-14.84,-2.40,23.80,23.51,-9.13,13.22,-3.76,9.49,1.92
BalanceCurrentReceivables_sq,,,4.38,,0.07,-3.24,4.98,3.56,4.00,-0.60,2.11,6.84,4.12,-1.27,7.50,7.37,3.02,1.86,0.73,3.86,4.98,-2.55,1.94,3.62
BalanceCurrentInvestments,,1577000,,1787000,1308000,1039000,980000,1049000,573000,721000,1322000,541000,72145000,69912000,75116000,81377000,85199000,87795000,79115000,81448000,76928000,47375000,39913000,33932000
BalanceCurrentInvestments_yy,,,,,,-34.09,,-41.29,-56.16,-30.60,34.94,-48.45,12480.86,9591.69,5580.24,14944.99,18.09,25.58,5.32,0.09,-9.71,-46.04,-49.55,-58.34
BalanceCurrentInvestments_sy,,,,,,-20.26,,-37.42,-26.20,-16.96,,-28.96,-9.51,-8.82,-4.30,4.30,2.72,-2.94,-8.59,-1.56,-0.76,-4.13,-6.78,-8.87
