,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCash,11607000,11687000,4733000,4675000,2221000,1750000,509000,2802000,479000,687000,535000,246000,32000,133000,124000,181000,3684000,3264000,4032000,3283000,2418000,1793000,1366000,5072000,4253000,2680000
BalanceOtherCurrentAssets,852000,3229000,1646000,825000,86000,1451000,1424000,888000,335000,1325000,565000,439000,327000,565000,390000,,,,,,,,,,,
BalanceAssetsForSale,424791000,427204000,66839000,63379000,41016000,39334000,30591000,30463000,23806000,23848000,55423000,643778000,659584000,725285000,746521000,750535000,1058676000,1109185000,1081776000,1075184000,1062898000,1103093000,1058342000,861845000,831463000,754194000
BalanceTotalAssets,739604000,696714000,693406000,600097000,600309000,541249000,565216000,341060000,333695000,318841000,510421000,526195000,562662000,562916000,567674000,808048000,787950000,749552000,720188000,684062000,658088000,606513000,657665000,639307000,549187000,556371000
BalanceCapital,546246000,545529000,442607000,442333000,401011000,423097000,209896000,202069000,186346000,9805000,9805000,10343000,10343000,10648000,15005000,15005000,15005000,15005000,15005000,15005000,15005000,15005000,15005000,15005000,15005000,15005000
BalanceShareCapital,15005000,15005000,15005000,15005000,15005000,15005000,15005000,15005000,,,,,,,,,,,,,,-37733000,-37733000,-37733000,-37733000,-27797000
BalanceOwnShares,-27797000,-27797000,-27797000,-27797000,-27797000,-27797000,-27797000,-27797000,440676000,441400000,460394000,460394000,481231000,730027000,730122000,730122000,731364000,731364000,731364000,731364000,674124000,674124000,674124000,674124000,674124000,497182000
BalanceReserve,497182000,497182000,282839000,282839000,282839000,282839000,282839000,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,102467000,97243000,111505000,120565000,120398000,127933000,137843000,153513000,153132000,157790000,113912000,97338000,78885000,66388000,77408000,58752000,44941000,41813000,52267000
BalanceNoncurrentLiabilities,51870000,38103000,100151000,88988000,89775000,86350000,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,98911000,93869000,107575000,115502000,116518000,124068000,115757000,132773000,140860000,146122000,90536000,75193000,68380000,56590000,49908000,49987000,37075000,34004000,29340000,29001000
BalanceNoncurrentBorrowings,16055000,78175000,55845000,40289000,37707000,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,5546000,4850000,1546000,1103000,701000,629000,559000,503000,459000,410000
BalanceNoncurrentLeasing,335000,287000,52000,32000,16000,3556000,3374000,3930000,5063000,3880000,3865000,22086000,20740000,12272000,11668000,17830000,17295000,8959000,8695000,26799000,8136000,7307000,7306000,22468000,22459000,21713000
BalanceNoncurrentOtherLiabilities,21689000,33091000,49454000,48627000,30890000,36146000,51118000,63040000,62463000,122695000,183392000,178711000,201864000,221046000,175494000,166137000,69393000,68742000,65261000,73208000,46878000,47799000,46571000,47577000,43469000,41968000
BalanceCurrentLiabilities,42176000,41851000,46145000,11479000,11016000,19251000,8273000,16817000,38193000,86834000,79050000,96445000,111844000,94133000,87718000,6448000,11051000,13227000,12182000,6324000,6419000,7525000,7934000,8271000,8372000,7306000
BalanceCurrentTradePayablesv,7012000,7892000,12201000,15368000,21164000,22008000,25617000,62448000,61656000,73416000,90413000,89575000,61725000,58037000,46544000,42371000,43005000,41808000,26046000,28213000,29638000,29720000,26664000,27720000,27367000,28928000
BalanceCurrentBorrowings,33188000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,2969000,2996000,1252000,1195000,620000,569000,554000,541000,515000,494000,497000,310000,397000,344000
BalanceCurrentLeasing,209000,7210000,9762000,10703000,32759000,20029000,22054000,34902000,26245000,15006000,19627000,172266000,205740000,71051000,71151000,70747000,79922000,72603000,70891000,67545000,67958000,66703000,5566000,7106000,5567000,4856000
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,643778000,659584000,0,725285000,746521000,750535000,1058676000,1109185000,1081776000,1075184000,1062898000,947494000,869988000,805943000,774437000,691856000,688331000,638065000,635141000,541445000,541780000,482583000,565216000,341060000,333695000,318841000
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-98000,38863000,-1560000,378000,15441000,-573000,-15822000,23740000,-55748000,-19440000,-1437000,-9063000,-38477000,-11207000,3387000,-929000,-4690000,25477000,-1477000,5203000,926000,-6104000,-130000,-300000,-128000,-274000
CashflowAmortization,573000,461000,537000,526000,498000,560000,1310000,3414000,3580000,4004000,4928000,5932000,5273000,2850000,1263000,946000,740000,598000,113000,420000,216000,191000,303000,175000,108000,114000
CashflowInvestingCashflow,-17310000,-20190000,-15080000,-27048000,-13592000,2575000,15325000,14521000,759000,3398000,3163000,2355000,2060000,3511000,12222000,6560000,8549000,16063000,569000,8046000,253000,10762000,957000,1365000,153000,2214000
CashflowCapex,216000,95000,220000,357000,508000,-430000,5122000,24382000,7774000,14621000,14742000,16446000,4532000,2083000,2254000,1992000,5000,0,6000,,,,-525000,-7578000,11057000,4885000
CashflowFinancingCashflow,4748000,16136000,-13314000,-14663000,19511000,19243000,-7000000,8992000,30185000,4862000,-18045000,-6131000,-5101000,-39228000,-1408000,-13034000,-1330000,-4942000,-1219000,-964000,-34000,-1883000,,0,0,0
CashflowShareCapitalCash,,18824000,0,0,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowNetCashflow,24735000,,,,,,,,,,,,,,,,,,,,,,,,,
