,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherOperatingIncome_sq,,140.00,-45.48,90.17,-52.68,172.85,-65.83,37.92,-7.04,173.77,-25.88,45.39
IncomeOtherOperatingCosts,96000,159000,58000,172000,193000,60000,53000,123000,55000,-12000,126000,65000
IncomeOtherOperatingCosts_yy,,,,,101.04,-62.26,-8.62,-28.49,-71.50,-120.00,137.74,-47.15
IncomeOtherOperatingCosts_sy,,,,,13.95,20.50,-0.45,4.98,-11.60,-42.26,8.40,-27.00
IncomeOtherOperatingCosts_qq,,65.62,-63.52,196.55,12.21,-68.91,-11.67,132.08,-55.28,-121.82,1150.00,-48.41
IncomeOtherOperatingCosts_sq,,89.33,-67.01,26.08,-8.70,271.95,-81.63,29.84,-45.16,122.47,-66.26,12.72
IncomeEBIT,3576000,-2352000,2438000,7935000,-2812000,4028000,-6270000,4283000,4944000,-1612000,2483000,12894000
IncomeEBIT_yy,,,,,-178.64,271.26,-357.18,-46.02,275.82,-140.02,139.60,201.05
IncomeEBIT_sy,,,,,-24.46,42.28,-21.30,-5.86,48.66,-34.94,54.08,23.04
IncomeEBIT_qq,,-165.77,203.66,225.47,-135.44,243.24,-255.66,168.31,15.43,-132.61,254.03,419.29
IncomeEBIT_sq,,15.92,-41.76,34.91,-25.90,170.71,-69.86,53.59,15.43,51.40,-30.78,23.09
IncomeFinanceIncome,-1127000,-384000,4000,2000,2000,32000,4611000,-13000,-1715000,2981000,28000,31000
IncomeFinanceIncome_yy,,,,,100.18,108.33,115175.00,-750.00,-85850.00,9215.62,-99.39,338.46
IncomeFinanceIncome_sy,,,,,50.00,35.44,90.88,-20.91,-58.15,19.55,-19.18,-0.93
IncomeFinanceIncome_qq,,65.93,101.04,-50.00,,1500.00,14309.38,-100.28,-13092.31,273.82,-99.06,10.71
IncomeFinanceIncome_sq,,20.34,1.88,11.33,,59.57,31.66,-12.08,-32.46,74.12,-50.65,1.27
IncomeFinanceCosts,770000,1079000,1935000,4659000,-1805000,3137000,776000,806000,779000,813000,1557000,4492000
IncomeFinanceCosts_yy,,,,,-334.42,190.73,-59.90,-82.70,143.16,-74.08,100.64,457.32
IncomeFinanceCosts_sy,,,,,-34.43,22.52,-0.87,-21.28,80.29,-29.34,5.62,33.33
IncomeFinanceCosts_qq,,40.13,79.33,140.78,-138.74,273.80,-75.26,3.87,-3.35,4.36,91.51,188.50
IncomeFinanceCosts_sq,,18.84,-14.08,19.76,-35.30,80.31,-32.98,1.98,-3.10,8.78,-2.91,24.64
IncomeOtherIncome,,,,,,,,-274000,-145000,1876000,-146000,545000
IncomeOtherIncome_yy,,,,,,,,,,,,298.91
IncomeOtherIncome_sy,,,,,,,,,,,,-20.26
IncomeOtherIncome_qq,,,,,,,,,47.08,1393.79,-107.78,473.29
IncomeOtherIncome_sq,,,,,,,,,47.08,215.40,-57.17,61.53
IncomeNetGrossProfit,1679000,-3815000,507000,3278000,-1005000,923000,-2435000,3190000,2305000,2432000,808000,8978000
IncomeNetGrossProfit_yy,,,,,-159.86,124.19,-580.28,-2.68,329.35,163.49,133.18,181.44
IncomeNetGrossProfit_sy,,,,,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
IncomeNetGrossProfit_qq,,-327.22,113.29,546.55,-130.66,191.84,-363.81,231.01,-27.74,5.51,-66.78,1011.14
IncomeNetGrossProfit_sq,,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeExtraordinarProfit,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,
IncomeBeforeTaxProfit,1679000,-3815000,507000,3278000,-1005000,923000,-2435000,3190000,2305000,2432000,808000,8978000
IncomeBeforeTaxProfit_yy,,,,,-159.86,124.19,-580.28,-2.68,329.35,163.49,133.18,181.44
IncomeBeforeTaxProfit_sy,,,,,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
IncomeBeforeTaxProfit_qq,,-327.22,113.29,546.55,-130.66,191.84,-363.81,231.01,-27.74,5.51,-66.78,1011.14
IncomeBeforeTaxProfit_sq,,35.10,-43.68,31.24,-9.28,189.14,-68.08,76.05,-12.42,55.62,-40.82,-8.56
IncomeDiscontinuedProfit,0,0,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,
IncomeNetProfit,1414000,-3400000,368000,2544000,-797000,2549000,-2054000,2635000,1888000,2032000,638000,7879000
IncomeNetProfit_yy,,,,,-156.36,174.97,-658.15,3.58,336.89,-20.28,131.06,199.01
IncomeNetProfit_sy,,,,,14.18,5.42,5.02,11.68,44.06,-14.19,44.78,20.03
IncomeNetProfit_qq,,-340.45,110.82,591.30,-131.33,419.82,-180.58,228.29,-28.35,7.63,-68.60,1134.95
IncomeNetProfit_sq,,85.44,-57.27,23.52,-10.41,165.17,-66.45,73.45,-1.63,30.86,-32.24,-2.23
IncomeShareholderNetProfit,1322000,-1687000,450000,2339000,-779000,1744000,-1878000,1955000,1543000,2860000,457000,7097000
IncomeShareholderNetProfit_yy,,,,,-158.93,203.38,-517.33,-16.42,298.07,63.99,124.33,263.02
IncomeShareholderNetProfit_sy,,,,,7.03,5.42,5.02,11.68,44.06,-5.10,44.88,10.99
IncomeShareholderNetProfit_qq,,-227.61,126.67,419.78,-133.30,323.88,-207.68,204.10,-21.07,85.35,-84.02,1452.95
IncomeShareholderNetProfit_sq,,85.44,-57.27,23.52,-10.42,165.70,-66.88,73.45,-3.66,37.18,-35.04,-7.42
BalanceNoncurrentAssets,,185042000,,,183758000,188464000,180688000,188491000,194043000,201977000,208084000,219980000
BalanceNoncurrentAssets_yy,,,,,,1.85,,,5.60,7.17,15.16,16.71
BalanceNoncurrentAssets_sy,,,,,,1.85,,,-1.45,3.43,6.44,4.34
BalanceNoncurrentAssets_qq,,,-100.00,,,2.56,-4.13,4.32,2.95,4.09,3.02,5.72
BalanceNoncurrentAssets_sq,,,0.86,,,1.05,-0.89,1.89,1.78,1.19,0.80,0.70
BalanceIntangibleAssets,,98000,,,85000,80000,76000,71000,67000,66000,61000,57000
BalanceIntangibleAssets_yy,,,,,,-18.37,,,-21.18,-17.50,-19.74,-19.72
BalanceIntangibleAssets_sy,,,,,,-0.20,,,-0.24,-0.52,-0.46,0.01
BalanceIntangibleAssets_qq,,,-100.00,,,-5.88,-5.00,-6.58,-5.63,-1.49,-7.58,-6.56
BalanceIntangibleAssets_sq,,,-0.13,,,-0.04,-1.48,-0.48,,-0.34,-0.19,
BalanceProperty,,180163000,,,182656000,184948000,177246000,181516000,187159000,193257000,199008000,209789000
BalanceProperty_yy,,,,,,2.66,,,2.47,4.49,12.28,15.58
BalanceProperty_sy,,,,,,0.46,,,0.04,4.15,5.73,4.13
BalanceProperty_qq,,,-100.00,,,1.25,-4.16,2.41,3.11,3.26,2.98,5.42
BalanceProperty_sq,,,-0.02,,,1.25,-0.50,0.73,0.33,0.28,0.67,3.25
BalanceNoncurrentReceivables,,,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,
BalanceNoncurrInvestments,,4035000,,,1017000,2924000,2832000,6287000,6179000,7809000,7680000,8300000
BalanceNoncurrInvestments_yy,,,,,,-27.53,,,507.57,167.07,171.19,32.02
BalanceNoncurrInvestments_sy,,,,,,-18.28,,,-17.26,-3.65,-1.79,-1.50
BalanceNoncurrInvestments_qq,,,-100.00,,,187.51,-3.15,122.00,-1.72,26.38,-1.65,8.07
BalanceNoncurrInvestments_sq,,,0.14,,,-9.68,-1.03,,,-0.30,0.32,-2.02
BalanceOtherNoncurrentAssets,,746000,,,,512000,534000,617000,638000,845000,1335000,1834000
BalanceOtherNoncurrentAssets_yy,,,,,,-31.37,,,,65.04,150.00,197.24
BalanceOtherNoncurrentAssets_sy,,,,,,-5.84,,,,2.62,-1.94,2.36
BalanceOtherNoncurrentAssets_qq,,,-100.00,,,,4.30,15.54,3.40,32.45,57.99,37.38
BalanceOtherNoncurrentAssets_sq,,,-0.37,,,,0.42,-1.84,2.45,1.15,-0.37,3.86
BalanceCurrentAssets,,3090000,,,4841000,21154000,22480000,16934000,14854000,11120000,13182000,13112000
BalanceCurrentAssets_yy,,,,,,584.60,,,206.84,-47.43,-41.36,-22.57
BalanceCurrentAssets_sy,,,,,,5.70,,,13.98,13.28,13.37,13.97
BalanceCurrentAssets_qq,,,-100.00,,,336.98,6.27,-24.67,-12.28,-25.14,18.54,-0.53
BalanceCurrentAssets_sq,,,0.03,,,-3.88,5.43,4.15,3.30,0.85,2.58,1.20
BalanceInventory,,,,,,,,,,,,
BalanceInventory_yy,,,,,,,,,,,,
BalanceInventory_sy,,,,,,,,,,,,
BalanceInventory_qq,,,,,,,,,,,,
BalanceInventory_sq,,,,,,,,,,,,
BalanceCurrentReceivables,,1596000,,,1864000,2933000,4643000,3074000,2429000,2982000,5226000,5952000
BalanceCurrentReceivables_yy,,,,,,83.77,,,30.31,1.67,12.56,93.62
BalanceCurrentReceivables_sy,,,,,,-6.18,,,10.40,7.54,14.28,19.21
BalanceCurrentReceivables_qq,,,-100.00,,,57.35,58.30,-33.79,-20.98,22.77,75.25,13.89
BalanceCurrentReceivables_sq,,,0.75,,,-10.90,4.85,-3.16,10.31,-3.49,7.13,2.39
BalanceCurrentInvestments,,,,,,,,804000,705000,541000,924000,952000
BalanceCurrentInvestments_yy,,,,,,,,,,,,18.41
BalanceCurrentInvestments_sy,,,,,,,,,,,,19.34
BalanceCurrentInvestments_qq,,,,,,,,,-12.31,-23.26,70.79,3.03
BalanceCurrentInvestments_sq,,,,,,,,,0.14,-3.00,1.54,3.03
BalanceCash,,1494000,,,2977000,18221000,17837000,13056000,11720000,7597000,7032000,6208000
BalanceCash_yy,,,,,,1119.61,,,293.68,-58.31,-60.58,-52.45
BalanceCash_sy,,,,,,-18.20,,,16.66,10.20,17.00,23.06
BalanceCash_qq,,,-100.00,,,512.06,-2.11,-26.80,-10.23,-35.18,-7.44,-11.72
BalanceCash_sq,,,-15.98,,,5.33,0.32,-0.77,-12.91,21.11,9.24,5.57
BalanceOtherCurrentAssets,,,,,,,,,,,,
BalanceOtherCurrentAssets_yy,,,,,,,,,,,,
BalanceOtherCurrentAssets_sy,,,,,,,,,,,,
BalanceOtherCurrentAssets_qq,,,,,,,,,,,,
BalanceOtherCurrentAssets_sq,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,
BalanceTotalAssets,,188132000,,,188599000,209618000,203168000,205425000,208897000,213097000,221266000,233092000
BalanceTotalAssets_yy,,,,,,11.42,,,10.76,1.66,8.91,13.47
BalanceTotalAssets_sy,,,,,,5.60,,,4.88,6.00,8.82,8.67
BalanceTotalAssets_qq,,,-100.00,,,11.14,-3.08,1.11,1.69,2.01,3.83,5.34
BalanceTotalAssets_sq,,,0.20,,,0.43,0.34,1.87,2.10,1.34,2.38,3.62
BalanceCapital,,65194000,,,67329000,87827000,85954000,87702000,89260000,91944000,92422000,99715000
BalanceCapital_yy,,,,,,34.72,,,32.57,4.69,7.52,13.70
BalanceCapital_sy,,,,,,4.20,,,6.36,4.34,6.00,5.53
BalanceCapital_qq,,,-100.00,,,30.44,-2.13,2.03,1.78,3.01,0.52,7.89
BalanceCapital_sq,,,0.47,,,1.89,-0.09,-1.20,1.99,2.84,1.14,-1.17
BalanceShareCapital,,3000000,,,3000000,4130000,4130000,4130000,4130000,4130000,4130000,4130000
BalanceShareCapital_yy,,,,,,37.67,,,37.67,,,
BalanceShareCapital_sy,,,,,,,,,,,,
BalanceShareCapital_qq,,,-100.00,,,37.67,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,
BalanceReserve,,4841000,,,4966000,22590000,22595000,22388000,22403000,22227000,22248000,22444000
BalanceReserve_yy,,,,,,366.64,,,351.13,-1.61,-1.54,0.25
BalanceReserve_sy,,,,,,1.89,,,0.82,0.60,0.69,0.74
BalanceReserve_qq,,,-100.00,,,354.89,0.02,-0.92,0.07,-0.79,0.09,0.88
BalanceReserve_sq,,,,,,,,0.20,,,,0.10
BalanceNonshareCapital,,1388000,,,1493000,2298000,2122000,2802000,3147000,2319000,2500000,3282000
BalanceNonshareCapital_yy,,,,,,65.56,,,110.78,0.91,17.81,17.13
BalanceNonshareCapital_sy,,,,,,11.39,,,26.01,5.28,9.82,11.82
BalanceNonshareCapital_qq,,,-100.00,,,53.92,-7.66,32.05,12.31,-26.31,7.81,31.28
BalanceNonshareCapital_sq,,,-1.88,,,5.54,,,,-0.04,0.57,0.66
BalanceNoncurrentLiabilities,,115438000,,,112453000,113689000,107521000,107019000,107967000,104778000,114570000,56634000
BalanceNoncurrentLiabilities_yy,,,,,,-1.52,,,-3.99,-7.84,6.56,-47.08
BalanceNoncurrentLiabilities_sy,,,,,,4.04,,,-3.30,-3.30,7.00,9.06
BalanceNoncurrentLiabilities_qq,,,-100.00,,,1.10,-5.43,-0.47,0.89,-2.95,9.35,-50.57
BalanceNoncurrentLiabilities_sq,,,0.65,,,1.10,-3.36,-0.42,0.89,-0.47,1.57,1.42
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,103692000,,,102026000,103095000,97549000,96520000,96946000,93459000,102876000,44445000
BalanceNoncurrentBorrowings_yy,,,,,,-0.58,,,-4.98,-9.35,5.46,-53.95
BalanceNoncurrentBorrowings_sy,,,,,,4.67,,,-2.00,-9.24,5.46,7.64
BalanceNoncurrentBorrowings_qq,,,-100.00,,,1.05,-5.38,-1.05,0.44,-3.60,10.08,-56.80
BalanceNoncurrentBorrowings_sq,,,0.09,,,2.08,-3.71,-2.11,0.80,-3.38,0.64,1.82
BalanceNoncurrentObligations,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,,11746000,,,10427000,10594000,9972000,10499000,11021000,11319000,11694000,12189000
BalanceNoncurrentOtherLiabilities_yy,,,,,,-9.81,,,5.70,6.84,17.27,16.10
BalanceNoncurrentOtherLiabilities_sy,,,,,,4.66,,,5.62,25.84,21.41,15.39
BalanceNoncurrentOtherLiabilities_qq,,,-100.00,,,1.60,-5.87,5.28,4.97,2.70,3.31,4.23
BalanceNoncurrentOtherLiabilities_sq,,,1.89,,,-2.78,-0.04,5.25,2.97,3.28,2.22,3.31
BalanceCurrentLiabilities,,6112000,,,7324000,5804000,7571000,7902000,8523000,14056000,11774000,73461000
BalanceCurrentLiabilities_yy,,,,,,-5.04,,,16.37,142.18,55.51,829.65
BalanceCurrentLiabilities_sy,,,,,,-4.84,,,16.88,17.42,15.40,9.42
BalanceCurrentLiabilities_qq,,,-100.00,,,-20.75,30.44,4.37,7.86,64.92,-16.24,523.93
BalanceCurrentLiabilities_sq,,,4.57,,,-7.26,5.34,6.44,-0.94,9.29,0.56,10.26
BalanceCurrentTradePayablesv,,1515000,,,2358000,824000,2823000,3054000,3523000,8394000,4958000,5661000
BalanceCurrentTradePayablesv_yy,,,,,,-45.61,,,49.41,918.69,75.63,85.36
BalanceCurrentTradePayablesv_sy,,,,,,6.47,,,27.16,23.08,17.70,11.54
BalanceCurrentTradePayablesv_qq,,,-100.00,,,-65.06,242.60,8.18,15.36,138.26,-40.93,14.18
BalanceCurrentTradePayablesv_sq,,,-7.76,,,11.69,5.44,3.35,-0.36,-1.09,0.96,12.55
BalanceCurrentBorrowings,,4595000,,,4953000,4980000,4748000,4790000,4925000,5555000,6745000,67793000
BalanceCurrentBorrowings_yy,,,,,,8.38,,,-0.57,11.55,42.06,1315.30
BalanceCurrentBorrowings_sy,,,,,,-16.00,,,4.11,30.83,16.05,-7.80
BalanceCurrentBorrowings_qq,,,-100.00,,,0.55,-4.66,0.88,2.82,12.79,21.42,905.09
BalanceCurrentBorrowings_sq,,,-1.88,,,0.28,0.14,5.80,1.72,5.06,-3.13,2.46
BalanceCurrentObligations,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,2000,,,13000,,,58000,75000,107000,71000,7000
BalanceCurrentOtherLiabilities_yy,,,,,,-100.00,,,476.92,,,-87.93
BalanceCurrentOtherLiabilities_sy,,,,,,-4.53,,,-3.86,,,11.08
BalanceCurrentOtherLiabilities_qq,,,-100.00,,,-100.00,,,29.31,42.67,-33.64,-90.14
BalanceCurrentOtherLiabilities_sq,,,0.12,,,-6.49,,,2.73,7.43,-2.84,-3.99
BalanceReckoning,,,,,,,,,,,,
BalanceReckoning_yy,,,,,,,,,,,,
BalanceReckoning_sy,,,,,,,,,,,,
BalanceReckoning_qq,,,,,,,,,,,,
BalanceReckoning_sq,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,0,188132000,0,0,188599000,209618000,203168000,205425000,208897000,213097000,221266000,233092000
BalanceTotalEquityAndLiabilities_yy,,,,,,11.42,,,10.76,1.66,8.91,13.47
BalanceTotalEquityAndLiabilities_sy,,,,,,4.90,,,5.22,5.78,8.82,8.67
BalanceTotalEquityAndLiabilities_qq,,,-100.00,,,11.14,-3.08,1.11,1.69,2.01,3.83,5.34
BalanceTotalEquityAndLiabilities_sq,,,0.67,,,0.17,0.34,2.05,2.10,1.34,2.38,3.62
CashflowOperatingCashflow,1066000,2372000,2308000,1246000,1619000,42000,1435000,3114000,2234000,1085000,150000,2543000
CashflowOperatingCashflow_yy,,,,,51.88,-98.23,-37.82,149.92,37.99,2483.33,-89.55,-18.34
CashflowOperatingCashflow_sy,,,,,10.13,-33.73,12.50,-19.86,46.54,73.28,10.88,14.68
CashflowOperatingCashflow_qq,,122.51,-2.70,-46.01,29.94,-97.41,3316.67,117.00,-28.26,-51.43,-86.18,1595.33
CashflowOperatingCashflow_sq,,33.23,-61.87,5.06,-5.77,-7.15,-1.50,-17.14,34.73,4.93,-16.48,-1.85
CashflowAmortization,55000,57000,51000,52000,51000,52000,50000,51000,49000,49000,58000,58000
CashflowAmortization_yy,,,,,-7.27,-8.77,-1.96,-1.92,-3.92,-5.77,16.00,13.73
CashflowAmortization_sy,,,,,3.57,-2.34,0.96,1.16,,3.80,14.18,8.89
CashflowAmortization_qq,,3.64,-10.53,1.96,-1.92,1.96,-3.85,2.00,-3.92,,18.37,
CashflowAmortization_sq,,-1.76,-1.11,0.54,0.82,-1.34,,2.00,,,4.08,
CashflowInvestingCashflow,-3163000,-1109000,880000,-342000,-200000,-253000,19000,-5917000,-1568000,-4230000,-9777000,-1482000
CashflowInvestingCashflow_yy,,,,,93.68,77.19,-97.84,-1630.12,-684.00,-1571.94,-51557.89,74.95
CashflowInvestingCashflow_sy,,,,,42.84,37.74,24.48,-11.76,-12.84,-75.57,-49.84,-42.74
CashflowInvestingCashflow_qq,,64.94,179.35,-138.86,41.52,-26.50,107.51,-31242.11,73.50,-169.77,-131.13,84.84
CashflowInvestingCashflow_sq,,37.54,-6.64,38.72,0.60,-40.34,6.77,-62.79,21.04,-22.88,-22.70,-46.74
CashflowCapex,43000,4000,394000,,,4000,,4004000,0,8000,4000,4000
CashflowCapex_yy,,,,,-100.00,,-100.00,,,100.00,,-99.90
CashflowCapex_sy,,,,,-59.22,,-24.50,,,-18.98,,-33.54
CashflowCapex_qq,,-90.70,9750.00,-100.00,,,-100.00,,-100.00,,-50.00,
CashflowCapex_sq,,-27.16,-52.88,4.38,,,-53.40,,-17.44,,-50.00,
CashflowFinancingCashflow,1272000,-1509000,-1999000,-1908000,-1926000,17260000,-1838000,-1978000,-2002000,-978000,9062000,-1885000
CashflowFinancingCashflow_yy,,,,,-251.42,1243.80,8.05,-3.67,-3.95,-105.67,593.04,4.70
CashflowFinancingCashflow_sy,,,,,15.07,29.30,11.04,-85.92,-87.87,29.55,-37.04,59.11
CashflowFinancingCashflow_qq,,-218.63,-32.47,4.55,-0.94,996.16,-110.65,-7.62,-1.21,51.15,1026.58,-120.80
CashflowFinancingCashflow_sq,,-4.14,-10.16,60.34,-12.19,20.92,-8.04,-79.97,-4.86,53.62,5.68,22.06
CashflowShareCapitalCash,,,,,,19364000,,,,,,
CashflowShareCapitalCash_yy,,,,,,,,,,-100.00,,
CashflowShareCapitalCash_sy,,,,,,,,,,-100.00,,
CashflowShareCapitalCash_qq,,,,,,,-100.00,,,,,
CashflowShareCapitalCash_sq,,,,,,,-100.00,,,,,
CashflowDividend,,,,,,,,,,,,
CashflowDividend_yy,,,,,,,,,,,,
CashflowDividend_sy,,,,,,,,,,,,
CashflowDividend_qq,,,,,,,,,,,,
CashflowDividend_sq,,,,,,,,,,,,
CashflowNetCashflow,-825000,-246000,1189000,-1004000,-507000,17049000,-384000,-4781000,-1336000,-4123000,-565000,-824000
CashflowNetCashflow_yy,,,,,38.55,7030.49,-132.30,-376.20,-163.51,-124.18,-47.14,82.77
CashflowNetCashflow_sy,,,,,51.55,-18.19,79.72,-31.68,-51.41,37.38,-11.62,50.17
CashflowNetCashflow_qq,,70.18,583.33,-184.44,49.50,3462.72,-102.25,-1145.05,72.06,-208.61,86.30,-45.84
CashflowNetCashflow_sq,,132.93,-95.48,63.85,29.16,66.67,-2.18,-39.60,-31.58,97.18,-15.99,18.08
