,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,-2300000,-825000,-456000,-5853000,-3469000,16000,-2333000,-48000,-125000,-44000,178000,415000,-3303000,,,,,,,,-2809000,-1094000,-517000,-307000,-1079000,561000,563000,-211000,5709000,2382000,4122000,-53000,10295000,-5592000,888000,362000,-4517000,-1290000,2022000,2536000
IncomeNetGrossProfit,2638000,904000,3054000,-509000,-123000,-2464000,-429000,-2159000,-950000,-4156000,-611000,-2293000,-105000,-228000,-516000,-3083000,-387000,-13980000,20000,346000,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,-2809000,-1094000,-517000,-307000,-1079000,561000,563000,-211000,5709000,2382000,4122000,-53000,10295000,-5592000,888000,362000,-4517000,-1290000,2022000,2536000
IncomeBeforeTaxProfit,2638000,904000,3054000,-509000,-123000,-2464000,-429000,-2159000,-950000,-4156000,-611000,-2293000,-105000,-228000,-516000,-3083000,-387000,-13980000,20000,346000,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,-2979000,-870000,-559000,-357000,-1089000,1142000,414000,8000,5828000,2450000,4278000,-101000,10300000,-5770000,820000,339000,-4562000,-1279000,1952000,2528000
IncomeNetProfit,1245000,-237000,2923000,-675000,73000,-2357000,-453000,-1956000,-1392000,-4164000,-658000,-2156000,-101000,-832000,-513000,-2867000,-380000,-14076000,39000,172000,-2611000,-727000,-505000,-337000,-612000,742000,559000,11000,5844000,1394000,4162000,304000,9381000,-5335000,890000,434000,-4589000,-463000,1906000,3027000
IncomeShareholderNetProfit,1276000,-235000,2979000,-835000,303000,-2222000,-408000,-2001000,-660000,-3579000,-658000,-2156000,-101000,-832000,-513000,-2867000,-380000,-14076000,39000,172000,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,,23432000,20848000,,27087000,26291000,,36866000,35457000,36179000,31673000,37484000,39153000,34581000,34234000,36270000,39705000,40456000,34853000,36989000,36563000,37740000,36785000,36282000,32892000,32903000,31185000,32823000,32356000,32364000,32645000,32568000,30549000,30558000,14641000,13986000,11890000,,15734000,15061000
BalanceIntangibleAssets,,19079000,17674000,,17569000,14577000,9183000,10756000,10522000,10364000,10239000,11753000,11703000,12541000,12586000,8790000,8769000,9488000,8576000,8359000,8149000,1000,7657000,5450000,,,,,,,,2519000,1340000,,2130000,2750000,,3577000,2299000,863000
BalanceProperty,882000,985000,971000,1018000,183000,167000,248000,239000,337000,324000,303000,274000,254000,234000,77000,174000,160000,55000,49000,47000,39000,32000,17000,10000,7000,6000,5000,,,,,,0,,,,17000,0,0,
BalanceNoncurrentReceivables,53000,53000,53000,53000,55000,55000,75000,55000,45000,45000,45000,45000,45000,45000,45000,45000,47000,49000,49000,49000,34000,34000,34000,34000,34000,34000,39000,,4632000,4320000,,5009000,5118000,,15293000,18190000,25850000,19513000,25462000,27289000
BalanceNoncurrInvestments,22803000,21800000,23941000,26438000,27158000,23921000,25761000,24622000,26719000,26137000,26123000,30577000,23283000,23892000,30933000,30407000,30407000,30717000,30627000,28605000,28605000,14140000,13573000,11537000,,547000,127000,,869000,749000,,410000,391000,283000,469000,462000,476000,468000,443000,404000
BalanceOtherNoncurrentAssets,403000,418000,1760000,2090000,2105000,2126000,1990000,1731000,2192000,1744000,1636000,1786000,1851000,1861000,1855000,1875000,1893000,1909000,460000,373000,309000,,7058000,6110000,,8225000,11651000,,9844000,12540000,10555000,19587000,12778000,14379000,13810000,14695000,18131000,11187000,12435000,13947000
BalanceCurrentAssets,12486000,9270000,5543000,4369000,6482000,2580000,3216000,3998000,2685000,2542000,1853000,1442000,1194000,656000,693000,391000,1599000,4087000,,,,,,,,,,,,,,,,,,,,,,
BalanceInventory,,,,,,,,,,,,,,,,,,,,4602000,2704000,,5140000,7378000,,6237000,2975000,5577000,14672000,3946000,9029000,7563000,8821000,13048000,3483000,4778000,8146000,2797000,3840000,2999000
BalanceCurrentReceivables,2473000,2185000,983000,890000,1958000,148000,121000,90000,130000,111000,70000,209000,81000,1283000,2593000,,340000,1140000,,234000,234000,,97000,89000,175000,1179000,1272000,1222000,1231000,1944000,2238000,3632000,3797000,3023000,3202000,3186000,1700000,788000,750000,1079000
BalanceCurrentInvestments,594000,690000,2102000,1142000,1295000,905000,889000,385000,351000,80000,79000,1384000,,1881000,1850000,,2443000,3492000,,2596000,9149000,4242000,3265000,6685000,3167000,3925000,2396000,1281000,2906000,2653000,1228000,3618000,104000,151000,407000,2691000,473000,1183000,707000,405000
BalanceCash,1244000,443000,340000,159000,143000,75000,80000,186000,53000,,235000,416000,,408000,547000,,914000,327000,561000,471000,875000,961000,1091000,1534000,1564000,1166000,1207000,1550000,2869000,2140000,693000,701000,856000,45000,549000,643000,30000,35000,25000,67000
BalanceOtherCurrentAssets,35000,58000,58000,150000,51000,57000,,1590000,0,,,384000,184000,,109000,175000,371000,754000,675000,688000,397000,378000,596000,444000,464000,1296000,967000,1461000,2668000,2618000,3492000,2127000,719000,714000,733000,,,,32080000,26958000
BalanceAssetsForSale,,35696000,38126000,,46819000,48172000,47105000,52014000,50937000,54220000,48788000,49307000,54997000,51336000,53355000,50096000,49475000,46800000,44744000,43822000,45382000,38964000,38246000,35183000,35508000,35617000,34931000,34820000,33762000,31205000,31251000,15032000,15585000,15977000,,22487000,21157000,,22532000,21691000
BalanceTotalAssets,,29610000,31711000,37458000,38324000,37279000,39328000,34077000,33687000,35761000,39489000,40119000,33765000,35340000,34682000,34824000,33256000,32830000,31724000,29948000,26772000,28604000,26545000,26404000,25603000,25110000,22648000,22289000,7737000,7947000,7667000,,21853000,21853000,,22353000,22353000,,22353000,22353000
BalanceCapital,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,22353000,,,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5726000,2839000,,6946000,7588000,,6532000,4897000,9914000,6734000,7705000
BalanceOwnShares,26581000,26312000,26365000,26593000,30447000,29801000,23670000,22328000,26041000,25881000,26535000,24579000,39195000,25734000,26157000,39200000,39297000,39257000,39288000,39308000,39686000,39707000,39738000,39909000,39469000,,3074000,2615000,,3727000,6207000,,8312000,6757000,2580000,3106000,3496000,3284000,3311000,2496000
BalanceReserve,2542000,3273000,3243000,3240000,3184000,3344000,2020000,1885000,1841000,1000,1155000,582000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,1386000,966000,,1065000,1013000,,885000,152000,297000,857000,807000,710000,681000,459000,477000,369000,391000
BalanceNonshareCapital,346000,349000,359000,346000,347000,90000,2782000,100000,110000,2312000,2215000,2722000,3342000,3346000,3162000,3171000,1064000,964000,1067000,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,644000,382000,,393000,757000,,529000,97000,230000,211000,148000,81000,56000,12000,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,500000,500000,500000,500000,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,742000,584000,,672000,256000,,356000,55000,67000,646000,659000,629000,625000,447000,477000,369000,391000,346000,349000,359000,346000,347000,90000,2782000,100000,110000,2312000,2215000,2222000,2842000
BalanceNoncurrentLeasing,2846000,2662000,2671000,1064000,964000,1067000,,5133000,2220000,,8372000,9215000,,8012000,9552000,6770000,9727000,9355000,10898000,10719000,12665000,16217000,8205000,9602000,12745000,10602000,8415000,7554000,8334000,10621000,4457000,7044000,7719000,4591000,6856000,5804000,5874000,5305000,5394000,5790000
BalanceNoncurrentOtherLiabilities,6230000,6673000,7242000,,3479000,1265000,,1793000,1940000,,3211000,1583000,2196000,1935000,144000,2626000,1563000,3207000,3520000,1181000,2270000,4917000,4373000,2870000,1628000,2024000,3953000,290000,1380000,1776000,73000,163000,157000,71000,99000,143000,88000,81000,171000,312000
BalanceCurrentLiabilities,,505000,179000,,290000,922000,,780000,1709000,513000,1235000,1286000,1240000,982000,2425000,3708000,3111000,2802000,3185000,3039000,3132000,3695000,3528000,3624000,3498000,3274000,3525000,3832000,5245000,4175000,4314000,4446000,4478000,4865000,5789000,5961000,6548000,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780000,630000
BalanceCurrentObligations,,3370000,893000,,1450000,1411000,726000,1865000,1683000,1099000,1421000,1381000,1662000,1740000,2047000,1805000,1379000,943000,764000,1149000,1244000,125000,1086000,1352000,130000,878000,920000,869000,158000,174000,238000,332000,514000,342000,,369000,146000,,2919000,5460000
BalanceCurrentLeasing,,2571000,4849000,3335000,4692000,6242000,5933000,6753000,5652000,7327000,2173000,2483000,2838000,1811000,1470000,1467000,1633000,1800000,544000,1304000,1066000,556000,570000,552000,620000,602000,599000,599000,28000,27000,40000,0,32080000,26958000,0,0,35696000,38126000,0,0
BalanceCurrentOtherLiabilities,46819000,48172000,47105000,0,52014000,50937000,54220000,48788000,49307000,54997000,51336000,53355000,50096000,49475000,46800000,44744000,43822000,45382000,38964000,38247000,35183000,35508000,35617000,34931000,34820000,33762000,31205000,31251000,15032000,15585000,15977000,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,-7953000,,,3582000,,5328000,-2473000,-562000,2520000,880000,-4050000,790000,735000,4449000,-2054000,-743000,4417000,2422000,-2834000,2336000,-2383000,1371000,107000,2032000,-2283000,1084000,-3189000,-98000,-1451000,655000,-819000,-1051000,-60000,-424000,-413000,-10000,-661000,,1250000
CashflowAmortization,,,1019000,,590000,161000,193000,232000,-9000,71000,114000,194000,143000,75000,120000,145000,129000,135000,134000,139000,239000,237000,230000,-218000,794000,36000,7000,7000,8000,7000,7000,8000,0,16000,1000,10000,,-861000,,
CashflowInvestingCashflow,-3528000,,-3357000,378000,1409000,-3803000,765000,-2194000,-613000,-4254000,-507000,325000,-1484000,-4946000,-1982000,904000,236000,-1215000,-1377000,275000,183000,-126000,422000,2056000,-204000,1010000,-1995000,185000,770000,34000,17000,30000,134000,-10000,,2921000,,,1038000,
CashflowCapex,3992000,0,981000,-798000,-150000,735000,133000,33000,82000,645000,64000,407000,165000,155000,93000,837000,645000,8000,5000,58000,0,6000,5000,0,,,2000,4000,10000,,3662000,,,508000,,301000,-24000,-178000,2260000,41000
CashflowFinancingCashflow,3581000,3243000,1000,-3184000,200000,1112000,2154000,-693000,504000,-182000,84000,53000,-126000,69000,191000,-796000,657000,1280000,539000,531000,100000,10000,339000,388000,-18000,538000,,3008000,,,598000,,422000,0,105000,1533000,0,-1238000,0,0
CashflowShareCapitalCash,0,1087000,1120000,1289000,5000,683000,200000,70000,330000,75000,185000,0,-256000,1200000,,,18000,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,-5152000,,,562000,,2272000,-2119000,669000,977000,1686000,-2663000,3420000,-3518000,758000,-1529000,-1115000,1625000,-253000,-1425000,2390000,-3514000
CashflowNetCashflow,47000,256000,2284000,-2218000,710000,-476000,-302000,839000,-801000,-103000,-181000,-16000,-68000,5000,106000,-133000,,,,,,,,,,,,,,,,,,,,,,,,
