,2005/Q1,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeFinanceIncome,,79000,189000,53000,372000,166000,112000,94000,365000,66000,255000,49000,2483000,344000,1000,-237000,575000,16000,943000
IncomeFinanceIncome_yy,,,,,,110.13,-40.74,77.36,-1.88,-60.24,127.68,-47.87,580.27,421.21,-99.61,-583.67,-76.84,-95.35,94200.00
IncomeFinanceIncome_sy,,,,,,10.29,-94.25,-40.14,7.23,-56.99,127.68,-23.41,167.62,22.64,-94.10,100.00,-35.14,-27.56,310.72
IncomeFinanceIncome_qq,,,139.24,-71.96,601.89,-55.38,-32.53,-16.07,288.30,-81.92,286.36,-80.78,4967.35,-86.15,-99.71,-23800.00,342.62,-97.22,5793.75
IncomeFinanceIncome_sq,,,-54.55,-7.44,-43.96,147.37,-32.53,-10.87,77.65,-15.66,143.41,-1.68,95.21,-22.62,-82.57,85.33,25.00,-32.35,647.61
IncomeFinanceCosts,,312000,225000,138000,100000,610000,174000,221000,472000,686000,1100000,899000,1172000,830000,897000,425000,1193000,729000,3524000
IncomeFinanceCosts_yy,,,,,,95.51,-22.67,60.14,372.00,12.46,532.18,306.79,148.31,20.99,-18.45,-52.73,1.79,-12.17,292.87
IncomeFinanceCosts_sy,,,,,,-22.18,-13.10,-38.35,-39.14,-0.78,-8.84,-11.43,1.72,20.99,-3.48,30.57,107.56,-6.61,90.68
IncomeFinanceCosts_qq,,,-27.88,-38.67,-27.54,510.00,-71.48,27.01,113.57,45.34,60.35,-18.27,30.37,-29.18,8.07,-52.62,180.71,-38.89,383.40
IncomeFinanceCosts_sq,,,-26.14,46.23,-18.74,-6.47,-44.19,27.01,-4.45,13.21,-16.67,-0.99,-3.93,19.65,1.47,19.76,17.10,-26.23,29.71
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,1743000,5662000,6296000,3971000,3740000,8594000,10772000,4993000,4463000,15149000,5383000,5016000,14298000,5120000,7057000,8674000,11459000,12784000,16230000
IncomeNetGrossProfit_yy,,,,,,51.78,71.09,25.74,19.33,76.27,-50.03,0.46,220.37,-66.20,31.10,72.93,-19.86,149.69,129.98
IncomeNetGrossProfit_sy,,,,,,-4.26,17.33,-6.61,19.33,-0.14,-18.92,18.17,45.38,-3.32,21.25,2.78,-14.23,30.68,98.13
IncomeNetGrossProfit_qq,,,11.20,-36.93,-5.82,129.79,25.34,-53.65,-10.61,239.44,-64.47,-6.82,185.05,-64.19,37.83,22.91,32.11,11.56,26.96
IncomeNetGrossProfit_sq,,,11.20,30.18,-106.50,89.29,58.17,2.51,-85.81,139.00,-6.86,34.94,-78.95,84.15,37.83,40.72,-109.36,82.29,81.09
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,1743000,5662000,6296000,3971000,3740000,8594000,10772000,4993000,4463000,15149000,5383000,5016000,14298000,5120000,7057000,8674000,11459000,12784000,16230000
IncomeBeforeTaxProfit_yy,,,,,,51.78,71.09,25.74,19.33,76.27,-50.03,0.46,220.37,-66.20,31.10,72.93,-19.86,149.69,129.98
IncomeBeforeTaxProfit_sy,,,,,,-4.26,17.33,-6.61,19.33,-0.14,-18.92,18.17,45.38,-3.32,21.25,2.78,-14.23,30.68,98.13
IncomeBeforeTaxProfit_qq,,,11.20,-36.93,-5.82,129.79,25.34,-53.65,-10.61,239.44,-64.47,-6.82,185.05,-64.19,37.83,22.91,32.11,11.56,26.96
IncomeBeforeTaxProfit_sq,,,11.20,30.18,-106.50,89.29,58.17,2.51,-85.81,139.00,-6.86,34.94,-78.95,84.15,37.83,40.72,-109.36,82.29,81.09
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_yy,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sy,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_qq,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit_sq,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,1743000,4482000,4729000,3100000,3539000,6755000,9735000,3883000,3973000,12112000,6393000,4303000,11501000,4132000,5241000,7244000,9219000,9944000,12889000
IncomeNetProfit_yy,,,,,,50.71,105.86,25.26,12.26,79.30,-34.33,10.82,189.48,-65.89,-18.02,68.35,-19.84,140.66,145.93
IncomeNetProfit_sy,,,,,,4.64,0.82,-3.70,8.62,17.18,-15.37,10.82,50.86,-11.65,24.47,13.73,-5.52,7.37,69.64
IncomeNetProfit_qq,,,5.51,-34.45,14.16,90.87,44.12,-60.11,2.32,204.86,-47.22,-32.69,167.28,-64.07,26.84,38.22,27.26,7.86,29.62
IncomeNetProfit_sq,,,51.94,24.51,-93.93,90.87,62.23,-5.59,-83.12,182.43,-16.23,26.82,-77.55,82.59,26.84,32.95,-101.42,81.09,104.29
IncomeShareholderNetProfit,1743000,4482000,4729000,3100000,3539000,6755000,9696000,3865000,4030000,12112000,6393000,4303000,11501000,4132000,5241000,7244000,9219000,9944000,12889000
IncomeShareholderNetProfit_yy,,,,,,50.71,105.03,24.68,13.87,79.30,-34.07,11.33,185.38,-65.89,-18.02,68.35,-19.84,140.66,145.93
IncomeShareholderNetProfit_sy,,,,,,4.61,1.77,-3.70,8.62,16.92,-15.37,11.33,50.88,-7.47,24.47,13.73,-5.52,7.37,68.84
IncomeShareholderNetProfit_qq,,,5.51,-34.45,14.16,90.87,43.54,-60.14,4.27,200.55,-47.22,-32.69,167.28,-64.07,26.84,38.22,27.26,7.86,29.62
IncomeShareholderNetProfit_sq,,,51.95,24.51,-93.93,90.87,43.54,-5.59,-82.49,182.40,-16.23,19.93,-76.87,82.59,26.84,32.95,-99.35,81.09,109.07
BalanceNoncurrentAssets,18716000,81976000,83437000,96448000,110869000,112446000,162378000,169134000,175021000,236212000,238150000,238526000,246141000,244786000,245404000,244564000,244181000,245219000,245711000
BalanceNoncurrentAssets_yy,,,,,,37.17,94.61,75.36,57.86,110.07,46.66,41.03,40.64,3.63,3.05,2.53,-0.80,0.18,0.13
BalanceNoncurrentAssets_sy,,,,,,3.95,0.89,1.89,1.24,0.19,1.14,0.49,-1.12,-1.53,-1.63,2.33,-0.39,0.18,0.42
BalanceNoncurrentAssets_qq,,,1.78,15.59,14.95,1.42,44.41,4.16,3.48,34.96,0.82,0.16,3.19,-0.55,0.25,-0.34,-0.16,0.43,0.20
BalanceNoncurrentAssets_sq,,,0.59,-0.17,0.50,0.07,0.68,-0.21,0.10,-0.30,0.30,-1.23,1.48,-0.09,0.12,0.32,-1.80,0.60,0.50
BalanceIntangibleAssets,,182000,210000,184000,12437000,12893000,12890000,12963000,12982000,13417000,13402000,13460000,13429000,13356000,13285000,13324000,13466000,13543000,14057000
BalanceIntangibleAssets_yy,,,,,,6984.07,6038.10,6945.11,4.38,4.06,3.97,3.83,3.44,-0.45,-0.87,-1.01,0.28,1.40,5.81
BalanceIntangibleAssets_sy,,,,,,-2.31,0.05,2.70,0.31,-1.34,-2.99,-1.03,-0.66,-0.06,-0.06,0.48,0.10,-0.55,-0.62
BalanceIntangibleAssets_qq,,,15.38,-12.38,6659.24,3.67,-0.02,0.57,0.15,3.35,-0.11,0.43,-0.23,-0.54,-0.53,0.29,1.07,0.57,3.80
BalanceIntangibleAssets_sq,,,-0.73,-0.12,,-0.82,1.01,-0.79,-0.78,-0.73,-0.38,-1.28,-0.06,-0.50,-0.64,0.22,0.16,,-0.04
BalanceProperty,,77305000,76484000,76400000,97126000,97036000,147075000,154157000,159521000,220401000,221928000,223135000,229932000,228712000,228364000,226545000,228327000,228835000,229806000
BalanceProperty_yy,,,,,,25.52,92.30,101.78,64.24,127.13,50.89,44.75,44.14,3.77,2.90,1.53,-0.70,0.05,0.63
BalanceProperty_sy,,,,,,-1.00,0.92,0.26,0.06,-0.29,0.38,1.54,1.81,-0.86,0.12,0.50,0.52,3.25,4.47
BalanceProperty_qq,,,-1.06,-0.11,27.13,-0.09,51.57,4.82,3.48,38.16,0.69,0.54,3.05,-0.53,-0.15,-0.80,0.79,0.22,0.42
BalanceProperty_sq,,,-0.45,-0.06,0.10,-0.04,0.46,-0.62,-0.70,-0.66,0.41,-1.22,0.78,-0.56,-0.24,-0.04,-0.24,0.68,0.28
BalanceNoncurrentReceivables,,3719000,5979000,2058000,1108000,2247000,1799000,1130000,1625000,1615000,2010000,1084000,2136000,2151000,3199000,3046000,1731000,2188000,1228000
BalanceNoncurrentReceivables_yy,,,,,,-39.58,-69.91,-45.09,46.66,-28.13,11.73,-4.07,31.45,33.19,59.15,181.00,-18.96,1.72,-61.61
BalanceNoncurrentReceivables_sy,,,,,,-49.02,-53.82,-43.98,23.33,-14.06,-37.26,-24.75,-19.21,-14.17,5.34,-26.65,-79.17,-48.55,-44.08
BalanceNoncurrentReceivables_qq,,,60.77,-65.58,-46.16,102.80,-19.94,-37.19,43.81,-0.62,24.46,-46.07,97.05,0.70,48.72,-4.78,-43.17,26.40,-43.88
BalanceNoncurrentReceivables_sq,,,31.94,-7.39,-32.74,,-18.90,-28.57,5.20,,-10.04,-7.16,5.24,0.35,-3.63,-6.58,-32.32,0.36,-1.96
BalanceNoncurrInvestments,,592000,603000,17660000,65000,60000,160000,362000,360000,60000,150000,150000,150000,150000,150000,1155000,174000,174000,174000
BalanceNoncurrInvestments_yy,,,,,,-89.86,-73.47,-97.95,453.85,,-6.25,-58.56,-58.33,150.00,,670.00,16.00,16.00,16.00
BalanceNoncurrInvestments_sy,,,,,,,,7.27,8.64,,,-2.13,-11.50,-1.38,,,-5.66,-7.96,-0.56
BalanceNoncurrInvestments_qq,,,1.86,2828.69,-99.63,-7.69,166.67,126.25,-0.55,-83.33,150.00,,,,,670.00,-84.94,,
BalanceNoncurrInvestments_sq,,,0.06,3.41,-1.60,,,,,-0.04,,,,,,,-1.43,,
BalanceOtherNoncurrentAssets,,178000,161000,146000,133000,210000,454000,522000,533000,719000,660000,697000,494000,417000,406000,494000,483000,479000,446000
BalanceOtherNoncurrentAssets_yy,,,,,,17.98,181.99,257.53,300.75,242.38,45.37,33.52,-7.32,-42.00,-38.48,-29.12,-2.23,14.87,9.85
BalanceOtherNoncurrentAssets_sy,,,,,,-4.04,0.92,7.54,-2.56,-2.53,-2.02,-5.35,-9.37,-5.06,-13.94,-1.89,-7.54,7.85,25.80
BalanceOtherNoncurrentAssets_qq,,,-9.55,-9.32,-8.90,57.89,116.19,14.98,2.11,34.90,-8.21,5.61,-29.12,-15.59,-2.64,21.67,-2.23,-0.83,-6.89
BalanceOtherNoncurrentAssets_sq,,,3.24,-1.54,1.28,,3.58,,-8.29,0.92,-0.26,-1.86,-11.61,-4.00,1.68,3.37,-10.55,0.19,5.16
BalanceCurrentAssets,5149000,104342000,109598000,110225000,144572000,144425000,136480000,153015000,138707000,162364000,181906000,201618000,196072000,196451000,209714000,223388000,235539000,261550000,346769000
BalanceCurrentAssets_yy,,,,,,38.42,24.53,38.82,-4.06,12.42,33.28,31.76,41.36,20.99,15.29,10.80,20.13,33.14,65.35
BalanceCurrentAssets_sy,,,,,,-5.31,6.82,2.92,1.31,3.21,3.66,5.50,8.41,11.00,7.87,6.76,8.52,7.05,3.32
BalanceCurrentAssets_qq,,,5.04,0.57,31.16,-0.10,-5.50,12.12,-9.35,17.06,12.04,10.84,-2.75,0.19,6.75,6.52,5.44,11.04,32.58
BalanceCurrentAssets_sq,,,3.50,0.48,-8.90,4.21,8.43,2.87,-9.35,12.17,4.81,0.78,-6.43,4.57,6.75,-0.19,-5.22,10.97,2.84
BalanceInventory,263000,14189000,11828000,12269000,20099000,15106000,19381000,17201000,17660000,27250000,29305000,25522000,30050000,33570000,35015000,42036000,44525000,47021000,53796000
BalanceInventory_yy,,,,,,6.46,63.86,40.20,-12.13,80.39,51.20,48.38,70.16,23.19,19.48,64.70,48.17,40.07,53.64
BalanceInventory_sy,,,,,,2.76,-0.72,3.29,7.04,2.34,5.68,5.26,4.18,9.75,4.85,5.66,14.75,19.20,18.16
BalanceInventory_qq,,,-16.64,3.73,63.82,-24.84,28.30,-11.25,2.67,54.30,7.54,-12.91,17.74,11.71,4.30,20.05,5.92,5.61,14.41
BalanceInventory_sq,,,3.31,-4.04,-3.60,3.31,9.53,-6.21,-0.12,3.42,5.70,-3.73,-1.58,0.95,4.42,1.87,5.98,9.51,1.87
BalanceCurrentReceivables,3896000,72256000,83256000,79530000,84876000,99556000,81768000,91719000,70173000,121180000,128506000,150239000,123803000,131264000,137387000,151699000,152162000,171068000,230925000
BalanceCurrentReceivables_yy,,,,,,37.78,-1.79,15.33,-17.32,21.72,57.16,63.80,76.43,8.32,6.91,0.97,22.91,30.32,68.08
BalanceCurrentReceivables_sy,,,,,,1.19,-1.79,5.92,-0.20,-3.64,3.18,0.83,5.22,8.32,6.35,14.42,10.97,12.71,11.07
BalanceCurrentReceivables_qq,,,15.22,-4.48,6.72,17.30,-17.87,12.17,-23.49,72.69,6.05,16.91,-17.60,6.03,4.66,10.42,0.31,12.42,34.99
BalanceCurrentReceivables_sq,,,8.13,1.01,-19.81,15.45,16.60,9.11,-23.49,10.32,11.16,0.51,-21.09,13.87,3.58,8.54,-23.99,15.83,3.17
BalanceCurrentInvestments,,1788000,1287000,1287000,1893000,1287000,687000,687000,,,,,,,,,,,
BalanceCurrentInvestments_yy,,,,,,-28.02,-46.62,-46.62,-100.00,-100.00,-100.00,-100.00,,,,,,,
BalanceCurrentInvestments_sy,,,,,,-0.22,-23.73,-63.90,-23.73,-33.36,-71.13,28.83,,,,,,,
BalanceCurrentInvestments_qq,,,-28.02,,47.09,-32.01,-46.62,,-100.00,,,,,,,,,,
BalanceCurrentInvestments_sq,,,,,0.58,-32.01,-12.04,,19.15,,,,,,,,,,
BalanceCash,990000,13484000,11481000,15744000,36445000,25654000,30725000,41248000,44007000,9360000,20885000,7887000,22423000,9148000,15595000,7820000,15719000,8295000,32897000
BalanceCash_yy,,,,,,90.26,167.62,161.99,20.75,-63.51,-32.03,-80.88,-49.05,-2.26,-25.33,-0.85,-29.90,-9.32,110.95
BalanceCash_sy,,,,,,31.23,18.06,-5.75,18.00,-18.03,19.44,-21.86,4.14,-2.26,4.20,-0.85,14.01,-8.43,17.16
BalanceCash_qq,,,-14.85,37.13,131.49,-29.61,19.77,34.25,6.69,-78.73,123.13,-62.24,184.30,-59.20,70.47,-49.86,101.01,-47.23,296.59
BalanceCash_sq,,,15.64,2.82,-25.11,9.78,2.57,34.25,-2.72,-7.24,52.57,-19.05,5.42,-8.54,33.45,-11.05,4.56,-11.85,61.80
BalanceOtherCurrentAssets,,2625000,1746000,1395000,1259000,2822000,3919000,2160000,6867000,4574000,3210000,17970000,19796000,22469000,21717000,21833000,23133000,35166000,29151000
BalanceOtherCurrentAssets_yy,,,,,,7.50,124.46,54.84,445.43,62.08,-18.09,731.94,188.28,391.23,576.54,21.50,16.86,56.51,34.23
BalanceOtherCurrentAssets_sy,,,,,,32.55,14.29,31.98,1.99,-9.65,-0.61,2.94,7.47,5.59,20.65,-14.74,-13.52,0.43,15.81
BalanceOtherCurrentAssets_qq,,,-33.49,-20.10,-9.75,124.15,38.87,-44.88,217.92,-33.39,-29.82,459.81,10.16,13.50,-3.35,0.53,5.95,52.02,-17.10
BalanceOtherCurrentAssets_sq,,,-18.39,-20.10,-12.74,59.04,-12.90,-24.35,-32.54,32.89,-17.09,-14.50,-20.72,18.58,-9.40,-32.70,-10.68,102.14,-12.78
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_yy,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sy,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_qq,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale_sq,,,,,,,,,,,,,,,,,,,
BalanceTotalAssets,23865000,186318000,193035000,206675000,255441000,256871000,298858000,322149000,313728000,398576000,420056000,440144000,442213000,441237000,455118000,467952000,479720000,506769000,592480000
BalanceTotalAssets_yy,,,,,,37.87,54.82,55.87,22.82,55.17,40.55,36.63,40.95,10.70,8.35,6.32,8.48,14.85,30.18
BalanceTotalAssets_sy,,,,,,0.02,-0.81,3.99,1.32,1.33,4.11,2.45,6.36,8.77,1.92,3.85,2.38,3.15,2.70
BalanceTotalAssets_qq,,,3.61,7.07,23.60,0.56,16.35,7.79,-2.61,27.05,5.39,4.78,0.47,-0.22,3.15,2.82,2.51,5.64,16.91
BalanceTotalAssets_sq,,,2.23,-0.38,-1.66,2.40,4.43,0.13,-4.01,5.63,2.59,-0.51,-4.37,1.45,3.47,0.07,-2.76,4.83,1.36
BalanceCapital,-10973000,101243000,104470000,124576000,128137000,134850000,142576000,174705000,179158000,190119000,195582000,199865000,212222000,216314000,220315000,227924000,237570000,246645000,255880000
BalanceCapital_yy,,,,,,33.19,36.48,40.24,39.82,40.99,37.18,14.40,18.46,13.78,12.65,14.04,11.94,14.02,16.14
BalanceCapital_sy,,,,,,0.06,1.82,0.90,0.79,1.18,2.25,2.89,4.32,4.98,3.70,3.09,3.00,2.72,3.96
BalanceCapital_qq,,,3.19,19.25,2.86,5.24,5.73,22.53,2.55,6.12,2.87,2.19,6.18,1.93,1.85,3.45,4.23,3.82,3.74
BalanceCapital_sq,,,-1.47,2.50,-1.08,0.88,0.21,1.89,-0.46,1.79,0.24,2.90,0.19,1.69,-1.60,3.66,-1.97,0.93,0.39
BalanceShareCapital,4260000,21065000,21065000,21213000,21213000,21213000,21213000,24213000,24213000,24213000,24213000,24213000,24213000,24213000,24213000,24213000,24213000,24213000,24213000
BalanceShareCapital_yy,,,,,,0.70,0.70,14.14,14.14,14.14,14.14,,,,,,,,
BalanceShareCapital_sy,,,,,,,,,,,,,,,,,,,
BalanceShareCapital_qq,,,,0.70,,,,14.14,,,,,,,,,,,
BalanceShareCapital_sq,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_yy,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sy,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_qq,,,,,,,,,,,,,,,,,,,
BalanceOwnShares_sq,,,,,,,,,,,,,,,,,,,
BalanceReserve,,25699000,39385000,56250000,56267000,56241000,67441000,92699000,93120000,93115000,108970000,108977000,109818000,109827000,142292000,142649000,143090000,144103000,160141000
BalanceReserve_yy,,,,,,118.85,71.24,64.80,65.50,65.56,61.58,17.56,17.93,17.95,30.58,30.90,30.30,31.21,12.54
BalanceReserve_sy,,,,,,4.00,3.50,2.83,2.82,2.82,3.60,5.56,5.57,4.67,0.56,4.48,2.78,4.88,6.17
BalanceReserve_qq,,,53.25,42.82,0.03,-0.05,19.91,37.45,0.45,-0.01,17.03,0.01,0.77,0.01,29.56,0.25,0.31,0.71,11.13
BalanceReserve_sq,,,4.55,,,,2.83,,,,4.67,,,,1.93,,,,2.82
BalanceNonshareCapital,,,,,,,665000,683000,,,,,,,,,,,
BalanceNonshareCapital_yy,,,,,,,,,,,-100.00,-100.00,,,,,,,
BalanceNonshareCapital_sy,,,,,,,,,,,5.06,11.86,,,,,,,
BalanceNonshareCapital_qq,,,,,,,,2.71,-100.00,,,,,,,,,,
BalanceNonshareCapital_sq,,,,,,,,2.20,-8.62,,,,,,,,,,
BalanceNoncurrentLiabilities,23000,17061000,16564000,15090000,15839000,15728000,47254000,51901000,53407000,86875000,79258000,77786000,79336000,77326000,88738000,84035000,77753000,75066000,89675000
BalanceNoncurrentLiabilities_yy,,,,,,-7.81,185.28,243.94,237.19,452.36,67.73,49.87,48.55,-10.99,11.96,8.03,-2.00,-2.92,1.06
BalanceNoncurrentLiabilities_sy,,,,,,-0.78,-5.23,-26.88,-6.51,-6.78,3.08,29.01,7.37,-10.99,-6.19,-14.63,-9.48,10.26,14.90
