,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,2228000,3417000,4623000,584000,3403000,3539000,4157000,2316000,3364000,4453000,6251000,5329000,3206000,1740000,-1294000,2248000,727000,-5603000,-3799000,-6030000,182000,161000,512000,1816000,742000,1053000,749000,-839000,-2382000,118000,924000,3320000,-514000,-715000,-3871000,-78000,-1820000,-2723000,-1017000,-336000,-886000,-1067000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,2228000,3417000,4623000,584000,3403000,3539000,4157000,2316000,3364000,4453000,6251000,5329000,3206000,1740000,-1294000,2248000,727000,-5603000,-3799000,-6030000,182000,161000,512000,1816000,742000,1053000,749000,-839000,-2382000,118000,924000,3320000,-514000,-715000,-3871000,-78000,-1820000,-2723000,-1017000,-336000,-886000,-1067000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,1838000,2736000,3898000,231000,2322000,2609000,2896000,2857000,2582000,3594000,5008000,4282000,2422000,1513000,-1045000,1782000,574000,-4668000,-3069000,-4918000,142000,116000,265000,1335000,597000,693000,498000,-747000,-1981000,-65000,814000,2585000,-461000,-606000,-3153000,-2200000,-1746000,-3974000,-1040000,-441000,-1087000,-861000
IncomeShareholderNetProfit,1720000,2384000,3760000,280000,2174000,2479000,2911000,2437000,2365000,3466000,4826000,4161000,2317000,1618000,-1045000,1782000,574000,-4668000,-3069000,-4918000,142000,116000,265000,1335000,597000,693000,498000,-747000,-1981000,-65000,814000,2585000,-461000,-606000,-3153000,-2200000,-1746000,-3974000,-1040000,-441000,-1087000,-861000
BalanceNoncurrentAssets,10492000,14997000,21695000,24026000,30917000,39570000,41619000,41717000,44081000,46697000,46102000,47923000,48309000,45650000,45434000,43362000,43097000,41454000,44286000,39628000,37900000,38093000,37589000,37208000,38988000,38940000,39326000,37606000,38511000,39768000,40911000,36071000,36122000,35743000,36463000,35026000,35254000,35136000,384000,1451000,3032000,3142000
BalanceIntangibleAssets,3223000,3457000,3438000,3427000,4999000,4880000,3349000,3248000,3117000,3193000,3107000,3122000,2992000,2865000,2767000,2701000,2609000,2527000,2444000,2632000,2678000,2966000,2816000,3078000,3034000,3014000,2958000,2991000,2965000,2973000,2936000,2972000,2923000,2847000,8544000,11456000,15370000,17579000,23298000,32456000,33065000,34450000
BalanceProperty,34731000,35025000,35544000,34969000,34476000,34201000,33643000,31821000,31305000,30715000,30300000,28704000,28523000,28068000,27708000,27715000,28092000,28411000,28033000,27811000,28069000,28275000,28925000,28565000,28372000,28223000,28132000,27672000,27614000,27328000,430000,371000,700000,461000,584000,447000,451000,536000,466000,483000,757000,1462000
BalanceNoncurrentReceivables,1587000,1597000,1637000,1930000,1800000,1787000,4312000,3095000,662000,844000,843000,809000,1589000,1171000,1173000,250000,215000,241000,248000,541000,549000,634000,635000,868000,619000,862000,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,129000,259000,388000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,259000,1134000,1719000,2593000,2844000,3812000,3210000,4665000,3304000,3885000,6309000,6452000,8244000,9129000,6659000,7047000,6489000
BalanceOtherNoncurrentAssets,7000000,6087000,6907000,5128000,6106000,6654000,6465000,5793000,6241000,6133000,7045000,6208000,6934000,7979000,8521000,3715000,3977000,3654000,4501000,3255000,3839000,3840000,21225000,34776000,72717000,60537000,65365000,95652000,78870000,99160000,96402000,78270000,67616000,101812000,102812000,80206000,57540000,65237000,48034000,50892000,48239000,65773000
BalanceCurrentAssets,53985000,70612000,58015000,69386000,44384000,50902000,55713000,66154000,57285000,56787000,51527000,49359000,34588000,34928000,43008000,39437000,52437000,41070000,3227000,3712000,3692000,4582000,3764000,3979000,3701000,3872000,4538000,4101000,3930000,4077000,2905000,3662000,3064000,3794000,4579000,2803000,3220000,1578000,1872000,1780000,1958000,1194000
BalanceInventory,1515000,1565000,2579000,3533000,4603000,3290000,3623000,2609000,2710000,2096000,2660000,2221000,2371000,2359000,16647000,29445000,39428000,35517000,43388000,71739000,55080000,78609000,72183000,53199000,60955000,93542000,98816000,72705000,50473000,52867000,33457000,41445000,36753000,58725000,40293000,60693000,42392000,53635000,27593000,36888000,44840000,58606000
BalanceCurrentReceivables,42506000,49148000,41171000,33615000,17692000,23623000,34999000,34107000,47341000,37047000,127000,28000,0,0,,176000,178000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments,,,,,,881000,703000,28791000,19500000,17470000,18472000,19020000,15602000,18787000,20092000,2107000,3317000,153000,3228000,3057000,7851000,9193000,6002000,7336000,4717000,11032000,7607000,12745000,13906000,14409000,11788000,7322000,3306000,9204000,3487000,5920000,12442000,13299000,8352000,4596000,2487000,1959000
BalanceCash,866000,343000,888000,806000,938000,743000,1286000,891000,1077000,894000,878000,624000,876000,938000,611000,946000,725000,805000,642000,930000,753000,788000,532000,920000,651000,867000,661000,972000,709000,972000,862000,813000,693000,887000,857000,753000,622000,766000,798000,,,
BalanceOtherCurrentAssets,,,,,,,,,,,0,,0,,791000,,,,1542000,,,,,,,,,,,,,,311000,311000,311000,31717000,49773000,94412000,84563000,96282000,135222000,120489000
BalanceAssetsForSale,140877000,140483000,124967000,113718000,149735000,151121000,126647000,102974000,108599000,91131000,92346000,92525000,106943000,91885000,108705000,95604000,106594000,83372000,89842000,95039000,103760000,95796000,96555000,92438000,85430000,70710000,70671000,79471000,74774000,88002000,76517000,14522000,16974000,42043000,43727000,46604000,53403000,55917000,59452000,68659000,71059000,70901000
BalanceTotalAssets,71652000,72226000,67558000,64489000,59571000,59500000,59616000,59881000,61216000,61412000,60629000,61127000,60380000,58399000,57594000,58409000,60994000,60532000,59465000,56311000,54112000,52365000,48392000,47352000,46911000,45824000,44963000,3013000,3013000,4510000,4510000,4510000,4545000,4545000,4545000,4580000,4580000,4615000,4615000,4615000,4615000,4615000
BalanceCapital,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,4615000,,,,,,,,,,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,,,,,,,,7441000,9857000,29389000,28899000,37441000,38857000,21149000,21172000,49261000,21439000,62351000,62365000,21537000,67037000,21537000,67037000,21324000,54743000,21324000
BalanceOwnShares,54743000,20923000,54724000,20923000,54724000,20923000,55025000,20923000,55026000,20923000,55917000,20923000,55917000,20923000,49497000,20923000,49497000,20923000,42296000,804000,1156000,1244000,1393000,1648000,2053000,2270000,1993000,2295000,2400000,,,,,,,,,,,,,
BalanceReserve,,,,,,,,,,,,,,1609000,2646000,3872000,5511000,10763000,12105000,13805000,10812000,10391000,12963000,13067000,13915000,14457000,10552000,9341000,6798000,6908000,4875000,5783000,4581000,5853000,6439000,6341000,4413000,4729000,4578000,5390000,5425000,5673000
BalanceNonshareCapital,6897000,6493000,3837000,4026000,4523000,4939000,3808000,4539000,4757000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,820000,807000,1671000,2413000,5759000,9244000,8980000,8237000,6790000,6075000,5814000,4617000,4073000,3528000,2650000,2200000,1750000,400000,400000,400000,400000,100000,100000,100000,100000,100000,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,789000,1839000,2201000,3098000,5004000,2861000,4825000,2575000,3601000,6888000,7253000,9298000,10384000,7024000,6691000,4598000,5158000,4475000,5383000,4181000,5453000,6339000,6241000,4313000,4629000,4478000,5390000,5425000,5673000,6897000,6493000,3837000,4026000,4523000,4939000,3808000,4539000,4757000,14782000,28997000,47253000
BalanceNoncurrentLeasing,33932000,37267000,67661000,48497000,68620000,59138000,38545000,29750000,64168000,64438000,48537000,29144000,42230000,24723000,27855000,26861000,41146000,24620000,41637000,28136000,41801000,20244000,27670000,31240000,37341000,29591000,30193000,29634000,27481000,14319000,17756000,27180000,24055000,37639000,26797000,11986000,20015000,31646000,25362000,30437000,54778000,36473000
BalanceNoncurrentOtherLiabilities,50970000,46127000,27185000,24338000,49729000,44010000,28875000,24165000,34781000,18679000,20522000,22944000,36289000,20807000,33210000,22799000,37585000,18906000,23312000,25802000,35634000,25696000,21998000,18104000,16791000,8488000,10131000,17882000,17592000,29096000,16314000,1691000,7658000,12271000,5314000,4506000,9676000,9309000,14363000,7041000,7476000,3896000
BalanceCurrentLiabilities,12482000,18964000,18461000,3409000,1817000,1813000,2756000,305000,7394000,4623000,100000,100000,3488000,3796000,100000,2398000,6488000,10115000,8447000,4406000,6650000,8175000,5136000,7554000,9285000,,,,,,,,,,,,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,1102000,1324000,3336000,3256000,2324000,3207000,2715000,3287000,5970000,3884000,1516000,1957000,1464000,1201000,1570000,5632000,4231000
BalanceCurrentObligations,4577000,3917000,4552000,3813000,1033000,714000,4116000,1238000,870000,1642000,1607000,1497000,1707000,1415000,2243000,1425000,975000,1123000,1327000,989000,1198000,3000,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,31717000,49773000,0,94412000,84563000,96282000,0,135222000,120489000,140877000,0,140483000,124967000,113718000,0,149735000,151121000,126647000,102974000,108599000,91131000,92346000,92525000
BalanceCurrentOtherLiabilities,106943000,91885000,108705000,95604000,106594000,83372000,89842000,95039000,103760000,95796000,96555000,92438000,85430000,70710000,70671000,79471000,74774000,88002000,76517000,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-1677000,-410000,10709000,-158000,-2260000,4385000,-7210000,6116000,1183000,-5511000,28432000,-12660000,1919000,-10004000,-5522000,738000,-8698000,3946000,15354000,5972000,1741000,-2772000,4227000,-2355000,5507000,-10428000,9440000,7000000,1365000,-4941000,-3766000,735000,4323000,-8974000,535000,8479000,5153000,-6884000,-4880000,1461000,-2613000,-2555000
CashflowAmortization,576000,745000,605000,704000,538000,544000,561000,577000,642000,573000,580000,615000,678000,699000,722000,728000,738000,725000,729000,713000,711000,702000,692000,681000,682000,678000,654000,656000,638000,650000,667000,597000,598000,569000,553000,544000,529000,521000,507000,520000,548000,549000
CashflowInvestingCashflow,-717000,-5630000,-1858000,-5583000,-726000,-8060000,-1928000,-3362000,204000,-2013000,-2243000,-1204000,-233000,-3567000,-403000,-487000,-85000,591000,-106000,395000,1477000,4000,-116000,-496000,1114000,-75000,-214000,-1050000,-862000,-1111000,-245000,-784000,-686000,-827000,-1181000,-148000,-197000,-260000,-328000,-451000,-279000,-199000
CashflowCapex,731000,5979000,1893000,4125000,678000,7761000,2020000,3839000,439000,2233000,2424000,1384000,566000,3656000,419000,471000,92000,317000,109000,233000,52000,69000,184000,530000,416000,136000,250000,868000,882000,1280000,280000,791000,704000,741000,1373000,251000,305000,283000,370000,479000,345000,222000
CashflowFinancingCashflow,662000,-1157000,-402000,21992000,-380000,3438000,3191000,317000,-457000,-952000,-1007000,-975000,-866000,-938000,-968000,-975000,-1028000,-1068000,-1607000,-556000,-529000,-471000,-2729000,-73000,-1000,-16000,-1517000,-266000,3383000,-454000,-3920000,2287000,4045000,3092000,-1809000,-4099000,2197000,1452000,-3119000,2363000,1662000,
CashflowShareCapitalCash,,0,22760000,,35000,0,,0,35000,0,,35000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,1476000,0,,,739000,0,,,462000,0,,,,,,-1732000,-7197000,850000,23850000
CashflowNetCashflow,-3366000,-237000,-5947000,3071000,930000,-8476000,25182000,-14839000,820000,-14509000,-6893000,-724000,-9811000,3469000,13641000,5811000,2689000,-3239000,1382000,-2924000,6620000,-10519000,7709000,5684000,503000,-2669000,-4465000,-3969000,5924000,-5756000,2446000,6522000,857000,-4947000,-3756000,-2109000,-529000,-1092000,,,,
